Word	Basque-eu	Valence	Arousal	Dominance
missionary	misiolari	0.729	0.404	0.596
misspell	misspell	0.292	0.423	0.281
misstatement	misstatement	0.302	0.547	0.221
missy	Missy	0.521	0.480	0.333
mist	laino	0.375	0.194	0.221
mistake	akats	0.208	0.585	0.102
mistaken	oker	0.131	0.630	0.212
mister	mister	0.604	0.406	0.663
mistletoe	mistletoe	0.542	0.470	0.324
mistreated	tratu txarrak jasaten	0.010	0.792	0.200
mistress	andrea	0.630	0.796	0.694
mistrial	mistrial	0.427	0.539	0.536
mistrust	mesfidantza	0.135	0.657	0.231
misty	misty	0.427	0.451	0.278
misunderstand	gaizki	0.177	0.548	0.382
misunderstanding	Gaizki ulertu	0.112	0.618	0.284
misunderstood	ulertua	0.177	0.625	0.309
misuse	gehiegikeria	0.083	0.560	0.196
mite	mite	0.290	0.584	0.271
miter	mitra	0.458	0.500	0.414
mitigate	arintzeko	0.506	0.427	0.456
mitigating	arintzeko	0.551	0.520	0.600
mitigation	arintzeko	0.448	0.527	0.423
mitt	mitt	0.406	0.183	0.264
mitten	NO TRANSLATION	0.531	0.330	0.408
mitzvah	mitzvah	0.422	0.610	0.409
mix	nahastu	0.542	0.490	0.472
mixed	mistoa	0.510	0.346	0.444
mixedemotions	mixedemotions	0.440	0.673	0.430
mixer	nahasgailu	0.562	0.500	0.556
mixture	nahasketa	0.546	0.360	0.481
mnemonic	mnemoteknikorako	0.531	0.480	0.452
moan	moan	0.357	0.735	0.352
moat	lubanarro	0.398	0.380	0.314
mob	mob	0.296	0.788	0.567
mobile	mobile	0.615	0.569	0.481
mobility	mugikortasun	0.700	0.596	0.654
mobilization	mobilizazio	0.688	0.720	0.787
mobilize	mobilizatzeko	0.604	0.684	0.727
mobster	mobster	0.188	0.870	0.638
mocha	mocha	0.500	0.396	0.311
mock	maketak	0.360	0.606	0.618
mocked	iseka	0.225	0.746	0.204
mockery	iseka	0.094	0.806	0.181
mocking	mocking	0.082	0.755	0.394
mockingbird	mockingbird	0.513	0.337	0.423
mod	mod	0.458	0.367	0.384
modal	moduzko	0.592	0.264	0.461
modality	modalitate	0.633	0.404	0.527
mode	Modu	0.531	0.185	0.367
model	eredu	0.607	0.388	0.723
modeler	modelatzaile	0.500	0.510	0.730
modeling	modelaketa	0.684	0.404	0.490
modem	modem	0.573	0.355	0.500
moderate	moderatua	0.582	0.190	0.453
moderate anticipation	aurrez aurre moderatua	0.667	0.451	0.574
moderate disgust	gaitzespen moderatua	0.229	0.558	0.381
moderate negative	negatibo moderatua	0.177	0.500	0.306
moderate positive	positibo moderatua	0.896	0.453	0.753
moderate surprise	sorpresa moderatua	0.776	0.663	0.637
moderate trust	konfiantza moderatua	0.677	0.350	0.773
moderately	neurrizko	0.604	0.264	0.500
moderating	moderatzen	0.667	0.402	0.783
moderation	moderazioaren	0.531	0.240	0.453
moderator	moderatzaile	0.519	0.354	0.802
modern	modernoa	0.855	0.423	0.691
modernism	modernismoa	0.760	0.553	0.703
modest	apala	0.760	0.130	0.412
modesty	apaltasun	0.778	0.240	0.500
modicum	modicum	0.234	0.417	0.327
modifiable	alda	0.541	0.422	0.373
modification	aldatzea	0.480	0.520	0.625
modified	eraldatutako	0.561	0.458	0.693
modify	aldatu	0.458	0.584	0.625
modulate	modula	0.673	0.343	0.555
modulation	modulazio	0.458	0.365	0.565
module	modulua	0.582	0.388	0.571
modulus	modulua	0.622	0.304	0.481
mogul	MOGUL	0.510	0.652	0.865
moiety	moiety	0.378	0.343	0.454
moist	umel	0.470	0.316	0.386
moisture	hezetasun	0.406	0.398	0.327
moisturizer	moisturizer	0.750	0.280	0.386
molar	molar	0.544	0.426	0.350
molasses	molasses	0.490	0.269	0.286
mold	moldea	0.330	0.274	0.402
molded	moldatutako	0.667	0.361	0.373
molding	moldura	0.552	0.308	0.546
moldy	lizunak	0.235	0.387	0.250
mole	mole	0.436	0.377	0.352
molecular	molekularreko	0.495	0.440	0.536
molecule	molekula	0.531	0.259	0.375
molest	molest	0.133	0.816	0.319
molestation	molestation	0.102	0.808	0.407
molester	molester	0.143	0.811	0.478
molten	Erkidegoan	0.417	0.490	0.339
mom	ama	0.927	0.336	0.639
moment	une	0.604	0.435	0.509
momentary	momentuko	0.562	0.271	0.330
momentous	momentous	0.792	0.587	0.760
momentum	momentu	0.663	0.750	0.688
momma	momma	0.833	0.412	0.527
mommy	mommy	0.854	0.353	0.422
monad	monada	0.510	0.482	0.451
monarch	monarka	0.583	0.559	0.870
monarchy	monarkia	0.450	0.557	0.870
monastery	monasterio	0.694	0.183	0.726
monastic	fraide	0.438	0.314	0.676
monetary	diru	0.583	0.494	0.716
money	dirua	0.844	0.608	0.827
mongoloid	Mongoloid	0.177	0.364	0.317
mongoose	Azkonarra	0.327	0.380	0.546
mongrel	Mongrel	0.425	0.438	0.395
monitor	monitore	0.490	0.298	0.538
monk	monje	0.472	0.208	0.439
monkey	tximinoa	0.548	0.449	0.283
mono	NO TRANSLATION	0.500	0.390	0.273
monochrome	kolore bakarreko	0.312	0.292	0.339
monogamous	monogamous	0.510	0.335	0.402
monogamy	monogamia	0.542	0.380	0.455
monogram	monogram	0.480	0.210	0.425
monogrammed	monogrammed	0.503	0.270	0.402
monograph	monografia	0.500	0.242	0.481
monolayer	geruza	0.427	0.294	0.433
monolith	monolito	0.429	0.327	0.500
monologue	bakarrizketa	0.500	0.284	0.534
monopolist	monopolista	0.330	0.590	0.725
monopoly	monopolioa	0.449	0.509	0.640
monotonous	monotonoa	0.354	0.221	0.400
monotony	monotonia	0.398	0.135	0.353
monoxide	monoxidoa	0.433	0.430	0.490
monsieur	monsieur	0.552	0.340	0.623
monsoon	montzoi	0.358	0.600	0.481
monster	munstroa	0.133	0.935	0.596
monstrosity	monstrosity	0.094	0.933	0.611
monstrous	gehiegikeriak	0.094	0.942	0.649
montage	muntaketa	0.438	0.520	0.388
monte	monte	0.589	0.330	0.391
month	Hileko	0.688	0.255	0.411
monthly	hileroko	0.622	0.314	0.364
monument	monumentua	0.833	0.404	0.811
monumental	monumental	0.656	0.594	0.955
moo	moo	0.438	0.355	0.300
mooch	mooch	0.378	0.413	0.309
mood	aldarte	0.720	0.500	0.500
moods	Moods	0.578	0.633	0.491
moody	Moody	0.245	0.811	0.595
moon	ilargia	0.673	0.233	0.547
moonbeam	moonbeam	0.700	0.290	0.491
moonlight	Ilargiaren	0.865	0.264	0.409
moonlit	Ilargi-	0.873	0.269	0.508
moonshine	Moonshine	0.633	0.389	0.491
moonstruck	moonstruck	0.583	0.438	0.407
moonwalk	Moonwalk	0.615	0.586	0.525
moor	Moro	0.311	0.464	0.378
moored	amarratuta	0.344	0.500	0.417
mooring	amarratzeko	0.323	0.490	0.444
moorings	moorings	0.406	0.500	0.516
moorland	moorland	0.490	0.370	0.456
moose	Moose	0.648	0.373	0.318
moot	moot	0.344	0.500	0.615
mooted	mooted	0.388	0.580	0.463
mop	mop	0.396	0.442	0.296
mope	mope	0.406	0.309	0.345
moped	ziklomotore	0.582	0.582	0.554
moral	moral	0.700	0.459	0.796
morale	morala	0.729	0.158	0.792
morality	moralaren	0.750	0.408	0.759
morals	moralaren	0.646	0.430	0.611
morass	morass	0.387	0.348	0.375
moratorium	moratoria	0.337	0.427	0.373
moray	moray	0.510	0.402	0.463
morbid	morbid	0.090	0.833	0.395
morbidity	erikortasun	0.370	0.630	0.443
morbidness	morbidness	0.120	0.694	0.339
mores	mores	0.582	0.317	0.684
morgue	morgue	0.022	0.539	0.241
moribund	hilzorian	0.083	0.488	0.167
morn	Morn	0.542	0.284	0.345
morning	goizean	0.688	0.235	0.444
moron	Moron	0.133	0.587	0.183
moronic	moronic	0.122	0.500	0.224
morose	morose	0.240	0.663	0.264
morph	itxuraldaketaren	0.448	0.469	0.451
morphine	morfina	0.229	0.490	0.496
morphism	morphism	0.398	0.549	0.386
morphology	morfologia	0.516	0.373	0.639
morrow	bihar	0.708	0.314	0.490
morsel	jaki	0.490	0.296	0.400
mortal	mortal	0.196	0.786	0.510
mortality	hilkortasuna	0.229	0.726	0.518
mortar	morteroak	0.333	0.627	0.562
mortgage	hipoteka	0.255	0.408	0.537
mortgagee	mortgagee	0.418	0.633	0.723
mortgagor	mortgagor	0.431	0.522	0.490
mortician	mortician	0.104	0.429	0.275
mortification	atsekaberako	0.135	0.644	0.404
mortified	mortified	0.073	0.731	0.270
mortuary	mortuary	0.133	0.606	0.427
mosaic	mosaiko	0.635	0.250	0.302
mosey	mosey	0.521	0.402	0.330
mosque	mezkita	0.542	0.352	0.528
mosquito	eltxo	0.229	0.400	0.198
moss	goroldioa	0.235	0.270	0.245
mossy	mossy	0.375	0.329	0.286
mote	NO TRANSLATION	0.375	0.388	0.260
motel	motel	0.531	0.372	0.450
moth	moth	0.323	0.350	0.196
mother	ama	0.931	0.408	0.725
motherfucker	motherfucker	0.122	0.827	0.351
motherfucking	motherfucking	0.071	0.823	0.373
motherhood	amatasunaren	0.844	0.546	0.667
motherland	ama	0.677	0.375	0.731
motherless	motherless	0.163	0.541	0.337
motherly	motherly	0.927	0.324	0.710
motif	motiboa	0.688	0.481	0.527
motion	motion	0.667	0.538	0.657
motionless	geldi	0.323	0.210	0.246
motivate	motibatzea	0.812	0.776	0.873
motivating	motibagarria	0.958	0.820	0.787
motivation	motibazioa	0.854	0.784	0.802
motivational	motibazio	0.906	0.646	0.858
motive	zioa	0.667	0.588	0.663
motley	Motley	0.480	0.398	0.412
motor	motor	0.531	0.551	0.648
motorbike	motoz	0.552	0.608	0.616
motorboat	txalupako	0.677	0.500	0.390
motorcade	motorcade	0.708	0.730	0.593
motorcar	automobilez	0.694	0.565	0.682
motorcycle	motozikleta	0.677	0.764	0.713
motorist	motorist	0.562	0.663	0.578
motte	motte	0.481	0.389	0.370
mottled	mottled	0.380	0.336	0.295
motto	lema	0.688	0.317	0.439
mould	moldea	0.357	0.176	0.246
mound	mendixka	0.520	0.481	0.509
mount	mendian	0.500	0.292	0.348
mountain	mendi	0.698	0.408	0.649
mountaineer	mendizalea	0.635	0.774	0.535
mountainous	menditsua	0.635	0.519	0.612
mountains	mendiak	0.766	0.433	0.569
mountaintop	mendi	0.653	0.541	0.713
mourn	deitoratzen	0.056	0.583	0.150
mournful	goibel	0.180	0.441	0.188
mourning	dolu	0.177	0.490	0.266
mouse	saguaren	0.427	0.441	0.206
mousetrap	mousetrap	0.180	0.643	0.330
mousse	moussea	0.604	0.336	0.368
moustache	bibote	0.470	0.236	0.409
mousy	mousy	0.480	0.413	0.339
mouth	ahoa	0.734	0.294	0.336
mouthful	mokadu	0.609	0.565	0.389
mouthpiece	mouthpiece	0.573	0.346	0.393
mouthwash	gogoak	0.438	0.385	0.352
movable	mugikorrak	0.469	0.509	0.500
move	mugimendu	0.656	0.647	0.670
movement	mugimendu	0.656	0.654	0.658
mover	mover	0.615	0.539	0.466
movie	movie	0.792	0.560	0.471
movies	filmak	0.724	0.426	0.472
moving	mugitzen	0.479	0.673	0.358
movingforward	NO TRANSLATION	0.857	0.518	0.848
movingon	movingon	0.490	0.529	0.435
mow	mow	0.420	0.559	0.393
mower	mower	0.458	0.510	0.368
moxie	moxie	0.531	0.490	0.366
mozzarella	mozzarella	0.653	0.265	0.340
mri	MRI	0.365	0.431	0.349
muchneeded	NO TRANSLATION	0.438	0.602	0.455
mucis	NO TRANSLATION	0.398	0.418	0.420
muck	muck	0.347	0.423	0.272
mucked	mucked	0.184	0.500	0.373
mucous	muki	0.330	0.296	0.293
mucus	moco	0.143	0.309	0.228
mud	lokatz	0.333	0.260	0.185
muddle	muddle	0.184	0.710	0.336
muddled	muddled	0.250	0.615	0.263
muddy	Zelai	0.292	0.400	0.283
muff	muff	0.542	0.335	0.314
muffin	muffin	0.684	0.430	0.306
muffled	muffled	0.479	0.330	0.421
muffler	muffler	0.357	0.407	0.454
mug	mug	0.542	0.214	0.382
mugger	mugger	0.125	0.850	0.500
mulberry	mulberry	0.469	0.315	0.361
mulch	mulch	0.349	0.361	0.383
mule	mando	0.320	0.337	0.254
mull	mull	0.663	0.340	0.594
mullet	barbarin	0.521	0.356	0.377
multilateral	alde anitzeko	0.500	0.469	0.705
multimedia	multimedia	0.611	0.390	0.607
multinational	multinazional	0.656	0.510	0.842
multiple	anitz	0.660	0.510	0.578
multiple sclerosis	Esklerosi multiplea	0.188	0.587	0.483
multiplex	multiplex	0.610	0.590	0.667
multiplication	biderketa	0.646	0.565	0.762
multiplicity	ugaritasun	0.677	0.490	0.777
multiplied	biderkatuko	0.802	0.559	0.729
multiplier	biderkatzailea	0.643	0.615	0.741
multiply	biderkatu	0.802	0.625	0.777
multitude	oste	0.562	0.765	0.847
mum	amak	0.802	0.317	0.698
mumble	ezezaguna	0.292	0.444	0.245
mumbo	mumbo	0.429	0.506	0.336
mummy	momia	0.400	0.588	0.415
mumps	papera	0.099	0.410	0.311
munch	Munch	0.541	0.277	0.434
munchies	munchies	0.562	0.470	0.491
munchkin	Munchkin	0.490	0.466	0.374
mundane	eguneroko	0.312	0.420	0.480
municipal	municipal	0.625	0.390	0.758
municipality	udalerri	0.569	0.280	0.614
mural	mural	0.551	0.265	0.454
murder	hilketa	0.061	0.942	0.615
murderer	hiltzaile	0.010	0.960	0.650
murderess	murderess	0.041	0.941	0.462
murderous	hiltzaile	0.017	0.940	0.682
murky	murky	0.143	0.618	0.370
murmur	zurrumurru	0.458	0.520	0.200
muscle	gihar	0.359	0.490	0.645
muscular	muskuluen	0.531	0.434	0.577
muse	musa	0.760	0.360	0.509
muses	musa	0.714	0.434	0.571
museum	Museoa	0.792	0.206	0.481
mush	NO TRANSLATION	0.500	0.311	0.125
mushroom	perretxiko	0.490	0.274	0.269
mushy	mushy	0.520	0.200	0.182
music	musika	0.833	0.563	0.605
musical	musikala	0.908	0.630	0.530
musician	musikari	0.816	0.509	0.618
musing	musing	0.740	0.151	0.465
musk	Musk	0.469	0.454	0.453
musket	moskete	0.260	0.654	0.510
musketeer	musketeer	0.694	0.569	0.705
muskrat	desmana	0.439	0.510	0.368
muslin	muslin	0.439	0.304	0.352
muss	NO TRANSLATION	0.418	0.438	0.302
must	muztioa	0.408	0.382	0.441
mustang	mustang	0.635	0.642	0.708
mustard	mustard	0.500	0.346	0.275
muster	muster	0.635	0.460	0.548
musty	musty	0.354	0.367	0.267
mutable	mutable	0.426	0.531	0.491
mutant	aldakor	0.337	0.676	0.573
mutate	mutatu	0.281	0.548	0.463
mutation	mutazio	0.365	0.625	0.611
mute	mutu	0.271	0.200	0.250
muted	ezikusia	0.260	0.167	0.162
mutilate	mutilate	0.125	0.900	0.465
mutilated	mutila	0.041	0.841	0.356
mutilation	mozketa	0.122	0.782	0.456
mutiny	matxinada	0.323	0.890	0.549
mutt	mutt	0.418	0.408	0.387
mutter	NO TRANSLATION	0.406	0.427	0.228
mutton	mutton	0.427	0.283	0.393
mutual	elkarrekiko	0.729	0.321	0.464
mutually	elkar	0.844	0.490	0.582
muzzle	Bozal	0.388	0.430	0.232
myfavorite	nire gogokoena	0.812	0.587	0.615
myopia	miopia	0.245	0.387	0.226
myopic	myopic	0.344	0.396	0.218
myriad	Myrian	0.480	0.429	0.550
mysterious	misteriotsu	0.448	0.699	0.455
mystery	misterio	0.417	0.667	0.519
mystic	mistiko	0.643	0.520	0.535
mystical	mistikoan	0.594	0.443	0.689
mysticism	mistika	0.594	0.598	0.423
mystified	dudatsu	0.344	0.600	0.509
mystique	mistika	0.668	0.633	0.667
myth	mitoa	0.458	0.432	0.338
mythic	mitiko	0.635	0.528	0.645
mythical	mitikoa	0.625	0.556	0.583
mythological	mitologikoak	0.760	0.573	0.658
mythology	mitologia	0.684	0.439	0.688
nab	nab	0.469	0.544	0.407
nacho	nacho	0.667	0.259	0.333
nada	NO TRANSLATION	0.250	0.231	0.136
nadir	nadir	0.479	0.363	0.424
nag	NO TRANSLATION	0.271	0.451	0.472
nail	iltze	0.469	0.397	0.282
nail gun	iltze pistola	0.378	0.806	0.574
naive	inozoa	0.406	0.260	0.375
naked	biluzik	0.323	0.885	0.288
nakedness	biluztasuna	0.480	0.760	0.350
namaste	NO TRANSLATION	0.719	0.255	0.464
name	izen	0.573	0.300	0.415
named	izeneko	0.562	0.396	0.565
nameless	izenik gabeko	0.344	0.280	0.164
namesake	namesake	0.418	0.327	0.404
naming	izendatzeko	0.667	0.410	0.559
nana	nana	0.765	0.255	0.375
nanny	umezain	0.615	0.370	0.528
nanometer	nanometer	0.375	0.356	0.446
nap	siesta	0.660	0.098	0.342
napalm	napalm	0.265	0.580	0.471
nape	kokotea	0.427	0.268	0.298
napkin	napkin	0.469	0.142	0.209
napping	napping	0.765	0.046	0.306
nappy	nappy	0.529	0.333	0.207
narcissism	narcissism	0.214	0.639	0.540
narcissist	narcissist	0.173	0.614	0.629
narcissistic	narzisista	0.323	0.708	0.655
narcotic	narkotikoa	0.102	0.858	0.450
narrate	kontatzeko	0.541	0.480	0.473
narration	narrazioa	0.622	0.408	0.551
narrative	narrazio	0.580	0.303	0.443
narrator	narratzailea	0.673	0.430	0.623
narrow	estuak	0.260	0.368	0.356
narrowing	estutzea	0.354	0.593	0.357
nasal	sudur	0.479	0.340	0.330
nascent	nascent	0.684	0.373	0.585
nasty	gaizto	0.115	0.620	0.264
natal	natal	0.755	0.462	0.481
nation	nazioaren	0.594	0.443	0.821
national	nazionalak	0.698	0.365	0.663
nationality	nazionalitatea	0.642	0.400	0.772
nationwide	nazio	0.684	0.217	0.672
native	ama-	0.635	0.422	0.710
nativity	jaiotza	0.750	0.337	0.673
natural	natural	0.854	0.118	0.481
natural gas	gas naturala	0.635	0.324	0.396
naturalist	naturalista	0.844	0.255	0.562
naturalization	naturalizazioa	0.781	0.279	0.652
naturalized	bertakoak	0.760	0.333	0.600
naturally	naturalean	0.854	0.276	0.549
nature	natura	0.857	0.184	0.643
naught	ezdeus	0.344	0.176	0.161
naughty	bihurria	0.451	0.857	0.371
nausea	goragalea	0.104	0.781	0.273
nauseate	birtual	0.062	0.660	0.176
nauseating	nauseating	0.021	0.640	0.250
nauseous	nauseous	0.135	0.780	0.284
nautical	miliak	0.646	0.250	0.579
nautilus	nautilus	0.396	0.509	0.517
naval	naval	0.542	0.449	0.679
nave	nabe	0.583	0.448	0.585
navel	zilborra	0.448	0.261	0.276
navigable	nabigagarria	0.749	0.406	0.645
navigate	nabigatu	0.740	0.555	0.675
navigation	nabigazioa	0.841	0.470	0.720
navigational	nabigazio	0.573	0.481	0.564
navigator	nabigatzailea	0.583	0.592	0.623
navy	itsas armada	0.531	0.760	0.764
nay	NO TRANSLATION	0.344	0.290	0.325
nearsighted	nearsighted	0.271	0.373	0.265
neat	neat	0.878	0.235	0.491
neatly	bata	0.802	0.412	0.588
nebula	nebula	0.510	0.418	0.438
nebulae	nebulae	0.490	0.330	0.472
nebulous	lainotsua	0.469	0.347	0.417
necessarily	nahitaez	0.667	0.423	0.598
necessary	beharrezkoa	0.750	0.433	0.679
necessitate	beharra	0.578	0.604	0.516
necessities	beharrak	0.520	0.630	0.463
necessity	derrigortasun	0.567	0.471	0.588
neck	lepoan	0.541	0.245	0.345
necklace	lepokoa	0.760	0.294	0.373
necktie	zapia	0.583	0.229	0.314
necromancer	necromancer	0.333	0.625	0.536
necrosis	nekrosi	0.115	0.622	0.385
nectar	nectar	0.746	0.331	0.398
need	behar	0.510	0.574	0.200
needalife	NO TRANSLATION	0.490	0.443	0.394
needed	beharrezkoak	0.677	0.342	0.679
needful	needful	0.582	0.460	0.614
needit	NO TRANSLATION	0.250	0.472	0.356
needle	orratz	0.250	0.472	0.360
needlepoint	needlepoint	0.653	0.500	0.556
needles	orratzak	0.250	0.602	0.348
needless	Esan	0.327	0.385	0.200
needtoknow	needtoknow	0.427	0.606	0.474
needtorelax	NO TRANSLATION	0.673	0.438	0.274
needy	behartsuei	0.360	0.451	0.245
nefarious	nefarious	0.184	0.720	0.528
negation	ukapen	0.255	0.461	0.297
negative	negatiboak	0.102	0.527	0.176
negativity	negatiboaren	0.060	0.520	0.273
neglect	utzikeria	0.045	0.550	0.163
neglected	ahaztutako	0.271	0.385	0.160
neglecting	guppida	0.177	0.441	0.230
negligee	negligee	0.385	0.520	0.336
negligence	arduragabekeria	0.092	0.570	0.251
negligent	Arduragabekeriaz	0.167	0.583	0.259
negligently	NO TRANSLATION	0.056	0.583	0.266
negligible	arbuiagarria	0.177	0.292	0.232
negotiable	negoziagarri	0.688	0.585	0.731
negotiate	negoziatzeko	0.612	0.708	0.769
negotiation	negoziazioa	0.490	0.615	0.728
negotiator	negoziatzaile	0.635	0.471	0.817
negro	negro	0.354	0.368	0.461
neigh	neigh	0.378	0.642	0.373
neighbor	bizilaguna	0.657	0.448	0.434
neighborhood	auzoa	0.385	0.469	0.373
neighboring	Bizilagunen	0.656	0.306	0.481
nemesis	nemesis	0.271	0.688	0.647
neon	neon	0.594	0.480	0.380
neonatal	jaioberrien	0.542	0.529	0.357
neophyte	neophyte	0.286	0.363	0.411
neoprene	neoprenozko	0.316	0.451	0.443
nephew	iloba	0.719	0.337	0.412
nepotism	nepotism	0.349	0.584	0.517
nerd	nerd	0.408	0.481	0.315
nerdy	nerdy	0.296	0.255	0.292
nerve	nerbio	0.129	0.698	0.307
nerves	nerbioak	0.333	0.783	0.264
nervous	urduri	0.235	0.820	0.213
nervousness	urduritasuna	0.163	0.915	0.241
nervouswreck	NO TRANSLATION	0.112	0.867	0.179
nervy	NO TRANSLATION	0.250	0.830	0.241
ness	ness	0.396	0.480	0.392
nest	Kabi	0.687	0.221	0.333
nestle	habia	0.625	0.308	0.379
nestling	nestling	0.604	0.427	0.286
net	net	0.441	0.288	0.417
nether	nether	0.240	0.265	0.259
netting	gelditu	0.368	0.509	0.585
nettle	nettle	0.406	0.324	0.490
network	sarea	0.531	0.337	0.466
networking	Sare	0.625	0.482	0.545
neural	Neurona	0.582	0.426	0.391
neuralgia	neuralgia	0.092	0.706	0.439
neurological	neurologikoa	0.500	0.540	0.558
neurologist	neurologo	0.608	0.500	0.736
neurology	neurologia	0.459	0.537	0.580
neurosis	neurosi	0.122	0.766	0.418
neurosurgeon	neurozirujau	0.590	0.673	0.755
neurosurgery	neurokirurgia	0.490	0.632	0.730
neurotic	neurotiko	0.198	0.801	0.387
neuter	neuter	0.621	0.163	0.302
neutral	neutral	0.469	0.184	0.357
neutrality	neutraltasuna	0.469	0.205	0.434
neutralize	neutralizatzeko	0.519	0.363	0.719
neutron	neutroi	0.469	0.440	0.679
new	berriaren	0.917	0.490	0.582
new age	adin berria	0.694	0.556	0.727
newbeginnings	NO TRANSLATION	0.802	0.613	0.524
newborn	jaioberri	0.918	0.580	0.372
newcomer	Wazemank	0.622	0.380	0.396
newday	newday	0.847	0.388	0.618
newfound	newfound	0.745	0.741	0.520
newjob	NO TRANSLATION	0.755	0.643	0.729
newlife	bizitza berria	0.898	0.646	0.701
newly	berriki	0.688	0.422	0.552
newlywed	newlywed	0.847	0.706	0.570
newme	newme	0.643	0.550	0.527
newness	berritasun	0.740	0.522	0.588
news	Berri	0.633	0.580	0.610
newscast	albistegi	0.531	0.509	0.714
newscaster	newscaster	0.646	0.510	0.764
newsflash	newsflash	0.604	0.637	0.518
newsletter	buletina	0.622	0.385	0.490
newsman	newsman	0.604	0.480	0.696
newspaper	egunkari	0.602	0.283	0.444
newspaperman	Kazetaria	0.561	0.458	0.750
newsreel	newsreel	0.625	0.571	0.577
newsroom	Albistegia	0.531	0.392	0.658
newsstand	newsstand	0.615	0.222	0.336
newstart	newstart	0.802	0.510	0.667
newt	uhandre	0.458	0.380	0.541
newyear	urte berri	0.938	0.784	0.520
nexus	lokarri	0.496	0.368	0.412
nib	nib	0.510	0.282	0.406
nibble	nibble	0.551	0.551	0.411
nice	polita	0.930	0.442	0.650
niche	niche	0.459	0.413	0.318
nichts	NO TRANSLATION	0.406	0.293	0.404
nick	nick	0.554	0.388	0.387
nickel	nikela	0.510	0.347	0.406
nickname	ezizena	0.490	0.470	0.263
nicotine	nikotina	0.235	0.608	0.447
niece	ilobaren	0.771	0.320	0.400
nifty	nifty	0.740	0.745	0.815
nigger	beltz	0.240	0.347	0.398
nigh	nigh	0.653	0.216	0.336
night	gauean	0.598	0.396	0.404
nightcap	nightcap	0.750	0.196	0.268
nightclub	Gaueko klub	0.802	0.894	0.528
nightfall	Iluntzean	0.490	0.436	0.426
nightgown	nightgown	0.643	0.408	0.250
nightie	nightie	0.630	0.388	0.274
nightingale	ruiseñor	0.740	0.340	0.496
nightlife	gaueko	0.542	0.783	0.510
nightly	gauero	0.673	0.410	0.474
nightmare	amesgaizto	0.005	0.810	0.436
nightmares	amesgaiztoak	0.082	0.942	0.448
nightstand	nightstand	0.490	0.130	0.327
nightstick	nightstick	0.500	0.461	0.348
nighttime	gaueko	0.735	0.385	0.439
nihilism	nihilismoa	0.367	0.510	0.364
nil	nil	0.286	0.143	0.157
nimble	nimble	0.833	0.729	0.769
nimrod	nimrod	0.327	0.500	0.539
nincompoop	nincompoop	0.365	0.431	0.368
nine	bederatzi	0.552	0.255	0.327
nineteen	hemeretzi	0.673	0.304	0.375
ninety	laurogeita	0.479	0.349	0.436
ninja	ninja	0.542	0.844	0.682
ninny	ninny	0.344	0.343	0.309
nintendo	nintendo	0.802	0.571	0.464
ninth	bederatzigarren	0.490	0.212	0.396
nip	Ijezteko	0.281	0.700	0.264
nipper	nipper	0.386	0.422	0.317
nipple	nipple	0.480	0.786	0.415
nippy	nippy	0.540	0.500	0.416
nitrate	nitratoa	0.388	0.406	0.500
nitro	nitro	0.500	0.647	0.639
nitrogen	nitrogeno	0.427	0.435	0.562
nitrous	nitrosoa	0.435	0.561	0.411
nitwit	nitwit	0.146	0.606	0.139
nix	nix	0.330	0.380	0.404
no anticipation	aurretiaz ez	0.396	0.480	0.341
no disgust	ez nazka	0.510	0.324	0.448
no emotion	ez emozioa	0.170	0.109	0.225
no sentiment	ez sentimendua	0.092	0.382	0.278
no surprise	ez da harritzekoa	0.171	0.224	0.412
no trust	konfiantza ez	0.055	0.445	0.257
nobility	noblezia	0.844	0.347	0.736
noble	noble	0.906	0.345	0.610
nobleman	noble	0.675	0.286	0.709
nobodycares	NO TRANSLATION	0.365	0.410	0.354
nocomplaints	NO TRANSLATION	0.677	0.164	0.491
nocturnal	gaueko	0.540	0.500	0.462
nod	nod	0.590	0.367	0.427
nodding	nodding	0.694	0.294	0.426
node	nodo	0.396	0.343	0.361
nodular	nodularra	0.438	0.351	0.411
nodule	nodulu	0.312	0.426	0.349
noggin	noggin	0.510	0.433	0.382
nohope	NO TRANSLATION	0.200	0.441	0.385
noir	noir	0.375	0.394	0.365
noise	zarata	0.260	0.883	0.388
noisy	zaratatsu	0.271	0.812	0.561
nomad	nomada	0.375	0.413	0.433
nomadic	nomada	0.427	0.519	0.422
nomenclature	nomenklatura	0.500	0.222	0.575
nominal	nominal	0.594	0.250	0.463
nominate	izendatuko	0.615	0.471	0.669
nomination	izendapena	0.663	0.637	0.696
nominee	hautagaia	0.662	0.625	0.765
nonce	nonce	0.422	0.370	0.377
nonchalant	nonchalant	0.312	0.314	0.366
noncompliance	noncompliance	0.112	0.598	0.259
nondescript	nondescript	0.490	0.434	0.348
nonexistent	existitzen ez	0.208	0.429	0.149
nonfat	nonfat	0.604	0.260	0.340
nonfiction	fikziozko	0.426	0.315	0.431
nonpayment	nonpayment	0.229	0.510	0.298
nonresident	nonresident	0.250	0.340	0.302
nonsense	zentzugabekeria	0.214	0.531	0.155
nonsensical	zentzugabeko	0.173	0.268	0.193
nonviolent	nonviolent	0.640	0.287	0.346
noob	noob	0.417	0.430	0.267
noodle	noodle	0.633	0.216	0.225
nook	nook	0.480	0.321	0.296
noon	eguerdian	0.531	0.343	0.518
