Word	Urdu-ur	Valence	Arousal	Dominance
ohno	ارے نہیں	0.396	0.475	0.380
ohshit	NO TRANSLATION	0.230	0.594	0.343
oil	تیل	0.521	0.278	0.306
oils	تیل	0.459	0.229	0.391
oily	تیل	0.276	0.533	0.385
oink	اوک	0.500	0.450	0.289
ointment	مردہ	0.438	0.271	0.398
okra	ٹھیک ہے	0.469	0.400	0.362
old	پرانا	0.410	0.279	0.315
olden	پرانے	0.284	0.213	0.425
older	پرانے	0.385	0.255	0.317
oldie	پرانی	0.363	0.363	0.342
oldies	پرانیوں	0.438	0.300	0.412
olfactory	زراعت	0.602	0.409	0.452
oligarchy	oligarchy	0.327	0.567	0.741
olive	زیتون	0.571	0.231	0.406
omega	اومیگا	0.529	0.337	0.526
omelet	آملیٹ	0.708	0.323	0.315
omen	اومان	0.390	0.657	0.583
omgomgomg	NO TRANSLATION	0.490	0.551	0.358
ominous	بے حد	0.255	0.730	0.510
omission	معافی	0.367	0.333	0.275
omit	چھوڑ دو	0.330	0.265	0.451
omitted	اتار دیا	0.260	0.235	0.211
omnibus	omnibus	0.490	0.410	0.473
omnipotence	اولمپیٹنٹ	0.667	0.793	0.866
omnipotent	اولنٹوٹنٹ	0.719	0.679	0.919
omnipresent	غالبا	0.688	0.452	0.825
omniscient	سمندری	0.656	0.334	0.778
onboard	جہاز	0.612	0.451	0.491
oncologist	اونٹولوجسٹ	0.260	0.654	0.640
oncology	اونکولوجی	0.204	0.424	0.500
oncoming	آنے والا	0.594	0.625	0.773
one	ایک	0.542	0.292	0.370
oneday	NO TRANSLATION	0.667	0.245	0.374
onedge	کنارے پر	0.479	0.552	0.400
onelove	ایک محبت	0.816	0.577	0.541
oneness	مطلق	0.745	0.272	0.720
onerous	پریشان	0.500	0.480	0.462
oneself	خود	0.660	0.337	0.483
ongoing	جاری	0.674	0.484	0.556
onion	پیاز	0.378	0.367	0.382
onset	آغاز	0.673	0.497	0.500
onslaught	پر حملہ	0.198	0.939	0.717
onstage	سٹیج پر	0.719	0.673	0.583
ontology	اونٹالوجی	0.510	0.450	0.518
onus	onus	0.562	0.520	0.769
onward	آگے	0.667	0.538	0.741
onyx	سایہ	0.571	0.461	0.380
oodles	آدھے	0.490	0.374	0.446
oomph	oomph	0.449	0.613	0.315
ooze	آلو	0.344	0.577	0.333
oozing	اجنبی	0.238	0.515	0.427
op	اوپن	0.480	0.402	0.349
opacity	استحکام	0.471	0.251	0.256
opal	اوپن	0.623	0.479	0.379
opaque	اوپیرا	0.344	0.265	0.342
ope	اوپن	0.375	0.380	0.395
open	کھولیں	0.620	0.480	0.569
opener	اوپنر	0.584	0.526	0.377
opening	کھولنے	0.667	0.510	0.620
openly	کھولیں	0.603	0.388	0.553
openness	کھلی	0.837	0.561	0.667
opera	اوپیرا	0.714	0.500	0.483
operate	کام کرو	0.582	0.690	0.691
operatic	آپریٹنگ	0.375	0.452	0.627
operation	آپریشن	0.475	0.611	0.755
operational	آپریشنل	0.562	0.570	0.679
operations	آپریشن	0.480	0.549	0.798
operative	آپریٹنگ	0.541	0.635	0.718
operator	آپریٹر	0.612	0.630	0.726
ophthalmic	آتم	0.427	0.385	0.444
ophthalmologist	ماہر نفسیات	0.552	0.389	0.491
opiate	اپوزیشن	0.281	0.594	0.598
opinion	رائے	0.594	0.482	0.638
opinionated	رائے دی	0.156	0.800	0.491
opium	اپکرم	0.276	0.490	0.333
opponent	مخالف	0.080	0.741	0.716
opportune	موقع	0.796	0.538	0.767
opportunism	موقع پرستی	0.571	0.752	0.673
opportunity	موقع	0.938	0.745	0.833
oppose	مخالفت	0.431	0.800	0.473
opposed	مخالفت کی	0.092	0.460	0.606
opposing	مخالفت	0.188	0.660	0.518
opposite	برعکس	0.235	0.545	0.408
opposites	مخالفین	0.281	0.518	0.462
opposition	اپوزیشن	0.135	0.729	0.592
oppress	ظلم	0.186	0.654	0.555
oppressed	مظلوم	0.119	0.640	0.259
oppression	جبر	0.080	0.673	0.615
oppressive	ظالمانہ	0.276	0.590	0.667
oppressor	ظلم	0.160	0.776	0.629
ops	آپریشنز	0.417	0.550	0.528
opt	آپٹ آؤٹ	0.510	0.471	0.345
optic	آپٹک	0.663	0.384	0.594
optical	نظریاتی	0.677	0.311	0.542
optics	نظریات	0.562	0.286	0.580
optimism	امید ہے	0.949	0.565	0.814
optimist	رجائیت پسند	0.875	0.539	0.787
optimistic	امید مند	0.979	0.580	0.821
optimum	زیادہ سے زیادہ	0.892	0.469	0.808
option	اختیار	0.512	0.427	0.359
optional	اختیاری	0.755	0.350	0.440
optionally	اختیاری	0.365	0.405	0.481
options	اختیارات	0.622	0.327	0.473
optometrist	آپٹومیٹسٹر	0.446	0.455	0.668
opulence	اپلی کیشن	0.620	0.615	0.648
opulent	متضاد	0.562	0.660	0.660
opus	اوپن	0.458	0.368	0.391
oracle	چمتکار	0.552	0.531	0.670
oral	زبانی	0.530	0.448	0.375
orange	سنتری	0.646	0.132	0.296
orange juice	مالٹے کا جوس	0.719	0.343	0.445
orangutan	اورانگوتان	0.430	0.560	0.471
oration	آیات	0.646	0.315	0.683
orator	وائٹر	0.667	0.375	0.682
oratory	آیات	0.602	0.472	0.693
orb	اوبی	0.463	0.370	0.444
orbit	مدار	0.561	0.422	0.575
orbital	زبانی	0.458	0.451	0.559
orbiting	سنبھالا	0.520	0.643	0.554
orbs	orbs	0.469	0.355	0.482
orc	ORC	0.240	0.510	0.388
orchard	باغ	0.760	0.269	0.333
orchestra	آرکسٹرا	0.708	0.500	0.664
orchid	آرکڈ	0.840	0.345	0.382
ordained	مقرر	0.735	0.409	0.731
ordeal	نظریات	0.344	0.539	0.529
order	آرڈر	0.780	0.295	0.814
orderly	حکم دیا	0.844	0.240	0.661
ordinance	آرڈنس	0.615	0.452	0.776
ordinary	عام	0.375	0.312	0.286
ordination	حکم	0.688	0.490	0.765
ordnance	ہتھیار	0.354	0.825	0.679
ore	ایسک	0.500	0.333	0.356
oregano	اجنبی	0.596	0.327	0.250
organ	عضو	0.510	0.469	0.538
organic	نامیاتی	0.719	0.343	0.535
organism	حیاتیات	0.457	0.559	0.800
organist	آرگنائزر	0.740	0.469	0.669
organization	تنظیم	0.810	0.535	0.851
organize	منظم	0.802	0.655	0.781
organized	منظم	0.816	0.337	0.746
organizer	آرگنائزر	0.604	0.577	0.846
orgasm	orgasm کے	0.844	0.863	0.676
orgies	orgies	0.388	0.953	0.433
orgy	ننگا ناچ	0.346	0.962	0.536
orient	مبنی	0.667	0.422	0.667
oriental	مشرقی	0.592	0.409	0.598
orientation	واقفیت	0.667	0.454	0.686
orifice	بچہ	0.448	0.355	0.443
origami	اوریگامی	0.684	0.276	0.294
origin	اصل	0.729	0.435	0.591
original	اصل	0.765	0.480	0.746
originality	اصل میں	0.898	0.500	0.824
originate	ابتداء	0.702	0.500	0.866
origination	منتقلی	0.760	0.443	0.604
originator	ابتدائی طور پر	0.592	0.510	0.868
ornament	زیورات	0.561	0.373	0.441
ornamental	سجاوٹ	0.663	0.392	0.460
ornamentation	زیورات	0.663	0.471	0.472
ornamented	زیورات	0.677	0.350	0.490
ornate	انتباہ	0.812	0.356	0.500
ornery	آرکری	0.361	0.520	0.509
orphan	یتیم	0.133	0.388	0.140
orphanage	یتیم خانے	0.184	0.439	0.425
orphaned	یتیم	0.062	0.430	0.228
orthodontist	ارتھڈونٹسٹ	0.469	0.615	0.564
orthodox	معدنیات سے متعلق	0.388	0.471	0.647
orthodoxy	آرتھوپیڈیا	0.271	0.388	0.612
orthogonal	سنجیدگی	0.500	0.314	0.540
orthopedic	آرتھوپیڈک	0.406	0.346	0.473
oscillate	تسلسل	0.449	0.580	0.397
oscillating	آلودگی	0.469	0.548	0.402
oscillation	تسلسل	0.562	0.433	0.431
oscillatory	آلودگی	0.375	0.520	0.480
ostensible	آستین	0.542	0.549	0.585
ostensibly	آہستہ آہستہ	0.473	0.529	0.509
ostentatious	نمائشی	0.479	0.794	0.648
ostracized	تجزیہ کیا	0.115	0.690	0.377
ostrich	آتشبازی	0.592	0.382	0.241
other	دوسرا	0.472	0.230	0.259
otter	otter	0.439	0.216	0.339
otto	آٹو	0.427	0.425	0.404
ottoman	عثمان	0.531	0.337	0.444
ought	چاہئے	0.438	0.511	0.434
ounce	اچھال	0.531	0.255	0.288
oust	باہر	0.296	0.716	0.444
outage	گزرنا	0.306	0.684	0.438
outback	واپس باہر	0.500	0.324	0.430
outbid	باہر نکالنا	0.594	0.622	0.540
outboard	آؤٹ بورڈ	0.448	0.491	0.456
outbreak	پھیلاؤ	0.260	0.632	0.472
outburst	دھواں	0.209	0.802	0.528
outcast	نکالا	0.153	0.449	0.353
outcome	نتیجہ	0.615	0.472	0.685
outcry	چللاہٹ	0.271	0.773	0.718
outdated	پرانی	0.167	0.236	0.226
outdo	باہر	0.771	0.750	0.873
outdoor	بیرونی	0.814	0.256	0.447
outdoors	باہر	0.781	0.444	0.453
outer	بیرونی	0.552	0.471	0.456
outfit	تنظیم	0.760	0.490	0.566
outgoing	سبکدوش ہونے والے	0.650	0.472	0.538
outgrow	باہر	0.510	0.529	0.722
outgrowth	باہر نکلنا	0.771	0.620	0.688
outhouse	گھریلو	0.281	0.519	0.255
outing	باہر	0.771	0.672	0.634
outlandish	غیر ملکی	0.448	0.737	0.657
outlast	ابلاغ	0.620	0.786	0.685
outlaw	نکالا	0.255	0.662	0.482
outlet	دکان	0.610	0.396	0.245
outline	آؤٹ لائن	0.542	0.365	0.509
outlines	خطوط	0.656	0.402	0.651
outlive	باہر نکلنا	0.565	0.769	0.724
outlook	آؤٹ لک	0.830	0.525	0.625
outlying	بیرونی	0.460	0.562	0.503
outnumber	آخرکار	0.347	0.615	0.577
outpatient	آؤٹ پٹ	0.260	0.400	0.395
outpost	چوکی	0.635	0.571	0.675
outpouring	باہر نکالنا	0.562	0.685	0.552
output	پیداوار	0.604	0.389	0.434
outrage	نفرت	0.060	0.689	0.542
outraged	نفرت	0.156	0.696	0.538
outrageous	غصہ	0.153	0.945	0.713
outrank	باہرانک	0.653	0.643	0.817
outreach	آؤٹیوچ	0.540	0.462	0.672
outright	ٹھیک ہے	0.767	0.396	0.755
outrun	باہر نکلنا	0.531	0.833	0.573
outset	شروع	0.750	0.500	0.582
outsider	باہر	0.398	0.549	0.447
outskirts	مضامین	0.474	0.519	0.312
outsmart	ختم ہو جاؤ	0.673	0.657	0.864
outspoken	باہر نکالنا	0.582	0.413	0.667
outstanding	شاندار	0.898	0.760	0.896
outstretched	ختم ہوا	0.448	0.481	0.519
outward	باہر	0.449	0.439	0.365
outwards	باہر	0.440	0.472	0.400
outweigh	اونچائی	0.486	0.600	0.682
outwit	باہر نکلنا	0.302	0.755	0.356
oval	اوندا	0.417	0.280	0.330
ovary	آلواری	0.469	0.399	0.280
ovate	گندگی	0.385	0.286	0.368
ovation	تجاویز	0.719	0.758	0.750
oven	تندور	0.583	0.425	0.606
overactive	زیادہ فعال	0.667	0.885	0.592
overall	مجموعی طور پر	0.583	0.370	0.670
overalls	ختم	0.500	0.392	0.373
overbearing	پریشان	0.323	0.833	0.861
overburden	زیادہ سے زیادہ	0.115	0.755	0.546
overcast	ختم ہوا	0.417	0.250	0.475
overcharged	زیادہ سے زیادہ	0.276	0.780	0.569
overcoat	زیادہ سے زیادہ	0.594	0.265	0.430
overcome	پر قابو پانے	0.719	0.689	0.848
overcoming	پر قابو پانے	0.842	0.765	0.855
overcrowded	زیادہ سے زیادہ	0.292	0.520	0.491
overdo	زیادہ تر	0.156	0.864	0.602
overdose	زیادہ سے زیادہ	0.110	0.820	0.468
overdrive	اضافی آمدنی	0.303	0.715	0.732
overdue	زیادہ سے زیادہ	0.125	0.427	0.259
overestimate	زیادہ سے زیادہ	0.367	0.796	0.444
overestimated	زیادہ سے زیادہ	0.344	0.646	0.527
overflow	بہاؤ	0.398	0.792	0.500
overflowing	بہاؤ	0.439	0.796	0.635
overgrown	ختم ہوا	0.333	0.500	0.369
overgrowth	زیادہ تر	0.417	0.790	0.673
overhanging	پریشان کن	0.698	0.755	0.812
overhaul	اضافی	0.500	0.651	0.491
overhead	اوپر	0.344	0.700	0.538
overhear	زیادہ تر	0.650	0.365	0.580
overheated	زیادہ سے زیادہ	0.250	0.598	0.547
overjoyed	بہت خوش	0.908	0.708	0.755
overkill	زیادہ سے زیادہ	0.379	0.861	0.678
overlaid	ختم ہو گیا	0.620	0.610	0.676
overlap	اوورلیپ	0.594	0.615	0.627
overlapping	اتبلاپ	0.595	0.578	0.684
overlay	اوورلے	0.564	0.596	0.749
overload	اوورلوڈ	0.381	0.690	0.652
overlook	نظر انداز	0.292	0.418	0.415
overlord	زیادہ تر	0.750	0.755	0.932
overlying	زیادہ تر	0.500	0.519	0.691
overpaid	زیادہ سے زیادہ	0.429	0.670	0.585
overpass	اوورپاس	0.562	0.561	0.565
overplayed	زیادہ تر	0.224	0.798	0.586
overpower	زیادہ طاقتور	0.448	0.859	0.783
overpowering	زیادہ طاقتور	0.392	0.779	0.589
overpriced	ختم ہوا	0.271	0.556	0.472
overprotective	حفاظت سے زیادہ	0.448	0.673	0.741
overrated	زیادہ سے زیادہ	0.312	0.630	0.482
overreact	بہت زیادہ	0.306	0.912	0.471
override	اوورائڈ	0.316	0.491	0.529
overriding	زیادہ سے زیادہ	0.240	0.490	0.384
overrule	overrule	0.224	0.412	0.429
overrun	زیادہ سے زیادہ	0.271	0.764	0.598
oversee	نگرانی کریں	0.541	0.649	0.778
overseer	نگرانی	0.552	0.520	0.873
overshadow	گراؤنڈ	0.333	0.549	0.654
oversight	نگرانی	0.385	0.618	0.723
oversized	وسیع	0.552	0.540	0.679
overslept	نگران	0.408	0.315	0.300
overstate	گراؤنڈ	0.281	0.779	0.635
overstock	overstock	0.344	0.592	0.589
overt	زیادہ سے زیادہ	0.708	0.326	0.607
overtake	ختم ہو جاؤ	0.573	0.620	0.718
overtaken	ختم ہوگیا	0.594	0.552	0.702
overthemoon	NO TRANSLATION	0.643	0.531	0.481
overthinker	اتباع کرنے والا	0.430	0.606	0.552
overthinking	زیادہ سوچنا	0.408	0.761	0.525
overthrow	ختم کرنا	0.260	0.868	0.620
overtime	اضافی وقت	0.447	0.504	0.529
overtired	ختم ہوا	0.210	0.357	0.273
overture	ختم	0.490	0.402	0.491
overturn	ختم ہو جاؤ	0.240	0.765	0.396
overview	جائزہ	0.615	0.380	0.539
overweight	زیادہ وزن	0.052	0.500	0.389
overwhelm	ہڑتال	0.250	0.823	0.462
overwhelmed	مغلوب	0.341	0.680	0.348
overwhelming	زبردست	0.327	0.830	0.640
overworked	ختم ہوا	0.133	0.670	0.387
overwrought	overwrought	0.156	0.900	0.571
overzealous	زہریلا	0.427	0.804	0.703
owe	الوداع	0.500	0.429	0.386
owing	اس وجہ سے	0.396	0.307	0.381
owl	اللو	0.520	0.270	0.321
owner	مالک	0.776	0.449	0.920
ownership	ملکیت	0.628	0.445	0.741
ox	بیل	0.417	0.396	0.412
oxidation	آکسیکرن	0.453	0.415	0.211
oxide	آکسائڈ	0.354	0.377	0.298
oxygen	آکسیجن	0.908	0.310	0.575
oxymoron	آکسیمورسن	0.427	0.481	0.398
oyster	اجنبی	0.500	0.311	0.327
ozone	اوزون	0.560	0.345	0.518
pace	رفتار	0.510	0.380	0.390
pacemaker	پیامیمر	0.448	0.569	0.582
pacific	pacific	0.627	0.118	0.580
pacified	پاک	0.802	0.194	0.414
pacifier	پیسیفائیر	0.615	0.342	0.356
pacifist	پیسیفسٹ	0.663	0.153	0.557
pacify	پاک	0.812	0.283	0.629
pacing	pacing	0.583	0.551	0.491
pack	پیک	0.510	0.347	0.475
package	پیکج	0.571	0.433	0.443
packaging	پیکیجنگ	0.604	0.393	0.549
packer	پیکر	0.520	0.480	0.537
packet	پیکٹ	0.582	0.385	0.407
pact	معاہدہ	0.442	0.444	0.593
pad	پیڈ	0.684	0.279	0.330
padded	بولڈ	0.606	0.212	0.371
padding	بھرتی	0.561	0.398	0.423
paddle	پیڈل	0.561	0.375	0.393
paddle boat	پیڈل کشتی	0.663	0.373	0.415
paddock	paddock	0.480	0.429	0.481
paddy	والد	0.653	0.330	0.330
padlock	پیڈل	0.459	0.284	0.457
padre	NO TRANSLATION	0.684	0.407	0.647
paean	پیان	0.552	0.547	0.471
pagan	مذاق	0.292	0.578	0.542
paganism	مذاق	0.240	0.640	0.411
page	صفحہ	0.677	0.224	0.278
pageant	صفحہ اول	0.719	0.667	0.651
pager	پوج	0.510	0.526	0.554
pagination	صفحہ بندی	0.459	0.333	0.400
paging	تصویر	0.542	0.398	0.423
pagoda	پاگوڈا	0.571	0.259	0.435
pail	پال	0.448	0.177	0.188
pain	درد	0.012	0.765	0.395
pained	درد	0.112	0.500	0.250
painful	دردناک	0.050	0.742	0.330
painfully	دردناک	0.156	0.720	0.407
painkiller	دردناک	0.487	0.312	0.481
painless	دردناک	0.785	0.173	0.491
pains	درد	0.106	0.673	0.362
painstaking	پینٹنگ	0.396	0.335	0.386
paint	پینٹ	0.667	0.343	0.413
paintball	پینٹبال	0.615	0.745	0.537
paintbrush	پینٹ برش	0.714	0.226	0.353
painted	پینٹ	0.667	0.333	0.424
painter	پینٹر	0.677	0.366	0.487
painting	پینٹنگ	0.792	0.324	0.333
pair	جوڑی	0.552	0.317	0.304
paisley	پیسلی	0.531	0.327	0.347
pajama	پاجاما	0.908	0.157	0.245
pajamas	پاجاما	0.719	0.170	0.264
pal	پال	0.812	0.426	0.596
palace	محل	0.878	0.510	0.804
palatable	صاف	0.823	0.500	0.594
palate	دھوکہ / فشنگ	0.625	0.350	0.358
pale	پیلا	0.281	0.259	0.245
paleontology	پیروٹولوجی	0.438	0.308	0.617
palette	پیلیٹ	0.590	0.333	0.205
pall	پال	0.277	0.387	0.394
palladium	پیلیڈیم	0.470	0.380	0.393
pallet	پیلیٹ	0.604	0.241	0.349
palliative	غلطی	0.548	0.394	0.518
palm	کھجور	0.531	0.194	0.340
palmer	پلمر	0.480	0.269	0.413
palomino	palomino	0.616	0.349	0.396
palpable	صاف	0.552	0.343	0.611
palpitations	کھوٹا	0.417	0.702	0.528
palsy	پالی	0.083	0.446	0.221
paltry	الٹرا	0.333	0.491	0.320
pamper	لاپرواہ	0.792	0.321	0.348
pamphlet	پہلو	0.530	0.250	0.327
pan	پین	0.734	0.182	0.364
panacea	پینسیہ	0.420	0.427	0.613
panache	پینش	0.510	0.363	0.306
pancake	پینکیک	0.802	0.274	0.364
pancakes	پینکیکس	0.844	0.373	0.402
pancreas	لبلبہ	0.469	0.302	0.366
panda	پانڈا	0.646	0.194	0.406
pandemic	پنڈیم	0.160	0.790	0.544
pandemonium	پانڈونیمیم	0.229	0.885	0.500
pane	فین	0.385	0.250	0.444
panel	پینل	0.469	0.321	0.425
pang	NO TRANSLATION	0.146	0.595	0.455
panhandle	پنچھل	0.441	0.431	0.414
panic	گھبراہٹ	0.062	0.938	0.400
panicattack	NO TRANSLATION	0.255	0.724	0.386
panicked	خوفناک	0.100	0.949	0.260
panicking	گھبراہٹ	0.094	0.882	0.333
panicky	خوفناک	0.284	0.962	0.393
panier	NO TRANSLATION	0.500	0.392	0.380
panorama	پینورما	0.719	0.402	0.625
panoramic	پینورامک	0.542	0.462	0.684
pansy	پنجی	0.653	0.283	0.589
pant	پینٹ	0.448	0.463	0.409
pantheon	پینٹون	0.144	0.410	0.610
panther	پینٹا	0.303	0.594	0.682
panties	جاںگھیا	0.594	0.529	0.312
pantomime	پینٹومیم	0.552	0.481	0.385
pantry	پینٹری	0.622	0.294	0.312
pants	پتلون	0.673	0.320	0.333
panty	پینٹی	0.451	0.557	0.303
pantyhose	پینٹیہوج	0.570	0.539	0.250
pap	پیپ	0.438	0.403	0.302
papa	والد صاحب	0.656	0.340	0.527
papacy	پاپسی	0.481	0.263	0.553
papal	NO TRANSLATION	0.493	0.304	0.559
papaya	پاپایا	0.630	0.306	0.300
paper	کاغذ	0.520	0.123	0.293
paperback	گتے	0.633	0.269	0.314
paperboy	paperboy	0.521	0.490	0.471
paperweight	کاغذ وزن	0.421	0.278	0.433
paperwork	کاغذ کا کام	0.448	0.355	0.422
paprika	پاپریکا	0.417	0.250	0.264
papyrus	papyrus	0.459	0.240	0.324
par	NO TRANSLATION	0.615	0.372	0.429
parable	مثال کے طور پر	0.479	0.357	0.525
parabola	پارابولا	0.542	0.413	0.620
parabolic	پیرابولک	0.459	0.509	0.500
parachute	پیراشوٹ	0.562	0.787	0.564
parade	پریڈ	0.792	0.685	0.509
paradigm	نمونہ	0.573	0.429	0.779
paradise	جنت	0.875	0.540	0.796
paradox	پیٹرن	0.417	0.442	0.482
paradoxical	اختلافات	0.406	0.547	0.433
paraffin	پیرافین	0.426	0.291	0.343
paragon	پارنج	0.490	0.431	0.473
paragraph	پیراگراف	0.510	0.164	0.269
parakeet	پاریکیٹ	0.576	0.387	0.227
paralegal	پارلیگل	0.479	0.470	0.519
parallax	پارلایکس	0.437	0.394	0.471
parallel	متوازی	0.568	0.284	0.465
parallelism	متوازی	0.549	0.363	0.527
paralysis	پارلیمنٹ	0.156	0.500	0.305
paralyze	ختم کرنا	0.188	0.367	0.471
paralyzed	مفلوج	0.194	0.480	0.198
paramedic	پارلیمانی	0.673	0.464	0.636
paramedics	پیرامیٹرز	0.479	0.594	0.712
paramilitary	پارلیمنٹ	0.154	0.804	0.727
paramount	بہترین	0.771	0.615	0.902
paranoia	پیروکار	0.146	0.841	0.407
paranoid	ناانصافی	0.122	0.918	0.364
paranormal	غیر معمولی	0.167	0.814	0.560
parapet	پارپیٹ	0.450	0.356	0.279
paraphernalia	پارپریلیا	0.443	0.726	0.509
paraphrase	غلطی	0.500	0.375	0.444
paraplegic	paraplegic	0.188	0.441	0.321
parasite	پرجیوی	0.092	0.442	0.324
parasitic	پرجیویی	0.037	0.600	0.364
parasol	پریزول	0.604	0.255	0.304
parcel	پارسل	0.660	0.324	0.411
parcels	پارسل	0.551	0.445	0.418
parched	جوڑا	0.250	0.235	0.255
parchment	تشریح	0.615	0.228	0.455
pardon	معافی	0.552	0.413	0.542
pare	NO TRANSLATION	0.500	0.356	0.309
parenchyma	پیرینچیما	0.500	0.399	0.595
parent	والدین	0.812	0.357	0.860
parentage	والدین	0.903	0.382	0.595
parental	والدین	0.760	0.430	0.627
parenthesis	NO TRANSLATION	0.510	0.255	0.380
parenthetical	والدین	0.490	0.327	0.391
parenthood	والدین	0.750	0.630	0.782
parenting	والدین	0.812	0.520	0.676
pariah	پریاہ	0.397	0.478	0.293
parietal	پراری	0.481	0.333	0.491
paring	پیرنگ	0.429	0.441	0.324
parish	پارش	0.698	0.354	0.582
parity	مساوات	0.582	0.406	0.407
park	پارک	0.816	0.343	0.414
parka	پارکا	0.469	0.481	0.395
parking	پارکنگ	0.777	0.469	0.510
parkinsons	parkinsons	0.104	0.570	0.373
parlance	پارلیمنٹ	0.510	0.350	0.462
parlay	پارلی	0.469	0.611	0.483
parliament	پارلیمان	0.573	0.540	0.858
parliamentary	پارلیمانی	0.490	0.554	0.755
parlor	پارلر	0.500	0.327	0.366
parmesan	کارمین	0.698	0.321	0.382
parody	پارکو	0.561	0.651	0.375
parole	پیرول	0.388	0.620	0.526
parquet	لکڑی	0.541	0.240	0.422
parrot	طوطا	0.588	0.333	0.292
parry	پیارے	0.510	0.404	0.436
parse	پیرس	0.469	0.456	0.667
parsimonious	ناممکن	0.417	0.312	0.446
parsimony	تعصب	0.449	0.280	0.403
parsley	اجمی	0.458	0.170	0.291
parson	پرسن	0.583	0.250	0.615
part	حصہ	0.663	0.278	0.360
partake	حصہ لینے	0.755	0.656	0.629
partial	جزوی	0.429	0.324	0.348
partiality	جزویت	0.375	0.380	0.490
partially	جزوی طور پر	0.418	0.368	0.396
participant	شرکاء	0.712	0.598	0.613
participate	حصہ لیں	0.755	0.580	0.684
participation	شرکت	0.781	0.700	0.702
particle	ذرہ	0.521	0.265	0.438
particular	خاص طور پر	0.562	0.402	0.552
particularity	خاصیت	0.670	0.434	0.586
particulars	ذرات	0.604	0.348	0.525
parting	تقسیم کرنا	0.260	0.542	0.353
partisan	پارٹیوں	0.615	0.549	0.669
partisanship	جشن	0.438	0.566	0.551
partition	تقسیم	0.615	0.469	0.567
partly	جزوی طور پر	0.415	0.410	0.396
partner	شراکت دار	0.673	0.302	0.586
partnership	شراکت داری	0.786	0.387	0.545
partridge	ٹکڑا	0.583	0.415	0.250
parts	حصوں	0.459	0.327	0.392
party	پارٹی	0.948	0.840	0.547
pas	NO TRANSLATION	0.490	0.344	0.262
pass	پاس	0.510	0.324	0.362
passable	قابل اعتماد	0.688	0.337	0.633
passage	گزرنا	0.429	0.314	0.370
passageway	گزرنا	0.490	0.389	0.400
passe	NO TRANSLATION	0.531	0.357	0.426
passenger	مسافر	0.717	0.413	0.481
passim	NO TRANSLATION	0.458	0.491	0.333
passing	گزر رہا ہے	0.458	0.298	0.509
passion	جذبہ	0.854	0.865	0.728
passionate	پرجوش	0.990	0.827	0.731
passive	غیر فعال	0.420	0.116	0.241
passivity	جذباتی	0.241	0.115	0.246
passkey	پاس ورڈ	0.646	0.500	0.791
passport	پاسپورٹ	0.653	0.457	0.682
password	پاس ورڈ	0.390	0.356	0.559
past	ماضی	0.490	0.422	0.311
pasta	پاستا	0.615	0.306	0.375
paste	پیسٹ کریں	0.500	0.556	0.500
pastel	پادری	0.719	0.357	0.367
pastime	ماضی	0.677	0.353	0.443
pastor	پادری	0.698	0.236	0.746
pastrami	پادری	0.542	0.415	0.348
pastry	پیسٹری	0.870	0.407	0.419
pasture	چراگاہ	0.688	0.145	0.170
pasty	پادری	0.479	0.363	0.375
pat	پیٹنٹ	0.418	0.377	0.340
patch	پیچ	0.439	0.288	0.283
patchwork	پیچ	0.500	0.260	0.325
pate	قسمت	0.406	0.260	0.260
patella	پیٹا	0.430	0.260	0.342
patent	پیٹنٹ	0.724	0.391	0.609
patented	پیٹنٹ	0.571	0.422	0.685
paternal	والدین	0.776	0.353	0.755
paternity	پادری	0.704	0.590	0.806
path	راستہ	0.590	0.245	0.421
pathetic	دلکش	0.088	0.464	0.139
pathological	راستہ	0.220	0.602	0.580
pathologist	روپوالوجی	0.354	0.552	0.585
pathology	راستہ	0.271	0.560	0.558
pathos	NO TRANSLATION	0.350	0.449	0.462
pathway	راستہ	0.646	0.410	0.519
patience	صبر	0.771	0.125	0.387
patient	صبر	0.583	0.193	0.340
patio	patio	0.562	0.245	0.402
patriarch	محب وطن	0.592	0.448	0.898
patriarchal	محب وطن	0.531	0.500	0.857
patrimony	پیراگراف	0.719	0.406	0.740
patriot	محب وطن	0.771	0.635	0.886
patriotic	وطن دوست	0.875	0.509	0.933
patriotism	محب وطن	0.708	0.635	0.848
patrol	گشت	0.427	0.664	0.736
patrolman	گشتر	0.469	0.731	0.884
patron	سرپرست	0.583	0.451	0.870
patronage	محافظ	0.583	0.490	0.583
patronising	محافظ	0.439	0.455	0.582
patronize	محافظ	0.430	0.451	0.591
patronizing	محافظ	0.542	0.365	0.529
patter	پیٹر	0.312	0.635	0.451
pattern	پیٹرن	0.479	0.422	0.664
paucity	کمی	0.153	0.453	0.175
pauper	پاپیر	0.260	0.347	0.151
pause	روک دو	0.429	0.188	0.264
pave	پچ	0.594	0.490	0.509
pavement	فرش	0.460	0.353	0.475
pavilion	مووی	0.583	0.500	0.770
paving	ہموار	0.408	0.469	0.545
paw	پن	0.417	0.360	0.286
pawn	بندر	0.390	0.321	0.187
pawnshop	موہری کی دکان	0.396	0.439	0.519
pax	پییکس	0.551	0.421	0.473
pay	ادا کرو	0.514	0.588	0.592
payable	قابل ادائیگی	0.385	0.480	0.606
payback	واپسی	0.459	0.500	0.567
paycheck	پےچک	0.896	0.630	0.652
