Word	Maori-mi	Valence	Arousal	Dominance
mottled	ka peke	0.380	0.336	0.295
motto	motokoto	0.688	0.317	0.439
mould	paraoa	0.357	0.176	0.246
mound	puranga	0.520	0.481	0.509
mount	maunga	0.500	0.292	0.348
mountain	maunga	0.698	0.408	0.649
mountaineer	maunga	0.635	0.774	0.535
mountainous	maunga	0.635	0.519	0.612
mountains	maunga	0.766	0.433	0.569
mountaintop	maunga	0.653	0.541	0.713
mourn	tangi	0.056	0.583	0.150
mournful	pouri	0.180	0.441	0.188
mourning	pouri	0.177	0.490	0.266
mouse	kiore	0.427	0.441	0.206
mousetrap	kapi	0.180	0.643	0.330
mousse	moamu	0.604	0.336	0.368
moustache	ngutu	0.470	0.236	0.409
mousy	mousy	0.480	0.413	0.339
mouth	waha	0.734	0.294	0.336
mouthful	mangai	0.609	0.565	0.389
mouthpiece	mangai	0.573	0.346	0.393
mouthwash	waha	0.438	0.385	0.352
movable	ka taea	0.469	0.509	0.500
move	neke	0.656	0.647	0.670
movement	kaupapa	0.656	0.654	0.658
mover	whakawhiti	0.615	0.539	0.466
movie	kiriata	0.792	0.560	0.471
movies	kiriata	0.724	0.426	0.472
moving	te neke	0.479	0.673	0.358
movingforward	NO TRANSLATION	0.857	0.518	0.848
movingon	nekehanga	0.490	0.529	0.435
mow	mow	0.420	0.559	0.393
mower	kaiparau	0.458	0.510	0.368
moxie	moxie	0.531	0.490	0.366
mozzarella	mozzarella	0.653	0.265	0.340
mri	mri	0.365	0.431	0.349
muchneeded	NO TRANSLATION	0.438	0.602	0.455
mucis	NO TRANSLATION	0.398	0.418	0.420
muck	peke	0.347	0.423	0.272
mucked	ka peke	0.184	0.500	0.373
mucous	mucous	0.330	0.296	0.293
mucus	Tuhinga	0.143	0.309	0.228
mud	paru	0.333	0.260	0.185
muddle	Tuhinga o mua	0.184	0.710	0.336
muddled	ka takahia	0.250	0.615	0.263
muddy	paru	0.292	0.400	0.283
muff	muff	0.542	0.335	0.314
muffin	muffin	0.684	0.430	0.306
muffled	ka makona	0.479	0.330	0.421
muffler	muffler	0.357	0.407	0.454
mug	koko	0.542	0.214	0.382
mugger	mugger	0.125	0.850	0.500
mulberry	karaka	0.469	0.315	0.361
mulch	Tuhinga	0.349	0.361	0.383
mule	mule	0.320	0.337	0.254
mull	mull	0.663	0.340	0.594
mullet	potae	0.521	0.356	0.377
multilateral	Tuhinga	0.500	0.469	0.705
multimedia	rongorau	0.611	0.390	0.607
multinational	umanga maha	0.656	0.510	0.842
multiple	maha	0.660	0.510	0.578
multiple sclerosis	te maha o te sclerosis	0.188	0.587	0.483
multiplex	multiplex	0.610	0.590	0.667
multiplication	whakawhitinga	0.646	0.565	0.762
multiplicity	maha	0.677	0.490	0.777
multiplied	whakanui	0.802	0.559	0.729
multiplier	whakanui	0.643	0.615	0.741
multiply	whakanui	0.802	0.625	0.777
multitude	tini	0.562	0.765	0.847
mum	mama	0.802	0.317	0.698
mumble	pakaru	0.292	0.444	0.245
mumbo	mumbo	0.429	0.506	0.336
mummy	mummy	0.400	0.588	0.415
mumps	ngongo	0.099	0.410	0.311
munch	Tuhinga o mua	0.541	0.277	0.434
munchies	Tuhinga o mua	0.562	0.470	0.491
munchkin	makona	0.490	0.466	0.374
mundane	mundane	0.312	0.420	0.480
municipal	paone	0.625	0.390	0.758
municipality	rohe	0.569	0.280	0.614
mural	karaehe	0.551	0.265	0.454
murder	kohuru	0.061	0.942	0.615
murderer	kaikohuru	0.010	0.960	0.650
murderess	kaikohuru	0.041	0.941	0.462
murderous	kohuru	0.017	0.940	0.682
murky	murky	0.143	0.618	0.370
murmur	amuamu	0.458	0.520	0.200
muscle	te uaua	0.359	0.490	0.645
muscular	hauora	0.531	0.434	0.577
muse	whakahua	0.760	0.360	0.509
muses	ngongo	0.714	0.434	0.571
museum	whare taonga	0.792	0.206	0.481
mush	NO TRANSLATION	0.500	0.311	0.125
mushroom	mushroom	0.490	0.274	0.269
mushy	whakahua	0.520	0.200	0.182
music	waiata	0.833	0.563	0.605
musical	waiata	0.908	0.630	0.530
musician	kaiwaiata	0.816	0.509	0.618
musing	whakahua	0.740	0.151	0.465
musk	musk	0.469	0.454	0.453
musket	whakaheke	0.260	0.654	0.510
musketeer	kaihokohoko	0.694	0.569	0.705
muskrat	muskrat	0.439	0.510	0.368
muslin	muslin	0.439	0.304	0.352
muss	NO TRANSLATION	0.418	0.438	0.302
must	me	0.408	0.382	0.441
mustang	pona	0.635	0.642	0.708
mustard	pua nani	0.500	0.346	0.275
muster	whakawhiti	0.635	0.460	0.548
musty	mema	0.354	0.367	0.267
mutable	kaore e taea	0.426	0.531	0.491
mutant	mutant	0.337	0.676	0.573
mutate	whakawhiti	0.281	0.548	0.463
mutation	rerekē	0.365	0.625	0.611
mute	mute	0.271	0.200	0.250
muted	whakaheke	0.260	0.167	0.162
mutilate	whakawhiti	0.125	0.900	0.465
mutilated	mutilated	0.041	0.841	0.356
mutilation	whakaheke	0.122	0.782	0.456
mutiny	whakaheke	0.323	0.890	0.549
mutt	mutt	0.418	0.408	0.387
mutter	NO TRANSLATION	0.406	0.427	0.228
mutton	mutton	0.427	0.283	0.393
mutual	tahi	0.729	0.321	0.464
mutually	takitahi	0.844	0.490	0.582
muzzle	pupuhi	0.388	0.430	0.232
myfavorite	myfavorite	0.812	0.587	0.615
myopia	myopia	0.245	0.387	0.226
myopic	myopic	0.344	0.396	0.218
myriad	rau	0.480	0.429	0.550
mysterious	mea ngaro	0.448	0.699	0.455
mystery	ngaro	0.417	0.667	0.519
mystic	pūtaiao	0.643	0.520	0.535
mystical	matatini	0.594	0.443	0.689
mysticism	Tuhinga	0.594	0.598	0.423
mystified	Tuhinga o mua	0.344	0.600	0.509
mystique	mystique	0.668	0.633	0.667
myth	pūrākau	0.458	0.432	0.338
mythic	Tuhinga o mua	0.635	0.528	0.645
mythical	Tuhinga	0.625	0.556	0.583
mythological	Tuhinga o mua	0.760	0.573	0.658
mythology	ngā kōrero tuku iho	0.684	0.439	0.688
nab	nab	0.469	0.544	0.407
nacho	necho	0.667	0.259	0.333
nada	NO TRANSLATION	0.250	0.231	0.136
nadir	Nadir	0.479	0.363	0.424
nag	NO TRANSLATION	0.271	0.451	0.472
nail	titi	0.469	0.397	0.282
nail gun	pupuhi titi	0.378	0.806	0.574
naive	koree	0.406	0.260	0.375
naked	tahanga	0.323	0.885	0.288
nakedness	tahanga	0.480	0.760	0.350
namaste	NO TRANSLATION	0.719	0.255	0.464
name	ingoa	0.573	0.300	0.415
named	ingoa	0.562	0.396	0.565
nameless	ingoakore	0.344	0.280	0.164
namesake	ingoa	0.418	0.327	0.404
naming	te ingoa	0.667	0.410	0.559
nana	nana	0.765	0.255	0.375
nanny	nanny	0.615	0.370	0.528
nanometer	nanometer	0.375	0.356	0.446
nap	Tuhinga	0.660	0.098	0.342
napalm	napalm	0.265	0.580	0.471
nape	tape	0.427	0.268	0.298
napkin	taera	0.469	0.142	0.209
napping	takahi	0.765	0.046	0.306
nappy	kaore	0.529	0.333	0.207
narcissism	Tuhinga o mua	0.214	0.639	0.540
narcissist	narcissist	0.173	0.614	0.629
narcissistic	narcissistic	0.323	0.708	0.655
narcotic	narcotic	0.102	0.858	0.450
narrate	korero	0.541	0.480	0.473
narration	korero	0.622	0.408	0.551
narrative	korero	0.580	0.303	0.443
narrator	kaiwhakaatu	0.673	0.430	0.623
narrow	whaiti	0.260	0.368	0.356
narrowing	whakaiti	0.354	0.593	0.357
nasal	Tuhinga	0.479	0.340	0.330
nascent	Tuhinga	0.684	0.373	0.585
nasty	he kino	0.115	0.620	0.264
natal	natal	0.755	0.462	0.481
nation	iwi	0.594	0.443	0.821
national	motu	0.698	0.365	0.663
nationality	Tuhinga o mua	0.642	0.400	0.772
nationwide	puta noa i te motu	0.684	0.217	0.672
native	taketake	0.635	0.422	0.710
nativity	whanau whanau	0.750	0.337	0.673
natural	taiao	0.854	0.118	0.481
natural gas	hau-taiao	0.635	0.324	0.396
naturalist	tohunga maori	0.844	0.255	0.562
naturalization	tikanga	0.781	0.279	0.652
naturalized	naturalized	0.760	0.333	0.600
naturally	te tikanga	0.854	0.276	0.549
nature	āhua	0.857	0.184	0.643
naught	kahore	0.344	0.176	0.161
naughty	kino	0.451	0.857	0.371
nausea	taunaha	0.104	0.781	0.273
nauseate	maunu	0.062	0.660	0.176
nauseating	tause	0.021	0.640	0.250
nauseous	maunu	0.135	0.780	0.284
nautical	nautical	0.646	0.250	0.579
nautilus	nautilus	0.396	0.509	0.517
naval	kauhoe	0.542	0.449	0.679
nave	nave	0.583	0.448	0.585
navel	tohu	0.448	0.261	0.276
navigable	te whakatere	0.749	0.406	0.645
navigate	whakatere	0.740	0.555	0.675
navigation	whakatere	0.841	0.470	0.720
navigational	whakatere	0.573	0.481	0.564
navigator	kaiwhakatere	0.583	0.592	0.623
navy	Tuhinga o mua	0.531	0.760	0.764
nay	NO TRANSLATION	0.344	0.290	0.325
nearsighted	Tuhinga kaore	0.271	0.373	0.265
neat	Tuhinga	0.878	0.235	0.491
neatly	neatly	0.802	0.412	0.588
nebula	nebula	0.510	0.418	0.438
nebulae	nebulae	0.490	0.330	0.472
nebulous	nebulous	0.469	0.347	0.417
necessarily	tika	0.667	0.423	0.598
necessary	tika	0.750	0.433	0.679
necessitate	e tika ana	0.578	0.604	0.516
necessities	nga mea e hiahiatia ana	0.520	0.630	0.463
necessity	Tuhinga	0.567	0.471	0.588
neck	kaki	0.541	0.245	0.345
necklace	kohi	0.760	0.294	0.373
necktie	Tuhinga	0.583	0.229	0.314
necromancer	necromancer	0.333	0.625	0.536
necrosis	necrosis	0.115	0.622	0.385
nectar	nectar	0.746	0.331	0.398
need	hiahia	0.510	0.574	0.200
needalife	NO TRANSLATION	0.490	0.443	0.394
needed	hiahiatia	0.677	0.342	0.679
needful	he hiahia	0.582	0.460	0.614
needit	NO TRANSLATION	0.250	0.472	0.356
needle	tii	0.250	0.472	0.360
needlepoint	Tuhinga o mua	0.653	0.500	0.556
needles	kohu	0.250	0.602	0.348
needless	kore noa	0.327	0.385	0.200
needtoknow	needtoknow	0.427	0.606	0.474
needtorelax	NO TRANSLATION	0.673	0.438	0.274
needy	rawakore	0.360	0.451	0.245
nefarious	nefarious	0.184	0.720	0.528
negation	Tuhinga	0.255	0.461	0.297
negative	kino	0.102	0.527	0.176
negativity	negativity	0.060	0.520	0.273
neglect	ka wareware	0.045	0.550	0.163
neglected	Tuhinga o mua	0.271	0.385	0.160
neglecting	Tuhinga o mua	0.177	0.441	0.230
negligee	Tuhinga o mua	0.385	0.520	0.336
negligence	te mangere	0.092	0.570	0.251
negligent	korere	0.167	0.583	0.259
negligently	NO TRANSLATION	0.056	0.583	0.266
negligible	he iti rawa	0.177	0.292	0.232
negotiable	Tuhinga	0.688	0.585	0.731
negotiate	whakarite	0.612	0.708	0.769
negotiation	te whiriwhiringa	0.490	0.615	0.728
negotiator	kaihoko	0.635	0.471	0.817
negro	Tuhinga o mua	0.354	0.368	0.461
neigh	tata	0.378	0.642	0.373
neighbor	hoa tata	0.657	0.448	0.434
neighborhood	tata	0.385	0.469	0.373
neighboring	tata	0.656	0.306	0.481
nemesis	nemesis	0.271	0.688	0.647
neon	neon	0.594	0.480	0.380
neonatal	neonatal	0.542	0.529	0.357
neophyte	neophyte	0.286	0.363	0.411
neoprene	neoprene	0.316	0.451	0.443
nephew	teina	0.719	0.337	0.412
nepotism	nepotism	0.349	0.584	0.517
nerd	Tuhinga o mua	0.408	0.481	0.315
nerdy	nerdy	0.296	0.255	0.292
nerve	whara	0.129	0.698	0.307
nerves	kohanga	0.333	0.783	0.264
nervous	Tuhinga	0.235	0.820	0.213
nervousness	Tuhinga o mua	0.163	0.915	0.241
nervouswreck	NO TRANSLATION	0.112	0.867	0.179
nervy	NO TRANSLATION	0.250	0.830	0.241
ness	Tuhinga	0.396	0.480	0.392
nest	kohanga	0.687	0.221	0.333
nestle	Nestle	0.625	0.308	0.379
nestling	Tuhinga o mua	0.604	0.427	0.286
net	kupenga	0.441	0.288	0.417
nether	Tuhinga	0.240	0.265	0.259
netting	Tuhinga	0.368	0.509	0.585
nettle	whara	0.406	0.324	0.490
network	whatunga	0.531	0.337	0.466
networking	whatunga	0.625	0.482	0.545
neural	neura	0.582	0.426	0.391
neuralgia	neurora	0.092	0.706	0.439
neurological	neurological	0.500	0.540	0.558
neurologist	neurologist	0.608	0.500	0.736
neurology	neurology	0.459	0.537	0.580
neurosis	neurosis	0.122	0.766	0.418
neurosurgeon	neurosurgeon	0.590	0.673	0.755
neurosurgery	neurosurgery	0.490	0.632	0.730
neurotic	neurotic	0.198	0.801	0.387
neuter	neuter	0.621	0.163	0.302
neutral	Tuhinga o mua	0.469	0.184	0.357
neutrality	Tuhinga o mua	0.469	0.205	0.434
neutralize	whakakore	0.519	0.363	0.719
neutron	Tuhinga o mua	0.469	0.440	0.679
new	hou	0.917	0.490	0.582
new age	tau hou	0.694	0.556	0.727
newbeginnings	NO TRANSLATION	0.802	0.613	0.524
newborn	whanau hou	0.918	0.580	0.372
newcomer	newcomer	0.622	0.380	0.396
newday	newday	0.847	0.388	0.618
newfound	newfound	0.745	0.741	0.520
newjob	NO TRANSLATION	0.755	0.643	0.729
newlife	newlife	0.898	0.646	0.701
newly	hou	0.688	0.422	0.552
newlywed	Tuhinga o mua	0.847	0.706	0.570
newme	newme	0.643	0.550	0.527
newness	hou	0.740	0.522	0.588
news	rongo	0.633	0.580	0.610
newscast	Tuhinga o mua	0.531	0.509	0.714
newscaster	Tuhinga o mua	0.646	0.510	0.764
newsflash	newsflash	0.604	0.637	0.518
newsletter	panui	0.622	0.385	0.490
newsman	kairongo	0.604	0.480	0.696
newspaper	niupepa	0.602	0.283	0.444
newspaperman	Tuhinga o mua	0.561	0.458	0.750
newsreel	panui	0.625	0.571	0.577
newsroom	newsroom	0.531	0.392	0.658
newsstand	panui korero	0.615	0.222	0.336
newstart	newstart	0.802	0.510	0.667
newt	newt	0.458	0.380	0.541
newyear	NO TRANSLATION	0.938	0.784	0.520
nexus	nohonga	0.496	0.368	0.412
nib	a	0.510	0.282	0.406
nibble	kainga	0.551	0.551	0.411
nice	pai	0.930	0.442	0.650
niche	niche	0.459	0.413	0.318
nichts	NO TRANSLATION	0.406	0.293	0.404
nick	Tuhinga o mua	0.554	0.388	0.387
nickel	nickel	0.510	0.347	0.406
nickname	ingoa ingoa	0.490	0.470	0.263
nicotine	Nicotine	0.235	0.608	0.447
niece	Tuhinga o mua	0.771	0.320	0.400
nifty	Tuhinga o mua	0.740	0.745	0.815
nigger	Naku	0.240	0.347	0.398
nigh	tata	0.653	0.216	0.336
night	po	0.598	0.396	0.404
nightcap	poakapoke	0.750	0.196	0.268
nightclub	karaoke	0.802	0.894	0.528
nightfall	po	0.490	0.436	0.426
nightgown	Tuhinga o mua	0.643	0.408	0.250
nightie	po	0.630	0.388	0.274
nightingale	poraka	0.740	0.340	0.496
nightlife	te po	0.542	0.783	0.510
nightly	i te po	0.673	0.410	0.474
nightmare	moemoea	0.005	0.810	0.436
nightmares	moemoea	0.082	0.942	0.448
nightstand	paparanga moemoea	0.490	0.130	0.327
nightstick	te po	0.500	0.461	0.348
nighttime	po	0.735	0.385	0.439
nihilism	nihilism	0.367	0.510	0.364
nil	Tuhinga o mua	0.286	0.143	0.157
nimble	Tuhinga	0.833	0.729	0.769
nimrod	Nimrod	0.327	0.500	0.539
nincompoop	nincompoop	0.365	0.431	0.368
nine	iwa	0.552	0.255	0.327
nineteen	tekau ma iwa	0.673	0.304	0.375
ninety	iwa tekau	0.479	0.349	0.436
ninja	ninja	0.542	0.844	0.682
ninny	ninny	0.344	0.343	0.309
nintendo	nintendo	0.802	0.571	0.464
ninth	te iwa	0.490	0.212	0.396
nip	nip	0.281	0.700	0.264
nipper	kapi	0.386	0.422	0.317
nipple	pepeha	0.480	0.786	0.415
nippy	kaore	0.540	0.500	0.416
nitrate	Tuhinga	0.388	0.406	0.500
nitro	nitro	0.500	0.647	0.639
nitrogen	hauota	0.427	0.435	0.562
nitrous	Tuhinga o mua	0.435	0.561	0.411
nitwit	nitwit	0.146	0.606	0.139
nix	nix	0.330	0.380	0.404
no anticipation	kahore he kaupapa	0.396	0.480	0.341
no disgust	kahore he kino	0.510	0.324	0.448
no emotion	kahore he aronga	0.170	0.109	0.225
no sentiment	kahore he whakaaro	0.092	0.382	0.278
no surprise	kahore he maere	0.171	0.224	0.412
no trust	kahore he whakawhirinaki	0.055	0.445	0.257
nobility	rangatira	0.844	0.347	0.736
noble	rangatira	0.906	0.345	0.610
nobleman	rangatira	0.675	0.286	0.709
nobodycares	NO TRANSLATION	0.365	0.410	0.354
nocomplaints	NO TRANSLATION	0.677	0.164	0.491
nocturnal	noema	0.540	0.500	0.462
nod	Tuhinga	0.590	0.367	0.427
nodding	te whakahou	0.694	0.294	0.426
node	kōpuku	0.396	0.343	0.361
nodular	nodular	0.438	0.351	0.411
nodule	nodule	0.312	0.426	0.349
noggin	noggin	0.510	0.433	0.382
nohope	NO TRANSLATION	0.200	0.441	0.385
noir	pango	0.375	0.394	0.365
noise	reo	0.260	0.883	0.388
noisy	pupuhi	0.271	0.812	0.561
nomad	nomad	0.375	0.413	0.433
nomadic	nomadic	0.427	0.519	0.422
nomenclature	nomenclature	0.500	0.222	0.575
nominal	whakaingoa	0.594	0.250	0.463
nominate	whakaingoatia	0.615	0.471	0.669
nomination	whakaingoa	0.663	0.637	0.696
nominee	kaitono	0.662	0.625	0.765
nonce	kore	0.422	0.370	0.377
nonchalant	kaore e noho ana	0.312	0.314	0.366
noncompliance	Tuhinga	0.112	0.598	0.259
nondescript	nondescript	0.490	0.434	0.348
nonexistent	kaore ano	0.208	0.429	0.149
nonfat	korepu	0.604	0.260	0.340
nonfiction	Tuhinga kore	0.426	0.315	0.431
nonpayment	Tuhinga o mua	0.229	0.510	0.298
nonresident	Tuhinga o mua	0.250	0.340	0.302
nonsense	korero kore	0.214	0.531	0.155
nonsensical	kaore he korero	0.173	0.268	0.193
nonviolent	Tuhinga kore	0.640	0.287	0.346
noob	noob	0.417	0.430	0.267
noodle	noodle	0.633	0.216	0.225
nook	nook	0.480	0.321	0.296
noon	i te poutumaro	0.531	0.343	0.518
noose	Tuhinga o mua	0.356	0.300	0.330
nopoint	NO TRANSLATION	0.276	0.324	0.314
noregrets	NO TRANSLATION	0.469	0.476	0.426
norm	tikanga	0.500	0.245	0.527
normal	noa	0.740	0.127	0.380
normalcy	tika	0.805	0.151	0.620
normality	tikanga	0.781	0.089	0.444
north	raki	0.531	0.255	0.450
northbound	raki	0.604	0.454	0.491
northeast	raki	0.562	0.260	0.375
northern	raki	0.570	0.340	0.472
northwest	raki	0.604	0.345	0.451
northwestern	raki	0.479	0.306	0.462
noschool	NO TRANSLATION	0.490	0.400	0.380
nose	ihu	0.582	0.270	0.245
nosebleed	ka kaha	0.153	0.776	0.361
nosey	ngongo	0.276	0.655	0.223
nosnow	mohio	0.392	0.394	0.366
nostalgia	nostalgia	0.417	0.337	0.339
nostalgic	nostalgic	0.458	0.351	0.184
nostress	NO TRANSLATION	0.531	0.404	0.415
nostril	Tuhinga o mua	0.396	0.404	0.316
nosun	NO TRANSLATION	0.388	0.380	0.351
nosy	ngongo	0.292	0.558	0.433
not negative	kaua he kino	0.622	0.270	0.444
not positive	kaore i te pai	0.051	0.370	0.236
notable	rongonui	0.760	0.450	0.696
notables	rangatira	0.594	0.608	0.755
notably	nui	0.792	0.533	0.689
notamorningperson	NO TRANSLATION	0.469	0.578	0.440
notary	notary	0.541	0.451	0.676
notation	Tuhinga	0.635	0.380	0.558
notch	pānui	0.459	0.361	0.358
notched	ka mataara	0.480	0.530	0.356
note	Tuhinga	0.594	0.163	0.416
notebook	pukamahi	0.449	0.167	0.442
noted	i tuhia	0.615	0.382	0.464
noteworthy	mea nui	0.704	0.481	0.759
nothappy	NO TRANSLATION	0.112	0.320	0.170
nothingbetter	NO TRANSLATION	0.635	0.390	0.543
nothingness	Tuhinga	0.204	0.080	0.161
notice	Tuhinga	0.646	0.408	0.491
noticeable	ka kitea	0.890	0.562	0.750
notification	whakamōhiotanga	0.604	0.461	0.671
notify	whakamōhio	0.643	0.471	0.573
notion	whakaaro	0.612	0.284	0.667
notional	Tuhinga	0.520	0.288	0.500
notoriety	Tuhinga o mua	0.552	0.633	0.769
notorious	rongonui	0.366	0.582	0.609
notready	kāore i mua	0.133	0.400	0.196
notwithstanding	ahakoa	0.367	0.316	0.433
nought	kahore	0.312	0.098	0.116
noun	noun	0.531	0.230	0.477
nourish	whāngai	0.878	0.460	0.639
nourishment	kai	0.786	0.290	0.631
nouveau	NO TRANSLATION	0.633	0.438	0.432
novel	tuhinga	0.702	0.352	0.439
novelist	kaituhi	0.340	0.343	0.529
novelty	Tuhinga	0.673	0.521	0.740
novice	novice	0.429	0.346	0.180
nowadays	i enei wa	0.680	0.346	0.400
nowork	Tuhinga o mua	0.312	0.264	0.309
noworries	nga waatea	0.630	0.402	0.500
noxious	kino	0.177	0.585	0.379
nozzle	pupuhi	0.438	0.330	0.287
nuance	Nuance	0.408	0.282	0.411
nuances	Nuances	0.490	0.375	0.527
nuclear	karihi	0.219	0.856	0.781
nucleus	Tuhinga	0.529	0.296	0.667
nude	Tuhinga	0.490	0.915	0.200
nudge	whakaheke	0.448	0.500	0.509
nudie	nudie	0.500	0.529	0.373
nudist	kawe	0.440	0.796	0.483
nudity	Tuhinga o mua	0.438	0.853	0.415
nugget	nugget	0.602	0.340	0.348
nuisance	he kino	0.198	0.817	0.227
nuke	nuke	0.125	0.905	0.873
nul	NO TRANSLATION	0.337	0.358	0.264
null	null	0.253	0.147	0.152
nullify	whakakorea	0.255	0.373	0.395
numb	numb	0.108	0.420	0.352
number	tau	0.406	0.231	0.471
numbering	te tatauranga	0.510	0.363	0.482
numbers	tau	0.406	0.241	0.440
numbness	Tuhinga	0.306	0.398	0.265
numbskull	numbskull	0.300	0.472	0.284
numeral	nama	0.582	0.254	0.382
numerator	nama	0.490	0.317	0.526
numerical	numera	0.479	0.322	0.517
numerically	maha	0.510	0.337	0.500
numerous	maha	0.622	0.462	0.609
nun	NO TRANSLATION	0.500	0.150	0.406
nunchucks	nunchucks	0.337	0.580	0.526
nunnery	Tuhinga o mua	0.653	0.236	0.473
nuptials	Tuhinga	0.771	0.588	0.571
nurse	nurse	0.635	0.578	0.521
nursemaid	kahurangi	0.615	0.431	0.436
nursery	panuhi	0.894	0.406	0.389
nursing	ka atawhai	0.552	0.549	0.653
nurture	whakanui	0.745	0.378	0.657
nut	nut	0.365	0.310	0.250
nutcase	ngati	0.286	0.775	0.259
nutcracker	kapi	0.635	0.378	0.522
nuthouse	nuter	0.347	0.519	0.434
nutmeg	nutmeg	0.635	0.302	0.350
nutrition	te kai tōtika	0.885	0.420	0.579
nutritional	te kai	0.812	0.406	0.676
nutritious	hauora	0.833	0.337	0.655
nutritive	te kai	0.875	0.422	0.667
nuts	nati	0.594	0.250	0.291
nutshell	pati	0.458	0.407	0.310
nutty	hauora	0.444	0.317	0.271
nylon	nylon	0.490	0.304	0.295
nylong	NO TRANSLATION	0.439	0.248	0.351
nylons	nga nylon	0.556	0.379	0.320
nymph	nymph	0.542	0.529	0.472
nymphomaniac	nymphomaniac	0.398	0.894	0.536
oaf	Tuhinga o mua	0.344	0.357	0.330
oak	oki	0.583	0.245	0.536
oar	Tuhinga o mua	0.469	0.392	0.316
oasis	oasis	0.796	0.283	0.429
oat	Tuhinga o mua	0.622	0.170	0.298
oath	oati	0.543	0.615	0.824
oatmeal	oatmeal	0.592	0.192	0.241
obedience	whakarongo	0.765	0.287	0.536
obedient	whakarongo	0.800	0.179	0.518
obediently	kia ngohengohe	0.802	0.304	0.577
obelisk	te porohita	0.604	0.408	0.596
obese	kohu	0.133	0.427	0.250
obesity	nui	0.215	0.370	0.328
obey	whakarongo	0.677	0.433	0.533
obi	ngakau	0.469	0.442	0.414
obit	Tuhinga	0.410	0.464	0.393
obituary	Tuhinga o mua	0.188	0.330	0.423
object	ahanoa	0.531	0.356	0.375
objection	whakahē	0.347	0.592	0.709
objectionable	whakahē	0.459	0.382	0.558
objective	whāinga	0.724	0.337	0.736
objectivity	te aukati	0.765	0.431	0.711
obligation	kawenga	0.222	0.596	0.718
obligatory	Tuhinga	0.337	0.571	0.780
oblige	toha	0.281	0.770	0.614
obliged	Tuhinga o mua	0.327	0.680	0.411
obliging	Tuhinga o mua	0.740	0.402	0.545
obligor	Tuhinga o mua	0.302	0.600	0.360
oblique	Tuhinga	0.438	0.347	0.455
obliterate	whakakorea	0.250	0.539	0.569
obliterated	whakakorea	0.240	0.469	0.344
obliteration	murua	0.177	0.622	0.397
oblivion	wareware	0.153	0.330	0.282
oblivious	kore e mohio	0.229	0.388	0.355
oblong	Tuhinga	0.561	0.455	0.370
obnoxious	whakaharahara	0.088	0.602	0.256
oboe	oboe	0.510	0.340	0.392
obscene	paku	0.050	0.745	0.348
obscenity	kino	0.083	0.843	0.418
obscure	pouri	0.370	0.551	0.278
obscured	ka ngaro	0.115	0.356	0.298
obscurity	pouri	0.208	0.392	0.380
observance	tiaki	0.531	0.315	0.632
observant	Tuhinga	0.740	0.422	0.708
observation	tirohanga	0.633	0.433	0.667
observatory	whakatupato	0.643	0.324	0.731
observe	titiro	0.771	0.390	0.360
observer	kaitiaki	0.663	0.363	0.603
observing	te matakitaki	0.583	0.400	0.685
obsess	Tuhinga	0.112	0.846	0.509
obsessed	ka raru	0.219	0.840	0.439
obsessing	ka matakitaki	0.173	0.773	0.698
obsession	Tuhinga o mua	0.229	0.847	0.571
obsessive	paku	0.219	0.823	0.480
obsolescence	matakite	0.250	0.431	0.377
obsolete	kua pahure	0.337	0.321	0.250
obstacle	Tuhinga	0.204	0.708	0.336
obstetrician	obstetrician	0.521	0.636	0.604
obstetrics	matatini	0.530	0.582	0.564
obstinate	whakapehapeha	0.146	0.696	0.562
obstruct	whakakore	0.115	0.660	0.458
obstruction	takahi	0.125	0.742	0.491
obstructive	pati	0.204	0.650	0.613
obtain	whiwhi	0.760	0.438	0.731
obtainable	ka taea	0.677	0.327	0.702
obtuse	Tuhinga	0.281	0.460	0.345
obverse	Tuhinga	0.470	0.394	0.464
obvious	mārama	0.625	0.336	0.585
ocarina	ocarina	0.541	0.392	0.366
occasion	Tuhinga	0.700	0.451	0.398
occasional	he wa poto	0.490	0.298	0.387
occasionally	i etahi wa	0.538	0.240	0.264
occipital	tūmahi	0.398	0.408	0.518
occlusion	hihiri	0.306	0.439	0.442
occult	hara	0.292	0.382	0.406
occupancy	nohonga	0.625	0.471	0.721
occupant	e noho ana	0.500	0.417	0.483
occupation	mahi	0.562	0.470	0.692
occupational	mahi	0.583	0.469	0.596
occupied	i noho	0.337	0.546	0.441
occupier	kaimahi	0.427	0.438	0.600
occupy	noho	0.396	0.520	0.589
occupying	noho ana	0.573	0.462	0.519
occur	puta	0.451	0.561	0.510
occurrence	Tuhinga	0.573	0.690	0.541
ocd	Tuhinga o mua	0.333	0.472	0.370
ocean	moana	0.823	0.308	0.642
oceanic	moana	0.740	0.317	0.632
octagon	tauera	0.602	0.349	0.462
octave	Tuhinga o mua	0.438	0.380	0.482
octopus	Tuhinga o mua	0.713	0.378	0.411
ocular	Tuhinga	0.418	0.370	0.400
odd	kore	0.265	0.337	0.302
oddball	piripiri	0.316	0.360	0.357
oddity	Tuhinga	0.312	0.557	0.386
odds	Tuhinga	0.500	0.472	0.680
ode	Tuhinga	0.604	0.269	0.519
odious	kino	0.235	0.708	0.235
odometer	Tuhinga o mua	0.367	0.470	0.388
odor	kakara	0.337	0.363	0.404
odyssey	Tuhinga	0.622	0.692	0.710
