Word	Thai-th	Valence	Arousal	Dominance
meanness	ความถ่อย	0.102	0.694	0.368
means	วิธี	0.615	0.373	0.460
meantime	ขณะ	0.432	0.222	0.300
measles	โรคหัด	0.092	0.635	0.422
measurable	พอประมาณ	0.604	0.410	0.602
measure	วัด	0.510	0.375	0.365
measured	วัด	0.542	0.265	0.578
measurement	การวัด	0.622	0.418	0.491
measuring	การวัด	0.448	0.337	0.529
measuring cup	ถ้วยวัด	0.557	0.343	0.377
measuring tape	เทปวัด	0.337	0.280	0.327
meat	เนื้อ	0.612	0.421	0.413
meatball	ลูกชิ้น	0.612	0.279	0.343
meathead	meathead	0.306	0.534	0.490
meatloaf	มีทโลฟ	0.625	0.389	0.375
mechanic	ช่าง	0.571	0.433	0.566
mechanical	เชิงกล	0.479	0.569	0.564
mechanics	กลศาสตร์	0.542	0.500	0.761
mechanism	กลไก	0.573	0.583	0.664
med	NO TRANSLATION	0.375	0.429	0.606
medal	เหรียญ	0.854	0.555	0.746
medallion	เหรียญกระษาปณ์	0.750	0.510	0.710
medallist	คนทำเหรียญ	0.796	0.821	0.897
meddle	เข้าไปยุ่ง	0.302	0.770	0.526
meddling	การแทรกแซง	0.245	0.600	0.461
media	สื่อ	0.500	0.330	0.464
medial	อยู่ตรงกลาง	0.458	0.340	0.429
median	มัธยฐาน	0.459	0.216	0.375
mediate	ไกล่เกลี่ย	0.635	0.308	0.654
mediation	การไกล่เกลี่ย	0.661	0.350	0.657
mediator	สื่อกลาง	0.592	0.438	0.580
medic	แพทย์	0.500	0.472	0.585
medical	ทางการแพทย์	0.583	0.373	0.616
medicate	วางยา	0.417	0.375	0.546
medication	ยา	0.615	0.439	0.500
medicinal	เป็นยา	0.667	0.417	0.614
medicine	ยา	0.708	0.318	0.679
medieval	สมัยกลาง	0.560	0.408	0.455
mediocre	ปานกลาง	0.188	0.481	0.149
mediocrity	ความสามัญ	0.073	0.398	0.225
meditate	รำพึง	0.812	0.146	0.564
meditating	การนั่งสมาธิ	0.718	0.185	0.399
meditation	การทำสมาธิ	0.786	0.120	0.478
meditative	ชอบคิด	0.614	0.120	0.454
mediterranean	ทะเลเมดิเตอร์เรเนียน	0.663	0.454	0.545
medium	กลาง	0.559	0.356	0.358
medley	การผสม	0.487	0.352	0.400
meek	อ่อนโยน	0.531	0.150	0.198
meet	พบกัน	0.760	0.510	0.580
meeting	การประชุม	0.750	0.569	0.613
mega	ล้าน	0.724	0.538	0.723
meh	Meh	0.380	0.286	0.365
melancholic	เศร้าโศก	0.181	0.306	0.277
melancholy	ความเศร้าโศก	0.188	0.260	0.237
melee	มวยหมู่	0.541	0.704	0.611
mellow	กลมกล่อม	0.633	0.069	0.265
melodious	ไพเราะ	0.932	0.530	0.587
melodrama	เรื่องประโลมโลก	0.378	0.830	0.446
melodramatic	เหมือนตัวละคร	0.235	0.692	0.368
melody	เพลง	0.847	0.434	0.405
melon	แตงโม	0.461	0.231	0.271
melt	ละลาย	0.448	0.615	0.312
meltdown	การล่มสลาย	0.629	0.657	0.602
melting	ร้องไห้	0.592	0.470	0.538
member	สมาชิก	0.698	0.333	0.555
membership	การเป็นสมาชิก	0.698	0.411	0.778
membrane	เยื่อหุ้มเซลล์	0.406	0.430	0.418
memento	ของที่ระลึก	0.708	0.360	0.536
memo	บันทึก	0.625	0.235	0.407
memoir	ความทรงจำ	0.750	0.242	0.553
memorabilia	ที่ระลึก	0.780	0.412	0.491
memorable	ที่น่าจดจำ	0.939	0.510	0.769
memorandum	บันทึก	0.600	0.500	0.639
memorial	ที่ระลึก	0.602	0.304	0.600
memorials	อนุสาวรีย์	0.771	0.333	0.679
memories	ความทรงจำ	0.963	0.487	0.510
memoriesiwontforget	NO TRANSLATION	0.635	0.542	0.455
memorize	จดจำ	0.520	0.451	0.716
memory	หน่วยความจำ	0.792	0.378	0.573
menace	การคุกคาม	0.125	0.894	0.759
menacing	น่ากลัว	0.042	0.880	0.643
menagerie	โรงละครสัตว์	0.573	0.480	0.538
mend	ซ่อม	0.542	0.436	0.602
mending	การแก้ไข	0.500	0.633	0.657
menial	คนรับใช้	0.490	0.420	0.352
meningitis	อาการไขสันหลังอักเสบ	0.104	0.612	0.407
meniscus	วงเดือน	0.323	0.330	0.453
menopause	วัยหมดประจำเดือน	0.204	0.460	0.306
menses	ประจำเดือน	0.163	0.686	0.331
menstrual	เกี่ยวกับระดู	0.408	0.519	0.435
mental	ทางใจ	0.490	0.490	0.585
mentalhealth	NO TRANSLATION	0.562	0.541	0.670
mentality	ความคิด	0.711	0.415	0.726
menthol	เมนทอล	0.490	0.292	0.433
mention	กล่าวถึง	0.562	0.365	0.562
mentor	ที่ปรึกษา	0.719	0.455	0.777
menu	เมนู	0.633	0.333	0.385
meow	เหมียว	0.510	0.510	0.412
mercantile	เกี่ยวกับการค้า	0.480	0.490	0.713
mercenary	ทหารรับจ้าง	0.245	0.837	0.673
merchandise	สินค้า	0.594	0.460	0.621
merchant	ผู้ประกอบการค้า	0.675	0.500	0.620
merciful	เมตตา	0.854	0.346	0.500
merciless	เลือดเย็น	0.062	0.880	0.634
mercurial	หลายใจ	0.490	0.546	0.518
mercury	ปรอท	0.337	0.312	0.475
mercy	ความเมตตา	0.719	0.229	0.500
mere	เท่านั้น	0.396	0.221	0.176
merengue	Merengue	0.688	0.519	0.442
merge	ผสาน	0.760	0.480	0.733
merger	การควบรวมกิจการ	0.592	0.490	0.642
meridian	เที่ยงวัน	0.510	0.324	0.558
meridional	เที่ยงๆ	0.365	0.290	0.600
meringue	ขนมเมอร์แรง	0.625	0.580	0.411
merit	บุญ	0.854	0.500	0.722
meritorious	น่าสรรเสริญ	0.781	0.618	0.855
mermaid	เงือก	0.765	0.623	0.452
merriment	ความสนุกสนาน	0.948	0.721	0.632
merry	ร่าเริง	0.979	0.731	0.764
merrychristmas	NO TRANSLATION	0.888	0.510	0.536
mesa	ที่ราบสูงมีทางขึ้นลาดชัน	0.604	0.191	0.319
mescaline	ยาเมสคะลิน	0.490	0.580	0.415
mesh	ตาข่าย	0.429	0.235	0.371
meshes	ตาข่าย	0.440	0.363	0.362
mesmerized	เพลิดเพลิน	0.520	0.552	0.421
mess	ความยุ่งเหยิง	0.143	0.843	0.273
message	ข่าวสาร	0.650	0.391	0.415
messedup	NO TRANSLATION	0.333	0.615	0.358
messenger	ผู้สื่อสาร	0.694	0.434	0.500
messiah	พระคริสต์	0.781	0.634	0.800
messy	ยุ่ง	0.260	0.635	0.140
metabolic	การเผาผลาญอาหาร	0.408	0.531	0.559
metabolism	การเผาผลาญอาหาร	0.698	0.509	0.555
metal	โลหะ	0.551	0.429	0.547
metallic	โลหะ	0.615	0.330	0.607
metallurgy	โลหะวิทยา	0.396	0.509	0.587
metamorphosis	การเปลี่ยนแปลง	0.541	0.571	0.613
metaphor	คำอุปมา	0.562	0.280	0.470
metaphorical	เชิงเปรียบเทียบ	0.500	0.412	0.480
metaphysical	เลื่อนลอย	0.630	0.573	0.686
metaphysics	อภิปรัชญา	0.561	0.396	0.588
metastasis	การแพร่กระจาย	0.177	0.646	0.452
meteor	ดาวตก	0.398	0.714	0.737
meteoric	เกี่ยวกับบรรยากาศ	0.590	0.802	0.684
meteorite	อุกกาบาต	0.385	0.794	0.750
meteorological	เกี่ยวกับอุตุนิยมวิทยา	0.635	0.557	0.556
meteorology	อุตุนิยมวิทยา	0.630	0.418	0.689
meter	เมตร	0.438	0.300	0.463
meth	ปรุงยา	0.354	0.564	0.340
methadone	เมทาโดน	0.240	0.540	0.453
methane	มีเทน	0.290	0.460	0.569
methanol	เมทิลแอลกอฮอล์	0.292	0.500	0.570
method	วิธี	0.640	0.275	0.698
methodical	มีระเบียบ	0.663	0.360	0.745
methodology	ระเบียบวิธี	0.664	0.327	0.745
meticulous	พิถีพิถัน	0.555	0.480	0.555
metime	metime	0.531	0.398	0.417
metric	เมตริก	0.519	0.248	0.573
metrical	เกี่ยวกับการวัด	0.521	0.375	0.482
metrology	มาตรวิทยา	0.531	0.432	0.439
metropolis	มหานคร	0.656	0.625	0.779
metropolitan	นครบาล	0.387	0.408	0.723
mettle	ความกล้าหาญ	0.667	0.529	0.750
mew	ขัง	0.418	0.481	0.380
mezzanine	ชั้นลอย	0.479	0.427	0.404
mica	ไมกา	0.531	0.250	0.314
mick	มิก	0.449	0.451	0.382
micro	ไมโคร	0.500	0.270	0.250
microbe	เชื้อจุลินทรีย์	0.255	0.450	0.340
microbiology	จุลชีววิทยา	0.571	0.378	0.560
microchip	ชิป	0.551	0.358	0.432
microcosm	พิภพเล็ก ๆ	0.500	0.500	0.520
microfilm	ฟิล์มขนาดเล็ก	0.469	0.352	0.412
microgram	ไมโครกรัม	0.448	0.286	0.355
micrometer	ไมโครมิเตอร์	0.573	0.358	0.394
micron	ไมครอน	0.375	0.291	0.315
microphone	ไมโครโฟน	0.551	0.431	0.462
microscope	กล้องจุลทรรศน์	0.531	0.330	0.464
microscopic	จิ๋ว	0.360	0.327	0.433
microscopically	กล้องจุลทรรศน์	0.623	0.370	0.412
microscopy	กล้องจุลทรรศน์	0.500	0.339	0.455
microwave	ไมโครเวฟ	0.542	0.497	0.443
mid	ปานกลาง	0.500	0.315	0.356
midair	กลางเวหา	0.633	0.413	0.455
midday	เที่ยง	0.658	0.250	0.403
middle	กลาง	0.458	0.157	0.300
middleman	คนกลาง	0.500	0.404	0.452
middleweight	มิดเดิ้ล	0.510	0.302	0.428
midget	คนแคระ	0.396	0.295	0.254
midland	ทางภาคกลาง	0.521	0.402	0.456
midlife	วัยกลางคน	0.594	0.244	0.473
midline	เส้นแบ่ง	0.332	0.224	0.330
midnight	เที่ยงคืน	0.562	0.470	0.545
midshipman	ว่าที่เรือตรี	0.469	0.615	0.785
midst	ท่ามกลาง	0.324	0.275	0.296
midsummer	กลางฤดูร้อน	0.781	0.480	0.492
midterm	มิดเทอม	0.427	0.337	0.425
midtown	ใจกลางเมือง	0.479	0.442	0.538
midway	ตรงกลาง	0.459	0.316	0.304
midwife	ผดุงครรภ์	0.531	0.570	0.453
midwifery	งานหมอตำแย	0.510	0.570	0.459
mien	NO TRANSLATION	0.500	0.352	0.447
miffed	miffed	0.204	0.726	0.429
mighty	เกรียงไกร	0.855	0.837	0.936
mignon	เส	0.551	0.440	0.423
migraine	อาการไมเกรน	0.135	0.783	0.318
migrate	โยกย้าย	0.415	0.580	0.454
migration	การโยกย้าย	0.492	0.731	0.566
migratory	อพยพ	0.448	0.521	0.491
mike	ไมค์	0.542	0.365	0.423
mil	NO TRANSLATION	0.534	0.388	0.347
mild	อ่อน	0.635	0.198	0.216
mildew	โรคราน้ำค้าง	0.344	0.250	0.241
mildness	ความอ่อนโยน	0.827	0.226	0.311
mile	ไมล์	0.521	0.417	0.456
mileage	ระยะทาง	0.510	0.458	0.562
milestone	ขั้น	0.719	0.373	0.558
militant	แข็งข้อ	0.418	0.667	0.750
militants	การก่อการร้าย	0.260	0.673	0.652
military	ทหาร	0.396	0.710	0.875
militia	กองทหารอาสาสมัคร	0.396	0.729	0.769
milk	นม	0.817	0.270	0.327
milkman	คนส่งนม	0.750	0.380	0.304
milkshake	นมผสมไอศกรีม	0.796	0.521	0.330
milky	ซีด	0.517	0.283	0.311
mill	โรงสี	0.531	0.382	0.347
millennium	สหัสวรรษ	0.573	0.398	0.760
milligram	มิลลิกรัม	0.429	0.217	0.302
millimeter	มิลลิเมตร	0.427	0.177	0.360
million	ล้าน	0.776	0.647	0.812
millionaire	เศรษฐี	0.917	0.755	0.850
millionth	ที่ล้าน	0.635	0.528	0.611
millstone	โม่	0.510	0.433	0.492
mime	ละครใบ้	0.455	0.235	0.302
mimic	ล้อเลียน	0.557	0.587	0.391
mimicking	การจำลอง	0.316	0.433	0.364
mimicry	การล้อเลียน	0.420	0.337	0.472
mince	สับให้ละเอียด	0.417	0.529	0.378
mincemeat	เนื้อสับ	0.396	0.435	0.358
mind	ใจ	0.650	0.388	0.627
minded	ใจ	0.656	0.394	0.627
mindful	ระวัง	0.765	0.450	0.725
mindfulness	สติ	0.729	0.635	0.745
mindless	ไม่สนใจ	0.184	0.333	0.153
mine	เหมือง	0.688	0.418	0.578
minefield	เขตที่วางทุ่นระเบิด	0.188	0.839	0.684
miner	คนขุดแร่	0.408	0.594	0.644
mineral	แร่	0.519	0.287	0.605
mineralogy	แร่วิทยา	0.551	0.408	0.545
mingle	คละเคล้า	0.561	0.480	0.434
mingled	ปะปนกัน	0.521	0.392	0.357
mini	มินิ	0.421	0.324	0.221
miniature	ขนาดเล็ก	0.429	0.292	0.204
minibus	รถมินิบัส	0.439	0.390	0.428
minim	NO TRANSLATION	0.518	0.208	0.138
minimal	ต่ำสุด	0.448	0.147	0.206
minimize	ลด	0.360	0.236	0.311
minimized	ลดลง	0.458	0.137	0.208
minimum	ขั้นต่ำ	0.380	0.198	0.194
mining	การทำเหมืองแร่	0.633	0.598	0.554
minion	สมุน	0.490	0.430	0.167
minister	รัฐมนตรี	0.547	0.441	0.892
ministerial	รัฐมนตรี	0.571	0.519	0.660
ministry	กระทรวง	0.510	0.346	0.717
minivan	รถมินิแวน	0.592	0.356	0.452
mink	ตัวมิงค	0.560	0.515	0.430
minnow	สร้อย	0.541	0.367	0.364
minor	ผู้เยาว์	0.250	0.235	0.175
minority	ชนกลุ่มน้อย	0.310	0.332	0.211
minstrel	นักร้อง	0.458	0.541	0.397
mint	สะระแหน่	0.688	0.221	0.345
minty	มิ้นต์	0.635	0.292	0.361
minuscule	เอียด	0.396	0.286	0.214
minute	นาที	0.582	0.279	0.356
minutiae	ข้อปลีกย่อย	0.323	0.257	0.316
minx	หญิงจัดจ้าน	0.448	0.519	0.404
mir	NO TRANSLATION	0.417	0.339	0.355
miracle	ปาฏิหาริย์	0.917	0.607	0.806
miracles	ปาฏิหาริย์	0.922	0.735	0.692
miraculous	ปาฏิหาริย์	0.875	0.706	0.812
mirage	ภาพลวงตา	0.546	0.487	0.562
mire	NO TRANSLATION	0.344	0.376	0.298
mirror	กระจกเงา	0.677	0.310	0.438
mirth	ความสนุกสนาน	0.888	0.640	0.608
misappropriation	การยักยอก	0.097	0.831	0.500
misbehave	เกเร	0.020	0.847	0.304
misbehavior	ความซุกซน	0.031	0.704	0.269
miscalculation	การวินิจฉัยผิด	0.177	0.490	0.353
miscarriage	การคลอดก่อนกำหนด	0.042	0.781	0.312
miscellaneous	เบ็ดเตล็ด	0.531	0.321	0.196
miscellany	เรื่องจิปาถะ	0.500	0.412	0.384
mischief	ความเสียหาย	0.385	0.834	0.292
mischievous	ซน	0.439	0.804	0.472
misconception	ความเข้าใจผิด	0.210	0.557	0.291
misconduct	การประพฤติผิด	0.061	0.667	0.304
misdemeanor	ความผิดทางอาญา	0.210	0.640	0.364
misdirection	การแนะผิด	0.131	0.710	0.281
miser	คนขี้เหนียว	0.208	0.633	0.311
miserable	อนาถ	0.062	0.461	0.188
miserably	เข็ญใจ	0.280	0.545	0.150
misery	ความทุกข์ยาก	0.146	0.378	0.158
misfire	ไม่ติด	0.153	0.453	0.200
misfit	ไม่เหมาะ	0.173	0.500	0.393
misfortune	โชคร้าย	0.094	0.780	0.311
misguided	NO TRANSLATION	0.280	0.531	0.259
mishap	อุบัติเหตุ	0.071	0.654	0.227
misinformed	เข้าใจผิด	0.156	0.567	0.250
misinterpretation	การเข้าใจผิด	0.112	0.556	0.360
mislead	ทำให้เข้าใจผิด	0.167	0.765	0.412
misleading	หลอกตา	0.070	0.660	0.272
misled	เข้าใจผิด	0.177	0.606	0.353
mismanagement	การจัดการไม่ดี	0.094	0.520	0.295
mismatch	ไม่ตรงกัน	0.250	0.459	0.282
mismatched	ที่ไม่ตรงกัน	0.250	0.557	0.302
misnomer	การเรียกชื่อผิด	0.296	0.528	0.284
misplace	ใส่ผิดที่	0.229	0.461	0.191
misplaced	ถูกใส่ผิดที่	0.247	0.450	0.324
misread	อ่านผิด	0.115	0.558	0.315
misrepresent	บิดเบือนความจริง	0.198	0.542	0.418
misrepresentation	การบิดเบือนความจริง	0.323	0.618	0.518
misrepresented	บิดเบือน	0.042	0.519	0.466
miss	นางสาว	0.573	0.490	0.408
missile	ขีปนาวุธ	0.240	0.830	0.764
missiles	ขีปนาวุธ	0.070	0.922	0.830
missing	หายไป	0.306	0.418	0.222
missingyou	NO TRANSLATION	0.260	0.471	0.377
mission	หน้าที่	0.765	0.633	0.870
missionary	มิชชันนารี	0.729	0.404	0.596
misspell	สะกดคำผิด	0.292	0.423	0.281
misstatement	ถ้อยแถลงผิด	0.302	0.547	0.221
missy	นางสาว	0.521	0.480	0.333
mist	หมอก	0.375	0.194	0.221
mistake	ผิดพลาด	0.208	0.585	0.102
mistaken	ผิดพลาด	0.131	0.630	0.212
mister	นาย	0.604	0.406	0.663
mistletoe	ต้นมีซท์ลโท	0.542	0.470	0.324
mistreated	ทำร้าย	0.010	0.792	0.200
mistress	ผู้เป็นที่รัก	0.630	0.796	0.694
mistrial	mistrial	0.427	0.539	0.536
mistrust	ความหวาดระแวง	0.135	0.657	0.231
misty	มีหมอก	0.427	0.451	0.278
misunderstand	เข้าใจผิด	0.177	0.548	0.382
misunderstanding	เข้าใจผิด	0.112	0.618	0.284
misunderstood	เข้าใจผิด	0.177	0.625	0.309
misuse	ด่าว่า	0.083	0.560	0.196
mite	เล็น	0.290	0.584	0.271
miter	ตุ้มปี่	0.458	0.500	0.414
mitigate	บรรเทา	0.506	0.427	0.456
mitigating	ซึ่งบรรเทา	0.551	0.520	0.600
mitigation	การบรรเทา	0.448	0.527	0.423
mitt	นวม	0.406	0.183	0.264
mitten	NO TRANSLATION	0.531	0.330	0.408
mitzvah	mitzvah	0.422	0.610	0.409
mix	ผสม	0.542	0.490	0.472
mixed	ผสม	0.510	0.346	0.444
mixedemotions	mixedemotions	0.440	0.673	0.430
mixer	เครื่องผสม	0.562	0.500	0.556
mixture	สารผสม	0.546	0.360	0.481
mnemonic	ช่วยในการจำ	0.531	0.480	0.452
moan	คราง	0.357	0.735	0.352
moat	คูเมือง	0.398	0.380	0.314
mob	ฝูงชน	0.296	0.788	0.567
mobile	โทรศัพท์มือถือ	0.615	0.569	0.481
mobility	การเคลื่อนไหว	0.700	0.596	0.654
mobilization	การชุมนุม	0.688	0.720	0.787
mobilize	ระดมพล	0.604	0.684	0.727
mobster	นักเลง	0.188	0.870	0.638
mocha	กาแฟโมคะ	0.500	0.396	0.311
mock	เยาะเย้ย	0.360	0.606	0.618
mocked	เยาะเย้ย	0.225	0.746	0.204
mockery	การเยาะเย้ย	0.094	0.806	0.181
mocking	ซึ่งจำลอง	0.082	0.755	0.394
mockingbird	กระเต็น	0.513	0.337	0.423
mod	พอควร	0.458	0.367	0.384
modal	เป็นกิริยาช่วย	0.592	0.264	0.461
modality	การเป็นกิริยาช่วย	0.633	0.404	0.527
mode	โหมด	0.531	0.185	0.367
model	แบบ	0.607	0.388	0.723
modeler	ผู้ออกแบบเครื่องแต่งก่าย	0.500	0.510	0.730
modeling	การสร้างแบบจำลอง	0.684	0.404	0.490
modem	โมเด็ม	0.573	0.355	0.500
moderate	ปานกลาง	0.582	0.190	0.453
moderate anticipation	คาดหวังปานกลาง	0.667	0.451	0.574
moderate disgust	รังเกียจปานกลาง	0.229	0.558	0.381
moderate negative	ปานกลางลบ	0.177	0.500	0.306
moderate positive	ปานกลางบวก	0.896	0.453	0.753
moderate surprise	แปลกใจปานกลาง	0.776	0.663	0.637
moderate trust	ความไว้วางใจปานกลาง	0.677	0.350	0.773
moderately	ปานกลาง	0.604	0.264	0.500
moderating	ผู้ดูแล	0.667	0.402	0.783
moderation	ปริมาณที่พอเหมาะ	0.531	0.240	0.453
moderator	พิธีกร	0.519	0.354	0.802
modern	ทันสมัย	0.855	0.423	0.691
modernism	ความคิดสมัยใหม่	0.760	0.553	0.703
modest	เจียมเนื้อเจียมตัว	0.760	0.130	0.412
modesty	ความพอประมาณ	0.778	0.240	0.500
modicum	จำนวนเล็กน้อย	0.234	0.417	0.327
modifiable	แก้ไขได้	0.541	0.422	0.373
modification	การแก้ไข	0.480	0.520	0.625
modified	การแก้ไข	0.561	0.458	0.693
modify	แก้ไข	0.458	0.584	0.625
modulate	ปรับ	0.673	0.343	0.555
modulation	การปรับ	0.458	0.365	0.565
module	โมดูล	0.582	0.388	0.571
modulus	โมดูลัส	0.622	0.304	0.481
mogul	เจ้าพ่อ	0.510	0.652	0.865
moiety	ครึ่ง	0.378	0.343	0.454
moist	ชื้น	0.470	0.316	0.386
moisture	ความชื้น	0.406	0.398	0.327
moisturizer	ครีมบำรุงผิว	0.750	0.280	0.386
molar	ฟันกราม	0.544	0.426	0.350
molasses	กากน้ำตาล	0.490	0.269	0.286
mold	แม่พิมพ์	0.330	0.274	0.402
molded	แม่พิมพ์	0.667	0.361	0.373
molding	การปั้น	0.552	0.308	0.546
moldy	ผุพัง	0.235	0.387	0.250
mole	ตุ่น	0.436	0.377	0.352
molecular	โมเลกุล	0.495	0.440	0.536
molecule	อณู	0.531	0.259	0.375
molest	ลวนลาม	0.133	0.816	0.319
molestation	การรุกราน	0.102	0.808	0.407
molester	ลวนลาม	0.143	0.811	0.478
molten	เหลว	0.417	0.490	0.339
mom	แม่	0.927	0.336	0.639
moment	ขณะ	0.604	0.435	0.509
momentary	ชั่วขณะ	0.562	0.271	0.330
momentous	สำคัญยิ่ง	0.792	0.587	0.760
momentum	โมเมนตัม	0.663	0.750	0.688
momma	แม่	0.833	0.412	0.527
mommy	แม่	0.854	0.353	0.422
monad	monad	0.510	0.482	0.451
monarch	พระมหากษัตริย์	0.583	0.559	0.870
monarchy	รัช	0.450	0.557	0.870
monastery	อาราม	0.694	0.183	0.726
monastic	สงฆ์	0.438	0.314	0.676
monetary	เป็นเงิน	0.583	0.494	0.716
money	เงิน	0.844	0.608	0.827
mongoloid	มองโกลอยด์	0.177	0.364	0.317
mongoose	พังพอน	0.327	0.380	0.546
mongrel	พันทาง	0.425	0.438	0.395
monitor	หน้าจอ	0.490	0.298	0.538
monk	พระภิกษุสงฆ์	0.472	0.208	0.439
monkey	ลิง	0.548	0.449	0.283
mono	NO TRANSLATION	0.500	0.390	0.273
monochrome	ขาวดำ	0.312	0.292	0.339
monogamous	รักเดียวใจเดียว	0.510	0.335	0.402
monogamy	การมีภรรยาหรือสามีคนเดียว	0.542	0.380	0.455
monogram	พระปรมาภิไธยย่อ	0.480	0.210	0.425
monogrammed	ชื่อย่อ	0.503	0.270	0.402
monograph	เอกสาร	0.500	0.242	0.481
monolayer	monolayer	0.427	0.294	0.433
monolith	หินใหญ่ก้อนเดียว	0.429	0.327	0.500
monologue	การพูดคนเดียว	0.500	0.284	0.534
monopolist	ผู้ผูกขาด	0.330	0.590	0.725
monopoly	ผู้ผูกขาด	0.449	0.509	0.640
monotonous	น่าเบื่อ	0.354	0.221	0.400
monotony	ความน่าเบื่อ	0.398	0.135	0.353
monoxide	มอนนอกไซด์	0.433	0.430	0.490
monsieur	นาย	0.552	0.340	0.623
monsoon	ลมมรสุม	0.358	0.600	0.481
monster	สัตว์ประหลาด	0.133	0.935	0.596
monstrosity	ความโหดร้าย	0.094	0.933	0.611
monstrous	มหึมา	0.094	0.942	0.649
montage	การตัดต่อ	0.438	0.520	0.388
monte	Monte	0.589	0.330	0.391
month	เดือน	0.688	0.255	0.411
monthly	รายเดือน	0.622	0.314	0.364
monument	อนุสาวรีย์	0.833	0.404	0.811
monumental	ถาวร	0.656	0.594	0.955
moo	มอ	0.438	0.355	0.300
mooch	mooch	0.378	0.413	0.309
mood	อารมณ์	0.720	0.500	0.500
moods	อารมณ์ความรู้สึก	0.578	0.633	0.491
moody	เจ้าอารมณ์	0.245	0.811	0.595
moon	ดวงจันทร์	0.673	0.233	0.547
moonbeam	แสงจันทร์	0.700	0.290	0.491
moonlight	แสงจันทร์	0.865	0.264	0.409
moonlit	สว่างด้วยแสงจันทร์	0.873	0.269	0.508
moonshine	แสงจันทร์	0.633	0.389	0.491
moonstruck	บ้า	0.583	0.438	0.407
moonwalk	มูนวอล์ก	0.615	0.586	0.525
moor	มัวร์	0.311	0.464	0.378
moored	จอดอยู่	0.344	0.500	0.417
mooring	การจอดเรือ	0.323	0.490	0.444
moorings	เรือ	0.406	0.500	0.516
moorland	ที่ลุ่ม	0.490	0.370	0.456
moose	ตัวมูซ	0.648	0.373	0.318
moot	ดำริ	0.344	0.500	0.615
mooted	mooted	0.388	0.580	0.463
mop	ซับ	0.396	0.442	0.296
mope	เซื่องซึม	0.406	0.309	0.345
moped	จักรยานยนต์	0.582	0.582	0.554
moral	คุณธรรม	0.700	0.459	0.796
morale	คติธรรม	0.729	0.158	0.792
morality	ศีลธรรม	0.750	0.408	0.759
morals	ธรรมะ	0.646	0.430	0.611
morass	ปลัก	0.387	0.348	0.375
moratorium	ประกาศพักชำระหนี้	0.337	0.427	0.373
moray	ปลาหลด	0.510	0.402	0.463
morbid	น่ากลัว	0.090	0.833	0.395
morbidity	ความผิดปกติ	0.370	0.630	0.443
morbidness	ความผิดปกติ	0.120	0.694	0.339
mores	ประเพณี	0.582	0.317	0.684
morgue	โรงเก็บศพ	0.022	0.539	0.241
moribund	ร่อแร่	0.083	0.488	0.167
morn	ยามเช้า	0.542	0.284	0.345
morning	ตอนเช้า	0.688	0.235	0.444
moron	คนปัญญาอ่อน	0.133	0.587	0.183
moronic	ที่มีปัญญาอ่อน	0.122	0.500	0.224
morose	อารมณ์ไม่ดี	0.240	0.663	0.264
morph	แปรเปลี่ยน	0.448	0.469	0.451
morphine	ธาตุมอร์ฟีน	0.229	0.490	0.496
morphism	ซึ่มส์	0.398	0.549	0.386
morphology	ลักษณะทางสัณฐานวิทยา	0.516	0.373	0.639
morrow	วันรุ่งขึ้น	0.708	0.314	0.490
morsel	ชิ้นอาหารอันโอชะ	0.490	0.296	0.400
mortal	มนุษย์	0.196	0.786	0.510
mortality	ความตาย	0.229	0.726	0.518
mortar	ปูน	0.333	0.627	0.562
mortgage	จำนอง	0.255	0.408	0.537
mortgagee	ผู้รับจำนอง	0.418	0.633	0.723
mortgagor	ผู้จำนอง	0.431	0.522	0.490
mortician	สัปเหร่อ	0.104	0.429	0.275
mortification	ความบัดสี	0.135	0.644	0.404
mortified	เสียใจ	0.073	0.731	0.270
mortuary	ที่ฝังศพ	0.133	0.606	0.427
mosaic	โมเสก	0.635	0.250	0.302
mosey	Mosey	0.521	0.402	0.330
mosque	มัสยิด	0.542	0.352	0.528
mosquito	ยุง	0.229	0.400	0.198
moss	ตะไคร่น้ำ	0.235	0.270	0.245
mossy	ปกคลุมไปด้วยหญ้ามอส	0.375	0.329	0.286
mote	NO TRANSLATION	0.375	0.388	0.260
motel	โรงแรมม่านรูด	0.531	0.372	0.450
moth	มอด	0.323	0.350	0.196
mother	แม่	0.931	0.408	0.725
motherfucker	เวรตะไล	0.122	0.827	0.351
motherfucking	motherfucking	0.071	0.823	0.373
motherhood	การเลี้ยงบุตร	0.844	0.546	0.667
motherland	มาตุภูมิ	0.677	0.375	0.731
motherless	กำพร้าแม่	0.163	0.541	0.337
motherly	ของมารดา	0.927	0.324	0.710
motif	แม่ลาย	0.688	0.481	0.527
motion	การเคลื่อนไหว	0.667	0.538	0.657
motionless	ไม่ไหวติง	0.323	0.210	0.246
motivate	กระตุ้น	0.812	0.776	0.873
motivating	การสร้างแรงจูงใจ	0.958	0.820	0.787
motivation	แรงจูงใจ	0.854	0.784	0.802
motivational	สร้างแรงบันดาลใจ	0.906	0.646	0.858
motive	เหตุจูงใจ	0.667	0.588	0.663
motley	ผสมผเส	0.480	0.398	0.412
motor	เครื่องยนต์	0.531	0.551	0.648
motorbike	รถมอเตอร์ไซค์	0.552	0.608	0.616
motorboat	เรือยนต์	0.677	0.500	0.390
