Word	Chinese (Traditional)-zh-TW	Valence	Arousal	Dominance
nicotine	尼古丁	0.235	0.608	0.447
niece	侄女	0.771	0.320	0.400
nifty	俏皮的	0.740	0.745	0.815
nigger	黑鬼	0.240	0.347	0.398
nigh	近於	0.653	0.216	0.336
night	晚	0.598	0.396	0.404
nightcap	睡前	0.750	0.196	0.268
nightclub	夜店	0.802	0.894	0.528
nightfall	黃昏	0.490	0.436	0.426
nightgown	睡衣	0.643	0.408	0.250
nightie	睡衣	0.630	0.388	0.274
nightingale	夜鶯	0.740	0.340	0.496
nightlife	夜生活	0.542	0.783	0.510
nightly	每夜	0.673	0.410	0.474
nightmare	惡夢	0.005	0.810	0.436
nightmares	噩夢	0.082	0.942	0.448
nightstand	床頭櫃上	0.490	0.130	0.327
nightstick	警棍	0.500	0.461	0.348
nighttime	夜間	0.735	0.385	0.439
nihilism	虛無主義	0.367	0.510	0.364
nil	零	0.286	0.143	0.157
nimble	敏捷	0.833	0.729	0.769
nimrod	獵迷	0.327	0.500	0.539
nincompoop	笨人	0.365	0.431	0.368
nine	九	0.552	0.255	0.327
nineteen	十九	0.673	0.304	0.375
ninety	九十	0.479	0.349	0.436
ninja	忍者	0.542	0.844	0.682
ninny	傻子	0.344	0.343	0.309
nintendo	任天堂	0.802	0.571	0.464
ninth	第九	0.490	0.212	0.396
nip	掐	0.281	0.700	0.264
nipper	鑷子	0.386	0.422	0.317
nipple	乳頭	0.480	0.786	0.415
nippy	刺骨的	0.540	0.500	0.416
nitrate	硝酸鹽	0.388	0.406	0.500
nitro	硝基	0.500	0.647	0.639
nitrogen	氮	0.427	0.435	0.562
nitrous	亞硝酸	0.435	0.561	0.411
nitwit	傻子	0.146	0.606	0.139
nix	尼克斯	0.330	0.380	0.404
no anticipation	沒有期待	0.396	0.480	0.341
no disgust	沒有厭惡	0.510	0.324	0.448
no emotion	沒有情感	0.170	0.109	0.225
no sentiment	沒有情緒	0.092	0.382	0.278
no surprise	沒有驚喜	0.171	0.224	0.412
no trust	不可信	0.055	0.445	0.257
nobility	貴族	0.844	0.347	0.736
noble	高貴	0.906	0.345	0.610
nobleman	貴族	0.675	0.286	0.709
nobodycares	NO TRANSLATION	0.365	0.410	0.354
nocomplaints	NO TRANSLATION	0.677	0.164	0.491
nocturnal	夜	0.540	0.500	0.462
nod	點頭	0.590	0.367	0.427
nodding	點頭	0.694	0.294	0.426
node	節點	0.396	0.343	0.361
nodular	結節	0.438	0.351	0.411
nodule	結核	0.312	0.426	0.349
noggin	腦袋，	0.510	0.433	0.382
nohope	NO TRANSLATION	0.200	0.441	0.385
noir	黑色	0.375	0.394	0.365
noise	噪聲	0.260	0.883	0.388
noisy	嘈雜	0.271	0.812	0.561
nomad	游牧	0.375	0.413	0.433
nomadic	游牧	0.427	0.519	0.422
nomenclature	命名法	0.500	0.222	0.575
nominal	公稱	0.594	0.250	0.463
nominate	提名	0.615	0.471	0.669
nomination	提名	0.663	0.637	0.696
nominee	被提名人	0.662	0.625	0.765
nonce	現時	0.422	0.370	0.377
nonchalant	滿不在乎	0.312	0.314	0.366
noncompliance	違規	0.112	0.598	0.259
nondescript	不倫不類	0.490	0.434	0.348
nonexistent	不存在的	0.208	0.429	0.149
nonfat	脫脂	0.604	0.260	0.340
nonfiction	紀實	0.426	0.315	0.431
nonpayment	未付款	0.229	0.510	0.298
nonresident	非居民	0.250	0.340	0.302
nonsense	廢話	0.214	0.531	0.155
nonsensical	無厘頭	0.173	0.268	0.193
nonviolent	非暴力	0.640	0.287	0.346
noob	菜鳥	0.417	0.430	0.267
noodle	麵條	0.633	0.216	0.225
nook	角落	0.480	0.321	0.296
noon	中午	0.531	0.343	0.518
noose	套索	0.356	0.300	0.330
nopoint	沒有意義	0.276	0.324	0.314
noregrets	NO TRANSLATION	0.469	0.476	0.426
norm	規範	0.500	0.245	0.527
normal	正常	0.740	0.127	0.380
normalcy	正常	0.805	0.151	0.620
normality	常態	0.781	0.089	0.444
north	北	0.531	0.255	0.450
northbound	路北	0.604	0.454	0.491
northeast	東北	0.562	0.260	0.375
northern	北方	0.570	0.340	0.472
northwest	西北	0.604	0.345	0.451
northwestern	西北方	0.479	0.306	0.462
noschool	NO TRANSLATION	0.490	0.400	0.380
nose	鼻子	0.582	0.270	0.245
nosebleed	鼻血	0.153	0.776	0.361
nosey	八卦	0.276	0.655	0.223
nosnow	nosnow	0.392	0.394	0.366
nostalgia	懷舊之情	0.417	0.337	0.339
nostalgic	懷舊的	0.458	0.351	0.184
nostress	NO TRANSLATION	0.531	0.404	0.415
nostril	鼻孔	0.396	0.404	0.316
nosun	NO TRANSLATION	0.388	0.380	0.351
nosy	八卦	0.292	0.558	0.433
not negative	不是消極的	0.622	0.270	0.444
not positive	不積極	0.051	0.370	0.236
notable	顯著	0.760	0.450	0.696
notables	名人	0.594	0.608	0.755
notably	特別是	0.792	0.533	0.689
notamorningperson	NO TRANSLATION	0.469	0.578	0.440
notary	公證	0.541	0.451	0.676
notation	符號	0.635	0.380	0.558
notch	缺口	0.459	0.361	0.358
notched	缺口	0.480	0.530	0.356
note	注意	0.594	0.163	0.416
notebook	筆記本	0.449	0.167	0.442
noted	注意	0.615	0.382	0.464
noteworthy	值得一提的	0.704	0.481	0.759
nothappy	NO TRANSLATION	0.112	0.320	0.170
nothingbetter	NO TRANSLATION	0.635	0.390	0.543
nothingness	虛無	0.204	0.080	0.161
notice	注意	0.646	0.408	0.491
noticeable	顯	0.890	0.562	0.750
notification	通知	0.604	0.461	0.671
notify	通知	0.643	0.471	0.573
notion	概念	0.612	0.284	0.667
notional	概念上的	0.520	0.288	0.500
notoriety	臭名	0.552	0.633	0.769
notorious	臭名昭著	0.366	0.582	0.609
notready	沒有準備好	0.133	0.400	0.196
notwithstanding	雖然	0.367	0.316	0.433
nought	零	0.312	0.098	0.116
noun	名詞	0.531	0.230	0.477
nourish	滋養	0.878	0.460	0.639
nourishment	營養	0.786	0.290	0.631
nouveau	NO TRANSLATION	0.633	0.438	0.432
novel	小說	0.702	0.352	0.439
novelist	小說家	0.340	0.343	0.529
novelty	新奇	0.673	0.521	0.740
novice	初學者	0.429	0.346	0.180
nowadays	如今	0.680	0.346	0.400
nowork	nowork	0.312	0.264	0.309
noworries	別擔心	0.630	0.402	0.500
noxious	毒	0.177	0.585	0.379
nozzle	噴嘴	0.438	0.330	0.287
nuance	細微差別	0.408	0.282	0.411
nuances	細微之處	0.490	0.375	0.527
nuclear	核	0.219	0.856	0.781
nucleus	核	0.529	0.296	0.667
nude	裸體	0.490	0.915	0.200
nudge	微調	0.448	0.500	0.509
nudie	NUDIE	0.500	0.529	0.373
nudist	裸體主義者	0.440	0.796	0.483
nudity	裸露	0.438	0.853	0.415
nugget	金塊	0.602	0.340	0.348
nuisance	滋擾	0.198	0.817	0.227
nuke	核彈	0.125	0.905	0.873
nul	NO TRANSLATION	0.337	0.358	0.264
null	空值	0.253	0.147	0.152
nullify	廢止	0.255	0.373	0.395
numb	麻木	0.108	0.420	0.352
number	數	0.406	0.231	0.471
numbering	編號	0.510	0.363	0.482
numbers	數字	0.406	0.241	0.440
numbness	麻木	0.306	0.398	0.265
numbskull	numbskull	0.300	0.472	0.284
numeral	數字	0.582	0.254	0.382
numerator	分子	0.490	0.317	0.526
numerical	數字的	0.479	0.322	0.517
numerically	數字	0.510	0.337	0.500
numerous	眾多	0.622	0.462	0.609
nun	NO TRANSLATION	0.500	0.150	0.406
nunchucks	雙截棍	0.337	0.580	0.526
nunnery	尼姑庵	0.653	0.236	0.473
nuptials	婚禮	0.771	0.588	0.571
nurse	護士	0.635	0.578	0.521
nursemaid	保姆	0.615	0.431	0.436
nursery	苗圃	0.894	0.406	0.389
nursing	看護	0.552	0.549	0.653
nurture	培育	0.745	0.378	0.657
nut	堅果	0.365	0.310	0.250
nutcase	瘋子	0.286	0.775	0.259
nutcracker	胡桃夾子	0.635	0.378	0.522
nuthouse	nuthouse	0.347	0.519	0.434
nutmeg	肉荳蔻	0.635	0.302	0.350
nutrition	營養	0.885	0.420	0.579
nutritional	營養	0.812	0.406	0.676
nutritious	有營養	0.833	0.337	0.655
nutritive	營養	0.875	0.422	0.667
nuts	堅果	0.594	0.250	0.291
nutshell	簡而言之	0.458	0.407	0.310
nutty	瘋狂的	0.444	0.317	0.271
nylon	尼龍	0.490	0.304	0.295
nylong	NO TRANSLATION	0.439	0.248	0.351
nylons	尼龍襪	0.556	0.379	0.320
nymph	女神	0.542	0.529	0.472
nymphomaniac	慕男狂者	0.398	0.894	0.536
oaf	換孩	0.344	0.357	0.330
oak	橡木	0.583	0.245	0.536
oar	槳	0.469	0.392	0.316
oasis	綠洲	0.796	0.283	0.429
oat	燕麥	0.622	0.170	0.298
oath	誓言	0.543	0.615	0.824
oatmeal	麥片	0.592	0.192	0.241
obedience	服從	0.765	0.287	0.536
obedient	聽話	0.800	0.179	0.518
obediently	乖乖	0.802	0.304	0.577
obelisk	方尖碑	0.604	0.408	0.596
obese	肥胖	0.133	0.427	0.250
obesity	肥胖	0.215	0.370	0.328
obey	遵守	0.677	0.433	0.533
obi	OBI	0.469	0.442	0.414
obit	訃告	0.410	0.464	0.393
obituary	訃告	0.188	0.330	0.423
object	目的	0.531	0.356	0.375
objection	異議	0.347	0.592	0.709
objectionable	令人反感	0.459	0.382	0.558
objective	目的	0.724	0.337	0.736
objectivity	客觀性	0.765	0.431	0.711
obligation	義務	0.222	0.596	0.718
obligatory	必修	0.337	0.571	0.780
oblige	責成	0.281	0.770	0.614
obliged	有義務的	0.327	0.680	0.411
obliging	隨和	0.740	0.402	0.545
obligor	債務人	0.302	0.600	0.360
oblique	斜	0.438	0.347	0.455
obliterate	泯	0.250	0.539	0.569
obliterated	湮沒	0.240	0.469	0.344
obliteration	塗去	0.177	0.622	0.397
oblivion	遺忘	0.153	0.330	0.282
oblivious	渾然不覺	0.229	0.388	0.355
oblong	橢圓形	0.561	0.455	0.370
obnoxious	厭惡	0.088	0.602	0.256
oboe	雙簧管	0.510	0.340	0.392
obscene	猥褻	0.050	0.745	0.348
obscenity	意淫	0.083	0.843	0.418
obscure	朦朧	0.370	0.551	0.278
obscured	模糊	0.115	0.356	0.298
obscurity	朦朧	0.208	0.392	0.380
observance	儀式	0.531	0.315	0.632
observant	細心的	0.740	0.422	0.708
observation	意見	0.633	0.433	0.667
observatory	天文台	0.643	0.324	0.731
observe	守	0.771	0.390	0.360
observer	觀察者	0.663	0.363	0.603
observing	觀察	0.583	0.400	0.685
obsess	纏住	0.112	0.846	0.509
obsessed	痴迷	0.219	0.840	0.439
obsessing	沉迷	0.173	0.773	0.698
obsession	困擾	0.229	0.847	0.571
obsessive	強迫症	0.219	0.823	0.480
obsolescence	報廢	0.250	0.431	0.377
obsolete	過時的	0.337	0.321	0.250
obstacle	障礙	0.204	0.708	0.336
obstetrician	產科醫生	0.521	0.636	0.604
obstetrics	產科	0.530	0.582	0.564
obstinate	頑固	0.146	0.696	0.562
obstruct	阻礙	0.115	0.660	0.458
obstruction	梗阻	0.125	0.742	0.491
obstructive	阻礙	0.204	0.650	0.613
obtain	獲得	0.760	0.438	0.731
obtainable	獲得	0.677	0.327	0.702
obtuse	鈍	0.281	0.460	0.345
obverse	反面	0.470	0.394	0.464
obvious	明顯	0.625	0.336	0.585
ocarina	奧卡利那笛	0.541	0.392	0.366
occasion	場合	0.700	0.451	0.398
occasional	偶然	0.490	0.298	0.387
occasionally	偶爾	0.538	0.240	0.264
occipital	枕骨	0.398	0.408	0.518
occlusion	閉塞	0.306	0.439	0.442
occult	隱匿性	0.292	0.382	0.406
occupancy	佔用	0.625	0.471	0.721
occupant	佔有者	0.500	0.417	0.483
occupation	佔用	0.562	0.470	0.692
occupational	職業	0.583	0.469	0.596
occupied	佔據	0.337	0.546	0.441
occupier	佔用	0.427	0.438	0.600
occupy	佔據	0.396	0.520	0.589
occupying	佔用	0.573	0.462	0.519
occur	發生	0.451	0.561	0.510
occurrence	發生	0.573	0.690	0.541
ocd	強迫症	0.333	0.472	0.370
ocean	海洋	0.823	0.308	0.642
oceanic	海	0.740	0.317	0.632
octagon	八角形	0.602	0.349	0.462
octave	八度	0.438	0.380	0.482
octopus	章魚	0.713	0.378	0.411
ocular	目鏡	0.418	0.370	0.400
odd	奇	0.265	0.337	0.302
oddball	古怪	0.316	0.360	0.357
oddity	怪人	0.312	0.557	0.386
odds	可能性	0.500	0.472	0.680
ode	頌	0.604	0.269	0.519
odious	可惡	0.235	0.708	0.235
odometer	里程表	0.367	0.470	0.388
odor	氣味	0.337	0.363	0.404
odyssey	奧德賽	0.622	0.692	0.710
oedipal	戀母情結	0.312	0.575	0.509
oestrogen	雌激素	0.521	0.608	0.561
oeuvre	NO TRANSLATION	0.653	0.484	0.598
offal	內臟	0.302	0.470	0.302
offence	罪行	0.312	0.798	0.446
offend	得罪	0.094	0.804	0.333
offended	生氣	0.188	0.690	0.337
offender	犯罪分子	0.104	0.851	0.537
offense	罪行	0.230	0.765	0.510
offensive	進攻	0.135	0.882	0.600
offer	提供	0.750	0.745	0.596
offered	提供	0.582	0.490	0.544
offering	供	0.688	0.462	0.585
offhand	不加思索	0.388	0.500	0.368
office	辦公室	0.427	0.302	0.509
officer	官	0.542	0.430	0.877
offices	辦事處	0.469	0.312	0.534
official	官方	0.646	0.565	0.833
officiate	主持	0.688	0.453	0.704
offing	海面	0.490	0.412	0.447
offload	卸載	0.479	0.444	0.525
offset	抵消	0.719	0.394	0.704
offshoot	支脈	0.517	0.330	0.361
offshore	海上	0.417	0.484	0.441
offside	越位	0.323	0.519	0.443
offspring	子孫	0.656	0.435	0.600
oft	經常	0.500	0.308	0.474
oftentimes	通常情況下	0.571	0.500	0.482
ogre	怪物	0.135	0.698	0.510
ohdear	NO TRANSLATION	0.458	0.519	0.442
ohgod	NO TRANSLATION	0.500	0.557	0.439
ohno	不好了	0.396	0.475	0.380
ohshit	NO TRANSLATION	0.230	0.594	0.343
oil	油	0.521	0.278	0.306
oils	油	0.459	0.229	0.391
oily	油膩	0.276	0.533	0.385
oink	哼	0.500	0.450	0.289
ointment	軟膏	0.438	0.271	0.398
okra	秋葵	0.469	0.400	0.362
old	舊	0.410	0.279	0.315
olden	古代	0.284	0.213	0.425
older	舊的	0.385	0.255	0.317
oldie	過時的歌曲	0.363	0.363	0.342
oldies	老歌	0.438	0.300	0.412
olfactory	嗅覺	0.602	0.409	0.452
oligarchy	寡頭政治	0.327	0.567	0.741
olive	橄欖	0.571	0.231	0.406
omega	歐米加	0.529	0.337	0.526
omelet	煎蛋卷	0.708	0.323	0.315
omen	預兆	0.390	0.657	0.583
omgomgomg	NO TRANSLATION	0.490	0.551	0.358
ominous	不祥的	0.255	0.730	0.510
omission	省略	0.367	0.333	0.275
omit	忽略	0.330	0.265	0.451
omitted	省略	0.260	0.235	0.211
omnibus	綜合	0.490	0.410	0.473
omnipotence	全能	0.667	0.793	0.866
omnipotent	無所不能	0.719	0.679	0.919
omnipresent	無所不在	0.688	0.452	0.825
omniscient	無所不知	0.656	0.334	0.778
onboard	在船上	0.612	0.451	0.491
oncologist	腫瘤科醫生	0.260	0.654	0.640
oncology	腫瘤科	0.204	0.424	0.500
oncoming	迎面而來的	0.594	0.625	0.773
one	一	0.542	0.292	0.370
oneday	一天	0.667	0.245	0.374
onedge	邊緣	0.479	0.552	0.400
onelove	唯一的愛	0.816	0.577	0.541
oneness	合一	0.745	0.272	0.720
onerous	繁重的	0.500	0.480	0.462
oneself	自己	0.660	0.337	0.483
ongoing	不斷的	0.674	0.484	0.556
onion	洋蔥	0.378	0.367	0.382
onset	發病	0.673	0.497	0.500
onslaught	猛攻	0.198	0.939	0.717
onstage	在舞台上	0.719	0.673	0.583
ontology	本體論	0.510	0.450	0.518
onus	責任	0.562	0.520	0.769
onward	向前	0.667	0.538	0.741
onyx	縞瑪瑙	0.571	0.461	0.380
oodles	不減當年	0.490	0.374	0.446
oomph	性的魅力	0.449	0.613	0.315
ooze	沁	0.344	0.577	0.333
oozing	滲血	0.238	0.515	0.427
op	運	0.480	0.402	0.349
opacity	不透明度	0.471	0.251	0.256
opal	蛋白石	0.623	0.479	0.379
opaque	不透明	0.344	0.265	0.342
ope	OPE	0.375	0.380	0.395
open	打開	0.620	0.480	0.569
opener	揭幕戰	0.584	0.526	0.377
opening	開盤	0.667	0.510	0.620
openly	公然	0.603	0.388	0.553
openness	透明度	0.837	0.561	0.667
opera	歌劇	0.714	0.500	0.483
operate	操作	0.582	0.690	0.691
operatic	歌劇的	0.375	0.452	0.627
operation	手術	0.475	0.611	0.755
operational	操作	0.562	0.570	0.679
operations	操作	0.480	0.549	0.798
operative	手術	0.541	0.635	0.718
operator	操作者	0.612	0.630	0.726
ophthalmic	眼科	0.427	0.385	0.444
ophthalmologist	眼科醫生	0.552	0.389	0.491
opiate	鴉片	0.281	0.594	0.598
opinion	意見	0.594	0.482	0.638
opinionated	自以為是	0.156	0.800	0.491
opium	鴉片	0.276	0.490	0.333
opponent	對手	0.080	0.741	0.716
opportune	適當的	0.796	0.538	0.767
opportunism	機會主義	0.571	0.752	0.673
opportunity	機會	0.938	0.745	0.833
oppose	反對	0.431	0.800	0.473
opposed	反對	0.092	0.460	0.606
opposing	反對	0.188	0.660	0.518
opposite	對面	0.235	0.545	0.408
opposites	對立	0.281	0.518	0.462
opposition	反對	0.135	0.729	0.592
oppress	壓迫	0.186	0.654	0.555
oppressed	壓迫	0.119	0.640	0.259
oppression	壓迫	0.080	0.673	0.615
oppressive	壓抑	0.276	0.590	0.667
oppressor	暴君	0.160	0.776	0.629
ops	OPS	0.417	0.550	0.528
opt	選擇	0.510	0.471	0.345
optic	視神經	0.663	0.384	0.594
optical	光纖	0.677	0.311	0.542
optics	光學	0.562	0.286	0.580
optimism	樂觀	0.949	0.565	0.814
optimist	樂天派	0.875	0.539	0.787
optimistic	樂觀	0.979	0.580	0.821
optimum	最佳	0.892	0.469	0.808
option	選項	0.512	0.427	0.359
optional	可選的	0.755	0.350	0.440
optionally	可選	0.365	0.405	0.481
options	選項	0.622	0.327	0.473
optometrist	驗光師	0.446	0.455	0.668
opulence	豐裕	0.620	0.615	0.648
opulent	富裕的	0.562	0.660	0.660
opus	OPUS	0.458	0.368	0.391
oracle	神諭	0.552	0.531	0.670
oral	口服	0.530	0.448	0.375
orange	橙子	0.646	0.132	0.296
orange juice	橙汁	0.719	0.343	0.445
orangutan	猩猩	0.430	0.560	0.471
oration	致辭	0.646	0.315	0.683
orator	演說者	0.667	0.375	0.682
oratory	演講	0.602	0.472	0.693
orb	ORB	0.463	0.370	0.444
orbit	軌道	0.561	0.422	0.575
orbital	軌道的	0.458	0.451	0.559
orbiting	軌道	0.520	0.643	0.554
orbs	球體	0.469	0.355	0.482
orc	獸人	0.240	0.510	0.388
orchard	果園	0.760	0.269	0.333
orchestra	樂隊	0.708	0.500	0.664
orchid	蘭花	0.840	0.345	0.382
ordained	受戒	0.735	0.409	0.731
ordeal	考驗	0.344	0.539	0.529
order	訂購	0.780	0.295	0.814
orderly	整齊的	0.844	0.240	0.661
ordinance	條例	0.615	0.452	0.776
ordinary	普通	0.375	0.312	0.286
ordination	統籌	0.688	0.490	0.765
ordnance	軍械	0.354	0.825	0.679
ore	礦石	0.500	0.333	0.356
oregano	牛至	0.596	0.327	0.250
organ	器官	0.510	0.469	0.538
organic	有機	0.719	0.343	0.535
organism	生物	0.457	0.559	0.800
organist	風琴	0.740	0.469	0.669
organization	組織	0.810	0.535	0.851
organize	組織	0.802	0.655	0.781
organized	有組織的	0.816	0.337	0.746
organizer	組織者	0.604	0.577	0.846
orgasm	性高潮	0.844	0.863	0.676
orgies	狂歡	0.388	0.953	0.433
orgy	狂歡	0.346	0.962	0.536
orient	東方	0.667	0.422	0.667
oriental	東方的	0.592	0.409	0.598
orientation	方向	0.667	0.454	0.686
orifice	孔	0.448	0.355	0.443
origami	摺紙	0.684	0.276	0.294
origin	起源	0.729	0.435	0.591
original	原版的	0.765	0.480	0.746
originality	獨創性	0.898	0.500	0.824
originate	起源	0.702	0.500	0.866
origination	首創	0.760	0.443	0.604
originator	鼻祖	0.592	0.510	0.868
ornament	裝飾	0.561	0.373	0.441
ornamental	裝飾	0.663	0.392	0.460
ornamentation	裝飾物	0.663	0.471	0.472
ornamented	裝飾	0.677	0.350	0.490
ornate	華麗的	0.812	0.356	0.500
ornery	故意刁難	0.361	0.520	0.509
orphan	孤兒	0.133	0.388	0.140
orphanage	孤兒院	0.184	0.439	0.425
orphaned	孤	0.062	0.430	0.228
orthodontist	牙齒矯正	0.469	0.615	0.564
orthodox	正統	0.388	0.471	0.647
orthodoxy	正統	0.271	0.388	0.612
orthogonal	正交	0.500	0.314	0.540
orthopedic	骨科	0.406	0.346	0.473
oscillate	擺動	0.449	0.580	0.397
oscillating	擺動的	0.469	0.548	0.402
oscillation	振盪	0.562	0.433	0.431
oscillatory	振盪	0.375	0.520	0.480
ostensible	表面的	0.542	0.549	0.585
ostensibly	表面上	0.473	0.529	0.509
ostentatious	擺闊	0.479	0.794	0.648
ostracized	排斥	0.115	0.690	0.377
ostrich	鴕鳥	0.592	0.382	0.241
other	其他	0.472	0.230	0.259
otter	獺	0.439	0.216	0.339
otto	玫瑰油	0.427	0.425	0.404
ottoman	奧斯曼帝國	0.531	0.337	0.444
ought	應該	0.438	0.511	0.434
ounce	盎司	0.531	0.255	0.288
oust	逐出	0.296	0.716	0.444
outage	停運	0.306	0.684	0.438
outback	內陸	0.500	0.324	0.430
outbid	抬高價格	0.594	0.622	0.540
outboard	舷外	0.448	0.491	0.456
outbreak	暴發	0.260	0.632	0.472
outburst	突發	0.209	0.802	0.528
outcast	棄兒	0.153	0.449	0.353
outcome	結果	0.615	0.472	0.685
outcry	喊叫	0.271	0.773	0.718
outdated	過時的	0.167	0.236	0.226
outdo	優於	0.771	0.750	0.873
outdoor	戶外	0.814	0.256	0.447
outdoors	在戶外	0.781	0.444	0.453
outer	外	0.552	0.471	0.456
outfit	配備	0.760	0.490	0.566
outgoing	傳出	0.650	0.472	0.538
outgrow	長出	0.510	0.529	0.722
outgrowth	生長	0.771	0.620	0.688
outhouse	外屋	0.281	0.519	0.255
outing	遊覽	0.771	0.672	0.634
outlandish	異乎尋常	0.448	0.737	0.657
outlast	經久耐用	0.620	0.786	0.685
outlaw	取締	0.255	0.662	0.482
outlet	出口	0.610	0.396	0.245
outline	大綱	0.542	0.365	0.509
outlines	大綱	0.656	0.402	0.651
outlive	活得比	0.565	0.769	0.724
outlook	外表	0.830	0.525	0.625
outlying	邊遠	0.460	0.562	0.503
outnumber	想個辦法	0.347	0.615	0.577
outpatient	門診病人	0.260	0.400	0.395
outpost	前哨	0.635	0.571	0.675
outpouring	流露	0.562	0.685	0.552
output	產量	0.604	0.389	0.434
outrage	暴行	0.060	0.689	0.542
outraged	憤怒	0.156	0.696	0.538
outrageous	蠻橫的	0.153	0.945	0.713
outrank	級別高於	0.653	0.643	0.817
outreach	推廣	0.540	0.462	0.672
outright	公然	0.767	0.396	0.755
outrun	逃脫	0.531	0.833	0.573
outset	開始	0.750	0.500	0.582
outsider	局外人	0.398	0.549	0.447
outskirts	郊區	0.474	0.519	0.312
outsmart	智取	0.673	0.657	0.864
outspoken	直言不諱	0.582	0.413	0.667
outstanding	優秀	0.898	0.760	0.896
outstretched	伸開	0.448	0.481	0.519
outward	向外	0.449	0.439	0.365
outwards	向外	0.440	0.472	0.400
outweigh	超過	0.486	0.600	0.682
outwit	智勝	0.302	0.755	0.356
oval	橢圓	0.417	0.280	0.330
ovary	子房	0.469	0.399	0.280
ovate	卵形	0.385	0.286	0.368
ovation	歡呼	0.719	0.758	0.750
oven	烤箱	0.583	0.425	0.606
overactive	過度活躍	0.667	0.885	0.592
overall	總體	0.583	0.370	0.670
overalls	工作服	0.500	0.392	0.373
overbearing	霸道	0.323	0.833	0.861
overburden	覆土	0.115	0.755	0.546
overcast	灰濛蒙	0.417	0.250	0.475
overcharged	亂收費	0.276	0.780	0.569
overcoat	大衣	0.594	0.265	0.430
overcome	克服	0.719	0.689	0.848
overcoming	克服	0.842	0.765	0.855
overcrowded	擠	0.292	0.520	0.491
overdo	過度	0.156	0.864	0.602
overdose	過量	0.110	0.820	0.468
overdrive	疲勞過度	0.303	0.715	0.732
overdue	過期的	0.125	0.427	0.259
overestimate	估計過高	0.367	0.796	0.444
overestimated	高估	0.344	0.646	0.527
overflow	溢出	0.398	0.792	0.500
overflowing	滿溢	0.439	0.796	0.635
overgrown	發育過度的	0.333	0.500	0.369
overgrowth	過度發育	0.417	0.790	0.673
overhanging	懸垂	0.698	0.755	0.812
overhaul	翻修	0.500	0.651	0.491
overhead	高架	0.344	0.700	0.538
overhear	偷聽	0.650	0.365	0.580
overheated	過熱	0.250	0.598	0.547
overjoyed	喜出望外	0.908	0.708	0.755
overkill	矯枉過正	0.379	0.861	0.678
overlaid	覆蓋	0.620	0.610	0.676
overlap	交疊	0.594	0.615	0.627
overlapping	重疊	0.595	0.578	0.684
overlay	覆蓋	0.564	0.596	0.749
overload	超載	0.381	0.690	0.652
overlook	俯瞰	0.292	0.418	0.415
overlord	霸王	0.750	0.755	0.932
overlying	覆	0.500	0.519	0.691
overpaid	買貴了	0.429	0.670	0.585
overpass	立交橋	0.562	0.561	0.565
overplayed	誇大	0.224	0.798	0.586
overpower	壓倒	0.448	0.859	0.783
overpowering	壓倒性	0.392	0.779	0.589
overpriced	高估	0.271	0.556	0.472
overprotective	過分	0.448	0.673	0.741
overrated	被高估	0.312	0.630	0.482
overreact	反應過度	0.306	0.912	0.471
override	覆蓋	0.316	0.491	0.529
overriding	覆蓋	0.240	0.490	0.384
overrule	否決	0.224	0.412	0.429
overrun	氾濫	0.271	0.764	0.598
oversee	監視	0.541	0.649	0.778
overseer	監工	0.552	0.520	0.873
overshadow	掩蓋	0.333	0.549	0.654
oversight	疏忽	0.385	0.618	0.723
oversized	過大的	0.552	0.540	0.679
overslept	睡過頭	0.408	0.315	0.300
overstate	誇大	0.281	0.779	0.635
overstock	積壓	0.344	0.592	0.589
overt	公開	0.708	0.326	0.607
overtake	超過	0.573	0.620	0.718
overtaken	超越	0.594	0.552	0.702
overthemoon	NO TRANSLATION	0.643	0.531	0.481
overthinker	overthinker	0.430	0.606	0.552
overthinking	想太多	0.408	0.761	0.525
overthrow	推翻	0.260	0.868	0.620
overtime	隨著時間的推移	0.447	0.504	0.529
overtired	過度疲勞	0.210	0.357	0.273
overture	序曲	0.490	0.402	0.491
overturn	顛覆	0.240	0.765	0.396
overview	概觀	0.615	0.380	0.539
overweight	超重	0.052	0.500	0.389
overwhelm	壓倒	0.250	0.823	0.462
overwhelmed	不堪重負	0.341	0.680	0.348
overwhelming	壓倒	0.327	0.830	0.640
overworked	瘁	0.133	0.670	0.387
overwrought	雕飾	0.156	0.900	0.571
overzealous	過分熱心的	0.427	0.804	0.703
owe	欠	0.500	0.429	0.386
owing	虧欠的	0.396	0.307	0.381
owl	貓頭鷹	0.520	0.270	0.321
owner	所有者	0.776	0.449	0.920
ownership	所有權	0.628	0.445	0.741
ox	牛	0.417	0.396	0.412
oxidation	氧化	0.453	0.415	0.211
oxide	氧化	0.354	0.377	0.298
oxygen	氧	0.908	0.310	0.575
oxymoron	矛盾	0.427	0.481	0.398
oyster	牡蠣	0.500	0.311	0.327
ozone	臭氧	0.560	0.345	0.518
pace	步伐	0.510	0.380	0.390
pacemaker	起搏器	0.448	0.569	0.582
pacific	和平的	0.627	0.118	0.580
pacified	息怒	0.802	0.194	0.414
pacifier	奶嘴	0.615	0.342	0.356
pacifist	和平主義者	0.663	0.153	0.557
pacify	安撫	0.812	0.283	0.629
pacing	起搏	0.583	0.551	0.491
pack	包	0.510	0.347	0.475
