Word	Malay-ms	Valence	Arousal	Dominance
gratify	memuaskan	0.837	0.539	0.794
gratifying	memuaskan	0.857	0.606	0.776
grating	grating	0.512	0.337	0.282
gratis	NO TRANSLATION	0.796	0.510	0.417
gratitude	terima kasih	0.885	0.441	0.610
gratuitous	percuma	0.735	0.650	0.452
gratuity	ganjaran	0.865	0.500	0.462
grave	kubur	0.153	0.385	0.386
gravel	kerikil	0.390	0.370	0.332
graver	NO TRANSLATION	0.102	0.622	0.453
graveyard	kubur	0.041	0.441	0.272
gravitate	menarik perhatian	0.479	0.472	0.476
gravitation	graviti	0.698	0.592	0.600
gravitational	graviti	0.528	0.510	0.691
gravity	graviti	0.510	0.635	0.538
gravy	kuah	0.608	0.450	0.339
gray	kelabu	0.335	0.153	0.189
graze	merapikan	0.560	0.255	0.371
grease	gris	0.255	0.404	0.306
greased	lancar	0.250	0.461	0.368
greaser	tukang masak	0.408	0.518	0.462
greasy	berminyak	0.399	0.442	0.294
great	hebat	0.958	0.665	0.810
great anticipation	jangkaan yang hebat	0.786	0.735	0.655
great aunt	ibu saudara yang hebat	0.896	0.419	0.589
great disgust	jijik yang hebat	0.042	0.836	0.389
great grandfather	datuk besar	0.729	0.241	0.569
great grandma	moyang	0.771	0.221	0.491
great grandmother	moyang	0.802	0.236	0.549
great grandpa	datuk besar	0.857	0.280	0.602
great surprise	kejutan besar	0.939	0.941	0.688
great trust	kepercayaan yang besar	0.939	0.528	0.853
great uncle	paman yang hebat	0.729	0.398	0.621
greatday	NO TRANSLATION	0.823	0.571	0.574
greater	lebih besar	0.755	0.519	0.796
greatest	terbesar	0.847	0.627	0.922
greatfriends	NO TRANSLATION	0.908	0.593	0.570
greatful	NO TRANSLATION	0.923	0.571	0.676
greatly	sangat banyak	0.750	0.708	0.877
greatly negative	sangat negatif	0.051	0.640	0.282
greatly positive	sangat positif	0.967	0.538	0.877
greatness	kebesaran	0.990	0.750	0.943
greatnight	NO TRANSLATION	0.918	0.349	0.574
greed	ketamakan	0.173	0.780	0.528
greedy	tamak	0.125	0.660	0.476
green	hijau	0.630	0.306	0.333
green bean	kacang hijau	0.469	0.280	0.304
green pepper	lada hijau	0.500	0.431	0.425
green snake	ular hijau	0.229	0.634	0.614
greenhouse	rumah hijau	0.719	0.438	0.384
greenish	kehijauan	0.574	0.290	0.429
greenwood	greenwood	0.531	0.382	0.491
greet	Salam	0.885	0.539	0.618
greeted	disambut	0.781	0.317	0.454
greeting	salam	0.854	0.556	0.510
gregarious	gregarious	0.551	0.471	0.529
grenade	bom tangan	0.281	0.777	0.694
grey	kelabu	0.347	0.140	0.295
greyhound	greyhound	0.520	0.490	0.440
grid	grid	0.562	0.426	0.443
gridiron	gridiron	0.667	0.491	0.425
grief	kesedihan	0.070	0.640	0.474
grievance	keluhan	0.092	0.635	0.364
grieve	bersedih hati	0.122	0.500	0.333
grieved	sedih	0.104	0.460	0.191
grieving	bersedih hati	0.093	0.673	0.403
grievous	menyedihkan	0.146	0.640	0.179
griffin	griffin	0.418	0.337	0.360
grill	grill	0.755	0.491	0.546
grille	gril	0.337	0.327	0.246
grilled	panggang	0.702	0.500	0.373
grim	suram	0.310	0.483	0.298
grime	kotoran	0.198	0.500	0.225
grimy	kotor	0.112	0.597	0.283
grin	senyum	0.885	0.570	0.491
grind	mengisar	0.480	0.276	0.397
grinder	pengisar	0.459	0.615	0.561
grinding	pengisaran	0.415	0.450	0.461
grindstone	grindstone	0.541	0.453	0.526
gringo	gringo	0.540	0.452	0.510
grip	cengkaman	0.520	0.549	0.602
gripe	mengeluh	0.184	0.526	0.241
grisly	grisly	0.083	0.863	0.426
grist	grist	0.317	0.391	0.363
grit	grit	0.449	0.296	0.345
grits	gandum	0.458	0.333	0.346
gritty	berseri	0.417	0.373	0.375
grizzly	grizzly	0.398	0.679	0.657
groan	mengerang	0.396	0.750	0.351
grocer	grosir	0.625	0.250	0.382
groceries	barangan runcit	0.740	0.363	0.417
grocery	kedai runcit	0.687	0.540	0.446
groggy	goyah	0.235	0.265	0.194
groin	pangkal paha	0.296	0.452	0.364
groom	pengantin lelaki	0.698	0.500	0.605
groove	alur	0.552	0.448	0.361
groovy	groovy	0.615	0.538	0.464
grope	meraba	0.420	0.559	0.358
gross	kasar	0.115	0.575	0.181
grotesque	menakutkan	0.135	0.788	0.500
grotto	gua	0.510	0.394	0.336
grouch	mengerang	0.342	0.593	0.411
grouchy	kesakitan	0.143	0.708	0.407
ground	tanah	0.398	0.343	0.602
grounded	didasarkan	0.531	0.601	0.509
groundhog	tanah liat	0.385	0.324	0.377
grounding	pembumian	0.521	0.452	0.591
groundless	tidak berasas	0.333	0.535	0.387
grounds	alasan	0.667	0.500	0.598
groundwork	kerja asas	0.500	0.375	0.593
group	kumpulan	0.573	0.423	0.480
groupie	groupie	0.521	0.583	0.393
grouping	kumpulan	0.745	0.580	0.698
grouse	grouse	0.448	0.401	0.412
grout	grout	0.405	0.356	0.366
grove	grove	0.604	0.245	0.417
grovel	grovel	0.360	0.500	0.414
grow	berkembang	0.914	0.615	0.755
growl	bergelora	0.194	0.764	0.482
growling	bergelora	0.119	0.887	0.475
growls	growls	0.125	0.675	0.442
grownup	membesar	0.735	0.400	0.683
growth	pertumbuhan	0.917	0.588	0.776
growthefuckup	growthefuckup	0.229	0.692	0.426
grr	grr	0.229	0.538	0.333
grrr	grrr	0.271	0.755	0.327
grrrrr	grrrrr	0.281	0.633	0.444
grub	grub	0.602	0.406	0.355
grubby	kotor	0.156	0.583	0.176
grudge	dendam	0.115	0.647	0.414
grudging	dendam	0.092	0.636	0.473
grudgingly	dendam	0.156	0.610	0.292
gruel	gruel	0.382	0.304	0.297
grueling	melelahkan	0.180	0.763	0.704
gruesome	mengerikan	0.094	0.837	0.474
gruff	geram	0.323	0.611	0.472
grumble	merungut	0.101	0.750	0.333
grump	mengerang	0.260	0.469	0.425
grumpy	marah	0.198	0.808	0.559
grunt	mengerang	0.286	0.798	0.392
grunting	mengerang	0.198	0.827	0.481
guacamole	guacamole	0.684	0.317	0.282
guano	guano	0.296	0.343	0.191
guarantee	jaminan	0.949	0.337	0.805
guaranty	jaminan	0.646	0.337	0.818
guard	pengawal	0.592	0.510	0.725
guarded	dijaga	0.758	0.686	0.500
guardhouse	pondok pengawal	0.510	0.435	0.770
guardian	penjaga	0.656	0.686	0.789
guardianship	penjagaan	0.592	0.370	0.681
guards	pengawal	0.448	0.663	0.720
gubernatorial	gubernur	0.552	0.604	0.897
guerilla	NO TRANSLATION	0.146	0.845	0.727
guerrilla	gerila	0.219	0.917	0.792
guess	meneka	0.640	0.463	0.442
guesser	penakut	0.542	0.670	0.535
guesswork	tekaan	0.417	0.451	0.405
guest	tetamu	0.719	0.490	0.558
guesthouse	rumah tetamu	0.729	0.337	0.406
guidance	bimbingan	0.729	0.471	0.718
guide	panduan	0.688	0.315	0.620
guidebook	buku panduan	0.677	0.260	0.427
guidelines	garis panduan	0.459	0.500	0.664
guiding	membimbing	0.667	0.520	0.714
guild	persatuan	0.580	0.459	0.729
guile	bersalah	0.410	0.417	0.467
guillotine	guillotine	0.163	0.817	0.585
guilt	bersalah	0.208	0.567	0.206
guilty	bersalah	0.135	0.770	0.352
guinea	guinea	0.521	0.440	0.396
guise	bersudut	0.531	0.547	0.324
guitar	gitar	0.844	0.542	0.469
guitarist	gitar	0.827	0.740	0.549
gules	gules	0.469	0.443	0.340
gulf	jurang	0.520	0.365	0.398
gull	gull	0.594	0.317	0.378
gullet	gullet	0.385	0.490	0.393
gullible	mudah tertipu	0.440	0.442	0.318
gully	gully	0.316	0.519	0.394
gulp	menendang	0.551	0.660	0.409
gum	gusi	0.573	0.227	0.213
gumbo	gumbo	0.500	0.422	0.361
gummy	gummy	0.521	0.302	0.291
gumption	gumption	0.480	0.538	0.488
gun	senjata api	0.147	0.920	0.713
gunboat	bot bot	0.139	0.663	0.618
gunfight	gunfight	0.051	0.961	0.700
gunfighter	gunfighter	0.156	0.910	0.741
gunfire	tembakan	0.156	0.930	0.673
gunk	gunk	0.250	0.478	0.219
gunman	lelaki bersenjata	0.167	0.922	0.689
gunmen	lelaki bersenjata	0.073	0.942	0.727
gunner	penembak	0.250	0.853	0.817
gunnery	gunnery	0.281	0.861	0.873
gunplay	gunplay	0.133	0.906	0.627
gunpoint	gunpoint	0.188	0.817	0.719
gunpowder	serbuk mesiu	0.425	0.853	0.509
gunshot	tembakan	0.042	0.953	0.673
gunslinger	gunslinger	0.316	0.873	0.811
gurney	gurney	0.408	0.304	0.352
guru	guru	0.573	0.360	0.653
gush	gush	0.510	0.490	0.381
gusher	gusher	0.406	0.520	0.453
gusset	gusset	0.427	0.425	0.423
gust	gust	0.490	0.755	0.556
gusto	NO TRANSLATION	0.692	0.729	0.620
gusty	gusty	0.687	0.631	0.455
gut	usus	0.408	0.367	0.364
gutless	tidak baik	0.250	0.381	0.384
guts	keberanian	0.592	0.649	0.582
gutsy	gutsy	0.635	0.573	0.536
gutter	longkang	0.466	0.260	0.400
guy	lelaki	0.583	0.367	0.546
guzzler	penipu	0.393	0.537	0.436
guzzling	menggosok	0.460	0.490	0.380
gym	Gim	0.635	0.690	0.613
gymnasium	gimnasium	0.667	0.561	0.474
gymnast	gimnas	0.670	0.760	0.558
gymnastic	gimnastik	0.810	0.706	0.604
gymnastics	gimnastik	0.745	0.677	0.508
gynecologist	pakar sakit puan	0.552	0.566	0.682
gynecology	ginekologi	0.408	0.590	0.519
gypsy	gipsi	0.375	0.665	0.396
gyroscope	giroskop	0.500	0.390	0.510
habit	kebiasaan	0.625	0.226	0.585
habitat	habitat	0.633	0.343	0.553
habitation	kediaman	0.781	0.231	0.538
habitual	biasa	0.527	0.208	0.490
habitually	biasanya	0.600	0.324	0.583
hacienda	hacienda	0.688	0.402	0.573
hack	hack	0.135	0.717	0.534
hacker	penggodam	0.271	0.755	0.740
hacksaw	hacksaw	0.406	0.645	0.537
hadenough	NO TRANSLATION	0.323	0.566	0.529
hag	hag	0.188	0.695	0.411
haggard	haggard	0.115	0.510	0.246
haggle	tawar-menawar	0.480	0.601	0.461
haiku	haiku	0.583	0.356	0.392
hail	hail	0.459	0.627	0.411
hair	rambut	0.582	0.186	0.286
hairball	hairball	0.370	0.302	0.315
hairbrush	berus rambut	0.454	0.216	0.263
haircut	potongan rambut	0.677	0.343	0.307
hairdo	gaya rambut	0.552	0.320	0.435
hairdresser	pendandan rambut	0.708	0.509	0.407
hairdryer	pengering rambut	0.642	0.402	0.330
hairless	tanpa rambut	0.136	0.235	0.139
hairline	garis rambut	0.418	0.154	0.230
hairpin	jepit rambut	0.459	0.363	0.370
hairspray	penyembur rambut	0.549	0.279	0.269
hairstyle	gaya rambut	0.771	0.380	0.433
hairy	berbulu	0.542	0.380	0.343
hale	hale	0.479	0.435	0.500
half	separuh	0.500	0.274	0.276
half dollar	setengah dolar	0.573	0.408	0.509
halfback	halfback	0.490	0.429	0.440
halftime	separuh masa	0.458	0.352	0.429
halfway	separuh jalan	0.510	0.254	0.339
halibut	halibut	0.449	0.412	0.411
hall	dewan	0.510	0.340	0.424
hallelujah	hallelujah	0.770	0.554	0.657
hallmark	ciri khas	0.646	0.315	0.411
hallowed	suci	0.740	0.500	0.728
hallucination	halusinasi	0.396	0.706	0.370
hallway	lorong	0.573	0.230	0.279
halo	halo	0.490	0.370	0.441
halt	berhenti	0.167	0.360	0.432
halter	halter	0.448	0.451	0.431
halting	berhenti	0.255	0.596	0.519
halve	separuh	0.316	0.347	0.302
halving	separuh	0.292	0.474	0.366
ham	ham	0.673	0.245	0.404
hamburger	hamburger	0.809	0.551	0.387
hamlet	dusun	0.573	0.270	0.397
hammer	tukul	0.312	0.509	0.563
hammerhead	hammerhead	0.337	0.490	0.569
hammering	memukul	0.347	0.779	0.557
hammock	buaian	0.673	0.255	0.287
hamper	hamper	0.204	0.711	0.473
hamster	hamster	0.520	0.394	0.349
hamstring	hamstring	0.406	0.471	0.443
hand	tangan	0.542	0.314	0.434
handbag	beg tangan	0.562	0.240	0.336
handball	bola baling	0.561	0.493	0.440
handbook	buku panduan	0.600	0.224	0.567
handcuff	borgol	0.310	0.590	0.593
handful	segenggam	0.521	0.481	0.400
handgun	pistol	0.156	0.914	0.782
handheld	genggam	0.646	0.350	0.586
handicap	kecacatan	0.133	0.394	0.264
handicapped	cacat	0.204	0.467	0.180
handicraft	kraftangan	0.724	0.333	0.565
handiwork	perbuatan	0.753	0.430	0.410
handkerchief	sapu tangan	0.510	0.192	0.219
handle	mengendalikan	0.698	0.571	0.558
handler	pengendali	0.439	0.593	0.861
handmade	buatan tangan	0.776	0.383	0.475
handout	handout	0.560	0.330	0.545
handprint	cap jari	0.635	0.289	0.463
handshake	jabat tangan	0.816	0.654	0.492
handsome	kacak	0.890	0.600	0.682
handwriting	tulisan tangan	0.615	0.378	0.381
handy	berguna	0.741	0.378	0.639
handyman	tukang tangan	0.660	0.373	0.393
hang	menggantung	0.323	0.529	0.446
hangar	hangar	0.490	0.456	0.481
hanger	penyangkut	0.439	0.462	0.461
hanging	menggantung	0.378	0.471	0.389
hangman	hangman	0.153	0.877	0.555
hangout	hangout	0.573	0.500	0.462
hangover	mabuk	0.188	0.565	0.267
hangry	bergaduh	0.219	0.794	0.279
hank	hank	0.510	0.375	0.339
hankering	hankering	0.604	0.540	0.558
hanky	hanky	0.460	0.276	0.250
hap	NO TRANSLATION	0.503	0.431	0.453
haphazard	seronok	0.469	0.530	0.324
hapless	malang	0.271	0.442	0.193
happen	berlaku	0.677	0.670	0.551
happening	berlaku	0.646	0.529	0.555
happier	lebih bahagia	0.990	0.760	0.806
happiest	gembira	0.990	0.716	0.746
happily	gembira	1.000	0.690	0.674
happiness	kebahagiaan	0.960	0.732	0.850
happy	gembira	1.000	0.735	0.772
happydance	happydance	0.857	0.760	0.582
happyday	hari yang gembira	0.929	0.650	0.663
happyheart	gembira	0.949	0.575	0.605
happyholidays	NO TRANSLATION	0.927	0.740	0.637
happynewyear	NO TRANSLATION	0.969	0.815	0.559
happyplace	NO TRANSLATION	0.938	0.589	0.645
happytweet	NO TRANSLATION	0.847	0.588	0.437
happyvalentinesday	NO TRANSLATION	0.929	0.784	0.509
harass	mengganggu	0.160	0.775	0.620
harassing	mengganggu	0.120	0.873	0.446
harassment	gangguan	0.083	0.896	0.420
harbinger	perantaraan	0.490	0.389	0.692
harbor	Pelabuhan	0.594	0.356	0.634
hard	keras	0.302	0.708	0.616
hardball	hardball	0.542	0.667	0.452
hardcore	tegar	0.250	0.721	0.585
harden	mengeras	0.276	0.598	0.677
hardened	mengeras	0.406	0.618	0.764
hardening	pengerasan	0.388	0.673	0.741
hardheaded	keras kepala	0.156	0.699	0.571
hardness	kekerasan	0.417	0.580	0.745
hardship	kesukaran	0.094	0.775	0.482
hardware	perkakasan	0.594	0.289	0.686
hardwood	kayu keras	0.417	0.363	0.518
hardworking	rajin	0.719	0.583	0.792
hardy	kuat	0.571	0.569	0.810
hare	kelinci	0.620	0.410	0.345
harebrained	harebrained	0.296	0.551	0.436
harem	harem	0.521	0.578	0.582
hark	hark	0.571	0.500	0.398
harlot	pelacur	0.198	0.798	0.330
harm	bahaya	0.073	0.679	0.423
harmful	berbahaya	0.094	0.750	0.291
harmless	tidak berbahaya	0.625	0.226	0.241
harmonica	harmoni	0.847	0.235	0.510
harmonics	harmonik	0.865	0.400	0.575
harmonious	harmoni	0.938	0.391	0.719
harmoniously	harmoni	0.969	0.265	0.647
harmonize	menyelaraskan	0.939	0.461	0.609
harmony	harmoni	0.949	0.230	0.509
harness	memanfaatkan	0.570	0.549	0.508
harp	kecapi	0.618	0.310	0.356
harper	harper	0.417	0.454	0.435
harpoon	tempurung	0.490	0.700	0.557
harpsichord	harpsichord	0.541	0.490	0.438
harrowing	mengerikan	0.209	0.810	0.474
harry	harry	0.520	0.409	0.390
harsh	keras	0.250	0.650	0.623
harshness	kekasaran	0.323	0.600	0.779
hart	hart	0.643	0.389	0.447
harvest	tuaian	0.781	0.353	0.548
hash	hash	0.344	0.453	0.355
hashish	hashish	0.370	0.570	0.358
hassle	kerumitan	0.177	0.740	0.489
haste	tergesa-gesa	0.378	0.745	0.500
hasten	cepatkan	0.571	0.750	0.618
hastily	tergesa-gesa	0.271	0.609	0.609
hasty	tergesa-gesa	0.188	0.885	0.424
hat	topi	0.604	0.183	0.353
hatch	menetas	0.479	0.653	0.402
hatchet	hatchet	0.333	0.608	0.500
hate	benci	0.031	0.802	0.430
hateeee	NO TRANSLATION	0.219	0.606	0.368
hateeveryone	NO TRANSLATION	0.041	0.840	0.429
hateful	kebencian	0.071	0.819	0.430
hater	pembenci	0.052	0.702	0.422
hateyou	NO TRANSLATION	0.125	0.735	0.464
hating	membenci	0.083	0.820	0.434
hatred	kebencian	0.037	0.847	0.424
haughty	angkuh	0.240	0.708	0.588
haul	mengangkut	0.551	0.564	0.453
haulage	pengangkutan	0.561	0.510	0.650
haunt	menghantui	0.288	0.676	0.576
haunted	dihantui	0.264	0.731	0.520
have	mempunyai	0.757	0.389	0.593
haven	tempat tinggal	0.684	0.265	0.547
havoc	malapetaka	0.163	0.769	0.535
haw	haw	0.406	0.426	0.431
hawk	elang	0.583	0.530	0.631
hawking	menjaja	0.521	0.509	0.491
hay	NO TRANSLATION	0.469	0.212	0.343
haye	haye	0.615	0.451	0.336
hayride	hayride	0.561	0.521	0.464
haystack	jerami	0.552	0.292	0.331
haywire	haywire	0.358	0.545	0.430
hazard	bahaya	0.112	0.884	0.757
hazardous	berbahaya	0.061	0.750	0.670
haze	jerebu	0.427	0.327	0.217
hazmat	hazmat	0.398	0.479	0.519
hazy	kabur	0.450	0.433	0.230
head	kepala	0.530	0.472	0.558
headache	sakit kepala	0.168	0.755	0.273
headaches	sakit kepala	0.104	0.720	0.259
headband	dandanan	0.670	0.469	0.527
headdress	tudung	0.594	0.408	0.443
header	kepala	0.560	0.398	0.740
headgear	tutup kepala	0.542	0.442	0.571
heading	tajuk	0.551	0.292	0.642
headland	tanjung	0.574	0.551	0.430
headless	tanpa kepala	0.136	0.582	0.235
headlight	lampu	0.592	0.343	0.393
headline	tajuk utama	0.630	0.241	0.685
headliner	headliner	0.500	0.490	0.625
headlock	headlock	0.448	0.538	0.560
headlong	tajam	0.354	0.548	0.409
headmaster	guru besar	0.604	0.564	0.865
headphones	fon kepala	0.600	0.357	0.336
headquarter	ibu pejabat	0.615	0.269	0.525
headquarters	ibu pejabat	0.615	0.271	0.525
headset	alat dengar	0.602	0.340	0.302
headstone	batu nisan	0.240	0.378	0.349
headstrong	tajam	0.310	0.714	0.500
headway	jalan raya	0.823	0.464	0.745
heady	hairan	0.448	0.806	0.565
heal	sembuh	0.765	0.245	0.556
healer	penyembuh	0.863	0.378	0.741
healing	penyembuhan	0.750	0.452	0.585
health	kesihatan	0.935	0.427	0.551
healthcare	penjagaan kesihatan	0.780	0.392	0.630
healthful	sihat	0.930	0.315	0.769
healthy	sihat	0.938	0.319	0.818
heap	timbunan	0.582	0.510	0.474
hear	dengar	0.760	0.429	0.444
hearer	pendengar	0.656	0.281	0.415
hearing	pendengaran	0.669	0.490	0.595
hearsay	khabar angin	0.288	0.623	0.333
hearse	jenaka	0.177	0.490	0.324
heart	hati	0.827	0.500	0.693
heart disease	penyakit jantung	0.250	0.750	0.386
heartache	sakit hati	0.088	0.750	0.291
heartattack	NO TRANSLATION	0.156	0.839	0.455
heartbeat	denyutan jantung	0.750	0.698	0.585
heartbreak	kesakitan	0.208	0.610	0.245
heartbreaker	kesakitan	0.265	0.685	0.580
heartbreaking	menyayat hati	0.146	0.811	0.423
heartbroken	patah hati	0.082	0.551	0.235
heartburn	pedih ulu hati	0.143	0.613	0.398
hearted	hati	0.823	0.410	0.805
heartfelt	bersungguh-sungguh	0.904	0.440	0.540
hearth	perdi	0.760	0.275	0.536
heartily	dengan sepenuh hati	0.927	0.531	0.664
heartland	jantung	0.812	0.510	0.675
heartless	tidak bermaya	0.071	0.652	0.400
hearts	hati	0.948	0.592	0.634
heartsick	hati	0.240	0.388	0.208
heartworm	heartworm	0.333	0.550	0.430
hearty	sihat	0.760	0.684	0.792
heat	haba	0.534	0.612	0.433
heated	dipanaskan	0.479	0.497	0.542
heater	Pemanas	0.500	0.573	0.538
heath	heath	0.802	0.387	0.546
heathen	orang kafir	0.194	0.529	0.491
heather	heather	0.500	0.352	0.407
heating	pemanasan	0.647	0.491	0.537
heave	heave	0.716	0.588	0.664
heaven	syurga	0.896	0.385	0.600
heavenly	syurga	0.844	0.452	0.712
heavens	langit	0.806	0.273	0.683
heavily	beratnya	0.542	0.679	0.814
heaviness	berat badan	0.219	0.549	0.318
heaving	heaving	0.201	0.843	0.491
heavy	berat	0.250	0.454	0.600
heavy metal	logam berat	0.417	0.755	0.621
heavyweight	kelas berat	0.429	0.578	0.713
heck	heck	0.240	0.728	0.560
hectares	hektar	0.570	0.250	0.471
hectic	sibuk	0.167	0.811	0.438
hedge	lindung nilai	0.604	0.602	0.569
hedgehog	landak	0.458	0.491	0.377
hedonism	hedonisme	0.510	0.500	0.608
hee	hee	0.430	0.433	0.312
heed	perhatikan	0.750	0.490	0.569
heel	tumit	0.480	0.350	0.385
heels	tumit	0.500	0.439	0.396
heft	heft	0.503	0.340	0.530
hefty	besar	0.550	0.654	0.745
hegemonic	hegemonik	0.462	0.519	0.558
heheh	NO TRANSLATION	0.625	0.510	0.278
heifer	lembu betina	0.439	0.443	0.321
height	ketinggian	0.677	0.608	0.648
heighten	tambah tinggi	0.755	0.622	0.765
heightened	meningkat	0.592	0.529	0.788
heinous	kejam	0.133	0.792	0.471
heir	waris	0.840	0.654	0.764
heiress	waris	0.827	0.571	0.676
heirloom	pusaka	0.684	0.375	0.745
heirs	waris	0.796	0.519	0.698
heist	heist	0.184	0.850	0.645
helical	heliks	0.379	0.429	0.468
helicopter	helikopter	0.714	0.806	0.617
helipad	helipad	0.780	0.637	0.573
heliport	heliport	0.594	0.604	0.527
helium	helium	0.490	0.316	0.304
helix	helix	0.521	0.462	0.509
hell	neraka	0.020	0.918	0.565
hellfire	api neraka	0.143	0.890	0.618
hellhole	lubang neraka	0.200	0.615	0.421
hellish	jahat	0.125	0.860	0.545
helm	helm	0.511	0.450	0.615
helmet	topi keledar	0.573	0.327	0.402
helmsman	helmsman	0.490	0.441	0.647
help	membantu	0.673	0.471	0.460
helper	pembantu	0.704	0.438	0.567
helpful	membantu	0.816	0.337	0.705
helpless	tidak berdaya	0.104	0.420	0.214
helplessness	tidak berdaya	0.087	0.480	0.250
hem	NO TRANSLATION	0.562	0.283	0.291
hematite	hematit	0.448	0.389	0.342
hematoma	hematoma	0.146	0.600	0.398
hemi	hemi	0.510	0.363	0.342
hemisphere	hemisfera	0.531	0.367	0.598
hemispheric	hemispheric	0.562	0.449	0.603
hemlock	hemlock	0.438	0.350	0.434
hemoglobin	hemoglobin	0.469	0.481	0.418
hemorrhage	pendarahan	0.031	0.849	0.426
hemorrhoids	buasir	0.133	0.702	0.304
hemostat	hemostat	0.388	0.442	0.464
hemp	rami	0.469	0.439	0.422
hen	NO TRANSLATION	0.385	0.276	0.241
henceforth	seterusnya	0.527	0.404	0.466
henhouse	reban ayam	0.500	0.577	0.414
hepatitis	hepatitis	0.055	0.596	0.358
herald	pengarang	0.643	0.382	0.500
heraldry	heraldry	0.550	0.520	0.607
herb	herba	0.643	0.418	0.353
herbaceous	herba	0.560	0.220	0.310
herbal	herba	0.592	0.255	0.390
herbarium	herbarium	0.602	0.188	0.327
herbs	herba	0.620	0.299	0.308
herd	kumpulan	0.592	0.500	0.474
hereditary	keturunan	0.531	0.600	0.737
heredity	keturunan	0.704	0.445	0.818
heresy	sesat	0.265	0.765	0.443
heretic	heretic	0.090	0.710	0.447
heretical	heretikal	0.229	0.630	0.487
heretofore	sebelum ini	0.479	0.388	0.385
hereunto	hereunto	0.500	0.225	0.333
herewith	dengan ini	0.450	0.360	0.415
heritage	warisan	0.842	0.512	0.815
hermaphrodite	hermaphrodite	0.480	0.684	0.481
hermeneutics	hermeneutik	0.406	0.577	0.562
hermit	pertapa	0.271	0.337	0.351
hernia	hernia	0.146	0.486	0.223
hero	wira	0.940	0.806	0.881
heroic	heroik	0.890	0.770	0.912
heroics	heroik	0.865	0.673	0.894
heroin	heroin	0.276	0.843	0.655
heroine	heroin	0.729	0.755	0.833
heroism	kepahlawanan	0.844	0.802	0.898
herpes	herpes	0.110	0.600	0.309
herpesvirus	herpesvirus	0.219	0.558	0.435
herring	herring	0.531	0.387	0.422
hertz	hertz	0.396	0.417	0.506
hesitant	teragak-agak	0.333	0.542	0.321
hesitate	teragak-agak	0.459	0.548	0.232
hesitating	ragu-ragu	0.265	0.528	0.240
hesitation	ragu-ragu	0.286	0.396	0.217
hetero	hetero	0.589	0.405	0.435
heterogeneity	heterogenitas	0.439	0.450	0.556
heterosexual	heteroseksual	0.561	0.612	0.557
hew	dia w	0.417	0.470	0.377
hex	hex	0.410	0.510	0.363
hexagon	heksagon	0.542	0.226	0.425
heyday	zaman kegemilangannya	0.646	0.680	0.673
hiatus	hiatus	0.479	0.294	0.352
hibernate	hibernate	0.500	0.317	0.431
hibernation	hibernasi	0.469	0.245	0.384
hiccup	cegukan	0.271	0.549	0.240
hick	hick	0.357	0.442	0.314
hickey	hickey	0.448	0.529	0.345
hickory	hickory	0.520	0.490	0.415
hidden	tersembunyi	0.208	0.430	0.327
hide	bersembunyi	0.438	0.510	0.218
hideaway	persembunyian	0.448	0.481	0.360
hideous	mengerikan	0.091	0.750	0.328
hideout	tempat persembunyian	0.337	0.443	0.302
hiding	bersembunyi	0.250	0.567	0.364
hierarchical	hierarki	0.521	0.620	0.939
hierarchy	hierarki	0.583	0.722	0.902
hieroglyphics	hieroglyphics	0.479	0.325	0.509
high	tinggi	0.684	0.510	0.614
high heels	tumit tinggi	0.646	0.528	0.429
highball	bola sepak	0.656	0.520	0.481
higher	lebih tinggi	0.866	0.528	0.713
highest	tertinggi	0.771	0.640	0.710
highland	tanah tinggi	0.615	0.481	0.611
highlands	tanah tinggi	0.735	0.431	0.596
highlight	sorot	0.844	0.637	0.882
highness	tinggi	0.740	0.670	0.931
hight	hight	0.667	0.637	0.645
hightail	hightail	0.448	0.480	0.481
highway	lebuh raya	0.640	0.583	0.425
hijack	merampas	0.042	0.908	0.594
hijacker	perampas	0.104	0.953	0.683
hike	kenaikan	0.615	0.442	0.538
hiker	pejalan kaki	0.694	0.802	0.644
hiking	mendaki	0.820	0.843	0.670
hiking boot	boot boot	0.657	0.353	0.446
hilarious	gembira	0.750	0.640	0.537
hilarity	kegembiraan	0.745	0.480	0.575
hill	bukit	0.615	0.353	0.518
hillside	lereng bukit	0.625	0.292	0.458
hilltop	puncak bukit	0.688	0.643	0.787
hilly	berbukit	0.643	0.479	0.603
hilt	putar	0.396	0.650	0.537
hind	belakang	0.483	0.644	0.337
hinder	menghalang	0.276	0.537	0.470
hindering	menghalang	0.260	0.654	0.435
hindrance	halangan	0.135	0.545	0.473
hindsight	belakang	0.333	0.431	0.532
hinge	engsel	0.458	0.292	0.417
hint	petunjuk	0.602	0.330	0.517
hinterland	kawasan pedalaman	0.530	0.520	0.457
hip	pinggang	0.448	0.415	0.345
hip hop	hip hop	0.740	0.714	0.484
hippie	hippie	0.551	0.400	0.396
hippo	hippo	0.490	0.404	0.477
hippopotamus	hippopotamus	0.541	0.472	0.615
hire	sewa	0.688	0.558	0.556
hirsute	hirsute	0.385	0.483	0.373
hiss	desis	0.388	0.480	0.370
hissing	mendesis	0.500	0.454	0.400
histology	histologi	0.490	0.320	0.560
historian	ahli sejarah	0.688	0.270	0.637
historic	bersejarah	0.816	0.473	0.784
historical	sejarah	0.653	0.357	0.833
