Word	Shona-sn	Valence	Arousal	Dominance
meritorious	zvakanaka	0.781	0.618	0.855
mermaid	mermaid	0.765	0.623	0.452
merriment	kufadza	0.948	0.721	0.632
merry	fara	0.979	0.731	0.764
merrychristmas	NO TRANSLATION	0.888	0.510	0.536
mesa	mesa	0.604	0.191	0.319
mescaline	mescaline	0.490	0.580	0.415
mesh	mesh	0.429	0.235	0.371
meshes	meshes	0.440	0.363	0.362
mesmerized	mesmerized	0.520	0.552	0.421
mess	mess	0.143	0.843	0.273
message	shoko	0.650	0.391	0.415
messedup	NO TRANSLATION	0.333	0.615	0.358
messenger	mutumwa	0.694	0.434	0.500
messiah	Mesiya	0.781	0.634	0.800
messy	messy	0.260	0.635	0.140
metabolic	metabolic	0.408	0.531	0.559
metabolism	metabolism	0.698	0.509	0.555
metal	tsvina	0.551	0.429	0.547
metallic	metallic	0.615	0.330	0.607
metallurgy	metallurgy	0.396	0.509	0.587
metamorphosis	metamorphosis	0.541	0.571	0.613
metaphor	chirevo	0.562	0.280	0.470
metaphorical	metaphorical	0.500	0.412	0.480
metaphysical	metaphysical	0.630	0.573	0.686
metaphysics	metaphysics	0.561	0.396	0.588
metastasis	metastasis	0.177	0.646	0.452
meteor	meteor	0.398	0.714	0.737
meteoric	meteoric	0.590	0.802	0.684
meteorite	meteorite	0.385	0.794	0.750
meteorological	meteorological	0.635	0.557	0.556
meteorology	meteorology	0.630	0.418	0.689
meter	mamita	0.438	0.300	0.463
meth	meth	0.354	0.564	0.340
methadone	methadone	0.240	0.540	0.453
methane	methane	0.290	0.460	0.569
methanol	methanol	0.292	0.500	0.570
method	nzira	0.640	0.275	0.698
methodical	methodical	0.663	0.360	0.745
methodology	methodology	0.664	0.327	0.745
meticulous	unyanzvi	0.555	0.480	0.555
metime	nguva	0.531	0.398	0.417
metric	metric	0.519	0.248	0.573
metrical	metrical	0.521	0.375	0.482
metrology	metrology	0.531	0.432	0.439
metropolis	metropolis	0.656	0.625	0.779
metropolitan	metropolitan	0.387	0.408	0.723
mettle	mettle	0.667	0.529	0.750
mew	mew	0.418	0.481	0.380
mezzanine	mezzanine	0.479	0.427	0.404
mica	mica	0.531	0.250	0.314
mick	mick	0.449	0.451	0.382
micro	micro	0.500	0.270	0.250
microbe	microbe	0.255	0.450	0.340
microbiology	microbiology	0.571	0.378	0.560
microchip	microchip	0.551	0.358	0.432
microcosm	microcosm	0.500	0.500	0.520
microfilm	microfilm	0.469	0.352	0.412
microgram	microgram	0.448	0.286	0.355
micrometer	micrometer	0.573	0.358	0.394
micron	micron	0.375	0.291	0.315
microphone	microphone	0.551	0.431	0.462
microscope	microscope	0.531	0.330	0.464
microscopic	microscopic	0.360	0.327	0.433
microscopically	microscopically	0.623	0.370	0.412
microscopy	microscopy	0.500	0.339	0.455
microwave	microwave	0.542	0.497	0.443
mid	pakati	0.500	0.315	0.356
midair	midair	0.633	0.413	0.455
midday	masikati	0.658	0.250	0.403
middle	pakati	0.458	0.157	0.300
middleman	middleman	0.500	0.404	0.452
middleweight	middleweight	0.510	0.302	0.428
midget	midget	0.396	0.295	0.254
midland	midland	0.521	0.402	0.456
midlife	midlife	0.594	0.244	0.473
midline	midline	0.332	0.224	0.330
midnight	pakati pousiku	0.562	0.470	0.545
midshipman	midshipman	0.469	0.615	0.785
midst	pakati	0.324	0.275	0.296
midsummer	midsummer	0.781	0.480	0.492
midterm	pakatikati	0.427	0.337	0.425
midtown	midtown	0.479	0.442	0.538
midway	midway	0.459	0.316	0.304
midwife	midwife	0.531	0.570	0.453
midwifery	midwifery	0.510	0.570	0.459
mien	NO TRANSLATION	0.500	0.352	0.447
miffed	miffed	0.204	0.726	0.429
mighty	vane simba	0.855	0.837	0.936
mignon	mignon	0.551	0.440	0.423
migraine	migraine	0.135	0.783	0.318
migrate	migrate	0.415	0.580	0.454
migration	migration	0.492	0.731	0.566
migratory	migratory	0.448	0.521	0.491
mike	mike	0.542	0.365	0.423
mil	NO TRANSLATION	0.534	0.388	0.347
mild	munyoro	0.635	0.198	0.216
mildew	mildew	0.344	0.250	0.241
mildness	unyoro	0.827	0.226	0.311
mile	maire	0.521	0.417	0.456
mileage	mileage	0.510	0.458	0.562
milestone	chiitiko chikuru	0.719	0.373	0.558
militant	militant	0.418	0.667	0.750
militants	varwi	0.260	0.673	0.652
military	mauto	0.396	0.710	0.875
militia	militia	0.396	0.729	0.769
milk	mukaka	0.817	0.270	0.327
milkman	milkman	0.750	0.380	0.304
milkshake	milkshake	0.796	0.521	0.330
milky	milky	0.517	0.283	0.311
mill	mill	0.531	0.382	0.347
millennium	mireniyumu	0.573	0.398	0.760
milligram	milligram	0.429	0.217	0.302
millimeter	millimeter	0.427	0.177	0.360
million	mamiriyoni	0.776	0.647	0.812
millionaire	Millionaire	0.917	0.755	0.850
millionth	mamiriyoni	0.635	0.528	0.611
millstone	guyo	0.510	0.433	0.492
mime	mime	0.455	0.235	0.302
mimic	mimic	0.557	0.587	0.391
mimicking	mimicking	0.316	0.433	0.364
mimicry	mimicry	0.420	0.337	0.472
mince	mince	0.417	0.529	0.378
mincemeat	mincemeat	0.396	0.435	0.358
mind	pfungwa	0.650	0.388	0.627
minded	minded	0.656	0.394	0.627
mindful	kufunga	0.765	0.450	0.725
mindfulness	kufunga	0.729	0.635	0.745
mindless	kusafunga	0.184	0.333	0.153
mine	mine	0.688	0.418	0.578
minefield	minefield	0.188	0.839	0.684
miner	miner	0.408	0.594	0.644
mineral	mineral	0.519	0.287	0.605
mineralogy	mineralogy	0.551	0.408	0.545
mingle	musanganise	0.561	0.480	0.434
mingled	kusanganiswa	0.521	0.392	0.357
mini	mini	0.421	0.324	0.221
miniature	miniature	0.429	0.292	0.204
minibus	minibus	0.439	0.390	0.428
minim	NO TRANSLATION	0.518	0.208	0.138
minimal	minimal	0.448	0.147	0.206
minimize	kuderedza	0.360	0.236	0.311
minimized	kuderedza	0.458	0.137	0.208
minimum	zvishoma	0.380	0.198	0.194
mining	mining	0.633	0.598	0.554
minion	minion	0.490	0.430	0.167
minister	mushumiri	0.547	0.441	0.892
ministerial	mushumiri	0.571	0.519	0.660
ministry	ushumiri	0.510	0.346	0.717
minivan	minivan	0.592	0.356	0.452
mink	mink	0.560	0.515	0.430
minnow	minnow	0.541	0.367	0.364
minor	zvishoma	0.250	0.235	0.175
minority	vashoma	0.310	0.332	0.211
minstrel	munyori wemitambo	0.458	0.541	0.397
mint	mint	0.688	0.221	0.345
minty	minty	0.635	0.292	0.361
minuscule	minuscule	0.396	0.286	0.214
minute	Mineti	0.582	0.279	0.356
minutiae	minutiae	0.323	0.257	0.316
minx	minx	0.448	0.519	0.404
mir	NO TRANSLATION	0.417	0.339	0.355
miracle	chishamiso	0.917	0.607	0.806
miracles	zvishamiso	0.922	0.735	0.692
miraculous	chishamiso	0.875	0.706	0.812
mirage	mirage	0.546	0.487	0.562
mire	NO TRANSLATION	0.344	0.376	0.298
mirror	mirara	0.677	0.310	0.438
mirth	kufara	0.888	0.640	0.608
misappropriation	kushandiswa zvisina kunaka	0.097	0.831	0.500
misbehave	misbehave	0.020	0.847	0.304
misbehavior	kusazvibata	0.031	0.704	0.269
miscalculation	miscalculation	0.177	0.490	0.353
miscarriage	kuparara	0.042	0.781	0.312
miscellaneous	zvakasiyana	0.531	0.321	0.196
miscellany	miscellany	0.500	0.412	0.384
mischief	mischief	0.385	0.834	0.292
mischievous	mischievous	0.439	0.804	0.472
misconception	misconception	0.210	0.557	0.291
misconduct	kusazvibata	0.061	0.667	0.304
misdemeanor	misdemeanor	0.210	0.640	0.364
misdirection	misdirection	0.131	0.710	0.281
miser	miser	0.208	0.633	0.311
miserable	miserable	0.062	0.461	0.188
miserably	zvinosuruvarisa	0.280	0.545	0.150
misery	nhamo	0.146	0.378	0.158
misfire	misfire	0.153	0.453	0.200
misfit	misfit	0.173	0.500	0.393
misfortune	njodzi	0.094	0.780	0.311
misguided	NO TRANSLATION	0.280	0.531	0.259
mishap	mishap	0.071	0.654	0.227
misinformed	misinformed	0.156	0.567	0.250
misinterpretation	kusanzwisiswa	0.112	0.556	0.360
mislead	kutsausa	0.167	0.765	0.412
misleading	kutsausa	0.070	0.660	0.272
misled	kutsauswa	0.177	0.606	0.353
mismanagement	kusashandisa zvakanaka	0.094	0.520	0.295
mismatch	mismatch	0.250	0.459	0.282
mismatched	kusakanganiswa	0.250	0.557	0.302
misnomer	misnomer	0.296	0.528	0.284
misplace	misplace	0.229	0.461	0.191
misplaced	misplaced	0.247	0.450	0.324
misread	zvisina kururama	0.115	0.558	0.315
misrepresent	kunyengera	0.198	0.542	0.418
misrepresentation	kunyengera	0.323	0.618	0.518
misrepresented	kunyengera	0.042	0.519	0.466
miss	miss	0.573	0.490	0.408
missile	missile	0.240	0.830	0.764
missiles	zvombo	0.070	0.922	0.830
missing	kushayikwa	0.306	0.418	0.222
missingyou	NO TRANSLATION	0.260	0.471	0.377
mission	mission	0.765	0.633	0.870
missionary	mumishinari	0.729	0.404	0.596
misspell	misspell	0.292	0.423	0.281
misstatement	kunyengera	0.302	0.547	0.221
missy	missy	0.521	0.480	0.333
mist	mhute	0.375	0.194	0.221
mistake	kukanganisa	0.208	0.585	0.102
mistaken	kukanganisa	0.131	0.630	0.212
mister	baba	0.604	0.406	0.663
mistletoe	mistletoe	0.542	0.470	0.324
mistreated	kushungurudzwa	0.010	0.792	0.200
mistress	madzimadzi	0.630	0.796	0.694
mistrial	mistrial	0.427	0.539	0.536
mistrust	kusavimba	0.135	0.657	0.231
misty	misty	0.427	0.451	0.278
misunderstand	kusanzwisisa	0.177	0.548	0.382
misunderstanding	kusanzwisisa	0.112	0.618	0.284
misunderstood	kusanzwisiswa	0.177	0.625	0.309
misuse	kushandisa zvisina kunaka	0.083	0.560	0.196
mite	mite	0.290	0.584	0.271
miter	miter	0.458	0.500	0.414
mitigate	kuderedza	0.506	0.427	0.456
mitigating	kuderedza	0.551	0.520	0.600
mitigation	kuderedza	0.448	0.527	0.423
mitt	mitt	0.406	0.183	0.264
mitten	NO TRANSLATION	0.531	0.330	0.408
mitzvah	mitzvah	0.422	0.610	0.409
mix	mix	0.542	0.490	0.472
mixed	kusanganiswa	0.510	0.346	0.444
mixedemotions	kusanganiswa	0.440	0.673	0.430
mixer	mixer	0.562	0.500	0.556
mixture	musanganiswa	0.546	0.360	0.481
mnemonic	mnemonic	0.531	0.480	0.452
moan	moan	0.357	0.735	0.352
moat	moat	0.398	0.380	0.314
mob	mhomho	0.296	0.788	0.567
mobile	mobile	0.615	0.569	0.481
mobility	kufamba	0.700	0.596	0.654
mobilization	kuunganidza	0.688	0.720	0.787
mobilize	chengetedza	0.604	0.684	0.727
mobster	mobster	0.188	0.870	0.638
mocha	mocha	0.500	0.396	0.311
mock	kuseka	0.360	0.606	0.618
mocked	kusekwa	0.225	0.746	0.204
mockery	kuseka	0.094	0.806	0.181
mocking	kuseka	0.082	0.755	0.394
mockingbird	mockingbird	0.513	0.337	0.423
mod	mod	0.458	0.367	0.384
modal	modal	0.592	0.264	0.461
modality	mutsika	0.633	0.404	0.527
mode	mamiriro	0.531	0.185	0.367
model	muenzaniso	0.607	0.388	0.723
modeler	modeler	0.500	0.510	0.730
modeling	modeling	0.684	0.404	0.490
modem	modem	0.573	0.355	0.500
moderate	kuenzanisa	0.582	0.190	0.453
moderate anticipation	kunyatsotarisira kutarisira	0.667	0.451	0.574
moderate disgust	moderate disgust	0.229	0.558	0.381
moderate negative	kunyanya zvakaipa	0.177	0.500	0.306
moderate positive	kuenzanisa zvakanaka	0.896	0.453	0.753
moderate surprise	kuenzanisa kushamisika	0.776	0.663	0.637
moderate trust	kuvimba kwakakwana	0.677	0.350	0.773
moderately	zvine mwero	0.604	0.264	0.500
moderating	moderating	0.667	0.402	0.783
moderation	kuenzanisa	0.531	0.240	0.453
moderator	muongorori	0.519	0.354	0.802
modern	mazuva ano	0.855	0.423	0.691
modernism	modernism	0.760	0.553	0.703
modest	vanozvininipisa	0.760	0.130	0.412
modesty	kuzvininipisa	0.778	0.240	0.500
modicum	modicum	0.234	0.417	0.327
modifiable	modifiable	0.541	0.422	0.373
modification	kuchinjwa	0.480	0.520	0.625
modified	modified	0.561	0.458	0.693
modify	shandura	0.458	0.584	0.625
modulate	modulate	0.673	0.343	0.555
modulation	modulation	0.458	0.365	0.565
module	module	0.582	0.388	0.571
modulus	modulus	0.622	0.304	0.481
mogul	mogul	0.510	0.652	0.865
moiety	moiety	0.378	0.343	0.454
moist	moist	0.470	0.316	0.386
moisture	chinyoro	0.406	0.398	0.327
moisturizer	moisturizer	0.750	0.280	0.386
molar	molar	0.544	0.426	0.350
molasses	molasses	0.490	0.269	0.286
mold	mold	0.330	0.274	0.402
molded	molded	0.667	0.361	0.373
molding	kuumba	0.552	0.308	0.546
moldy	moldy	0.235	0.387	0.250
mole	mole	0.436	0.377	0.352
molecular	molecular	0.495	0.440	0.536
molecule	molecule	0.531	0.259	0.375
molest	kunyanyisa	0.133	0.816	0.319
molestation	kushungurudzwa	0.102	0.808	0.407
molester	molester	0.143	0.811	0.478
molten	yakanyungudutswa	0.417	0.490	0.339
mom	amai	0.927	0.336	0.639
moment	nguva	0.604	0.435	0.509
momentary	momentary	0.562	0.271	0.330
momentous	inokosha	0.792	0.587	0.760
momentum	nguva	0.663	0.750	0.688
momma	momma	0.833	0.412	0.527
mommy	amai	0.854	0.353	0.422
monad	monad	0.510	0.482	0.451
monarch	monarch	0.583	0.559	0.870
monarchy	monarchy	0.450	0.557	0.870
monastery	monastery	0.694	0.183	0.726
monastic	monastic	0.438	0.314	0.676
monetary	mari	0.583	0.494	0.716
money	mari	0.844	0.608	0.827
mongoloid	mongoloid	0.177	0.364	0.317
mongoose	mongoose	0.327	0.380	0.546
mongrel	mongrel	0.425	0.438	0.395
monitor	chengeta	0.490	0.298	0.538
monk	monki	0.472	0.208	0.439
monkey	monkey	0.548	0.449	0.283
mono	NO TRANSLATION	0.500	0.390	0.273
monochrome	monochrome	0.312	0.292	0.339
monogamous	monogamous	0.510	0.335	0.402
monogamy	monogamy	0.542	0.380	0.455
monogram	monogram	0.480	0.210	0.425
monogrammed	monogrammed	0.503	0.270	0.402
monograph	monograph	0.500	0.242	0.481
monolayer	monolayer	0.427	0.294	0.433
monolith	monolith	0.429	0.327	0.500
monologue	monologue	0.500	0.284	0.534
monopolist	monopolist	0.330	0.590	0.725
monopoly	monopoly	0.449	0.509	0.640
monotonous	monotonous	0.354	0.221	0.400
monotony	monotony	0.398	0.135	0.353
monoxide	monoxide	0.433	0.430	0.490
monsieur	monsieur	0.552	0.340	0.623
monsoon	monsoon	0.358	0.600	0.481
monster	monster	0.133	0.935	0.596
monstrosity	monstrosity	0.094	0.933	0.611
monstrous	monstrous	0.094	0.942	0.649
montage	montage	0.438	0.520	0.388
monte	monte	0.589	0.330	0.391
month	mwedzi	0.688	0.255	0.411
monthly	pamwedzi	0.622	0.314	0.364
monument	chivako	0.833	0.404	0.811
monumental	monumental	0.656	0.594	0.955
moo	moo	0.438	0.355	0.300
mooch	mooch	0.378	0.413	0.309
mood	mafungiro	0.720	0.500	0.500
moods	mafungiro	0.578	0.633	0.491
moody	moody	0.245	0.811	0.595
moon	mwedzi	0.673	0.233	0.547
moonbeam	moonbeam	0.700	0.290	0.491
moonlight	moonlight	0.865	0.264	0.409
moonlit	moonlit	0.873	0.269	0.508
moonshine	moonshine	0.633	0.389	0.491
moonstruck	moonstruck	0.583	0.438	0.407
moonwalk	moonwalk	0.615	0.586	0.525
moor	moor	0.311	0.464	0.378
moored	moored	0.344	0.500	0.417
mooring	mooring	0.323	0.490	0.444
moorings	moorings	0.406	0.500	0.516
moorland	moorland	0.490	0.370	0.456
moose	mhuka	0.648	0.373	0.318
moot	moot	0.344	0.500	0.615
mooted	kukanganiswa	0.388	0.580	0.463
mop	mop	0.396	0.442	0.296
mope	mope	0.406	0.309	0.345
moped	moped	0.582	0.582	0.554
moral	tsika	0.700	0.459	0.796
morale	tsika	0.729	0.158	0.792
morality	tsika	0.750	0.408	0.759
morals	tsika	0.646	0.430	0.611
morass	morass	0.387	0.348	0.375
moratorium	moratorium	0.337	0.427	0.373
moray	moray	0.510	0.402	0.463
morbid	morbid	0.090	0.833	0.395
morbidity	morbidity	0.370	0.630	0.443
morbidness	morbidness	0.120	0.694	0.339
mores	mores	0.582	0.317	0.684
morgue	morgue	0.022	0.539	0.241
moribund	moribund	0.083	0.488	0.167
morn	morn	0.542	0.284	0.345
morning	mangwanani	0.688	0.235	0.444
moron	moron	0.133	0.587	0.183
moronic	moronic	0.122	0.500	0.224
morose	morose	0.240	0.663	0.264
morph	morph	0.448	0.469	0.451
morphine	morphine	0.229	0.490	0.496
morphism	morphism	0.398	0.549	0.386
morphology	morphology	0.516	0.373	0.639
morrow	mangwana	0.708	0.314	0.490
morsel	chimedu	0.490	0.296	0.400
mortal	kufa	0.196	0.786	0.510
mortality	kufa	0.229	0.726	0.518
mortar	dhaka	0.333	0.627	0.562
mortgage	mortgage	0.255	0.408	0.537
mortgagee	mortgagee	0.418	0.633	0.723
mortgagor	mortgagor	0.431	0.522	0.490
mortician	mortician	0.104	0.429	0.275
mortification	kukanganisa	0.135	0.644	0.404
mortified	rakasvibiswa	0.073	0.731	0.270
mortuary	mortuary	0.133	0.606	0.427
mosaic	mosaic	0.635	0.250	0.302
mosey	mosey	0.521	0.402	0.330
mosque	musikiti	0.542	0.352	0.528
mosquito	utsi	0.229	0.400	0.198
moss	moss	0.235	0.270	0.245
mossy	mossy	0.375	0.329	0.286
mote	NO TRANSLATION	0.375	0.388	0.260
motel	motel	0.531	0.372	0.450
moth	moth	0.323	0.350	0.196
mother	amai	0.931	0.408	0.725
motherfucker	motherfucker	0.122	0.827	0.351
motherfucking	motherfucking	0.071	0.823	0.373
motherhood	amai	0.844	0.546	0.667
motherland	motherland	0.677	0.375	0.731
motherless	motherless	0.163	0.541	0.337
motherly	amai	0.927	0.324	0.710
motif	motif	0.688	0.481	0.527
motion	kufamba	0.667	0.538	0.657
motionless	vasingatauri	0.323	0.210	0.246
motivate	zvinokurudzira	0.812	0.776	0.873
motivating	zvinokurudzira	0.958	0.820	0.787
motivation	chikonzero	0.854	0.784	0.802
motivational	motivational	0.906	0.646	0.858
motive	chinangwa	0.667	0.588	0.663
motley	motley	0.480	0.398	0.412
motor	motokari	0.531	0.551	0.648
motorbike	motokari	0.552	0.608	0.616
motorboat	motorboat	0.677	0.500	0.390
motorcade	motorcade	0.708	0.730	0.593
motorcar	motokari	0.694	0.565	0.682
motorcycle	motokari	0.677	0.764	0.713
motorist	motokari	0.562	0.663	0.578
motte	motte	0.481	0.389	0.370
mottled	mottled	0.380	0.336	0.295
motto	motto	0.688	0.317	0.439
mould	mold	0.357	0.176	0.246
mound	mound	0.520	0.481	0.509
mount	gomo	0.500	0.292	0.348
mountain	gomo	0.698	0.408	0.649
mountaineer	mountaineer	0.635	0.774	0.535
mountainous	makomo	0.635	0.519	0.612
mountains	makomo	0.766	0.433	0.569
mountaintop	mugomo	0.653	0.541	0.713
mourn	kuchema	0.056	0.583	0.150
mournful	kuchema	0.180	0.441	0.188
mourning	kuchema	0.177	0.490	0.266
mouse	mouse	0.427	0.441	0.206
mousetrap	mousetrap	0.180	0.643	0.330
mousse	mousse	0.604	0.336	0.368
moustache	mustache	0.470	0.236	0.409
mousy	mousy	0.480	0.413	0.339
mouth	muromo	0.734	0.294	0.336
mouthful	mouthful	0.609	0.565	0.389
mouthpiece	mouthpiece	0.573	0.346	0.393
mouthwash	mouthwash	0.438	0.385	0.352
movable	moving	0.469	0.509	0.500
move	famba	0.656	0.647	0.670
movement	kufamba	0.656	0.654	0.658
mover	mover	0.615	0.539	0.466
movie	bhaisikopo	0.792	0.560	0.471
movies	mafirimu	0.724	0.426	0.472
moving	moving	0.479	0.673	0.358
movingforward	NO TRANSLATION	0.857	0.518	0.848
movingon	movingon	0.490	0.529	0.435
mow	mow	0.420	0.559	0.393
mower	mower	0.458	0.510	0.368
moxie	moxie	0.531	0.490	0.366
mozzarella	mozzarella	0.653	0.265	0.340
mri	mri	0.365	0.431	0.349
muchneeded	NO TRANSLATION	0.438	0.602	0.455
mucis	NO TRANSLATION	0.398	0.418	0.420
muck	muck	0.347	0.423	0.272
mucked	mucked	0.184	0.500	0.373
mucous	mucous	0.330	0.296	0.293
mucus	mucus	0.143	0.309	0.228
mud	dope	0.333	0.260	0.185
muddle	muddle	0.184	0.710	0.336
muddled	muddled	0.250	0.615	0.263
muddy	muddy	0.292	0.400	0.283
muff	muff	0.542	0.335	0.314
muffin	muffin	0.684	0.430	0.306
muffled	muffled	0.479	0.330	0.421
muffler	muffler	0.357	0.407	0.454
mug	mug	0.542	0.214	0.382
mugger	mugger	0.125	0.850	0.500
mulberry	mulberry	0.469	0.315	0.361
mulch	mulch	0.349	0.361	0.383
mule	mule	0.320	0.337	0.254
mull	mull	0.663	0.340	0.594
mullet	mullet	0.521	0.356	0.377
multilateral	zvakasiyana-siyana	0.500	0.469	0.705
multimedia	multimedia	0.611	0.390	0.607
multinational	marudzi akawanda	0.656	0.510	0.842
multiple	multiple	0.660	0.510	0.578
multiple sclerosis	multiple sclerosis	0.188	0.587	0.483
multiplex	multiplex	0.610	0.590	0.667
multiplication	kuwedzera	0.646	0.565	0.762
multiplicity	kuwanda	0.677	0.490	0.777
multiplied	multiplied	0.802	0.559	0.729
multiplier	kuwedzera	0.643	0.615	0.741
multiply	kuwanda	0.802	0.625	0.777
multitude	vazhinji	0.562	0.765	0.847
mum	mum	0.802	0.317	0.698
mumble	mumble	0.292	0.444	0.245
mumbo	mumbo	0.429	0.506	0.336
mummy	mummy	0.400	0.588	0.415
mumps	mumps	0.099	0.410	0.311
munch	munch	0.541	0.277	0.434
munchies	munchies	0.562	0.470	0.491
munchkin	munchkin	0.490	0.466	0.374
mundane	mundane	0.312	0.420	0.480
municipal	komisheni	0.625	0.390	0.758
municipality	masuwa	0.569	0.280	0.614
mural	mural	0.551	0.265	0.454
murder	kuuraya	0.061	0.942	0.615
murderer	muurayi	0.010	0.960	0.650
murderess	kuponda	0.041	0.941	0.462
murderous	kuuraya	0.017	0.940	0.682
murky	murky	0.143	0.618	0.370
murmur	kugunun'una	0.458	0.520	0.200
muscle	musungo	0.359	0.490	0.645
muscular	muscular	0.531	0.434	0.577
muse	muse	0.760	0.360	0.509
muses	muses	0.714	0.434	0.571
museum	museum	0.792	0.206	0.481
mush	NO TRANSLATION	0.500	0.311	0.125
mushroom	mushroom	0.490	0.274	0.269
mushy	mushy	0.520	0.200	0.182
music	mimhanzi	0.833	0.563	0.605
musical	mimhanzi	0.908	0.630	0.530
musician	muimbi	0.816	0.509	0.618
musing	musing	0.740	0.151	0.465
musk	musk	0.469	0.454	0.453
musket	musket	0.260	0.654	0.510
musketeer	musketeer	0.694	0.569	0.705
muskrat	muskrat	0.439	0.510	0.368
muslin	muslin	0.439	0.304	0.352
muss	NO TRANSLATION	0.418	0.438	0.302
must	zvinofanira	0.408	0.382	0.441
mustang	mustang	0.635	0.642	0.708
mustard	mustard	0.500	0.346	0.275
muster	muster	0.635	0.460	0.548
musty	musty	0.354	0.367	0.267
mutable	mutable	0.426	0.531	0.491
mutant	mutant	0.337	0.676	0.573
mutate	mutate	0.281	0.548	0.463
mutation	mutation	0.365	0.625	0.611
mute	mbeveve	0.271	0.200	0.250
muted	muted	0.260	0.167	0.162
mutilate	mutilate	0.125	0.900	0.465
mutilated	akadzikwa	0.041	0.841	0.356
mutilation	kumiswa	0.122	0.782	0.456
mutiny	mutiny	0.323	0.890	0.549
mutt	mutt	0.418	0.408	0.387
mutter	NO TRANSLATION	0.406	0.427	0.228
mutton	mutton	0.427	0.283	0.393
mutual	mutual	0.729	0.321	0.464
mutually	mutual	0.844	0.490	0.582
muzzle	muzzle	0.388	0.430	0.232
myfavorite	myfavorite	0.812	0.587	0.615
myopia	myopia	0.245	0.387	0.226
myopic	myopic	0.344	0.396	0.218
myriad	makumi masere	0.480	0.429	0.550
mysterious	mysterious	0.448	0.699	0.455
mystery	mystery	0.417	0.667	0.519
mystic	mystic	0.643	0.520	0.535
mystical	mystical	0.594	0.443	0.689
mysticism	mysticism	0.594	0.598	0.423
mystified	chakavanzika	0.344	0.600	0.509
mystique	mystique	0.668	0.633	0.667
myth	nhema	0.458	0.432	0.338
mythic	nhema	0.635	0.528	0.645
mythical	ngano	0.625	0.556	0.583
mythological	mythological	0.760	0.573	0.658
mythology	mythology	0.684	0.439	0.688
nab	nab	0.469	0.544	0.407
nacho	nacho	0.667	0.259	0.333
nada	NO TRANSLATION	0.250	0.231	0.136
nadir	nadir	0.479	0.363	0.424
nag	NO TRANSLATION	0.271	0.451	0.472
nail	nail	0.469	0.397	0.282
nail gun	nail gun	0.378	0.806	0.574
naive	naive	0.406	0.260	0.375
naked	naked	0.323	0.885	0.288
nakedness	nakedness	0.480	0.760	0.350
namaste	NO TRANSLATION	0.719	0.255	0.464
name	zita	0.573	0.300	0.415
named	zita rake	0.562	0.396	0.565
nameless	nameless	0.344	0.280	0.164
namesake	namesake	0.418	0.327	0.404
naming	zita	0.667	0.410	0.559
nana	nana	0.765	0.255	0.375
nanny	nanny	0.615	0.370	0.528
nanometer	nanometer	0.375	0.356	0.446
nap	nap	0.660	0.098	0.342
napalm	napalm	0.265	0.580	0.471
nape	nape	0.427	0.268	0.298
napkin	napkin	0.469	0.142	0.209
napping	kupera	0.765	0.046	0.306
nappy	nappy	0.529	0.333	0.207
narcissism	narcissism	0.214	0.639	0.540
narcissist	narcissist	0.173	0.614	0.629
narcissistic	narcissistic	0.323	0.708	0.655
narcotic	narcotic	0.102	0.858	0.450
narrate	rondedzera	0.541	0.480	0.473
narration	nhoroondo	0.622	0.408	0.551
narrative	nhoroondo	0.580	0.303	0.443
narrator	narrator	0.673	0.430	0.623
narrow	zvishoma	0.260	0.368	0.356
narrowing	narrowing	0.354	0.593	0.357
nasal	nasal	0.479	0.340	0.330
nascent	nascent	0.684	0.373	0.585
nasty	nasty	0.115	0.620	0.264
natal	natal	0.755	0.462	0.481
nation	rudzi	0.594	0.443	0.821
national	national	0.698	0.365	0.663
nationality	nationality	0.642	0.400	0.772
nationwide	munyika yose	0.684	0.217	0.672
native	native	0.635	0.422	0.710
nativity	bornvity	0.750	0.337	0.673
natural	natural	0.854	0.118	0.481
natural gas	gasi chaiwo	0.635	0.324	0.396
naturalist	naturalist	0.844	0.255	0.562
naturalization	naturalization	0.781	0.279	0.652
naturalized	naturalized	0.760	0.333	0.600
naturally	zvakasikwa	0.854	0.276	0.549
nature	nature	0.857	0.184	0.643
naught	pasina	0.344	0.176	0.161
naughty	naughty	0.451	0.857	0.371
nausea	nausea	0.104	0.781	0.273
nauseate	nauseate	0.062	0.660	0.176
nauseating	nauseating	0.021	0.640	0.250
nauseous	nauseous	0.135	0.780	0.284
nautical	nautical	0.646	0.250	0.579
nautilus	nautilus	0.396	0.509	0.517
naval	naval	0.542	0.449	0.679
nave	nave	0.583	0.448	0.585
navel	navel	0.448	0.261	0.276
navigable	nzara	0.749	0.406	0.645
navigate	navigate	0.740	0.555	0.675
navigation	navigation	0.841	0.470	0.720
navigational	navigational	0.573	0.481	0.564
navigator	navigator	0.583	0.592	0.623
navy	navy	0.531	0.760	0.764
nay	NO TRANSLATION	0.344	0.290	0.325
nearsighted	nearsighted	0.271	0.373	0.265
neat	neat	0.878	0.235	0.491
neatly	neatly	0.802	0.412	0.588
nebula	nebula	0.510	0.418	0.438
nebulae	nebulae	0.490	0.330	0.472
nebulous	nebulous	0.469	0.347	0.417
necessarily	zvakakodzera	0.667	0.423	0.598
necessary	zvakafanira	0.750	0.433	0.679
