Word	Ukrainian-uk	Valence	Arousal	Dominance
gardens	сади	0.775	0.202	0.296
gargle	полоскати	0.410	0.594	0.336
gargoyle	горгульй	0.286	0.536	0.525
garish	гарнісний	0.306	0.625	0.311
garlic	часник	0.460	0.323	0.277
garment	одяг	0.531	0.333	0.380
garner	гардероб	0.479	0.460	0.500
garnet	гранат	0.643	0.418	0.368
garnish	гарнір	0.765	0.418	0.490
garrison	гарнізон	0.510	0.527	0.679
garter	підв'язка	0.521	0.406	0.353
gas	газ	0.396	0.408	0.519
gaseous	газоподібний	0.398	0.462	0.298
gash	гаш	0.429	0.560	0.406
gasification	газифікація	0.344	0.509	0.593
gasket	прокладка	0.541	0.367	0.585
gasoline	бензин	0.417	0.562	0.519
gasp	задихайся	0.440	0.754	0.298
gasping	задихаючись	0.208	0.704	0.379
gassy	газова	0.354	0.497	0.304
gastric	шлунок	0.327	0.559	0.430
gastronomy	гастрономія	0.812	0.519	0.581
gate	ворота	0.510	0.235	0.426
gatekeeper	воротаря	0.510	0.490	0.598
gateway	шлюз	0.592	0.376	0.529
gather	зібрати	0.648	0.510	0.546
gatherer	збирач	0.510	0.425	0.579
gathering	збір	0.854	0.657	0.667
gator	гатор	0.418	0.520	0.547
gatorade	gatorade	0.719	0.529	0.519
gauche	NO TRANSLATION	0.254	0.398	0.385
gaudy	капризний	0.653	0.735	0.721
gauge	калібр	0.438	0.646	0.518
gauging	вимірювання	0.480	0.463	0.556
gaunt	притулок	0.214	0.490	0.237
gauntlet	рукавичка	0.420	0.491	0.390
gauze	марля	0.460	0.275	0.276
gavel	молот	0.520	0.418	0.490
gawk	гавка	0.333	0.472	0.434
gay	веселий	0.388	0.587	0.429
gaze	погляд	0.633	0.588	0.586
gazebo	альтанка	0.469	0.402	0.341
gazelle	газелі	0.669	0.448	0.460
gazette	газета	0.469	0.390	0.604
gazetteer	довідник	0.531	0.417	0.527
gazillion	газиліон	0.531	0.534	0.538
gazing	дивлячись	0.677	0.413	0.362
gear	прилад	0.510	0.577	0.509
geek	Гейк	0.479	0.392	0.390
geeky	химерний	0.479	0.431	0.454
geez	гейз	0.417	0.396	0.390
geezer	Гейзер	0.458	0.374	0.414
geisha	гейш	0.521	0.679	0.442
gel	гель	0.524	0.206	0.279
gelatin	желатин	0.562	0.402	0.361
geld	NO TRANSLATION	0.406	0.460	0.456
gelding	мерин	0.398	0.520	0.455
gem	дорогоцінний камінь	0.917	0.480	0.582
gemini	Близнечі	0.531	0.320	0.327
gender	Стать	0.688	0.346	0.611
genealogy	генеалогія	0.479	0.370	0.644
general	загальний	0.834	0.484	0.853
generality	спільність	0.604	0.360	0.500
generalization	узагальнення	0.542	0.459	0.704
generally	взагалі	0.562	0.255	0.473
generate	генерувати	0.771	0.423	0.772
generation	покоління	0.903	0.480	0.685
generative	генеративний	0.724	0.549	0.708
generator	генератор	0.704	0.568	0.864
generic	загальний	0.520	0.357	0.422
generosity	щедрість	0.958	0.443	0.692
generous	щедрий	1.000	0.410	0.810
genesis	генезис	0.612	0.429	0.658
genetic	генетичний	0.562	0.288	0.726
genetics	генетика	0.552	0.460	0.574
genial	геніальний	0.867	0.630	0.769
genie	джин	0.760	0.600	0.908
genital	статеві органи	0.385	0.694	0.453
genitalia	статеві органи	0.323	0.667	0.500
genius	геній	0.878	0.667	0.846
genocide	геноцид	0.020	0.878	0.627
genome	геном	0.507	0.366	0.509
genre	жанр	0.520	0.433	0.500
gent	Гент	0.573	0.494	0.464
genteel	благородний	0.917	0.333	0.656
gentile	родовий	0.833	0.250	0.527
gentle	ніжний	0.847	0.353	0.589
gentleman	джентльмен	0.823	0.439	0.712
gentlemanly	джентльмен	0.918	0.451	0.720
gentleness	лагідність	0.927	0.278	0.447
gently	м'яко	0.917	0.255	0.360
gentry	шляхта	0.560	0.480	0.625
genuine	справжня	0.875	0.450	0.685
genus	род	0.582	0.349	0.561
geographic	географічний	0.698	0.330	0.664
geographical	географічний	0.500	0.317	0.637
geography	географія	0.719	0.150	0.553
geological	геологічний	0.667	0.324	0.596
geologist	геолог	0.594	0.431	0.625
geology	геологія	0.635	0.321	0.518
geometric	геометричний	0.542	0.356	0.491
geometry	геометрія	0.490	0.270	0.537
geranium	герань	0.635	0.250	0.458
gerbil	піщаний	0.453	0.306	0.398
geriatric	геріатричний	0.479	0.247	0.436
germ	паростка	0.265	0.421	0.302
german	німецький	0.438	0.290	0.570
germane	Герман	0.570	0.500	0.567
germinate	проростати	0.604	0.472	0.625
germination	проростання	0.439	0.490	0.566
germs	паростки	0.135	0.510	0.380
gestation	вагітність	0.561	0.538	0.702
gesture	жест	0.667	0.481	0.427
get	отримати	0.740	0.594	0.667
getaway	втеча	0.500	0.760	0.368
getoverit	NO TRANSLATION	0.327	0.481	0.433
getoveryourself	NO TRANSLATION	0.470	0.481	0.472
getup	Вставай	0.541	0.582	0.455
getyourown	вийдеш	0.469	0.547	0.492
ghastly	жахливо	0.125	0.790	0.472
ghetto	гетто	0.302	0.630	0.482
ghost	привид	0.265	0.755	0.343
ghostly	примарний	0.260	0.764	0.430
ghoul	гул	0.260	0.561	0.430
giant	гігант	0.646	0.814	0.963
gibberish	бруду	0.375	0.510	0.360
giddy	Гідді	0.438	0.847	0.611
gift	подарунок	0.880	0.539	0.483
gifted	обдарований	0.902	0.647	0.868
gifts	подарунки	0.865	0.755	0.509
gig	концерт	0.816	0.755	0.594
gigantic	гігантський	0.750	0.776	0.921
giggle	хихикати	0.719	0.618	0.360
giggles	хихикає	0.865	0.684	0.346
giggling	хихикання	0.886	0.726	0.391
gigolo	гіголо	0.400	0.706	0.528
gilded	позолочений	0.719	0.471	0.455
gill	жабр	0.521	0.473	0.382
gills	зябри	0.479	0.583	0.609
gilt	позолота	0.583	0.417	0.510
gimmick	трюк	0.380	0.663	0.519
gimp	Гіпс	0.469	0.442	0.342
gin	джин	0.449	0.551	0.518
ginger	імбир	0.406	0.375	0.316
gingerbread	пряники	0.597	0.333	0.264
gingerly	жорстоко	0.602	0.406	0.415
ginseng	женьшень	0.677	0.360	0.364
giraffe	жирафа	0.561	0.347	0.436
girder	балка	0.388	0.245	0.452
girdle	пояс	0.500	0.340	0.349
girl	дівчина	0.740	0.572	0.443
girlfriend	подруга	0.712	0.763	0.604
girlie	дівчинка	0.604	0.540	0.409
girlish	дівчина	0.677	0.477	0.345
girly	дівчина	0.595	0.462	0.371
girth	обхват	0.520	0.353	0.377
gist	сутність	0.622	0.450	0.519
give	дай	0.750	0.346	0.500
giveaway	віддати	0.865	0.618	0.437
giver	NO TRANSLATION	0.688	0.415	0.658
giving	давати	0.795	0.333	0.585
gizmo	гізмо	0.510	0.490	0.337
gizzard	брунька	0.422	0.423	0.259
glabrous	голий	0.413	0.474	0.462
glacial	льодовиковий	0.439	0.327	0.474
glacier	льодовик	0.573	0.396	0.554
glad	рада	0.938	0.760	0.740
glade	галявина	0.600	0.385	0.434
gladiator	гладіатор	0.500	0.833	0.866
gladness	радість	0.896	0.670	0.643
glamorous	гламурний	0.918	0.630	0.791
glamour	гламур	0.823	0.606	0.623
glance	погляд	0.625	0.357	0.454
gland	залоза	0.396	0.382	0.467
glare	блиск	0.698	0.735	0.733
glaring	глянувши	0.694	0.794	0.798
glass	скло	0.490	0.404	0.322
glasses	окуляри	0.531	0.210	0.330
glassware	посуд	0.633	0.356	0.450
glaucoma	глаукома	0.208	0.500	0.315
glaze	глазур	0.650	0.340	0.356
glazed	глазурований	0.622	0.410	0.491
gleam	проблиск	0.781	0.520	0.741
gleaming	блискучий	0.827	0.635	0.627
glean	збирати	0.398	0.531	0.500
glee	радість	0.698	0.580	0.464
gleeful	лагідний	0.906	0.806	0.679
glen	Glen	0.573	0.337	0.406
glib	гліб	0.438	0.433	0.381
glide	ковзати	0.561	0.706	0.415
glider	планер	0.618	0.548	0.590
glimmer	мерехтіти	0.615	0.462	0.427
glimpse	перегляд	0.646	0.480	0.455
glint	проблиск	0.677	0.538	0.541
glisten	сяяти	0.765	0.608	0.694
glitch	глюк	0.444	0.448	0.269
glitter	блиск	0.814	0.750	0.762
glittering	блискучий	0.860	0.588	0.818
gloat	глядач	0.500	0.637	0.603
global	глобальний	0.583	0.520	0.713
globe	глобус	0.760	0.315	0.364
globular	кульовий	0.542	0.375	0.438
gloom	мрак	0.135	0.404	0.196
gloomy	похмурий	0.107	0.410	0.287
glorification	прославлення	0.821	0.541	0.817
glorified	прославився	0.865	0.570	0.886
glorify	прославити	0.940	0.591	0.661
glorious	славний	0.959	0.673	0.827
glory	слава	0.948	0.735	0.817
gloss	глянець	0.757	0.466	0.625
glossary	глосарій	0.570	0.204	0.447
glossy	глянсовий	0.802	0.519	0.807
glove	рукавичка	0.500	0.230	0.382
gloves	рукавички	0.542	0.225	0.491
glow	світити	0.918	0.500	0.745
glowing	світиться	0.940	0.620	0.737
glucose	глюкоза	0.562	0.316	0.444
glue	клей	0.450	0.345	0.349
glum	глюм	0.244	0.337	0.123
glut	надлишок	0.417	0.524	0.540
gluten	клейковина	0.385	0.308	0.388
glutton	обжора	0.438	0.519	0.384
gluttony	обжерливість	0.500	0.702	0.412
glycerin	гліцерин	0.427	0.402	0.402
gnat	гнат	0.357	0.345	0.200
gnome	гном	0.429	0.479	0.380
go	йти	0.510	0.441	0.444
goal	мета	0.830	0.356	0.669
goalie	воротар	0.573	0.389	0.455
goals	цілі	0.719	0.490	0.795
goat	козел	0.448	0.304	0.364
goatee	козинка	0.479	0.290	0.255
gob	пристань	0.280	0.357	0.447
gobble	жувати	0.390	0.623	0.455
goblet	кубок	0.786	0.353	0.442
goblin	гоблін	0.333	0.542	0.377
god	бог	0.758	0.518	0.886
godbless	NO TRANSLATION	0.823	0.395	0.588
goddamn	чертовски	0.125	0.760	0.422
goddamned	проклятий	0.042	0.758	0.420
goddess	богиня	0.865	0.560	0.888
godfather	хрещений батько	0.694	0.450	0.509
godforsaken	Боже, забутий	0.439	0.520	0.422
godisgood	Божий хороший	0.740	0.434	0.630
godisgreat	NO TRANSLATION	0.712	0.596	0.600
godless	безбожний	0.316	0.557	0.358
godlike	божественний	0.854	0.648	0.870
godly	благочестивий	0.747	0.298	0.589
godmother	хрещениця	0.733	0.311	0.530
godsend	божественний доказ	0.865	0.562	0.613
godson	хрещений	0.680	0.515	0.429
gofuckyourself	gofuckyourself	0.167	0.654	0.415
goggle	окуляри	0.525	0.286	0.360
goggles	окуляри	0.667	0.360	0.278
gold	золото	0.939	0.686	0.692
golden	золотий	0.802	0.491	0.609
goldfish	золота рибка	0.786	0.296	0.317
golf	гольф	0.573	0.358	0.447
golfer	гольфіст	0.602	0.402	0.578
golfing	гольф	0.625	0.427	0.455
gondola	гондола	0.520	0.404	0.379
gone	пішов	0.292	0.230	0.190
goner	гоннер	0.410	0.461	0.274
gong	NO TRANSLATION	0.490	0.529	0.462
gonorrhea	гонорея	0.106	0.635	0.322
goo	гуо	0.439	0.396	0.312
goober	губер	0.469	0.444	0.342
good	добре	0.938	0.368	0.534
goodbye	до побачення	0.240	0.389	0.328
goodday	хороший день	0.961	0.357	0.418
goodfeeling	NO TRANSLATION	0.939	0.459	0.679
goodhealth	NO TRANSLATION	0.938	0.402	0.712
goodie	гарні	0.854	0.327	0.600
goodies	ласощі	0.950	0.622	0.424
goodlife	добре життя	0.917	0.471	0.736
goodly	добре	0.701	0.471	0.636
goodmood	NO TRANSLATION	0.823	0.491	0.519
goodmorning	доброго ранку	0.922	0.461	0.552
goodmusic	гарна музика	0.756	0.500	0.500
goodness	доброчесність	0.969	0.321	0.715
goodnews	гарні новини	0.961	0.740	0.768
goods	товари	0.888	0.396	0.726
goodtimes	хороші часи	0.910	0.526	0.629
goodvibes	NO TRANSLATION	0.827	0.500	0.534
goodwill	доброзичливість	0.938	0.327	0.667
goody	лагідний	0.786	0.337	0.570
gooey	дурний	0.392	0.480	0.445
goof	гуфік	0.448	0.490	0.272
goofball	goofball	0.561	0.550	0.382
goofy	дурний	0.281	0.224	0.179
goon	продовжувати	0.312	0.481	0.361
gooood	гудоуд	0.857	0.652	0.547
goop	гупор	0.469	0.394	0.333
goose	гусак	0.479	0.283	0.265
gopher	Говер	0.449	0.440	0.421
gore	гора	0.260	0.608	0.518
gorge	ущелина	0.365	0.644	0.420
gorgeous	чудовий	0.920	0.560	0.741
gorilla	горилла	0.565	0.720	0.648
gory	гори	0.140	0.875	0.455
gospel	Євангеліє	0.740	0.333	0.580
gossip	плітки	0.173	0.765	0.245
gothic	готичний	0.197	0.333	0.475
gouge	гуж	0.396	0.441	0.400
goulash	гуляш	0.582	0.429	0.347
gourd	гарбуз	0.427	0.271	0.289
gourmet	гурманець	0.911	0.387	0.562
gout	подагра	0.354	0.314	0.170
govern	правити	0.573	0.702	0.980
governess	гувернантка	0.426	0.500	0.632
governing	управління	0.635	0.700	0.900
government	уряд	0.427	0.530	0.850
governmental	урядовий	0.521	0.541	0.906
governor	губернатор	0.500	0.683	0.934
gown	плаття	0.625	0.283	0.421
grab	захопити	0.448	0.706	0.538
grace	благодать	0.906	0.304	0.462
graceful	витончений	0.906	0.510	0.655
gracias	NO TRANSLATION	0.833	0.356	0.600
gracious	милостивий	0.918	0.634	0.637
graciously	милостиво	0.948	0.353	0.680
grad	NO TRANSLATION	0.806	0.538	0.733
gradation	градація	0.487	0.477	0.616
grade	клас	0.698	0.360	0.600
graded	градуйований	0.562	0.340	0.759
grader	грейдер	0.583	0.317	0.420
grades	класів	0.521	0.349	0.566
gradient	градієнт	0.480	0.423	0.509
gradschool	град школа	0.616	0.602	0.528
gradual	поступовий	0.571	0.350	0.509
gradually	поступово	0.583	0.385	0.464
graduate	випускник	0.898	0.549	0.778
graduation	градація	0.880	0.670	0.837
graffiti	графіті	0.582	0.633	0.353
graft	трансплантат	0.410	0.528	0.420
grail	грааль	0.573	0.384	0.566
grain	зерно	0.390	0.198	0.302
gram	грам	0.578	0.333	0.260
grammar	граматика	0.560	0.287	0.607
grand	великий	0.898	0.740	0.888
grand theft auto	велика крадіжка авто	0.493	0.663	0.580
grandchild	онук	0.781	0.433	0.465
grandchildren	онуки	0.796	0.545	0.426
granddad	дідусь	0.740	0.248	0.461
granddaddy	дідусь	0.708	0.291	0.480
granddaughter	онука	0.823	0.445	0.389
grandeur	велич	0.885	0.796	0.839
grandfather	дідусь	0.827	0.279	0.586
grandiose	грандіозний	0.900	0.682	0.864
grandma	бабуся	0.796	0.208	0.491
grandmother	бабуся	0.792	0.283	0.426
grandpa	дідусь	0.806	0.296	0.466
grandson	онук	0.778	0.333	0.500
grandstand	трибуна	0.500	0.679	0.708
grange	грейнджер	0.531	0.340	0.391
granite	граніт	0.572	0.343	0.483
granny	бабуся	0.796	0.240	0.452
granola	гранола	0.625	0.240	0.281
grant	грант	0.719	0.380	0.667
granted	надано	0.882	0.348	0.779
grantee	грантоотримувач	0.865	0.477	0.708
grantor	дарувальник	0.542	0.500	0.717
granular	гранульований	0.478	0.337	0.443
granule	гранула	0.406	0.373	0.316
grape	виноград	0.729	0.122	0.295
grape juice	виноградний сік	0.696	0.304	0.267
grapefruit	грейпфрут	0.521	0.281	0.282
grapes	виноград	0.784	0.240	0.236
grapevine	виноградна лоза	0.541	0.343	0.232
graph	Графік	0.510	0.286	0.621
graphic	графічний	0.602	0.494	0.491
graphics	графіка	0.542	0.431	0.509
graphite	графіт	0.479	0.377	0.336
grapple	грейпер	0.490	0.577	0.482
grappling	бореться	0.448	0.676	0.516
grasp	схопити	0.560	0.623	0.570
grasping	захоплення	0.327	0.561	0.561
grass	трава	0.604	0.164	0.333
grasshopper	коник	0.500	0.462	0.287
grassy	трав'янисті	0.647	0.323	0.371
grate	решітка	0.333	0.250	0.419
grated	тертий	0.357	0.462	0.361
grateful	вдячний	0.958	0.353	0.560
gratification	задоволення	0.867	0.643	0.755
gratified	задоволений	0.781	0.519	0.702
gratify	задовольнити	0.837	0.539	0.794
gratifying	приємний	0.857	0.606	0.776
grating	решітка	0.512	0.337	0.282
gratis	NO TRANSLATION	0.796	0.510	0.417
gratitude	вдячність	0.885	0.441	0.610
gratuitous	безоплатно	0.735	0.650	0.452
gratuity	нагорода	0.865	0.500	0.462
grave	могила	0.153	0.385	0.386
gravel	гравій	0.390	0.370	0.332
graver	NO TRANSLATION	0.102	0.622	0.453
graveyard	кладовище	0.041	0.441	0.272
gravitate	тяжіти	0.479	0.472	0.476
gravitation	гравітація	0.698	0.592	0.600
gravitational	гравітаційний	0.528	0.510	0.691
gravity	сила тяжіння	0.510	0.635	0.538
gravy	соус	0.608	0.450	0.339
gray	сірий	0.335	0.153	0.189
graze	пасити	0.560	0.255	0.371
grease	жир	0.255	0.404	0.306
greased	змащений	0.250	0.461	0.368
greaser	жирний	0.408	0.518	0.462
greasy	жирний	0.399	0.442	0.294
great	чудово	0.958	0.665	0.810
great anticipation	велике чекання	0.786	0.735	0.655
great aunt	велика тітка	0.896	0.419	0.589
great disgust	велике огиду	0.042	0.836	0.389
great grandfather	чудовий дідусь	0.729	0.241	0.569
great grandma	чудова бабуся	0.771	0.221	0.491
great grandmother	прабабуся	0.802	0.236	0.549
great grandpa	великий дідусь	0.857	0.280	0.602
great surprise	великий сюрприз	0.939	0.941	0.688
great trust	велика довіра	0.939	0.528	0.853
great uncle	чудовий дядько	0.729	0.398	0.621
greatday	NO TRANSLATION	0.823	0.571	0.574
greater	більший	0.755	0.519	0.796
greatest	найбільший	0.847	0.627	0.922
greatfriends	NO TRANSLATION	0.908	0.593	0.570
greatful	NO TRANSLATION	0.923	0.571	0.676
greatly	сильно	0.750	0.708	0.877
greatly negative	сильно негативний	0.051	0.640	0.282
greatly positive	дуже позитивно	0.967	0.538	0.877
greatness	велич	0.990	0.750	0.943
greatnight	NO TRANSLATION	0.918	0.349	0.574
greed	жадібність	0.173	0.780	0.528
greedy	жадібний	0.125	0.660	0.476
green	зелений	0.630	0.306	0.333
green bean	Зелена квасоля	0.469	0.280	0.304
green pepper	зелений перець	0.500	0.431	0.425
green snake	зелена змія	0.229	0.634	0.614
greenhouse	теплиця	0.719	0.438	0.384
greenish	зеленуватий	0.574	0.290	0.429
greenwood	зелене дерево	0.531	0.382	0.491
greet	вітаю	0.885	0.539	0.618
greeted	привітався	0.781	0.317	0.454
greeting	привітання	0.854	0.556	0.510
gregarious	стадний	0.551	0.471	0.529
grenade	граната	0.281	0.777	0.694
grey	сірий	0.347	0.140	0.295
greyhound	Грейхаунд	0.520	0.490	0.440
grid	сітка	0.562	0.426	0.443
gridiron	гридрірон	0.667	0.491	0.425
grief	горе	0.070	0.640	0.474
grievance	скарги	0.092	0.635	0.364
grieve	сумувати	0.122	0.500	0.333
grieved	засмучений	0.104	0.460	0.191
grieving	скорботи	0.093	0.673	0.403
grievous	тяжкий	0.146	0.640	0.179
griffin	гриффін	0.418	0.337	0.360
grill	гриль	0.755	0.491	0.546
grille	решітка радіатора	0.337	0.327	0.246
grilled	на грилі	0.702	0.500	0.373
grim	похмурий	0.310	0.483	0.298
grime	грязь	0.198	0.500	0.225
grimy	грімій	0.112	0.597	0.283
grin	усмішка	0.885	0.570	0.491
grind	шліфувати	0.480	0.276	0.397
grinder	шліфувальна машина	0.459	0.615	0.561
grinding	шліфування	0.415	0.450	0.461
grindstone	точильний камінь	0.541	0.453	0.526
gringo	гринго	0.540	0.452	0.510
grip	зчеплення	0.520	0.549	0.602
gripe	смуток	0.184	0.526	0.241
grisly	жахливо	0.083	0.863	0.426
grist	сітка	0.317	0.391	0.363
grit	гріт	0.449	0.296	0.345
grits	крупи	0.458	0.333	0.346
gritty	грубий	0.417	0.373	0.375
grizzly	грізлі	0.398	0.679	0.657
groan	стогнути	0.396	0.750	0.351
grocer	бакалійник	0.625	0.250	0.382
groceries	бакалія	0.740	0.363	0.417
grocery	продуктовий магазин	0.687	0.540	0.446
groggy	похмурий	0.235	0.265	0.194
groin	пах	0.296	0.452	0.364
groom	наречений	0.698	0.500	0.605
groove	паз	0.552	0.448	0.361
groovy	паровий	0.615	0.538	0.464
grope	витягнути	0.420	0.559	0.358
gross	брутто	0.115	0.575	0.181
grotesque	гротеск	0.135	0.788	0.500
grotto	грот	0.510	0.394	0.336
grouch	посипати	0.342	0.593	0.411
grouchy	смішний	0.143	0.708	0.407
ground	земля	0.398	0.343	0.602
grounded	обгрунтований	0.531	0.601	0.509
groundhog	бабак	0.385	0.324	0.377
grounding	заземлення	0.521	0.452	0.591
groundless	безпідставний	0.333	0.535	0.387
grounds	підстави	0.667	0.500	0.598
groundwork	наземні роботи	0.500	0.375	0.593
group	група	0.573	0.423	0.480
groupie	групі	0.521	0.583	0.393
grouping	групування	0.745	0.580	0.698
grouse	гриз	0.448	0.401	0.412
grout	розчин	0.405	0.356	0.366
grove	гай	0.604	0.245	0.417
grovel	гуляй	0.360	0.500	0.414
grow	рости	0.914	0.615	0.755
growl	гуркіти	0.194	0.764	0.482
growling	гуркотує	0.119	0.887	0.475
growls	ранкує	0.125	0.675	0.442
grownup	дорослий	0.735	0.400	0.683
growth	зростання	0.917	0.588	0.776
growthefuckup	growthefuckup	0.229	0.692	0.426
grr	гр	0.229	0.538	0.333
grrr	grrr	0.271	0.755	0.327
grrrrr	grrrrr	0.281	0.633	0.444
grub	груб	0.602	0.406	0.355
grubby	грубий	0.156	0.583	0.176
grudge	зраджувати	0.115	0.647	0.414
grudging	звинувачення	0.092	0.636	0.473
grudgingly	нещадно	0.156	0.610	0.292
gruel	кашка	0.382	0.304	0.297
grueling	виснажливий	0.180	0.763	0.704
gruesome	жахливий	0.094	0.837	0.474
gruff	грубій	0.323	0.611	0.472
grumble	грити	0.101	0.750	0.333
grump	засмучений	0.260	0.469	0.425
grumpy	жахливий	0.198	0.808	0.559
grunt	хрипнути	0.286	0.798	0.392
grunting	жахливий	0.198	0.827	0.481
guacamole	гуакамоле	0.684	0.317	0.282
guano	гуано	0.296	0.343	0.191
guarantee	гарантія	0.949	0.337	0.805
guaranty	гарантія	0.646	0.337	0.818
guard	охоронець	0.592	0.510	0.725
guarded	охороняється	0.758	0.686	0.500
guardhouse	вартовий будинок	0.510	0.435	0.770
guardian	опікун	0.656	0.686	0.789
guardianship	опіка	0.592	0.370	0.681
guards	охоронці	0.448	0.663	0.720
gubernatorial	губернаторський	0.552	0.604	0.897
guerilla	партизан	0.146	0.845	0.727
guerrilla	партизан	0.219	0.917	0.792
guess	здогадатися	0.640	0.463	0.442
guesser	гадаю	0.542	0.670	0.535
guesswork	здогад	0.417	0.451	0.405
guest	гість	0.719	0.490	0.558
guesthouse	Гостьовий будинок	0.729	0.337	0.406
guidance	керівництво	0.729	0.471	0.718
guide	путівник	0.688	0.315	0.620
guidebook	путівник	0.677	0.260	0.427
guidelines	керівні принципи	0.459	0.500	0.664
guiding	керівництво	0.667	0.520	0.714
guild	гільдія	0.580	0.459	0.729
guile	підступність	0.410	0.417	0.467
guillotine	гільйотина	0.163	0.817	0.585
guilt	провина	0.208	0.567	0.206
guilty	винний	0.135	0.770	0.352
guinea	Гвінея	0.521	0.440	0.396
guise	обличчя	0.531	0.547	0.324
guitar	гітара	0.844	0.542	0.469
guitarist	гітарист	0.827	0.740	0.549
gules	gules	0.469	0.443	0.340
gulf	затока	0.520	0.365	0.398
gull	чайка	0.594	0.317	0.378
gullet	стравохід	0.385	0.490	0.393
gullible	довірчий	0.440	0.442	0.318
gully	гуля	0.316	0.519	0.394
gulp	ковток	0.551	0.660	0.409
gum	гумка	0.573	0.227	0.213
gumbo	гумбо	0.500	0.422	0.361
gummy	гумми	0.521	0.302	0.291
gumption	порив	0.480	0.538	0.488
gun	пістолет	0.147	0.920	0.713
gunboat	канонерський човен	0.139	0.663	0.618
gunfight	стрілянина	0.051	0.961	0.700
gunfighter	винищувач	0.156	0.910	0.741
gunfire	стрілянина	0.156	0.930	0.673
gunk	ганг	0.250	0.478	0.219
gunman	боєць	0.167	0.922	0.689
gunmen	бойовики	0.073	0.942	0.727
gunner	стрілець	0.250	0.853	0.817
gunnery	гармата	0.281	0.861	0.873
gunplay	перестрілка	0.133	0.906	0.627
gunpoint	рушницю	0.188	0.817	0.719
gunpowder	порох	0.425	0.853	0.509
gunshot	стрілянина	0.042	0.953	0.673
gunslinger	стрільців	0.316	0.873	0.811
gurney	гурні	0.408	0.304	0.352
guru	гуру	0.573	0.360	0.653
gush	гуснути	0.510	0.490	0.381
gusher	гушер	0.406	0.520	0.453
gusset	сітка	0.427	0.425	0.423
gust	порив	0.490	0.755	0.556
gusto	NO TRANSLATION	0.692	0.729	0.620
gusty	поривчастий	0.687	0.631	0.455
gut	кишка	0.408	0.367	0.364
gutless	без гризунів	0.250	0.381	0.384
guts	кишки	0.592	0.649	0.582
gutsy	гуцький	0.635	0.573	0.536
gutter	жолоб	0.466	0.260	0.400
guy	хлопець	0.583	0.367	0.546
guzzler	гузллер	0.393	0.537	0.436
guzzling	співати	0.460	0.490	0.380
gym	спортзал	0.635	0.690	0.613
gymnasium	гімназія	0.667	0.561	0.474
gymnast	гімнастка	0.670	0.760	0.558
gymnastic	гімнастика	0.810	0.706	0.604
gymnastics	гімнастика	0.745	0.677	0.508
gynecologist	гінеколог	0.552	0.566	0.682
gynecology	гінекологія	0.408	0.590	0.519
gypsy	циган	0.375	0.665	0.396
gyroscope	гіроскоп	0.500	0.390	0.510
habit	звичка	0.625	0.226	0.585
habitat	середовище проживання	0.633	0.343	0.553
habitation	житло	0.781	0.231	0.538
habitual	звичний	0.527	0.208	0.490
habitually	звичайно	0.600	0.324	0.583
hacienda	гасіенда	0.688	0.402	0.573
hack	рубати	0.135	0.717	0.534
hacker	хакер	0.271	0.755	0.740
hacksaw	ножовка	0.406	0.645	0.537
hadenough	NO TRANSLATION	0.323	0.566	0.529
hag	хаос	0.188	0.695	0.411
haggard	похмурий	0.115	0.510	0.246
haggle	торгуйся	0.480	0.601	0.461
haiku	хайку	0.583	0.356	0.392
hail	град	0.459	0.627	0.411
hair	волосся	0.582	0.186	0.286
hairball	стрільба	0.370	0.302	0.315
hairbrush	гребінець для волосся	0.454	0.216	0.263
haircut	стрижка	0.677	0.343	0.307
hairdo	зачіску	0.552	0.320	0.435
hairdresser	перукарня	0.708	0.509	0.407
hairdryer	фен	0.642	0.402	0.330
hairless	без волосся	0.136	0.235	0.139
hairline	волосся	0.418	0.154	0.230
hairpin	шпилька	0.459	0.363	0.370
hairspray	лак для волосся	0.549	0.279	0.269
hairstyle	зачіска	0.771	0.380	0.433
hairy	волохатий	0.542	0.380	0.343
hale	хейл	0.479	0.435	0.500
half	половина	0.500	0.274	0.276
half dollar	півдолара	0.573	0.408	0.509
halfback	півзахисник	0.490	0.429	0.440
halftime	половина часу	0.458	0.352	0.429
halfway	на півдорозі	0.510	0.254	0.339
halibut	палтус	0.449	0.412	0.411
hall	зал	0.510	0.340	0.424
hallelujah	алілуя	0.770	0.554	0.657
hallmark	візитна картка	0.646	0.315	0.411
hallowed	освячений	0.740	0.500	0.728
hallucination	галюцинація	0.396	0.706	0.370
hallway	коридор	0.573	0.230	0.279
halo	гало	0.490	0.370	0.441
halt	зупинитися	0.167	0.360	0.432
halter	призупинити	0.448	0.451	0.431
halting	припинення	0.255	0.596	0.519
halve	вдвічі зменшити	0.316	0.347	0.302
halving	вдвічі зменшити	0.292	0.474	0.366
ham	шинка	0.673	0.245	0.404
hamburger	гамбургер	0.809	0.551	0.387
hamlet	село	0.573	0.270	0.397
hammer	молоток	0.312	0.509	0.563
hammerhead	молоток	0.337	0.490	0.569
hammering	молотком	0.347	0.779	0.557
hammock	гамак	0.673	0.255	0.287
hamper	заважати	0.204	0.711	0.473
hamster	хом'як	0.520	0.394	0.349
hamstring	суглоба	0.406	0.471	0.443
hand	рука	0.542	0.314	0.434
handbag	сумочка	0.562	0.240	0.336
