Word	Polish-pl	Valence	Arousal	Dominance
lees	NO TRANSLATION	0.360	0.567	0.406
leeway	dryf	0.562	0.577	0.569
left	lewo	0.354	0.370	0.361
leftout	NO TRANSLATION	0.229	0.365	0.245
leftover	resztki	0.490	0.460	0.222
leftovers	resztki	0.219	0.350	0.116
lefty	lewus	0.490	0.406	0.379
leg	noga	0.510	0.373	0.313
legacy	dziedzictwo	0.792	0.529	0.827
legal	prawny	0.653	0.387	0.887
legality	legalność	0.765	0.343	0.713
legalize	zalegalizować	0.510	0.460	0.818
legalized	zalegalizowane	0.760	0.440	0.855
legally	prawnie	0.771	0.482	0.842
legend	legenda	0.837	0.519	0.750
legendary	legendarny	0.857	0.537	0.863
legibility	czytelność	0.771	0.481	0.580
legible	czytelny	0.673	0.279	0.509
legion	legion	0.469	0.570	0.852
legislate	wprowadzać ustawodawstwo	0.571	0.582	0.736
legislation	ustawodawstwo	0.531	0.418	0.808
legislative	ustawodawczy	0.633	0.365	0.800
legislator	prawodawca	0.490	0.580	0.877
legislature	legislatura	0.540	0.435	0.698
legit	legit	0.747	0.427	0.849
legitimacy	prawowitość	0.823	0.420	0.855
legitimate	prawowity	0.792	0.363	0.841
lego	klocki Lego	0.600	0.294	0.189
legs	nogi	0.479	0.407	0.228
legume	strąk	0.520	0.302	0.465
legwork	praca wymagająca chodzenia	0.622	0.560	0.509
leisure	wolny czas	0.631	0.429	0.421
leisurely	spokojnie	0.806	0.250	0.367
lemma	lemat	0.530	0.284	0.391
lemon	cytrynowy	0.596	0.317	0.316
lemonade	Lemoniada	0.661	0.287	0.412
lend	wypożyczać	0.520	0.461	0.508
lender	pożyczający	0.340	0.520	0.703
lending	pożyczek	0.510	0.585	0.462
length	długość	0.479	0.308	0.533
lengthen	przedłużać	0.619	0.481	0.566
lengthened	przedłużony	0.448	0.530	0.474
lengthening	wydłużenie	0.673	0.530	0.528
lengthwise	wzdłuż	0.571	0.470	0.528
lengthy	przydługi	0.570	0.342	0.528
leniency	wyrozumiałość	0.517	0.436	0.545
lenient	łagodny	0.520	0.451	0.340
lens	obiektyw	0.420	0.245	0.472
leopard	lampart	0.542	0.755	0.611
leotard	trykot opinający ciało	0.510	0.429	0.391
leper	trędowaty	0.075	0.589	0.206
leprechaun	krasnoludek	0.417	0.480	0.417
leprosy	trąd	0.130	0.670	0.349
lesbian	lesbijka	0.385	0.660	0.415
lesbianism	lesbijstwo	0.327	0.725	0.440
lesion	zmiana patologiczna	0.240	0.623	0.361
less	mniej	0.265	0.240	0.115
lessee	najemca	0.417	0.474	0.595
lessen	zmniejszać	0.235	0.284	0.255
lessening	zmniejszający	0.375	0.300	0.277
lesser	pomniejszy	0.396	0.167	0.211
lesson	lekcja	0.704	0.577	0.593
lessor	oddający w dzierżawę	0.552	0.490	0.623
let	pozwolić	0.427	0.373	0.307
lethal	śmiertelny	0.156	0.800	0.745
lethargic	ospały	0.214	0.245	0.375
lethargy	letarg	0.194	0.302	0.316
letter	list	0.635	0.279	0.342
lettered	wyliterowany	0.542	0.361	0.482
letterhead	blankiet firmowy	0.450	0.316	0.462
lettering	literowanie	0.541	0.180	0.431
letters	listy	0.663	0.327	0.364
lettuce	sałata	0.594	0.163	0.291
leukemia	białaczka	0.094	0.572	0.351
levee	grobla	0.520	0.324	0.490
level	poziom	0.622	0.277	0.491
lever	dźwignia	0.400	0.343	0.402
leverage	wpływ	0.459	0.500	0.629
levitate	unieść się w powietrzu	0.561	0.598	0.551
levy	nałożyć	0.438	0.420	0.491
lewd	sprośny	0.188	0.673	0.412
lexicon	leksykon	0.561	0.463	0.615
ley	NO TRANSLATION	0.604	0.389	0.764
liabilities	zadłużenie	0.429	0.608	0.694
liability	odpowiedzialność	0.646	0.500	0.802
liable	podatny	0.656	0.519	0.821
liaison	łączność	0.698	0.337	0.472
liar	kłamca	0.042	0.606	0.339
libel	oszczerstwo	0.128	0.694	0.403
libelous	oszczerczy	0.125	0.735	0.436
liberal	liberał	0.565	0.565	0.755
liberalism	liberalizm	0.562	0.712	0.750
liberate	uwalniać	0.760	0.632	0.708
liberated	wyzwolony	0.780	0.630	0.683
liberating	wyzwalający	0.915	0.620	0.745
liberation	oswobodzenie	0.745	0.614	0.857
liberty	wolność	0.938	0.579	0.836
libido	libido	0.770	0.602	0.571
librarian	bibliotekarz	0.625	0.135	0.509
library	biblioteka	0.776	0.122	0.549
libretto	libretto	0.612	0.328	0.406
lice	wszy	0.133	0.500	0.194
license	licencja	0.500	0.394	0.702
lichen	porost	0.418	0.388	0.463
lick	lizać	0.470	0.482	0.330
licorice	lukrecja	0.677	0.310	0.400
lid	pokrywa	0.490	0.189	0.255
lie	kłamstwo	0.130	0.725	0.272
liege	lenny	0.479	0.426	0.452
lien	zastaw	0.396	0.580	0.441
lieu	lieu	0.427	0.410	0.312
lieutenant	porucznik	0.594	0.612	0.920
life	życie	0.918	0.615	0.824
lifeblood	siła napędowa	0.673	0.690	0.708
lifeboat	łódź ratunkowa	0.724	0.425	0.533
lifeguard	ratownik	0.870	0.606	0.786
lifeisgood	życie jest dobre	0.812	0.575	0.611
lifeless	bez życia	0.042	0.333	0.163
lifelike	jak żywy	0.776	0.567	0.765
lifeline	linia życia	0.735	0.552	0.496
lifelong	trwający całe życie	0.823	0.330	0.640
lifer	skazany na dożywocie	0.427	0.519	0.398
lifesaver	ratownik	0.908	0.745	0.703
lifestyle	styl życia	0.750	0.472	0.645
lifesucks	życie jest do kitu	0.167	0.637	0.377
lifetime	dożywotni	0.816	0.559	0.736
lift	winda	0.704	0.518	0.656
lifted	wzniesiony	0.714	0.441	0.657
liftoff	liftoff	0.531	0.667	0.588
ligament	wiązadło	0.490	0.410	0.510
ligation	podwiązanie	0.344	0.423	0.396
ligature	podwiązanie	0.478	0.430	0.447
light	lekki	0.771	0.320	0.519
light year	rok świetlny	0.719	0.425	0.593
lightbulb	żarówka	0.573	0.255	0.302
lighten	rozjaśnić	0.688	0.438	0.362
lightheaded	zawroty głowy	0.347	0.620	0.255
lighthouse	latarnia morska	0.622	0.240	0.510
lighting	oświetlenie	0.765	0.440	0.750
lightness	lekkość	0.794	0.360	0.526
lightning	Błyskawica	0.429	0.683	0.595
lights	światła	0.750	0.480	0.575
lightweight	lekkie	0.670	0.300	0.358
likable	sympatyczny	0.865	0.480	0.663
like	lubić	0.719	0.353	0.446
likelihood	prawdopodobieństwo	0.760	0.469	0.542
likely	prawdopodobne	0.633	0.356	0.454
likeness	podobieństwo	0.688	0.410	0.561
likewise	również	0.651	0.217	0.312
liking	gust	0.963	0.604	0.589
lilac	liliowy	0.688	0.180	0.357
lily	lilia	0.640	0.245	0.263
limb	kończyna	0.510	0.397	0.427
limber	zwinny	0.688	0.729	0.673
limbo	otchłań	0.385	0.284	0.309
lime	Limonka	0.594	0.240	0.415
limelight	światło wapienne	0.667	0.639	0.694
limestone	wapień	0.602	0.323	0.381
limey	żołnierz angielski	0.469	0.347	0.415
limit	limit	0.427	0.453	0.500
limitation	ograniczenie	0.190	0.431	0.225
limited	ograniczony	0.229	0.273	0.380
limitless	bezgraniczny	0.688	0.574	0.655
limo	limo	0.760	0.367	0.667
limousine	limuzyna	0.638	0.531	0.640
limp	utykać	0.393	0.440	0.172
lin	lin	0.416	0.362	0.343
line	linia	0.541	0.180	0.353
lineage	rodowód	0.633	0.465	0.721
lineal	liniowy	0.521	0.170	0.474
linear	liniowy	0.646	0.250	0.472
linebacker	linebacker	0.490	0.660	0.543
lined	prążkowany	0.438	0.367	0.424
linen	bielizna	0.656	0.323	0.286
liner	liniowiec	0.469	0.396	0.400
lines	kwestia	0.542	0.317	0.330
lineup	spis	0.635	0.427	0.638
linger	marudzić	0.480	0.311	0.412
lingerie	bielizna damska	0.543	0.463	0.308
lingering	przewlekły	0.630	0.643	0.667
lingo	żargon	0.448	0.364	0.447
lingual	językowy	0.500	0.457	0.315
linguini	linguini	0.625	0.338	0.355
linguist	językoznawca	0.583	0.330	0.634
linguistic	lingwistyczny	0.646	0.351	0.618
linguistics	językoznawstwo	0.552	0.390	0.618
lining	podszewka	0.571	0.363	0.472
link	połączyć	0.427	0.264	0.491
linoleum	linoleum	0.510	0.378	0.402
lint	szarpie	0.388	0.173	0.214
lion	Lew	0.532	0.717	0.682
lip	warga	0.541	0.348	0.443
liposuction	liposukcja	0.292	0.684	0.464
lipstick	pomadka	0.653	0.429	0.306
liquefaction	skraplanie	0.449	0.622	0.535
liquefied	upłynniony	0.562	0.463	0.342
liqueur	likier	0.670	0.612	0.389
liquid	ciekły	0.562	0.235	0.307
liquidate	zlikwidować	0.327	0.654	0.664
liquidation	likwidacja	0.417	0.625	0.649
liquidator	likwidator	0.354	0.663	0.750
liquidity	płynność	0.688	0.529	0.534
liquor	trunek	0.603	0.702	0.433
lira	NO TRANSLATION	0.530	0.255	0.370
lisp	seplenienie	0.365	0.412	0.288
list	lista	0.528	0.260	0.402
listen	słuchać	0.771	0.360	0.445
listener	słuchacz	0.667	0.375	0.403
listenting	NO TRANSLATION	0.640	0.377	0.491
listing	wymienianie kolejno	0.438	0.273	0.432
listless	apatyczny	0.219	0.350	0.231
listneing	NO TRANSLATION	0.531	0.370	0.433
litany	litania	0.510	0.365	0.482
liter	litr	0.573	0.208	0.382
literacy	alfabetyzacja	0.730	0.306	0.638
literal	dosłowny	0.570	0.353	0.574
literally	dosłownie	0.571	0.353	0.673
literary	literacki	0.719	0.324	0.667
literature	literatura	0.708	0.250	0.598
lithe	gibki	0.656	0.596	0.602
lithium	lit	0.417	0.330	0.430
lithograph	litografia	0.551	0.327	0.481
lithography	litografia	0.561	0.346	0.473
lithology	litologia	0.519	0.378	0.525
lithosphere	litosfery	0.473	0.333	0.689
litigant	sporny	0.219	0.577	0.696
litigate	procesować się	0.260	0.819	0.712
litigation	spór	0.388	0.760	0.602
litigator	prawnik	0.429	0.630	0.732
litigious	sporny	0.360	0.736	0.632
litter	śmieci	0.255	0.551	0.110
little	mało	0.385	0.160	0.213
littlethings	małe rzeczy	0.740	0.311	0.242
littoral	wybrzeże	0.551	0.387	0.452
liturgy	liturgia	0.490	0.327	0.568
live	relacja na żywo	0.880	0.673	0.676
livelife	Żyj życiem	0.792	0.624	0.664
livelihood	utrzymanie	0.698	0.481	0.721
lively	żywy	0.847	0.810	0.642
liven	ożywiać	0.708	0.713	0.673
liver	wątroba	0.439	0.290	0.385
livery	liberia	0.510	0.417	0.429
livestock	żywy inwentarz	0.729	0.420	0.519
livid	wściekły	0.469	0.788	0.490
living	życie	0.865	0.608	0.727
lizard	jaszczurka	0.378	0.375	0.324
llama	lama	0.490	0.590	0.519
lml	lml	0.448	0.519	0.385
load	obciążenie	0.385	0.417	0.528
loader	ładowarka	0.562	0.377	0.686
loaf	Bochenek	0.755	0.250	0.277
loafer	próżniak	0.235	0.396	0.254
loam	ił	0.469	0.373	0.673
loan	pożyczka	0.552	0.480	0.352
loath	niechętny	0.135	0.714	0.445
loathe	brzydzić	0.094	0.730	0.429
loathful	wstrętny	0.068	0.740	0.358
loathing	odraza	0.083	0.796	0.368
loathsome	odrażający	0.120	0.694	0.343
lobby	lobby	0.625	0.427	0.472
lobbyist	lobbysta	0.385	0.527	0.565
lobe	płat	0.459	0.364	0.352
lobotomy	lobotomia	0.296	0.598	0.402
lobster	Homar	0.571	0.356	0.291
local	lokalny	0.656	0.269	0.452
locale	widownia	0.449	0.387	0.352
locality	miejscowość	0.582	0.336	0.464
localization	Lokalizacja	0.552	0.330	0.545
localize	zlokalizować	0.520	0.481	0.679
localized	zlokalizowane	0.490	0.460	0.621
locate	Znajdź	0.583	0.520	0.786
location	Lokalizacja	0.615	0.375	0.546
locator	lokalizator	0.480	0.426	0.614
loch	jezioro	0.449	0.235	0.425
lock	zamek	0.271	0.585	0.600
locker	Szafka	0.439	0.300	0.393
locket	medalik	0.615	0.327	0.616
locksmith	ślusarz	0.510	0.417	0.491
lockup	zamknąć	0.240	0.602	0.617
loco	loco	0.306	0.774	0.226
locomotion	lokomocja	0.470	0.600	0.595
locomotive	lokomotywa	0.542	0.650	0.721
locust	szarańcza	0.479	0.412	0.417
lode	NO TRANSLATION	0.365	0.423	0.318
lodge	wigwam	0.656	0.356	0.474
lodger	lokator	0.480	0.448	0.304
lodging	kwatera	0.713	0.286	0.527
loft	strych	0.510	0.378	0.343
lofty	wysoki	0.755	0.306	0.569
log	log	0.591	0.371	0.395
logarithm	logarytm	0.520	0.439	0.551
logarithmic	logarytmiczny	0.469	0.458	0.606
logic	logika	0.646	0.245	0.819
logical	logiczny	0.805	0.400	0.648
logistics	Logistyka	0.633	0.500	0.730
logo	logo	0.469	0.296	0.565
logotype	logotyp	0.480	0.337	0.509
loin	NO TRANSLATION	0.420	0.298	0.379
lollipop	lizak	0.628	0.483	0.357
lone	samotny	0.198	0.204	0.367
loneliness	samotność	0.146	0.182	0.222
lonely	samotny	0.250	0.226	0.238
loner	samotnik	0.347	0.152	0.221
lonesome	samotny	0.281	0.213	0.336
long	długie	0.541	0.353	0.543
longboat	barkas	0.551	0.454	0.490
longevity	długowieczność	0.750	0.353	0.745
longing	tęsknota	0.604	0.434	0.560
longitude	długość geograficzna	0.479	0.310	0.516
longitudinal	wzdłużny	0.542	0.398	0.582
longitudinally	podłużnie	0.541	0.380	0.569
longtime	długi czas	0.362	0.442	0.546
loo	loo	0.385	0.357	0.283
look	Popatrz	0.719	0.429	0.615
looker	telewidz	0.583	0.354	0.451
lookout	Uważaj	0.698	0.538	0.639
loom	warsztat tkacki	0.531	0.245	0.325
looming	zbliża się	0.367	0.750	0.528
loon	gbur	0.429	0.392	0.325
loony	szalony	0.439	0.474	0.295
loop	pętla	0.516	0.343	0.317
loophole	luka	0.406	0.755	0.491
loopy	Loopy	0.438	0.520	0.195
loose	luźny	0.573	0.312	0.365
loosen	poluzować	0.487	0.337	0.218
loosening	rozwolnienie	0.378	0.343	0.295
loot	łup	0.604	0.711	0.537
lop	poobcinać	0.429	0.363	0.426
lopsided	przechylony	0.125	0.500	0.272
lord	Lord	0.618	0.327	0.684
lords	panowie	0.571	0.356	0.781
lordship	panowanie	0.573	0.557	0.736
lore	wiedza	0.719	0.373	0.768
lorry	ciężarówka	0.521	0.481	0.402
lose	stracić	0.115	0.538	0.176
loser	przegrany	0.083	0.510	0.155
losing	przegrywający	0.076	0.686	0.223
loss	utrata	0.062	0.567	0.211
lost	Stracony	0.199	0.663	0.148
lot	los	0.531	0.215	0.370
lotion	płyn kosmetyczny	0.724	0.261	0.188
lots	dużo	0.604	0.417	0.424
lottery	loteria	0.771	0.731	0.491
lotto	loteryjka	0.760	0.635	0.475
lotus	lotos	0.604	0.377	0.510
loud	głośny	0.573	0.650	0.870
loudly	głośno	0.541	0.755	0.667
loudmouth	loudmouth	0.337	0.615	0.456
loudness	głośność	0.350	0.582	0.620
loudspeaker	głośnik	0.490	0.735	0.689
lounge	hol	0.592	0.245	0.466
lounging	wylegiwanie się	0.735	0.167	0.449
louse	wesz	0.184	0.439	0.154
lousy	parszywy	0.125	0.482	0.234
lovable	sympatyczny	0.948	0.335	0.565
love	miłość	1.000	0.519	0.673
loved	kochany	0.927	0.452	0.582
lovee	kochanie	0.949	0.592	0.611
loveee	kochanie	0.927	0.592	0.693
loveless	bez miłości	0.102	0.365	0.216
lovelife	NO TRANSLATION	0.837	0.610	0.592
loveliness	piękno	0.959	0.509	0.750
lovelovelove	NO TRANSLATION	0.948	0.582	0.554
lovely	śliczny	0.917	0.456	0.741
lovemaking	uprawianie miłości	0.969	0.927	0.814
lovemylife	NO TRANSLATION	0.896	0.800	0.573
lover	kochanek	0.881	0.816	0.750
lovesick	chory z miłości	0.796	0.842	0.500
lovethis	kocham to	0.867	0.552	0.526
loving	kochający	0.948	0.612	0.636
lovinglife	kochane życie	0.979	0.404	0.673
lovinlife	lovinlife	0.714	0.460	0.544
low	Niska	0.292	0.220	0.102
lowdown	podły	0.306	0.441	0.441
lower	niższy	0.327	0.296	0.258
lowering	opuszczenie	0.286	0.363	0.236
lowest	najniższy	0.312	0.304	0.129
lowlands	niziny	0.323	0.290	0.331
lowlife	lowlife	0.296	0.529	0.309
lowly	pokorny	0.562	0.294	0.417
lox	wędzony łosoś	0.490	0.373	0.318
loyal	wierny	0.896	0.265	0.657
loyalty	lojalność	0.885	0.406	0.793
lsd	LSD	0.375	0.471	0.390
luau	luau	0.594	0.545	0.296
lube	lube	0.552	0.490	0.411
lubricant	smar	0.656	0.550	0.454
lubricate	smarować	0.552	0.490	0.470
lubrication	smarowanie	0.624	0.646	0.491
lucid	przejrzysty	0.771	0.490	0.705
luck	szczęście	0.854	0.490	0.717
luckiest	najszczęśliwszy	0.917	0.690	0.852
lucky	Szczęściarz	0.960	0.610	0.793
luckygirl	szczęśliwa dziewczyna	0.781	0.712	0.471
lucrative	lukratywny	0.729	0.519	0.798
ludicrous	śmieszny	0.137	0.553	0.274
lug	targać	0.344	0.443	0.340
luggage	bagaż	0.561	0.226	0.319
lukewarm	letni	0.573	0.300	0.241
lull	zastój	0.602	0.130	0.402
lullaby	kołysanka	0.796	0.156	0.339
lumbar	lędźwiowy	0.323	0.418	0.342
lumber	graty	0.517	0.184	0.373
lumbering	niezdarny	0.354	0.561	0.655
lumberjack	drwal	0.500	0.660	0.726
luminescent	świecący	0.796	0.550	0.526
luminous	świetlny	0.918	0.392	0.783
lump	guzek	0.438	0.337	0.463
lumpy	grudkowaty	0.271	0.378	0.365
lunacy	obłęd	0.132	0.847	0.330
lunar	księżycowy	0.562	0.296	0.427
lunatic	wariat	0.125	0.792	0.442
lunch	lunch	0.880	0.410	0.542
lunchbox	pudełko śniadaniowe	0.663	0.346	0.346
luncheon	lunche	0.837	0.240	0.441
lunchtime	pora obiadu	0.896	0.398	0.444
lung	płuco	0.510	0.292	0.629
lunge	lonża	0.354	0.721	0.509
lungs	płuca	0.531	0.352	0.555
lurch	przechył	0.404	0.694	0.363
lure	wabik	0.439	0.565	0.300
lurid	ponury	0.186	0.833	0.536
lurk	przyczaić się	0.219	0.740	0.655
lurking	przyczajony	0.421	0.781	0.575
luscious	soczysty	0.885	0.552	0.545
lush	bujny	0.740	0.783	0.833
lust	żądza	0.469	0.944	0.518
luster	połysk	0.833	0.566	0.558
lustful	zmysłowy	0.427	0.896	0.643
lustrous	lśniący	0.771	0.606	0.598
lusty	krzepki	0.469	0.941	0.673
lute	lutnia	0.459	0.407	0.500
luxuriant	bujny	0.760	0.745	0.812
luxurious	luksusowy	0.947	0.644	0.754
luxury	luksus	0.932	0.673	0.750
lycra	lycra	0.520	0.449	0.328
lye	ług	0.378	0.396	0.443
lying	kłamstwo	0.208	0.704	0.317
lymph	limfa	0.398	0.510	0.390
lymphatic	limfatyczny	0.380	0.509	0.472
lymphoma	chłoniaka	0.208	0.645	0.330
lynch	zlinczować	0.167	0.885	0.482
lynching	lincz	0.135	0.920	0.548
lynx	ryś	0.510	0.590	0.567
lyre	lira	0.719	0.347	0.414
lyric	liryczny	0.702	0.269	0.464
lyrical	liryczny	0.708	0.451	0.618
lyrics	tekst piosenki	0.582	0.214	0.333
macadamia	macadamia	0.635	0.330	0.434
macarena	macarena	0.802	0.601	0.368
macaroni	makaron	0.816	0.410	0.382
mace	Buzdygan	0.450	0.412	0.415
mach	mach	0.541	0.432	0.463
machete	maczeta	0.260	0.690	0.474
machine	maszyna	0.510	0.500	0.707
machinery	maszyneria	0.458	0.615	0.629
machinist	mechanik	0.490	0.598	0.721
macho	macho	0.643	0.690	0.676
mackerel	makrela	0.418	0.423	0.426
macro	makro	0.552	0.469	0.647
mad	szalony	0.219	0.873	0.277
madam	Szanowna Pani	0.580	0.308	0.571
madame	pani	0.604	0.500	0.635
madden	szaleć	0.329	0.602	0.457
madder	marzanna	0.323	0.853	0.267
mademoiselle	NO TRANSLATION	0.752	0.459	0.461
mademyday	mademyday	0.694	0.573	0.537
madhouse	dom wariatów	0.156	0.736	0.440
madman	szaleniec	0.135	0.880	0.312
madness	szaleństwo	0.104	0.804	0.440
maestro	maestro	0.823	0.357	0.849
mafia	mafia	0.204	0.867	0.676
magazine	czasopismo	0.615	0.332	0.377
mage	Mag	0.622	0.373	0.453
magenta	magenta	0.635	0.275	0.415
maggot	czerw	0.235	0.500	0.235
magic	magia	0.868	0.663	0.578
magical	magiczny	0.875	0.651	0.595
magician	magik	0.714	0.657	0.551
magistrate	sędzia	0.587	0.541	0.904
magma	magma	0.323	0.623	0.609
magna	magna	0.605	0.490	0.652
magnate	magnat	0.627	0.708	0.868
magnesium	magnez	0.542	0.320	0.321
magnet	magnes	0.571	0.318	0.553
magnetic	magnetyczny	0.612	0.529	0.673
magnetism	magnetyzm	0.630	0.529	0.741
magnetite	magnetyt	0.531	0.490	0.581
magnification	powiększenie	0.890	0.615	0.880
magnificence	wspaniałość	0.802	0.810	0.920
magnificent	wspaniały	1.000	0.680	0.886
magnifier	lupa	0.469	0.216	0.345
magnify	powiększać	0.729	0.561	0.839
magnifying	powiększanie	0.594	0.265	0.406
magnitude	wielkość	0.608	0.613	0.774
magnolia	magnolia	0.558	0.343	0.379
magpie	sroka	0.500	0.458	0.327
mahi mahi	NO TRANSLATION	0.510	0.410	0.398
mahjong	Mahjong	0.556	0.418	0.440
mahogany	mahoń	0.602	0.225	0.393
maid	pokojówka	0.406	0.324	0.300
maiden	dziewica	0.755	0.396	0.461
mail	Poczta	0.615	0.231	0.548
mailbox	skrzynka pocztowa	0.573	0.222	0.404
mailing	mailing	0.688	0.324	0.375
mailman	listonosz	0.659	0.418	0.462
maim	NO TRANSLATION	0.133	0.724	0.496
main	Główny	0.667	0.510	0.811
mainframe	Główna rama	0.531	0.490	0.557
mainland	kontynent	0.680	0.407	0.806
mainstay	filar	0.694	0.400	0.713
mainstream	główny nurt	0.653	0.527	0.660
maintain	utrzymać	0.684	0.398	0.647
maintenance	konserwacja	0.592	0.410	0.545
majestic	majestatyczny	0.948	0.731	0.906
majesty	majestat	0.823	0.602	0.955
major	poważny	0.684	0.538	0.874
majority	większość	0.684	0.560	0.930
make	robić	0.684	0.420	0.480
makeover	przeróbka	0.771	0.510	0.596
maker	producent	0.698	0.544	0.706
makeshift	prowizoryczny	0.479	0.611	0.389
makesmehappy	NO TRANSLATION	0.894	0.663	0.712
makesmemad	NO TRANSLATION	0.296	0.643	0.500
makeup	makijaż	0.740	0.333	0.331
makingdisciples	NO TRANSLATION	0.684	0.402	0.664
malady	choroba	0.190	0.686	0.304
malaise	złe samopoczucie	0.150	0.600	0.161
malaria	malaria	0.125	0.653	0.304
malarkey	malarkey	0.396	0.500	0.465
male	męski	0.612	0.532	0.695
malevolent	wrogi	0.094	0.854	0.613
malfeasance	malfeasance	0.062	0.745	0.325
malformation	zniekształcenie	0.083	0.602	0.357
malfunction	usterka	0.125	0.577	0.229
malice	NO TRANSLATION	0.073	0.811	0.492
malicious	złośliwy	0.177	0.765	0.607
malign	złośliwy	0.140	0.765	0.481
malignancy	złośliwość	0.149	0.814	0.614
malignant	złośliwy	0.143	0.824	0.370
maligned	maligned	0.102	0.684	0.218
mall	centrum handlowe	0.724	0.663	0.492
malleable	ciągliwy	0.500	0.500	0.391
mallet	drewniany młotek	0.354	0.390	0.483
malnutrition	niedożywienie	0.024	0.592	0.277
malpractice	zaniedbanie	0.094	0.559	0.330
malt	słód	0.750	0.373	0.324
mama	mama	0.860	0.413	0.728
mambo	mambo	0.808	0.622	0.445
mamma	NO TRANSLATION	0.600	0.358	0.449
mammal	ssak	0.618	0.449	0.421
mammoth	mamut	0.480	0.471	0.537
mammy	mamusia	0.680	0.415	0.436
man	człowiek	0.688	0.427	0.767
manage	zarządzanie	0.560	0.530	0.719
manageable	wykonalny	0.750	0.361	0.655
management	zarządzanie	0.792	0.491	0.806
manager	menedżer	0.625	0.549	0.897
managerial	kierowniczy	0.604	0.520	0.791
mandamus	mandamus	0.439	0.577	0.556
mandarin	mandarynka	0.625	0.398	0.491
mandate	mandat	0.448	0.670	0.779
mandatory	obowiązkowy	0.271	0.667	0.777
mandible	żuchwa	0.510	0.431	0.500
mandolin	mandolina	0.708	0.433	0.367
mandrel	kleszczak	0.310	0.490	0.481
mane	NO TRANSLATION	0.521	0.277	0.373
maneuver	manewr	0.615	0.663	0.608
maneuvering	manewrowanie	0.635	0.640	0.745
mange	NO TRANSLATION	0.311	0.558	0.348
manger	żłób	0.656	0.276	0.398
mangle	magiel	0.292	0.449	0.355
mango	mango	0.765	0.327	0.290
mangosteen	mangostan	0.562	0.500	0.414
mangy	parszywy	0.214	0.698	0.270
manhole	właz	0.378	0.500	0.516
manhood	męskość	0.625	0.735	0.858
manhunt	obława	0.145	0.925	0.657
mania	mania	0.290	0.683	0.382
maniac	maniak	0.120	0.849	0.431
maniacal	maniakalny	0.200	0.848	0.500
manic	maniakalny	0.054	0.892	0.368
manicure	manicure	0.706	0.308	0.284
manicurist	manicurzysta	0.583	0.352	0.341
manifest	oczywisty	0.667	0.647	0.704
manifestation	manifestacja	0.583	0.750	0.655
manifested	zamanifestowane	0.580	0.618	0.667
manifestly	jawnie	0.469	0.588	0.577
manifesto	manifest	0.646	0.519	0.676
manifold	Kolektor	0.500	0.461	0.435
manipulate	manipulować	0.255	0.700	0.772
manipulation	manipulacja	0.188	0.775	0.536
manipulative	manipulacyjny	0.177	0.724	0.546
mankind	ludzkość	0.823	0.471	0.768
manly	męski	0.698	0.633	0.846
manna	manna	0.698	0.294	0.544
manned	załogowy	0.551	0.588	0.484
mannequin	manekin	0.427	0.302	0.295
manner	sposób	0.618	0.250	0.320
mannered	zmanierowany	0.469	0.556	0.291
manners	maniery	0.816	0.284	0.517
manor	dwór	0.646	0.358	0.738
manpower	siła robocza	0.531	0.620	0.543
mansion	dwór	0.847	0.490	0.717
mansions	rezydencje	0.735	0.529	0.777
manslaughter	zabójstwo	0.090	0.920	0.473
mantel	graba	0.500	0.265	0.471
mantis	modliszka	0.480	0.355	0.421
mantle	płaszcz	0.510	0.269	0.422
mantra	mantra	0.396	0.249	0.357
manual	podręcznik	0.635	0.245	0.449
manufacture	produkcja	0.868	0.703	0.780
manufacturer	producent	0.688	0.537	0.830
manufacturing	produkcja	0.653	0.613	0.804
manure	nawóz	0.250	0.471	0.241
manuscript	rękopis	0.510	0.208	0.540
map	mapa	0.561	0.229	0.463
maple	klon	0.541	0.390	0.339
mar	zniszczyć	0.622	0.544	0.545
marathon	maraton	0.646	0.778	0.740
marble	marmur	0.604	0.212	0.667
marbled	marmurkowaty	0.396	0.385	0.418
marbles	rzeźby	0.714	0.345	0.241
march	Marsz	0.531	0.200	0.483
mare	NO TRANSLATION	0.541	0.320	0.417
margarine	margaryna	0.530	0.316	0.333
margarita	margarita	0.750	0.438	0.420
margin	margines	0.500	0.219	0.331
marginal	marginalny	0.235	0.644	0.345
mariachi	mariachi	0.710	0.559	0.609
marijuana	marihuana	0.312	0.779	0.558
marinara	marinara	0.657	0.388	0.435
marine	morski	0.633	0.471	0.679
mariner	marynarz	0.652	0.491	0.676
marital	małżeński	0.760	0.529	0.500
maritime	morski	0.646	0.490	0.713
mark	znak	0.491	0.231	0.600
marked	wyraźny	0.592	0.358	0.554
marker	znacznik	0.500	0.333	0.605
market	rynek	0.724	0.480	0.521
marketable	nadający się do sprzedaży	0.746	0.545	0.664
marketing	marketing	0.521	0.774	0.675
marketplace	rynek	0.698	0.420	0.525
marks	znaki	0.430	0.480	0.424
marksman	snajper	0.500	0.833	0.692
marksmanship	celność	0.573	0.531	0.664
marl	margiel	0.372	0.471	0.351
marmalade	marmolada	0.729	0.370	0.288
maroon	kasztanowaty	0.469	0.358	0.336
marooned	uwięziony	0.229	0.480	0.160
marquee	duży namiot	0.602	0.284	0.508
marquis	markiz	0.521	0.444	0.562
