Word	Icelandic-is	Valence	Arousal	Dominance
malice	NO TRANSLATION	0.073	0.811	0.492
malicious	illgjarn	0.177	0.765	0.607
malign	illkynja	0.140	0.765	0.481
malignancy	illkynja sjúkdómur	0.149	0.814	0.614
malignant	illkynja	0.143	0.824	0.370
maligned	maligned	0.102	0.684	0.218
mall	smáralind	0.724	0.663	0.492
malleable	sveigjanlegur	0.500	0.500	0.391
mallet	smáralind	0.354	0.390	0.483
malnutrition	vannæring	0.024	0.592	0.277
malpractice	malpractice	0.094	0.559	0.330
malt	malt	0.750	0.373	0.324
mama	mamma	0.860	0.413	0.728
mambo	Eiturslanga	0.808	0.622	0.445
mamma	NO TRANSLATION	0.600	0.358	0.449
mammal	spendýr	0.618	0.449	0.421
mammoth	Mammut	0.480	0.471	0.537
mammy	mamma	0.680	0.415	0.436
man	maður	0.688	0.427	0.767
manage	stjórna	0.560	0.530	0.719
manageable	viðráðanleg	0.750	0.361	0.655
management	stjórnun	0.792	0.491	0.806
manager	framkvæmdastjóri	0.625	0.549	0.897
managerial	stjórnandi	0.604	0.520	0.791
mandamus	Mandamus	0.439	0.577	0.556
mandarin	Mandarin	0.625	0.398	0.491
mandate	umboð	0.448	0.670	0.779
mandatory	skylt	0.271	0.667	0.777
mandible	mandible	0.510	0.431	0.500
mandolin	mandólín	0.708	0.433	0.367
mandrel	dorn	0.310	0.490	0.481
mane	NO TRANSLATION	0.521	0.277	0.373
maneuver	maneuver	0.615	0.663	0.608
maneuvering	maneuvering	0.635	0.640	0.745
mange	NO TRANSLATION	0.311	0.558	0.348
manger	manger	0.656	0.276	0.398
mangle	mangle	0.292	0.449	0.355
mango	mangó	0.765	0.327	0.290
mangosteen	mangosten	0.562	0.500	0.414
mangy	mangy	0.214	0.698	0.270
manhole	manhole	0.378	0.500	0.516
manhood	manhood	0.625	0.735	0.858
manhunt	manhunt	0.145	0.925	0.657
mania	oflæti	0.290	0.683	0.382
maniac	Maniac	0.120	0.849	0.431
maniacal	maniacal	0.200	0.848	0.500
manic	Manic	0.054	0.892	0.368
manicure	manicure	0.706	0.308	0.284
manicurist	manicurist	0.583	0.352	0.341
manifest	augljóst	0.667	0.647	0.704
manifestation	birtingarmynd	0.583	0.750	0.655
manifested	birtist	0.580	0.618	0.667
manifestly	augljóslega	0.469	0.588	0.577
manifesto	einkenni	0.646	0.519	0.676
manifold	margvíslega	0.500	0.461	0.435
manipulate	vinna	0.255	0.700	0.772
manipulation	meðferð	0.188	0.775	0.536
manipulative	manipulative	0.177	0.724	0.546
mankind	mannkynið	0.823	0.471	0.768
manly	mannlega	0.698	0.633	0.846
manna	manna	0.698	0.294	0.544
manned	mannsett	0.551	0.588	0.484
mannequin	mannequin	0.427	0.302	0.295
manner	hátt	0.618	0.250	0.320
mannered	mannered	0.469	0.556	0.291
manners	mannasiðir	0.816	0.284	0.517
manor	Manor	0.646	0.358	0.738
manpower	mannafla	0.531	0.620	0.543
mansion	höfðingjasetur	0.847	0.490	0.717
mansions	Mansions	0.735	0.529	0.777
manslaughter	mannrán	0.090	0.920	0.473
mantel	skikkju	0.500	0.265	0.471
mantis	mantis	0.480	0.355	0.421
mantle	mantle	0.510	0.269	0.422
mantra	mantra	0.396	0.249	0.357
manual	handbók	0.635	0.245	0.449
manufacture	framleiðslu	0.868	0.703	0.780
manufacturer	framleiðandi	0.688	0.537	0.830
manufacturing	framleiðslu	0.653	0.613	0.804
manure	áburð	0.250	0.471	0.241
manuscript	handrit	0.510	0.208	0.540
map	kort	0.561	0.229	0.463
maple	hlynur	0.541	0.390	0.339
mar	mar	0.622	0.544	0.545
marathon	maraþon	0.646	0.778	0.740
marble	marmara	0.604	0.212	0.667
marbled	marmari	0.396	0.385	0.418
marbles	marmari	0.714	0.345	0.241
march	mars	0.531	0.200	0.483
mare	NO TRANSLATION	0.541	0.320	0.417
margarine	smjörlíki	0.530	0.316	0.333
margarita	margarita	0.750	0.438	0.420
margin	framlegð	0.500	0.219	0.331
marginal	lélegur	0.235	0.644	0.345
mariachi	mariachi	0.710	0.559	0.609
marijuana	marijúana	0.312	0.779	0.558
marinara	marinara	0.657	0.388	0.435
marine	sjávar	0.633	0.471	0.679
mariner	Mariner	0.652	0.491	0.676
marital	hjónaband	0.760	0.529	0.500
maritime	sjó	0.646	0.490	0.713
mark	merkja	0.491	0.231	0.600
marked	merktur	0.592	0.358	0.554
marker	merki	0.500	0.333	0.605
market	markaður	0.724	0.480	0.521
marketable	markaðsverðbréf	0.746	0.545	0.664
marketing	markaðssetning	0.521	0.774	0.675
marketplace	markaður	0.698	0.420	0.525
marks	merki	0.430	0.480	0.424
marksman	marksman	0.500	0.833	0.692
marksmanship	marksmanship	0.573	0.531	0.664
marl	marl	0.372	0.471	0.351
marmalade	marmelaði	0.729	0.370	0.288
maroon	maroon	0.469	0.358	0.336
marooned	marooned	0.229	0.480	0.160
marquee	tjaldstæði	0.602	0.284	0.508
marquis	marquis	0.521	0.444	0.562
marred	marred	0.181	0.561	0.233
marriage	hjónaband	0.844	0.684	0.750
married	giftur	0.674	0.570	0.602
marrow	marrow	0.398	0.422	0.472
marry	giftast	0.896	0.765	0.673
marsh	marsh	0.302	0.358	0.277
marshal	marshal	0.469	0.610	0.819
marshmallow	marshmallow	0.740	0.441	0.391
mart	mart	0.531	0.402	0.418
martial	martial	0.480	0.710	0.737
martingale	martingale	0.469	0.510	0.455
martini	martini	0.828	0.500	0.519
martyr	píslarvottur	0.281	0.708	0.509
martyrdom	martyrdom	0.323	0.745	0.442
marvel	undur	0.961	0.755	0.866
marvellous	undursamlegt	0.878	0.809	0.849
marvelous	undursamlegt	0.948	0.637	0.778
marvelously	undursamlega	0.968	0.708	0.764
marzipan	NO TRANSLATION	0.684	0.380	0.258
mascara	mascara	0.575	0.450	0.269
mascot	mascot	0.750	0.337	0.337
masculine	karlkyns	0.653	0.540	0.773
masculinity	karlmennska	0.583	0.670	0.851
mash	mash	0.440	0.363	0.283
mashed	mashed	0.531	0.337	0.194
mask	gríma	0.510	0.490	0.537
masked	gríma	0.375	0.549	0.518
masks	grímur	0.510	0.472	0.241
masochism	masochism	0.194	0.845	0.483
masochist	masochist	0.164	0.784	0.353
mason	Mason	0.541	0.442	0.580
masquerade	masquerade	0.431	0.633	0.446
mass	massa	0.458	0.245	0.277
massacre	fjöldamorðin	0.031	0.887	0.640
massage	nudd	0.708	0.356	0.413
masses	fjöldinn	0.552	0.453	0.473
masseur	masseur	0.622	0.265	0.463
masseuse	masseuse	0.594	0.373	0.391
massive	gegnheill	0.569	0.660	0.750
mast	mastur	0.542	0.390	0.580
master	húsbóndi	0.694	0.490	0.849
masterful	húsbóndi	0.854	0.510	0.960
mastermind	mastermind	0.792	0.625	0.918
masterpiece	meistaraverk	0.926	0.623	0.847
mastery	leikni	0.755	0.648	0.873
masturbate	sjálfsfróun	0.552	0.926	0.500
masturbation	sjálfsfróun	0.542	0.961	0.509
mat	matur	0.459	0.221	0.304
matador	matador	0.224	0.880	0.667
match	passa	0.599	0.573	0.500
matchbook	matchbook	0.562	0.391	0.412
matching	samsvörun	0.719	0.735	0.418
matchmaker	matchmaker	0.615	0.509	0.519
mate	félagi	0.847	0.417	0.669
material	efni	0.521	0.363	0.439
materialism	efnishyggju	0.220	0.390	0.556
materialist	efnisfræðingur	0.255	0.491	0.504
materialistic	efnishyggju	0.420	0.506	0.589
materiality	veruleiki	0.417	0.450	0.636
materialize	veruleika	0.688	0.596	0.728
materially	verulega	0.490	0.451	0.670
materials	efni	0.633	0.361	0.473
materiel	efni	0.531	0.294	0.417
maternal	móður	0.847	0.417	0.634
maternity	fæðingarorlof	0.865	0.480	0.622
math	stærðfræði	0.417	0.375	0.600
mathematical	stærðfræðileg	0.620	0.500	0.548
mathematician	stærðfræðingur	0.541	0.418	0.773
mathematics	stærðfræði	0.438	0.435	0.664
matinee	matinee	0.694	0.578	0.447
mating	pörun	0.755	0.840	0.759
matriculation	stúdentspróf	0.622	0.490	0.675
matrimony	hjónaband	0.850	0.637	0.843
matrix	fylki	0.551	0.378	0.673
matron	matrún	0.520	0.519	0.555
matted	matted	0.281	0.519	0.393
matter	efni	0.487	0.353	0.562
matting	matting	0.479	0.405	0.423
mattress	dýnu	0.612	0.255	0.397
maturation	þroska	0.612	0.439	0.698
mature	þroskast	0.625	0.347	0.600
maturity	þroska	0.827	0.400	0.806
maudlin	maudlin	0.337	0.417	0.368
mausoleum	mausoleum	0.344	0.281	0.594
mauve	mauve	0.533	0.330	0.314
maverick	maverick	0.354	0.676	0.409
maxim	hámarki	0.875	0.562	0.887
maximize	hámarka	0.823	0.765	0.792
maximum	hámark	0.724	0.724	0.852
may	má	0.704	0.273	0.245
mayday	Mayday	0.344	0.643	0.423
mayflower	Mayflower	0.690	0.463	0.429
mayhem	Mayhem	0.188	0.870	0.364
mayonnaise	majónesi	0.510	0.320	0.222
mayor	borgarstjóri	0.469	0.481	0.818
maze	völundarhús	0.438	0.608	0.444
mead	mead	0.667	0.337	0.441
meadow	engi	0.622	0.130	0.382
meager	meager	0.144	0.389	0.281
meal	máltíð	0.833	0.461	0.473
mean	vondur	0.440	0.467	0.620
meander	meander	0.480	0.443	0.454
meandering	meandering	0.427	0.644	0.539
meanie	meanie	0.388	0.420	0.404
meaning	merkingu	0.663	0.395	0.625
meaningful	þroskandi	0.770	0.500	0.802
meaningless	hégómi	0.156	0.314	0.143
meanness	meanness	0.102	0.694	0.368
means	þýðir	0.615	0.373	0.460
meantime	á meðan	0.432	0.222	0.300
measles	mislinga	0.092	0.635	0.422
measurable	mælanleg	0.604	0.410	0.602
measure	mæla	0.510	0.375	0.365
measured	mælt	0.542	0.265	0.578
measurement	mælingar	0.622	0.418	0.491
measuring	mæla	0.448	0.337	0.529
measuring cup	mæla bolli	0.557	0.343	0.377
measuring tape	málband	0.337	0.280	0.327
meat	kjöt	0.612	0.421	0.413
meatball	kjötbollur	0.612	0.279	0.343
meathead	meathead	0.306	0.534	0.490
meatloaf	meatloaf	0.625	0.389	0.375
mechanic	vélvirki	0.571	0.433	0.566
mechanical	vélrænni	0.479	0.569	0.564
mechanics	vélfræði	0.542	0.500	0.761
mechanism	vélbúnaður	0.573	0.583	0.664
med	NO TRANSLATION	0.375	0.429	0.606
medal	verðlaun	0.854	0.555	0.746
medallion	miðlungs	0.750	0.510	0.710
medallist	medalist	0.796	0.821	0.897
meddle	blanda	0.302	0.770	0.526
meddling	samskipti	0.245	0.600	0.461
media	fjölmiðla	0.500	0.330	0.464
medial	miðgildi	0.458	0.340	0.429
median	miðgildi	0.459	0.216	0.375
mediate	miðla	0.635	0.308	0.654
mediation	miðlun	0.661	0.350	0.657
mediator	sáttasemjari	0.592	0.438	0.580
medic	læknir	0.500	0.472	0.585
medical	læknisfræðilegt	0.583	0.373	0.616
medicate	lyfjameðferð	0.417	0.375	0.546
medication	lyf	0.615	0.439	0.500
medicinal	lyf	0.667	0.417	0.614
medicine	lyf	0.708	0.318	0.679
medieval	miðalda	0.560	0.408	0.455
mediocre	miðlungs	0.188	0.481	0.149
mediocrity	miðgildi	0.073	0.398	0.225
meditate	hugleiða	0.812	0.146	0.564
meditating	hugleiða	0.718	0.185	0.399
meditation	hugleiðsla	0.786	0.120	0.478
meditative	hugleiðslu	0.614	0.120	0.454
mediterranean	Miðjarðarhafið	0.663	0.454	0.545
medium	miðlungs	0.559	0.356	0.358
medley	medley	0.487	0.352	0.400
meek	hógvært	0.531	0.150	0.198
meet	hittast	0.760	0.510	0.580
meeting	fundi	0.750	0.569	0.613
mega	mega	0.724	0.538	0.723
meh	meh	0.380	0.286	0.365
melancholic	melancholic	0.181	0.306	0.277
melancholy	depurð	0.188	0.260	0.237
melee	melee	0.541	0.704	0.611
mellow	mjúkt	0.633	0.069	0.265
melodious	Melodious	0.932	0.530	0.587
melodrama	melodrama	0.378	0.830	0.446
melodramatic	melodramatic	0.235	0.692	0.368
melody	lag	0.847	0.434	0.405
melon	melóna	0.461	0.231	0.271
melt	bráðna	0.448	0.615	0.312
meltdown	bráðna	0.629	0.657	0.602
melting	bráðnun	0.592	0.470	0.538
member	meðlimur	0.698	0.333	0.555
membership	aðild	0.698	0.411	0.778
membrane	himna	0.406	0.430	0.418
memento	memento	0.708	0.360	0.536
memo	minnisblaði	0.625	0.235	0.407
memoir	minnisblaði	0.750	0.242	0.553
memorabilia	minnisblað	0.780	0.412	0.491
memorable	eftirminnilegt	0.939	0.510	0.769
memorandum	minnisblaði	0.600	0.500	0.639
memorial	minnisvarði	0.602	0.304	0.600
memorials	minnisvarða	0.771	0.333	0.679
memories	minningar	0.963	0.487	0.510
memoriesiwontforget	NO TRANSLATION	0.635	0.542	0.455
memorize	minnið	0.520	0.451	0.716
memory	minni	0.792	0.378	0.573
menace	hótun	0.125	0.894	0.759
menacing	ógnandi	0.042	0.880	0.643
menagerie	menagerie	0.573	0.480	0.538
mend	mend	0.542	0.436	0.602
mending	mending	0.500	0.633	0.657
menial	menial	0.490	0.420	0.352
meningitis	heilahimnubólga	0.104	0.612	0.407
meniscus	meniscus	0.323	0.330	0.453
menopause	tíðahvörf	0.204	0.460	0.306
menses	tíðir	0.163	0.686	0.331
menstrual	tíðir	0.408	0.519	0.435
mental	andlegt	0.490	0.490	0.585
mentalhealth	NO TRANSLATION	0.562	0.541	0.670
mentality	hugarfar	0.711	0.415	0.726
menthol	menthol	0.490	0.292	0.433
mention	nefna	0.562	0.365	0.562
mentor	leiðbeinanda	0.719	0.455	0.777
menu	valmynd	0.633	0.333	0.385
meow	mjá	0.510	0.510	0.412
mercantile	mercantile	0.480	0.490	0.713
mercenary	málaliði	0.245	0.837	0.673
merchandise	varningi	0.594	0.460	0.621
merchant	kaupskipi	0.675	0.500	0.620
merciful	miskunnsamur	0.854	0.346	0.500
merciless	miskunnarlaust	0.062	0.880	0.634
mercurial	mercurial	0.490	0.546	0.518
mercury	kvikasilfur	0.337	0.312	0.475
mercy	miskunn	0.719	0.229	0.500
mere	aðeins	0.396	0.221	0.176
merengue	merengue	0.688	0.519	0.442
merge	sameina	0.760	0.480	0.733
merger	samruna	0.592	0.490	0.642
meridian	meridian	0.510	0.324	0.558
meridional	meridional	0.365	0.290	0.600
meringue	meringue	0.625	0.580	0.411
merit	verðleika	0.854	0.500	0.722
meritorious	verðandi	0.781	0.618	0.855
mermaid	hafmeyjan	0.765	0.623	0.452
merriment	gleði	0.948	0.721	0.632
merry	gleðilegt	0.979	0.731	0.764
merrychristmas	NO TRANSLATION	0.888	0.510	0.536
mesa	Mesa	0.604	0.191	0.319
mescaline	meskalín	0.490	0.580	0.415
mesh	möskva	0.429	0.235	0.371
meshes	möskva	0.440	0.363	0.362
mesmerized	dásamlegt	0.520	0.552	0.421
mess	Drasl	0.143	0.843	0.273
message	skilaboð	0.650	0.391	0.415
messedup	NO TRANSLATION	0.333	0.615	0.358
messenger	boðberi	0.694	0.434	0.500
messiah	Messías	0.781	0.634	0.800
messy	sóðalegur	0.260	0.635	0.140
metabolic	efnaskipti	0.408	0.531	0.559
metabolism	Efnaskipti	0.698	0.509	0.555
metal	málmur	0.551	0.429	0.547
metallic	málmi	0.615	0.330	0.607
metallurgy	málmvinnslu	0.396	0.509	0.587
metamorphosis	myndbreyting	0.541	0.571	0.613
metaphor	myndlíking	0.562	0.280	0.470
metaphorical	metaforíska	0.500	0.412	0.480
metaphysical	metaphysical	0.630	0.573	0.686
metaphysics	málfræði	0.561	0.396	0.588
metastasis	metastasis	0.177	0.646	0.452
meteor	meteor	0.398	0.714	0.737
meteoric	meteoric	0.590	0.802	0.684
meteorite	loftsteinn	0.385	0.794	0.750
meteorological	veðurfræði	0.635	0.557	0.556
meteorology	veðurfræði	0.630	0.418	0.689
meter	metra	0.438	0.300	0.463
meth	meth	0.354	0.564	0.340
methadone	metadón	0.240	0.540	0.453
methane	metan	0.290	0.460	0.569
methanol	metanól	0.292	0.500	0.570
method	aðferð	0.640	0.275	0.698
methodical	methodical	0.663	0.360	0.745
methodology	aðferðafræði	0.664	0.327	0.745
meticulous	nákvæmlega	0.555	0.480	0.555
metime	metime	0.531	0.398	0.417
metric	mæligildi	0.519	0.248	0.573
metrical	metrical	0.521	0.375	0.482
metrology	mælifræði	0.531	0.432	0.439
metropolis	stórborg	0.656	0.625	0.779
metropolitan	stórborg	0.387	0.408	0.723
mettle	mettle	0.667	0.529	0.750
mew	mew	0.418	0.481	0.380
mezzanine	millihæð	0.479	0.427	0.404
mica	gljásteinn	0.531	0.250	0.314
mick	mick	0.449	0.451	0.382
micro	ör	0.500	0.270	0.250
microbe	örk	0.255	0.450	0.340
microbiology	örverufræði	0.571	0.378	0.560
microchip	microchip	0.551	0.358	0.432
microcosm	microcosm	0.500	0.500	0.520
microfilm	örfilm	0.469	0.352	0.412
microgram	míkrógrömm	0.448	0.286	0.355
micrometer	míkrómetra	0.573	0.358	0.394
micron	míkron	0.375	0.291	0.315
microphone	hljóðnemi	0.551	0.431	0.462
microscope	smásjá	0.531	0.330	0.464
microscopic	smásjá	0.360	0.327	0.433
microscopically	smásjá	0.623	0.370	0.412
microscopy	smásjá	0.500	0.339	0.455
microwave	örbylgjuofn	0.542	0.497	0.443
mid	miðjan	0.500	0.315	0.356
midair	midair	0.633	0.413	0.455
midday	hádegisverður	0.658	0.250	0.403
middle	miðjan	0.458	0.157	0.300
middleman	milliliður	0.500	0.404	0.452
middleweight	miðgildi	0.510	0.302	0.428
midget	midget	0.396	0.295	0.254
midland	Midland	0.521	0.402	0.456
midlife	miðlíf	0.594	0.244	0.473
midline	miðlínu	0.332	0.224	0.330
midnight	miðnætti	0.562	0.470	0.545
midshipman	Midshipman	0.469	0.615	0.785
midst	mitt	0.324	0.275	0.296
midsummer	miðnætti	0.781	0.480	0.492
midterm	miðjan tíma	0.427	0.337	0.425
midtown	Miðborg	0.479	0.442	0.538
midway	á miðri leið	0.459	0.316	0.304
midwife	ljósmóður	0.531	0.570	0.453
midwifery	ljósmóðurfræði	0.510	0.570	0.459
mien	NO TRANSLATION	0.500	0.352	0.447
miffed	miffed	0.204	0.726	0.429
mighty	sterkur	0.855	0.837	0.936
mignon	mignon	0.551	0.440	0.423
migraine	mígreni	0.135	0.783	0.318
migrate	flytja	0.415	0.580	0.454
migration	fólksflutninga	0.492	0.731	0.566
migratory	fólksflutninga	0.448	0.521	0.491
mike	mike	0.542	0.365	0.423
mil	NO TRANSLATION	0.534	0.388	0.347
mild	vægt	0.635	0.198	0.216
mildew	mildew	0.344	0.250	0.241
mildness	mildness	0.827	0.226	0.311
mile	Míla	0.521	0.417	0.456
mileage	mílufjöldi	0.510	0.458	0.562
milestone	áfangi	0.719	0.373	0.558
militant	militant	0.418	0.667	0.750
militants	militants	0.260	0.673	0.652
military	herinn	0.396	0.710	0.875
militia	militia	0.396	0.729	0.769
milk	mjólk	0.817	0.270	0.327
milkman	milkman	0.750	0.380	0.304
milkshake	milkshake	0.796	0.521	0.330
milky	mjólkandi	0.517	0.283	0.311
mill	Mill	0.531	0.382	0.347
millennium	árþúsund	0.573	0.398	0.760
milligram	milligram	0.429	0.217	0.302
millimeter	millimeter	0.427	0.177	0.360
million	milljónir	0.776	0.647	0.812
millionaire	milljónamæringur	0.917	0.755	0.850
millionth	milljón	0.635	0.528	0.611
millstone	Millstone	0.510	0.433	0.492
mime	mime	0.455	0.235	0.302
mimic	líkja eftir	0.557	0.587	0.391
mimicking	líkja eftir	0.316	0.433	0.364
mimicry	mimicry	0.420	0.337	0.472
mince	hakkað	0.417	0.529	0.378
mincemeat	kjötkál	0.396	0.435	0.358
mind	hugur	0.650	0.388	0.627
minded	hugarfar	0.656	0.394	0.627
mindful	huga	0.765	0.450	0.725
mindfulness	mindfulness	0.729	0.635	0.745
mindless	mindless	0.184	0.333	0.153
mine	minn	0.688	0.418	0.578
minefield	minefield	0.188	0.839	0.684
miner	Miner	0.408	0.594	0.644
mineral	steinefni	0.519	0.287	0.605
mineralogy	jarðfræði	0.551	0.408	0.545
mingle	blanda saman	0.561	0.480	0.434
mingled	blandaðist	0.521	0.392	0.357
mini	lítill	0.421	0.324	0.221
miniature	litlu	0.429	0.292	0.204
minibus	minibus	0.439	0.390	0.428
minim	NO TRANSLATION	0.518	0.208	0.138
minimal	lágmarks	0.448	0.147	0.206
minimize	lágmarka	0.360	0.236	0.311
minimized	lágmarkað	0.458	0.137	0.208
minimum	lágmarki	0.380	0.198	0.194
mining	námuvinnslu	0.633	0.598	0.554
minion	minion	0.490	0.430	0.167
minister	ráðherra	0.547	0.441	0.892
ministerial	ráðherra	0.571	0.519	0.660
ministry	ráðuneyti	0.510	0.346	0.717
minivan	minivan	0.592	0.356	0.452
mink	mink	0.560	0.515	0.430
minnow	minnow	0.541	0.367	0.364
minor	minniháttar	0.250	0.235	0.175
minority	minnihluti	0.310	0.332	0.211
minstrel	minstrel	0.458	0.541	0.397
mint	myntu	0.688	0.221	0.345
minty	minty	0.635	0.292	0.361
minuscule	lítillega	0.396	0.286	0.214
minute	mínútu	0.582	0.279	0.356
minutiae	minutiae	0.323	0.257	0.316
minx	minx	0.448	0.519	0.404
mir	NO TRANSLATION	0.417	0.339	0.355
miracle	kraftaverk	0.917	0.607	0.806
miracles	kraftaverk	0.922	0.735	0.692
miraculous	kraftaverk	0.875	0.706	0.812
mirage	mirage	0.546	0.487	0.562
mire	NO TRANSLATION	0.344	0.376	0.298
mirror	spegill	0.677	0.310	0.438
mirth	gleði	0.888	0.640	0.608
misappropriation	misnotkun	0.097	0.831	0.500
misbehave	misskilja	0.020	0.847	0.304
misbehavior	misbehavior	0.031	0.704	0.269
miscalculation	miscalculation	0.177	0.490	0.353
miscarriage	fósturláti	0.042	0.781	0.312
miscellaneous	ýmislegt	0.531	0.321	0.196
miscellany	miscellany	0.500	0.412	0.384
mischief	skaði	0.385	0.834	0.292
mischievous	skaðlegur	0.439	0.804	0.472
misconception	misskilningur	0.210	0.557	0.291
misconduct	misferli	0.061	0.667	0.304
misdemeanor	misdemeanor	0.210	0.640	0.364
misdirection	misdirection	0.131	0.710	0.281
miser	miser	0.208	0.633	0.311
miserable	ömurlegt	0.062	0.461	0.188
miserably	miserably	0.280	0.545	0.150
misery	eymd	0.146	0.378	0.158
misfire	misfire	0.153	0.453	0.200
misfit	misfit	0.173	0.500	0.393
misfortune	ógæfu	0.094	0.780	0.311
misguided	NO TRANSLATION	0.280	0.531	0.259
mishap	óhapp	0.071	0.654	0.227
misinformed	misinformed	0.156	0.567	0.250
misinterpretation	rangtúlkun	0.112	0.556	0.360
mislead	villast	0.167	0.765	0.412
misleading	villandi	0.070	0.660	0.272
misled	villt	0.177	0.606	0.353
mismanagement	mismanagement	0.094	0.520	0.295
mismatch	misræmi	0.250	0.459	0.282
mismatched	ósamræmi	0.250	0.557	0.302
misnomer	misnomer	0.296	0.528	0.284
misplace	misplace	0.229	0.461	0.191
misplaced	misplaced	0.247	0.450	0.324
misread	rangt lesið	0.115	0.558	0.315
misrepresent	misrepresent	0.198	0.542	0.418
misrepresentation	rangt framsetning	0.323	0.618	0.518
misrepresented	misrepresented	0.042	0.519	0.466
miss	ungfrú	0.573	0.490	0.408
missile	eldflaug	0.240	0.830	0.764
missiles	eldflaugar	0.070	0.922	0.830
missing	vantar	0.306	0.418	0.222
missingyou	NO TRANSLATION	0.260	0.471	0.377
mission	verkefni	0.765	0.633	0.870
missionary	trúboði	0.729	0.404	0.596
misspell	misspell	0.292	0.423	0.281
misstatement	rangar upplýsingar	0.302	0.547	0.221
missy	missy	0.521	0.480	0.333
mist	mistur	0.375	0.194	0.221
mistake	mistök	0.208	0.585	0.102
mistaken	skakkur	0.131	0.630	0.212
mister	mister	0.604	0.406	0.663
mistletoe	mistilteinn	0.542	0.470	0.324
mistreated	misþyrmt	0.010	0.792	0.200
mistress	húsfreyja	0.630	0.796	0.694
mistrial	mistrial	0.427	0.539	0.536
mistrust	vantraust	0.135	0.657	0.231
misty	Misty	0.427	0.451	0.278
misunderstand	misskilja	0.177	0.548	0.382
misunderstanding	misskilningur	0.112	0.618	0.284
misunderstood	misskilið	0.177	0.625	0.309
misuse	misnotkun	0.083	0.560	0.196
mite	mite	0.290	0.584	0.271
miter	miter	0.458	0.500	0.414
mitigate	draga úr	0.506	0.427	0.456
mitigating	draga úr	0.551	0.520	0.600
mitigation	draga úr	0.448	0.527	0.423
mitt	mitt	0.406	0.183	0.264
mitten	NO TRANSLATION	0.531	0.330	0.408
mitzvah	mitzvah	0.422	0.610	0.409
mix	blanda	0.542	0.490	0.472
mixed	blandað	0.510	0.346	0.444
mixedemotions	blendnar tilfinningar	0.440	0.673	0.430
mixer	hrærivél	0.562	0.500	0.556
mixture	blanda	0.546	0.360	0.481
mnemonic	mnemonic	0.531	0.480	0.452
moan	moan	0.357	0.735	0.352
moat	vötnum	0.398	0.380	0.314
mob	Mob	0.296	0.788	0.567
mobile	farsíma	0.615	0.569	0.481
mobility	hreyfanleiki	0.700	0.596	0.654
mobilization	virkjun	0.688	0.720	0.787
mobilize	virkja	0.604	0.684	0.727
mobster	mobster	0.188	0.870	0.638
mocha	mokka	0.500	0.396	0.311
mock	spotta	0.360	0.606	0.618
mocked	valdi	0.225	0.746	0.204
mockery	háði	0.094	0.806	0.181
mocking	mocking	0.082	0.755	0.394
mockingbird	mockingbird	0.513	0.337	0.423
mod	mod	0.458	0.367	0.384
modal	modal	0.592	0.264	0.461
modality	modality	0.633	0.404	0.527
mode	ham	0.531	0.185	0.367
model	líkan	0.607	0.388	0.723
modeler	modeler	0.500	0.510	0.730
modeling	líkan	0.684	0.404	0.490
modem	mótald	0.573	0.355	0.500
moderate	í meðallagi	0.582	0.190	0.453
moderate anticipation	í meðallagi	0.667	0.451	0.574
moderate disgust	meðallagi disgust	0.229	0.558	0.381
moderate negative	meðallagi neikvætt	0.177	0.500	0.306
moderate positive	í meðallagi jákvætt	0.896	0.453	0.753
moderate surprise	meðallagi óvart	0.776	0.663	0.637
moderate trust	í meðallagi traust	0.677	0.350	0.773
moderately	í meðallagi	0.604	0.264	0.500
moderating	meðhöndlun	0.667	0.402	0.783
moderation	hófi	0.531	0.240	0.453
moderator	stjórnandi	0.519	0.354	0.802
modern	nútíma	0.855	0.423	0.691
modernism	módernismi	0.760	0.553	0.703
modest	hóflega	0.760	0.130	0.412
modesty	hógværð	0.778	0.240	0.500
modicum	modicum	0.234	0.417	0.327
modifiable	modifiable	0.541	0.422	0.373
modification	breyting	0.480	0.520	0.625
modified	breytt	0.561	0.458	0.693
modify	breyta	0.458	0.584	0.625
modulate	móta	0.673	0.343	0.555
modulation	mótum	0.458	0.365	0.565
module	mát	0.582	0.388	0.571
modulus	modulus	0.622	0.304	0.481
mogul	mogul	0.510	0.652	0.865
moiety	hópur	0.378	0.343	0.454
moist	rakur	0.470	0.316	0.386
moisture	raki	0.406	0.398	0.327
moisturizer	rakakrem	0.750	0.280	0.386
molar	molar	0.544	0.426	0.350
molasses	melasses	0.490	0.269	0.286
mold	mold	0.330	0.274	0.402
molded	mótað	0.667	0.361	0.373
molding	mótun	0.552	0.308	0.546
moldy	moldy	0.235	0.387	0.250
mole	mól	0.436	0.377	0.352
molecular	sameinda	0.495	0.440	0.536
molecule	sameind	0.531	0.259	0.375
molest	molest	0.133	0.816	0.319
molestation	molestation	0.102	0.808	0.407
molester	molester	0.143	0.811	0.478
molten	bráðnar	0.417	0.490	0.339
mom	mamma	0.927	0.336	0.639
moment	augnablik	0.604	0.435	0.509
momentary	augnablik	0.562	0.271	0.330
momentous	mikilvægt	0.792	0.587	0.760
momentum	skriðþunga	0.663	0.750	0.688
momma	mamma	0.833	0.412	0.527
mommy	mamma	0.854	0.353	0.422
monad	Monad	0.510	0.482	0.451
monarch	konungur	0.583	0.559	0.870
