Word	Hebrew-iw	Valence	Arousal	Dominance
igneous	אדיש	0.469	0.466	0.517
ignite	לְהַצִית	0.458	0.785	0.675
ignition	הַצָתָה	0.365	0.720	0.657
ignorance	בּוּרוּת	0.153	0.417	0.209
ignorant	בור ועם הארץ	0.102	0.461	0.223
ignore	להתעלם	0.146	0.230	0.295
iguana	איגואנה	0.521	0.235	0.291
ihatespiders	NO TRANSLATION	0.245	0.611	0.420
ilk	NO TRANSLATION	0.438	0.451	0.455
ill	חולה	0.073	0.410	0.200
illegal	בִּלתִי חוּקִי	0.061	0.787	0.337
illegality	אִי חוּקִיוּת	0.094	0.635	0.427
illegally	באופן בלתי חוקי	0.133	0.788	0.402
illegible	לֹא קָרִיא	0.296	0.490	0.315
illegitimate	לֹא חוּקִי	0.184	0.644	0.302
illicit	לֹא חוּקִי	0.188	0.794	0.390
illiterate	בּוּר	0.120	0.410	0.151
illness	מַחֲלָה	0.098	0.717	0.211
illogical	לֹא הֶגיוֹנִי	0.208	0.630	0.251
illuminate	להאיר	0.905	0.646	0.782
illuminating	מאירה	0.949	0.613	0.773
illumination	תְאוּרָה	0.760	0.588	0.537
illuminator	מואר	0.770	0.566	0.718
illusion	אַשְׁלָיָה	0.562	0.490	0.387
illustrate	להמחיש	0.750	0.430	0.690
illustration	אִיוּר	0.740	0.441	0.640
illustrative	איור	0.771	0.452	0.647
illustrious	מְהוּלָל	0.673	0.550	0.741
ilovechristmas	NO TRANSLATION	0.885	0.590	0.525
iloveher	NO TRANSLATION	0.750	0.519	0.556
image	תמונה	0.653	0.241	0.453
imagery	תמונות	0.653	0.327	0.390
imaginable	ניתן להעלות על הדעת	0.613	0.529	0.596
imaginary	דִמיוֹנִי	0.560	0.424	0.310
imagination	דִמיוֹן	0.802	0.491	0.547
imaginative	דִמיוֹנִי	0.780	0.541	0.593
imagine	לדמיין	0.759	0.480	0.587
imagined	דמיוני	0.656	0.412	0.418
imaging	הַדמָיָה	0.724	0.394	0.482
imagining	מדמיין	0.765	0.458	0.545
imam	NO TRANSLATION	0.527	0.337	0.539
imbalance	חוֹסֶר אִזוּן	0.115	0.538	0.264
imbecile	מְטוּמטָם	0.082	0.569	0.260
imbedded	מוטבע	0.406	0.580	0.562
imissyou	NO TRANSLATION	0.480	0.608	0.344
imitate	לְחַקוֹת	0.469	0.561	0.336
imitated	חיקוי	0.333	0.391	0.442
imitation	חיקוי	0.406	0.592	0.343
immaculate	לְלֹא רְבָב	0.698	0.330	0.688
immaterial	לֹא מְשַׁנֵה	0.296	0.309	0.295
immature	לֹא מְפוּתָח	0.114	0.500	0.200
immaturity	חוֹסֶר בַּגרוּת	0.146	0.567	0.221
immeasurable	לְלֹא גְבוּל	0.510	0.539	0.712
immeasurably	ללא גבול	0.510	0.640	0.680
immediacy	דְחִיפוּת	0.635	0.630	0.627
immediate	מִיָדִי	0.656	0.548	0.716
immediately	מיד	0.552	0.780	0.707
immemorial	קָדוּם	0.327	0.469	0.454
immense	עצום	0.755	0.750	0.811
immerse	לִטבּוֹל	0.510	0.577	0.509
immersion	טְבִילָה	0.510	0.556	0.564
immigrant	מְהַגֵר	0.357	0.663	0.509
immigration	עלייה	0.390	0.667	0.454
imminent	מְמַשׁמֵשׁ וּבָא	0.490	0.784	0.643
immobile	דוֹמֵם	0.225	0.217	0.298
immoral	לֹא מוּסָרִי	0.143	0.622	0.385
immorality	אִי מוּסָרִיוּת	0.188	0.689	0.315
immortal	בן אלמוות	0.812	0.750	0.795
immortality	נֵצַח	0.688	0.635	0.861
immovable	בלתי מקובל	0.480	0.310	0.571
immune	חֲסִין	0.629	0.472	0.780
immunity	חֲסִינוּת	0.633	0.316	0.786
immunization	הִתחַסְנוּת	0.667	0.510	0.733
immutable	בלתי ניתן לשינוי	0.427	0.431	0.571
imp	שֵׁד	0.350	0.448	0.420
impact	פְּגִיעָה	0.469	0.884	0.776
impair	לִפְגוֹם	0.153	0.500	0.360
impaired	פגום	0.130	0.459	0.269
impairment	ירידת ערך	0.170	0.571	0.220
impart	לְהַקְנוֹת	0.521	0.441	0.694
impartial	אוֹבּיֶקְטִיבִי	0.531	0.406	0.685
impartiality	ללא משוא פנים	0.622	0.394	0.616
impassable	לֹא עָבִיר	0.342	0.458	0.553
impassioned	נִלהָב	0.740	0.780	0.802
impatience	חוֹסֶר סַבְלָנוּת	0.278	0.780	0.411
impatient	חסר סבלנות	0.250	0.708	0.429
impatiently	NO TRANSLATION	0.194	0.750	0.539
impeach	impeach	0.208	0.776	0.664
impeachment	ההדחה	0.163	0.735	0.694
impeccable	לְלֹא דוֹפִי	0.833	0.370	0.824
impede	לְעַכֵּב	0.271	0.510	0.604
impediment	מְנִיעָה	0.163	0.600	0.409
impelled	דחוי	0.604	0.741	0.690
impending	מְמַשׁמֵשׁ וּבָא	0.480	0.735	0.752
impenetrable	אָטוּם	0.531	0.577	0.839
imperative	הֶכְרֵחִי	0.625	0.647	0.708
imperceptible	בלתי מורגש	0.378	0.490	0.548
imperfect	לֹא מוּשׁלָם	0.173	0.527	0.202
imperfection	פְּגָם	0.190	0.567	0.321
imperfectly	לא מושלם	0.297	0.481	0.330
imperial	קֵיסָרִי	0.669	0.646	0.922
imperialist	NO TRANSLATION	0.284	0.786	0.833
impermeable	בִּלתִי חָדִיר	0.510	0.308	0.558
impermissible	בלתי-סביר	0.188	0.464	0.352
impersonal	לֹא אִישִׁי	0.316	0.356	0.472
impersonate	לְהִתְחַזוֹת	0.510	0.632	0.591
impersonation	התחזות	0.375	0.618	0.528
impersonator	מְגַלֵם	0.469	0.586	0.406
impertinence	חוּצפָּה	0.170	0.653	0.420
impertinent	חָצוּף	0.219	0.826	0.373
impervious	אָטוּם	0.582	0.408	0.536
impetuous	פָּזִיז	0.602	0.814	0.712
impetus	תְנוּפָה	0.521	0.740	0.635
implacable	בלתי נלאה	0.569	0.663	0.830
implant	לִשְׁתוֹל	0.429	0.510	0.588
implantation	הַשׁרָשָׁה	0.396	0.604	0.741
implanted	מושתל	0.347	0.500	0.679
implement	ליישם	0.720	0.573	0.792
implicate	לְסַבֵּך	0.250	0.670	0.434
implicated	מסובך	0.354	0.673	0.438
implication	מַשְׁמָעוּת	0.337	0.528	0.690
implied	מְרוּמָז	0.327	0.530	0.481
implore	לְהִתְחַנֵן	0.396	0.650	0.377
implosion	קריסה	0.412	0.724	0.547
imply	לִרְמוֹז	0.542	0.670	0.533
impolite	לא מנומס	0.167	0.590	0.282
import	יְבוּא	0.615	0.480	0.623
importance	חֲשִׁיבוּת	0.750	0.580	0.864
important	חָשׁוּב	0.827	0.630	0.836
importation	יְבוּא	0.625	0.500	0.733
impose	לֶאֱכוֹף	0.503	0.721	0.745
imposing	מְפוֹאָר	0.392	0.731	0.836
imposition	הַטָלָה	0.357	0.604	0.618
impossibility	אִי אֶפְשָׁרוּת	0.170	0.625	0.306
impossible	בלתי אפשרי	0.153	0.510	0.407
impostor	מִתחַזֶה	0.135	0.704	0.442
impotence	עֲקָרוּת	0.198	0.689	0.224
impotent	עָקָר	0.146	0.587	0.333
impound	לְהַחרִים	0.230	0.587	0.583
impoverished	מְרוֹשָׁשׁ	0.125	0.311	0.203
impracticable	לֹא מַעֲשִׂי	0.398	0.549	0.381
impractical	לֹא מַעֲשִׂי	0.160	0.373	0.291
impregnable	בלתי חדיר	0.378	0.549	0.667
impregnate	לְהַספִּיג	0.510	0.721	0.655
impress	לְהַרְשִׁים	0.816	0.744	0.895
impressed	התרשמנו	0.806	0.770	0.429
impression	רוֹשֶׁם	0.684	0.557	0.577
impressionable	ניתן להתרשם	0.827	0.720	0.645
impressive	מרשימים	0.781	0.830	0.873
imprint	חוֹתָם	0.615	0.574	0.685
imprison	לִכלוֹא	0.112	0.829	0.545
imprisoned	כָּלוּא	0.032	0.717	0.302
imprisonment	מַאֲסָר	0.133	0.630	0.471
improbable	לֹא סָבִיר	0.097	0.412	0.439
impromptu	מְאוּלתָר	0.541	0.729	0.415
improper	לֹא מַתְאִים	0.229	0.520	0.259
impropriety	בלתי הולמת	0.133	0.591	0.389
improve	לְשַׁפֵּר	0.833	0.528	0.815
improved	מְשׁוּפָּר	0.919	0.480	0.679
improvement	הַשׁבָּחָה	0.786	0.500	0.611
improves	משפר	0.929	0.625	0.727
improving	שיפור	0.911	0.510	0.682
improvisation	אִלתוּר	0.631	0.812	0.529
improvise	לְאַלתֵר	0.646	0.650	0.519
improvised	מְאוּלתָר	0.610	0.673	0.443
imprudent	לֹא זָהִיר	0.170	0.676	0.265
impudence	חוּצפָּה	0.214	0.500	0.472
impudent	חָצוּף	0.302	0.604	0.462
impulse	דַחַף	0.530	0.840	0.611
impulsive	אימפולסיבי	0.365	0.864	0.607
impunity	פְּטוֹר מִעוֹנֶשׁ	0.313	0.721	0.602
impure	טָמֵא	0.260	0.560	0.208
impurity	טוּמאָה	0.173	0.546	0.306
imputation	זקיפה	0.333	0.654	0.621
imtryingtosleep	NO TRANSLATION	0.438	0.363	0.385
inability	חוסר יכולת	0.150	0.529	0.250
inaccessible	לא נגיש	0.083	0.585	0.446
inaccurate	לֹא מְדוּיָק	0.135	0.450	0.250
inaction	אִי פֵּעוּלָה	0.323	0.225	0.325
inactivate	לנטרל	0.245	0.240	0.415
inactivation	אִיוּן פְּעוּלָה	0.198	0.260	0.220
inactive	לֹא פָּעִיל	0.271	0.167	0.159
inactivity	חוֹסֶר פְּעִילוּת	0.135	0.143	0.227
inadequacy	אִי כְּשִׁירוּת	0.286	0.500	0.297
inadequate	לָקוּי	0.122	0.450	0.223
inadequateness	חוסר נכונות	0.240	0.529	0.316
inadmissible	לֹא קָבִיל	0.188	0.636	0.389
inadvertent	בטעות	0.365	0.368	0.286
inadvertently	בטעות	0.302	0.541	0.549
inaffable	NO TRANSLATION	0.388	0.518	0.455
inalienable	שֶׁאֵין לְהַעבִירוֹ	0.437	0.459	0.608
inane	מְטוּפָּשׁ	0.271	0.350	0.268
inanimate	דוֹמֵם	0.281	0.143	0.224
inapplicable	לֹא יָשִׂים	0.281	0.402	0.330
inappropriate	לא ראוי	0.135	0.542	0.353
inattention	אי הקשבה	0.208	0.433	0.188
inaudible	לא נשמע	0.280	0.398	0.358
inaugural	הפתיחה	0.684	0.567	0.608
inaugurate	לַחֲנוֹך	0.781	0.582	0.800
inauguration	חֲנוּכָּה	0.847	0.712	0.769
inborn	מוּטבָּע	0.590	0.288	0.546
inbound	נכנס	0.531	0.388	0.538
inbred	שֶׁמִלֵדָה	0.397	0.520	0.473
incalculable	בלתי ניתנת לחישוב	0.449	0.620	0.679
incandescent	זוֹהֵר	0.354	0.612	0.621
incantation	כִּשׁוּף	0.439	0.632	0.548
incapable	לֹא מְסוּגָל	0.156	0.529	0.155
incapacity	נָכוּת	0.052	0.500	0.217
incarceration	כְּלִיאָה	0.100	0.800	0.397
incarnate	בגלגול	0.552	0.651	0.593
incase	במקרה	0.580	0.196	0.365
incendiary	מַבעִיר	0.281	0.810	0.598
incense	קְטוֹרֶת	0.698	0.275	0.328
incensed	מתרעם	0.338	0.643	0.392
incentive	תַמרִיץ	0.812	0.618	0.718
inception	הַתחָלָה	0.604	0.425	0.561
incessant	תְמִידִי	0.438	0.760	0.544
incessantly	ללא הרף	0.417	0.765	0.606
incest	גילוי עריות	0.073	0.853	0.491
incestuous	עריות	0.188	0.736	0.442
inch	אִינְטשׁ	0.481	0.327	0.300
incidence	שכיחות	0.417	0.527	0.429
incident	תַקרִית	0.084	0.662	0.482
incidental	מִקרִי	0.281	0.610	0.404
incidentally	אַגַב	0.479	0.500	0.500
incineration	שריפה	0.229	0.787	0.470
incinerator	כִּבשָׁן	0.250	0.643	0.591
incipient	הֶתחֵלִי	0.442	0.382	0.430
incision	חֲתָך	0.240	0.663	0.558
incisive	נוֹקֵב	0.380	0.602	0.545
incite	לְהַסִית	0.449	0.736	0.642
incitement	הֲסָתָה	0.302	0.943	0.598
inclement	סַגרִירִי	0.260	0.676	0.616
inclination	יֵצֶר	0.378	0.490	0.538
incline	שְׁפִיָה	0.490	0.423	0.345
inclined	נוֹטֶה	0.469	0.347	0.402
include	לִכלוֹל	0.729	0.449	0.702
included	כלול	0.760	0.402	0.570
including	לְרַבּוֹת	0.700	0.378	0.518
inclusion	הַכלָלָה	0.774	0.404	0.712
inclusive	כָּלוּל	0.604	0.420	0.564
incognito	גלישה בסתר	0.610	0.490	0.446
incoherent	מְבוּלבָּל	0.122	0.612	0.250
income	הַכנָסָה	0.750	0.510	0.728
incoming	נִכנָס	0.660	0.509	0.596
incomparable	שאין דומה לו	0.625	0.577	0.670
incompatible	שאינו עולה בקנה אחד	0.196	0.500	0.310
incompetence	חוֹסֶר כִּשָׁרוֹן	0.077	0.551	0.208
incompetent	חֲסַר יְכוֹלֶת	0.133	0.566	0.239
incomplete	לא שלם	0.153	0.370	0.205
incompletely	חלקית	0.344	0.442	0.232
incompleteness	פְּגִימוּת	0.271	0.451	0.234
incomprehensible	לא מובן	0.250	0.550	0.344
inconceivable	בלתי נתפס	0.198	0.552	0.561
inconclusive	לא חד משמעי	0.153	0.442	0.340
incongruous	לֹא מַתְאִים	0.177	0.504	0.343
inconsequential	חֲסַר חֲשִׁיבוּת	0.250	0.480	0.345
inconsiderate	לֹא מִתְחַשֵׁב	0.224	0.519	0.423
inconsistency	חוסר עקביות	0.125	0.480	0.314
inconsistent	לא עקבי	0.271	0.431	0.295
inconspicuous	לֹא בּוֹלֵט	0.604	0.214	0.368
incontinence	חוסר שליטה	0.150	0.598	0.272
inconvenience	אי נוחות	0.063	0.667	0.291
inconvenient	לֹא נוֹחַ	0.224	0.610	0.375
incorporate	בע"מ	0.745	0.612	0.571
incorporation	הִתגַשְׁמוּת	0.573	0.404	0.768
incorrect	לֹא נָכוֹן	0.140	0.569	0.255
incorrigible	לְלֹא תַקָנָה	0.130	0.667	0.500
increase	להגביר	0.810	0.657	0.886
increased	מוּגדָל	0.684	0.660	0.773
incredible	מדהים	0.857	0.796	0.902
incredulous	סַפקָנִי	0.286	0.510	0.269
increment	תוֹסֶפֶת	0.684	0.637	0.750
incriminate	לְהַפְלִיל	0.188	0.810	0.416
incriminating	מפליל	0.133	0.788	0.500
incrimination	הַפלָלָה	0.152	0.865	0.545
incubation	דְגִירָה	0.461	0.490	0.397
incubator	מַדגֵרָה	0.510	0.435	0.405
incubus	אינקובוס	0.458	0.529	0.482
incumbent	מוּטָל	0.396	0.540	0.565
incur	לִיטוֹל עַל עַצמוֹ	0.312	0.667	0.495
incurable	חָשׁוּך מַרפֵּא	0.104	0.667	0.255
incursion	פְּלִישָׁה	0.552	0.830	0.719
indebted	אֲסִיר תוֹדָה	0.138	0.698	0.275
indecency	חוסר הגינות	0.135	0.670	0.491
indecent	מְגוּנֶה	0.083	0.683	0.240
indecision	הַסְסָנוּת	0.184	0.480	0.196
indecisive	הססני	0.271	0.420	0.190
indefensible	בלתי ניתן להגנה	0.173	0.647	0.484
indefinite	סְתָמִי	0.448	0.292	0.296
indelible	בלתי ניתן לביטוי	0.490	0.337	0.591
indemnification	שיפוי	0.521	0.490	0.770
indemnify	לְפַצוֹת	0.449	0.548	0.613
indemnity	שִׁפּוּי	0.470	0.607	0.692
indent	לְשַׁנֵן	0.479	0.346	0.379
indentation	הֲזָחָה	0.374	0.500	0.349
indenture	-	0.434	0.382	0.636
independence	עצמאות	0.896	0.663	0.911
independent	עצמאי	0.885	0.440	0.872
indescribable	לֹא יְתוּאָר	0.448	0.529	0.648
indestructible	בלתי ניתנת להריסה	0.772	0.731	0.853
indeterminate	לֹא קָבוּעַ	0.360	0.402	0.322
index	אינדקס	0.448	0.268	0.342
indicate	מצביע	0.594	0.350	0.676
indicating	המציין	0.745	0.339	0.555
indication	סִימָן	0.719	0.432	0.750
indicative	מְעִיד עַל	0.510	0.510	0.591
indicator	אינדיקטור	0.573	0.451	0.670
indice	NO TRANSLATION	0.469	0.377	0.541
indict	לְהַאֲשִׁים	0.188	0.731	0.458
indictment	כתב אישום	0.245	0.745	0.577
indie	אינדי	0.479	0.368	0.430
indifference	אֲדִישׁוּת	0.265	0.417	0.299
indifferent	אָדִישׁ	0.396	0.157	0.250
indigenous	יְלִידִי	0.500	0.509	0.552
indigent	נִצרָך	0.156	0.481	0.223
indigestion	קִלקוּל קֵבָה	0.204	0.610	0.182
indignant	מִתרַעֵם	0.260	0.600	0.423
indignation	כַּעַס	0.173	0.778	0.431
indignity	הַשׁפָּלָה	0.167	0.500	0.306
indigo	אִינדִיגוֹ	0.514	0.365	0.473
indirect	עקיף	0.385	0.402	0.330
indiscreet	לא-חכם	0.177	0.587	0.342
indiscretion	חוסר שיקול דעת	0.265	0.637	0.390
indispensable	חִיוּנִי	0.710	0.449	0.802
indisposed	ללא הפרעה	0.122	0.519	0.206
indistinct	לֹא בָּרוּר	0.255	0.340	0.360
indistinguishable	בלתי נבדל	0.346	0.458	0.548
individual	אִישִׁי	0.627	0.327	0.533
individuality	אִינְדִיבִידוּאָלִיוּת	0.612	0.469	0.527
indivisible	בלתי ניתן לחלוקה	0.646	0.398	0.580
indoctrination	אינדוקטרינציה	0.327	0.657	0.698
indolent	עָצֵל	0.177	0.381	0.259
indomitable	לְלֹא חַת	0.458	0.800	0.830
indoor	מקורה	0.615	0.245	0.347
induce	לְהַשְׁרוֹת	0.257	0.606	0.684
induced	induced	0.397	0.471	0.491
inducement	תַמרִיץ	0.647	0.765	0.685
induction	הַשׁרָאָה	0.392	0.593	0.627
indulge	לְפַנֵק	0.833	0.716	0.669
indulgence	פינוק	0.479	0.490	0.517
indulgent	וַתְרָנִי	0.560	0.481	0.529
industrial	תַעֲשִׂיָתִי	0.469	0.600	0.875
industrialist	תעשיין	0.562	0.633	0.843
industrious	חָרוּץ	0.720	0.537	0.791
industry	תַעֲשִׂיָה	0.650	0.447	0.836
ineffable	בַּל יְתוּאַר	0.551	0.577	0.585
ineffective	לֹא יָעִיל	0.093	0.422	0.094
ineffectual	לֹא יָעִיל	0.163	0.412	0.200
inefficiency	אִי יְעִילוּת	0.092	0.466	0.181
inefficient	לֹא יָעִיל	0.190	0.460	0.173
inelastic	גמיש	0.396	0.426	0.385
ineligible	לא זכאי ל	0.143	0.377	0.457
inept	שׁטוּתִי	0.156	0.418	0.209
ineptitude	חוסר אונים	0.177	0.471	0.250
inequality	אי שיוויון	0.122	0.575	0.259
inequitable	לא שוויונית	0.281	0.519	0.373
inert	אָדִישׁ	0.323	0.180	0.319
inertia	אִינֶרצִיָה	0.344	0.288	0.322
inevitable	בִּלתִי נִמנַע	0.316	0.419	0.623
inexact	לֹא מְדוּיָק	0.153	0.459	0.170
inexcusable	בלתי נסלח	0.271	0.582	0.546
inexhaustible	לֹא אַכזָב	0.602	0.541	0.643
inexpensive	לא יקר	0.694	0.414	0.260
inexperience	חוֹסֶר נִסָיוֹן	0.208	0.614	0.151
inexperienced	לֹא מְנוּסֶה	0.281	0.473	0.231
inexplicable	שֶׁאֵין לְהַסבִּירוֹ	0.224	0.635	0.443
inexpressible	בלתי ניתן לביטוי	0.198	0.608	0.364
infallibility	אי התאמה	0.583	0.663	0.764
infallible	וַדָאִי	0.776	0.687	0.809
infamous	מְתוֹעָב	0.146	0.580	0.472
infamy	קָלוֹן	0.177	0.676	0.421
infancy	יַנקוּת	0.750	0.399	0.370
infant	תִינוֹק	0.802	0.431	0.328
infanticide	רצח תינוקות	0.167	0.856	0.443
infantile	יַלדוּתִי	0.604	0.382	0.259
infantry	חֵיל הַרַגלִים	0.531	0.684	0.791
infarct	אוטם	0.080	0.846	0.386
infatuated	מוּקסָם	0.729	0.764	0.417
infatuation	אַהֲבָה עִוֶרֶת	0.844	0.745	0.530
infeasible	בלתי אפשרי	0.245	0.472	0.236
infect	לְהַדבִּיק	0.102	0.777	0.424
infection	הַדבָּקָה	0.083	0.735	0.407
infectious	מִדַבֵּק	0.142	0.760	0.422
infer	לְהַסִיק	0.449	0.490	0.453
inference	הסקה	0.359	0.479	0.398
inferential	הסקרני	0.426	0.451	0.455
inferior	נָחוּת	0.260	0.254	0.106
inferiority	נְחִיתוּת	0.177	0.430	0.205
infernal	שְׂטָנִי	0.083	0.837	0.571
inferno	תוֹפֶת	0.051	0.857	0.463
infertile	עָקָר	0.274	0.458	0.255
infertility	אִי פּוּרִיוּת	0.170	0.664	0.328
infestation	שְׁרִיצָה	0.256	0.776	0.527
infidel	כּוֹפֵר	0.177	0.740	0.404
infidelity	בְּגִידָה	0.062	0.777	0.392
infield	המגרש	0.510	0.571	0.438
infiltrate	לְהִסְתַנֵן	0.408	0.745	0.587
infiltration	הִסתַנְנוּת	0.265	0.792	0.536
infinite	אֵינְסוֹף	0.724	0.583	0.735
infinitely	ללא הרף	0.688	0.643	0.829
infinitesimal	זָעִיר מְאֹד	0.388	0.472	0.496
infinity	אינסוף	0.516	0.459	0.805
infirm	חוֹלֶה	0.115	0.521	0.210
infirmary	מרפאה	0.500	0.438	0.517
infirmity	חוּלשָׁה	0.094	0.482	0.252
inflammation	דַלֶקֶת	0.146	0.765	0.423
inflammatory	דַלַקתִי	0.177	0.642	0.404
inflatable	מתנפחים	0.510	0.510	0.400
inflate	לְנַפֵּחַ	0.305	0.569	0.462
inflated	מְנוּפָּח	0.303	0.431	0.617
inflation	אִינפלַצִיָה	0.219	0.792	0.508
inflection	נטיה	0.385	0.635	0.377
inflict	לִגרוֹם	0.167	0.760	0.609
infliction	גרימת נזק	0.302	0.722	0.571
inflorescence	תִפרַחַת	0.459	0.344	0.412
influence	לְהַשְׁפִּיעַ	0.622	0.663	0.824
influential	בעל השפעה	0.899	0.688	0.944
influenza	שַׁפַעַת	0.271	0.718	0.321
influx	זֶרֶם	0.622	0.635	0.575
info	מידע	0.750	0.330	0.642
infomercial	אינפורמטיבי	0.427	0.462	0.555
inform	לְהוֹדִיעַ	0.723	0.582	0.679
informal	לא רשמי	0.480	0.398	0.441
informant	המודיע	0.604	0.612	0.719
information	מֵידָע	0.765	0.370	0.711
informative	אִינפוֹרמָטִיבִי	0.812	0.419	0.741
informed	מעודכן	0.543	0.298	0.617
informer	מוֹדִיעַ	0.521	0.578	0.580
infraction	הפרה	0.245	0.660	0.471
infrared	אינפרא אדום	0.469	0.588	0.526
infrastructure	תַשׁתִית	0.604	0.460	0.694
infrequent	נָדִיר	0.312	0.377	0.192
infrequently	לְעִתִים רְחוֹקוֹת	0.204	0.250	0.327
infringement	הֲפָרָה	0.153	0.800	0.481
infuriate	לְהַרְתִיחַ	0.102	0.934	0.596
infuriated	נרגז	0.073	0.930	0.510
infuriates	מקומם	0.135	0.913	0.627
infuriating	מקוממת	0.139	0.870	0.509
infuse	להשרות	0.380	0.705	0.589
infused	חדור	0.385	0.473	0.546
infuser	infuser	0.469	0.433	0.536
infusion	אִינפוּזִיָה	0.583	0.365	0.453
ingenious	מְחוּכָּם	0.760	0.690	0.891
ingenuity	שְׁנִינוּת	0.708	0.590	0.868
ingest	לְהֵבָּלַע	0.510	0.559	0.473
ingestion	הַכנָסַת מָזוֹן	0.429	0.612	0.512
ingot	מְטִיל	0.688	0.444	0.615
ingrained	עָמוֹק	0.531	0.490	0.712
ingrate	כְּפוּי טוֹבָה	0.235	0.606	0.327
ingredient	מַרכִּיב	0.792	0.373	0.451
ingress	חדירה	0.601	0.366	0.736
inhabit	לָגוּר	0.656	0.378	0.556
inhabitant	תוֹשָׁב	0.604	0.356	0.519
inhabited	מְאוּכלָס	0.667	0.361	0.510
inhabiting	המאכלסים	0.458	0.440	0.598
inhalation	שְׁאִיפָה	0.510	0.613	0.464
inhale	לִשְׁאוֹף	0.427	0.340	0.492
inhaler	מַשׁאֵף	0.408	0.500	0.349
inherent	טָבוּעַ	0.562	0.439	0.480
inherit	לָרֶשֶׁת	0.745	0.546	0.694
inheritance	יְרוּשָׁה	0.900	0.565	0.798
inhibit	לעכב	0.167	0.479	0.447
inhibition	עַכָּבָּה	0.265	0.392	0.534
inhibitor	מעכב	0.281	0.450	0.471
inhospitable	לא נעים	0.265	0.531	0.395
inhuman	לֹא אֶנוֹשִׁי	0.107	0.660	0.492
inhumane	לֹא אֶנוֹשִׁי	0.104	0.587	0.402
inhumanity	אַכְזָרִיוּת	0.143	0.540	0.405
inimaginable	NO TRANSLATION	0.542	0.636	0.534
inimical	עוֹיֵן	0.260	0.823	0.556
inimitable	לא ייאמן	0.571	0.413	0.790
iniquity	עָווֹן	0.219	0.567	0.425
initial	התחלתי	0.583	0.314	0.539
initiate	לִיזוֹם	0.719	0.480	0.553
initiated	יָזוּם	0.760	0.490	0.650
initiation	ייזום	0.698	0.529	0.527
initiative	יוזמה	0.833	0.615	0.768
inject	לְהַזרִיק	0.406	0.735	0.596
injection	זריקה	0.281	0.741	0.518
injunction	צַו מְנִיעָה	0.281	0.422	0.519
injure	לִפְגוֹעַ	0.177	0.710	0.364
injured	נִפגָע	0.083	0.680	0.302
injuring	פציעה	0.073	0.790	0.245
injurious	פּוֹגֵעַ	0.177	0.759	0.366
injury	פציעה	0.049	0.769	0.287
injustice	אי צדק	0.082	0.755	0.444
ink	דְיוֹ	0.471	0.408	0.235
inkling	רֶמֶז	0.448	0.551	0.570
inland	פְּנִים הָאָרֶץ	0.510	0.417	0.423
inlay	שִׁבּוּץ	0.406	0.531	0.565
inlet	מִפרָצוֹן	0.646	0.378	0.466
inmate	אָסִיר	0.235	0.663	0.398
inn	אכסניה	0.660	0.284	0.475
innards	קְרָבַיִם	0.302	0.480	0.400
innate	מוּטבָּע	0.490	0.400	0.521
inner	פְּנִימִי	0.551	0.216	0.443
innermost	פנימי	0.583	0.500	0.510
innerpeace	NO TRANSLATION	0.714	0.318	0.551
inning	קָדֶנצִיָה	0.602	0.315	0.520
innings	סיבובים	0.573	0.487	0.443
innkeeper	פּוּנדְקַאִי	0.578	0.224	0.472
innocence	חפות מפשע	0.802	0.260	0.307
innocent	חף מפשע	0.729	0.206	0.340
innocently	בתמימות	0.776	0.250	0.302
innocuous	לֹא מַזִיק	0.510	0.321	0.172
innovate	לְחַדֵשׁ	0.898	0.872	0.750
innovation	חדשנות	0.949	0.680	0.890
innovative	חדשני	0.880	0.640	0.830
innuendo	רְמִיזַת זִלזוּל	0.467	0.670	0.463
innumerable	אינספור	0.667	0.445	0.704
inoculation	הַרכָּבָה	0.333	0.570	0.598
inoperable	בלתי ניתן לפעולה	0.184	0.422	0.304
inoperative	לֹא פּוֹעֵל	0.138	0.425	0.273
inordinate	מוּפרָז	0.163	0.630	0.330
inorganic	דוֹמֵם	0.385	0.345	0.282
input	קֶלֶט	0.643	0.337	0.527
inquest	חֲקִירָה	0.458	0.569	0.721
inquire	לברר	0.583	0.519	0.363
inquirer	חוקר	0.573	0.598	0.776
inquiring	שואל	0.479	0.510	0.500
inquiry	חֲקִירָה	0.541	0.420	0.536
inquisitive	סקרן	0.301	0.637	0.615
inquisitor	אינקוויזיטור	0.385	0.873	0.642
insane	מטורף	0.062	0.670	0.265
insanity	אי שפיות	0.098	0.847	0.337
insatiable	שֶׁאֵינוֹ יוֹדֵעַ שׂוֹבַע	0.375	0.656	0.558
inscription	כְּתוֹבֶת	0.592	0.422	0.542
inscrutable	בלתי ניתנת לזיהוי	0.459	0.541	0.613
insect	חֶרֶק	0.276	0.633	0.242
insecticide	קוטל חרקים	0.188	0.598	0.430
insecure	לֹא בָּטוּחַ	0.114	0.538	0.132
insecurity	חוסר ביטחון	0.094	0.647	0.350
insemination	הַזרָעָה	0.542	0.644	0.622
insensitive	לֹא רָגִישׁ	0.219	0.471	0.302
inseparable	בלתי ניתנים להפרדה	0.700	0.520	0.571
insert	לְהַכנִיס	0.481	0.552	0.519
inserted	מוּכנָס	0.479	0.402	0.476
insertion	הַכנָסָה	0.521	0.520	0.565
