Word	Mongolian-mn	Valence	Arousal	Dominance
housewife	гэрийн эзэгтэй	0.656	0.361	0.449
housework	гэрийн ажил	0.484	0.413	0.342
housing	орон сууц	0.776	0.304	0.591
hovel	хошуу	0.333	0.296	0.322
hover	hover	0.510	0.431	0.404
hovercraft	нисэх онгоц	0.541	0.654	0.588
howl	Хөөх	0.357	0.646	0.407
howsoever	ямар ч байсан	0.459	0.309	0.345
hoy	NO TRANSLATION	0.583	0.298	0.471
hub	төв	0.479	0.399	0.433
hubby	Найз залуу	0.548	0.435	0.430
huckleberry	huckleberry	0.600	0.279	0.296
huddle	Хөөх	0.604	0.509	0.445
hue	hue	0.507	0.416	0.417
huff	huff	0.388	0.491	0.315
huffy	huffy	0.420	0.616	0.375
hug	тэврэх	0.908	0.427	0.548
huge	асар том	0.573	0.625	0.783
hugger	hugger	0.520	0.480	0.412
huggy	дэмий юм	0.854	0.429	0.451
hugs	тэврэлт	0.980	0.422	0.600
hulk	Хулк	0.460	0.740	0.750
hull	их бие	0.542	0.265	0.353
hum	hum	0.490	0.296	0.276
human	хүн	0.767	0.314	0.605
humane	хүмүүнлэг	0.800	0.370	0.580
humanitarian	хүмүүнлэг	0.786	0.317	0.709
humanities	хүн төрөлхтөн	0.729	0.325	0.677
humanity	хүн төрөлхтөн	0.750	0.360	0.727
humankind	хүн төрөлхтөн	0.885	0.394	0.714
humanoid	хуягтай хүн	0.521	0.462	0.491
humanrights	NO TRANSLATION	0.792	0.559	0.730
humble	даруухан байна	0.867	0.236	0.483
humbled	даруухан байна	0.280	0.618	0.198
humbly	даруухнаар	0.771	0.194	0.370
humbug	humbug	0.219	0.622	0.456
humdrum	humdrum	0.269	0.246	0.353
humid	чийглэг	0.375	0.324	0.366
humidity	чийгшил	0.464	0.373	0.367
humiliate	ичиж байна	0.052	0.714	0.275
humiliated	ичиж зовсон	0.104	0.712	0.216
humiliating	ичиж байна	0.062	0.716	0.279
humiliation	доромжлол	0.048	0.712	0.310
humility	даруу байдал	0.740	0.118	0.444
hummer	hummer	0.510	0.622	0.589
hummingbird	калибр шувуу	0.750	0.370	0.273
humongous	humongous	0.378	0.538	0.536
humor	хошин шог	0.890	0.633	0.462
humored	хөгжилтэй	0.854	0.657	0.545
humorist	humorist	0.958	0.790	0.607
humorous	хөгжилтэй	0.906	0.616	0.665
hump	hump	0.296	0.462	0.250
humpback	humpback	0.235	0.346	0.247
hunch	зангилаа	0.561	0.630	0.567
hunchback	бємбєрцєг	0.208	0.390	0.259
hundred	зуун	0.604	0.370	0.406
hundredth	зуу зуун	0.427	0.368	0.466
hunger	өлсгөлөн	0.083	0.554	0.328
hungry	өлссөн	0.083	0.690	0.254
hunk	галзуу	0.438	0.375	0.361
hunks	хошууч	0.417	0.453	0.482
hunky	Хэцүү	0.469	0.571	0.438
hunt	ан хийдэг	0.327	0.806	0.588
hunter	анчин	0.292	0.817	0.817
hunting	ан хийх	0.448	0.713	0.714
huntress	анчин	0.357	0.717	0.765
hurdle	саад бэрхшээл	0.198	0.682	0.434
hurl	хаях	0.316	0.745	0.574
hurrah	Хов жив	0.802	0.740	0.500
hurricane	хар салхи	0.177	0.958	0.787
hurricanes	далайн шуурга	0.286	0.898	0.784
hurried	Яарав	0.314	0.806	0.393
hurry	Яарав уу	0.422	0.735	0.481
hurryup	NO TRANSLATION	0.473	0.791	0.555
hurt	хортой	0.062	0.773	0.291
hurtful	хор хөнөөлтэй	0.104	0.680	0.463
hurting	зовж байна	0.153	0.778	0.221
husband	нөхөр	0.771	0.500	0.655
husbandry	мал аж ахуй	0.643	0.473	0.445
hush	Хөөх	0.471	0.231	0.312
hushed	Нөхөрлөл	0.292	0.194	0.272
husk	NO TRANSLATION	0.378	0.173	0.147
husky	husky	0.630	0.450	0.490
hussy	hussy	0.219	0.594	0.384
hustle	шуурга	0.406	0.661	0.427
hustler	hustler	0.260	0.821	0.627
hut	овоохой	0.633	0.270	0.375
hutch	Хост	0.385	0.453	0.520
hyacinth	hyacinth	0.372	0.360	0.342
hybrid	хайбрид	0.500	0.365	0.570
hydra	Гидра	0.406	0.598	0.534
hydrant	цорго	0.570	0.413	0.367
hydrate	гидролизм	0.610	0.367	0.547
hydraulic	гидравлик	0.522	0.398	0.596
hydraulics	гидравлик	0.500	0.530	0.588
hydrocephalus	гидроцефалус	0.286	0.629	0.393
hydrodynamics	гидродинамик	0.552	0.582	0.664
hydrogen	устөрөгч	0.469	0.303	0.554
hydrographic	гидрографик	0.490	0.396	0.642
hydrology	гидрологи	0.500	0.380	0.509
hydrophobia	hydrophobia	0.323	0.784	0.351
hydroponics	Гидропоник	0.500	0.549	0.500
hyena	hyena	0.396	0.719	0.464
hygiene	эрүүл ахуй	0.781	0.287	0.537
hygienic	эрүүл ахуй	0.719	0.245	0.702
hygienist	эрүүл ахуйч	0.698	0.389	0.682
hymen	гормон	0.469	0.651	0.457
hymn	дуулал	0.735	0.292	0.634
hype	Сонирхолтой	0.510	0.500	0.586
hyped	гипотензи	0.708	0.582	0.679
hyper	hyper	0.542	0.616	0.640
hyperactive	hyperactive	0.500	0.921	0.660
hyperbole	hyperbole	0.469	0.521	0.542
hyperspace	hyperspace	0.510	0.623	0.755
hypertension	гипертензи	0.133	0.784	0.427
hypertrophy	гипертрофи	0.312	0.625	0.413
hyperventilate	hyperventilate	0.347	0.729	0.556
hyperventilating	Эсэргүүцэх	0.164	0.802	0.625
hyphen	hyphen	0.552	0.356	0.381
hypnosis	hypnosis	0.417	0.410	0.546
hypnotic	ховсдом	0.571	0.560	0.569
hypnotist	гипнозист	0.490	0.455	0.627
hypnotize	hypnotize	0.469	0.507	0.508
hypnotized	Гипотензи	0.449	0.434	0.380
hypochondriac	hypochondriac	0.194	0.588	0.333
hypocrisy	хоёр нүүр гаргах	0.156	0.523	0.370
hypocrite	хоёр нүүртэй	0.082	0.673	0.306
hypocritical	хоёр нүүртэй	0.048	0.740	0.415
hypodermic	hypodermic	0.240	0.441	0.445
hypothalamus	гипоталамус	0.593	0.427	0.539
hypothermia	гипотерми	0.184	0.620	0.301
hypothesis	таамаглал	0.552	0.370	0.509
hypothetical	таамаглал	0.480	0.367	0.361
hysterectomy	hysterectomy	0.178	0.660	0.470
hysteria	генератор	0.224	0.906	0.482
hysterical	Уучлаарай	0.290	0.942	0.398
ibuprofen	ibuprofen	0.448	0.427	0.504
ice	мөс	0.440	0.265	0.219
ice tea	мөстэй цай	0.771	0.337	0.336
iceberg	мөсөн уул	0.344	0.540	0.648
icebox	icebox	0.560	0.222	0.370
icebreaker	icebreaker	0.571	0.545	0.848
iced	мөстэй	0.564	0.482	0.339
icing	мөстөлт	0.688	0.452	0.411
icky	icky	0.357	0.510	0.342
icon	дүрс	0.549	0.349	0.415
iconic	зургийн цомог	0.583	0.537	0.700
iconography	зургийн цомог	0.602	0.382	0.653
icy	мөсөн	0.684	0.375	0.345
id	id	0.449	0.344	0.391
idea	санаа	0.750	0.538	0.704
ideal	тохиромжтой	0.802	0.437	0.736
idealism	үзэл баримтлал	0.635	0.436	0.689
idealist	Idealist	0.816	0.510	0.802
idealistic	idealistic	0.812	0.469	0.755
identical	ижилхэн	0.635	0.380	0.527
identically	ижилхэн	0.667	0.427	0.487
identification	таних	0.714	0.451	0.692
identify	тодорхойлох	0.635	0.480	0.667
identity	таних	0.663	0.360	0.780
ideology	үзэл суртал	0.573	0.344	0.692
idiocy	idiocy	0.112	0.635	0.137
idiom	хэллэг	0.520	0.337	0.445
idiomatic	хэллэг	0.531	0.429	0.516
idiot	тэнэг	0.086	0.567	0.113
idiotic	тэнэг	0.104	0.620	0.170
idiots	idiots	0.143	0.600	0.144
idle	идэвхгүй байна	0.179	0.167	0.112
idleness	залхуурал	0.308	0.330	0.228
idler	залхуурагч	0.200	0.304	0.194
idol	idol	0.684	0.805	0.853
idolatry	шүтээн шүтэх	0.365	0.571	0.625
idolizing	idolizing	0.676	0.712	0.643
idyllic	газарзүй	0.571	0.394	0.593
iffy	iffy	0.380	0.442	0.333
ifonly	Хэрэв зөвхөн	0.406	0.250	0.255
igloo	igloo	0.569	0.302	0.345
igneous	галт уул	0.469	0.466	0.517
ignite	гал асаах	0.458	0.785	0.675
ignition	гал асаах	0.365	0.720	0.657
ignorance	мунхаглал	0.153	0.417	0.209
ignorant	мунхаг	0.102	0.461	0.223
ignore	үл тоомсорлох	0.146	0.230	0.295
iguana	iguana	0.521	0.235	0.291
ihatespiders	NO TRANSLATION	0.245	0.611	0.420
ilk	NO TRANSLATION	0.438	0.451	0.455
ill	өвчтэй	0.073	0.410	0.200
illegal	хууль бус	0.061	0.787	0.337
illegality	хууль бусаар	0.094	0.635	0.427
illegally	хууль бусаар	0.133	0.788	0.402
illegible	ойлгомжгүй	0.296	0.490	0.315
illegitimate	хууль бус	0.184	0.644	0.302
illicit	хууль бус	0.188	0.794	0.390
illiterate	Бичиг үсэг мэддэггүй	0.120	0.410	0.151
illness	өвчин	0.098	0.717	0.211
illogical	Үгүй	0.208	0.630	0.251
illuminate	гэрэлтэх	0.905	0.646	0.782
illuminating	гэрэлтүүлэх	0.949	0.613	0.773
illumination	гэрэлтүүлэг	0.760	0.588	0.537
illuminator	гэрэлтүүлэгч	0.770	0.566	0.718
illusion	хуурмаг	0.562	0.490	0.387
illustrate	тайлбарлах	0.750	0.430	0.690
illustration	зураглал	0.740	0.441	0.640
illustrative	тайлбар толь	0.771	0.452	0.647
illustrious	алдартай	0.673	0.550	0.741
ilovechristmas	NO TRANSLATION	0.885	0.590	0.525
iloveher	NO TRANSLATION	0.750	0.519	0.556
image	зураг	0.653	0.241	0.453
imagery	зураглал	0.653	0.327	0.390
imaginable	төсөөлж болно	0.613	0.529	0.596
imaginary	төсөөлөл	0.560	0.424	0.310
imagination	төсөөлөл	0.802	0.491	0.547
imaginative	төсөөлөлтэй	0.780	0.541	0.593
imagine	төсөөлөөд үз дээ	0.759	0.480	0.587
imagined	төсөөлсөн	0.656	0.412	0.418
imaging	дүрслэл	0.724	0.394	0.482
imagining	төсөөлөх	0.765	0.458	0.545
imam	NO TRANSLATION	0.527	0.337	0.539
imbalance	тэнцвэргүй байдал	0.115	0.538	0.264
imbecile	Хөөрхий	0.082	0.569	0.260
imbedded	Оруулсан	0.406	0.580	0.562
imissyou	NO TRANSLATION	0.480	0.608	0.344
imitate	дууриах	0.469	0.561	0.336
imitated	дууриаж байна	0.333	0.391	0.442
imitation	дууриамал	0.406	0.592	0.343
immaculate	цэвэрхэн	0.698	0.330	0.688
immaterial	материаллаг бус	0.296	0.309	0.295
immature	хөгжилтэй	0.114	0.500	0.200
immaturity	төлөвшөөгүй	0.146	0.567	0.221
immeasurable	хэмжээлшгүй	0.510	0.539	0.712
immeasurably	хэмжээлшгүй их	0.510	0.640	0.680
immediacy	яаралтай	0.635	0.630	0.627
immediate	яаралтай	0.656	0.548	0.716
immediately	тэр даруй	0.552	0.780	0.707
immemorial	Эрт цагт	0.327	0.469	0.454
immense	маш их	0.755	0.750	0.811
immerse	Усанд орох	0.510	0.577	0.509
immersion	услах	0.510	0.556	0.564
immigrant	цагаач	0.357	0.663	0.509
immigration	цагаачлал	0.390	0.667	0.454
imminent	удахгүй болно	0.490	0.784	0.643
immobile	хөдөлгөөнгүй	0.225	0.217	0.298
immoral	ёс суртахуунгүй	0.143	0.622	0.385
immorality	ёс суртахуунгүй байдал	0.188	0.689	0.315
immortal	үхэшгүй юм	0.812	0.750	0.795
immortality	үхэшгүй байдал	0.688	0.635	0.861
immovable	Үл хөдлөх хөрөнгө	0.480	0.310	0.571
immune	дархлаа	0.629	0.472	0.780
immunity	дархлаа	0.633	0.316	0.786
immunization	дархлаажуулалт	0.667	0.510	0.733
immutable	өөрчлөгдөхгүй	0.427	0.431	0.571
imp	imp	0.350	0.448	0.420
impact	нөлөө	0.469	0.884	0.776
impair	хорогдох	0.153	0.500	0.360
impaired	үнэ цэнэ буурсан	0.130	0.459	0.269
impairment	үнэ цэнийн бууралт	0.170	0.571	0.220
impart	хүргэх	0.521	0.441	0.694
impartial	шударга	0.531	0.406	0.685
impartiality	хараат бус байдал	0.622	0.394	0.616
impassable	Үгүй	0.342	0.458	0.553
impassioned	сэтгэлээр унасан	0.740	0.780	0.802
impatience	тэвчээргүй байдал	0.278	0.780	0.411
impatient	тэвчээргүй	0.250	0.708	0.429
impatiently	NO TRANSLATION	0.194	0.750	0.539
impeach	impeach	0.208	0.776	0.664
impeachment	эрх чєлєєг нь таслан зогсоох	0.163	0.735	0.694
impeccable	гайхалтай	0.833	0.370	0.824
impede	саад болж байна	0.271	0.510	0.604
impediment	саад бэрхшээл	0.163	0.600	0.409
impelled	түлхсэн	0.604	0.741	0.690
impending	ирэх болно	0.480	0.735	0.752
impenetrable	ойлгогдохгүй байна	0.531	0.577	0.839
imperative	зайлшгүй шаардлагатай	0.625	0.647	0.708
imperceptible	үл мэдэгдэх	0.378	0.490	0.548
imperfect	төгс бус	0.173	0.527	0.202
imperfection	төгс бус	0.190	0.567	0.321
imperfectly	төгс бус	0.297	0.481	0.330
imperial	эзэн хаан	0.669	0.646	0.922
imperialist	NO TRANSLATION	0.284	0.786	0.833
impermeable	үл нэвтрэх	0.510	0.308	0.558
impermissible	үл зөвшөөрөгдөх	0.188	0.464	0.352
impersonal	бие даасан байдал	0.316	0.356	0.472
impersonate	дуурайж байна	0.510	0.632	0.591
impersonation	дууриамал	0.375	0.618	0.528
impersonator	дууриамал хүн	0.469	0.586	0.406
impertinence	хээл хахууль	0.170	0.653	0.420
impertinent	ойлгомжгүй байна	0.219	0.826	0.373
impervious	нэвтрүүлэхгүй	0.582	0.408	0.536
impetuous	Даруухан	0.602	0.814	0.712
impetus	түлхэх	0.521	0.740	0.635
implacable	ямар ч боломжгүй	0.569	0.663	0.830
implant	суулгац	0.429	0.510	0.588
implantation	суулгац	0.396	0.604	0.741
implanted	суулгасан	0.347	0.500	0.679
implement	хэрэгжүүлэх	0.720	0.573	0.792
implicate	Үүнд нөлөөлж байна	0.250	0.670	0.434
implicated	татан оролцуулсан	0.354	0.673	0.438
implication	Үр дагавар	0.337	0.528	0.690
implied	ойлгомжтой байна	0.327	0.530	0.481
implore	гуйж байна	0.396	0.650	0.377
implosion	Аппликаци	0.412	0.724	0.547
imply	гэсэн утгатай	0.542	0.670	0.533
impolite	эелдэг бус	0.167	0.590	0.282
import	импорт	0.615	0.480	0.623
importance	чухал ач холбогдолтой	0.750	0.580	0.864
important	чухал юм	0.827	0.630	0.836
importation	импортлох	0.625	0.500	0.733
impose	хүчингүй болгох	0.503	0.721	0.745
imposing	ногдуулах	0.392	0.731	0.836
imposition	ногдуулалт	0.357	0.604	0.618
impossibility	боломжгүй юм	0.170	0.625	0.306
impossible	боломжгүй	0.153	0.510	0.407
impostor	худалч	0.135	0.704	0.442
impotence	сул дорой байдал	0.198	0.689	0.224
impotent	бэлгийн хүчирхийлэл	0.146	0.587	0.333
impound	хуримтлуулах	0.230	0.587	0.583
impoverished	ядуу зүдүү	0.125	0.311	0.203
impracticable	боломжгүй байна	0.398	0.549	0.381
impractical	бодит бус	0.160	0.373	0.291
impregnable	нэвтлэх боломжгүй	0.378	0.549	0.667
impregnate	нэвтлэх	0.510	0.721	0.655
impress	сэтгэгдэл	0.816	0.744	0.895
impressed	гайхширсан	0.806	0.770	0.429
impression	сэтгэгдэл	0.684	0.557	0.577
impressionable	мэдрэмжтэй	0.827	0.720	0.645
impressive	Сэтгэл хөдөлгөм	0.781	0.830	0.873
imprint	дардас	0.615	0.574	0.685
imprison	хорих газар	0.112	0.829	0.545
imprisoned	шоронд хоригдсон	0.032	0.717	0.302
imprisonment	шоронд хорих	0.133	0.630	0.471
improbable	Үгүй	0.097	0.412	0.439
impromptu	аягүй бол	0.541	0.729	0.415
improper	зохисгүй юм	0.229	0.520	0.259
impropriety	зохисгүй байдал	0.133	0.591	0.389
improve	сайжруулах	0.833	0.528	0.815
improved	сайжруулсан	0.919	0.480	0.679
improvement	сайжруулах	0.786	0.500	0.611
improves	сайжирна	0.929	0.625	0.727
improving	сайжруулах	0.911	0.510	0.682
improvisation	improvisation	0.631	0.812	0.529
improvise	тохирох	0.646	0.650	0.519
improvised	improvised	0.610	0.673	0.443
imprudent	зоригтой	0.170	0.676	0.265
impudence	гомдол	0.214	0.500	0.472
impudent	гунигтай	0.302	0.604	0.462
impulse	импульс	0.530	0.840	0.611
impulsive	түлхэлт	0.365	0.864	0.607
impunity	ял шийтгэлгүй байх	0.313	0.721	0.602
impure	цэвэр бус	0.260	0.560	0.208
impurity	бохирдол	0.173	0.546	0.306
imputation	хүлцэл	0.333	0.654	0.621
imtryingtosleep	NO TRANSLATION	0.438	0.363	0.385
inability	чаддаггүй	0.150	0.529	0.250
inaccessible	хүрч чадахгүй	0.083	0.585	0.446
inaccurate	буруу	0.135	0.450	0.250
inaction	үйлдэлгүй	0.323	0.225	0.325
inactivate	идэвхгүй болгох	0.245	0.240	0.415
inactivation	идэвхгүй байдал	0.198	0.260	0.220
inactive	идэвхигүй	0.271	0.167	0.159
inactivity	идэвхгүй байдал	0.135	0.143	0.227
inadequacy	зохисгүй юм	0.286	0.500	0.297
inadequate	хангалтгүй байна	0.122	0.450	0.223
inadequateness	зохисгүй байдал	0.240	0.529	0.316
inadmissible	хүлээн зөвшөөрөхгүй	0.188	0.636	0.389
inadvertent	санамсаргүй бус	0.365	0.368	0.286
inadvertently	санамсаргүйгээр	0.302	0.541	0.549
inaffable	NO TRANSLATION	0.388	0.518	0.455
inalienable	салшгүй	0.437	0.459	0.608
inane	inane	0.271	0.350	0.268
inanimate	амьгүй байна	0.281	0.143	0.224
inapplicable	хэрэглэх боломжгүй	0.281	0.402	0.330
inappropriate	зохисгүй	0.135	0.542	0.353
inattention	мэдэгдэлгүй	0.208	0.433	0.188
inaudible	Дууг сонсдоггүй	0.280	0.398	0.358
inaugural	нээлтийн ёслол	0.684	0.567	0.608
inaugurate	нээлтээ хийлээ	0.781	0.582	0.800
inauguration	нээлтийн ёслол	0.847	0.712	0.769
inborn	төрсөн	0.590	0.288	0.546
inbound	дотогшоо	0.531	0.388	0.538
inbred	inbred	0.397	0.520	0.473
incalculable	тооцоолоогүй байна	0.449	0.620	0.679
incandescent	улайсч байна	0.354	0.612	0.621
incantation	шившлэг	0.439	0.632	0.548
incapable	чаддаггүй	0.156	0.529	0.155
incapacity	чадваргүй	0.052	0.500	0.217
incarceration	шоронд хорих	0.100	0.800	0.397
incarnate	биеэ даасан	0.552	0.651	0.593
incase	Хэрэв	0.580	0.196	0.365
incendiary	шатаж байна	0.281	0.810	0.598
incense	утлага	0.698	0.275	0.328
incensed	уурлав	0.338	0.643	0.392
incentive	урамшуулал	0.812	0.618	0.718
inception	Эхлэл	0.604	0.425	0.561
incessant	байнга зогсдог	0.438	0.760	0.544
incessantly	ээлжит бус	0.417	0.765	0.606
incest	Гэмт хэрэг	0.073	0.853	0.491
incestuous	урамшуулал	0.188	0.736	0.442
inch	инч	0.481	0.327	0.300
incidence	тохиолдол	0.417	0.527	0.429
incident	үйл явдал	0.084	0.662	0.482
incidental	хамааралтай	0.281	0.610	0.404
incidentally	санамсаргүйгээр	0.479	0.500	0.500
incineration	шатаах	0.229	0.787	0.470
incinerator	шатаах зуух	0.250	0.643	0.591
incipient	шинээр үүссэн	0.442	0.382	0.430
incision	зүсэлт хийх	0.240	0.663	0.558
incisive	ярвигтай	0.380	0.602	0.545
incite	шоолох	0.449	0.736	0.642
incitement	урамшуулал	0.302	0.943	0.598
inclement	булш	0.260	0.676	0.616
inclination	сонирхол	0.378	0.490	0.538
incline	налуу	0.490	0.423	0.345
inclined	налуу	0.469	0.347	0.402
include	оруулах	0.729	0.449	0.702
included	оруулсан	0.760	0.402	0.570
including	үүнд орно	0.700	0.378	0.518
inclusion	оруулах	0.774	0.404	0.712
inclusive	хамааралтай	0.604	0.420	0.564
incognito	нууц үг	0.610	0.490	0.446
incoherent	ойлгомжгүй байна	0.122	0.612	0.250
income	орлого	0.750	0.510	0.728
incoming	ирж байгаа	0.660	0.509	0.596
incomparable	юутай ч зүйрлэшгүй	0.625	0.577	0.670
incompatible	нийцгүй байна	0.196	0.500	0.310
incompetence	чадваргүй	0.077	0.551	0.208
incompetent	чадваргүй	0.133	0.566	0.239
incomplete	бүрэн бус	0.153	0.370	0.205
incompletely	бүрэн бус	0.344	0.442	0.232
incompleteness	бүрэн бус байдал	0.271	0.451	0.234
incomprehensible	ойлгомжгүй	0.250	0.550	0.344
inconceivable	ойлгомжгүй	0.198	0.552	0.561
inconclusive	итгэл үнэмшилгүй байна	0.153	0.442	0.340
incongruous	Нөхцөл байдал	0.177	0.504	0.343
inconsequential	ач холбогдолгүй	0.250	0.480	0.345
inconsiderate	үл тоомсорлох	0.224	0.519	0.423
inconsistency	зөрчилдөөн	0.125	0.480	0.314
inconsistent	нийцэхгүй байна	0.271	0.431	0.295
inconspicuous	дур сонирхолгүй	0.604	0.214	0.368
incontinence	хоргүйжүүлэх	0.150	0.598	0.272
inconvenience	таагүй байдал	0.063	0.667	0.291
inconvenient	тохиромжгүй	0.224	0.610	0.375
incorporate	хувь нийлүүлэх	0.745	0.612	0.571
incorporation	оруулах	0.573	0.404	0.768
incorrect	буруу байна	0.140	0.569	0.255
incorrigible	бүү алд	0.130	0.667	0.500
increase	өсөлт	0.810	0.657	0.886
increased	нэмэгдсэн	0.684	0.660	0.773
incredible	гайхалтай	0.857	0.796	0.902
incredulous	итгэмээргүй юм	0.286	0.510	0.269
increment	нэмэгдэл	0.684	0.637	0.750
incriminate	ялзарч байна	0.188	0.810	0.416
incriminating	яллах	0.133	0.788	0.500
incrimination	довтолгоо	0.152	0.865	0.545
incubation	инкубаци	0.461	0.490	0.397
incubator	инкубатор	0.510	0.435	0.405
incubus	инкубус	0.458	0.529	0.482
incumbent	үүрэг хүлээнэ	0.396	0.540	0.565
incur	төлөх	0.312	0.667	0.495
incurable	эдгэршгүй	0.104	0.667	0.255
incursion	халдлага	0.552	0.830	0.719
indebted	өртэй	0.138	0.698	0.275
indecency	Худалгүй байдал	0.135	0.670	0.491
indecent	зохисгүй юм	0.083	0.683	0.240
indecision	Шударга бус байдал	0.184	0.480	0.196
indecisive	Тодорхой бус	0.271	0.420	0.190
indefensible	боломжгүй	0.173	0.647	0.484
indefinite	тодорхой бус	0.448	0.292	0.296
indelible	арилдаггүй	0.490	0.337	0.591
indemnification	нөхөн төлбөр олгох	0.521	0.490	0.770
indemnify	нөхөн төлөх	0.449	0.548	0.613
indemnity	нөхөн олговор	0.470	0.607	0.692
indent	Догол	0.479	0.346	0.379
indentation	араг яс	0.374	0.500	0.349
indenture	оруулах	0.434	0.382	0.636
independence	бие даасан байдал	0.896	0.663	0.911
independent	бие даасан	0.885	0.440	0.872
indescribable	тайлбаргүй байна	0.448	0.529	0.648
indestructible	үлдэгдэл	0.772	0.731	0.853
indeterminate	тодорхой бус	0.360	0.402	0.322
index	индекс	0.448	0.268	0.342
indicate	заана уу	0.594	0.350	0.676
indicating	заана	0.745	0.339	0.555
indication	заалт	0.719	0.432	0.750
indicative	үзүүлэлт	0.510	0.510	0.591
indicator	үзүүлэлт	0.573	0.451	0.670
indice	NO TRANSLATION	0.469	0.377	0.541
indict	яллах	0.188	0.731	0.458
indictment	ял сонсгол	0.245	0.745	0.577
indie	indie	0.479	0.368	0.430
indifference	хайхрамжгүй байдал	0.265	0.417	0.299
indifferent	хайхрамжгүй	0.396	0.157	0.250
indigenous	уугуул	0.500	0.509	0.552
indigent	ядуу зүдүү	0.156	0.481	0.223
indigestion	ходоодны хордлого	0.204	0.610	0.182
indignant	Уурлаж байна	0.260	0.600	0.423
indignation	уур хилэн	0.173	0.778	0.431
indignity	андуурч байна	0.167	0.500	0.306
indigo	indigo	0.514	0.365	0.473
indirect	шууд бус	0.385	0.402	0.330
indiscreet	indiscreet	0.177	0.587	0.342
indiscretion	ялзрал	0.265	0.637	0.390
indispensable	зайлшгүй шаардлагатай	0.710	0.449	0.802
indisposed	тайван бус	0.122	0.519	0.206
indistinct	тодорхой бус	0.255	0.340	0.360
indistinguishable	ялгаагүй	0.346	0.458	0.548
individual	хувь хүн	0.627	0.327	0.533
individuality	хувь хүний	0.612	0.469	0.527
indivisible	хуваагдашгүй	0.646	0.398	0.580
indoctrination	индексжүүлэх	0.327	0.657	0.698
indolent	хайхрамжгүй	0.177	0.381	0.259
indomitable	инээдтэй	0.458	0.800	0.830
indoor	дотроо	0.615	0.245	0.347
induce	Суулгах	0.257	0.606	0.684
induced	өдөөгдсөн	0.397	0.471	0.491
inducement	өдөөлт	0.647	0.765	0.685
induction	индукц	0.392	0.593	0.627
indulge	Үргэлжлүүлээрэй	0.833	0.716	0.669
indulgence	хайхрамжгүй байдал	0.479	0.490	0.517
indulgent	хүлцэнгүй	0.560	0.481	0.529
industrial	аж үйлдвэр	0.469	0.600	0.875
industrialist	үйлдвэрийн ажилтан	0.562	0.633	0.843
industrious	хөдөлмөр эрхэлдэг	0.720	0.537	0.791
industry	аж үйлдвэр	0.650	0.447	0.836
ineffable	ойлгомжгүй байна	0.551	0.577	0.585
ineffective	үр дүнгүй байна	0.093	0.422	0.094
ineffectual	үр дүнгүй	0.163	0.412	0.200
inefficiency	үр ашиггүй байдал	0.092	0.466	0.181
inefficient	үр ашиггүй	0.190	0.460	0.173
inelastic	мэдрэмжгүй	0.396	0.426	0.385
ineligible	эрхгүй	0.143	0.377	0.457
inept	чаддаггүй	0.156	0.418	0.209
ineptitude	итгэлгүй байдал	0.177	0.471	0.250
inequality	тэгш бус байдал	0.122	0.575	0.259
inequitable	тэгш бус	0.281	0.519	0.373
inert	инерц	0.323	0.180	0.319
inertia	инерци	0.344	0.288	0.322
inevitable	зайлшгүй	0.316	0.419	0.623
inexact	тодорхойгүй байна	0.153	0.459	0.170
inexcusable	Үгүй	0.271	0.582	0.546
inexhaustible	шавхагдашгүй юм	0.602	0.541	0.643
inexpensive	хямд	0.694	0.414	0.260
inexperience	туршлагагүй	0.208	0.614	0.151
inexperienced	туршлагагүй	0.281	0.473	0.231
inexplicable	ойлгомжгүй	0.224	0.635	0.443
inexpressible	илэрхийлэх боломжгүй	0.198	0.608	0.364
infallibility	алдаа дутагдал	0.583	0.663	0.764
infallible	алдаатай	0.776	0.687	0.809
infamous	аймшигтай	0.146	0.580	0.472
infamy	буруугүй	0.177	0.676	0.421
infancy	Нялхас	0.750	0.399	0.370
infant	нялх хүүхэд	0.802	0.431	0.328
infanticide	нялхас алах	0.167	0.856	0.443
infantile	нялх хүүхэд	0.604	0.382	0.259
infantry	явган цэрэг	0.531	0.684	0.791
infarct	infarct	0.080	0.846	0.386
infatuated	Хөөрхий	0.729	0.764	0.417
infatuation	Хөөрхий	0.844	0.745	0.530
infeasible	ойлгомжгүй	0.245	0.472	0.236
infect	халдвар авах	0.102	0.777	0.424
infection	халдвар авах	0.083	0.735	0.407
infectious	халдвартай	0.142	0.760	0.422
infer	Өөрөөр хэлбэл	0.449	0.490	0.453
inference	дүгнэлт	0.359	0.479	0.398
inferential	дүгнэлт хийдэг	0.426	0.451	0.455
inferior	Доод муу	0.260	0.254	0.106
inferiority	доод хэмжээ	0.177	0.430	0.205
infernal	infernal	0.083	0.837	0.571
inferno	inferno	0.051	0.857	0.463
infertile	үргүйдэл	0.274	0.458	0.255
infertility	үргүйдэл	0.170	0.664	0.328
infestation	Халдваргүйжүүлэлт	0.256	0.776	0.527
infidel	үл итгэгч	0.177	0.740	0.404
infidelity	үнэнч бус	0.062	0.777	0.392
infield	infield	0.510	0.571	0.438
infiltrate	нэвтлэх	0.408	0.745	0.587
infiltration	нэвчилт	0.265	0.792	0.536
infinite	хязгааргүй	0.724	0.583	0.735
