Word	Romanian-ro	Valence	Arousal	Dominance
limited	limitat	0.229	0.273	0.380
limitless	nelimitat	0.688	0.574	0.655
limo	limuzina	0.760	0.367	0.667
limousine	limuzină	0.638	0.531	0.640
limp	moale	0.393	0.440	0.172
lin	lin	0.416	0.362	0.343
line	linia	0.541	0.180	0.353
lineage	descendență	0.633	0.465	0.721
lineal	descinzând direct	0.521	0.170	0.474
linear	liniar	0.646	0.250	0.472
linebacker	linebacker	0.490	0.660	0.543
lined	căptușită	0.438	0.367	0.424
linen	lenjerie	0.656	0.323	0.286
liner	căptușeală	0.469	0.396	0.400
lines	linii	0.542	0.317	0.330
lineup	alinia	0.635	0.427	0.638
linger	persista	0.480	0.311	0.412
lingerie	lenjerie	0.543	0.463	0.308
lingering	încetinitor	0.630	0.643	0.667
lingo	jargon	0.448	0.364	0.447
lingual	lingval	0.500	0.457	0.315
linguini	linguini	0.625	0.338	0.355
linguist	lingvist	0.583	0.330	0.634
linguistic	lingvistic	0.646	0.351	0.618
linguistics	lingvistică	0.552	0.390	0.618
lining	căptuşeală	0.571	0.363	0.472
link	legătură	0.427	0.264	0.491
linoleum	linoleum	0.510	0.378	0.402
lint	puf	0.388	0.173	0.214
lion	leu	0.532	0.717	0.682
lip	buze	0.541	0.348	0.443
liposuction	Liposucție	0.292	0.684	0.464
lipstick	ruj	0.653	0.429	0.306
liquefaction	lichefiere	0.449	0.622	0.535
liquefied	lichefiate	0.562	0.463	0.342
liqueur	lichior	0.670	0.612	0.389
liquid	lichid	0.562	0.235	0.307
liquidate	lichida	0.327	0.654	0.664
liquidation	lichidare	0.417	0.625	0.649
liquidator	lichidator	0.354	0.663	0.750
liquidity	lichiditate	0.688	0.529	0.534
liquor	băutură	0.603	0.702	0.433
lira	NO TRANSLATION	0.530	0.255	0.370
lisp	foșnet	0.365	0.412	0.288
list	listă	0.528	0.260	0.402
listen	asculta	0.771	0.360	0.445
listener	ascultător	0.667	0.375	0.403
listenting	NO TRANSLATION	0.640	0.377	0.491
listing	listare	0.438	0.273	0.432
listless	apatic	0.219	0.350	0.231
listneing	NO TRANSLATION	0.531	0.370	0.433
litany	litanie	0.510	0.365	0.482
liter	litru	0.573	0.208	0.382
literacy	alfabetizare	0.730	0.306	0.638
literal	literal	0.570	0.353	0.574
literally	literalmente	0.571	0.353	0.673
literary	literar	0.719	0.324	0.667
literature	literatură	0.708	0.250	0.598
lithe	sprinten	0.656	0.596	0.602
lithium	litiu	0.417	0.330	0.430
lithograph	litografie	0.551	0.327	0.481
lithography	litografie	0.561	0.346	0.473
lithology	litologia	0.519	0.378	0.525
lithosphere	litosferă	0.473	0.333	0.689
litigant	împricinat	0.219	0.577	0.696
litigate	se judeca	0.260	0.819	0.712
litigation	litigiu	0.388	0.760	0.602
litigator	litigator	0.429	0.630	0.732
litigious	litigios	0.360	0.736	0.632
litter	gunoi	0.255	0.551	0.110
little	mic	0.385	0.160	0.213
littlethings	Lucruri mărunte	0.740	0.311	0.242
littoral	litoral	0.551	0.387	0.452
liturgy	liturghie	0.490	0.327	0.568
live	Trăi	0.880	0.673	0.676
livelife	trăiește viața	0.792	0.624	0.664
livelihood	trai	0.698	0.481	0.721
lively	plin de viață	0.847	0.810	0.642
liven	anima	0.708	0.713	0.673
liver	ficat	0.439	0.290	0.385
livery	livrea	0.510	0.417	0.429
livestock	șeptel	0.729	0.420	0.519
livid	livid	0.469	0.788	0.490
living	viaţă	0.865	0.608	0.727
lizard	şopârlă	0.378	0.375	0.324
llama	lamă	0.490	0.590	0.519
lml	LML	0.448	0.519	0.385
load	sarcină	0.385	0.417	0.528
loader	încărcător	0.562	0.377	0.686
loaf	pâine	0.755	0.250	0.277
loafer	haimana	0.235	0.396	0.254
loam	lut	0.469	0.373	0.673
loan	împrumut	0.552	0.480	0.352
loath	potrivnic	0.135	0.714	0.445
loathe	repugna	0.094	0.730	0.429
loathful	loathful	0.068	0.740	0.358
loathing	silă	0.083	0.796	0.368
loathsome	scârbos	0.120	0.694	0.343
lobby	lobby	0.625	0.427	0.472
lobbyist	lobbyist	0.385	0.527	0.565
lobe	lob	0.459	0.364	0.352
lobotomy	lobotomie	0.296	0.598	0.402
lobster	homar	0.571	0.356	0.291
local	local	0.656	0.269	0.452
locale	locale	0.449	0.387	0.352
locality	localitate	0.582	0.336	0.464
localization	localizare	0.552	0.330	0.545
localize	localiza	0.520	0.481	0.679
localized	localizate	0.490	0.460	0.621
locate	localiza	0.583	0.520	0.786
location	Locație	0.615	0.375	0.546
locator	Locator	0.480	0.426	0.614
loch	lac	0.449	0.235	0.425
lock	blocare	0.271	0.585	0.600
locker	dulăpior	0.439	0.300	0.393
locket	medalion	0.615	0.327	0.616
locksmith	lacăt	0.510	0.417	0.491
lockup	incuia	0.240	0.602	0.617
loco	loco	0.306	0.774	0.226
locomotion	locomoţie	0.470	0.600	0.595
locomotive	locomotivă	0.542	0.650	0.721
locust	salcâm	0.479	0.412	0.417
lode	NO TRANSLATION	0.365	0.423	0.318
lodge	depune	0.656	0.356	0.474
lodger	chiriaş	0.480	0.448	0.304
lodging	locuință	0.713	0.286	0.527
loft	pod	0.510	0.378	0.343
lofty	elevat	0.755	0.306	0.569
log	Buturuga	0.591	0.371	0.395
logarithm	logaritm	0.520	0.439	0.551
logarithmic	logaritmică	0.469	0.458	0.606
logic	logică	0.646	0.245	0.819
logical	logic	0.805	0.400	0.648
logistics	logistică	0.633	0.500	0.730
logo	siglă	0.469	0.296	0.565
logotype	logotip	0.480	0.337	0.509
loin	NO TRANSLATION	0.420	0.298	0.379
lollipop	acadea	0.628	0.483	0.357
lone	singuratic	0.198	0.204	0.367
loneliness	singurătate	0.146	0.182	0.222
lonely	singuratic	0.250	0.226	0.238
loner	singuratic	0.347	0.152	0.221
lonesome	singur	0.281	0.213	0.336
long	lung	0.541	0.353	0.543
longboat	Longboat	0.551	0.454	0.490
longevity	longevitate	0.750	0.353	0.745
longing	dor	0.604	0.434	0.560
longitude	longitudine	0.479	0.310	0.516
longitudinal	longitudinal	0.542	0.398	0.582
longitudinally	longitudinal	0.541	0.380	0.569
longtime	perioadă lungă de timp	0.362	0.442	0.546
loo	loo	0.385	0.357	0.283
look	uite	0.719	0.429	0.615
looker	privitor	0.583	0.354	0.451
lookout	atenţie	0.698	0.538	0.639
loom	război de ţesut	0.531	0.245	0.325
looming	profilează	0.367	0.750	0.528
loon	cufundar	0.429	0.392	0.325
loony	ţăcănit	0.439	0.474	0.295
loop	buclă	0.516	0.343	0.317
loophole	portiţă	0.406	0.755	0.491
loopy	loopy	0.438	0.520	0.195
loose	liber	0.573	0.312	0.365
loosen	slăbi	0.487	0.337	0.218
loosening	slăbire	0.378	0.343	0.295
loot	pradă	0.604	0.711	0.537
lop	tunde	0.429	0.363	0.426
lopsided	dezechilibrată	0.125	0.500	0.272
lord	Lord	0.618	0.327	0.684
lords	Domnii	0.571	0.356	0.781
lordship	calitatea de lord	0.573	0.557	0.736
lore	învățătură	0.719	0.373	0.768
lorry	camion	0.521	0.481	0.402
lose	pierde	0.115	0.538	0.176
loser	pierzător	0.083	0.510	0.155
losing	pierzând	0.076	0.686	0.223
loss	pierderi	0.062	0.567	0.211
lost	pierdut	0.199	0.663	0.148
lot	lot	0.531	0.215	0.370
lotion	loţiune	0.724	0.261	0.188
lots	multe	0.604	0.417	0.424
lottery	loterie	0.771	0.731	0.491
lotto	loto	0.760	0.635	0.475
lotus	lotus	0.604	0.377	0.510
loud	tare	0.573	0.650	0.870
loudly	tare	0.541	0.755	0.667
loudmouth	gura galagioasa	0.337	0.615	0.456
loudness	intensitate	0.350	0.582	0.620
loudspeaker	difuzor	0.490	0.735	0.689
lounge	salon	0.592	0.245	0.466
lounging	odihn	0.735	0.167	0.449
louse	păduche	0.184	0.439	0.154
lousy	prost	0.125	0.482	0.234
lovable	amabil	0.948	0.335	0.565
love	dragoste	1.000	0.519	0.673
loved	iubit	0.927	0.452	0.582
lovee	lovee	0.949	0.592	0.611
loveee	loveee	0.927	0.592	0.693
loveless	neiubitor	0.102	0.365	0.216
lovelife	NO TRANSLATION	0.837	0.610	0.592
loveliness	frumuseţe	0.959	0.509	0.750
lovelovelove	NO TRANSLATION	0.948	0.582	0.554
lovely	minunat	0.917	0.456	0.741
lovemaking	dragoste	0.969	0.927	0.814
lovemylife	NO TRANSLATION	0.896	0.800	0.573
lover	amant	0.881	0.816	0.750
lovesick	bolnav de dragoste	0.796	0.842	0.500
lovethis	iubesc asta	0.867	0.552	0.526
loving	iubitor	0.948	0.612	0.636
lovinglife	iubind viata	0.979	0.404	0.673
lovinlife	lovinlife	0.714	0.460	0.544
low	scăzut	0.292	0.220	0.102
lowdown	Lowdown	0.306	0.441	0.441
lower	inferior	0.327	0.296	0.258
lowering	coborâre	0.286	0.363	0.236
lowest	cel mai mic	0.312	0.304	0.129
lowlands	depresiuni	0.323	0.290	0.331
lowlife	viata grea	0.296	0.529	0.309
lowly	umil	0.562	0.294	0.417
lox	LOX	0.490	0.373	0.318
loyal	loial	0.896	0.265	0.657
loyalty	loialitate	0.885	0.406	0.793
lsd	lsd	0.375	0.471	0.390
luau	luau	0.594	0.545	0.296
lube	Lube	0.552	0.490	0.411
lubricant	lubrifiant	0.656	0.550	0.454
lubricate	lubrifia	0.552	0.490	0.470
lubrication	ungere	0.624	0.646	0.491
lucid	lucid	0.771	0.490	0.705
luck	noroc	0.854	0.490	0.717
luckiest	cel mai norocos	0.917	0.690	0.852
lucky	norocos	0.960	0.610	0.793
luckygirl	fată norocoasă	0.781	0.712	0.471
lucrative	lucrativ	0.729	0.519	0.798
ludicrous	ridicol	0.137	0.553	0.274
lug	toartă	0.344	0.443	0.340
luggage	bagaje	0.561	0.226	0.319
lukewarm	călduț	0.573	0.300	0.241
lull	acalmie	0.602	0.130	0.402
lullaby	cântec de leagăn	0.796	0.156	0.339
lumbar	lombar	0.323	0.418	0.342
lumber	cherestea	0.517	0.184	0.373
lumbering	exploatările forestiere	0.354	0.561	0.655
lumberjack	tăietor de lemne	0.500	0.660	0.726
luminescent	luminescent	0.796	0.550	0.526
luminous	luminos	0.918	0.392	0.783
lump	umflătură	0.438	0.337	0.463
lumpy	zgrunțuros	0.271	0.378	0.365
lunacy	nebunie	0.132	0.847	0.330
lunar	lunar	0.562	0.296	0.427
lunatic	nebun	0.125	0.792	0.442
lunch	Masa de pranz	0.880	0.410	0.542
lunchbox	cutie pentru prânz	0.663	0.346	0.346
luncheon	prânz	0.837	0.240	0.441
lunchtime	ora prânzului	0.896	0.398	0.444
lung	plămân	0.510	0.292	0.629
lunge	fandare	0.354	0.721	0.509
lungs	plămâni	0.531	0.352	0.555
lurch	ascunziș	0.404	0.694	0.363
lure	ispitire	0.439	0.565	0.300
lurid	sângeriu	0.186	0.833	0.536
lurk	pândi	0.219	0.740	0.655
lurking	spectatori	0.421	0.781	0.575
luscious	delicios	0.885	0.552	0.545
lush	luxuriant	0.740	0.783	0.833
lust	dorință	0.469	0.944	0.518
luster	luciu	0.833	0.566	0.558
lustful	desfrânat	0.427	0.896	0.643
lustrous	lucios	0.771	0.606	0.598
lusty	lubric	0.469	0.941	0.673
lute	lăută	0.459	0.407	0.500
luxuriant	luxuriant	0.760	0.745	0.812
luxurious	luxos	0.947	0.644	0.754
luxury	luxos	0.932	0.673	0.750
lycra	lycra	0.520	0.449	0.328
lye	leşie	0.378	0.396	0.443
lying	minciună	0.208	0.704	0.317
lymph	limfă	0.398	0.510	0.390
lymphatic	limfatic	0.380	0.509	0.472
lymphoma	limfom	0.208	0.645	0.330
lynch	linșa	0.167	0.885	0.482
lynching	linşaj	0.135	0.920	0.548
lynx	râs	0.510	0.590	0.567
lyre	liră	0.719	0.347	0.414
lyric	liric	0.702	0.269	0.464
lyrical	liric	0.708	0.451	0.618
lyrics	Versuri	0.582	0.214	0.333
macadamia	Macadamia	0.635	0.330	0.434
macarena	Macarena	0.802	0.601	0.368
macaroni	macaroane	0.816	0.410	0.382
mace	buzdugan	0.450	0.412	0.415
mach	Mach	0.541	0.432	0.463
machete	macetă	0.260	0.690	0.474
machine	maşină	0.510	0.500	0.707
machinery	mașini	0.458	0.615	0.629
machinist	maşinist	0.490	0.598	0.721
macho	macho	0.643	0.690	0.676
mackerel	macrou	0.418	0.423	0.426
macro	macro	0.552	0.469	0.647
mad	nebun	0.219	0.873	0.277
madam	doamnă	0.580	0.308	0.571
madame	doamna	0.604	0.500	0.635
madden	exaspera	0.329	0.602	0.457
madder	roibă	0.323	0.853	0.267
mademoiselle	NO TRANSLATION	0.752	0.459	0.461
mademyday	mi-a făcut ziua	0.694	0.573	0.537
madhouse	casă de nebuni	0.156	0.736	0.440
madman	nebun	0.135	0.880	0.312
madness	nebunie	0.104	0.804	0.440
maestro	maestru	0.823	0.357	0.849
mafia	mafie	0.204	0.867	0.676
magazine	revistă	0.615	0.332	0.377
mage	Mage	0.622	0.373	0.453
magenta	purpuriu	0.635	0.275	0.415
maggot	vierme	0.235	0.500	0.235
magic	magie	0.868	0.663	0.578
magical	magic	0.875	0.651	0.595
magician	magician	0.714	0.657	0.551
magistrate	magistrat	0.587	0.541	0.904
magma	magmă	0.323	0.623	0.609
magna	magna	0.605	0.490	0.652
magnate	magnat	0.627	0.708	0.868
magnesium	magneziu	0.542	0.320	0.321
magnet	magnet	0.571	0.318	0.553
magnetic	magnetic	0.612	0.529	0.673
magnetism	magnetism	0.630	0.529	0.741
magnetite	magnetit	0.531	0.490	0.581
magnification	mărire	0.890	0.615	0.880
magnificence	splendoare	0.802	0.810	0.920
magnificent	magnific	1.000	0.680	0.886
magnifier	lupă	0.469	0.216	0.345
magnify	amplifica	0.729	0.561	0.839
magnifying	mărire	0.594	0.265	0.406
magnitude	mărime	0.608	0.613	0.774
magnolia	magnolie	0.558	0.343	0.379
magpie	coţofană	0.500	0.458	0.327
mahi mahi	NO TRANSLATION	0.510	0.410	0.398
mahjong	Mahjong	0.556	0.418	0.440
mahogany	mahon	0.602	0.225	0.393
maid	servitoare	0.406	0.324	0.300
maiden	de fată	0.755	0.396	0.461
mail	Poștă	0.615	0.231	0.548
mailbox	cutie poștală	0.573	0.222	0.404
mailing	poștală	0.688	0.324	0.375
mailman	poştaş	0.659	0.418	0.462
maim	NO TRANSLATION	0.133	0.724	0.496
main	principal	0.667	0.510	0.811
mainframe	mainframe	0.531	0.490	0.557
mainland	continent	0.680	0.407	0.806
mainstay	sprijin temeinic	0.694	0.400	0.713
mainstream	masă	0.653	0.527	0.660
maintain	menţine	0.684	0.398	0.647
maintenance	întreținere	0.592	0.410	0.545
majestic	maiestuos	0.948	0.731	0.906
majesty	maiestate	0.823	0.602	0.955
major	major	0.684	0.538	0.874
majority	majoritate	0.684	0.560	0.930
make	face	0.684	0.420	0.480
makeover	makeover	0.771	0.510	0.596
maker	producător	0.698	0.544	0.706
makeshift	expedient	0.479	0.611	0.389
makesmehappy	NO TRANSLATION	0.894	0.663	0.712
makesmemad	NO TRANSLATION	0.296	0.643	0.500
makeup	machiaj	0.740	0.333	0.331
makingdisciples	NO TRANSLATION	0.684	0.402	0.664
malady	boală	0.190	0.686	0.304
malaise	indispoziție	0.150	0.600	0.161
malaria	malarie	0.125	0.653	0.304
malarkey	malarkey	0.396	0.500	0.465
male	masculin	0.612	0.532	0.695
malevolent	răuvoitor	0.094	0.854	0.613
malfeasance	încălcarea legii	0.062	0.745	0.325
malformation	malformaţie	0.083	0.602	0.357
malfunction	defectiune	0.125	0.577	0.229
malice	NO TRANSLATION	0.073	0.811	0.492
malicious	rău	0.177	0.765	0.607
malign	bârfi	0.140	0.765	0.481
malignancy	malignitate	0.149	0.814	0.614
malignant	maligne	0.143	0.824	0.370
maligned	bârfit	0.102	0.684	0.218
mall	centru comercial	0.724	0.663	0.492
malleable	maleabil	0.500	0.500	0.391
mallet	ciocan de lemn	0.354	0.390	0.483
malnutrition	subnutriție	0.024	0.592	0.277
malpractice	incompetenţă	0.094	0.559	0.330
malt	malţ	0.750	0.373	0.324
mama	Mama	0.860	0.413	0.728
mambo	mambo	0.808	0.622	0.445
mamma	NO TRANSLATION	0.600	0.358	0.449
mammal	mamifer	0.618	0.449	0.421
mammoth	mamut	0.480	0.471	0.537
mammy	mămițică	0.680	0.415	0.436
man	om	0.688	0.427	0.767
manage	administra	0.560	0.530	0.719
manageable	flexibil	0.750	0.361	0.655
management	administrare	0.792	0.491	0.806
manager	administrator	0.625	0.549	0.897
managerial	de conducere	0.604	0.520	0.791
mandamus	Mandamus	0.439	0.577	0.556
mandarin	mandarin	0.625	0.398	0.491
mandate	mandat	0.448	0.670	0.779
mandatory	obligatoriu	0.271	0.667	0.777
mandible	mandibulă	0.510	0.431	0.500
mandolin	mandolină	0.708	0.433	0.367
mandrel	mandrină	0.310	0.490	0.481
mane	NO TRANSLATION	0.521	0.277	0.373
maneuver	manevră	0.615	0.663	0.608
maneuvering	manevrare	0.635	0.640	0.745
mange	NO TRANSLATION	0.311	0.558	0.348
manger	iesle	0.656	0.276	0.398
mangle	calandru	0.292	0.449	0.355
mango	mango	0.765	0.327	0.290
mangosteen	mangostan	0.562	0.500	0.414
mangy	soios	0.214	0.698	0.270
manhole	trapă	0.378	0.500	0.516
manhood	bărbăție	0.625	0.735	0.858
manhunt	Manhunt	0.145	0.925	0.657
mania	manie	0.290	0.683	0.382
maniac	maniac	0.120	0.849	0.431
maniacal	maniacală	0.200	0.848	0.500
manic	maniacale	0.054	0.892	0.368
manicure	manichiură	0.706	0.308	0.284
manicurist	manichiuristă	0.583	0.352	0.341
manifest	manifesta	0.667	0.647	0.704
manifestation	manifestare	0.583	0.750	0.655
manifested	manifestat	0.580	0.618	0.667
manifestly	vădit	0.469	0.588	0.577
manifesto	manifest	0.646	0.519	0.676
manifold	colector	0.500	0.461	0.435
manipulate	manipula	0.255	0.700	0.772
manipulation	manipulare	0.188	0.775	0.536
manipulative	de manipulare	0.177	0.724	0.546
mankind	omenire	0.823	0.471	0.768
manly	bărbătesc	0.698	0.633	0.846
manna	mană	0.698	0.294	0.544
manned	cu echipaj uman	0.551	0.588	0.484
mannequin	manechin	0.427	0.302	0.295
manner	manieră	0.618	0.250	0.320
mannered	manierat	0.469	0.556	0.291
manners	maniere	0.816	0.284	0.517
manor	conac	0.646	0.358	0.738
manpower	forței de muncă	0.531	0.620	0.543
mansion	conac	0.847	0.490	0.717
mansions	conace	0.735	0.529	0.777
manslaughter	omor prin imprudenţă	0.090	0.920	0.473
mantel	Mantel	0.500	0.265	0.471
mantis	Mantis	0.480	0.355	0.421
mantle	manta	0.510	0.269	0.422
mantra	Mantra	0.396	0.249	0.357
manual	manual	0.635	0.245	0.449
manufacture	fabricare	0.868	0.703	0.780
manufacturer	producător	0.688	0.537	0.830
manufacturing	de fabricație	0.653	0.613	0.804
manure	gunoi	0.250	0.471	0.241
manuscript	manuscris	0.510	0.208	0.540
map	Hartă	0.561	0.229	0.463
maple	arțar	0.541	0.390	0.339
mar	strica	0.622	0.544	0.545
marathon	maraton	0.646	0.778	0.740
marble	marmură	0.604	0.212	0.667
marbled	de marmură	0.396	0.385	0.418
marbles	marmura	0.714	0.345	0.241
march	Martie	0.531	0.200	0.483
mare	NO TRANSLATION	0.541	0.320	0.417
margarine	margarină	0.530	0.316	0.333
margarita	margarita	0.750	0.438	0.420
margin	margine	0.500	0.219	0.331
marginal	marginal	0.235	0.644	0.345
mariachi	Mariachi	0.710	0.559	0.609
marijuana	marijuană	0.312	0.779	0.558
marinara	marinara	0.657	0.388	0.435
marine	marin	0.633	0.471	0.679
mariner	marinar	0.652	0.491	0.676
marital	marital	0.760	0.529	0.500
maritime	maritim	0.646	0.490	0.713
mark	marcă	0.491	0.231	0.600
marked	marcat	0.592	0.358	0.554
marker	marcator	0.500	0.333	0.605
market	piaţă	0.724	0.480	0.521
marketable	vandabil	0.746	0.545	0.664
marketing	marketing	0.521	0.774	0.675
marketplace	piata de desfacere	0.698	0.420	0.525
marks	mărci	0.430	0.480	0.424
marksman	neștiutor de carte	0.500	0.833	0.692
marksmanship	ochire sigură	0.573	0.531	0.664
marl	marnă	0.372	0.471	0.351
marmalade	marmeladă	0.729	0.370	0.288
maroon	maro	0.469	0.358	0.336
marooned	Marooned	0.229	0.480	0.160
marquee	marchiză	0.602	0.284	0.508
marquis	marchiz	0.521	0.444	0.562
marred	stricat	0.181	0.561	0.233
marriage	căsătorie	0.844	0.684	0.750
married	căsătorit	0.674	0.570	0.602
marrow	măduvă	0.398	0.422	0.472
marry	căsători	0.896	0.765	0.673
marsh	mlaştină	0.302	0.358	0.277
marshal	mareșal	0.469	0.610	0.819
marshmallow	bezea	0.740	0.441	0.391
mart	negoț	0.531	0.402	0.418
martial	marțial	0.480	0.710	0.737
martingale	martingală	0.469	0.510	0.455
martini	Martini	0.828	0.500	0.519
martyr	martir	0.281	0.708	0.509
martyrdom	martiriu	0.323	0.745	0.442
marvel	minune	0.961	0.755	0.866
marvellous	minunat	0.878	0.809	0.849
marvelous	minunat	0.948	0.637	0.778
marvelously	în chip minunat	0.968	0.708	0.764
marzipan	NO TRANSLATION	0.684	0.380	0.258
mascara	rimel	0.575	0.450	0.269
mascot	mascotă	0.750	0.337	0.337
masculine	masculin	0.653	0.540	0.773
masculinity	masculinitate	0.583	0.670	0.851
mash	terci	0.440	0.363	0.283
mashed	piure	0.531	0.337	0.194
mask	masca	0.510	0.490	0.537
masked	mascat	0.375	0.549	0.518
masks	măști	0.510	0.472	0.241
masochism	masochismul	0.194	0.845	0.483
masochist	masochist	0.164	0.784	0.353
mason	zidar	0.541	0.442	0.580
masquerade	mascaradă	0.431	0.633	0.446
mass	masa	0.458	0.245	0.277
massacre	masacru	0.031	0.887	0.640
massage	masaj	0.708	0.356	0.413
masses	mase	0.552	0.453	0.473
masseur	maseur	0.622	0.265	0.463
masseuse	maseză	0.594	0.373	0.391
massive	masiv	0.569	0.660	0.750
mast	catarg	0.542	0.390	0.580
master	maestru	0.694	0.490	0.849
masterful	poruncitor	0.854	0.510	0.960
mastermind	spirit superior	0.792	0.625	0.918
masterpiece	capodopera	0.926	0.623	0.847
mastery	măiestrie	0.755	0.648	0.873
masturbate	masturbezi	0.552	0.926	0.500
masturbation	masturbare	0.542	0.961	0.509
mat	mat	0.459	0.221	0.304
matador	matador	0.224	0.880	0.667
match	Meci	0.599	0.573	0.500
matchbook	matchbook	0.562	0.391	0.412
matching	potrivire	0.719	0.735	0.418
matchmaker	pețitor	0.615	0.509	0.519
mate	pereche	0.847	0.417	0.669
material	material	0.521	0.363	0.439
materialism	materialism	0.220	0.390	0.556
materialist	materialist	0.255	0.491	0.504
materialistic	materialist	0.420	0.506	0.589
materiality	materialitate	0.417	0.450	0.636
materialize	materializa	0.688	0.596	0.728
materially	material	0.490	0.451	0.670
materials	materiale	0.633	0.361	0.473
materiel	materiale	0.531	0.294	0.417
maternal	matern	0.847	0.417	0.634
maternity	maternitate	0.865	0.480	0.622
math	matematica	0.417	0.375	0.600
mathematical	matematic	0.620	0.500	0.548
mathematician	matematician	0.541	0.418	0.773
mathematics	matematică	0.438	0.435	0.664
matinee	matineu	0.694	0.578	0.447
mating	împerechere	0.755	0.840	0.759
matriculation	înmatriculare	0.622	0.490	0.675
matrimony	căsătorie	0.850	0.637	0.843
matrix	matrice	0.551	0.378	0.673
matron	matroană	0.520	0.519	0.555
matted	încâlcit	0.281	0.519	0.393
matter	materie	0.487	0.353	0.562
matting	rogojină	0.479	0.405	0.423
mattress	saltea	0.612	0.255	0.397
maturation	maturizare	0.612	0.439	0.698
mature	matur	0.625	0.347	0.600
maturity	maturitate	0.827	0.400	0.806
maudlin	sentimental	0.337	0.417	0.368
mausoleum	mausoleu	0.344	0.281	0.594
mauve	mov	0.533	0.330	0.314
maverick	nonconformist, hoinar, ratacitor	0.354	0.676	0.409
maxim	maximă	0.875	0.562	0.887
maximize	maximaliza	0.823	0.765	0.792
maximum	maxim	0.724	0.724	0.852
may	Mai	0.704	0.273	0.245
mayday	zi de mai	0.344	0.643	0.423
mayflower	Mayflower	0.690	0.463	0.429
mayhem	Mayhem	0.188	0.870	0.364
mayonnaise	maioneză	0.510	0.320	0.222
mayor	primar	0.469	0.481	0.818
maze	labirint	0.438	0.608	0.444
mead	mied	0.667	0.337	0.441
meadow	luncă	0.622	0.130	0.382
meager	slab	0.144	0.389	0.281
meal	masă	0.833	0.461	0.473
mean	însemna	0.440	0.467	0.620
meander	meandru	0.480	0.443	0.454
meandering	şerpuit	0.427	0.644	0.539
meanie	meanie	0.388	0.420	0.404
meaning	sens	0.663	0.395	0.625
meaningful	plin de înțeles	0.770	0.500	0.802
meaningless	fără înţeles	0.156	0.314	0.143
meanness	josnicie	0.102	0.694	0.368
means	mijloace	0.615	0.373	0.460
meantime	între timp	0.432	0.222	0.300
measles	pojar	0.092	0.635	0.422
measurable	măsurabil	0.604	0.410	0.602
measure	măsura	0.510	0.375	0.365
measured	măsurat	0.542	0.265	0.578
measurement	măsurare	0.622	0.418	0.491
measuring	măsurare	0.448	0.337	0.529
measuring cup	ceașcă de măsurare	0.557	0.343	0.377
measuring tape	bandă de măsurare	0.337	0.280	0.327
meat	carne	0.612	0.421	0.413
meatball	perișoare	0.612	0.279	0.343
meathead	meathead	0.306	0.534	0.490
meatloaf	fleică	0.625	0.389	0.375
mechanic	mecanic	0.571	0.433	0.566
mechanical	mecanic	0.479	0.569	0.564
mechanics	mecanică	0.542	0.500	0.761
mechanism	mecanism	0.573	0.583	0.664
med	NO TRANSLATION	0.375	0.429	0.606
medal	medalie	0.854	0.555	0.746
medallion	medalion	0.750	0.510	0.710
medallist	medaliat	0.796	0.821	0.897
meddle	se amesteca	0.302	0.770	0.526
meddling	imixtiunea	0.245	0.600	0.461
media	mass-media	0.500	0.330	0.464
medial	medial	0.458	0.340	0.429
median	median	0.459	0.216	0.375
mediate	media	0.635	0.308	0.654
mediation	mediere	0.661	0.350	0.657
mediator	mediator	0.592	0.438	0.580
medic	doctor	0.500	0.472	0.585
medical	medical	0.583	0.373	0.616
medicate	medicate	0.417	0.375	0.546
medication	medicament	0.615	0.439	0.500
medicinal	medicinal	0.667	0.417	0.614
medicine	medicament	0.708	0.318	0.679
medieval	medieval	0.560	0.408	0.455
mediocre	mediocru	0.188	0.481	0.149
mediocrity	mediocritate	0.073	0.398	0.225
meditate	medita	0.812	0.146	0.564
meditating	meditativ	0.718	0.185	0.399
meditation	meditaţie	0.786	0.120	0.478
meditative	meditativ	0.614	0.120	0.454
mediterranean	Mediterana	0.663	0.454	0.545
medium	mediu	0.559	0.356	0.358
medley	potpuriu	0.487	0.352	0.400
meek	blând	0.531	0.150	0.198
meet	întâlni	0.760	0.510	0.580
meeting	întâlnire	0.750	0.569	0.613
mega	mega	0.724	0.538	0.723
meh	meh	0.380	0.286	0.365
melancholic	melancolic	0.181	0.306	0.277
melancholy	melancolie	0.188	0.260	0.237
melee	busculadă	0.541	0.704	0.611
mellow	moale	0.633	0.069	0.265
melodious	melodios	0.932	0.530	0.587
melodrama	melodramă	0.378	0.830	0.446
melodramatic	melodramatic	0.235	0.692	0.368
melody	melodie	0.847	0.434	0.405
melon	pepene	0.461	0.231	0.271
melt	topi	0.448	0.615	0.312
meltdown	Meltdown	0.629	0.657	0.602
melting	topire	0.592	0.470	0.538
member	membru	0.698	0.333	0.555
membership	apartenență	0.698	0.411	0.778
membrane	membrană	0.406	0.430	0.418
memento	memento	0.708	0.360	0.536
memo	notificare	0.625	0.235	0.407
memoir	memoriu	0.750	0.242	0.553
memorabilia	Memorabilia	0.780	0.412	0.491
memorable	memorabil	0.939	0.510	0.769
memorandum	memorandum	0.600	0.500	0.639
memorial	memorial	0.602	0.304	0.600
memorials	memorialele	0.771	0.333	0.679
