Word	Sinhala (Sinhalese)-si	Valence	Arousal	Dominance
longevity	ආයු කාලයයි	0.750	0.353	0.745
longing	ආශාවෙන්	0.604	0.434	0.560
longitude	දේශාංශය	0.479	0.310	0.516
longitudinal	කල්පවත්නා	0.542	0.398	0.582
longitudinally	කල්පනා කිරීමයි	0.541	0.380	0.569
longtime	දිගු කාලය	0.362	0.442	0.546
loo	බං	0.385	0.357	0.283
look	පෙනුම	0.719	0.429	0.615
looker	පෙනුම	0.583	0.354	0.451
lookout	ප්රවේසම් වන්න	0.698	0.538	0.639
loom	ලෝහමය	0.531	0.245	0.325
looming	දුවනවා	0.367	0.750	0.528
loon	ලව්න්	0.429	0.392	0.325
loony	නටනවා	0.439	0.474	0.295
loop	ලූපයක්	0.516	0.343	0.317
loophole	උභතෝකෝටිකය	0.406	0.755	0.491
loopy	නටනවා	0.438	0.520	0.195
loose	ලිහිල්	0.573	0.312	0.365
loosen	ලිහිල්	0.487	0.337	0.218
loosening	ලිහිල්	0.378	0.343	0.295
loot	කොල්ලය	0.604	0.711	0.537
lop	ඩී	0.429	0.363	0.426
lopsided	නරකයි	0.125	0.500	0.272
lord	සමිඳාණන්	0.618	0.327	0.684
lords	ස්වාමිවරුනි	0.571	0.356	0.781
lordship	ගරුත්වය	0.573	0.557	0.736
lore	නරකයි	0.719	0.373	0.768
lorry	ලොරි	0.521	0.481	0.402
lose	අහිමි වේ	0.115	0.538	0.176
loser	පරාද වන්නා	0.083	0.510	0.155
losing	අහිමි වේ	0.076	0.686	0.223
loss	අලාභය	0.062	0.567	0.211
lost	අහිමි විය	0.199	0.663	0.148
lot	ගොඩක්	0.531	0.215	0.370
lotion	ෙලෝෂන්	0.724	0.261	0.188
lots	ගොඩක් තියෙනවා	0.604	0.417	0.424
lottery	ලොතරැයි	0.771	0.731	0.491
lotto	ලොතරැයි	0.760	0.635	0.475
lotus	නෙළුම්	0.604	0.377	0.510
loud	ශබ්ද නගා	0.573	0.650	0.870
loudly	ඝෝෂාකාරී විය	0.541	0.755	0.667
loudmouth	කථාව	0.337	0.615	0.456
loudness	ශබ්ද නගා	0.350	0.582	0.620
loudspeaker	ශබ්ද විකාශකය	0.490	0.735	0.689
lounge	විවේකාගාරය	0.592	0.245	0.466
lounging	වැටිණි	0.735	0.167	0.449
louse	දුවයි	0.184	0.439	0.154
lousy	බඩගිනි	0.125	0.482	0.234
lovable	ආදරණීයයි	0.948	0.335	0.565
love	ආදරය	1.000	0.519	0.673
loved	ආදරණීයයි	0.927	0.452	0.582
lovee	ආදරය	0.949	0.592	0.611
loveee	ආදරේ	0.927	0.592	0.693
loveless	ආදරය	0.102	0.365	0.216
lovelife	NO TRANSLATION	0.837	0.610	0.592
loveliness	සුන්දරත්වය	0.959	0.509	0.750
lovelovelove	NO TRANSLATION	0.948	0.582	0.554
lovely	සුන්දරයි	0.917	0.456	0.741
lovemaking	ආදරයයි	0.969	0.927	0.814
lovemylife	NO TRANSLATION	0.896	0.800	0.573
lover	පෙම්වතා	0.881	0.816	0.750
lovesick	ප්රේමාන්විතයි	0.796	0.842	0.500
lovethis	ලෝවැසි	0.867	0.552	0.526
loving	ආදරණීයයි	0.948	0.612	0.636
lovinglife	ආදරය	0.979	0.404	0.673
lovinlife	lovinlife	0.714	0.460	0.544
low	අඩු	0.292	0.220	0.102
lowdown	අඩුපාඩුයි	0.306	0.441	0.441
lower	අඩුය	0.327	0.296	0.258
lowering	අඩු වේ	0.286	0.363	0.236
lowest	අවම මට්ටමක පවතී	0.312	0.304	0.129
lowlands	පහත් බිම්	0.323	0.290	0.331
lowlife	අඩු ජීවන රටාවක්	0.296	0.529	0.309
lowly	නිහතමානී ය	0.562	0.294	0.417
lox	ලූක්ස්	0.490	0.373	0.318
loyal	පක්ෂපාතීයි	0.896	0.265	0.657
loyalty	පක්ෂපාතිත්වය	0.885	0.406	0.793
lsd	ඊෂ්	0.375	0.471	0.390
luau	ලෝවා	0.594	0.545	0.296
lube	ලිහිල්ව	0.552	0.490	0.411
lubricant	ලිහිසි තෙල්	0.656	0.550	0.454
lubricate	ලිහිසි තෙල්	0.552	0.490	0.470
lubrication	ලිහිසිකරණය	0.624	0.646	0.491
lucid	ලූවිස්	0.771	0.490	0.705
luck	වාසනාවක්	0.854	0.490	0.717
luckiest	වඩාත් රසවත්	0.917	0.690	0.852
lucky	වාසනාවන්තයි	0.960	0.610	0.793
luckygirl	වාසනාවන්ත කෙල්ල	0.781	0.712	0.471
lucrative	වාසිදායක	0.729	0.519	0.798
ludicrous	හාස්යජනක ය	0.137	0.553	0.274
lug	ලග්න	0.344	0.443	0.340
luggage	ගමන් මලු	0.561	0.226	0.319
lukewarm	ඇල්මැරුණි	0.573	0.300	0.241
lull	නරකයි	0.602	0.130	0.402
lullaby	ඉස්සර	0.796	0.156	0.339
lumbar	ලුම්බිණි	0.323	0.418	0.342
lumber	පිස්තෝල	0.517	0.184	0.373
lumbering	කථාව	0.354	0.561	0.655
lumberjack	දුම්බර ජැක්	0.500	0.660	0.726
luminescent	දිලිසෙන	0.796	0.550	0.526
luminous	දීප්තිමත්	0.918	0.392	0.783
lump	පිඹින්න	0.438	0.337	0.463
lumpy	ගුලියක්	0.271	0.378	0.365
lunacy	කමක් නැහැ	0.132	0.847	0.330
lunar	චන්ද්රයා	0.562	0.296	0.427
lunatic	ලන්ඩන්	0.125	0.792	0.442
lunch	දිවා ආහාරය	0.880	0.410	0.542
lunchbox	දවල් කෑම පෙටිටිය	0.663	0.346	0.346
luncheon	දිවා ආහාරය	0.837	0.240	0.441
lunchtime	දිවා ආහාර වේලාව	0.896	0.398	0.444
lung	පෙනහළු	0.510	0.292	0.629
lunge	ඇවිත්	0.354	0.721	0.509
lungs	පෙනහළු	0.531	0.352	0.555
lurch	බෑ	0.404	0.694	0.363
lure	උපාය	0.439	0.565	0.300
lurid	උමතුවකි	0.186	0.833	0.536
lurk	වහන්න	0.219	0.740	0.655
lurking	සැහැල්ලුයි	0.421	0.781	0.575
luscious	පුදුමාකාරයි	0.885	0.552	0.545
lush	රමණීයයි	0.740	0.783	0.833
lust	රාගය	0.469	0.944	0.518
luster	නරකයි	0.833	0.566	0.558
lustful	ලස්සනයි	0.427	0.896	0.643
lustrous	මූර්තිමත් ය	0.771	0.606	0.598
lusty	ඥානවන්තයි	0.469	0.941	0.673
lute	ලූප්	0.459	0.407	0.500
luxuriant	සැපපහසුයි	0.760	0.745	0.812
luxurious	සුවඳයි	0.947	0.644	0.754
luxury	සුඛෝපභෝගී	0.932	0.673	0.750
lycra	ලයික්රා	0.520	0.449	0.328
lye	ලයි	0.378	0.396	0.443
lying	බොරු කියනවා	0.208	0.704	0.317
lymph	වසා ගැටිති වේ	0.398	0.510	0.390
lymphatic	වසාවාති වේ	0.380	0.509	0.472
lymphoma	ලිම්ෆෝමාවයි	0.208	0.645	0.330
lynch	ලින්ච්	0.167	0.885	0.482
lynching	දන්ඩකි	0.135	0.920	0.548
lynx	රයිස්	0.510	0.590	0.567
lyre	ලයිර්	0.719	0.347	0.414
lyric	ගීත රචනා	0.702	0.269	0.464
lyrical	ගීත	0.708	0.451	0.618
lyrics	ගීතයකි	0.582	0.214	0.333
macadamia	මැක්රඩියාය	0.635	0.330	0.434
macarena	මැකරේනා	0.802	0.601	0.368
macaroni	මැකරෝනි	0.816	0.410	0.382
mace	වසාවාසි	0.450	0.412	0.415
mach	මචං	0.541	0.432	0.463
machete	මචේට්	0.260	0.690	0.474
machine	යන්ත්රය	0.510	0.500	0.707
machinery	යන්ත්රෝපකරණ	0.458	0.615	0.629
machinist	යන්ත්රෝපකරණ	0.490	0.598	0.721
macho	මචෝ	0.643	0.690	0.676
mackerel	මැකරල්	0.418	0.423	0.426
macro	සාර්ව	0.552	0.469	0.647
mad	පිස්සු	0.219	0.873	0.277
madam	මැඩම්	0.580	0.308	0.571
madame	මැඩම්	0.604	0.500	0.635
madden	පිස්සෙක් විය	0.329	0.602	0.457
madder	මැඩිය	0.323	0.853	0.267
mademoiselle	NO TRANSLATION	0.752	0.459	0.461
mademyday	මැඩීඩ්ඩේ	0.694	0.573	0.537
madhouse	පිස්සුවක්	0.156	0.736	0.440
madman	පිස්සෙක්	0.135	0.880	0.312
madness	පිස්සුව	0.104	0.804	0.440
maestro	මැවුමන්	0.823	0.357	0.849
mafia	මාෆියාවයි	0.204	0.867	0.676
magazine	සඟරාවයි	0.615	0.332	0.377
mage	මිනිහෙක්	0.622	0.373	0.453
magenta	මැජෙන්ටා	0.635	0.275	0.415
maggot	මැග්නීටය	0.235	0.500	0.235
magic	මැජික්	0.868	0.663	0.578
magical	ඉන්ද්රජාලික	0.875	0.651	0.595
magician	මැජික් ය	0.714	0.657	0.551
magistrate	මහේස්ත්රාත්වරයා	0.587	0.541	0.904
magma	මැග්මා	0.323	0.623	0.609
magna	මැග්නා	0.605	0.490	0.652
magnate	අධිපතියා	0.627	0.708	0.868
magnesium	මැග්නීසියම්	0.542	0.320	0.321
magnet	චුම්බකයකි	0.571	0.318	0.553
magnetic	චුම්භක	0.612	0.529	0.673
magnetism	චුම්බකත්වය	0.630	0.529	0.741
magnetite	මැග්නටයිට්	0.531	0.490	0.581
magnification	විශාලනය	0.890	0.615	0.880
magnificence	අති විශිෂ්ටයි	0.802	0.810	0.920
magnificent	විශිෂ්ටයි	1.000	0.680	0.886
magnifier	විශාලනය	0.469	0.216	0.345
magnify	විශාලයි	0.729	0.561	0.839
magnifying	බලසම්පන්නයි	0.594	0.265	0.406
magnitude	විශාලත්වය	0.608	0.613	0.774
magnolia	මැජෝලියනයයි	0.558	0.343	0.379
magpie	මැග්පී	0.500	0.458	0.327
mahi mahi	NO TRANSLATION	0.510	0.410	0.398
mahjong	මැජියොන් ය	0.556	0.418	0.440
mahogany	මහෝගනි	0.602	0.225	0.393
maid	මෙහෙකාරිය	0.406	0.324	0.300
maiden	මිනිහෙක්	0.755	0.396	0.461
mail	තැපැල	0.615	0.231	0.548
mailbox	තැපැල් පෙට්ටිය	0.573	0.222	0.404
mailing	තැපැල් කිරීම	0.688	0.324	0.375
mailman	තැපැල් කරුවෙක්	0.659	0.418	0.462
maim	NO TRANSLATION	0.133	0.724	0.496
main	ප්රධාන වේ	0.667	0.510	0.811
mainframe	ප්රධාන රාමු	0.531	0.490	0.557
mainland	භූමිය	0.680	0.407	0.806
mainstay	ප්රධාන තැනක් ගනී	0.694	0.400	0.713
mainstream	ප්රධාන ධාරාවේ	0.653	0.527	0.660
maintain	නඩත්තු කරන්න	0.684	0.398	0.647
maintenance	නඩත්තු	0.592	0.410	0.545
majestic	දැවැන්තය	0.948	0.731	0.906
majesty	තේජාන්විතය	0.823	0.602	0.955
major	ප්රධාන	0.684	0.538	0.874
majority	බහුතරය	0.684	0.560	0.930
make	කරන්න	0.684	0.420	0.480
makeover	අයිස්ක්රීම්	0.771	0.510	0.596
maker	නිෂ්පාදකයෙකි	0.698	0.544	0.706
makeshift	තාවකාලිකයි	0.479	0.611	0.389
makesmehappy	NO TRANSLATION	0.894	0.663	0.712
makesmemad	NO TRANSLATION	0.296	0.643	0.500
makeup	වෙස් ගන්වන්න	0.740	0.333	0.331
makingdisciples	NO TRANSLATION	0.684	0.402	0.664
malady	රෝගය	0.190	0.686	0.304
malaise	ව්යාධියයි	0.150	0.600	0.161
malaria	මැලේරියාව	0.125	0.653	0.304
malarkey	මැල්කයි	0.396	0.500	0.465
male	පිරිමි	0.612	0.532	0.695
malevolent	අනර්ථකාරී වේ	0.094	0.854	0.613
malfeasance	වැරදීමක්	0.062	0.745	0.325
malformation	ප්රබලව	0.083	0.602	0.357
malfunction	ක්රමවත්ව ක්රියා නොකිරීම	0.125	0.577	0.229
malice	NO TRANSLATION	0.073	0.811	0.492
malicious	ද්වේෂ සහගතයි	0.177	0.765	0.607
malign	නරකයි	0.140	0.765	0.481
malignancy	විෂම පැවැත්මක්	0.149	0.814	0.614
malignant	පිළිකුල් සහගතය	0.143	0.824	0.370
maligned	කෑගැසුවා	0.102	0.684	0.218
mall	වෙළඳ සංකීර්ණය	0.724	0.663	0.492
malleable	මැසිවිලි නඟන්න	0.500	0.500	0.391
mallet	මෝල්ට්	0.354	0.390	0.483
malnutrition	මන්දපෝෂණය	0.024	0.592	0.277
malpractice	අක්රමිකතා	0.094	0.559	0.330
malt	මෝල්ට්	0.750	0.373	0.324
mama	අම්මා	0.860	0.413	0.728
mambo	මැම්බෝ	0.808	0.622	0.445
mamma	NO TRANSLATION	0.600	0.358	0.449
mammal	ක්ෂීරපායි සතුන්ය	0.618	0.449	0.421
mammoth	දැවැන්තය	0.480	0.471	0.537
mammy	අම්මා	0.680	0.415	0.436
man	මිනිසා	0.688	0.427	0.767
manage	කළමනාකරණය කරන්න	0.560	0.530	0.719
manageable	කළමණාකරණය කළ හැකිය	0.750	0.361	0.655
management	කළමනාකරණ	0.792	0.491	0.806
manager	කළමනාකරු	0.625	0.549	0.897
managerial	කළමනාකාරිත්වයකි	0.604	0.520	0.791
mandamus	මැන්ඩමයස්	0.439	0.577	0.556
mandarin	මැන්ඩරින්	0.625	0.398	0.491
mandate	ජනවරම	0.448	0.670	0.779
mandatory	අනිවාර්ය වේ	0.271	0.667	0.777
mandible	අනිත්යයයි	0.510	0.431	0.500
mandolin	මැන්ඩොලින්	0.708	0.433	0.367
mandrel	මැන්ඩ්රෙයාර්	0.310	0.490	0.481
mane	NO TRANSLATION	0.521	0.277	0.373
maneuver	උපාමාරුව	0.615	0.663	0.608
maneuvering	උපාමාරු දැමීම	0.635	0.640	0.745
mange	NO TRANSLATION	0.311	0.558	0.348
manger	කකුලේ	0.656	0.276	0.398
mangle	මිනිහෙක්	0.292	0.449	0.355
mango	අඹ	0.765	0.327	0.290
mangosteen	මැංගුස්ටීන්	0.562	0.500	0.414
mangy	දුර්වලයි	0.214	0.698	0.270
manhole	කට්ටියක්	0.378	0.500	0.516
manhood	පිරිමියෙක්	0.625	0.735	0.858
manhunt	සැඟවීය	0.145	0.925	0.657
mania	මැරිය	0.290	0.683	0.382
maniac	මිනිහා	0.120	0.849	0.431
maniacal	මිනිහා	0.200	0.848	0.500
manic	මානික්	0.054	0.892	0.368
manicure	මැණික් වර්ග	0.706	0.308	0.284
manicurist	මනුස්සයෙක්	0.583	0.352	0.341
manifest	ප්රකාශ වේ	0.667	0.647	0.704
manifestation	ප්රකාශනයකි	0.583	0.750	0.655
manifested	පෙනෙන්නට තිබේ	0.580	0.618	0.667
manifestly	පැහැදිලිවම	0.469	0.588	0.577
manifesto	ප්රකාශනයයි	0.646	0.519	0.676
manifold	බොහෝමයක් ඇත	0.500	0.461	0.435
manipulate	හසුරුවන්න	0.255	0.700	0.772
manipulation	හැසිරවීම	0.188	0.775	0.536
manipulative	හසුරුවන්න	0.177	0.724	0.546
mankind	මානව වර්ගයා	0.823	0.471	0.768
manly	පිරිමියෙක්	0.698	0.633	0.846
manna	මන්නා	0.698	0.294	0.544
manned	මිනිසුන් සහිතයි	0.551	0.588	0.484
mannequin	මැණිකේ	0.427	0.302	0.295
manner	ආකාරයකි	0.618	0.250	0.320
mannered	මනෝභාවයන්ය	0.469	0.556	0.291
manners	පුරුදු	0.816	0.284	0.517
manor	නගරාධිපති	0.646	0.358	0.738
manpower	මිනිස් බලය	0.531	0.620	0.543
mansion	මන්දිරය	0.847	0.490	0.717
mansions	මන්දිර	0.735	0.529	0.777
manslaughter	මිනීමරුවා	0.090	0.920	0.473
mantel	මැන්ටල්	0.500	0.265	0.471
mantis	මැටිඩිස්	0.480	0.355	0.421
mantle	මැන්ටලය	0.510	0.269	0.422
mantra	මැන්ට්ර්රා	0.396	0.249	0.357
manual	අත්පොත	0.635	0.245	0.449
manufacture	නිෂ්පාදනය කරයි	0.868	0.703	0.780
manufacturer	නිෂ්පාදක	0.688	0.537	0.830
manufacturing	නිෂ්පාදනය	0.653	0.613	0.804
manure	පොහොර	0.250	0.471	0.241
manuscript	අත් පිටපත	0.510	0.208	0.540
map	සිතියමයි	0.561	0.229	0.463
maple	මේපල්	0.541	0.390	0.339
mar	මාර්තු	0.622	0.544	0.545
marathon	මැරතන් තරඟය	0.646	0.778	0.740
marble	කිරිගරුඬ	0.604	0.212	0.667
marbled	මැරයෝ ය	0.396	0.385	0.418
marbles	මැරිල්	0.714	0.345	0.241
march	මාර්තු	0.531	0.200	0.483
mare	NO TRANSLATION	0.541	0.320	0.417
margarine	මාගරින්	0.530	0.316	0.333
margarita	මාගරිටා	0.750	0.438	0.420
margin	ආන්තිකය	0.500	0.219	0.331
marginal	ආන්තිකයි	0.235	0.644	0.345
mariachi	මාරියෝචි	0.710	0.559	0.609
marijuana	මරිජුවානා	0.312	0.779	0.558
marinara	මැරිනා	0.657	0.388	0.435
marine	සමුද්රීය	0.633	0.471	0.679
mariner	මැරීන්	0.652	0.491	0.676
marital	විවාහය	0.760	0.529	0.500
maritime	සමුද්රීය	0.646	0.490	0.713
mark	ලකුණ	0.491	0.231	0.600
marked	සළකුණු කර ඇත	0.592	0.358	0.554
marker	සලකුණු කරයි	0.500	0.333	0.605
market	වෙලඳපොල	0.724	0.480	0.521
marketable	විකිණිය හැකිය	0.746	0.545	0.664
marketing	අලෙවි	0.521	0.774	0.675
marketplace	වෙළෙඳපොළයි	0.698	0.420	0.525
marks	ලකුණු	0.430	0.480	0.424
marksman	ලකුණු	0.500	0.833	0.692
marksmanship	ලකුණු	0.573	0.531	0.664
marl	මැල්	0.372	0.471	0.351
marmalade	මාර්මලේ	0.729	0.370	0.288
maroon	මොළය	0.469	0.358	0.336
marooned	නටනවා	0.229	0.480	0.160
marquee	ෂැම්පේන්	0.602	0.284	0.508
marquis	මාර්ක්ස්	0.521	0.444	0.562
marred	බැහැලා	0.181	0.561	0.233
marriage	විවාහ	0.844	0.684	0.750
married	විවාහ විය	0.674	0.570	0.602
marrow	ඇටමිදුළුවකි	0.398	0.422	0.472
marry	විවාහ කරගන්න	0.896	0.765	0.673
marsh	වගුරු බිම්	0.302	0.358	0.277
marshal	මාර්ෂල්	0.469	0.610	0.819
marshmallow	මාෂ්මෙලෝ	0.740	0.441	0.391
mart	මාර්තු	0.531	0.402	0.418
martial	යුද්ධාධිකරණය	0.480	0.710	0.737
martingale	මාටින්ගාලය	0.469	0.510	0.455
martini	මාටිනී	0.828	0.500	0.519
martyr	වීරවරයෙක්	0.281	0.708	0.509
martyrdom	වීරවරයෙක්	0.323	0.745	0.442
marvel	පුදුමයි	0.961	0.755	0.866
marvellous	පුදුමාකාරයි	0.878	0.809	0.849
marvelous	පුදුමාකාරයි	0.948	0.637	0.778
marvelously	පුදුමයි	0.968	0.708	0.764
marzipan	NO TRANSLATION	0.684	0.380	0.258
mascara	ටස්කර් එකක්	0.575	0.450	0.269
mascot	මැස්කොට්	0.750	0.337	0.337
masculine	පුරුෂාධිපත්යයයි	0.653	0.540	0.773
masculinity	පුරුෂාකාරිත්වය	0.583	0.670	0.851
mash	මෑෂ්	0.440	0.363	0.283
mashed	පුළුස්සනු ලැබේ	0.531	0.337	0.194
mask	මැස්සා	0.510	0.490	0.537
masked	වෙස්වලා	0.375	0.549	0.518
masks	වෙස් මුහුණු	0.510	0.472	0.241
masochism	ජනප්රවාදය	0.194	0.845	0.483
masochist	කථාව	0.164	0.784	0.353
mason	මේසන්	0.541	0.442	0.580
masquerade	මැසිවිලි නැඟීම	0.431	0.633	0.446
mass	ස්කන්ධය	0.458	0.245	0.277
massacre	සමූලඝාතනය	0.031	0.887	0.640
massage	සම්බාහනයයි	0.708	0.356	0.413
masses	ජනතාවයි	0.552	0.453	0.473
masseur	බළලා	0.622	0.265	0.463
masseuse	මහජනයා	0.594	0.373	0.391
massive	දැවැන්ත	0.569	0.660	0.750
mast	මස්	0.542	0.390	0.580
master	ස්වාමියා	0.694	0.490	0.849
masterful	දක්ෂයි	0.854	0.510	0.960
mastermind	මාස්ටර්	0.792	0.625	0.918
masterpiece	විශිෂ්ඨ නිර්මාණය	0.926	0.623	0.847
mastery	ව්යාකූලත්වය	0.755	0.648	0.873
masturbate	ස්වයංවින්දනය	0.552	0.926	0.500
masturbation	ස්වයංවින්දනය	0.542	0.961	0.509
mat	මැට්	0.459	0.221	0.304
matador	මැඩador	0.224	0.880	0.667
match	තරගය	0.599	0.573	0.500
matchbook	තරගයයි	0.562	0.391	0.412
matching	ගැලපීම	0.719	0.735	0.418
matchmaker	ගැලපෙන්නන්	0.615	0.509	0.519
mate	බිරිඳයි	0.847	0.417	0.669
material	ද්රව්යය	0.521	0.363	0.439
materialism	ද්රව්යවාදයයි	0.220	0.390	0.556
materialist	භෞතිකවාදී ය	0.255	0.491	0.504
materialistic	භෞතිකවාදී ය	0.420	0.506	0.589
materiality	භෞතිකමය	0.417	0.450	0.636
materialize	සිදුවනු ඇත	0.688	0.596	0.728
materially	ද්රව්යමය වශයෙන්	0.490	0.451	0.670
materials	ද්රව්ය	0.633	0.361	0.473
materiel	ද්රව්ය	0.531	0.294	0.417
maternal	මාතෘමය	0.847	0.417	0.634
maternity	මාතෘත්වය	0.865	0.480	0.622
math	ගණිතය	0.417	0.375	0.600
mathematical	ගණිතමය	0.620	0.500	0.548
mathematician	ගණිතඥයෙක්	0.541	0.418	0.773
mathematics	ගණිතය	0.438	0.435	0.664
matinee	මැටි	0.694	0.578	0.447
mating	ස්රාවය වේ	0.755	0.840	0.759
matriculation	මාතෘ	0.622	0.490	0.675
matrimony	විවාහ විය	0.850	0.637	0.843
matrix	අනුකෘතියයි	0.551	0.378	0.673
matron	මෙනවිය	0.520	0.519	0.555
matted	මැට්ටිං	0.281	0.519	0.393
matter	කාරණයකි	0.487	0.353	0.562
matting	මැටිං	0.479	0.405	0.423
mattress	මෙට්ට	0.612	0.255	0.397
maturation	මේරීම	0.612	0.439	0.698
mature	මේරූ	0.625	0.347	0.600
maturity	පරිණතභාවයයි	0.827	0.400	0.806
maudlin	මැඩින්	0.337	0.417	0.368
mausoleum	මවු රුධිය	0.344	0.281	0.594
mauve	ලෝවැව්	0.533	0.330	0.314
maverick	රංගනය	0.354	0.676	0.409
maxim	උපරිමයෙන්	0.875	0.562	0.887
maximize	උපරිම	0.823	0.765	0.792
maximum	උපරිම	0.724	0.724	0.852
may	මැයි	0.704	0.273	0.245
mayday	මැයි දිනය	0.344	0.643	0.423
mayflower	වර්ණගන්වයි	0.690	0.463	0.429
mayhem	අවාසනාවකි	0.188	0.870	0.364
mayonnaise	මෙයොනීස්	0.510	0.320	0.222
mayor	නගරාධිපති	0.469	0.481	0.818
maze	කූඩුව	0.438	0.608	0.444
mead	මීඩියා	0.667	0.337	0.441
meadow	භූමිය	0.622	0.130	0.382
meager	සොච්චම්	0.144	0.389	0.281
meal	ආහාර වේලක්	0.833	0.461	0.473
mean	අදහස් වේ	0.440	0.467	0.620
meander	මැන්ඩර්	0.480	0.443	0.454
meandering	රැවුල	0.427	0.644	0.539
meanie	මනි	0.388	0.420	0.404
meaning	අර්ථය	0.663	0.395	0.625
meaningful	අර්ථවත්	0.770	0.500	0.802
meaningless	අර්ථ විරහිත ය	0.156	0.314	0.143
meanness	කණගාටුවකි	0.102	0.694	0.368
means	අදහස් කරයි	0.615	0.373	0.460
meantime	ඒ අතර වේ	0.432	0.222	0.300
measles	සරම්ප	0.092	0.635	0.422
measurable	මැනිය හැකි ය	0.604	0.410	0.602
measure	පියවරකි	0.510	0.375	0.365
measured	මැනිය	0.542	0.265	0.578
measurement	මිනුම්	0.622	0.418	0.491
measuring	මැනීම	0.448	0.337	0.529
measuring cup	මිනුම් කෝප්පය	0.557	0.343	0.377
measuring tape	මිනුම් පටිය	0.337	0.280	0.327
meat	මස්	0.612	0.421	0.413
meatball	මස්බෝල්	0.612	0.279	0.343
meathead	මස් ගේ	0.306	0.534	0.490
meatloaf	මස්පිං	0.625	0.389	0.375
mechanic	යාන්ත්රිකයෙකි	0.571	0.433	0.566
mechanical	යාන්ත්රික	0.479	0.569	0.564
mechanics	යාන්ත්ර විද්යාව	0.542	0.500	0.761
mechanism	යාන්ත්රණයක්	0.573	0.583	0.664
med	NO TRANSLATION	0.375	0.429	0.606
medal	පදක්කම්	0.854	0.555	0.746
medallion	මැඩලියනයක්	0.750	0.510	0.710
medallist	පදක්කම්ලාභියාය	0.796	0.821	0.897
meddle	මැදිහත් වෙන්න	0.302	0.770	0.526
meddling	මැදිහත් වීම	0.245	0.600	0.461
media	මාධ්ය	0.500	0.330	0.464
medial	භික්ෂුව	0.458	0.340	0.429
median	මධ්යන්යය	0.459	0.216	0.375
mediate	මැදිහත් වෙන්න	0.635	0.308	0.654
mediation	මැදිහත්වීම	0.661	0.350	0.657
mediator	මැදිහත්කරු	0.592	0.438	0.580
medic	ඖෂධය	0.500	0.472	0.585
medical	වෛද්ය	0.583	0.373	0.616
medicate	ඖෂධයකි	0.417	0.375	0.546
medication	ඖෂධයකි	0.615	0.439	0.500
medicinal	ඖෂධීය	0.667	0.417	0.614
medicine	වෛද්ය විද්යාව	0.708	0.318	0.679
medieval	මධ්යතන යුගයේ	0.560	0.408	0.455
mediocre	මධ්යස්ථයි	0.188	0.481	0.149
mediocrity	මධ්යස්ථභාවය	0.073	0.398	0.225
meditate	මෙනෙහි කරන්න	0.812	0.146	0.564
meditating	භාවනාව	0.718	0.185	0.399
meditation	භාවනාව	0.786	0.120	0.478
meditative	භාවනාත්මකයි	0.614	0.120	0.454
mediterranean	මධ්යධරණී මුහුදේ	0.663	0.454	0.545
medium	මධ්යම	0.559	0.356	0.358
medley	මැක්ලි	0.487	0.352	0.400
meek	නිහතමානී ය	0.531	0.150	0.198
meet	හමු වේ	0.760	0.510	0.580
meeting	රැස්වීම	0.750	0.569	0.613
mega	විශාලයි	0.724	0.538	0.723
meh	මයි	0.380	0.286	0.365
melancholic	බඩවැල්	0.181	0.306	0.277
melancholy	බඩගිනි	0.188	0.260	0.237
melee	මිනිහෙක්	0.541	0.704	0.611
mellow	මෘදුයි	0.633	0.069	0.265
melodious	නටනවා	0.932	0.530	0.587
melodrama	වේදිකා නාට්යය	0.378	0.830	0.446
melodramatic	නටනවා	0.235	0.692	0.368
melody	ගීතයකි	0.847	0.434	0.405
melon	කොමඩු	0.461	0.231	0.271
melt	දියවී යනවා	0.448	0.615	0.312
meltdown	උනුවී යාමයි	0.629	0.657	0.602
melting	දියවී යාමයි	0.592	0.470	0.538
member	සාමාජිකයෙකි	0.698	0.333	0.555
membership	සාමාජිකත්වය	0.698	0.411	0.778
membrane	පටලයයි	0.406	0.430	0.418
memento	සමරු ඵලකය	0.708	0.360	0.536
memo	සටහන	0.625	0.235	0.407
memoir	මතක සටහන්	0.750	0.242	0.553
memorabilia	සිහිවටන	0.780	0.412	0.491
memorable	මතකයේ තබාගන්න	0.939	0.510	0.769
memorandum	සංදේශය	0.600	0.500	0.639
memorial	සිහිවීම	0.602	0.304	0.600
memorials	ස්මාරක	0.771	0.333	0.679
memories	මතකයන්	0.963	0.487	0.510
memoriesiwontforget	NO TRANSLATION	0.635	0.542	0.455
memorize	මතක තබාගන්න	0.520	0.451	0.716
memory	මතකය	0.792	0.378	0.573
menace	තර්ජනයක්	0.125	0.894	0.759
menacing	තර්ජනාත්මකයි	0.042	0.880	0.643
menagerie	මිනිහෙක්	0.573	0.480	0.538
mend	නැවතිමි	0.542	0.436	0.602
mending	අලුත්වැඩියා කිරීම	0.500	0.633	0.657
menial	හිසරදයකි	0.490	0.420	0.352
meningitis	මෙනින්ග්ටිස්	0.104	0.612	0.407
meniscus	මැණිකේ	0.323	0.330	0.453
menopause	ආර්තවහරණය	0.204	0.460	0.306
menses	මුසාවන්	0.163	0.686	0.331
menstrual	ඔප්ෂනල්	0.408	0.519	0.435
mental	මානසික	0.490	0.490	0.585
