Word	Zulu-zu	Valence	Arousal	Dominance
kiwi	ikiwi	0.646	0.273	0.282
klutz	klutz	0.275	0.451	0.356
knack	knack	0.562	0.518	0.820
knapsack	i-knapsack	0.551	0.317	0.268
knead	khumula	0.490	0.457	0.345
knee	amadolo	0.520	0.245	0.396
kneecap	i-kneecap	0.427	0.360	0.440
kneel	bhuqa	0.426	0.417	0.217
kneeling	eguqa	0.245	0.435	0.144
knell	i-knell	0.354	0.500	0.377
knick	knick	0.480	0.509	0.420
knickers	ama-knickers	0.552	0.428	0.328
knife	ummese	0.344	0.717	0.573
knight	knight	0.780	0.441	0.835
knighthood	knighthood	0.740	0.660	0.769
knit	ziboshwe	0.630	0.144	0.295
knob	i-knob	0.340	0.360	0.272
knock	knock	0.312	0.531	0.527
knockoff	knockoff	0.350	0.606	0.240
knockout	ukukhwabanisa	0.388	0.755	0.664
knoll	knoll	0.434	0.347	0.333
knot	i-knot	0.541	0.221	0.408
knots	amafindo	0.418	0.346	0.267
knotted	i-knotted	0.226	0.412	0.294
know	wazi	0.765	0.361	0.704
knowing	wazi	0.833	0.353	0.658
knowingly	uyazi	0.500	0.459	0.481
knowledge	ulwazi	0.847	0.430	0.896
knowledgeable	ulwazi	0.865	0.455	0.971
knuckle	beka	0.655	0.333	0.393
knucklehead	i-knucklehead	0.157	0.485	0.288
knuckles	i-knuckles	0.271	0.461	0.320
koala	i-koala	0.608	0.210	0.311
kook	NO TRANSLATION	0.417	0.471	0.398
kooky	i-kooky	0.418	0.582	0.366
kool-aid	i-kool-aid	0.531	0.318	0.393
kos	kos	0.500	0.471	0.407
kosher	i-kosher	0.469	0.443	0.312
kraut	NO TRANSLATION	0.388	0.500	0.390
kris	i-kris	0.427	0.417	0.407
kryptonite	kryptonite	0.306	0.690	0.588
kudos	kudos	0.925	0.587	0.642
kumquat	kumquat	0.417	0.426	0.390
lab	ibhu	0.479	0.500	0.600
label	ilebula	0.582	0.245	0.423
labor	umsebenzi	0.594	0.639	0.754
laboratory	laboratory	0.571	0.490	0.537
labored	wasebenza	0.646	0.451	0.637
laborer	umsebenzi	0.561	0.510	0.698
laboring	ukusebenza	0.705	0.644	0.737
laborious	enzima kakhulu	0.393	0.635	0.709
labyrinth	i-labyrinth	0.479	0.811	0.491
lac	i-lac	0.408	0.418	0.331
lace	i-lace	0.625	0.200	0.293
laceration	i-laceration	0.143	0.667	0.443
lack	ukungabi nalutho	0.250	0.365	0.242
lackey	i-lackey	0.260	0.510	0.166
lacking	ayitholakali	0.229	0.375	0.121
lackluster	ukuhluleka	0.250	0.311	0.264
lacquer	i-lacquer	0.510	0.353	0.258
lacrosse	i-lacrosse	0.573	0.656	0.509
lactose	i-lactose	0.479	0.290	0.433
lad	umfana	0.637	0.388	0.336
ladder	isiteji	0.560	0.438	0.358
laddie	laddie	0.668	0.539	0.391
laden	egcwele	0.392	0.478	0.554
lading	ukuhamba	0.388	0.463	0.409
ladle	ladle	0.531	0.368	0.352
lady	lady	0.854	0.481	0.602
lady bug	NO TRANSLATION	0.490	0.434	0.381
ladybug	ladybug	0.602	0.400	0.224
ladylike	ladylike	0.592	0.559	0.538
ladyship	ukulingana	0.561	0.480	0.822
lag	lag	0.220	0.375	0.246
lager	NO TRANSLATION	0.584	0.480	0.353
lagging	ukungena	0.135	0.538	0.277
lagoon	i-lagoon	0.660	0.231	0.373
lair	indawo	0.469	0.438	0.392
laity	ubuqotho	0.510	0.320	0.487
lake	echibi	0.694	0.196	0.425
lama	NO TRANSLATION	0.560	0.320	0.400
lamb	inyama yemvu	0.646	0.284	0.321
lame	okhubazekile	0.145	0.410	0.217
lament	lila	0.198	0.398	0.352
lamenting	ukukhala	0.156	0.390	0.254
lamina	lamina	0.510	0.314	0.408
laminated	laminated	0.417	0.304	0.373
lamp	isibani	0.510	0.260	0.309
lamppost	iposi lelambu	0.420	0.337	0.455
lance	lance	0.406	0.620	0.587
lancer	i-lancer	0.417	0.528	0.519
land	umhlaba	0.582	0.260	0.616
landed	wafika	0.709	0.620	0.480
landfall	ukufika komhlaba	0.521	0.434	0.407
landfill	ukuthuthwa komhlaba	0.398	0.423	0.324
landing	ukufika	0.552	0.696	0.596
landlady	umhlalaphansi	0.677	0.303	0.417
landlocked	i-landlocked	0.280	0.391	0.367
landlord	umninikhaya	0.684	0.500	0.858
landmark	uphawu lomhlaba	0.694	0.355	0.681
lands	amazwe	0.594	0.280	0.492
landscape	i-landscape	0.719	0.176	0.423
landscaping	ukuhlelwa kwemvelo	0.823	0.379	0.519
landslide	i-landslide	0.250	0.864	0.530
lane	umzila	0.449	0.490	0.451
language	ulimi	0.677	0.337	0.704
languid	i-languid	0.281	0.270	0.283
languish	ihluleka	0.235	0.408	0.382
languishing	ukuphelelwa amandla	0.308	0.459	0.353
lanky	lanky	0.412	0.426	0.370
lantern	ilanga	0.622	0.250	0.243
lap	ithanga	0.583	0.510	0.412
lapdog	i-lapdog	0.388	0.490	0.269
lapel	i-lapel	0.460	0.287	0.288
lapse	iphela	0.420	0.316	0.281
lapsed	iphelile	0.357	0.333	0.276
laptop	i-laptop	0.724	0.270	0.519
larceny	i-larceny	0.272	0.821	0.454
lard	isinqumelo	0.427	0.239	0.179
larder	lisa	0.656	0.290	0.509
large	ezinkulu	0.704	0.565	0.736
larger	sikhulu	0.729	0.654	0.763
largo	NO TRANSLATION	0.521	0.480	0.517
lark	i-lark	0.570	0.292	0.352
larva	i-larva	0.245	0.423	0.254
laryngitis	i-laryngitis	0.125	0.500	0.370
larynx	i-larynx	0.460	0.420	0.402
lasagna	i-lasagna	0.719	0.441	0.396
laser	laser	0.469	0.531	0.769
lash	lash	0.235	0.794	0.609
lass	lass	0.656	0.536	0.433
lasso	lasso	0.438	0.460	0.339
lastday	NO TRANSLATION	0.309	0.580	0.463
lasting	ehlala njalo	0.804	0.535	0.745
lastminute	lastminute	0.418	0.582	0.385
latch	latch	0.395	0.263	0.288
late	sekwephuzile	0.245	0.358	0.315
lateness	i-lateness	0.214	0.388	0.343
latent	ivuliwe	0.469	0.500	0.653
lateral	i-lateral	0.469	0.370	0.322
laterally	kamuva	0.562	0.255	0.450
latex	i-latex	0.479	0.413	0.325
lathe	ukuklolodela	0.510	0.450	0.425
lather	lather	0.635	0.327	0.313
latitude	i-latitude	0.562	0.306	0.490
latrine	indlu yangasese	0.380	0.353	0.176
latrines	izindlu zangasese	0.214	0.462	0.267
latte	i-latté	0.615	0.320	0.311
lattice	i-lattice	0.406	0.420	0.349
laud	dumisa	0.493	0.427	0.383
laudable	ehloniphekile	0.740	0.472	0.682
laudation	ukudumisa	0.542	0.547	0.623
laudatory	i-laudatory	0.612	0.417	0.450
laugh	ukuhleka	0.980	0.639	0.587
laughable	laughable	0.592	0.627	0.298
laughing	ukuhleka	0.906	0.596	0.534
laughingstock	NO TRANSLATION	0.427	0.779	0.312
laughs	uhleka	0.812	0.846	0.425
laughter	ukuhleka	0.959	0.654	0.588
launch	uqalise	0.684	0.814	0.598
launcher	isiqalisi	0.677	0.745	0.808
launches	iqala	0.490	0.663	0.602
launder	isihluthulelo	0.479	0.450	0.349
laundering	ukukhipha	0.439	0.327	0.444
laundry	laundry	0.644	0.292	0.377
laureate	laureate	0.724	0.402	0.702
laurel	i-laurel	0.646	0.146	0.302
laurels	ama-laurels	0.684	0.279	0.545
lava	i-lava	0.280	0.539	0.615
lavage	geza	0.615	0.467	0.361
lavatory	ukuvuthwa	0.510	0.400	0.259
lavender	i-lavender	0.812	0.198	0.388
lavish	kukhululekile	0.792	0.648	0.730
law	umthetho	0.740	0.590	0.815
lawful	ngokomthetho	0.660	0.394	0.780
lawless	okungenamthetho	0.219	0.690	0.420
lawlessness	ukungabi namthetho	0.156	0.804	0.509
lawman	ummeli	0.510	0.523	0.786
lawn	utshani	0.686	0.153	0.192
lawnmower	umgundi wotshani	0.480	0.531	0.355
lawsuit	icala	0.219	0.794	0.611
lawyer	ummeli	0.521	0.569	0.784
lax	lax	0.430	0.401	0.300
laxative	i-laxative	0.271	0.550	0.528
lay	beka	0.521	0.336	0.491
layaway	layaway	0.429	0.510	0.451
layer	ungqimba	0.500	0.208	0.366
layered	layered	0.571	0.306	0.436
layman	u-layman	0.531	0.339	0.424
layout	isakhiwo	0.615	0.442	0.557
layover	i-layover	0.520	0.355	0.500
laziness	ubuvila	0.271	0.240	0.132
lazy	ovilaphayo	0.392	0.264	0.096
lazyday	NO TRANSLATION	0.337	0.319	0.145
lea	lea	0.583	0.294	0.358
lead	ukuhola	0.323	0.657	0.455
leaded	uhola	0.439	0.625	0.595
leader	umholi	0.833	0.582	0.926
leadership	ubuholi	0.870	0.690	0.983
leading	ehola	0.823	0.698	0.954
leads	uhola	0.530	0.471	0.615
leaf	amaqabunga	0.583	0.156	0.294
leaflet	ishidi	0.490	0.206	0.375
leafy	amaqabunga	0.653	0.530	0.700
league	ilungu	0.656	0.340	0.462
leak	ukuvuza	0.378	0.833	0.520
leakage	ukuvuza	0.188	0.731	0.528
leaky	kuvuza	0.170	0.686	0.288
lean	incike	0.734	0.353	0.438
leaned	incike	0.570	0.373	0.490
leaning	ukugxila	0.480	0.409	0.352
leap	qhafaza	0.750	0.663	0.667
learn	funda	0.833	0.643	0.829
learned	wafunda	0.704	0.462	0.543
learner	umfundi	0.698	0.475	0.398
learning	ukufunda	0.833	0.588	0.574
lease	ukuqasha	0.520	0.463	0.545
leash	i-leash	0.320	0.347	0.427
leather	isikhumba	0.510	0.324	0.341
leathery	isikhumba	0.418	0.471	0.411
leave	shiya	0.375	0.315	0.295
leavemealone	ngiyeke	0.240	0.472	0.402
leaving	ushiye	0.163	0.542	0.371
lecherous	i-lecherous	0.135	0.704	0.376
lecture	inkulumo	0.594	0.462	0.737
lecturer	umfundisi	0.677	0.549	0.736
ledge	umzila	0.406	0.235	0.339
ledger	isikhombisi	0.510	0.362	0.609
lee	lee	0.510	0.269	0.296
leech	i-leech	0.250	0.623	0.268
leeches	izinhlanzi	0.115	0.698	0.295
leer	NO TRANSLATION	0.612	0.348	0.509
leery	isilo	0.337	0.640	0.410
lees	NO TRANSLATION	0.360	0.567	0.406
leeway	i-leeway	0.562	0.577	0.569
left	kwesokunxele	0.354	0.370	0.361
leftout	NO TRANSLATION	0.229	0.365	0.245
leftover	kusele	0.490	0.460	0.222
leftovers	okusele	0.219	0.350	0.116
lefty	kusele	0.490	0.406	0.379
leg	umlenze	0.510	0.373	0.313
legacy	ifa	0.792	0.529	0.827
legal	ngokomthetho	0.653	0.387	0.887
legality	umthetho	0.765	0.343	0.713
legalize	ibhaliswe ngokomthetho	0.510	0.460	0.818
legalized	ngokomthetho	0.760	0.440	0.855
legally	ngokomthetho	0.771	0.482	0.842
legend	inganekwane	0.837	0.519	0.750
legendary	okuyingqayizivele	0.857	0.537	0.863
legibility	ukufaneleka	0.771	0.481	0.580
legible	ebonakalayo	0.673	0.279	0.509
legion	i-legion	0.469	0.570	0.852
legislate	umthetho	0.571	0.582	0.736
legislation	umthetho	0.531	0.418	0.808
legislative	umthetho	0.633	0.365	0.800
legislator	isishayamthetho	0.490	0.580	0.877
legislature	isishayamthetho	0.540	0.435	0.698
legit	i-legit	0.747	0.427	0.849
legitimacy	ukufaneleka	0.823	0.420	0.855
legitimate	okusemthethweni	0.792	0.363	0.841
lego	i-lego	0.600	0.294	0.189
legs	imilenze	0.479	0.407	0.228
legume	i-legume	0.520	0.302	0.465
legwork	umlenze	0.622	0.560	0.509
leisure	ukuzilibazisa	0.631	0.429	0.421
leisurely	ngokuzilibazisa	0.806	0.250	0.367
lemma	lemma	0.530	0.284	0.391
lemon	ilamuna	0.596	0.317	0.316
lemonade	ilamuna	0.661	0.287	0.412
lend	mboleka	0.520	0.461	0.508
lender	umboleki	0.340	0.520	0.703
lending	ukubolekisa	0.510	0.585	0.462
length	ubude	0.479	0.308	0.533
lengthen	lide	0.619	0.481	0.566
lengthened	lide	0.448	0.530	0.474
lengthening	ukulula	0.673	0.530	0.528
lengthwise	ubude obude	0.571	0.470	0.528
lengthy	eside	0.570	0.342	0.528
leniency	leniency	0.517	0.436	0.545
lenient	okuncane	0.520	0.451	0.340
lens	lens	0.420	0.245	0.472
leopard	ingwe	0.542	0.755	0.611
leotard	i-leotard	0.510	0.429	0.391
leper	onochoko	0.075	0.589	0.206
leprechaun	leprechaun	0.417	0.480	0.417
leprosy	uchoko	0.130	0.670	0.349
lesbian	abashadile	0.385	0.660	0.415
lesbianism	ubulili besifazane	0.327	0.725	0.440
lesion	i-lesion	0.240	0.623	0.361
less	Ngaphansi	0.265	0.240	0.115
lessee	baqashile	0.417	0.474	0.595
lessen	unciphise	0.235	0.284	0.255
lessening	ukwehlisa	0.375	0.300	0.277
lesser	ngaphansi	0.396	0.167	0.211
lesson	isifundo	0.704	0.577	0.593
lessor	ungaphansi	0.552	0.490	0.623
let	vumela	0.427	0.373	0.307
lethal	ezibulalayo	0.156	0.800	0.745
lethargic	i-lethargic	0.214	0.245	0.375
lethargy	ubuqili	0.194	0.302	0.316
letter	incwadi	0.635	0.279	0.342
lettered	okufakwe ohlwini	0.542	0.361	0.482
letterhead	i-letterhead	0.450	0.316	0.462
lettering	izincwadi	0.541	0.180	0.431
letters	izincwadi	0.663	0.327	0.364
lettuce	ulethisi	0.594	0.163	0.291
leukemia	i-leukemia	0.094	0.572	0.351
levee	i-levee	0.520	0.324	0.490
level	izinga	0.622	0.277	0.491
lever	i-lever	0.400	0.343	0.402
leverage	sebenzisa	0.459	0.500	0.629
levitate	lisa	0.561	0.598	0.551
levy	umholo	0.438	0.420	0.491
lewd	okungcolile	0.188	0.673	0.412
lexicon	i-lexicon	0.561	0.463	0.615
ley	NO TRANSLATION	0.604	0.389	0.764
liabilities	izikweletu	0.429	0.608	0.694
liability	icala	0.646	0.500	0.802
liable	unesibopho	0.656	0.519	0.821
liaison	ukuxhumana	0.698	0.337	0.472
liar	ungumqambimanga	0.042	0.606	0.339
libel	isifungo	0.128	0.694	0.403
libelous	libelous	0.125	0.735	0.436
liberal	inkululeko	0.565	0.565	0.755
liberalism	ukukhululeka	0.562	0.712	0.750
liberate	khulula	0.760	0.632	0.708
liberated	ikhululiwe	0.780	0.630	0.683
liberating	ukukhulula	0.915	0.620	0.745
liberation	inkululeko	0.745	0.614	0.857
liberty	inkululeko	0.938	0.579	0.836
libido	libido	0.770	0.602	0.571
librarian	umtapo wolwazi	0.625	0.135	0.509
library	umtapo wolwazi	0.776	0.122	0.549
libretto	freetto	0.612	0.328	0.406
lice	i-lice	0.133	0.500	0.194
license	ilayisense	0.500	0.394	0.702
lichen	lichen	0.418	0.388	0.463
lick	lick	0.470	0.482	0.330
licorice	i-licorice	0.677	0.310	0.400
lid	isembozo	0.490	0.189	0.255
lie	amanga	0.130	0.725	0.272
liege	ukulala	0.479	0.426	0.452
lien	isixhumanisi	0.396	0.580	0.441
lieu	indawo	0.427	0.410	0.312
lieutenant	u-lieutenant	0.594	0.612	0.920
life	ukuphila	0.918	0.615	0.824
lifeblood	igazi lokuphila	0.673	0.690	0.708
lifeboat	ibhulogi lokuphila	0.724	0.425	0.533
lifeguard	Umtakuli wokubhukuda	0.870	0.606	0.786
lifeisgood	lifeisgood	0.812	0.575	0.611
lifeless	abangenampilo	0.042	0.333	0.163
lifelike	okufana nokuphila	0.776	0.567	0.765
lifeline	ukuphakama	0.735	0.552	0.496
lifelong	impilo yonke	0.823	0.330	0.640
lifer	lifer	0.427	0.519	0.398
lifesaver	ukuphilisa	0.908	0.745	0.703
lifestyle	indlela yokuphila	0.750	0.472	0.645
lifesucks	Impilo iyabheda	0.167	0.637	0.377
lifetime	isikhathi sokuphila	0.816	0.559	0.736
lift	phakamisa	0.704	0.518	0.656
lifted	uphakanyisiwe	0.714	0.441	0.657
liftoff	sukumisa	0.531	0.667	0.588
ligament	ligament	0.490	0.410	0.510
ligation	i-ligation	0.344	0.423	0.396
ligature	ligature	0.478	0.430	0.447
light	ukukhanya	0.771	0.320	0.519
light year	unyaka okhanyayo	0.719	0.425	0.593
lightbulb	ibhalobhu yogesi	0.573	0.255	0.302
lighten	ukukhanya	0.688	0.438	0.362
lightheaded	ikhanda elikhanyayo	0.347	0.620	0.255
lighthouse	i-lighthouse	0.622	0.240	0.510
lighting	ukukhanyisa	0.765	0.440	0.750
lightness	ukukhanya	0.794	0.360	0.526
lightning	umbani	0.429	0.683	0.595
lights	izibani	0.750	0.480	0.575
lightweight	okulula	0.670	0.300	0.358
likable	uyathandekayo	0.865	0.480	0.663
like	like	0.719	0.353	0.446
likelihood	amathuba	0.760	0.469	0.542
likely	cishe	0.633	0.356	0.454
likeness	isimo	0.688	0.410	0.561
likewise	ngokufanayo	0.651	0.217	0.312
liking	ukuthanda	0.963	0.604	0.589
lilac	i-lilac	0.688	0.180	0.357
lily	i-lily	0.640	0.245	0.263
limb	isitho	0.510	0.397	0.427
limber	i-limber	0.688	0.729	0.673
limbo	limbo	0.385	0.284	0.309
lime	eluhlaza	0.594	0.240	0.415
limelight	ukukhanya	0.667	0.639	0.694
limestone	i-limestone	0.602	0.323	0.381
limey	limey	0.469	0.347	0.415
limit	umkhawulo	0.427	0.453	0.500
limitation	umkhawulo	0.190	0.431	0.225
limited	kunqunyelwe	0.229	0.273	0.380
limitless	okungenamkhawulo	0.688	0.574	0.655
limo	i-limo	0.760	0.367	0.667
limousine	limousine	0.638	0.531	0.640
limp	limp	0.393	0.440	0.172
lin	lin	0.416	0.362	0.343
line	umugqa	0.541	0.180	0.353
lineage	isizukulwane	0.633	0.465	0.721
lineal	lineal	0.521	0.170	0.474
linear	okukodwa	0.646	0.250	0.472
linebacker	i-linebacker	0.490	0.660	0.543
lined	ihlanganisiwe	0.438	0.367	0.424
linen	ilineni	0.656	0.323	0.286
liner	i-liner	0.469	0.396	0.400
lines	imigqa	0.542	0.317	0.330
lineup	ima emugqeni	0.635	0.427	0.638
linger	ihlala isikhathi eside	0.480	0.311	0.412
lingerie	lingerie	0.543	0.463	0.308
lingering	iqhubeka	0.630	0.643	0.667
lingo	lingo	0.448	0.364	0.447
lingual	lingual	0.500	0.457	0.315
linguini	linguini	0.625	0.338	0.355
linguist	isilimi	0.583	0.330	0.634
linguistic	ulimi	0.646	0.351	0.618
linguistics	izilimi	0.552	0.390	0.618
lining	ukugqoka	0.571	0.363	0.472
link	isixhumanisi	0.427	0.264	0.491
linoleum	linoleum	0.510	0.378	0.402
lint	i-lint	0.388	0.173	0.214
lion	ingonyama	0.532	0.717	0.682
lip	lip	0.541	0.348	0.443
liposuction	i-liposuction	0.292	0.684	0.464
lipstick	i-lipstick	0.653	0.429	0.306
liquefaction	ukuphuza	0.449	0.622	0.535
liquefied	liquefied	0.562	0.463	0.342
liqueur	utshwala	0.670	0.612	0.389
liquid	amanzi	0.562	0.235	0.307
liquidate	ukukhipha	0.327	0.654	0.664
liquidation	ukukhishwa kwemali	0.417	0.625	0.649
liquidator	i-liquidator	0.354	0.663	0.750
liquidity	izimali	0.688	0.529	0.534
liquor	utshwala	0.603	0.702	0.433
lira	NO TRANSLATION	0.530	0.255	0.370
lisp	lisp	0.365	0.412	0.288
list	uhlu	0.528	0.260	0.402
listen	lalela	0.771	0.360	0.445
listener	umlaleli	0.667	0.375	0.403
listenting	NO TRANSLATION	0.640	0.377	0.491
listing	uhlu	0.438	0.273	0.432
listless	uhlulekile	0.219	0.350	0.231
listneing	NO TRANSLATION	0.531	0.370	0.433
litany	i-litany	0.510	0.365	0.482
liter	ilitha	0.573	0.208	0.382
literacy	ukufunda nokubhala	0.730	0.306	0.638
literal	ngokoqobo	0.570	0.353	0.574
literally	ngokoqobo	0.571	0.353	0.673
literary	ukubhala	0.719	0.324	0.667
literature	izincwadi	0.708	0.250	0.598
lithe	lithe	0.656	0.596	0.602
lithium	lithium	0.417	0.330	0.430
lithograph	isithograph	0.551	0.327	0.481
lithography	i-lithography	0.561	0.346	0.473
lithology	lithology	0.519	0.378	0.525
lithosphere	lithosphere	0.473	0.333	0.689
litigant	eliphikisayo	0.219	0.577	0.696
litigate	ukuphikisa	0.260	0.819	0.712
litigation	icala	0.388	0.760	0.602
litigator	umbhikishi	0.429	0.630	0.732
litigious	zivusa	0.360	0.736	0.632
litter	udoti	0.255	0.551	0.110
little	kancane	0.385	0.160	0.213
littlethings	izinto ezincane	0.740	0.311	0.242
littoral	littoral	0.551	0.387	0.452
liturgy	i-liturgy	0.490	0.327	0.568
live	phila	0.880	0.673	0.676
livelife	Phila impilo	0.792	0.624	0.664
livelihood	zokuphila	0.698	0.481	0.721
lively	okujabulisayo	0.847	0.810	0.642
liven	liven	0.708	0.713	0.673
liver	isibindi	0.439	0.290	0.385
livery	livery	0.510	0.417	0.429
livestock	imfuyo	0.729	0.420	0.519
livid	ngokucacile	0.469	0.788	0.490
living	ukuphila	0.865	0.608	0.727
lizard	i-lizard	0.378	0.375	0.324
llama	llama	0.490	0.590	0.519
lml	lml	0.448	0.519	0.385
load	umthwalo	0.385	0.417	0.528
loader	umthwalo wokulayisha	0.562	0.377	0.686
loaf	isinkwa	0.755	0.250	0.277
loafer	loafer	0.235	0.396	0.254
loam	loam	0.469	0.373	0.673
loan	mboleko	0.552	0.480	0.352
loath	loath	0.135	0.714	0.445
loathe	hlehlisa	0.094	0.730	0.429
loathful	ehle	0.068	0.740	0.358
loathing	ukuzonda	0.083	0.796	0.368
loathsome	elihle	0.120	0.694	0.343
lobby	indawo yokubamba iqhaza	0.625	0.427	0.472
lobbyist	lobbyist	0.385	0.527	0.565
lobe	lobe	0.459	0.364	0.352
lobotomy	i-lobotomy	0.296	0.598	0.402
lobster	isikhuphashe	0.571	0.356	0.291
local	zendawo	0.656	0.269	0.452
locale	indawo	0.449	0.387	0.352
locality	indawo	0.582	0.336	0.464
localization	indawo yangakini	0.552	0.330	0.545
localize	indawo	0.520	0.481	0.679
localized	indawo	0.490	0.460	0.621
locate	thola	0.583	0.520	0.786
location	indawo	0.615	0.375	0.546
locator	indawo	0.480	0.426	0.614
loch	loch	0.449	0.235	0.425
lock	ukukhiya	0.271	0.585	0.600
locker	okhiqiza	0.439	0.300	0.393
locket	ilokhi	0.615	0.327	0.616
locksmith	locksmith	0.510	0.417	0.491
lockup	indawo	0.240	0.602	0.617
loco	indawo	0.306	0.774	0.226
locomotion	locomotion	0.470	0.600	0.595
locomotive	locomotive	0.542	0.650	0.721
locust	inkumbi	0.479	0.412	0.417
lode	NO TRANSLATION	0.365	0.423	0.318
lodge	ukulala	0.656	0.356	0.474
lodger	indawo yokuhlala	0.480	0.448	0.304
lodging	ukulala	0.713	0.286	0.527
loft	loft	0.510	0.378	0.343
lofty	ephakeme	0.755	0.306	0.569
log	log	0.591	0.371	0.395
logarithm	i-logarithm	0.520	0.439	0.551
logarithmic	i-logarithmic	0.469	0.458	0.606
logic	logic	0.646	0.245	0.819
logical	kunengqondo	0.805	0.400	0.648
logistics	logistics	0.633	0.500	0.730
logo	logo	0.469	0.296	0.565
logotype	i-logotype	0.480	0.337	0.509
loin	NO TRANSLATION	0.420	0.298	0.379
lollipop	lollipop	0.628	0.483	0.357
lone	yedwa	0.198	0.204	0.367
loneliness	isizungu	0.146	0.182	0.222
lonely	unesizungu	0.250	0.226	0.238
loner	unesizungu	0.347	0.152	0.221
lonesome	lonesome	0.281	0.213	0.336
long	eside	0.541	0.353	0.543
longboat	esideboat	0.551	0.454	0.490
longevity	isikhathi eside	0.750	0.353	0.745
longing	ukulangazelela	0.604	0.434	0.560
longitude	ubude	0.479	0.310	0.516
longitudinal	longitudinal	0.542	0.398	0.582
longitudinally	isikhathi eside	0.541	0.380	0.569
longtime	isikhathi eside	0.362	0.442	0.546
loo	i-loo	0.385	0.357	0.283
look	bheka	0.719	0.429	0.615
looker	umbukeli	0.583	0.354	0.451
lookout	Qapha	0.698	0.538	0.639
loom	phumula	0.531	0.245	0.325
looming	esondela	0.367	0.750	0.528
loon	loon	0.429	0.392	0.325
loony	loony	0.439	0.474	0.295
loop	i-loop	0.516	0.343	0.317
loophole	i-loophole	0.406	0.755	0.491
loopy	loopy	0.438	0.520	0.195
loose	okuxekethile	0.573	0.312	0.365
loosen	khulula	0.487	0.337	0.218
loosening	ukukhulula	0.378	0.343	0.295
loot	ukuphanga	0.604	0.711	0.537
lop	phumula	0.429	0.363	0.426
lopsided	ehlelekile	0.125	0.500	0.272
lord	Nkosi	0.618	0.327	0.684
lords	amakhosi	0.571	0.356	0.781
lordship	ubukhosi	0.573	0.557	0.736
lore	ulahlekile	0.719	0.373	0.768
lorry	amorori	0.521	0.481	0.402
lose	ulahlekelwe	0.115	0.538	0.176
loser	ulahlekile	0.083	0.510	0.155
losing	ukulahlekelwa	0.076	0.686	0.223
loss	ukulahleka	0.062	0.567	0.211
lost	ilahlekile	0.199	0.663	0.148
lot	okuningi	0.531	0.215	0.370
lotion	lotion	0.724	0.261	0.188
lots	inkatho	0.604	0.417	0.424
lottery	i-lottery	0.771	0.731	0.491
lotto	lotto	0.760	0.635	0.475
lotus	i-lotus	0.604	0.377	0.510
loud	ngokuzwakalayo	0.573	0.650	0.870
loudly	ngokuzwakalayo	0.541	0.755	0.667
loudmouth	i-loudmouth	0.337	0.615	0.456
loudness	umsindo	0.350	0.582	0.620
loudspeaker	i-loudspeaker	0.490	0.735	0.689
lounge	ukuphumula	0.592	0.245	0.466
lounging	ukudumisa	0.735	0.167	0.449
louse	louse	0.184	0.439	0.154
lousy	lousy	0.125	0.482	0.234
lovable	ethandekayo	0.948	0.335	0.565
love	uthando	1.000	0.519	0.673
loved	othandekayo	0.927	0.452	0.582
lovee	uthando	0.949	0.592	0.611
loveee	loveee	0.927	0.592	0.693
loveless	abangenalo uthando	0.102	0.365	0.216
lovelife	NO TRANSLATION	0.837	0.610	0.592
loveliness	ubuhle	0.959	0.509	0.750
lovelovelove	NO TRANSLATION	0.948	0.582	0.554
lovely	lovely	0.917	0.456	0.741
lovemaking	i-lovemaking	0.969	0.927	0.814
lovemylife	NO TRANSLATION	0.896	0.800	0.573
lover	umthandi	0.881	0.816	0.750
lovesick	u-loveick	0.796	0.842	0.500
lovethis	lovedis	0.867	0.552	0.526
loving	ngothando	0.948	0.612	0.636
lovinglife	i-lovelife	0.979	0.404	0.673
lovinlife	lovinlife	0.714	0.460	0.544
low	phansi	0.292	0.220	0.102
lowdown	lowdown	0.306	0.441	0.441
lower	ephansi	0.327	0.296	0.258
lowering	ukwehla	0.286	0.363	0.236
lowest	okuphansi kakhulu	0.312	0.304	0.129
lowlands	iziqhingi	0.323	0.290	0.331
lowlife	ukuphila okuphansi	0.296	0.529	0.309
lowly	ophansi	0.562	0.294	0.417
lox	lox	0.490	0.373	0.318
loyal	ethembekile	0.896	0.265	0.657
loyalty	ukwethembeka	0.885	0.406	0.793
lsd	lsd	0.375	0.471	0.390
luau	luau	0.594	0.545	0.296
lube	lube	0.552	0.490	0.411
lubricant	i-lubricant	0.656	0.550	0.454
lubricate	lubricate	0.552	0.490	0.470
lubrication	lubrication	0.624	0.646	0.491
lucid	lucid	0.771	0.490	0.705
luck	inhlanhla	0.854	0.490	0.717
luckiest	lucestest	0.917	0.690	0.852
lucky	lucky	0.960	0.610	0.793
luckygirl	luckygirl	0.781	0.712	0.471
lucrative	ezuzisa kakhulu	0.729	0.519	0.798
ludicrous	lukhulu	0.137	0.553	0.274
lug	isikhwama	0.344	0.443	0.340
luggage	imithwalo	0.561	0.226	0.319
lukewarm	ukufudumala	0.573	0.300	0.241
lull	lull	0.602	0.130	0.402
lullaby	lullaby	0.796	0.156	0.339
lumbar	lumbar	0.323	0.418	0.342
lumber	imithi	0.517	0.184	0.373
lumbering	ukugubha	0.354	0.561	0.655
lumberjack	i-lumberjack	0.500	0.660	0.726
