Word	Tagalog (Filipino)-tl	Valence	Arousal	Dominance
minibus	minibus	0.439	0.390	0.428
minim	NO TRANSLATION	0.518	0.208	0.138
minimal	minimal	0.448	0.147	0.206
minimize	mabawasan	0.360	0.236	0.311
minimized	pinaliit	0.458	0.137	0.208
minimum	pinakamaliit	0.380	0.198	0.194
mining	pagmimina	0.633	0.598	0.554
minion	minion	0.490	0.430	0.167
minister	ministro	0.547	0.441	0.892
ministerial	ministeryal	0.571	0.519	0.660
ministry	ministeryo	0.510	0.346	0.717
minivan	minivan	0.592	0.356	0.452
mink	mink	0.560	0.515	0.430
minnow	minnow	0.541	0.367	0.364
minor	menor de edad	0.250	0.235	0.175
minority	minorya	0.310	0.332	0.211
minstrel	minstrel	0.458	0.541	0.397
mint	mint	0.688	0.221	0.345
minty	minty	0.635	0.292	0.361
minuscule	minuscule	0.396	0.286	0.214
minute	minuto	0.582	0.279	0.356
minutiae	minutiae	0.323	0.257	0.316
minx	minx	0.448	0.519	0.404
mir	NO TRANSLATION	0.417	0.339	0.355
miracle	himala	0.917	0.607	0.806
miracles	mga himala	0.922	0.735	0.692
miraculous	kahanga-hanga	0.875	0.706	0.812
mirage	mirage	0.546	0.487	0.562
mire	NO TRANSLATION	0.344	0.376	0.298
mirror	salamin	0.677	0.310	0.438
mirth	kalayawan	0.888	0.640	0.608
misappropriation	maling paggamit	0.097	0.831	0.500
misbehave	magkagulo	0.020	0.847	0.304
misbehavior	maling gawain	0.031	0.704	0.269
miscalculation	maling pagkalkula	0.177	0.490	0.353
miscarriage	kabiguan	0.042	0.781	0.312
miscellaneous	sari-sari	0.531	0.321	0.196
miscellany	miscellany	0.500	0.412	0.384
mischief	kapilyuhan	0.385	0.834	0.292
mischievous	malikot	0.439	0.804	0.472
misconception	maling kuru-kuro	0.210	0.557	0.291
misconduct	masamang asal	0.061	0.667	0.304
misdemeanor	misdemeanor	0.210	0.640	0.364
misdirection	misdirection	0.131	0.710	0.281
miser	miser	0.208	0.633	0.311
miserable	miserable	0.062	0.461	0.188
miserably	napakahirap	0.280	0.545	0.150
misery	paghihirap	0.146	0.378	0.158
misfire	diyan ay walang bisa	0.153	0.453	0.200
misfit	hindi tama	0.173	0.500	0.393
misfortune	kasawian	0.094	0.780	0.311
misguided	NO TRANSLATION	0.280	0.531	0.259
mishap	mishap	0.071	0.654	0.227
misinformed	maling impormasyon	0.156	0.567	0.250
misinterpretation	maling pakahulugan	0.112	0.556	0.360
mislead	iligaw	0.167	0.765	0.412
misleading	nakakalito	0.070	0.660	0.272
misled	napilitan	0.177	0.606	0.353
mismanagement	maling pamamahala	0.094	0.520	0.295
mismatch	mismatch	0.250	0.459	0.282
mismatched	mismatched	0.250	0.557	0.302
misnomer	maling pangalan	0.296	0.528	0.284
misplace	maililipat	0.229	0.461	0.191
misplaced	naiwala	0.247	0.450	0.324
misread	mali ang pagbasa	0.115	0.558	0.315
misrepresent	maling ulat	0.198	0.542	0.418
misrepresentation	pagkakamali	0.323	0.618	0.518
misrepresented	maling ipinalalagay	0.042	0.519	0.466
miss	miss	0.573	0.490	0.408
missile	misayl	0.240	0.830	0.764
missiles	missiles	0.070	0.922	0.830
missing	nawawala	0.306	0.418	0.222
missingyou	NO TRANSLATION	0.260	0.471	0.377
mission	misyon	0.765	0.633	0.870
missionary	misyonero	0.729	0.404	0.596
misspell	maling pagbaybay	0.292	0.423	0.281
misstatement	maling pagsisiwalat	0.302	0.547	0.221
missy	missy	0.521	0.480	0.333
mist	ambon	0.375	0.194	0.221
mistake	pagkakamali	0.208	0.585	0.102
mistaken	nagkakamali	0.131	0.630	0.212
mister	mama	0.604	0.406	0.663
mistletoe	mistletoe	0.542	0.470	0.324
mistreated	ginagamot	0.010	0.792	0.200
mistress	mistress	0.630	0.796	0.694
mistrial	mistrial	0.427	0.539	0.536
mistrust	kawalan ng tiwala	0.135	0.657	0.231
misty	malabo	0.427	0.451	0.278
misunderstand	hindi maunawaan	0.177	0.548	0.382
misunderstanding	hindi pagkakaunawaan	0.112	0.618	0.284
misunderstood	hindi naiintindihan	0.177	0.625	0.309
misuse	maling paggamit	0.083	0.560	0.196
mite	mite	0.290	0.584	0.271
miter	miter	0.458	0.500	0.414
mitigate	pagaanin	0.506	0.427	0.456
mitigating	nagpapagaan	0.551	0.520	0.600
mitigation	pagpapagaan	0.448	0.527	0.423
mitt	mitt	0.406	0.183	0.264
mitten	NO TRANSLATION	0.531	0.330	0.408
mitzvah	mitzvah	0.422	0.610	0.409
mix	ihalo	0.542	0.490	0.472
mixed	magkakahalo	0.510	0.346	0.444
mixedemotions	mixedemotions	0.440	0.673	0.430
mixer	panghalo	0.562	0.500	0.556
mixture	halo	0.546	0.360	0.481
mnemonic	nimonik	0.531	0.480	0.452
moan	halinghing	0.357	0.735	0.352
moat	moat	0.398	0.380	0.314
mob	nagkakagulong mga tao	0.296	0.788	0.567
mobile	mobile	0.615	0.569	0.481
mobility	kadaliang mapakilos	0.700	0.596	0.654
mobilization	pagpapakilos	0.688	0.720	0.787
mobilize	magpakilos	0.604	0.684	0.727
mobster	mobster	0.188	0.870	0.638
mocha	moka	0.500	0.396	0.311
mock	mock	0.360	0.606	0.618
mocked	mocked	0.225	0.746	0.204
mockery	pangungutya	0.094	0.806	0.181
mocking	mapanukso	0.082	0.755	0.394
mockingbird	mockingbird	0.513	0.337	0.423
mod	mod	0.458	0.367	0.384
modal	modal	0.592	0.264	0.461
modality	modalidad	0.633	0.404	0.527
mode	mode	0.531	0.185	0.367
model	modelo	0.607	0.388	0.723
modeler	modeler	0.500	0.510	0.730
modeling	pagmomolde	0.684	0.404	0.490
modem	modem	0.573	0.355	0.500
moderate	Katamtaman	0.582	0.190	0.453
moderate anticipation	katamtaman ang pag-asa	0.667	0.451	0.574
moderate disgust	katamtaman pagkasuya	0.229	0.558	0.381
moderate negative	katamtaman negatibo	0.177	0.500	0.306
moderate positive	katamtaman positibo	0.896	0.453	0.753
moderate surprise	katamtamang sorpresa	0.776	0.663	0.637
moderate trust	katamtamang tiwala	0.677	0.350	0.773
moderately	katamtaman	0.604	0.264	0.500
moderating	moderating	0.667	0.402	0.783
moderation	katamtaman	0.531	0.240	0.453
moderator	moderator	0.519	0.354	0.802
modern	moderno	0.855	0.423	0.691
modernism	pagkamakabago	0.760	0.553	0.703
modest	mababang-loob	0.760	0.130	0.412
modesty	kababaang-loob	0.778	0.240	0.500
modicum	modicum	0.234	0.417	0.327
modifiable	maaaring baguhin	0.541	0.422	0.373
modification	pagbabago	0.480	0.520	0.625
modified	binago	0.561	0.458	0.693
modify	baguhin	0.458	0.584	0.625
modulate	modulate	0.673	0.343	0.555
modulation	modulasyon	0.458	0.365	0.565
module	module	0.582	0.388	0.571
modulus	modulus	0.622	0.304	0.481
mogul	mogul	0.510	0.652	0.865
moiety	moiety	0.378	0.343	0.454
moist	basa-basa	0.470	0.316	0.386
moisture	kahalumigmigan	0.406	0.398	0.327
moisturizer	moisturizer	0.750	0.280	0.386
molar	molar	0.544	0.426	0.350
molasses	molasses	0.490	0.269	0.286
mold	amag	0.330	0.274	0.402
molded	hinubog	0.667	0.361	0.373
molding	paghubog	0.552	0.308	0.546
moldy	nahuhubog	0.235	0.387	0.250
mole	nunal	0.436	0.377	0.352
molecular	molekular	0.495	0.440	0.536
molecule	Molekyul	0.531	0.259	0.375
molest	molest	0.133	0.816	0.319
molestation	pag-abuso	0.102	0.808	0.407
molester	molester	0.143	0.811	0.478
molten	nilusaw	0.417	0.490	0.339
mom	ina	0.927	0.336	0.639
moment	sandali	0.604	0.435	0.509
momentary	panandalian	0.562	0.271	0.330
momentous	napakahalaga	0.792	0.587	0.760
momentum	momentum	0.663	0.750	0.688
momma	momma	0.833	0.412	0.527
mommy	mommy	0.854	0.353	0.422
monad	monad	0.510	0.482	0.451
monarch	monarko	0.583	0.559	0.870
monarchy	monarkiya	0.450	0.557	0.870
monastery	monasteryo	0.694	0.183	0.726
monastic	monastic	0.438	0.314	0.676
monetary	pera	0.583	0.494	0.716
money	pera	0.844	0.608	0.827
mongoloid	mongoloid	0.177	0.364	0.317
mongoose	mongoose	0.327	0.380	0.546
mongrel	mongrel	0.425	0.438	0.395
monitor	monitor	0.490	0.298	0.538
monk	monghe	0.472	0.208	0.439
monkey	unggoy	0.548	0.449	0.283
mono	NO TRANSLATION	0.500	0.390	0.273
monochrome	monochrome	0.312	0.292	0.339
monogamous	monogamous	0.510	0.335	0.402
monogamy	monogamy	0.542	0.380	0.455
monogram	monogram	0.480	0.210	0.425
monogrammed	monogrammed	0.503	0.270	0.402
monograph	monograp	0.500	0.242	0.481
monolayer	monolayer	0.427	0.294	0.433
monolith	monolit	0.429	0.327	0.500
monologue	monologo	0.500	0.284	0.534
monopolist	monopolista	0.330	0.590	0.725
monopoly	monopolyo	0.449	0.509	0.640
monotonous	hindi nagbabago	0.354	0.221	0.400
monotony	monotony	0.398	0.135	0.353
monoxide	monoxide	0.433	0.430	0.490
monsieur	ginoo	0.552	0.340	0.623
monsoon	tag-ulan	0.358	0.600	0.481
monster	halimaw	0.133	0.935	0.596
monstrosity	monstrosity	0.094	0.933	0.611
monstrous	napakapangit	0.094	0.942	0.649
montage	monteids	0.438	0.520	0.388
monte	monte	0.589	0.330	0.391
month	buwan	0.688	0.255	0.411
monthly	buwanan	0.622	0.314	0.364
monument	monumento	0.833	0.404	0.811
monumental	napakalaking	0.656	0.594	0.955
moo	moo	0.438	0.355	0.300
mooch	mooch	0.378	0.413	0.309
mood	mood	0.720	0.500	0.500
moods	moods	0.578	0.633	0.491
moody	sumpungin	0.245	0.811	0.595
moon	buwan	0.673	0.233	0.547
moonbeam	moonbeam	0.700	0.290	0.491
moonlight	liwanag ng buwan	0.865	0.264	0.409
moonlit	naliliwanagan ng buwan	0.873	0.269	0.508
moonshine	moonshine	0.633	0.389	0.491
moonstruck	moonstruck	0.583	0.438	0.407
moonwalk	moonwalk	0.615	0.586	0.525
moor	mandaraya	0.311	0.464	0.378
moored	pinalaya	0.344	0.500	0.417
mooring	pagpupugal	0.323	0.490	0.444
moorings	pagpupugal	0.406	0.500	0.516
moorland	moorland	0.490	0.370	0.456
moose	hayop ng moose	0.648	0.373	0.318
moot	pagtanggi	0.344	0.500	0.615
mooted	naisip	0.388	0.580	0.463
mop	maglinis	0.396	0.442	0.296
mope	mope	0.406	0.309	0.345
moped	moped	0.582	0.582	0.554
moral	moral	0.700	0.459	0.796
morale	moral	0.729	0.158	0.792
morality	moralidad	0.750	0.408	0.759
morals	moralidad	0.646	0.430	0.611
morass	morass	0.387	0.348	0.375
moratorium	moratoryo	0.337	0.427	0.373
moray	moray	0.510	0.402	0.463
morbid	morbid	0.090	0.833	0.395
morbidity	morbidity	0.370	0.630	0.443
morbidness	morbidness	0.120	0.694	0.339
mores	mores	0.582	0.317	0.684
morgue	morge	0.022	0.539	0.241
moribund	nagkakagulo	0.083	0.488	0.167
morn	umaga	0.542	0.284	0.345
morning	umaga	0.688	0.235	0.444
moron	malungkot	0.133	0.587	0.183
moronic	moronic	0.122	0.500	0.224
morose	sira	0.240	0.663	0.264
morph	morph	0.448	0.469	0.451
morphine	morpina	0.229	0.490	0.496
morphism	morphism	0.398	0.549	0.386
morphology	morpolohiya	0.516	0.373	0.639
morrow	bukas	0.708	0.314	0.490
morsel	morsel	0.490	0.296	0.400
mortal	mortal	0.196	0.786	0.510
mortality	dami ng namamatay	0.229	0.726	0.518
mortar	pandikdik	0.333	0.627	0.562
mortgage	mortgage	0.255	0.408	0.537
mortgagee	mamimili	0.418	0.633	0.723
mortgagor	mortgagor	0.431	0.522	0.490
mortician	mamamatay-tao	0.104	0.429	0.275
mortification	pagkamuhi	0.135	0.644	0.404
mortified	pinaghihinalaang	0.073	0.731	0.270
mortuary	maybahay	0.133	0.606	0.427
mosaic	mosaic	0.635	0.250	0.302
mosey	mosey	0.521	0.402	0.330
mosque	moske	0.542	0.352	0.528
mosquito	lamok	0.229	0.400	0.198
moss	lumot	0.235	0.270	0.245
mossy	mossy	0.375	0.329	0.286
mote	NO TRANSLATION	0.375	0.388	0.260
motel	motel	0.531	0.372	0.450
moth	gamugamo	0.323	0.350	0.196
mother	ina	0.931	0.408	0.725
motherfucker	motherfucker	0.122	0.827	0.351
motherfucking	motherfucking	0.071	0.823	0.373
motherhood	pagiging ina	0.844	0.546	0.667
motherland	inang-bayan	0.677	0.375	0.731
motherless	walang ina	0.163	0.541	0.337
motherly	ina	0.927	0.324	0.710
motif	paksa	0.688	0.481	0.527
motion	galaw	0.667	0.538	0.657
motionless	hindi gumagalaw	0.323	0.210	0.246
motivate	maganyak	0.812	0.776	0.873
motivating	motivating	0.958	0.820	0.787
motivation	pagganyak	0.854	0.784	0.802
motivational	motivational	0.906	0.646	0.858
motive	motibo	0.667	0.588	0.663
motley	motley	0.480	0.398	0.412
motor	motor	0.531	0.551	0.648
motorbike	motorsiklo	0.552	0.608	0.616
motorboat	motorboat	0.677	0.500	0.390
motorcade	motorcade	0.708	0.730	0.593
motorcar	motorcar	0.694	0.565	0.682
motorcycle	motorsiklo	0.677	0.764	0.713
motorist	motorista	0.562	0.663	0.578
motte	motte	0.481	0.389	0.370
mottled	mottled	0.380	0.336	0.295
motto	salawikain	0.688	0.317	0.439
mould	amag	0.357	0.176	0.246
mound	tambak	0.520	0.481	0.509
mount	bundok	0.500	0.292	0.348
mountain	bundok	0.698	0.408	0.649
mountaineer	taga-mountaineer	0.635	0.774	0.535
mountainous	bulubundukin	0.635	0.519	0.612
mountains	bundok	0.766	0.433	0.569
mountaintop	mountaintop	0.653	0.541	0.713
mourn	pagdalamhati	0.056	0.583	0.150
mournful	malungkot	0.180	0.441	0.188
mourning	pagluluksa	0.177	0.490	0.266
mouse	mouse	0.427	0.441	0.206
mousetrap	mousetrap	0.180	0.643	0.330
mousse	mousse	0.604	0.336	0.368
moustache	bigote	0.470	0.236	0.409
mousy	mousy	0.480	0.413	0.339
mouth	bibig	0.734	0.294	0.336
mouthful	maingay	0.609	0.565	0.389
mouthpiece	tagapagsalita	0.573	0.346	0.393
mouthwash	mouthwash	0.438	0.385	0.352
movable	palipat-lipat	0.469	0.509	0.500
move	ilipat	0.656	0.647	0.670
movement	kilusan	0.656	0.654	0.658
mover	manlalakbay	0.615	0.539	0.466
movie	pelikula	0.792	0.560	0.471
movies	mga pelikula	0.724	0.426	0.472
moving	gumagalaw	0.479	0.673	0.358
movingforward	NO TRANSLATION	0.857	0.518	0.848
movingon	movingon	0.490	0.529	0.435
mow	mow	0.420	0.559	0.393
mower	tagagapas	0.458	0.510	0.368
moxie	moxie	0.531	0.490	0.366
mozzarella	mozzarella	0.653	0.265	0.340
mri	mri	0.365	0.431	0.349
muchneeded	NO TRANSLATION	0.438	0.602	0.455
mucis	NO TRANSLATION	0.398	0.418	0.420
muck	putik	0.347	0.423	0.272
mucked	mucked	0.184	0.500	0.373
mucous	mucous	0.330	0.296	0.293
mucus	mucus	0.143	0.309	0.228
mud	putik	0.333	0.260	0.185
muddle	pagkalito	0.184	0.710	0.336
muddled	malapad	0.250	0.615	0.263
muddy	maputik	0.292	0.400	0.283
muff	muff	0.542	0.335	0.314
muffin	muffin	0.684	0.430	0.306
muffled	muffled	0.479	0.330	0.421
muffler	muffler	0.357	0.407	0.454
mug	saro	0.542	0.214	0.382
mugger	mugger	0.125	0.850	0.500
mulberry	halaman ng mesa	0.469	0.315	0.361
mulch	mulch	0.349	0.361	0.383
mule	mola	0.320	0.337	0.254
mull	mull	0.663	0.340	0.594
mullet	mullet	0.521	0.356	0.377
multilateral	multilateral	0.500	0.469	0.705
multimedia	multimedia	0.611	0.390	0.607
multinational	maraming nasyonalidad	0.656	0.510	0.842
multiple	maramihang	0.660	0.510	0.578
multiple sclerosis	maramihang esklerosis	0.188	0.587	0.483
multiplex	multiplex	0.610	0.590	0.667
multiplication	pagpaparami	0.646	0.565	0.762
multiplicity	pagpaparami	0.677	0.490	0.777
multiplied	dumami	0.802	0.559	0.729
multiplier	multiplier	0.643	0.615	0.741
multiply	multiply	0.802	0.625	0.777
multitude	maraming tao	0.562	0.765	0.847
mum	mama	0.802	0.317	0.698
mumble	mumble	0.292	0.444	0.245
mumbo	mumbo	0.429	0.506	0.336
mummy	momya	0.400	0.588	0.415
mumps	mumps	0.099	0.410	0.311
munch	kumain	0.541	0.277	0.434
munchies	munchies	0.562	0.470	0.491
munchkin	munchkin	0.490	0.466	0.374
mundane	makamundo	0.312	0.420	0.480
municipal	munisipyo	0.625	0.390	0.758
municipality	munisipalidad	0.569	0.280	0.614
mural	mural	0.551	0.265	0.454
murder	pagpatay	0.061	0.942	0.615
murderer	mamamatay-tao	0.010	0.960	0.650
murderess	babaeng mamamatay-tao	0.041	0.941	0.462
murderous	nakamamatay	0.017	0.940	0.682
murky	madilim	0.143	0.618	0.370
murmur	bumulung-bulong	0.458	0.520	0.200
muscle	kalamnan	0.359	0.490	0.645
muscular	matipuno	0.531	0.434	0.577
muse	muse	0.760	0.360	0.509
muses	muses	0.714	0.434	0.571
museum	museo	0.792	0.206	0.481
mush	NO TRANSLATION	0.500	0.311	0.125
mushroom	kabute	0.490	0.274	0.269
mushy	mushy	0.520	0.200	0.182
music	musika	0.833	0.563	0.605
musical	musikal	0.908	0.630	0.530
musician	musikero	0.816	0.509	0.618
musing	nag-iisip	0.740	0.151	0.465
musk	musk	0.469	0.454	0.453
musket	musket	0.260	0.654	0.510
musketeer	musketeer	0.694	0.569	0.705
muskrat	muskrat	0.439	0.510	0.368
muslin	muslin	0.439	0.304	0.352
muss	NO TRANSLATION	0.418	0.438	0.302
must	dapat	0.408	0.382	0.441
mustang	mustang	0.635	0.642	0.708
mustard	mustasa	0.500	0.346	0.275
muster	magtipon	0.635	0.460	0.548
musty	musty	0.354	0.367	0.267
mutable	maaaring baguhin	0.426	0.531	0.491
mutant	mutant	0.337	0.676	0.573
mutate	mutate	0.281	0.548	0.463
mutation	mutasyon	0.365	0.625	0.611
mute	mute	0.271	0.200	0.250
muted	mute	0.260	0.167	0.162
mutilate	mutilate	0.125	0.900	0.465
mutilated	lutasin	0.041	0.841	0.356
mutilation	pinsala	0.122	0.782	0.456
mutiny	pag-alis	0.323	0.890	0.549
mutt	mutt	0.418	0.408	0.387
mutter	NO TRANSLATION	0.406	0.427	0.228
mutton	karne ng tupa	0.427	0.283	0.393
mutual	kapwa	0.729	0.321	0.464
mutually	kapwa	0.844	0.490	0.582
muzzle	busalan	0.388	0.430	0.232
myfavorite	Paborito ko	0.812	0.587	0.615
myopia	mahinang paningin sa malayo	0.245	0.387	0.226
myopic	myopic	0.344	0.396	0.218
myriad	napakarami	0.480	0.429	0.550
mysterious	mahiwaga	0.448	0.699	0.455
mystery	misteryo	0.417	0.667	0.519
mystic	mistiko	0.643	0.520	0.535
mystical	mystical	0.594	0.443	0.689
mysticism	mistisismo	0.594	0.598	0.423
mystified	mystified	0.344	0.600	0.509
mystique	misteryoso	0.668	0.633	0.667
myth	kathang-isip	0.458	0.432	0.338
mythic	mythic	0.635	0.528	0.645
mythical	gawa-gawa	0.625	0.556	0.583
mythological	mitolohiko	0.760	0.573	0.658
mythology	mga alamat	0.684	0.439	0.688
nab	nab	0.469	0.544	0.407
nacho	nacho	0.667	0.259	0.333
nada	NO TRANSLATION	0.250	0.231	0.136
nadir	nadir	0.479	0.363	0.424
nag	NO TRANSLATION	0.271	0.451	0.472
nail	kuko	0.469	0.397	0.282
nail gun	kuko baril	0.378	0.806	0.574
naive	walang muwang	0.406	0.260	0.375
naked	hubad	0.323	0.885	0.288
nakedness	kahubaran	0.480	0.760	0.350
namaste	NO TRANSLATION	0.719	0.255	0.464
name	pangalan	0.573	0.300	0.415
named	pinangalanan	0.562	0.396	0.565
nameless	walang pangalan	0.344	0.280	0.164
namesake	pangalanan	0.418	0.327	0.404
naming	pagbibigay ng pangalan	0.667	0.410	0.559
nana	nana	0.765	0.255	0.375
nanny	nars	0.615	0.370	0.528
nanometer	nanometer	0.375	0.356	0.446
nap	mahuli	0.660	0.098	0.342
napalm	napalm	0.265	0.580	0.471
nape	nape	0.427	0.268	0.298
napkin	serbesa	0.469	0.142	0.209
napping	napping	0.765	0.046	0.306
nappy	nappy	0.529	0.333	0.207
narcissism	narcissism	0.214	0.639	0.540
narcissist	narcissist	0.173	0.614	0.629
narcissistic	narcissistic	0.323	0.708	0.655
narcotic	gamot na pampamanhid	0.102	0.858	0.450
narrate	magsaysay	0.541	0.480	0.473
narration	pagsasalaysay	0.622	0.408	0.551
narrative	salaysay	0.580	0.303	0.443
narrator	tagapagsalaysay	0.673	0.430	0.623
narrow	makitid	0.260	0.368	0.356
narrowing	paliitin	0.354	0.593	0.357
nasal	ilong	0.479	0.340	0.330
nascent	nagbubuhat	0.684	0.373	0.585
nasty	pangit	0.115	0.620	0.264
natal	natal	0.755	0.462	0.481
nation	bansa	0.594	0.443	0.821
national	pambansa	0.698	0.365	0.663
nationality	nasyonalidad	0.642	0.400	0.772
nationwide	sa buong bansa	0.684	0.217	0.672
native	katutubong	0.635	0.422	0.710
nativity	kapanganakan	0.750	0.337	0.673
natural	natural	0.854	0.118	0.481
natural gas	natural gas	0.635	0.324	0.396
naturalist	naturalist	0.844	0.255	0.562
naturalization	naturalization	0.781	0.279	0.652
naturalized	naturalized	0.760	0.333	0.600
naturally	natural	0.854	0.276	0.549
nature	kalikasan	0.857	0.184	0.643
naught	wala	0.344	0.176	0.161
naughty	pilyo	0.451	0.857	0.371
nausea	pagduduwal	0.104	0.781	0.273
nauseate	nauseate	0.062	0.660	0.176
nauseating	nauseating	0.021	0.640	0.250
nauseous	nasusuka	0.135	0.780	0.284
nautical	nauukol sa dagat	0.646	0.250	0.579
nautilus	nautilus	0.396	0.509	0.517
naval	nabal	0.542	0.449	0.679
nave	Nave	0.583	0.448	0.585
navel	pusod	0.448	0.261	0.276
navigable	magagamit sa paglalayag	0.749	0.406	0.645
navigate	mag-navigate	0.740	0.555	0.675
navigation	nabigasyon	0.841	0.470	0.720
navigational	navigate	0.573	0.481	0.564
navigator	navigator	0.583	0.592	0.623
navy	hukbong-dagat	0.531	0.760	0.764
nay	NO TRANSLATION	0.344	0.290	0.325
nearsighted	malapit nang makita	0.271	0.373	0.265
neat	malinis	0.878	0.235	0.491
neatly	nang maayos	0.802	0.412	0.588
nebula	nebula	0.510	0.418	0.438
nebulae	nebulae	0.490	0.330	0.472
nebulous	malabo	0.469	0.347	0.417
necessarily	kinakailangan	0.667	0.423	0.598
necessary	kinakailangan	0.750	0.433	0.679
necessitate	Kailangan	0.578	0.604	0.516
necessities	mga pangangailangan	0.520	0.630	0.463
necessity	pangangailangan	0.567	0.471	0.588
neck	leeg	0.541	0.245	0.345
necklace	kuwintas	0.760	0.294	0.373
necktie	kurbata	0.583	0.229	0.314
necromancer	necromancer	0.333	0.625	0.536
necrosis	nekrosis	0.115	0.622	0.385
nectar	nektar	0.746	0.331	0.398
need	kailangan	0.510	0.574	0.200
needalife	NO TRANSLATION	0.490	0.443	0.394
needed	kailangan	0.677	0.342	0.679
needful	kailangan	0.582	0.460	0.614
needit	NO TRANSLATION	0.250	0.472	0.356
needle	karayom	0.250	0.472	0.360
needlepoint	karayom	0.653	0.500	0.556
needles	karayom	0.250	0.602	0.348
needless	walang kailangan	0.327	0.385	0.200
needtoknow	kailangan malaman	0.427	0.606	0.474
needtorelax	NO TRANSLATION	0.673	0.438	0.274
needy	nangangailangan	0.360	0.451	0.245
nefarious	kasuklam-suklam	0.184	0.720	0.528
negation	negasyon	0.255	0.461	0.297
negative	negatibo	0.102	0.527	0.176
negativity	negatibo	0.060	0.520	0.273
neglect	kapabayaan	0.045	0.550	0.163
neglected	napapabayaan	0.271	0.385	0.160
neglecting	kapabayaan	0.177	0.441	0.230
negligee	negligee	0.385	0.520	0.336
negligence	kapabayaan	0.092	0.570	0.251
negligent	pabaya	0.167	0.583	0.259
negligently	NO TRANSLATION	0.056	0.583	0.266
negligible	bale-wala	0.177	0.292	0.232
negotiable	mapag-usapan	0.688	0.585	0.731
negotiate	makipag-ayos	0.612	0.708	0.769
negotiation	pag-uusap	0.490	0.615	0.728
negotiator	negotiator	0.635	0.471	0.817
negro	negro	0.354	0.368	0.461
neigh	kapitan	0.378	0.642	0.373
neighbor	kapit-bahay	0.657	0.448	0.434
neighborhood	kapitbahayan	0.385	0.469	0.373
neighboring	kalapit	0.656	0.306	0.481
nemesis	katarungan	0.271	0.688	0.647
neon	neon	0.594	0.480	0.380
neonatal	neonatal	0.542	0.529	0.357
neophyte	neophyte	0.286	0.363	0.411
neoprene	neoprene	0.316	0.451	0.443
nephew	pamangkin	0.719	0.337	0.412
nepotism	nepotismo	0.349	0.584	0.517
nerd	nerd	0.408	0.481	0.315
nerdy	nerdy	0.296	0.255	0.292
nerve	lakas ng loob	0.129	0.698	0.307
nerves	nerbiyos	0.333	0.783	0.264
nervous	kinakabahan	0.235	0.820	0.213
nervousness	nerbiyos	0.163	0.915	0.241
nervouswreck	NO TRANSLATION	0.112	0.867	0.179
nervy	NO TRANSLATION	0.250	0.830	0.241
ness	ness	0.396	0.480	0.392
nest	pugad	0.687	0.221	0.333
nestle	nestle	0.625	0.308	0.379
nestling	nestling	0.604	0.427	0.286
net	net	0.441	0.288	0.417
nether	nether	0.240	0.265	0.259
netting	lambat	0.368	0.509	0.585
nettle	kulitis	0.406	0.324	0.490
network	network	0.531	0.337	0.466
networking	networking	0.625	0.482	0.545
neural	neural	0.582	0.426	0.391
neuralgia	neuralgia	0.092	0.706	0.439
neurological	neurological	0.500	0.540	0.558
neurologist	neurologist	0.608	0.500	0.736
neurology	neurolohiya	0.459	0.537	0.580
neurosis	neurosis	0.122	0.766	0.418
neurosurgeon	neurosurgeon	0.590	0.673	0.755
neurosurgery	neurosurgery	0.490	0.632	0.730
neurotic	neurotic	0.198	0.801	0.387
neuter	neuter	0.621	0.163	0.302
neutral	neutral	0.469	0.184	0.357
neutrality	neutralidad	0.469	0.205	0.434
neutralize	neutralisahin	0.519	0.363	0.719
neutron	neutron	0.469	0.440	0.679
new	bago	0.917	0.490	0.582
new age	bagong edad	0.694	0.556	0.727
newbeginnings	NO TRANSLATION	0.802	0.613	0.524
newborn	bagong panganak	0.918	0.580	0.372
newcomer	bagong dating	0.622	0.380	0.396
newday	bagong araw	0.847	0.388	0.618
newfound	newfound	0.745	0.741	0.520
newjob	NO TRANSLATION	0.755	0.643	0.729
newlife	bagong buhay	0.898	0.646	0.701
newly	bagong	0.688	0.422	0.552
newlywed	bagong kasal	0.847	0.706	0.570
newme	bagong ako	0.643	0.550	0.527
newness	kabaguhan	0.740	0.522	0.588
news	balita	0.633	0.580	0.610
newscast	newscast	0.531	0.509	0.714
newscaster	newscaster	0.646	0.510	0.764
newsflash	newsflash	0.604	0.637	0.518
newsletter	newsletter	0.622	0.385	0.490
newsman	tagapagsalita	0.604	0.480	0.696
newspaper	pahayagan	0.602	0.283	0.444
newspaperman	newspaperman	0.561	0.458	0.750
newsreel	newsreel	0.625	0.571	0.577
newsroom	silid-balita	0.531	0.392	0.658
newsstand	newsstand	0.615	0.222	0.336
newstart	bagong simula	0.802	0.510	0.667
newt	newt	0.458	0.380	0.541
newyear	NO TRANSLATION	0.938	0.784	0.520
nexus	koneksyon	0.496	0.368	0.412
nib	nib	0.510	0.282	0.406
nibble	maliit na kagat	0.551	0.551	0.411
nice	maganda	0.930	0.442	0.650
niche	angkop na lugar	0.459	0.413	0.318
nichts	NO TRANSLATION	0.406	0.293	0.404
nick	nick	0.554	0.388	0.387
nickel	nickel	0.510	0.347	0.406
nickname	palayaw	0.490	0.470	0.263
nicotine	nikotina	0.235	0.608	0.447
niece	pamangking babae	0.771	0.320	0.400
