Word	Azeerbaijani-az	Valence	Arousal	Dominance
nutshell	qısaca	0.458	0.407	0.310
nutty	qüsurlu	0.444	0.317	0.271
nylon	neylon	0.490	0.304	0.295
nylong	NO TRANSLATION	0.439	0.248	0.351
nylons	neylon	0.556	0.379	0.320
nymph	nymph	0.542	0.529	0.472
nymphomaniac	nymphomaniac	0.398	0.894	0.536
oaf	oaf	0.344	0.357	0.330
oak	palıd	0.583	0.245	0.536
oar	oar	0.469	0.392	0.316
oasis	oasis	0.796	0.283	0.429
oat	yulaf	0.622	0.170	0.298
oath	qəsd	0.543	0.615	0.824
oatmeal	yulaf ezmesi	0.592	0.192	0.241
obedience	itaətsizlik	0.765	0.287	0.536
obedient	itaətkar	0.800	0.179	0.518
obediently	itaətkarlıqla	0.802	0.304	0.577
obelisk	obelisk	0.604	0.408	0.596
obese	şişman	0.133	0.427	0.250
obesity	obezite	0.215	0.370	0.328
obey	itaət edin	0.677	0.433	0.533
obi	obi	0.469	0.442	0.414
obit	obit	0.410	0.464	0.393
obituary	obituary	0.188	0.330	0.423
object	obyekt	0.531	0.356	0.375
objection	etiraz	0.347	0.592	0.709
objectionable	etibarsızdır	0.459	0.382	0.558
objective	məqsədi	0.724	0.337	0.736
objectivity	obyektivlik	0.765	0.431	0.711
obligation	öhdəliyi	0.222	0.596	0.718
obligatory	məcburi	0.337	0.571	0.780
oblige	məcburi	0.281	0.770	0.614
obliged	məcburi	0.327	0.680	0.411
obliging	məcburi	0.740	0.402	0.545
obligor	borclu	0.302	0.600	0.360
oblique	oblique	0.438	0.347	0.455
obliterate	yıxmaq	0.250	0.539	0.569
obliterated	obliterated	0.240	0.469	0.344
obliteration	obliteration	0.177	0.622	0.397
oblivion	oblivion	0.153	0.330	0.282
oblivious	unutqan	0.229	0.388	0.355
oblong	oblong	0.561	0.455	0.370
obnoxious	təəccüblü	0.088	0.602	0.256
oboe	oboe	0.510	0.340	0.392
obscene	əxlaqsız	0.050	0.745	0.348
obscenity	əxlaqsızlıq	0.083	0.843	0.418
obscure	qaranlıq	0.370	0.551	0.278
obscured	qaranlıq	0.115	0.356	0.298
obscurity	qaranlıq	0.208	0.392	0.380
observance	müşahidə	0.531	0.315	0.632
observant	müşahidəçi	0.740	0.422	0.708
observation	müşahidə	0.633	0.433	0.667
observatory	rəsədxana	0.643	0.324	0.731
observe	müşahidə etmək	0.771	0.390	0.360
observer	müşahidəçi	0.663	0.363	0.603
observing	müşahidə	0.583	0.400	0.685
obsess	qaranlıq	0.112	0.846	0.509
obsessed	takıntılı	0.219	0.840	0.439
obsessing	obsessing	0.173	0.773	0.698
obsession	təhqir	0.229	0.847	0.571
obsessive	obsesif	0.219	0.823	0.480
obsolescence	köhnəlmə	0.250	0.431	0.377
obsolete	köhnəlmiş	0.337	0.321	0.250
obstacle	maneə	0.204	0.708	0.336
obstetrician	Mütəxəssisi	0.521	0.636	0.604
obstetrics	mamalıq	0.530	0.582	0.564
obstinate	hörmətli	0.146	0.696	0.562
obstruct	maneə	0.115	0.660	0.458
obstruction	maneə	0.125	0.742	0.491
obstructive	obstruktiv	0.204	0.650	0.613
obtain	əldə et	0.760	0.438	0.731
obtainable	əldə edilə bilən	0.677	0.327	0.702
obtuse	xeyir	0.281	0.460	0.345
obverse	əvvəlcədən	0.470	0.394	0.464
obvious	aydındır	0.625	0.336	0.585
ocarina	ocarina	0.541	0.392	0.366
occasion	münasibətilə	0.700	0.451	0.398
occasional	təsadüfən	0.490	0.298	0.387
occasionally	Bəzən	0.538	0.240	0.264
occipital	Oxipital	0.398	0.408	0.518
occlusion	oklüziya	0.306	0.439	0.442
occult	gizli	0.292	0.382	0.406
occupancy	dolğunluq	0.625	0.471	0.721
occupant	işğalçı	0.500	0.417	0.483
occupation	işğal	0.562	0.470	0.692
occupational	peşə	0.583	0.469	0.596
occupied	işğal olunmuşdu	0.337	0.546	0.441
occupier	işğalçı	0.427	0.438	0.600
occupy	işğal edir	0.396	0.520	0.589
occupying	işğal	0.573	0.462	0.519
occur	baş verir	0.451	0.561	0.510
occurrence	meydana gəlməsi	0.573	0.690	0.541
ocd	ocd	0.333	0.472	0.370
ocean	okean	0.823	0.308	0.642
oceanic	okeanik	0.740	0.317	0.632
octagon	sekizgen	0.602	0.349	0.462
octave	oktav	0.438	0.380	0.482
octopus	ahtapot	0.713	0.378	0.411
ocular	okular	0.418	0.370	0.400
odd	qəribədir	0.265	0.337	0.302
oddball	oddball	0.316	0.360	0.357
oddity	qəribəlik	0.312	0.557	0.386
odds	odds	0.500	0.472	0.680
ode	ode	0.604	0.269	0.519
odious	qəzəbli	0.235	0.708	0.235
odometer	odometer	0.367	0.470	0.388
odor	qoxu	0.337	0.363	0.404
odyssey	odyssey	0.622	0.692	0.710
oedipal	oedipal	0.312	0.575	0.509
oestrogen	estrogen	0.521	0.608	0.561
oeuvre	NO TRANSLATION	0.653	0.484	0.598
offal	saqqal	0.302	0.470	0.302
offence	cinayət	0.312	0.798	0.446
offend	kədərlənmək	0.094	0.804	0.333
offended	təhqir edildi	0.188	0.690	0.337
offender	cinayətkar	0.104	0.851	0.537
offense	cinayət	0.230	0.765	0.510
offensive	hücum	0.135	0.882	0.600
offer	təklif edirik	0.750	0.745	0.596
offered	təklif etdi	0.582	0.490	0.544
offering	təklif edir	0.688	0.462	0.585
offhand	kənarda	0.388	0.500	0.368
office	ofis	0.427	0.302	0.509
officer	zabit	0.542	0.430	0.877
offices	ofislər	0.469	0.312	0.534
official	rəsmi	0.646	0.565	0.833
officiate	vəzifələndirmək	0.688	0.453	0.704
offing	qaçırdılar	0.490	0.412	0.447
offload	boşaltma	0.479	0.444	0.525
offset	ofset	0.719	0.394	0.704
offshoot	sahə	0.517	0.330	0.361
offshore	dənizdə	0.417	0.484	0.441
offside	offside	0.323	0.519	0.443
offspring	nəsil	0.656	0.435	0.600
oft	oft	0.500	0.308	0.474
oftentimes	çox vaxt	0.571	0.500	0.482
ogre	ogre	0.135	0.698	0.510
ohdear	NO TRANSLATION	0.458	0.519	0.442
ohgod	NO TRANSLATION	0.500	0.557	0.439
ohno	ohno	0.396	0.475	0.380
ohshit	NO TRANSLATION	0.230	0.594	0.343
oil	yağ	0.521	0.278	0.306
oils	yağlar	0.459	0.229	0.391
oily	yağlı	0.276	0.533	0.385
oink	oink	0.500	0.450	0.289
ointment	məlhəm	0.438	0.271	0.398
okra	okra	0.469	0.400	0.362
old	köhnə	0.410	0.279	0.315
olden	Olden	0.284	0.213	0.425
older	yaşlı	0.385	0.255	0.317
oldie	Oldie	0.363	0.363	0.342
oldies	yaşlılar	0.438	0.300	0.412
olfactory	kofe	0.602	0.409	0.452
oligarchy	oligarxiya	0.327	0.567	0.741
olive	zeytun	0.571	0.231	0.406
omega	omega	0.529	0.337	0.526
omelet	omlet	0.708	0.323	0.315
omen	Omen	0.390	0.657	0.583
omgomgomg	NO TRANSLATION	0.490	0.551	0.358
ominous	uğursuz	0.255	0.730	0.510
omission	boşluq	0.367	0.333	0.275
omit	qoyma	0.330	0.265	0.451
omitted	çəkilmədi	0.260	0.235	0.211
omnibus	bütün	0.490	0.410	0.473
omnipotence	hərtərəfli	0.667	0.793	0.866
omnipotent	qüdrətli	0.719	0.679	0.919
omnipresent	hər yerdə	0.688	0.452	0.825
omniscient	bütün bilikli	0.656	0.334	0.778
onboard	onboard	0.612	0.451	0.491
oncologist	onkoloq	0.260	0.654	0.640
oncology	onkologiya	0.204	0.424	0.500
oncoming	qarşıdan gələn	0.594	0.625	0.773
one	bir	0.542	0.292	0.370
oneday	bir gün	0.667	0.245	0.374
onedge	ondge	0.479	0.552	0.400
onelove	tək sevgi	0.816	0.577	0.541
oneness	birlik	0.745	0.272	0.720
onerous	zorla	0.500	0.480	0.462
oneself	özü	0.660	0.337	0.483
ongoing	davam edir	0.674	0.484	0.556
onion	soğan	0.378	0.367	0.382
onset	başlanğıc	0.673	0.497	0.500
onslaught	hücum	0.198	0.939	0.717
onstage	səhnədə	0.719	0.673	0.583
ontology	ontologiya	0.510	0.450	0.518
onus	ons	0.562	0.520	0.769
onward	İrəli	0.667	0.538	0.741
onyx	oniks	0.571	0.461	0.380
oodles	qəhrəman	0.490	0.374	0.446
oomph	oomph	0.449	0.613	0.315
ooze	sızma	0.344	0.577	0.333
oozing	sızan	0.238	0.515	0.427
op	op	0.480	0.402	0.349
opacity	qeyri-şəffaflıq	0.471	0.251	0.256
opal	opal	0.623	0.479	0.379
opaque	qeyri-şəffaf	0.344	0.265	0.342
ope	ope	0.375	0.380	0.395
open	açıq	0.620	0.480	0.569
opener	açılışçı	0.584	0.526	0.377
opening	açılışı	0.667	0.510	0.620
openly	açıq şəkildə	0.603	0.388	0.553
openness	açıqlıq	0.837	0.561	0.667
opera	opera	0.714	0.500	0.483
operate	fəaliyyət göstərir	0.582	0.690	0.691
operatic	operativ	0.375	0.452	0.627
operation	əməliyyat	0.475	0.611	0.755
operational	əməliyyat	0.562	0.570	0.679
operations	əməliyyatlar	0.480	0.549	0.798
operative	operativ	0.541	0.635	0.718
operator	operator	0.612	0.630	0.726
ophthalmic	oftalmoloji	0.427	0.385	0.444
ophthalmologist	oftalmoloq	0.552	0.389	0.491
opiate	opiate	0.281	0.594	0.598
opinion	fikir	0.594	0.482	0.638
opinionated	fikirli	0.156	0.800	0.491
opium	tiryək	0.276	0.490	0.333
opponent	rəqib	0.080	0.741	0.716
opportune	Müvəqqəti	0.796	0.538	0.767
opportunism	opportunizm	0.571	0.752	0.673
opportunity	fürsət	0.938	0.745	0.833
oppose	qarşı çıxmaq	0.431	0.800	0.473
opposed	qarşı çıxdı	0.092	0.460	0.606
opposing	qarşıdurma	0.188	0.660	0.518
opposite	əksinə	0.235	0.545	0.408
opposites	Əkslər	0.281	0.518	0.462
opposition	müxalifət	0.135	0.729	0.592
oppress	zülm edin	0.186	0.654	0.555
oppressed	məzlum	0.119	0.640	0.259
oppression	zülm	0.080	0.673	0.615
oppressive	təzyiqçi	0.276	0.590	0.667
oppressor	zülmkar	0.160	0.776	0.629
ops	ops	0.417	0.550	0.528
opt	opt	0.510	0.471	0.345
optic	optik	0.663	0.384	0.594
optical	optik	0.677	0.311	0.542
optics	optik	0.562	0.286	0.580
optimism	iyimserlik	0.949	0.565	0.814
optimist	optimist	0.875	0.539	0.787
optimistic	optimist	0.979	0.580	0.821
optimum	optimaldır	0.892	0.469	0.808
option	seçimi	0.512	0.427	0.359
optional	isteğe bağlı	0.755	0.350	0.440
optionally	isteğe bağlı olaraq	0.365	0.405	0.481
options	variantları	0.622	0.327	0.473
optometrist	optometrist	0.446	0.455	0.668
opulence	zənginlik	0.620	0.615	0.648
opulent	zəngin	0.562	0.660	0.660
opus	opus	0.458	0.368	0.391
oracle	Oracle	0.552	0.531	0.670
oral	şifahi	0.530	0.448	0.375
orange	narıncı	0.646	0.132	0.296
orange juice	portağal şirəsi	0.719	0.343	0.445
orangutan	orangutan	0.430	0.560	0.471
oration	həsrət	0.646	0.315	0.683
orator	hörmətli	0.667	0.375	0.682
oratory	həsr olunmuşdur	0.602	0.472	0.693
orb	orb	0.463	0.370	0.444
orbit	orbit	0.561	0.422	0.575
orbital	orbital	0.458	0.451	0.559
orbiting	orbiting	0.520	0.643	0.554
orbs	orbs	0.469	0.355	0.482
orc	orc	0.240	0.510	0.388
orchard	bağı	0.760	0.269	0.333
orchestra	orkestr	0.708	0.500	0.664
orchid	orkide	0.840	0.345	0.382
ordained	təyin olunmuşdur	0.735	0.409	0.731
ordeal	imtahan	0.344	0.539	0.529
order	əmri	0.780	0.295	0.814
orderly	düzgündür	0.844	0.240	0.661
ordinance	hökmü	0.615	0.452	0.776
ordinary	adi siravi	0.375	0.312	0.286
ordination	kordinasiya	0.688	0.490	0.765
ordnance	sursat	0.354	0.825	0.679
ore	filiz	0.500	0.333	0.356
oregano	oregano	0.596	0.327	0.250
organ	orqan	0.510	0.469	0.538
organic	üzvi	0.719	0.343	0.535
organism	orqanizm	0.457	0.559	0.800
organist	orqanist	0.740	0.469	0.669
organization	təşkilat	0.810	0.535	0.851
organize	təşkil edir	0.802	0.655	0.781
organized	təşkil edildi	0.816	0.337	0.746
organizer	təşkilatçı	0.604	0.577	0.846
orgasm	orgazm	0.844	0.863	0.676
orgies	orgies	0.388	0.953	0.433
orgy	orgy	0.346	0.962	0.536
orient	orient	0.667	0.422	0.667
oriental	oryantal	0.592	0.409	0.598
orientation	orientasiya	0.667	0.454	0.686
orifice	orifis	0.448	0.355	0.443
origami	origami	0.684	0.276	0.294
origin	mənşə	0.729	0.435	0.591
original	orijinal	0.765	0.480	0.746
originality	orijinallığı	0.898	0.500	0.824
originate	çıxmaq	0.702	0.500	0.866
origination	mənşəyi	0.760	0.443	0.604
originator	qurucu	0.592	0.510	0.868
ornament	bəzək	0.561	0.373	0.441
ornamental	bəzəkli	0.663	0.392	0.460
ornamentation	süslənmə	0.663	0.471	0.472
ornamented	bəzədilmişdir	0.677	0.350	0.490
ornate	süslüdür	0.812	0.356	0.500
ornery	ornery	0.361	0.520	0.509
orphan	yetim	0.133	0.388	0.140
orphanage	yetimxana	0.184	0.439	0.425
orphaned	yetim qaldı	0.062	0.430	0.228
orthodontist	ortodontist	0.469	0.615	0.564
orthodox	pravoslav	0.388	0.471	0.647
orthodoxy	ortodoksiya	0.271	0.388	0.612
orthogonal	ortogonal	0.500	0.314	0.540
orthopedic	ortopedik	0.406	0.346	0.473
oscillate	salınan	0.449	0.580	0.397
oscillating	salınan	0.469	0.548	0.402
oscillation	salınma	0.562	0.433	0.431
oscillatory	salınan	0.375	0.520	0.480
ostensible	görünən	0.542	0.549	0.585
ostensibly	görünüşü ilə	0.473	0.529	0.509
ostentatious	hörmətli	0.479	0.794	0.648
ostracized	ostracized	0.115	0.690	0.377
ostrich	dəvəquşu	0.592	0.382	0.241
other	digərləri	0.472	0.230	0.259
otter	otter	0.439	0.216	0.339
otto	otto	0.427	0.425	0.404
ottoman	Osmanlı	0.531	0.337	0.444
ought	Gərək	0.438	0.511	0.434
ounce	ons	0.531	0.255	0.288
oust	boşaltmaq	0.296	0.716	0.444
outage	kəsilmə	0.306	0.684	0.438
outback	outback	0.500	0.324	0.430
outbid	həddindən artıq	0.594	0.622	0.540
outboard	kənarda	0.448	0.491	0.456
outbreak	mədə	0.260	0.632	0.472
outburst	patlama	0.209	0.802	0.528
outcast	xaric	0.153	0.449	0.353
outcome	nəticə	0.615	0.472	0.685
outcry	qışqırıq	0.271	0.773	0.718
outdated	köhnəlmiş	0.167	0.236	0.226
outdo	outdo	0.771	0.750	0.873
outdoor	bayır	0.814	0.256	0.447
outdoors	açıq havada	0.781	0.444	0.453
outer	xarici	0.552	0.471	0.456
outfit	kıyafetler	0.760	0.490	0.566
outgoing	gedən	0.650	0.472	0.538
outgrow	inkişaf edir	0.510	0.529	0.722
outgrowth	gərginlik	0.771	0.620	0.688
outhouse	outhouse	0.281	0.519	0.255
outing	gəzinti	0.771	0.672	0.634
outlandish	xəyanətkar	0.448	0.737	0.657
outlast	çıxmaq	0.620	0.786	0.685
outlaw	qanunsuzluq	0.255	0.662	0.482
outlet	outlet	0.610	0.396	0.245
outline	kontur	0.542	0.365	0.509
outlines	təsvir edir	0.656	0.402	0.651
outlive	uzaqlaşmaq	0.565	0.769	0.724
outlook	dünyagörüşü	0.830	0.525	0.625
outlying	kənar	0.460	0.562	0.503
outnumber	çox sayda	0.347	0.615	0.577
outpatient	ambulator	0.260	0.400	0.395
outpost	karikatura	0.635	0.571	0.675
outpouring	sızanaq	0.562	0.685	0.552
output	çıxdı	0.604	0.389	0.434
outrage	qəzəblənmə	0.060	0.689	0.542
outraged	qəzəbləndi	0.156	0.696	0.538
outrageous	çirkin	0.153	0.945	0.713
outrank	yuxarıdan	0.653	0.643	0.817
outreach	əhatə dairəsi	0.540	0.462	0.672
outright	açıqdır	0.767	0.396	0.755
outrun	çıxdı	0.531	0.833	0.573
outset	ibtida	0.750	0.500	0.582
outsider	kənar	0.398	0.549	0.447
outskirts	etirazlar	0.474	0.519	0.312
outsmart	outsmart	0.673	0.657	0.864
outspoken	açıq söz	0.582	0.413	0.667
outstanding	görkəmli	0.898	0.760	0.896
outstretched	uzanmışdı	0.448	0.481	0.519
outward	xarici	0.449	0.439	0.365
outwards	kənarda	0.440	0.472	0.400
outweigh	ağırlaşır	0.486	0.600	0.682
outwit	hiyləgərlik	0.302	0.755	0.356
oval	oval	0.417	0.280	0.330
ovary	yumurtalıq	0.469	0.399	0.280
ovate	yumurtalıq	0.385	0.286	0.368
ovation	ovasiya	0.719	0.758	0.750
oven	Soba	0.583	0.425	0.606
overactive	çox aktiv	0.667	0.885	0.592
overall	Ümumilikdə	0.583	0.370	0.670
overalls	kombinezonlar	0.500	0.392	0.373
overbearing	həddindən artıq bərəkət	0.323	0.833	0.861
overburden	aşırı yükləmə	0.115	0.755	0.546
overcast	buludlu	0.417	0.250	0.475
overcharged	çox ödənişli	0.276	0.780	0.569
overcoat	palto	0.594	0.265	0.430
overcome	aradan qaldırmaq	0.719	0.689	0.848
overcoming	aradan qaldırmaq	0.842	0.765	0.855
overcrowded	dolu	0.292	0.520	0.491
overdo	əldən verməyin	0.156	0.864	0.602
overdose	çox dozada	0.110	0.820	0.468
overdrive	overdrive	0.303	0.715	0.732
overdue	gecikmiş	0.125	0.427	0.259
overestimate	çox qiymətlidir	0.367	0.796	0.444
overestimated	çox qiymətlidir	0.344	0.646	0.527
overflow	daşqın	0.398	0.792	0.500
overflowing	daşqın	0.439	0.796	0.635
overgrown	böyüdükcə	0.333	0.500	0.369
overgrowth	böyümə	0.417	0.790	0.673
overhanging	aşırma	0.698	0.755	0.812
overhaul	təmir	0.500	0.651	0.491
overhead	üstünlük təşkil edir	0.344	0.700	0.538
overhear	eşitmək	0.650	0.365	0.580
overheated	aşırı qızdırıldı	0.250	0.598	0.547
overjoyed	sevindim	0.908	0.708	0.755
overkill	overkill	0.379	0.861	0.678
overlaid	örtülmüşdür	0.620	0.610	0.676
overlap	üst-üstə düşür	0.594	0.615	0.627
overlapping	üst-üstə düşür	0.595	0.578	0.684
overlay	örtük	0.564	0.596	0.749
overload	aşırı yükləmə	0.381	0.690	0.652
overlook	gözdən keçir	0.292	0.418	0.415
overlord	üst-üstə düşür	0.750	0.755	0.932
overlying	üstündə	0.500	0.519	0.691
overpaid	artıq ödənişli	0.429	0.670	0.585
overpass	üst keçid	0.562	0.561	0.565
overplayed	overplayed	0.224	0.798	0.586
overpower	üstünlük	0.448	0.859	0.783
overpowering	qəsdkarlıq	0.392	0.779	0.589
overpriced	overpriced	0.271	0.556	0.472
overprotective	çox qoruyucu	0.448	0.673	0.741
overrated	overrated	0.312	0.630	0.482
overreact	aşırı reaksiya	0.306	0.912	0.471
override	yalnış	0.316	0.491	0.529
overriding	ləğv edir	0.240	0.490	0.384
overrule	aradan qaldırmaq	0.224	0.412	0.429
overrun	dağıtmaq	0.271	0.764	0.598
oversee	nəzarət	0.541	0.649	0.778
overseer	nəzarətçi	0.552	0.520	0.873
overshadow	gölməçə	0.333	0.549	0.654
oversight	nəzarət	0.385	0.618	0.723
oversized	böyükdür	0.552	0.540	0.679
overslept	overslept	0.408	0.315	0.300
overstate	çoxaltmaq	0.281	0.779	0.635
overstock	overstock	0.344	0.592	0.589
overt	açıqdır	0.708	0.326	0.607
overtake	keçmək	0.573	0.620	0.718
overtaken	keçmişdir	0.594	0.552	0.702
overthemoon	NO TRANSLATION	0.643	0.531	0.481
overthinker	aşırıcı	0.430	0.606	0.552
overthinking	dəyişdirilməsi	0.408	0.761	0.525
overthrow	devirmək	0.260	0.868	0.620
overtime	əlavə vaxt	0.447	0.504	0.529
overtired	aşırdım	0.210	0.357	0.273
overture	ələ keçmək	0.490	0.402	0.491
overturn	devirmək	0.240	0.765	0.396
overview	ümumi baxış	0.615	0.380	0.539
overweight	çəki artıqlığı	0.052	0.500	0.389
overwhelm	əzmək	0.250	0.823	0.462
overwhelmed	boğulmuşdu	0.341	0.680	0.348
overwhelming	Əzici	0.327	0.830	0.640
overworked	çox işlənmişdir	0.133	0.670	0.387
overwrought	qəzəbləndi	0.156	0.900	0.571
overzealous	hədsiz	0.427	0.804	0.703
owe	borcluyam	0.500	0.429	0.386
owing	borcu	0.396	0.307	0.381
owl	bayquş	0.520	0.270	0.321
owner	sahibi	0.776	0.449	0.920
ownership	mülkiyyət	0.628	0.445	0.741
ox	ox	0.417	0.396	0.412
oxidation	oksidləşmə	0.453	0.415	0.211
oxide	oksid	0.354	0.377	0.298
oxygen	oksigen	0.908	0.310	0.575
oxymoron	oxymoron	0.427	0.481	0.398
oyster	oyster	0.500	0.311	0.327
ozone	ozon	0.560	0.345	0.518
pace	sürət	0.510	0.380	0.390
pacemaker	pacemaker	0.448	0.569	0.582
pacific	sakit	0.627	0.118	0.580
pacified	sakitləşmişdir	0.802	0.194	0.414
pacifier	pacifier	0.615	0.342	0.356
pacifist	pacifist	0.663	0.153	0.557
pacify	yatıştırmak	0.812	0.283	0.629
pacing	pacing	0.583	0.551	0.491
pack	paket	0.510	0.347	0.475
package	paket	0.571	0.433	0.443
packaging	qablaşdırma	0.604	0.393	0.549
packer	paketçi	0.520	0.480	0.537
packet	paket	0.582	0.385	0.407
pact	pakt	0.442	0.444	0.593
pad	pad	0.684	0.279	0.330
padded	padded	0.606	0.212	0.371
padding	padding	0.561	0.398	0.423
paddle	külək	0.561	0.375	0.393
paddle boat	külək qayığı	0.663	0.373	0.415
paddock	padok	0.480	0.429	0.481
paddy	paddy	0.653	0.330	0.330
padlock	asma kilid	0.459	0.284	0.457
padre	NO TRANSLATION	0.684	0.407	0.647
paean	paean	0.552	0.547	0.471
pagan	pagan	0.292	0.578	0.542
paganism	paganizm	0.240	0.640	0.411
page	səhifə	0.677	0.224	0.278
pageant	Təqdimat	0.719	0.667	0.651
pager	çağrı cihazı	0.510	0.526	0.554
pagination	pagination	0.459	0.333	0.400
paging	paging	0.542	0.398	0.423
pagoda	pagoda	0.571	0.259	0.435
pail	çuxur	0.448	0.177	0.188
pain	ağrı	0.012	0.765	0.395
pained	ağrılı idi	0.112	0.500	0.250
painful	ağrılı	0.050	0.742	0.330
painfully	ağrılı şəkildə	0.156	0.720	0.407
painkiller	ağrı kəsici	0.487	0.312	0.481
painless	ağrısız	0.785	0.173	0.491
pains	ağrıları	0.106	0.673	0.362
painstaking	həssas	0.396	0.335	0.386
paint	çəkmək	0.667	0.343	0.413
paintball	paintball	0.615	0.745	0.537
paintbrush	rəngsaz fırçası	0.714	0.226	0.353
painted	boyalı	0.667	0.333	0.424
painter	rəssam	0.677	0.366	0.487
painting	rəssamlıq	0.792	0.324	0.333
pair	cütlük	0.552	0.317	0.304
paisley	paisley	0.531	0.327	0.347
pajama	pijama	0.908	0.157	0.245
pajamas	pijama	0.719	0.170	0.264
pal	pal	0.812	0.426	0.596
palace	Saray	0.878	0.510	0.804
palatable	dözülməz	0.823	0.500	0.594
palate	damaq	0.625	0.350	0.358
pale	solğun	0.281	0.259	0.245
paleontology	paleontologiya	0.438	0.308	0.617
palette	palitrası	0.590	0.333	0.205
pall	ağıl	0.277	0.387	0.394
palladium	palladium	0.470	0.380	0.393
pallet	palet	0.604	0.241	0.349
palliative	palyatif	0.548	0.394	0.518
palm	xurma	0.531	0.194	0.340
palmer	palmar	0.480	0.269	0.413
palomino	palomino	0.616	0.349	0.396
palpable	palpable	0.552	0.343	0.611
palpitations	çarpıntılar	0.417	0.702	0.528
palsy	palsi	0.083	0.446	0.221
paltry	çaşqınlıq	0.333	0.491	0.320
pamper	əziz	0.792	0.321	0.348
pamphlet	broşür	0.530	0.250	0.327
pan	pan	0.734	0.182	0.364
panacea	panacea	0.420	0.427	0.613
panache	panache	0.510	0.363	0.306
pancake	pancake	0.802	0.274	0.364
pancakes	pancake	0.844	0.373	0.402
pancreas	pankreas	0.469	0.302	0.366
panda	panda	0.646	0.194	0.406
pandemic	pandemiya	0.160	0.790	0.544
pandemonium	pandemonium	0.229	0.885	0.500
pane	pane	0.385	0.250	0.444
panel	panel	0.469	0.321	0.425
pang	NO TRANSLATION	0.146	0.595	0.455
panhandle	panhandle	0.441	0.431	0.414
panic	panik	0.062	0.938	0.400
panicattack	NO TRANSLATION	0.255	0.724	0.386
panicked	paniklənmişdir	0.100	0.949	0.260
panicking	panik	0.094	0.882	0.333
panicky	panikalı	0.284	0.962	0.393
panier	NO TRANSLATION	0.500	0.392	0.380
panorama	panorama	0.719	0.402	0.625
panoramic	panoramik	0.542	0.462	0.684
pansy	pansy	0.653	0.283	0.589
pant	pantolon	0.448	0.463	0.409
pantheon	pantheon	0.144	0.410	0.610
panther	panther	0.303	0.594	0.682
panties	panties	0.594	0.529	0.312
pantomime	pantomime	0.552	0.481	0.385
pantry	kiler	0.622	0.294	0.312
pants	şalvar	0.673	0.320	0.333
panty	panty	0.451	0.557	0.303
pantyhose	külotlu çorap	0.570	0.539	0.250
pap	pap	0.438	0.403	0.302
papa	papa	0.656	0.340	0.527
papacy	papaçılıq	0.481	0.263	0.553
papal	NO TRANSLATION	0.493	0.304	0.559
papaya	papaya	0.630	0.306	0.300
paper	kağız	0.520	0.123	0.293
paperback	kağız kağızı	0.633	0.269	0.314
paperboy	kağız boyu	0.521	0.490	0.471
paperweight	kağız çəkisi	0.421	0.278	0.433
paperwork	sənədləşmə işi	0.448	0.355	0.422
paprika	bibər	0.417	0.250	0.264
papyrus	papirus	0.459	0.240	0.324
par	NO TRANSLATION	0.615	0.372	0.429
parable	məsəl	0.479	0.357	0.525
parabola	parabola	0.542	0.413	0.620
parabolic	parabolik	0.459	0.509	0.500
parachute	paraşüt	0.562	0.787	0.564
parade	parad	0.792	0.685	0.509
paradigm	paradiqma	0.573	0.429	0.779
paradise	cənnət	0.875	0.540	0.796
paradox	paradoks	0.417	0.442	0.482
paradoxical	paradoksal	0.406	0.547	0.433
paraffin	parafin	0.426	0.291	0.343
paragon	paragon	0.490	0.431	0.473
paragraph	paraqraf	0.510	0.164	0.269
parakeet	parakeet	0.576	0.387	0.227
paralegal	paralegal	0.479	0.470	0.519
parallax	paralaks	0.437	0.394	0.471
parallel	paralel	0.568	0.284	0.465
parallelism	paralellik	0.549	0.363	0.527
paralysis	fəlakət	0.156	0.500	0.305
paralyze	fəlakət	0.188	0.367	0.471
paralyzed	iflic etdi	0.194	0.480	0.198
paramedic	paramedic	0.673	0.464	0.636
paramedics	paramediklər	0.479	0.594	0.712
paramilitary	paramilitary	0.154	0.804	0.727
paramount	böyükdür	0.771	0.615	0.902
paranoia	paranoya	0.146	0.841	0.407
paranoid	paranoyak	0.122	0.918	0.364
paranormal	paranormal	0.167	0.814	0.560
parapet	parapet	0.450	0.356	0.279
paraphernalia	paraphernalia	0.443	0.726	0.509
paraphrase	parafraz	0.500	0.375	0.444
paraplegic	paraplejik	0.188	0.441	0.321
parasite	parazit	0.092	0.442	0.324
parasitic	parazit	0.037	0.600	0.364
parasol	parasol	0.604	0.255	0.304
parcel	parsel	0.660	0.324	0.411
parcels	parsel	0.551	0.445	0.418
parched	yandırılmışdır	0.250	0.235	0.255
parchment	parşömen	0.615	0.228	0.455
pardon	əfv et	0.552	0.413	0.542
pare	NO TRANSLATION	0.500	0.356	0.309
parenchyma	parenkima	0.500	0.399	0.595
parent	valideyn	0.812	0.357	0.860
parentage	baban	0.903	0.382	0.595
parental	valideyn	0.760	0.430	0.627
parenthesis	NO TRANSLATION	0.510	0.255	0.380
parenthetical	parantetik	0.490	0.327	0.391
parenthood	valideynlik	0.750	0.630	0.782
parenting	valideynlik	0.812	0.520	0.676
pariah	pariah	0.397	0.478	0.293
parietal	parietal	0.481	0.333	0.491
paring	parlama	0.429	0.441	0.324
