Word	Hungarian-hu	Valence	Arousal	Dominance
manifest	nyilvánvaló	0.667	0.647	0.704
manifestation	megnyilatkozás	0.583	0.750	0.655
manifested	nyilvánul	0.580	0.618	0.667
manifestly	nyilvánvalóan	0.469	0.588	0.577
manifesto	kiáltvány	0.646	0.519	0.676
manifold	változatos	0.500	0.461	0.435
manipulate	manipulál	0.255	0.700	0.772
manipulation	manipuláció	0.188	0.775	0.536
manipulative	Manipulatív	0.177	0.724	0.546
mankind	emberiség	0.823	0.471	0.768
manly	férfias	0.698	0.633	0.846
manna	manna	0.698	0.294	0.544
manned	legénységgel	0.551	0.588	0.484
mannequin	manöken	0.427	0.302	0.295
manner	mód	0.618	0.250	0.320
mannered	modorú	0.469	0.556	0.291
manners	modor	0.816	0.284	0.517
manor	majorság	0.646	0.358	0.738
manpower	munkaerő	0.531	0.620	0.543
mansion	kastély	0.847	0.490	0.717
mansions	kúriák	0.735	0.529	0.777
manslaughter	emberölés	0.090	0.920	0.473
mantel	kandallópárkány	0.500	0.265	0.471
mantis	mantis	0.480	0.355	0.421
mantle	palást	0.510	0.269	0.422
mantra	mantra	0.396	0.249	0.357
manual	kézikönyv	0.635	0.245	0.449
manufacture	gyártás	0.868	0.703	0.780
manufacturer	gyártó	0.688	0.537	0.830
manufacturing	gyártás	0.653	0.613	0.804
manure	trágya	0.250	0.471	0.241
manuscript	kézirat	0.510	0.208	0.540
map	térkép	0.561	0.229	0.463
maple	juharfa	0.541	0.390	0.339
mar	elront	0.622	0.544	0.545
marathon	marathon	0.646	0.778	0.740
marble	üveggolyó	0.604	0.212	0.667
marbled	márványozott	0.396	0.385	0.418
marbles	golyók	0.714	0.345	0.241
march	március	0.531	0.200	0.483
mare	NO TRANSLATION	0.541	0.320	0.417
margarine	margarin	0.530	0.316	0.333
margarita	margarita	0.750	0.438	0.420
margin	margó	0.500	0.219	0.331
marginal	marginális	0.235	0.644	0.345
mariachi	mariachi	0.710	0.559	0.609
marijuana	marihuána	0.312	0.779	0.558
marinara	marinara	0.657	0.388	0.435
marine	tengeri	0.633	0.471	0.679
mariner	tengerész	0.652	0.491	0.676
marital	házassági	0.760	0.529	0.500
maritime	tengeri	0.646	0.490	0.713
mark	Mark	0.491	0.231	0.600
marked	megjelölt	0.592	0.358	0.554
marker	jelző	0.500	0.333	0.605
market	piac	0.724	0.480	0.521
marketable	piacképes	0.746	0.545	0.664
marketing	értékesítés	0.521	0.774	0.675
marketplace	piactér	0.698	0.420	0.525
marks	jelek	0.430	0.480	0.424
marksman	mesterlövész	0.500	0.833	0.692
marksmanship	lövészet	0.573	0.531	0.664
marl	márga	0.372	0.471	0.351
marmalade	lekvár	0.729	0.370	0.288
maroon	gesztenyebarna	0.469	0.358	0.336
marooned	rekedtek	0.229	0.480	0.160
marquee	sátor	0.602	0.284	0.508
marquis	márki	0.521	0.444	0.562
marred	gátat	0.181	0.561	0.233
marriage	házasság	0.844	0.684	0.750
married	házas	0.674	0.570	0.602
marrow	velő	0.398	0.422	0.472
marry	feleségül vesz	0.896	0.765	0.673
marsh	mocsár	0.302	0.358	0.277
marshal	marsall	0.469	0.610	0.819
marshmallow	mályvacukor	0.740	0.441	0.391
mart	árverési csarnok	0.531	0.402	0.418
martial	harcias	0.480	0.710	0.737
martingale	bukdálókötél	0.469	0.510	0.455
martini	martini	0.828	0.500	0.519
martyr	mártír	0.281	0.708	0.509
martyrdom	vértanúság	0.323	0.745	0.442
marvel	csoda	0.961	0.755	0.866
marvellous	csodálatos	0.878	0.809	0.849
marvelous	csodálatos	0.948	0.637	0.778
marvelously	csodálatosan	0.968	0.708	0.764
marzipan	NO TRANSLATION	0.684	0.380	0.258
mascara	szempillafesték	0.575	0.450	0.269
mascot	kabala	0.750	0.337	0.337
masculine	férfias	0.653	0.540	0.773
masculinity	férfiasság	0.583	0.670	0.851
mash	pép	0.440	0.363	0.283
mashed	pürésített	0.531	0.337	0.194
mask	maszk	0.510	0.490	0.537
masked	álarcos	0.375	0.549	0.518
masks	maszkok	0.510	0.472	0.241
masochism	mazochizmus	0.194	0.845	0.483
masochist	mazochista	0.164	0.784	0.353
mason	kőműves	0.541	0.442	0.580
masquerade	álarcos mulatság	0.431	0.633	0.446
mass	tömeg	0.458	0.245	0.277
massacre	mészárlás	0.031	0.887	0.640
massage	masszázs	0.708	0.356	0.413
masses	tömegek	0.552	0.453	0.473
masseur	masszőr	0.622	0.265	0.463
masseuse	masszőrnő	0.594	0.373	0.391
massive	tömeges	0.569	0.660	0.750
mast	árboc	0.542	0.390	0.580
master	fő-	0.694	0.490	0.849
masterful	mesteri	0.854	0.510	0.960
mastermind	kiagyal	0.792	0.625	0.918
masterpiece	mestermű	0.926	0.623	0.847
mastery	uralom	0.755	0.648	0.873
masturbate	maszturbál	0.552	0.926	0.500
masturbation	maszturbáció	0.542	0.961	0.509
mat	lábtörlő	0.459	0.221	0.304
matador	matador	0.224	0.880	0.667
match	mérkőzés	0.599	0.573	0.500
matchbook	levélgyufa	0.562	0.391	0.412
matching	megfelelő	0.719	0.735	0.418
matchmaker	házasságszerző	0.615	0.509	0.519
mate	társ	0.847	0.417	0.669
material	anyag	0.521	0.363	0.439
materialism	materializmus	0.220	0.390	0.556
materialist	materialista	0.255	0.491	0.504
materialistic	materialista	0.420	0.506	0.589
materiality	anyagiasság	0.417	0.450	0.636
materialize	megvalósul	0.688	0.596	0.728
materially	jelentősen	0.490	0.451	0.670
materials	anyagok	0.633	0.361	0.473
materiel	felszerelések	0.531	0.294	0.417
maternal	anyai	0.847	0.417	0.634
maternity	anyaság	0.865	0.480	0.622
math	matematikai	0.417	0.375	0.600
mathematical	matematikai	0.620	0.500	0.548
mathematician	matematikus	0.541	0.418	0.773
mathematics	matematika	0.438	0.435	0.664
matinee	délutáni előadás	0.694	0.578	0.447
mating	párosodás	0.755	0.840	0.759
matriculation	beiratkozás	0.622	0.490	0.675
matrimony	házasság	0.850	0.637	0.843
matrix	mátrix	0.551	0.378	0.673
matron	családanya	0.520	0.519	0.555
matted	gyékénnyel borított	0.281	0.519	0.393
matter	ügy	0.487	0.353	0.562
matting	gyékényfonás	0.479	0.405	0.423
mattress	matrac	0.612	0.255	0.397
maturation	érés	0.612	0.439	0.698
mature	érett	0.625	0.347	0.600
maturity	érettség	0.827	0.400	0.806
maudlin	érzelgős	0.337	0.417	0.368
mausoleum	mauzóleum	0.344	0.281	0.594
mauve	mályvaszínű	0.533	0.330	0.314
maverick	független	0.354	0.676	0.409
maxim	alapelv	0.875	0.562	0.887
maximize	maximalizálása	0.823	0.765	0.792
maximum	maximális	0.724	0.724	0.852
may	lehet	0.704	0.273	0.245
mayday	vészhelyzet	0.344	0.643	0.423
mayflower	Mayflower	0.690	0.463	0.429
mayhem	súlyos testi sértés	0.188	0.870	0.364
mayonnaise	majonéz	0.510	0.320	0.222
mayor	polgármester	0.469	0.481	0.818
maze	labirintus	0.438	0.608	0.444
mead	mézsör	0.667	0.337	0.441
meadow	rét	0.622	0.130	0.382
meager	csekély	0.144	0.389	0.281
meal	étkezés	0.833	0.461	0.473
mean	átlagos	0.440	0.467	0.620
meander	kanyarog	0.480	0.443	0.454
meandering	kanyargó	0.427	0.644	0.539
meanie	meanie	0.388	0.420	0.404
meaning	jelentés	0.663	0.395	0.625
meaningful	jelentőségteljes	0.770	0.500	0.802
meaningless	értelmetlen	0.156	0.314	0.143
meanness	hitványság	0.102	0.694	0.368
means	eszközök	0.615	0.373	0.460
meantime	Addig	0.432	0.222	0.300
measles	kanyaró	0.092	0.635	0.422
measurable	mérhető	0.604	0.410	0.602
measure	intézkedés	0.510	0.375	0.365
measured	mért	0.542	0.265	0.578
measurement	mérés	0.622	0.418	0.491
measuring	mérő	0.448	0.337	0.529
measuring cup	mérőedény	0.557	0.343	0.377
measuring tape	mérőszalag	0.337	0.280	0.327
meat	hús	0.612	0.421	0.413
meatball	húsgombóc	0.612	0.279	0.343
meathead	meathead	0.306	0.534	0.490
meatloaf	fasírt	0.625	0.389	0.375
mechanic	szerelő	0.571	0.433	0.566
mechanical	mechanikai	0.479	0.569	0.564
mechanics	mechanika	0.542	0.500	0.761
mechanism	mechanizmus	0.573	0.583	0.664
med	NO TRANSLATION	0.375	0.429	0.606
medal	érem	0.854	0.555	0.746
medallion	medalion	0.750	0.510	0.710
medallist	éremgyűjtő	0.796	0.821	0.897
meddle	babrál	0.302	0.770	0.526
meddling	beavatkozást	0.245	0.600	0.461
media	média	0.500	0.330	0.464
medial	középső	0.458	0.340	0.429
median	középső	0.459	0.216	0.375
mediate	közvetít	0.635	0.308	0.654
mediation	közvetítés	0.661	0.350	0.657
mediator	közvetítő	0.592	0.438	0.580
medic	medikus	0.500	0.472	0.585
medical	orvosi	0.583	0.373	0.616
medicate	gyógyít	0.417	0.375	0.546
medication	gyógyszer	0.615	0.439	0.500
medicinal	gyógyhatású	0.667	0.417	0.614
medicine	gyógyszer	0.708	0.318	0.679
medieval	középkori	0.560	0.408	0.455
mediocre	középszerű	0.188	0.481	0.149
mediocrity	középszerűség	0.073	0.398	0.225
meditate	elmélkedik	0.812	0.146	0.564
meditating	meditál	0.718	0.185	0.399
meditation	elmélkedés	0.786	0.120	0.478
meditative	elmélkedő	0.614	0.120	0.454
mediterranean	földközi-tenger	0.663	0.454	0.545
medium	közepes	0.559	0.356	0.358
medley	egyveleg	0.487	0.352	0.400
meek	szelíd	0.531	0.150	0.198
meet	találkozik	0.760	0.510	0.580
meeting	találkozó	0.750	0.569	0.613
mega	mega	0.724	0.538	0.723
meh	meh	0.380	0.286	0.365
melancholic	mélabús	0.181	0.306	0.277
melancholy	melankólia	0.188	0.260	0.237
melee	verekedés	0.541	0.704	0.611
mellow	érett	0.633	0.069	0.265
melodious	dallamos	0.932	0.530	0.587
melodrama	melodráma	0.378	0.830	0.446
melodramatic	melodrámai	0.235	0.692	0.368
melody	dallam	0.847	0.434	0.405
melon	dinnye	0.461	0.231	0.271
melt	olvad	0.448	0.615	0.312
meltdown	összeomlás	0.629	0.657	0.602
melting	olvasztó	0.592	0.470	0.538
member	tag	0.698	0.333	0.555
membership	tagság	0.698	0.411	0.778
membrane	membrán	0.406	0.430	0.418
memento	emlékeztető	0.708	0.360	0.536
memo	Memo	0.625	0.235	0.407
memoir	emlékirat	0.750	0.242	0.553
memorabilia	emléktárgyak	0.780	0.412	0.491
memorable	emlékezetes	0.939	0.510	0.769
memorandum	memorandum	0.600	0.500	0.639
memorial	emlékmű	0.602	0.304	0.600
memorials	emlékművek	0.771	0.333	0.679
memories	memóriák	0.963	0.487	0.510
memoriesiwontforget	NO TRANSLATION	0.635	0.542	0.455
memorize	memorizál	0.520	0.451	0.716
memory	memória	0.792	0.378	0.573
menace	fenyegetés	0.125	0.894	0.759
menacing	fenyegető	0.042	0.880	0.643
menagerie	állatsereglet	0.573	0.480	0.538
mend	javít	0.542	0.436	0.602
mending	javítás	0.500	0.633	0.657
menial	alantas	0.490	0.420	0.352
meningitis	agyhártyagyulladás	0.104	0.612	0.407
meniscus	homorú-domború lencse	0.323	0.330	0.453
menopause	változás kora	0.204	0.460	0.306
menses	menstruáció	0.163	0.686	0.331
menstrual	menstruációs	0.408	0.519	0.435
mental	szellemi	0.490	0.490	0.585
mentalhealth	NO TRANSLATION	0.562	0.541	0.670
mentality	mentalitás	0.711	0.415	0.726
menthol	mentol	0.490	0.292	0.433
mention	említés	0.562	0.365	0.562
mentor	tanácsadó	0.719	0.455	0.777
menu	menü	0.633	0.333	0.385
meow	miaú	0.510	0.510	0.412
mercantile	kereskedelmi	0.480	0.490	0.713
mercenary	zsoldos	0.245	0.837	0.673
merchandise	áru	0.594	0.460	0.621
merchant	kereskedő	0.675	0.500	0.620
merciful	irgalmas	0.854	0.346	0.500
merciless	könyörtelen	0.062	0.880	0.634
mercurial	fürge	0.490	0.546	0.518
mercury	higany	0.337	0.312	0.475
mercy	kegyelem	0.719	0.229	0.500
mere	puszta	0.396	0.221	0.176
merengue	merengue	0.688	0.519	0.442
merge	összeolvad	0.760	0.480	0.733
merger	egyesülés	0.592	0.490	0.642
meridian	délkör	0.510	0.324	0.558
meridional	meridionális	0.365	0.290	0.600
meringue	habcsók	0.625	0.580	0.411
merit	érdem	0.854	0.500	0.722
meritorious	érdemes	0.781	0.618	0.855
mermaid	sellő	0.765	0.623	0.452
merriment	vidámság	0.948	0.721	0.632
merry	vidám	0.979	0.731	0.764
merrychristmas	NO TRANSLATION	0.888	0.510	0.536
mesa	mesa	0.604	0.191	0.319
mescaline	meszkalin	0.490	0.580	0.415
mesh	háló	0.429	0.235	0.371
meshes	háló	0.440	0.363	0.362
mesmerized	megbabonázta	0.520	0.552	0.421
mess	rendetlenség	0.143	0.843	0.273
message	üzenet	0.650	0.391	0.415
messedup	NO TRANSLATION	0.333	0.615	0.358
messenger	hírnök	0.694	0.434	0.500
messiah	Messiás	0.781	0.634	0.800
messy	rendetlen	0.260	0.635	0.140
metabolic	metabolikus	0.408	0.531	0.559
metabolism	anyagcsere	0.698	0.509	0.555
metal	fém	0.551	0.429	0.547
metallic	fémes	0.615	0.330	0.607
metallurgy	kohászat	0.396	0.509	0.587
metamorphosis	metamorfózis	0.541	0.571	0.613
metaphor	metafora	0.562	0.280	0.470
metaphorical	képletes	0.500	0.412	0.480
metaphysical	metafizikai	0.630	0.573	0.686
metaphysics	metafizika	0.561	0.396	0.588
metastasis	áttétel	0.177	0.646	0.452
meteor	meteor	0.398	0.714	0.737
meteoric	meteorikus	0.590	0.802	0.684
meteorite	meteorit	0.385	0.794	0.750
meteorological	meteorológiai	0.635	0.557	0.556
meteorology	meteorológia	0.630	0.418	0.689
meter	méter	0.438	0.300	0.463
meth	met	0.354	0.564	0.340
methadone	metadon	0.240	0.540	0.453
methane	metán	0.290	0.460	0.569
methanol	metanol	0.292	0.500	0.570
method	módszer	0.640	0.275	0.698
methodical	módszeres	0.663	0.360	0.745
methodology	módszertan	0.664	0.327	0.745
meticulous	aprólékos	0.555	0.480	0.555
metime	metime	0.531	0.398	0.417
metric	metrikus	0.519	0.248	0.573
metrical	időmértékes	0.521	0.375	0.482
metrology	mérésügyi	0.531	0.432	0.439
metropolis	világváros	0.656	0.625	0.779
metropolitan	nagyvárosi	0.387	0.408	0.723
mettle	vérmérséklet	0.667	0.529	0.750
mew	elzár	0.418	0.481	0.380
mezzanine	félemelet	0.479	0.427	0.404
mica	csillámpala	0.531	0.250	0.314
mick	mick	0.449	0.451	0.382
micro	micro	0.500	0.270	0.250
microbe	mikroba	0.255	0.450	0.340
microbiology	mikrobiológia	0.571	0.378	0.560
microchip	mikrochip	0.551	0.358	0.432
microcosm	mikrokozmosz	0.500	0.500	0.520
microfilm	mikrofilm	0.469	0.352	0.412
microgram	mikrogramm	0.448	0.286	0.355
micrometer	mikrométer	0.573	0.358	0.394
micron	mikron	0.375	0.291	0.315
microphone	mikrofon	0.551	0.431	0.462
microscope	mikroszkóp	0.531	0.330	0.464
microscopic	mikroszkopikus	0.360	0.327	0.433
microscopically	mikroszkóp	0.623	0.370	0.412
microscopy	mikroszkópia	0.500	0.339	0.455
microwave	mikrohullámú sütő	0.542	0.497	0.443
mid	középső	0.500	0.315	0.356
midair	levegőben	0.633	0.413	0.455
midday	déli	0.658	0.250	0.403
middle	középső	0.458	0.157	0.300
middleman	közvetítő	0.500	0.404	0.452
middleweight	középsúly	0.510	0.302	0.428
midget	törpe	0.396	0.295	0.254
midland	belországi	0.521	0.402	0.456
midlife	midlife	0.594	0.244	0.473
midline	középvonal	0.332	0.224	0.330
midnight	éjfél	0.562	0.470	0.545
midshipman	tengerészkadét	0.469	0.615	0.785
midst	középen	0.324	0.275	0.296
midsummer	nyár közepe	0.781	0.480	0.492
midterm	ZH	0.427	0.337	0.425
midtown	Sofitel	0.479	0.442	0.538
midway	félúton	0.459	0.316	0.304
midwife	bába	0.531	0.570	0.453
midwifery	szülészet	0.510	0.570	0.459
mien	NO TRANSLATION	0.500	0.352	0.447
miffed	miffed	0.204	0.726	0.429
mighty	hatalmas	0.855	0.837	0.936
mignon	mignon	0.551	0.440	0.423
migraine	migrén	0.135	0.783	0.318
migrate	vándorol	0.415	0.580	0.454
migration	elvándorlás	0.492	0.731	0.566
migratory	vándorló	0.448	0.521	0.491
mike	mikrofon	0.542	0.365	0.423
mil	NO TRANSLATION	0.534	0.388	0.347
mild	enyhe	0.635	0.198	0.216
mildew	penész	0.344	0.250	0.241
mildness	szelídség	0.827	0.226	0.311
mile	mérföld	0.521	0.417	0.456
mileage	távolság	0.510	0.458	0.562
milestone	mérföldkő	0.719	0.373	0.558
militant	harcos	0.418	0.667	0.750
militants	fegyveresek	0.260	0.673	0.652
military	katonai	0.396	0.710	0.875
militia	milícia	0.396	0.729	0.769
milk	tej	0.817	0.270	0.327
milkman	tejesember	0.750	0.380	0.304
milkshake	turmix	0.796	0.521	0.330
milky	tejes	0.517	0.283	0.311
mill	malom	0.531	0.382	0.347
millennium	évezred	0.573	0.398	0.760
milligram	milligramm	0.429	0.217	0.302
millimeter	milliméter	0.427	0.177	0.360
million	millió	0.776	0.647	0.812
millionaire	milliomos	0.917	0.755	0.850
millionth	milliomos	0.635	0.528	0.611
millstone	malomkő	0.510	0.433	0.492
mime	pantomim	0.455	0.235	0.302
mimic	utánzó	0.557	0.587	0.391
mimicking	utánzó	0.316	0.433	0.364
mimicry	utánzás	0.420	0.337	0.472
mince	finomkodik	0.417	0.529	0.378
mincemeat	vagdalt hús	0.396	0.435	0.358
mind	elme	0.650	0.388	0.627
minded	gondolkodású	0.656	0.394	0.627
mindful	figyelmes	0.765	0.450	0.725
mindfulness	éberség	0.729	0.635	0.745
mindless	értelmetlen	0.184	0.333	0.153
mine	enyém	0.688	0.418	0.578
minefield	aknamező	0.188	0.839	0.684
miner	bányász	0.408	0.594	0.644
mineral	ásványi	0.519	0.287	0.605
mineralogy	ásványtan	0.551	0.408	0.545
mingle	keveredik	0.561	0.480	0.434
mingled	vegyes	0.521	0.392	0.357
mini	mini	0.421	0.324	0.221
miniature	miniatűr	0.429	0.292	0.204
minibus	minibusz	0.439	0.390	0.428
minim	NO TRANSLATION	0.518	0.208	0.138
minimal	minimális	0.448	0.147	0.206
minimize	minimalizálása	0.360	0.236	0.311
minimized	minimalizált	0.458	0.137	0.208
minimum	minimális	0.380	0.198	0.194
mining	bányászati	0.633	0.598	0.554
minion	kegyenc	0.490	0.430	0.167
minister	miniszter	0.547	0.441	0.892
ministerial	miniszteri	0.571	0.519	0.660
ministry	minisztérium	0.510	0.346	0.717
minivan	kisbuszt	0.592	0.356	0.452
mink	nyérc	0.560	0.515	0.430
minnow	fürge cselle	0.541	0.367	0.364
minor	kisebb	0.250	0.235	0.175
minority	kisebbség	0.310	0.332	0.211
minstrel	vándorénekes	0.458	0.541	0.397
mint	menta	0.688	0.221	0.345
minty	mentás	0.635	0.292	0.361
minuscule	kisbetű	0.396	0.286	0.214
minute	perc	0.582	0.279	0.356
minutiae	aprólékos részletek	0.323	0.257	0.316
minx	kikapós nő	0.448	0.519	0.404
mir	NO TRANSLATION	0.417	0.339	0.355
miracle	csoda	0.917	0.607	0.806
miracles	csodák	0.922	0.735	0.692
miraculous	csodálatos	0.875	0.706	0.812
mirage	délibáb	0.546	0.487	0.562
mire	NO TRANSLATION	0.344	0.376	0.298
mirror	tükör	0.677	0.310	0.438
mirth	vidámság	0.888	0.640	0.608
misappropriation	hűtlen kezelés	0.097	0.831	0.500
misbehave	illetlenül viselkedik	0.020	0.847	0.304
misbehavior	neveletlenség	0.031	0.704	0.269
miscalculation	tévedés	0.177	0.490	0.353
miscarriage	vetélés	0.042	0.781	0.312
miscellaneous	vegyes	0.531	0.321	0.196
miscellany	egyveleg	0.500	0.412	0.384
mischief	baj	0.385	0.834	0.292
mischievous	csintalan	0.439	0.804	0.472
misconception	tévhit	0.210	0.557	0.291
misconduct	kötelességszegés	0.061	0.667	0.304
misdemeanor	vétség	0.210	0.640	0.364
misdirection	félrevezetés	0.131	0.710	0.281
miser	fösvény	0.208	0.633	0.311
miserable	nyomorult	0.062	0.461	0.188
miserably	szánalmasan	0.280	0.545	0.150
misery	szenvedés	0.146	0.378	0.158
misfire	csütörtököt mond	0.153	0.453	0.200
misfit	rosszul sikerült	0.173	0.500	0.393
misfortune	balszerencse	0.094	0.780	0.311
misguided	NO TRANSLATION	0.280	0.531	0.259
mishap	baleset	0.071	0.654	0.227
misinformed	félretájékoztatták	0.156	0.567	0.250
misinterpretation	félremagyarázás	0.112	0.556	0.360
mislead	félrevezet	0.167	0.765	0.412
misleading	félrevezető	0.070	0.660	0.272
misled	félrevezette	0.177	0.606	0.353
mismanagement	rossz irányítás	0.094	0.520	0.295
mismatch	eltérés	0.250	0.459	0.282
mismatched	egyező	0.250	0.557	0.302
misnomer	helytelen elnevezés	0.296	0.528	0.284
misplace	elhány	0.229	0.461	0.191
misplaced	rosszul	0.247	0.450	0.324
misread	rosszul olvas	0.115	0.558	0.315
misrepresent	hamisan	0.198	0.542	0.418
misrepresentation	megtévesztés	0.323	0.618	0.518
misrepresented	hamis színben tüntetik fel	0.042	0.519	0.466
miss	hiányzik	0.573	0.490	0.408
missile	rakéta	0.240	0.830	0.764
missiles	rakéták	0.070	0.922	0.830
missing	hiányzó	0.306	0.418	0.222
missingyou	NO TRANSLATION	0.260	0.471	0.377
mission	küldetés	0.765	0.633	0.870
missionary	misszionárius	0.729	0.404	0.596
misspell	rosszul betűz	0.292	0.423	0.281
misstatement	téves állítás	0.302	0.547	0.221
missy	kisasszonyka	0.521	0.480	0.333
mist	köd	0.375	0.194	0.221
mistake	hiba	0.208	0.585	0.102
mistaken	téves	0.131	0.630	0.212
mister	uram	0.604	0.406	0.663
mistletoe	fagyöngy	0.542	0.470	0.324
mistreated	bántalmazták,	0.010	0.792	0.200
mistress	úrnő	0.630	0.796	0.694
mistrial	téves ítélet	0.427	0.539	0.536
mistrust	bizalmatlanság	0.135	0.657	0.231
misty	ködös	0.427	0.451	0.278
misunderstand	félreértés	0.177	0.548	0.382
misunderstanding	félreértés	0.112	0.618	0.284
misunderstood	félreérthető	0.177	0.625	0.309
misuse	visszaélés	0.083	0.560	0.196
mite	fillér	0.290	0.584	0.271
miter	püspöksüveg	0.458	0.500	0.414
mitigate	enyhítésére	0.506	0.427	0.456
mitigating	enyhítő	0.551	0.520	0.600
mitigation	enyhítés	0.448	0.527	0.423
mitt	ujjatlan női félkesztyű	0.406	0.183	0.264
mitten	NO TRANSLATION	0.531	0.330	0.408
mitzvah	mitzvah	0.422	0.610	0.409
mix	keverd össze	0.542	0.490	0.472
mixed	vegyes	0.510	0.346	0.444
mixedemotions	Vegyes érzelmekkel	0.440	0.673	0.430
mixer	keverő	0.562	0.500	0.556
mixture	keverék	0.546	0.360	0.481
mnemonic	emlékezeterősítő	0.531	0.480	0.452
moan	nyögés	0.357	0.735	0.352
moat	várárok	0.398	0.380	0.314
mob	csőcselék	0.296	0.788	0.567
mobile	Mobil	0.615	0.569	0.481
mobility	mobilitás	0.700	0.596	0.654
mobilization	mozgósítás	0.688	0.720	0.787
mobilize	mozgósít	0.604	0.684	0.727
mobster	gengszter	0.188	0.870	0.638
mocha	mohaachát	0.500	0.396	0.311
mock	utánzott	0.360	0.606	0.618
mocked	kigúnyolták	0.225	0.746	0.204
mockery	csúfolódás	0.094	0.806	0.181
mocking	gúnyos	0.082	0.755	0.394
mockingbird	sokszavú posztáta	0.513	0.337	0.423
mod	mod	0.458	0.367	0.384
modal	módbeli	0.592	0.264	0.461
modality	modalitás	0.633	0.404	0.527
mode	mód	0.531	0.185	0.367
model	modell	0.607	0.388	0.723
modeler	mintázó	0.500	0.510	0.730
modeling	modellezés	0.684	0.404	0.490
modem	modem	0.573	0.355	0.500
moderate	mérsékelt	0.582	0.190	0.453
moderate anticipation	mérsékelt várakozás	0.667	0.451	0.574
moderate disgust	mérsékelt undor	0.229	0.558	0.381
moderate negative	mérsékelt negatív	0.177	0.500	0.306
moderate positive	mérsékelten pozitív	0.896	0.453	0.753
moderate surprise	mérsékelt meglepetés	0.776	0.663	0.637
moderate trust	mérsékelt bizalom	0.677	0.350	0.773
moderately	közepesen	0.604	0.264	0.500
moderating	moderáló	0.667	0.402	0.783
moderation	mérséklet	0.531	0.240	0.453
moderator	moderátor	0.519	0.354	0.802
modern	modern	0.855	0.423	0.691
modernism	modernizmus	0.760	0.553	0.703
modest	szerény	0.760	0.130	0.412
modesty	szerénység	0.778	0.240	0.500
modicum	egy kevés	0.234	0.417	0.327
modifiable	módosítható	0.541	0.422	0.373
modification	módosítás	0.480	0.520	0.625
modified	módosított	0.561	0.458	0.693
modify	módosít	0.458	0.584	0.625
modulate	módosít	0.673	0.343	0.555
modulation	moduláció	0.458	0.365	0.565
module	modul	0.582	0.388	0.571
modulus	modulus	0.622	0.304	0.481
mogul	mogul	0.510	0.652	0.865
moiety	molekularész	0.378	0.343	0.454
moist	nedves	0.470	0.316	0.386
moisture	nedvesség	0.406	0.398	0.327
moisturizer	hidratáló	0.750	0.280	0.386
molar	mól-	0.544	0.426	0.350
molasses	melasz	0.490	0.269	0.286
mold	öntőforma	0.330	0.274	0.402
molded	öntött	0.667	0.361	0.373
molding	öntvény	0.552	0.308	0.546
moldy	penészes	0.235	0.387	0.250
mole	anyajegy	0.436	0.377	0.352
molecular	molekuláris	0.495	0.440	0.536
molecule	molekula	0.531	0.259	0.375
molest	molesztál	0.133	0.816	0.319
molestation	molesztálás	0.102	0.808	0.407
molester	molesztáló	0.143	0.811	0.478
molten	olvadt	0.417	0.490	0.339
mom	anya	0.927	0.336	0.639
moment	pillanat	0.604	0.435	0.509
momentary	pillanatnyi	0.562	0.271	0.330
momentous	fontos	0.792	0.587	0.760
momentum	lendület	0.663	0.750	0.688
momma	mama	0.833	0.412	0.527
mommy	mami	0.854	0.353	0.422
monad	monász	0.510	0.482	0.451
monarch	uralkodó	0.583	0.559	0.870
monarchy	monarchia	0.450	0.557	0.870
monastery	kolostor	0.694	0.183	0.726
monastic	szerzetesi	0.438	0.314	0.676
monetary	pénzügyi	0.583	0.494	0.716
money	pénz	0.844	0.608	0.827
mongoloid	mongoloid	0.177	0.364	0.317
mongoose	indiai menyét	0.327	0.380	0.546
mongrel	korcs	0.425	0.438	0.395
monitor	monitor	0.490	0.298	0.538
monk	szerzetes	0.472	0.208	0.439
monkey	majom	0.548	0.449	0.283
mono	NO TRANSLATION	0.500	0.390	0.273
monochrome	monokróm	0.312	0.292	0.339
monogamous	monogám	0.510	0.335	0.402
monogamy	egynejűség	0.542	0.380	0.455
monogram	monogram	0.480	0.210	0.425
monogrammed	monogramos	0.503	0.270	0.402
monograph	monográfia	0.500	0.242	0.481
monolayer	egyrétegű	0.427	0.294	0.433
monolith	monolit	0.429	0.327	0.500
monologue	monológ	0.500	0.284	0.534
monopolist	monopolista	0.330	0.590	0.725
monopoly	monopólium	0.449	0.509	0.640
monotonous	monoton	0.354	0.221	0.400
monotony	egyhangúság	0.398	0.135	0.353
monoxide	monoxid	0.433	0.430	0.490
monsieur	úr	0.552	0.340	0.623
monsoon	monszun	0.358	0.600	0.481
monster	szörnyeteg	0.133	0.935	0.596
monstrosity	szörnyűség	0.094	0.933	0.611
monstrous	szörnyű	0.094	0.942	0.649
montage	montázs	0.438	0.520	0.388
monte	monte	0.589	0.330	0.391
month	hónap	0.688	0.255	0.411
monthly	havi	0.622	0.314	0.364
monument	emlékmű	0.833	0.404	0.811
monumental	monumentális	0.656	0.594	0.955
moo	bőg	0.438	0.355	0.300
mooch	csavarog	0.378	0.413	0.309
mood	hangulat	0.720	0.500	0.500
moods	hangulatok	0.578	0.633	0.491
moody	rosszkedvű	0.245	0.811	0.595
moon	hold	0.673	0.233	0.547
