Word	Russian-ru	Valence	Arousal	Dominance
metallic	металлический	0.615	0.330	0.607
metallurgy	металлургия	0.396	0.509	0.587
metamorphosis	метаморфоза	0.541	0.571	0.613
metaphor	метафора	0.562	0.280	0.470
metaphorical	метафорический	0.500	0.412	0.480
metaphysical	метафизический	0.630	0.573	0.686
metaphysics	метафизика	0.561	0.396	0.588
metastasis	метастазирование	0.177	0.646	0.452
meteor	метеор	0.398	0.714	0.737
meteoric	метеорный	0.590	0.802	0.684
meteorite	метеорит	0.385	0.794	0.750
meteorological	метеорологический	0.635	0.557	0.556
meteorology	метеорология	0.630	0.418	0.689
meter	метр	0.438	0.300	0.463
meth	мет	0.354	0.564	0.340
methadone	метадон	0.240	0.540	0.453
methane	метан	0.290	0.460	0.569
methanol	метанол	0.292	0.500	0.570
method	метод	0.640	0.275	0.698
methodical	методический	0.663	0.360	0.745
methodology	методология	0.664	0.327	0.745
meticulous	дотошный	0.555	0.480	0.555
metime	мне время	0.531	0.398	0.417
metric	метрический	0.519	0.248	0.573
metrical	метрический	0.521	0.375	0.482
metrology	метрология	0.531	0.432	0.439
metropolis	метрополия	0.656	0.625	0.779
metropolitan	столичный	0.387	0.408	0.723
mettle	лихость	0.667	0.529	0.750
mew	мяукать	0.418	0.481	0.380
mezzanine	мезонин	0.479	0.427	0.404
mica	слюда	0.531	0.250	0.314
mick	Mick	0.449	0.451	0.382
micro	микро	0.500	0.270	0.250
microbe	микроб	0.255	0.450	0.340
microbiology	микробиология	0.571	0.378	0.560
microchip	микрочип	0.551	0.358	0.432
microcosm	микрокосм	0.500	0.500	0.520
microfilm	микрофильм	0.469	0.352	0.412
microgram	микрограмм	0.448	0.286	0.355
micrometer	микрометр	0.573	0.358	0.394
micron	микрон	0.375	0.291	0.315
microphone	микрофон	0.551	0.431	0.462
microscope	микроскоп	0.531	0.330	0.464
microscopic	микроскопический	0.360	0.327	0.433
microscopically	микроскопически	0.623	0.370	0.412
microscopy	микроскопия	0.500	0.339	0.455
microwave	микроволновая печь	0.542	0.497	0.443
mid	середина	0.500	0.315	0.356
midair	воздушное пространство	0.633	0.413	0.455
midday	полуденный	0.658	0.250	0.403
middle	средний	0.458	0.157	0.300
middleman	перекупщик	0.500	0.404	0.452
middleweight	в среднем	0.510	0.302	0.428
midget	карлик	0.396	0.295	0.254
midland	удаленный от моря	0.521	0.402	0.456
midlife	средний возраст	0.594	0.244	0.473
midline	срединный	0.332	0.224	0.330
midnight	полночь	0.562	0.470	0.545
midshipman	гардемарин	0.469	0.615	0.785
midst	среди	0.324	0.275	0.296
midsummer	в середине лета	0.781	0.480	0.492
midterm	среднесрочный	0.427	0.337	0.425
midtown	Midtown	0.479	0.442	0.538
midway	на полпути	0.459	0.316	0.304
midwife	акушерка	0.531	0.570	0.453
midwifery	акушерство	0.510	0.570	0.459
mien	NO TRANSLATION	0.500	0.352	0.447
miffed	раздражались	0.204	0.726	0.429
mighty	могущественный	0.855	0.837	0.936
mignon	миньон	0.551	0.440	0.423
migraine	мигрень	0.135	0.783	0.318
migrate	мигрировать	0.415	0.580	0.454
migration	миграция	0.492	0.731	0.566
migratory	миграционный	0.448	0.521	0.491
mike	Майк	0.542	0.365	0.423
mil	NO TRANSLATION	0.534	0.388	0.347
mild	мягкий	0.635	0.198	0.216
mildew	милдью	0.344	0.250	0.241
mildness	мягкость	0.827	0.226	0.311
mile	мили	0.521	0.417	0.456
mileage	пробег	0.510	0.458	0.562
milestone	веха	0.719	0.373	0.558
militant	воинствующий	0.418	0.667	0.750
militants	боевики	0.260	0.673	0.652
military	военные	0.396	0.710	0.875
militia	милиция	0.396	0.729	0.769
milk	молоко	0.817	0.270	0.327
milkman	молочник	0.750	0.380	0.304
milkshake	молочный коктейль	0.796	0.521	0.330
milky	молочный	0.517	0.283	0.311
mill	мельница	0.531	0.382	0.347
millennium	тысячелетие	0.573	0.398	0.760
milligram	миллиграмм	0.429	0.217	0.302
millimeter	миллиметр	0.427	0.177	0.360
million	миллиона	0.776	0.647	0.812
millionaire	миллионер	0.917	0.755	0.850
millionth	миллионный	0.635	0.528	0.611
millstone	жернов	0.510	0.433	0.492
mime	мим	0.455	0.235	0.302
mimic	мим	0.557	0.587	0.391
mimicking	имитирующий	0.316	0.433	0.364
mimicry	мимикрия	0.420	0.337	0.472
mince	фарш	0.417	0.529	0.378
mincemeat	фарш	0.396	0.435	0.358
mind	разум	0.650	0.388	0.627
minded	мыслящих	0.656	0.394	0.627
mindful	внимательный, помнящий	0.765	0.450	0.725
mindfulness	осознанность	0.729	0.635	0.745
mindless	бессмысленный	0.184	0.333	0.153
mine	мой	0.688	0.418	0.578
minefield	минное поле	0.188	0.839	0.684
miner	шахтер	0.408	0.594	0.644
mineral	минеральная	0.519	0.287	0.605
mineralogy	минералогия	0.551	0.408	0.545
mingle	смешиваться	0.561	0.480	0.434
mingled	смешанный	0.521	0.392	0.357
mini	мини	0.421	0.324	0.221
miniature	миниатюрный	0.429	0.292	0.204
minibus	микроавтобус	0.439	0.390	0.428
minim	NO TRANSLATION	0.518	0.208	0.138
minimal	минимальный	0.448	0.147	0.206
minimize	минимизировать	0.360	0.236	0.311
minimized	свести к минимуму	0.458	0.137	0.208
minimum	минимальный	0.380	0.198	0.194
mining	добыча	0.633	0.598	0.554
minion	миньон	0.490	0.430	0.167
minister	министр	0.547	0.441	0.892
ministerial	министерский	0.571	0.519	0.660
ministry	министерство	0.510	0.346	0.717
minivan	минивэн	0.592	0.356	0.452
mink	норка	0.560	0.515	0.430
minnow	пескарь	0.541	0.367	0.364
minor	незначительный	0.250	0.235	0.175
minority	меньшинство	0.310	0.332	0.211
minstrel	менестрель	0.458	0.541	0.397
mint	мята	0.688	0.221	0.345
minty	мятный	0.635	0.292	0.361
minuscule	минускул	0.396	0.286	0.214
minute	минут	0.582	0.279	0.356
minutiae	мелочи	0.323	0.257	0.316
minx	шалунья	0.448	0.519	0.404
mir	NO TRANSLATION	0.417	0.339	0.355
miracle	чудо	0.917	0.607	0.806
miracles	чудеса	0.922	0.735	0.692
miraculous	чудотворный	0.875	0.706	0.812
mirage	мираж	0.546	0.487	0.562
mire	NO TRANSLATION	0.344	0.376	0.298
mirror	зеркало	0.677	0.310	0.438
mirth	веселье	0.888	0.640	0.608
misappropriation	незаконное присвоение	0.097	0.831	0.500
misbehave	дурно вести себя	0.020	0.847	0.304
misbehavior	проступок	0.031	0.704	0.269
miscalculation	просчет	0.177	0.490	0.353
miscarriage	выкидыш	0.042	0.781	0.312
miscellaneous	Разное	0.531	0.321	0.196
miscellany	альманах	0.500	0.412	0.384
mischief	несчатье	0.385	0.834	0.292
mischievous	вредный	0.439	0.804	0.472
misconception	неправильное представление	0.210	0.557	0.291
misconduct	проступок	0.061	0.667	0.304
misdemeanor	проступок	0.210	0.640	0.364
misdirection	неправильное указание	0.131	0.710	0.281
miser	жмот	0.208	0.633	0.311
miserable	несчастный	0.062	0.461	0.188
miserably	несчастно	0.280	0.545	0.150
misery	нищета	0.146	0.378	0.158
misfire	осечка	0.153	0.453	0.200
misfit	неудачник	0.173	0.500	0.393
misfortune	несчастье	0.094	0.780	0.311
misguided	NO TRANSLATION	0.280	0.531	0.259
mishap	несчастье	0.071	0.654	0.227
misinformed	дезинформированный	0.156	0.567	0.250
misinterpretation	неправильное толкование	0.112	0.556	0.360
mislead	ввести в заблуждение	0.167	0.765	0.412
misleading	вводящий в заблуждение	0.070	0.660	0.272
misled	введенный в заблуждение	0.177	0.606	0.353
mismanagement	бесхозяйственность	0.094	0.520	0.295
mismatch	несоответствие	0.250	0.459	0.282
mismatched	несовместимый	0.250	0.557	0.302
misnomer	неправильное название	0.296	0.528	0.284
misplace	класть не на место	0.229	0.461	0.191
misplaced	неуместна	0.247	0.450	0.324
misread	неправильно истолковывать	0.115	0.558	0.315
misrepresent	искажать	0.198	0.542	0.418
misrepresentation	введение в заблуждение	0.323	0.618	0.518
misrepresented	искаженный	0.042	0.519	0.466
miss	Мисс	0.573	0.490	0.408
missile	ракета	0.240	0.830	0.764
missiles	ракеты	0.070	0.922	0.830
missing	отсутствует	0.306	0.418	0.222
missingyou	NO TRANSLATION	0.260	0.471	0.377
mission	миссия	0.765	0.633	0.870
missionary	миссионер	0.729	0.404	0.596
misspell	делать орфографические ошибки	0.292	0.423	0.281
misstatement	неправильное заявление	0.302	0.547	0.221
missy	мисси	0.521	0.480	0.333
mist	туман	0.375	0.194	0.221
mistake	ошибка	0.208	0.585	0.102
mistaken	ошибочный	0.131	0.630	0.212
mister	Господин	0.604	0.406	0.663
mistletoe	омела белая	0.542	0.470	0.324
mistreated	жестокое обращение	0.010	0.792	0.200
mistress	госпожа	0.630	0.796	0.694
mistrial	неправильное судебное разбирательство	0.427	0.539	0.536
mistrust	недоверие	0.135	0.657	0.231
misty	туманный	0.427	0.451	0.278
misunderstand	неправильно понять	0.177	0.548	0.382
misunderstanding	недоразумение	0.112	0.618	0.284
misunderstood	неправильно понятый	0.177	0.625	0.309
misuse	злоупотребление	0.083	0.560	0.196
mite	клещ	0.290	0.584	0.271
miter	митра	0.458	0.500	0.414
mitigate	смягчать	0.506	0.427	0.456
mitigating	смягчающим	0.551	0.520	0.600
mitigation	смягчение	0.448	0.527	0.423
mitt	митенка	0.406	0.183	0.264
mitten	NO TRANSLATION	0.531	0.330	0.408
mitzvah	мицва	0.422	0.610	0.409
mix	смешивание	0.542	0.490	0.472
mixed	смешанный	0.510	0.346	0.444
mixedemotions	смешанные чувства	0.440	0.673	0.430
mixer	Смеситель	0.562	0.500	0.556
mixture	смесь	0.546	0.360	0.481
mnemonic	мнемонический	0.531	0.480	0.452
moan	стон	0.357	0.735	0.352
moat	ров	0.398	0.380	0.314
mob	чернь	0.296	0.788	0.567
mobile	мобильный	0.615	0.569	0.481
mobility	мобильность	0.700	0.596	0.654
mobilization	мобилизация	0.688	0.720	0.787
mobilize	мобилизовать	0.604	0.684	0.727
mobster	гангстер	0.188	0.870	0.638
mocha	кофе мокко	0.500	0.396	0.311
mock	издеваться	0.360	0.606	0.618
mocked	издевался	0.225	0.746	0.204
mockery	издевательство	0.094	0.806	0.181
mocking	осмеяние	0.082	0.755	0.394
mockingbird	пересмешник	0.513	0.337	0.423
mod	модификация	0.458	0.367	0.384
modal	модальный	0.592	0.264	0.461
modality	модальность	0.633	0.404	0.527
mode	Режим	0.531	0.185	0.367
model	модель	0.607	0.388	0.723
modeler	лепщик	0.500	0.510	0.730
modeling	моделирование	0.684	0.404	0.490
modem	модем	0.573	0.355	0.500
moderate	умеренный	0.582	0.190	0.453
moderate anticipation	умеренное ожидание	0.667	0.451	0.574
moderate disgust	умеренное отвращение	0.229	0.558	0.381
moderate negative	умеренный негатив	0.177	0.500	0.306
moderate positive	умеренный положительный	0.896	0.453	0.753
moderate surprise	умеренная неожиданность	0.776	0.663	0.637
moderate trust	умеренное доверие	0.677	0.350	0.773
moderately	умеренно	0.604	0.264	0.500
moderating	Администрация	0.667	0.402	0.783
moderation	На модерации	0.531	0.240	0.453
moderator	Модератор	0.519	0.354	0.802
modern	современное	0.855	0.423	0.691
modernism	модернизм	0.760	0.553	0.703
modest	скромный	0.760	0.130	0.412
modesty	скромность	0.778	0.240	0.500
modicum	чуточка	0.234	0.417	0.327
modifiable	модифицируемый	0.541	0.422	0.373
modification	модификация	0.480	0.520	0.625
modified	модифицированный	0.561	0.458	0.693
modify	модифицировать	0.458	0.584	0.625
modulate	модулировать	0.673	0.343	0.555
modulation	модуляция	0.458	0.365	0.565
module	модуль	0.582	0.388	0.571
modulus	модуль	0.622	0.304	0.481
mogul	могул	0.510	0.652	0.865
moiety	часть	0.378	0.343	0.454
moist	влажный	0.470	0.316	0.386
moisture	влажность	0.406	0.398	0.327
moisturizer	увлажнитель	0.750	0.280	0.386
molar	молярный	0.544	0.426	0.350
molasses	меласса	0.490	0.269	0.286
mold	плесень	0.330	0.274	0.402
molded	формованные	0.667	0.361	0.373
molding	молдинг	0.552	0.308	0.546
moldy	заплесневелый	0.235	0.387	0.250
mole	моль	0.436	0.377	0.352
molecular	молекулярная	0.495	0.440	0.536
molecule	молекула	0.531	0.259	0.375
molest	приставать	0.133	0.816	0.319
molestation	назойливость	0.102	0.808	0.407
molester	хулиган	0.143	0.811	0.478
molten	расплавленный	0.417	0.490	0.339
mom	Мама	0.927	0.336	0.639
moment	момент	0.604	0.435	0.509
momentary	моментальный	0.562	0.271	0.330
momentous	важный	0.792	0.587	0.760
momentum	импульс	0.663	0.750	0.688
momma	мама	0.833	0.412	0.527
mommy	мамочка	0.854	0.353	0.422
monad	монада	0.510	0.482	0.451
monarch	монарх	0.583	0.559	0.870
monarchy	монархия	0.450	0.557	0.870
monastery	монастырь	0.694	0.183	0.726
monastic	монашеский	0.438	0.314	0.676
monetary	денежный	0.583	0.494	0.716
money	Деньги	0.844	0.608	0.827
mongoloid	монголоид	0.177	0.364	0.317
mongoose	мангуста	0.327	0.380	0.546
mongrel	дворняжка	0.425	0.438	0.395
monitor	монитор	0.490	0.298	0.538
monk	монах	0.472	0.208	0.439
monkey	обезьяна	0.548	0.449	0.283
mono	NO TRANSLATION	0.500	0.390	0.273
monochrome	монохромный	0.312	0.292	0.339
monogamous	моногамный	0.510	0.335	0.402
monogamy	моногамия	0.542	0.380	0.455
monogram	монограмма	0.480	0.210	0.425
monogrammed	с монограммой	0.503	0.270	0.402
monograph	монография	0.500	0.242	0.481
monolayer	монослой	0.427	0.294	0.433
monolith	монолит	0.429	0.327	0.500
monologue	монолог	0.500	0.284	0.534
monopolist	монополист	0.330	0.590	0.725
monopoly	монополия	0.449	0.509	0.640
monotonous	монотонный	0.354	0.221	0.400
monotony	однообразие	0.398	0.135	0.353
monoxide	монооксид	0.433	0.430	0.490
monsieur	месье	0.552	0.340	0.623
monsoon	муссон	0.358	0.600	0.481
monster	монстр	0.133	0.935	0.596
monstrosity	уродство	0.094	0.933	0.611
monstrous	чудовищный	0.094	0.942	0.649
montage	монтаж	0.438	0.520	0.388
monte	монте	0.589	0.330	0.391
month	месяц	0.688	0.255	0.411
monthly	ежемесячно	0.622	0.314	0.364
monument	памятник	0.833	0.404	0.811
monumental	монументальный	0.656	0.594	0.955
moo	мычание	0.438	0.355	0.300
mooch	слоняться	0.378	0.413	0.309
mood	настроение	0.720	0.500	0.500
moods	капризы	0.578	0.633	0.491
moody	капризный	0.245	0.811	0.595
moon	Луна	0.673	0.233	0.547
moonbeam	лунный луч	0.700	0.290	0.491
moonlight	лунный свет	0.865	0.264	0.409
moonlit	залитый лунный свет	0.873	0.269	0.508
moonshine	самогон	0.633	0.389	0.491
moonstruck	помешанный	0.583	0.438	0.407
moonwalk	Лунная походка	0.615	0.586	0.525
moor	причалить	0.311	0.464	0.378
moored	пришвартованный	0.344	0.500	0.417
mooring	швартовка	0.323	0.490	0.444
moorings	швартовы	0.406	0.500	0.516
moorland	верещатник	0.490	0.370	0.456
moose	лось	0.648	0.373	0.318
moot	спорный вопрос	0.344	0.500	0.615
mooted	обсуждалась	0.388	0.580	0.463
mop	швабра	0.396	0.442	0.296
mope	киснуть	0.406	0.309	0.345
moped	мопед	0.582	0.582	0.554
moral	моральный	0.700	0.459	0.796
morale	боевой дух	0.729	0.158	0.792
morality	мораль	0.750	0.408	0.759
morals	нравы	0.646	0.430	0.611
morass	трясина	0.387	0.348	0.375
moratorium	мораторий	0.337	0.427	0.373
moray	мурена	0.510	0.402	0.463
morbid	патологический	0.090	0.833	0.395
morbidity	заболеваемость	0.370	0.630	0.443
morbidness	болезненность	0.120	0.694	0.339
mores	нравы	0.582	0.317	0.684
morgue	морг	0.022	0.539	0.241
moribund	умирающий	0.083	0.488	0.167
morn	утро	0.542	0.284	0.345
morning	утро	0.688	0.235	0.444
moron	придурок	0.133	0.587	0.183
moronic	идиотский	0.122	0.500	0.224
morose	угрюмый	0.240	0.663	0.264
morph	превращаться	0.448	0.469	0.451
morphine	морфий	0.229	0.490	0.496
morphism	морфизм	0.398	0.549	0.386
morphology	морфология	0.516	0.373	0.639
morrow	завтра	0.708	0.314	0.490
morsel	кусочек	0.490	0.296	0.400
mortal	смертный	0.196	0.786	0.510
mortality	смертность	0.229	0.726	0.518
mortar	строительный раствор	0.333	0.627	0.562
mortgage	ипотека	0.255	0.408	0.537
mortgagee	залогодержатель	0.418	0.633	0.723
mortgagor	залогодатель	0.431	0.522	0.490
mortician	гробовщик	0.104	0.429	0.275
mortification	омертвение	0.135	0.644	0.404
mortified	омертвелый	0.073	0.731	0.270
mortuary	морг	0.133	0.606	0.427
mosaic	мозаика	0.635	0.250	0.302
mosey	сматываться	0.521	0.402	0.330
mosque	мечеть	0.542	0.352	0.528
mosquito	комар	0.229	0.400	0.198
moss	мох	0.235	0.270	0.245
mossy	мшистый	0.375	0.329	0.286
mote	NO TRANSLATION	0.375	0.388	0.260
motel	мотель	0.531	0.372	0.450
moth	мотылек	0.323	0.350	0.196
mother	мама	0.931	0.408	0.725
motherfucker	ублюдок	0.122	0.827	0.351
motherfucking	ублюдок	0.071	0.823	0.373
motherhood	материнство	0.844	0.546	0.667
motherland	Родина	0.677	0.375	0.731
motherless	лишенный матери	0.163	0.541	0.337
motherly	по-матерински	0.927	0.324	0.710
motif	лейтмотив	0.688	0.481	0.527
motion	движение	0.667	0.538	0.657
motionless	неподвижный	0.323	0.210	0.246
motivate	мотивировать	0.812	0.776	0.873
motivating	мотивирующим	0.958	0.820	0.787
motivation	мотивация	0.854	0.784	0.802
motivational	мотивационным	0.906	0.646	0.858
motive	мотив	0.667	0.588	0.663
motley	пестрый	0.480	0.398	0.412
motor	двигатель	0.531	0.551	0.648
motorbike	мотоцикл	0.552	0.608	0.616
motorboat	моторный катер	0.677	0.500	0.390
motorcade	автоколонна	0.708	0.730	0.593
motorcar	автомобилестроение	0.694	0.565	0.682
motorcycle	мотоцикл	0.677	0.764	0.713
motorist	автомобилист	0.562	0.663	0.578
motte	Мот	0.481	0.389	0.370
mottled	пестрый	0.380	0.336	0.295
motto	девиз	0.688	0.317	0.439
mould	плесень	0.357	0.176	0.246
mound	насыпь	0.520	0.481	0.509
mount	крепление	0.500	0.292	0.348
mountain	гора	0.698	0.408	0.649
mountaineer	альпинист	0.635	0.774	0.535
mountainous	гористый	0.635	0.519	0.612
mountains	горы	0.766	0.433	0.569
mountaintop	вершина горы	0.653	0.541	0.713
mourn	оплакивать	0.056	0.583	0.150
mournful	скорбный	0.180	0.441	0.188
mourning	траур	0.177	0.490	0.266
mouse	мышь	0.427	0.441	0.206
mousetrap	мышеловка	0.180	0.643	0.330
mousse	мусс	0.604	0.336	0.368
moustache	усы	0.470	0.236	0.409
mousy	мышонок	0.480	0.413	0.339
mouth	рот	0.734	0.294	0.336
mouthful	полный рот	0.609	0.565	0.389
mouthpiece	мундштук	0.573	0.346	0.393
mouthwash	полоскание для рта	0.438	0.385	0.352
movable	движимое	0.469	0.509	0.500
move	переехать	0.656	0.647	0.670
movement	движение	0.656	0.654	0.658
mover	движущая сила	0.615	0.539	0.466
movie	кино	0.792	0.560	0.471
movies	кино	0.724	0.426	0.472
moving	перемещение	0.479	0.673	0.358
movingforward	NO TRANSLATION	0.857	0.518	0.848
movingon	movingon	0.490	0.529	0.435
mow	косить	0.420	0.559	0.393
mower	косилка	0.458	0.510	0.368
moxie	бодрость	0.531	0.490	0.366
mozzarella	моцарелла	0.653	0.265	0.340
mri	лунный промежуток средней полной воды	0.365	0.431	0.349
muchneeded	NO TRANSLATION	0.438	0.602	0.455
mucis	NO TRANSLATION	0.398	0.418	0.420
muck	дрянь	0.347	0.423	0.272
mucked	сброшенные	0.184	0.500	0.373
mucous	слизистый	0.330	0.296	0.293
mucus	слизь	0.143	0.309	0.228
mud	грязи	0.333	0.260	0.185
muddle	темнить	0.184	0.710	0.336
muddled	запутаны	0.250	0.615	0.263
muddy	мутный	0.292	0.400	0.283
muff	неумелый	0.542	0.335	0.314
muffin	оладья	0.684	0.430	0.306
muffled	заглушенный	0.479	0.330	0.421
muffler	глушитель	0.357	0.407	0.454
mug	кружка	0.542	0.214	0.382
mugger	грабитель	0.125	0.850	0.500
mulberry	шелковица	0.469	0.315	0.361
mulch	мульча	0.349	0.361	0.383
mule	мул	0.320	0.337	0.254
mull	обдумывать	0.663	0.340	0.594
mullet	кефаль	0.521	0.356	0.377
multilateral	многостороннее	0.500	0.469	0.705
multimedia	мультимедиа	0.611	0.390	0.607
multinational	многонациональный	0.656	0.510	0.842
multiple	множественный	0.660	0.510	0.578
multiple sclerosis	рассеянный склероз	0.188	0.587	0.483
multiplex	мультиплекс	0.610	0.590	0.667
multiplication	умножение	0.646	0.565	0.762
multiplicity	множественность	0.677	0.490	0.777
multiplied	умноженная	0.802	0.559	0.729
multiplier	множитель	0.643	0.615	0.741
multiply	умножать	0.802	0.625	0.777
multitude	множество	0.562	0.765	0.847
mum	мама	0.802	0.317	0.698
mumble	бормотать	0.292	0.444	0.245
mumbo	Мамбо	0.429	0.506	0.336
mummy	Мама	0.400	0.588	0.415
mumps	свинка	0.099	0.410	0.311
munch	жевать	0.541	0.277	0.434
munchies	Munchies	0.562	0.470	0.491
munchkin	манчкин	0.490	0.466	0.374
mundane	мирской	0.312	0.420	0.480
municipal	муниципальный	0.625	0.390	0.758
municipality	муниципалитет	0.569	0.280	0.614
mural	фреска	0.551	0.265	0.454
murder	убийство	0.061	0.942	0.615
murderer	убийца	0.010	0.960	0.650
murderess	убийца	0.041	0.941	0.462
murderous	убийственный	0.017	0.940	0.682
murky	темный	0.143	0.618	0.370
murmur	ропот	0.458	0.520	0.200
muscle	мускул	0.359	0.490	0.645
muscular	мускулистый	0.531	0.434	0.577
muse	муза	0.760	0.360	0.509
muses	музы	0.714	0.434	0.571
museum	музей	0.792	0.206	0.481
mush	NO TRANSLATION	0.500	0.311	0.125
mushroom	гриб	0.490	0.274	0.269
mushy	слащавый	0.520	0.200	0.182
music	Музыка	0.833	0.563	0.605
musical	музыкальный	0.908	0.630	0.530
musician	музыкант	0.816	0.509	0.618
musing	размышляющий	0.740	0.151	0.465
musk	мускус	0.469	0.454	0.453
musket	мушкет	0.260	0.654	0.510
musketeer	мушкетер	0.694	0.569	0.705
muskrat	ондатра	0.439	0.510	0.368
muslin	муслин	0.439	0.304	0.352
muss	NO TRANSLATION	0.418	0.438	0.302
must	должен	0.408	0.382	0.441
mustang	мустанг	0.635	0.642	0.708
mustard	горчичный	0.500	0.346	0.275
muster	собирать	0.635	0.460	0.548
musty	затхлый	0.354	0.367	0.267
mutable	изменчивый	0.426	0.531	0.491
mutant	мутант	0.337	0.676	0.573
mutate	мутировать	0.281	0.548	0.463
mutation	мутация	0.365	0.625	0.611
mute	немой	0.271	0.200	0.250
muted	приглушенный	0.260	0.167	0.162
mutilate	изувечить	0.125	0.900	0.465
mutilated	изуродованный	0.041	0.841	0.356
mutilation	увечье	0.122	0.782	0.456
mutiny	бунт	0.323	0.890	0.549
mutt	остолоп	0.418	0.408	0.387
mutter	NO TRANSLATION	0.406	0.427	0.228
mutton	баранина	0.427	0.283	0.393
mutual	взаимное	0.729	0.321	0.464
mutually	взаимно	0.844	0.490	0.582
muzzle	морда	0.388	0.430	0.232
myfavorite	мой любимый	0.812	0.587	0.615
myopia	близорукость	0.245	0.387	0.226
myopic	близорукий	0.344	0.396	0.218
myriad	мириады	0.480	0.429	0.550
mysterious	загадочный	0.448	0.699	0.455
mystery	тайна	0.417	0.667	0.519
mystic	мистика	0.643	0.520	0.535
mystical	мистический	0.594	0.443	0.689
mysticism	мистика	0.594	0.598	0.423
mystified	озадаченный	0.344	0.600	0.509
mystique	таинственность	0.668	0.633	0.667
myth	миф	0.458	0.432	0.338
mythic	мифический	0.635	0.528	0.645
mythical	мифический	0.625	0.556	0.583
mythological	мифологический	0.760	0.573	0.658
mythology	мифология	0.684	0.439	0.688
nab	стащить	0.469	0.544	0.407
nacho	Начо	0.667	0.259	0.333
nada	NO TRANSLATION	0.250	0.231	0.136
nadir	надир	0.479	0.363	0.424
nag	NO TRANSLATION	0.271	0.451	0.472
nail	гвоздь	0.469	0.397	0.282
nail gun	гвоздострел	0.378	0.806	0.574
naive	наивный	0.406	0.260	0.375
naked	обнаженный	0.323	0.885	0.288
nakedness	нагота	0.480	0.760	0.350
namaste	NO TRANSLATION	0.719	0.255	0.464
name	имя	0.573	0.300	0.415
named	названный	0.562	0.396	0.565
nameless	безымянный	0.344	0.280	0.164
namesake	тезка	0.418	0.327	0.404
naming	именование	0.667	0.410	0.559
nana	Нана	0.765	0.255	0.375
nanny	няня	0.615	0.370	0.528
nanometer	нанометр	0.375	0.356	0.446
nap	вздремнуть	0.660	0.098	0.342
napalm	напалм	0.265	0.580	0.471
nape	загривок	0.427	0.268	0.298
napkin	салфетка	0.469	0.142	0.209
napping	ворсование	0.765	0.046	0.306
nappy	подгузник	0.529	0.333	0.207
narcissism	самовлюбленность	0.214	0.639	0.540
narcissist	самовлюбленный человек	0.173	0.614	0.629
narcissistic	самовлюбленный	0.323	0.708	0.655
narcotic	наркотический	0.102	0.858	0.450
narrate	повествовать	0.541	0.480	0.473
narration	пересказ	0.622	0.408	0.551
narrative	повествовательный	0.580	0.303	0.443
narrator	рассказчик	0.673	0.430	0.623
narrow	узкий	0.260	0.368	0.356
narrowing	уменьшение	0.354	0.593	0.357
nasal	назальный	0.479	0.340	0.330
nascent	рождающийся	0.684	0.373	0.585
nasty	противный	0.115	0.620	0.264
natal	натальный	0.755	0.462	0.481
nation	нация	0.594	0.443	0.821
national	национальный	0.698	0.365	0.663
nationality	Национальность	0.642	0.400	0.772
nationwide	общенациональный	0.684	0.217	0.672
native	родной	0.635	0.422	0.710
nativity	Рождество	0.750	0.337	0.673
natural	натуральный	0.854	0.118	0.481
natural gas	натуральный газ	0.635	0.324	0.396
naturalist	натуралист	0.844	0.255	0.562
naturalization	натурализация	0.781	0.279	0.652
naturalized	натурализованный	0.760	0.333	0.600
naturally	естественно	0.854	0.276	0.549
nature	природа	0.857	0.184	0.643
naught	ноль	0.344	0.176	0.161
naughty	непослушный	0.451	0.857	0.371
nausea	тошнота	0.104	0.781	0.273
nauseate	вызывать отвращение	0.062	0.660	0.176
nauseating	тошнотворный	0.021	0.640	0.250
nauseous	тошнотворный	0.135	0.780	0.284
nautical	навигационный	0.646	0.250	0.579
nautilus	кораблик	0.396	0.509	0.517
naval	флотский	0.542	0.449	0.679
nave	неф	0.583	0.448	0.585
navel	пупок	0.448	0.261	0.276
navigable	судоходный	0.749	0.406	0.645
navigate	проводить	0.740	0.555	0.675
navigation	навигация	0.841	0.470	0.720
navigational	навигационный	0.573	0.481	0.564
navigator	навигатор	0.583	0.592	0.623
navy	флот	0.531	0.760	0.764
nay	NO TRANSLATION	0.344	0.290	0.325
nearsighted	близорукий	0.271	0.373	0.265
neat	аккуратный	0.878	0.235	0.491
neatly	аккуратно	0.802	0.412	0.588
nebula	туманность	0.510	0.418	0.438
nebulae	туманностей	0.490	0.330	0.472
nebulous	расплывчатый	0.469	0.347	0.417
necessarily	обязательно	0.667	0.423	0.598
necessary	необходимо	0.750	0.433	0.679
necessitate	необходимость	0.578	0.604	0.516
necessities	первой необходимости	0.520	0.630	0.463
necessity	необходимость	0.567	0.471	0.588
neck	шея	0.541	0.245	0.345
necklace	ожерелье	0.760	0.294	0.373
necktie	галстук	0.583	0.229	0.314
necromancer	некромант	0.333	0.625	0.536
necrosis	некроз	0.115	0.622	0.385
nectar	нектар	0.746	0.331	0.398
need	необходимость	0.510	0.574	0.200
needalife	NO TRANSLATION	0.490	0.443	0.394
needed	необходимый	0.677	0.342	0.679
needful	необходимое	0.582	0.460	0.614
needit	NO TRANSLATION	0.250	0.472	0.356
needle	игла	0.250	0.472	0.360
