Word	Gujarati-gu	Valence	Arousal	Dominance
millstone	મિલસ્ટોન	0.510	0.433	0.492
mime	મોમે	0.455	0.235	0.302
mimic	નકલ કરો	0.557	0.587	0.391
mimicking	નકલ કરી રહ્યું છે	0.316	0.433	0.364
mimicry	મિમિક્રી	0.420	0.337	0.472
mince	છૂંદો કરવો	0.417	0.529	0.378
mincemeat	મિન્સમેટ	0.396	0.435	0.358
mind	મન	0.650	0.388	0.627
minded	દિમાગનો	0.656	0.394	0.627
mindful	માઇન્ડફુલ	0.765	0.450	0.725
mindfulness	માઇન્ડફુલનેસ	0.729	0.635	0.745
mindless	નિરંકુશ	0.184	0.333	0.153
mine	ખાણ	0.688	0.418	0.578
minefield	ખાણ ક્ષેત્ર	0.188	0.839	0.684
miner	ખાણિયો	0.408	0.594	0.644
mineral	ખનિજ	0.519	0.287	0.605
mineralogy	ખનિજ શાસ્ત્ર	0.551	0.408	0.545
mingle	ભેળવવું	0.561	0.480	0.434
mingled	ભળી ગયા	0.521	0.392	0.357
mini	મીની	0.421	0.324	0.221
miniature	લઘુચિત્ર	0.429	0.292	0.204
minibus	નાની બસ	0.439	0.390	0.428
minim	NO TRANSLATION	0.518	0.208	0.138
minimal	ન્યૂનતમ	0.448	0.147	0.206
minimize	ઘટાડવા	0.360	0.236	0.311
minimized	નાનું	0.458	0.137	0.208
minimum	લઘુત્તમ	0.380	0.198	0.194
mining	ખાણકામ	0.633	0.598	0.554
minion	મિનિઅન	0.490	0.430	0.167
minister	મંત્રી	0.547	0.441	0.892
ministerial	મંત્રી	0.571	0.519	0.660
ministry	મંત્રાલય	0.510	0.346	0.717
minivan	મિનિવાન	0.592	0.356	0.452
mink	મિંક	0.560	0.515	0.430
minnow	લઘુત્તમ	0.541	0.367	0.364
minor	નાના	0.250	0.235	0.175
minority	લઘુમતી	0.310	0.332	0.211
minstrel	મિન્સ્ટ્રલ	0.458	0.541	0.397
mint	ટંકશાળ	0.688	0.221	0.345
minty	મિંટી	0.635	0.292	0.361
minuscule	ઓછું	0.396	0.286	0.214
minute	મિનિટ	0.582	0.279	0.356
minutiae	લઘુતા	0.323	0.257	0.316
minx	minx	0.448	0.519	0.404
mir	NO TRANSLATION	0.417	0.339	0.355
miracle	ચમત્કાર	0.917	0.607	0.806
miracles	ચમત્કારો	0.922	0.735	0.692
miraculous	ચમત્કારિક	0.875	0.706	0.812
mirage	મૃગજળ	0.546	0.487	0.562
mire	NO TRANSLATION	0.344	0.376	0.298
mirror	મિરર	0.677	0.310	0.438
mirth	આનંદ	0.888	0.640	0.608
misappropriation	ગેરરીતિ	0.097	0.831	0.500
misbehave	દુર્વ્યવહાર કરવો	0.020	0.847	0.304
misbehavior	દુરુપયોગ	0.031	0.704	0.269
miscalculation	ખોટી ગણતરી	0.177	0.490	0.353
miscarriage	કસુવાવડ	0.042	0.781	0.312
miscellaneous	પરચુરણ	0.531	0.321	0.196
miscellany	મિશ્રણ	0.500	0.412	0.384
mischief	તોફાન	0.385	0.834	0.292
mischievous	તોફાની	0.439	0.804	0.472
misconception	ગેરસમજ	0.210	0.557	0.291
misconduct	ગેરવર્તણૂક	0.061	0.667	0.304
misdemeanor	દુરાચરણ	0.210	0.640	0.364
misdirection	ખોટી દિશા	0.131	0.710	0.281
miser	કંગાળ	0.208	0.633	0.311
miserable	કંગાળ	0.062	0.461	0.188
miserably	કમનસીબે	0.280	0.545	0.150
misery	દુઃખ	0.146	0.378	0.158
misfire	અણધારી	0.153	0.453	0.200
misfit	અયોગ્ય	0.173	0.500	0.393
misfortune	કમનસીબી	0.094	0.780	0.311
misguided	NO TRANSLATION	0.280	0.531	0.259
mishap	દુર્ઘટના	0.071	0.654	0.227
misinformed	ખોટો અર્થપૂર્ણ	0.156	0.567	0.250
misinterpretation	ખોટો અર્થઘટન	0.112	0.556	0.360
mislead	ગેરમાર્ગે	0.167	0.765	0.412
misleading	ભ્રામક	0.070	0.660	0.272
misled	ગેરમાર્ગે દોર્યા	0.177	0.606	0.353
mismanagement	ગેરવહીવટ	0.094	0.520	0.295
mismatch	ખોટી જોડણી	0.250	0.459	0.282
mismatched	મેળ ખાતી નથી	0.250	0.557	0.302
misnomer	ખોટું નામ	0.296	0.528	0.284
misplace	ગેરહાજર	0.229	0.461	0.191
misplaced	ખોટા	0.247	0.450	0.324
misread	ખોટું બોલવું	0.115	0.558	0.315
misrepresent	ખોટી રજૂઆત કરો	0.198	0.542	0.418
misrepresentation	ગેરરજૂઆત	0.323	0.618	0.518
misrepresented	ખોટી રજૂઆત	0.042	0.519	0.466
miss	ચૂકી	0.573	0.490	0.408
missile	મિસાઈલ	0.240	0.830	0.764
missiles	મિસાઇલ	0.070	0.922	0.830
missing	ગુમ	0.306	0.418	0.222
missingyou	NO TRANSLATION	0.260	0.471	0.377
mission	મિશન	0.765	0.633	0.870
missionary	મિશનરી	0.729	0.404	0.596
misspell	ખોટી વાતો	0.292	0.423	0.281
misstatement	ગેરસમજ	0.302	0.547	0.221
missy	missy	0.521	0.480	0.333
mist	ઝાકળ	0.375	0.194	0.221
mistake	ભૂલ	0.208	0.585	0.102
mistaken	ભૂલથી	0.131	0.630	0.212
mister	મિસ્ટર	0.604	0.406	0.663
mistletoe	મિસ્ટલેટો	0.542	0.470	0.324
mistreated	માયાળુ	0.010	0.792	0.200
mistress	રખાત	0.630	0.796	0.694
mistrial	ભૂલભરેલી	0.427	0.539	0.536
mistrust	અવિશ્વાસ	0.135	0.657	0.231
misty	ઝાકળવાળું	0.427	0.451	0.278
misunderstand	ગેરસમજ	0.177	0.548	0.382
misunderstanding	ગેરસમજ	0.112	0.618	0.284
misunderstood	ગેરસમજ	0.177	0.625	0.309
misuse	દુરુપયોગ	0.083	0.560	0.196
mite	નાનું છોકરું	0.290	0.584	0.271
miter	મીટર	0.458	0.500	0.414
mitigate	ઘટાડે છે	0.506	0.427	0.456
mitigating	ઘટાડીને	0.551	0.520	0.600
mitigation	શમન	0.448	0.527	0.423
mitt	મીટ	0.406	0.183	0.264
mitten	NO TRANSLATION	0.531	0.330	0.408
mitzvah	મિશેવા	0.422	0.610	0.409
mix	ભળવું	0.542	0.490	0.472
mixed	મિશ્ર	0.510	0.346	0.444
mixedemotions	મિશ્ર ભાવનાઓં	0.440	0.673	0.430
mixer	મિક્સર	0.562	0.500	0.556
mixture	મિશ્રણ	0.546	0.360	0.481
mnemonic	નેમોનિક	0.531	0.480	0.452
moan	આહ ભરવી	0.357	0.735	0.352
moat	મોટ	0.398	0.380	0.314
mob	ટોળું	0.296	0.788	0.567
mobile	મોબાઇલ	0.615	0.569	0.481
mobility	ગતિશીલતા	0.700	0.596	0.654
mobilization	ગતિશીલતા	0.688	0.720	0.787
mobilize	ગતિશીલ બનાવો	0.604	0.684	0.727
mobster	mobster	0.188	0.870	0.638
mocha	મોચા	0.500	0.396	0.311
mock	મોક	0.360	0.606	0.618
mocked	ઠેકડી ઉડાડી	0.225	0.746	0.204
mockery	ઠેકડી	0.094	0.806	0.181
mocking	ઉપહાસ	0.082	0.755	0.394
mockingbird	મૉકિંગબર્ડ	0.513	0.337	0.423
mod	mod	0.458	0.367	0.384
modal	મોડલ	0.592	0.264	0.461
modality	નૈતિકતા	0.633	0.404	0.527
mode	મોડ	0.531	0.185	0.367
model	મોડેલ	0.607	0.388	0.723
modeler	મોડલર	0.500	0.510	0.730
modeling	મોડેલિંગ	0.684	0.404	0.490
modem	મોડેમ	0.573	0.355	0.500
moderate	માધ્યમ	0.582	0.190	0.453
moderate anticipation	મધ્યમ અપેક્ષા	0.667	0.451	0.574
moderate disgust	મધ્યમ સૂગ	0.229	0.558	0.381
moderate negative	મધ્યમ નકારાત્મક	0.177	0.500	0.306
moderate positive	હકારાત્મક મધ્યમ	0.896	0.453	0.753
moderate surprise	મધ્યમ આશ્ચર્ય	0.776	0.663	0.637
moderate trust	મધ્યમ વિશ્વાસ	0.677	0.350	0.773
moderately	સાધારણ	0.604	0.264	0.500
moderating	મધ્યસ્થી	0.667	0.402	0.783
moderation	મધ્યસ્થતા	0.531	0.240	0.453
moderator	મધ્યસ્થી	0.519	0.354	0.802
modern	આધુનિક	0.855	0.423	0.691
modernism	આધુનિકતાવાદ	0.760	0.553	0.703
modest	વિનમ્ર	0.760	0.130	0.412
modesty	નમ્રતા	0.778	0.240	0.500
modicum	મધ્યમ	0.234	0.417	0.327
modifiable	સુધારેલું	0.541	0.422	0.373
modification	ફેરફાર	0.480	0.520	0.625
modified	સુધારેલું	0.561	0.458	0.693
modify	સુધારો	0.458	0.584	0.625
modulate	નિયમન	0.673	0.343	0.555
modulation	મોડ્યુલેશન	0.458	0.365	0.565
module	મોડ્યુલ	0.582	0.388	0.571
modulus	મોડ્યુલસ	0.622	0.304	0.481
mogul	મોગલ	0.510	0.652	0.865
moiety	આંશિકતા	0.378	0.343	0.454
moist	ભેજવાળી	0.470	0.316	0.386
moisture	ભેજ	0.406	0.398	0.327
moisturizer	નર આર્દ્રતા	0.750	0.280	0.386
molar	દાઢ	0.544	0.426	0.350
molasses	કાકવી	0.490	0.269	0.286
mold	ઘાટ	0.330	0.274	0.402
molded	મોલ્ડેડ	0.667	0.361	0.373
molding	ઢળાઈ	0.552	0.308	0.546
moldy	ઢાળવાળી	0.235	0.387	0.250
mole	છછુંદર	0.436	0.377	0.352
molecular	મોલેક્યુલર	0.495	0.440	0.536
molecule	પરમાણુ	0.531	0.259	0.375
molest	ઉપદ્રવ	0.133	0.816	0.319
molestation	છેડતી	0.102	0.808	0.407
molester	મોલેસ્ટર	0.143	0.811	0.478
molten	પીગળેલા	0.417	0.490	0.339
mom	મમ્મી	0.927	0.336	0.639
moment	ક્ષણ	0.604	0.435	0.509
momentary	ક્ષણિક	0.562	0.271	0.330
momentous	યાદગાર	0.792	0.587	0.760
momentum	વેગ	0.663	0.750	0.688
momma	મોમા	0.833	0.412	0.527
mommy	મોમી	0.854	0.353	0.422
monad	મોનાદ	0.510	0.482	0.451
monarch	રાજા	0.583	0.559	0.870
monarchy	રાજાશાહી	0.450	0.557	0.870
monastery	મઠ	0.694	0.183	0.726
monastic	મઠના	0.438	0.314	0.676
monetary	નાણાંકીય	0.583	0.494	0.716
money	મની	0.844	0.608	0.827
mongoloid	મૉંગોલૉઇડ	0.177	0.364	0.317
mongoose	મંગૂસ	0.327	0.380	0.546
mongrel	મોંગલ	0.425	0.438	0.395
monitor	મોનીટર	0.490	0.298	0.538
monk	સાધુ	0.472	0.208	0.439
monkey	વાનર	0.548	0.449	0.283
mono	NO TRANSLATION	0.500	0.390	0.273
monochrome	મોનોક્રોમ	0.312	0.292	0.339
monogamous	મોનોગમમસ	0.510	0.335	0.402
monogamy	એક લગ્ન સમારંભ	0.542	0.380	0.455
monogram	મોનોગ્રામ	0.480	0.210	0.425
monogrammed	મોનોગ્રામ્ડ	0.503	0.270	0.402
monograph	મોનોગ્રાફ	0.500	0.242	0.481
monolayer	મોનોલેયર	0.427	0.294	0.433
monolith	મોનોલિથ	0.429	0.327	0.500
monologue	એકપાત્રી નાટક	0.500	0.284	0.534
monopolist	એકાધિકાર	0.330	0.590	0.725
monopoly	એકાધિકાર	0.449	0.509	0.640
monotonous	એકવિધ	0.354	0.221	0.400
monotony	એકવિધતા	0.398	0.135	0.353
monoxide	મોનોક્સાઇડ	0.433	0.430	0.490
monsieur	મહાસાગર	0.552	0.340	0.623
monsoon	ચોમાસું	0.358	0.600	0.481
monster	રાક્ષસ	0.133	0.935	0.596
monstrosity	નિષ્ઠુરતા	0.094	0.933	0.611
monstrous	કદાવર	0.094	0.942	0.649
montage	મોન્ટાજ	0.438	0.520	0.388
monte	મૉન્ટ	0.589	0.330	0.391
month	માસ	0.688	0.255	0.411
monthly	માસિક	0.622	0.314	0.364
monument	સ્મારક	0.833	0.404	0.811
monumental	સ્મારક	0.656	0.594	0.955
moo	મો	0.438	0.355	0.300
mooch	મૌચ	0.378	0.413	0.309
mood	મૂડ	0.720	0.500	0.500
moods	મૂડ	0.578	0.633	0.491
moody	મૂડી	0.245	0.811	0.595
moon	ચંદ્ર	0.673	0.233	0.547
moonbeam	મૂનબીમ	0.700	0.290	0.491
moonlight	મૂનલાઇટ	0.865	0.264	0.409
moonlit	મૂનલાઇટ	0.873	0.269	0.508
moonshine	moonshine	0.633	0.389	0.491
moonstruck	moonstruck	0.583	0.438	0.407
moonwalk	moonwalk	0.615	0.586	0.525
moor	મૂર	0.311	0.464	0.378
moored	moored	0.344	0.500	0.417
mooring	લંગર	0.323	0.490	0.444
moorings	લંગર	0.406	0.500	0.516
moorland	મૂરલેન્ડ	0.490	0.370	0.456
moose	ઉંદરો	0.648	0.373	0.318
moot	વિવાદાસ્પદ	0.344	0.500	0.615
mooted	વિવાદાસ્પદ	0.388	0.580	0.463
mop	કૂચડો	0.396	0.442	0.296
mope	મોપે	0.406	0.309	0.345
moped	મોપેડ	0.582	0.582	0.554
moral	નૈતિક	0.700	0.459	0.796
morale	જુસ્સો	0.729	0.158	0.792
morality	નૈતિકતા	0.750	0.408	0.759
morals	નૈતિકતા	0.646	0.430	0.611
morass	નારંગી	0.387	0.348	0.375
moratorium	મોકૂફી	0.337	0.427	0.373
moray	મોરે	0.510	0.402	0.463
morbid	રોગિષ્ઠ	0.090	0.833	0.395
morbidity	રોગિષ્ઠતા	0.370	0.630	0.443
morbidness	રોગિષ્ઠતા	0.120	0.694	0.339
mores	મોર	0.582	0.317	0.684
morgue	મોર્ગ્યુ	0.022	0.539	0.241
moribund	મૃત્યુ પામવું	0.083	0.488	0.167
morn	સવારે	0.542	0.284	0.345
morning	સવારે	0.688	0.235	0.444
moron	મોરોન	0.133	0.587	0.183
moronic	મોરોનિક	0.122	0.500	0.224
morose	ઉત્સાહી	0.240	0.663	0.264
morph	મોર્ફ	0.448	0.469	0.451
morphine	મોર્ફિન	0.229	0.490	0.496
morphism	મોર્ફિઝમ	0.398	0.549	0.386
morphology	મોર્ફોલોજી	0.516	0.373	0.639
morrow	કાલે	0.708	0.314	0.490
morsel	કાદવ	0.490	0.296	0.400
mortal	ભયંકર	0.196	0.786	0.510
mortality	મૃત્યુદર	0.229	0.726	0.518
mortar	મોર્ટર	0.333	0.627	0.562
mortgage	ગીરો	0.255	0.408	0.537
mortgagee	ગીરો	0.418	0.633	0.723
mortgagor	ગીરો	0.431	0.522	0.490
mortician	મોર્ટિશિયન	0.104	0.429	0.275
mortification	ઉલ્લંઘન	0.135	0.644	0.404
mortified	મોહિત	0.073	0.731	0.270
mortuary	શબઘર	0.133	0.606	0.427
mosaic	મોઝેક	0.635	0.250	0.302
mosey	મોઝી	0.521	0.402	0.330
mosque	મસ્જિદ	0.542	0.352	0.528
mosquito	મચ્છર	0.229	0.400	0.198
moss	શેવાળ	0.235	0.270	0.245
mossy	મોસી	0.375	0.329	0.286
mote	NO TRANSLATION	0.375	0.388	0.260
motel	મોટેલ	0.531	0.372	0.450
moth	મોથ	0.323	0.350	0.196
mother	માતા	0.931	0.408	0.725
motherfucker	માફકકર	0.122	0.827	0.351
motherfucking	માફફૂંગ	0.071	0.823	0.373
motherhood	માતાની	0.844	0.546	0.667
motherland	માતૃભૂમિ	0.677	0.375	0.731
motherless	માતૃત્વ	0.163	0.541	0.337
motherly	માયાળુ	0.927	0.324	0.710
motif	થીમ	0.688	0.481	0.527
motion	ગતિ	0.667	0.538	0.657
motionless	સ્થિર	0.323	0.210	0.246
motivate	પ્રોત્સાહન આપો	0.812	0.776	0.873
motivating	પ્રોત્સાહન	0.958	0.820	0.787
motivation	પ્રેરણા	0.854	0.784	0.802
motivational	પ્રેરક	0.906	0.646	0.858
motive	હેતુ	0.667	0.588	0.663
motley	પંચરંગી	0.480	0.398	0.412
motor	મોટર	0.531	0.551	0.648
motorbike	મોટરબાઈક	0.552	0.608	0.616
motorboat	મોટરબોટ	0.677	0.500	0.390
motorcade	મોટરકાર્ડ	0.708	0.730	0.593
motorcar	મોટર ગાડી	0.694	0.565	0.682
motorcycle	મોટરસાઇકલ	0.677	0.764	0.713
motorist	મોટરચાલક	0.562	0.663	0.578
motte	મોટ	0.481	0.389	0.370
mottled	ચંચળ	0.380	0.336	0.295
motto	સૂત્ર	0.688	0.317	0.439
mould	ઘાટ	0.357	0.176	0.246
mound	મણ	0.520	0.481	0.509
mount	માઉન્ટ કરો	0.500	0.292	0.348
mountain	પર્વત	0.698	0.408	0.649
mountaineer	પર્વતારોહી	0.635	0.774	0.535
mountainous	પર્વતીય	0.635	0.519	0.612
mountains	પર્વતો	0.766	0.433	0.569
mountaintop	પર્વતની ટોચ	0.653	0.541	0.713
mourn	શોક કરવો	0.056	0.583	0.150
mournful	શોકાતુર	0.180	0.441	0.188
mourning	શોક	0.177	0.490	0.266
mouse	માઉસ	0.427	0.441	0.206
mousetrap	મોસેટ્રેપ	0.180	0.643	0.330
mousse	મૉસ	0.604	0.336	0.368
moustache	મૂછ	0.470	0.236	0.409
mousy	મોઝી	0.480	0.413	0.339
mouth	મોં	0.734	0.294	0.336
mouthful	કોળિયો	0.609	0.565	0.389
mouthpiece	મોઢામાં	0.573	0.346	0.393
mouthwash	માઉથવાશ	0.438	0.385	0.352
movable	જંગમ	0.469	0.509	0.500
move	ખસેડો	0.656	0.647	0.670
movement	ચળવળ	0.656	0.654	0.658
mover	પ્રેરક	0.615	0.539	0.466
movie	મૂવી	0.792	0.560	0.471
movies	ચલચિત્રો	0.724	0.426	0.472
moving	ખસેડવાની	0.479	0.673	0.358
movingforward	NO TRANSLATION	0.857	0.518	0.848
movingon	પર જતાં	0.490	0.529	0.435
mow	ઘાસ વાઢવું	0.420	0.559	0.393
mower	મોવર	0.458	0.510	0.368
moxie	મોક્સી	0.531	0.490	0.366
mozzarella	મોઝેરેલ્લા	0.653	0.265	0.340
mri	મીરી	0.365	0.431	0.349
muchneeded	NO TRANSLATION	0.438	0.602	0.455
mucis	NO TRANSLATION	0.398	0.418	0.420
muck	છાણ	0.347	0.423	0.272
mucked	mucked	0.184	0.500	0.373
mucous	શ્વસ્ત	0.330	0.296	0.293
mucus	લાળ	0.143	0.309	0.228
mud	કાદવ	0.333	0.260	0.185
muddle	ગૂંચવણ	0.184	0.710	0.336
muddled	ગૂંચવણભર્યું	0.250	0.615	0.263
muddy	કાદવવાળું	0.292	0.400	0.283
muff	મફ	0.542	0.335	0.314
muffin	મફિન	0.684	0.430	0.306
muffled	મફ્લડ	0.479	0.330	0.421
muffler	મફલર	0.357	0.407	0.454
mug	મોઢું	0.542	0.214	0.382
mugger	મગર	0.125	0.850	0.500
mulberry	શેતૂર	0.469	0.315	0.361
mulch	લીલા ઘાસ	0.349	0.361	0.383
mule	ખચ્ચર	0.320	0.337	0.254
mull	ઢાળ	0.663	0.340	0.594
mullet	mullet	0.521	0.356	0.377
multilateral	બહુપક્ષીય	0.500	0.469	0.705
multimedia	મલ્ટીમીડિયા	0.611	0.390	0.607
multinational	બહુરાષ્ટ્રીય	0.656	0.510	0.842
multiple	બહુવિધ	0.660	0.510	0.578
multiple sclerosis	મલ્ટિપલ સ્ક્લેરોસિસ	0.188	0.587	0.483
multiplex	મલ્ટિપ્લેક્સ	0.610	0.590	0.667
multiplication	ગુણાકાર	0.646	0.565	0.762
multiplicity	બાહ્યતા	0.677	0.490	0.777
multiplied	ગુણાકાર	0.802	0.559	0.729
multiplier	ગુણક	0.643	0.615	0.741
multiply	ગુણાકાર	0.802	0.625	0.777
multitude	ટોળું	0.562	0.765	0.847
mum	માતાએ	0.802	0.317	0.698
mumble	ગણગણવું	0.292	0.444	0.245
mumbo	મમ્બો	0.429	0.506	0.336
mummy	મમી	0.400	0.588	0.415
mumps	ગાલપચોળિયાં	0.099	0.410	0.311
munch	વાગોળવું	0.541	0.277	0.434
munchies	મન્ચીસ	0.562	0.470	0.491
munchkin	મીન્ચકીન	0.490	0.466	0.374
mundane	ભૌતિક	0.312	0.420	0.480
municipal	મ્યુનિસિપલ	0.625	0.390	0.758
municipality	નગરપાલિકા	0.569	0.280	0.614
mural	ભીંતચિત્ર	0.551	0.265	0.454
murder	હત્યા	0.061	0.942	0.615
murderer	ખૂની	0.010	0.960	0.650
murderess	મૂર્તિ	0.041	0.941	0.462
murderous	ખૂની	0.017	0.940	0.682
murky	ઘોર અંધારાવાળું	0.143	0.618	0.370
murmur	ગણગણાટ	0.458	0.520	0.200
muscle	સ્નાયુ	0.359	0.490	0.645
muscular	સ્નાયુબદ્ધ	0.531	0.434	0.577
muse	મનન કરવું	0.760	0.360	0.509
muses	મૂસા	0.714	0.434	0.571
museum	સંગ્રહાલય	0.792	0.206	0.481
mush	NO TRANSLATION	0.500	0.311	0.125
mushroom	મશરૂમ	0.490	0.274	0.269
mushy	નરમ	0.520	0.200	0.182
music	સંગીત	0.833	0.563	0.605
musical	સંગીતવાદ્યો	0.908	0.630	0.530
musician	સંગીતકાર	0.816	0.509	0.618
musing	સંગીત	0.740	0.151	0.465
musk	કસ્તુરી	0.469	0.454	0.453
musket	બંદૂક	0.260	0.654	0.510
musketeer	મસ્કિટિયર	0.694	0.569	0.705
muskrat	મસ્કરાટ	0.439	0.510	0.368
muslin	મલલિન	0.439	0.304	0.352
muss	NO TRANSLATION	0.418	0.438	0.302
must	જ જોઈએ	0.408	0.382	0.441
mustang	Mustang	0.635	0.642	0.708
mustard	મસ્ટર્ડ	0.500	0.346	0.275
muster	હાજરી	0.635	0.460	0.548
musty	ફાંસી	0.354	0.367	0.267
mutable	પરિવર્તનીય	0.426	0.531	0.491
mutant	મ્યુટન્ટ	0.337	0.676	0.573
mutate	પરિવર્તન	0.281	0.548	0.463
mutation	પરિવર્તન	0.365	0.625	0.611
mute	ચૂપ	0.271	0.200	0.250
muted	મૌન	0.260	0.167	0.162
mutilate	ફાડવું	0.125	0.900	0.465
mutilated	ફાટેલી	0.041	0.841	0.356
mutilation	અંગછેદન	0.122	0.782	0.456
mutiny	બળવો	0.323	0.890	0.549
mutt	મટ્ટ	0.418	0.408	0.387
mutter	NO TRANSLATION	0.406	0.427	0.228
mutton	મટન	0.427	0.283	0.393
mutual	પરસ્પર	0.729	0.321	0.464
mutually	પરસ્પર	0.844	0.490	0.582
muzzle	તોપ	0.388	0.430	0.232
myfavorite	મારુ મનપસન્દ	0.812	0.587	0.615
myopia	નજીવું	0.245	0.387	0.226
myopic	નળી	0.344	0.396	0.218
myriad	અસંખ્ય	0.480	0.429	0.550
mysterious	રહસ્યમય	0.448	0.699	0.455
mystery	રહસ્ય	0.417	0.667	0.519
mystic	રહસ્યવાદી	0.643	0.520	0.535
mystical	રહસ્યવાદી	0.594	0.443	0.689
mysticism	રહસ્યવાદ	0.594	0.598	0.423
mystified	રહસ્યવાદી	0.344	0.600	0.509
mystique	મિસ્ટીક	0.668	0.633	0.667
myth	પૌરાણિક કથા	0.458	0.432	0.338
mythic	પૌરાણિક કથા	0.635	0.528	0.645
mythical	પૌરાણિક	0.625	0.556	0.583
mythological	પૌરાણિક કથાઓ	0.760	0.573	0.658
mythology	પૌરાણિક કથાઓ	0.684	0.439	0.688
nab	નાબ	0.469	0.544	0.407
nacho	નાચા	0.667	0.259	0.333
nada	NO TRANSLATION	0.250	0.231	0.136
nadir	નાદીર	0.479	0.363	0.424
nag	NO TRANSLATION	0.271	0.451	0.472
nail	ખીલી	0.469	0.397	0.282
nail gun	નેઇલ બંદૂક	0.378	0.806	0.574
naive	નિષ્કપટ	0.406	0.260	0.375
naked	નગ્ન	0.323	0.885	0.288
nakedness	નગ્નતા	0.480	0.760	0.350
namaste	NO TRANSLATION	0.719	0.255	0.464
name	નામ	0.573	0.300	0.415
named	નામ આપ્યું	0.562	0.396	0.565
nameless	નનામું	0.344	0.280	0.164
namesake	નામેરી	0.418	0.327	0.404
naming	નામકરણ	0.667	0.410	0.559
nana	નાના	0.765	0.255	0.375
nanny	બકરી	0.615	0.370	0.528
nanometer	નેનોમીટર	0.375	0.356	0.446
nap	નિદ્રા	0.660	0.098	0.342
napalm	નેપલ	0.265	0.580	0.471
nape	નેપ	0.427	0.268	0.298
napkin	નેપકિન	0.469	0.142	0.209
napping	નૅપિંગ	0.765	0.046	0.306
nappy	નેપિ	0.529	0.333	0.207
narcissism	આત્મરતિ	0.214	0.639	0.540
narcissist	અહંપ્રેમ	0.173	0.614	0.629
narcissistic	અહંપ્રેમ	0.323	0.708	0.655
narcotic	માદક	0.102	0.858	0.450
narrate	વર્ણવવું	0.541	0.480	0.473
narration	વર્ણન	0.622	0.408	0.551
narrative	વર્ણનાત્મક	0.580	0.303	0.443
narrator	નેરેટર	0.673	0.430	0.623
narrow	સાકડૂ	0.260	0.368	0.356
narrowing	સંકુચિત	0.354	0.593	0.357
nasal	અનુનાસિક	0.479	0.340	0.330
nascent	નવીન	0.684	0.373	0.585
nasty	બીભત્સ	0.115	0.620	0.264
natal	પ્રસૂતિ	0.755	0.462	0.481
nation	રાષ્ટ્ર	0.594	0.443	0.821
national	રાષ્ટ્રીય	0.698	0.365	0.663
nationality	રાષ્ટ્રીયતા	0.642	0.400	0.772
nationwide	રાષ્ટ્રવ્યાપી	0.684	0.217	0.672
native	મૂળ	0.635	0.422	0.710
nativity	નેટિવિટી	0.750	0.337	0.673
natural	કુદરતી	0.854	0.118	0.481
natural gas	કુદરતી વાયુ	0.635	0.324	0.396
naturalist	પ્રકૃતિવાદી	0.844	0.255	0.562
naturalization	નેચરલાઈઝેશન	0.781	0.279	0.652
naturalized	નેચરલાઈઝ્ડ	0.760	0.333	0.600
naturally	કુદરતી રીતે	0.854	0.276	0.549
nature	પ્રકૃતિ	0.857	0.184	0.643
naught	અમસ્તુ	0.344	0.176	0.161
naughty	તોફાની	0.451	0.857	0.371
nausea	ઉબકા	0.104	0.781	0.273
nauseate	ઉબકા	0.062	0.660	0.176
nauseating	ઉબંઘન	0.021	0.640	0.250
nauseous	ઊલટી	0.135	0.780	0.284
nautical	દરિયાઈ	0.646	0.250	0.579
nautilus	નોટીલસ	0.396	0.509	0.517
naval	નૌકાદળ	0.542	0.449	0.679
nave	નેવ	0.583	0.448	0.585
navel	નાભિ	0.448	0.261	0.276
navigable	નેવિગેબલ	0.749	0.406	0.645
navigate	નેવિગેટ કરો	0.740	0.555	0.675
navigation	સંશોધક	0.841	0.470	0.720
navigational	નેવિગેશનલ	0.573	0.481	0.564
navigator	નેવિગેટર	0.583	0.592	0.623
navy	નૌસેના	0.531	0.760	0.764
nay	NO TRANSLATION	0.344	0.290	0.325
nearsighted	નજીકની નજીક	0.271	0.373	0.265
neat	સુઘડ	0.878	0.235	0.491
neatly	સરસ રીતે	0.802	0.412	0.588
nebula	નિહારિકા	0.510	0.418	0.438
nebulae	નિહારિકા	0.490	0.330	0.472
nebulous	અસ્પષ્ટ	0.469	0.347	0.417
necessarily	જરૂરી	0.667	0.423	0.598
necessary	જરૂરી	0.750	0.433	0.679
necessitate	આવશ્યકતા	0.578	0.604	0.516
necessities	જરૂરિયાતો	0.520	0.630	0.463
necessity	આવશ્યકતા	0.567	0.471	0.588
neck	ગરદન	0.541	0.245	0.345
necklace	ગળાનો હાર	0.760	0.294	0.373
necktie	નેકટાઈ	0.583	0.229	0.314
necromancer	નેક્રોમેંશનર	0.333	0.625	0.536
necrosis	નેક્રોસિસ	0.115	0.622	0.385
nectar	અમૃત	0.746	0.331	0.398
need	જરૂર	0.510	0.574	0.200
needalife	NO TRANSLATION	0.490	0.443	0.394
needed	જરૂરી	0.677	0.342	0.679
needful	આવશ્યક	0.582	0.460	0.614
needit	NO TRANSLATION	0.250	0.472	0.356
needle	સોય	0.250	0.472	0.360
needlepoint	સોય પોઇન્ટ	0.653	0.500	0.556
needles	સોય	0.250	0.602	0.348
needless	અનાવશ્યક	0.327	0.385	0.200
