Word	Bulgarian-bg	Valence	Arousal	Dominance
nerves	нерви	0.333	0.783	0.264
nervous	нервен	0.235	0.820	0.213
nervousness	нервност	0.163	0.915	0.241
nervouswreck	NO TRANSLATION	0.112	0.867	0.179
nervy	NO TRANSLATION	0.250	0.830	0.241
ness	нос	0.396	0.480	0.392
nest	гнездо	0.687	0.221	0.333
nestle	приютявам се	0.625	0.308	0.379
nestling	малко пиле	0.604	0.427	0.286
net	нето	0.441	0.288	0.417
nether	задгробния	0.240	0.265	0.259
netting	мрежа	0.368	0.509	0.585
nettle	коприва	0.406	0.324	0.490
network	мрежа	0.531	0.337	0.466
networking	мрежи	0.625	0.482	0.545
neural	нервен	0.582	0.426	0.391
neuralgia	невралгия	0.092	0.706	0.439
neurological	неврологично	0.500	0.540	0.558
neurologist	невролог	0.608	0.500	0.736
neurology	неврология	0.459	0.537	0.580
neurosis	невроза	0.122	0.766	0.418
neurosurgeon	неврохирург	0.590	0.673	0.755
neurosurgery	неврохирургия	0.490	0.632	0.730
neurotic	нервен	0.198	0.801	0.387
neuter	среден род	0.621	0.163	0.302
neutral	неутрален	0.469	0.184	0.357
neutrality	неутралност	0.469	0.205	0.434
neutralize	неутрализирам	0.519	0.363	0.719
neutron	неутрон	0.469	0.440	0.679
new	нов	0.917	0.490	0.582
new age	нова епоха	0.694	0.556	0.727
newbeginnings	NO TRANSLATION	0.802	0.613	0.524
newborn	възроден	0.918	0.580	0.372
newcomer	новодошъл	0.622	0.380	0.396
newday	нов ден	0.847	0.388	0.618
newfound	новооткрит	0.745	0.741	0.520
newjob	NO TRANSLATION	0.755	0.643	0.729
newlife	нов живот	0.898	0.646	0.701
newly	наскоро	0.688	0.422	0.552
newlywed	младоженка	0.847	0.706	0.570
newme	NewME	0.643	0.550	0.527
newness	новост	0.740	0.522	0.588
news	Новини	0.633	0.580	0.610
newscast	информационен бюлетин	0.531	0.509	0.714
newscaster	радиорепортер	0.646	0.510	0.764
newsflash	Кратки новини	0.604	0.637	0.518
newsletter	бюлетин	0.622	0.385	0.490
newsman	вестникар	0.604	0.480	0.696
newspaper	вестник	0.602	0.283	0.444
newspaperman	вестникар	0.561	0.458	0.750
newsreel	кинопреглед	0.625	0.571	0.577
newsroom	читалня за вестници и списания	0.531	0.392	0.658
newsstand	павилион за вестници	0.615	0.222	0.336
newstart	ново начало	0.802	0.510	0.667
newt	тритон	0.458	0.380	0.541
newyear	нова година	0.938	0.784	0.520
nexus	връзка	0.496	0.368	0.412
nib	писец	0.510	0.282	0.406
nibble	хапане	0.551	0.551	0.411
nice	приятен	0.930	0.442	0.650
niche	ниша	0.459	0.413	0.318
nichts	NO TRANSLATION	0.406	0.293	0.404
nick	на участника	0.554	0.388	0.387
nickel	никел	0.510	0.347	0.406
nickname	прякор	0.490	0.470	0.263
nicotine	никотин	0.235	0.608	0.447
niece	племенница	0.771	0.320	0.400
nifty	готин	0.740	0.745	0.815
nigger	негър	0.240	0.347	0.398
nigh	близо	0.653	0.216	0.336
night	нощ	0.598	0.396	0.404
nightcap	нощна шапчица	0.750	0.196	0.268
nightclub	нощен клуб	0.802	0.894	0.528
nightfall	свечеряване	0.490	0.436	0.426
nightgown	нощница	0.643	0.408	0.250
nightie	нощница	0.630	0.388	0.274
nightingale	славей	0.740	0.340	0.496
nightlife	нощен живот	0.542	0.783	0.510
nightly	всяка вечер	0.673	0.410	0.474
nightmare	кошмар	0.005	0.810	0.436
nightmares	кошмари	0.082	0.942	0.448
nightstand	шкафче	0.490	0.130	0.327
nightstick	палка	0.500	0.461	0.348
nighttime	през нощта	0.735	0.385	0.439
nihilism	нихилизъм	0.367	0.510	0.364
nil	нула	0.286	0.143	0.157
nimble	пъргав	0.833	0.729	0.769
nimrod	страстен ловец	0.327	0.500	0.539
nincompoop	мухльо	0.365	0.431	0.368
nine	девет	0.552	0.255	0.327
nineteen	деветнадесет	0.673	0.304	0.375
ninety	деветдесет	0.479	0.349	0.436
ninja	нинджа	0.542	0.844	0.682
ninny	мухльо	0.344	0.343	0.309
nintendo	Nintendo	0.802	0.571	0.464
ninth	девети	0.490	0.212	0.396
nip	щипя	0.281	0.700	0.264
nipper	малчуган	0.386	0.422	0.317
nipple	зърно	0.480	0.786	0.415
nippy	пъргав	0.540	0.500	0.416
nitrate	нитрат	0.388	0.406	0.500
nitro	нитро	0.500	0.647	0.639
nitrogen	азот	0.427	0.435	0.562
nitrous	азотист	0.435	0.561	0.411
nitwit	глупак	0.146	0.606	0.139
nix	нищо	0.330	0.380	0.404
no anticipation	няма очакване	0.396	0.480	0.341
no disgust	без отвращение	0.510	0.324	0.448
no emotion	без емоция	0.170	0.109	0.225
no sentiment	без чувство	0.092	0.382	0.278
no surprise	без изненада	0.171	0.224	0.412
no trust	не вярвам	0.055	0.445	0.257
nobility	благородство	0.844	0.347	0.736
noble	благородник	0.906	0.345	0.610
nobleman	благородник	0.675	0.286	0.709
nobodycares	NO TRANSLATION	0.365	0.410	0.354
nocomplaints	NO TRANSLATION	0.677	0.164	0.491
nocturnal	нощен	0.540	0.500	0.462
nod	кимване	0.590	0.367	0.427
nodding	кимайки	0.694	0.294	0.426
node	възел	0.396	0.343	0.361
nodular	възлест	0.438	0.351	0.411
nodule	възелче	0.312	0.426	0.349
noggin	каничка	0.510	0.433	0.382
nohope	NO TRANSLATION	0.200	0.441	0.385
noir	ноар	0.375	0.394	0.365
noise	шум	0.260	0.883	0.388
noisy	шумен	0.271	0.812	0.561
nomad	номад	0.375	0.413	0.433
nomadic	номадски	0.427	0.519	0.422
nomenclature	номенклатура	0.500	0.222	0.575
nominal	номинален	0.594	0.250	0.463
nominate	номинира	0.615	0.471	0.669
nomination	назначаване	0.663	0.637	0.696
nominee	номиниран	0.662	0.625	0.765
nonce	nВеднага щом	0.422	0.370	0.377
nonchalant	безгрижен	0.312	0.314	0.366
noncompliance	несъответствие	0.112	0.598	0.259
nondescript	неопределен	0.490	0.434	0.348
nonexistent	несъществуваща	0.208	0.429	0.149
nonfat	обезмаслено	0.604	0.260	0.340
nonfiction	публицистика	0.426	0.315	0.431
nonpayment	неплащане	0.229	0.510	0.298
nonresident	чуждестранно	0.250	0.340	0.302
nonsense	глупости	0.214	0.531	0.155
nonsensical	безсмислен	0.173	0.268	0.193
nonviolent	ненасилствена	0.640	0.287	0.346
noob	Слабак	0.417	0.430	0.267
noodle	юфка	0.633	0.216	0.225
nook	кът	0.480	0.321	0.296
noon	по обяд	0.531	0.343	0.518
noose	примка	0.356	0.300	0.330
nopoint	няма смисъл	0.276	0.324	0.314
noregrets	NO TRANSLATION	0.469	0.476	0.426
norm	норма	0.500	0.245	0.527
normal	нормален	0.740	0.127	0.380
normalcy	нормалност	0.805	0.151	0.620
normality	нормалност	0.781	0.089	0.444
north	север	0.531	0.255	0.450
northbound	пътуващ в северна посока	0.604	0.454	0.491
northeast	североизток	0.562	0.260	0.375
northern	северен	0.570	0.340	0.472
northwest	Северозападна	0.604	0.345	0.451
northwestern	северозападен	0.479	0.306	0.462
noschool	NO TRANSLATION	0.490	0.400	0.380
nose	нос	0.582	0.270	0.245
nosebleed	кръвотечение от носа	0.153	0.776	0.361
nosey	любопитен	0.276	0.655	0.223
nosnow	nosnow	0.392	0.394	0.366
nostalgia	носталгия	0.417	0.337	0.339
nostalgic	носталгичен	0.458	0.351	0.184
nostress	NO TRANSLATION	0.531	0.404	0.415
nostril	ноздра	0.396	0.404	0.316
nosun	NO TRANSLATION	0.388	0.380	0.351
nosy	любопитен	0.292	0.558	0.433
not negative	не отрицателен	0.622	0.270	0.444
not positive	не е положително	0.051	0.370	0.236
notable	забележителен	0.760	0.450	0.696
notables	видни личности	0.594	0.608	0.755
notably	особено	0.792	0.533	0.689
notamorningperson	NO TRANSLATION	0.469	0.578	0.440
notary	нотариус	0.541	0.451	0.676
notation	нотация	0.635	0.380	0.558
notch	прорез	0.459	0.361	0.358
notched	назъбен	0.480	0.530	0.356
note	Забележка	0.594	0.163	0.416
notebook	тетрадка	0.449	0.167	0.442
noted	отбелязано	0.615	0.382	0.464
noteworthy	забележителен	0.704	0.481	0.759
nothappy	NO TRANSLATION	0.112	0.320	0.170
nothingbetter	NO TRANSLATION	0.635	0.390	0.543
nothingness	небитие	0.204	0.080	0.161
notice	известие	0.646	0.408	0.491
noticeable	забележим	0.890	0.562	0.750
notification	уведомление	0.604	0.461	0.671
notify	уведомява	0.643	0.471	0.573
notion	понятие	0.612	0.284	0.667
notional	въображаем	0.520	0.288	0.500
notoriety	известност	0.552	0.633	0.769
notorious	прословут	0.366	0.582	0.609
notready	не е готов	0.133	0.400	0.196
notwithstanding	въпреки	0.367	0.316	0.433
nought	нищо	0.312	0.098	0.116
noun	съществително	0.531	0.230	0.477
nourish	отглеждам	0.878	0.460	0.639
nourishment	храна	0.786	0.290	0.631
nouveau	NO TRANSLATION	0.633	0.438	0.432
novel	роман	0.702	0.352	0.439
novelist	романист	0.340	0.343	0.529
novelty	новост	0.673	0.521	0.740
novice	новак	0.429	0.346	0.180
nowadays	в днешно време	0.680	0.346	0.400
nowork	никаква работа	0.312	0.264	0.309
noworries	няма проблем	0.630	0.402	0.500
noxious	вреден	0.177	0.585	0.379
nozzle	дюза	0.438	0.330	0.287
nuance	нюанс	0.408	0.282	0.411
nuances	нюанси	0.490	0.375	0.527
nuclear	ядрен	0.219	0.856	0.781
nucleus	ядро	0.529	0.296	0.667
nude	гол	0.490	0.915	0.200
nudge	бутане	0.448	0.500	0.509
nudie	nudie	0.500	0.529	0.373
nudist	нудист	0.440	0.796	0.483
nudity	голота	0.438	0.853	0.415
nugget	къс самородно злато	0.602	0.340	0.348
nuisance	неудобство	0.198	0.817	0.227
nuke	бомбата	0.125	0.905	0.873
nul	NO TRANSLATION	0.337	0.358	0.264
null	нула	0.253	0.147	0.152
nullify	анулирам	0.255	0.373	0.395
numb	вцепенен	0.108	0.420	0.352
number	номер	0.406	0.231	0.471
numbering	номерация	0.510	0.363	0.482
numbers	численост	0.406	0.241	0.440
numbness	скованост	0.306	0.398	0.265
numbskull	numbskull	0.300	0.472	0.284
numeral	цифра	0.582	0.254	0.382
numerator	числител	0.490	0.317	0.526
numerical	числен	0.479	0.322	0.517
numerically	числено	0.510	0.337	0.500
numerous	многоброен	0.622	0.462	0.609
nun	NO TRANSLATION	0.500	0.150	0.406
nunchucks	nunchucks	0.337	0.580	0.526
nunnery	женски манастир	0.653	0.236	0.473
nuptials	сватба	0.771	0.588	0.571
nurse	медицинска сестра	0.635	0.578	0.521
nursemaid	бавачка	0.615	0.431	0.436
nursery	детска ясла	0.894	0.406	0.389
nursing	кърмене	0.552	0.549	0.653
nurture	възпитаване	0.745	0.378	0.657
nut	гайка	0.365	0.310	0.250
nutcase	откачалка	0.286	0.775	0.259
nutcracker	орешарка	0.635	0.378	0.522
nuthouse	лудница	0.347	0.519	0.434
nutmeg	индийско орехче	0.635	0.302	0.350
nutrition	хранене	0.885	0.420	0.579
nutritional	хранителна	0.812	0.406	0.676
nutritious	хранителен	0.833	0.337	0.655
nutritive	хранителен	0.875	0.422	0.667
nuts	ядки	0.594	0.250	0.291
nutshell	орехова черупка	0.458	0.407	0.310
nutty	вкусен	0.444	0.317	0.271
nylon	найлон	0.490	0.304	0.295
nylong	NO TRANSLATION	0.439	0.248	0.351
nylons	найлонови чорапи	0.556	0.379	0.320
nymph	нимфа	0.542	0.529	0.472
nymphomaniac	нимфоманка	0.398	0.894	0.536
oaf	простак	0.344	0.357	0.330
oak	дъб	0.583	0.245	0.536
oar	весло	0.469	0.392	0.316
oasis	оазис	0.796	0.283	0.429
oat	овес	0.622	0.170	0.298
oath	клетва	0.543	0.615	0.824
oatmeal	овесена каша	0.592	0.192	0.241
obedience	покорство	0.765	0.287	0.536
obedient	послушен	0.800	0.179	0.518
obediently	послушно	0.802	0.304	0.577
obelisk	обелиск	0.604	0.408	0.596
obese	дебел	0.133	0.427	0.250
obesity	прекалена пълнота	0.215	0.370	0.328
obey	подчинявам се	0.677	0.433	0.533
obi	фетиш	0.469	0.442	0.414
obit	obit	0.410	0.464	0.393
obituary	некролог	0.188	0.330	0.423
object	обект	0.531	0.356	0.375
objection	възражение	0.347	0.592	0.709
objectionable	нежелателен	0.459	0.382	0.558
objective	обективен	0.724	0.337	0.736
objectivity	обективност	0.765	0.431	0.711
obligation	задължение	0.222	0.596	0.718
obligatory	задължителен	0.337	0.571	0.780
oblige	задължи	0.281	0.770	0.614
obliged	задължен	0.327	0.680	0.411
obliging	услужлив	0.740	0.402	0.545
obligor	длъжник	0.302	0.600	0.360
oblique	наклонен	0.438	0.347	0.455
obliterate	заличавам	0.250	0.539	0.569
obliterated	заличени	0.240	0.469	0.344
obliteration	заличаване	0.177	0.622	0.397
oblivion	забвение	0.153	0.330	0.282
oblivious	забравил	0.229	0.388	0.355
oblong	продълговат	0.561	0.455	0.370
obnoxious	противен	0.088	0.602	0.256
oboe	обой	0.510	0.340	0.392
obscene	неприличен	0.050	0.745	0.348
obscenity	сквернословие	0.083	0.843	0.418
obscure	неизвестен	0.370	0.551	0.278
obscured	затъмнен	0.115	0.356	0.298
obscurity	неизвестност	0.208	0.392	0.380
observance	спазване	0.531	0.315	0.632
observant	наблюдателен	0.740	0.422	0.708
observation	наблюдение	0.633	0.433	0.667
observatory	обсерватория	0.643	0.324	0.731
observe	наблюдавам	0.771	0.390	0.360
observer	наблюдател	0.663	0.363	0.603
observing	спазване	0.583	0.400	0.685
obsess	преследвам	0.112	0.846	0.509
obsessed	обсебен	0.219	0.840	0.439
obsessing	obsessing	0.173	0.773	0.698
obsession	мания	0.229	0.847	0.571
obsessive	завладяващ	0.219	0.823	0.480
obsolescence	остаряване	0.250	0.431	0.377
obsolete	остарял	0.337	0.321	0.250
obstacle	препятствие	0.204	0.708	0.336
obstetrician	акушер	0.521	0.636	0.604
obstetrics	акушерство	0.530	0.582	0.564
obstinate	упорит	0.146	0.696	0.562
obstruct	възпрепятства	0.115	0.660	0.458
obstruction	обструкция	0.125	0.742	0.491
obstructive	обструктивен	0.204	0.650	0.613
obtain	получи	0.760	0.438	0.731
obtainable	получен	0.677	0.327	0.702
obtuse	тъп	0.281	0.460	0.345
obverse	герб	0.470	0.394	0.464
obvious	очевиден	0.625	0.336	0.585
ocarina	окарина	0.541	0.392	0.366
occasion	повод	0.700	0.451	0.398
occasional	случаен	0.490	0.298	0.387
occasionally	от време на време	0.538	0.240	0.264
occipital	тилен	0.398	0.408	0.518
occlusion	оклузия	0.306	0.439	0.442
occult	окултен	0.292	0.382	0.406
occupancy	обитаване	0.625	0.471	0.721
occupant	обитател	0.500	0.417	0.483
occupation	професия	0.562	0.470	0.692
occupational	професионален	0.583	0.469	0.596
occupied	зает	0.337	0.546	0.441
occupier	обитател	0.427	0.438	0.600
occupy	занимавам	0.396	0.520	0.589
occupying	заемащи	0.573	0.462	0.519
occur	възникне	0.451	0.561	0.510
occurrence	събитие	0.573	0.690	0.541
ocd	обсесивно-компулсивно разстройство	0.333	0.472	0.370
ocean	океан	0.823	0.308	0.642
oceanic	океански	0.740	0.317	0.632
octagon	осмоъгълник	0.602	0.349	0.462
octave	октава	0.438	0.380	0.482
octopus	октопод	0.713	0.378	0.411
ocular	очен	0.418	0.370	0.400
odd	нечетен	0.265	0.337	0.302
oddball	странна птица	0.316	0.360	0.357
oddity	странност	0.312	0.557	0.386
odds	шансове	0.500	0.472	0.680
ode	ода	0.604	0.269	0.519
odious	омразен	0.235	0.708	0.235
odometer	одометър	0.367	0.470	0.388
odor	миризма	0.337	0.363	0.404
odyssey	Одисея	0.622	0.692	0.710
oedipal	едиповия	0.312	0.575	0.509
oestrogen	естроген	0.521	0.608	0.561
oeuvre	NO TRANSLATION	0.653	0.484	0.598
offal	карантия	0.302	0.470	0.302
offence	нарушение	0.312	0.798	0.446
offend	обиждам	0.094	0.804	0.333
offended	оскърбен	0.188	0.690	0.337
offender	нарушител	0.104	0.851	0.537
offense	нарушение	0.230	0.765	0.510
offensive	офанзива	0.135	0.882	0.600
offer	оферта	0.750	0.745	0.596
offered	предлагана	0.582	0.490	0.544
offering	предлагане	0.688	0.462	0.585
offhand	импровизирано	0.388	0.500	0.368
office	офис	0.427	0.302	0.509
officer	офицер	0.542	0.430	0.877
offices	сервизни помещения	0.469	0.312	0.534
official	официален	0.646	0.565	0.833
officiate	реферирам	0.688	0.453	0.704
offing	открито море	0.490	0.412	0.447
offload	разтоварвам	0.479	0.444	0.525
offset	изместване	0.719	0.394	0.704
offshoot	издънка	0.517	0.330	0.361
offshore	офшорен	0.417	0.484	0.441
offside	засада	0.323	0.519	0.443
offspring	потомство	0.656	0.435	0.600
oft	често	0.500	0.308	0.474
oftentimes	често	0.571	0.500	0.482
ogre	страшилище	0.135	0.698	0.510
ohdear	NO TRANSLATION	0.458	0.519	0.442
ohgod	NO TRANSLATION	0.500	0.557	0.439
ohno	о, не	0.396	0.475	0.380
ohshit	NO TRANSLATION	0.230	0.594	0.343
oil	масло	0.521	0.278	0.306
oils	масла	0.459	0.229	0.391
oily	мазен	0.276	0.533	0.385
oink	Oink	0.500	0.450	0.289
ointment	мехлем	0.438	0.271	0.398
okra	бамя	0.469	0.400	0.362
old	стар	0.410	0.279	0.315
olden	древен	0.284	0.213	0.425
older	по-стари	0.385	0.255	0.317
oldie	Oldie	0.363	0.363	0.342
oldies	Oldies	0.438	0.300	0.412
olfactory	обонятелен	0.602	0.409	0.452
oligarchy	олигархия	0.327	0.567	0.741
olive	маслина	0.571	0.231	0.406
omega	омега	0.529	0.337	0.526
omelet	омлет	0.708	0.323	0.315
omen	поличба	0.390	0.657	0.583
omgomgomg	NO TRANSLATION	0.490	0.551	0.358
ominous	зловещ	0.255	0.730	0.510
omission	пропуск	0.367	0.333	0.275
omit	пропускам	0.330	0.265	0.451
omitted	пропуснато	0.260	0.235	0.211
omnibus	омнибус	0.490	0.410	0.473
omnipotence	всемогъщество	0.667	0.793	0.866
omnipotent	всемогъщ	0.719	0.679	0.919
omnipresent	вездесъщ	0.688	0.452	0.825
omniscient	всезнаещ	0.656	0.334	0.778
onboard	на борда	0.612	0.451	0.491
oncologist	онколог	0.260	0.654	0.640
oncology	онкология	0.204	0.424	0.500
oncoming	приближаващ	0.594	0.625	0.773
one	един	0.542	0.292	0.370
oneday	един ден	0.667	0.245	0.374
onedge	на ръба	0.479	0.552	0.400
onelove	една любов	0.816	0.577	0.541
oneness	единство	0.745	0.272	0.720
onerous	тежък	0.500	0.480	0.462
oneself	себе си	0.660	0.337	0.483
ongoing	в процес	0.674	0.484	0.556
onion	лук	0.378	0.367	0.382
onset	начало	0.673	0.497	0.500
onslaught	яростна атака	0.198	0.939	0.717
onstage	на сцената	0.719	0.673	0.583
ontology	онтология	0.510	0.450	0.518
onus	бреме	0.562	0.520	0.769
onward	напред	0.667	0.538	0.741
onyx	оникс	0.571	0.461	0.380
oodles	голямо количество	0.490	0.374	0.446
oomph	сексапил	0.449	0.613	0.315
ooze	тиня	0.344	0.577	0.333
oozing	сълзене	0.238	0.515	0.427
op	оп	0.480	0.402	0.349
opacity	непрозрачност	0.471	0.251	0.256
opal	опал	0.623	0.479	0.379
opaque	непрозрачен	0.344	0.265	0.342
ope	ОПОС	0.375	0.380	0.395
open	отворен	0.620	0.480	0.569
opener	отварачка	0.584	0.526	0.377
opening	отвор	0.667	0.510	0.620
openly	открито	0.603	0.388	0.553
openness	откритост	0.837	0.561	0.667
opera	опера	0.714	0.500	0.483
operate	работи	0.582	0.690	0.691
operatic	оперен	0.375	0.452	0.627
operation	операция	0.475	0.611	0.755
operational	оперативен	0.562	0.570	0.679
operations	операции	0.480	0.549	0.798
operative	оперативен	0.541	0.635	0.718
operator	оператор	0.612	0.630	0.726
ophthalmic	очен	0.427	0.385	0.444
ophthalmologist	офталмолог	0.552	0.389	0.491
opiate	опиат	0.281	0.594	0.598
opinion	мнение	0.594	0.482	0.638
opinionated	упорит	0.156	0.800	0.491
opium	опиум	0.276	0.490	0.333
opponent	опонент	0.080	0.741	0.716
opportune	благоприятен	0.796	0.538	0.767
opportunism	опортюнизъм	0.571	0.752	0.673
opportunity	възможност	0.938	0.745	0.833
oppose	противопоставят	0.431	0.800	0.473
opposed	за разлика	0.092	0.460	0.606
opposing	противоположен	0.188	0.660	0.518
opposite	противоположен	0.235	0.545	0.408
opposites	противоположности	0.281	0.518	0.462
opposition	опозиция	0.135	0.729	0.592
oppress	потискам	0.186	0.654	0.555
oppressed	потиснат	0.119	0.640	0.259
oppression	потисничество	0.080	0.673	0.615
oppressive	потиснически	0.276	0.590	0.667
oppressor	потисник	0.160	0.776	0.629
ops	OPS	0.417	0.550	0.528
opt	избирам	0.510	0.471	0.345
optic	оптичен	0.663	0.384	0.594
optical	оптичен	0.677	0.311	0.542
optics	оптика	0.562	0.286	0.580
optimism	оптимизъм	0.949	0.565	0.814
optimist	оптимист	0.875	0.539	0.787
optimistic	оптимистичен	0.979	0.580	0.821
optimum	оптимален	0.892	0.469	0.808
option	опция	0.512	0.427	0.359
optional	по избор	0.755	0.350	0.440
optionally	по желание	0.365	0.405	0.481
options	настроики	0.622	0.327	0.473
optometrist	оптометрист	0.446	0.455	0.668
opulence	разкош	0.620	0.615	0.648
opulent	разкошен	0.562	0.660	0.660
opus	опус	0.458	0.368	0.391
oracle	оракул	0.552	0.531	0.670
oral	орално	0.530	0.448	0.375
orange	оранжев	0.646	0.132	0.296
orange juice	портокалов сок	0.719	0.343	0.445
orangutan	орангутан	0.430	0.560	0.471
oration	тържествено слово	0.646	0.315	0.683
orator	оратор	0.667	0.375	0.682
oratory	красноречие	0.602	0.472	0.693
orb	кълбо	0.463	0.370	0.444
orbit	орбита	0.561	0.422	0.575
orbital	орбитален	0.458	0.451	0.559
orbiting	орбита	0.520	0.643	0.554
orbs	кълба	0.469	0.355	0.482
orc	орк	0.240	0.510	0.388
orchard	овощна градина	0.760	0.269	0.333
orchestra	оркестър	0.708	0.500	0.664
orchid	орхидея	0.840	0.345	0.382
ordained	ръкоположен	0.735	0.409	0.731
ordeal	изпитание	0.344	0.539	0.529
order	поръчка	0.780	0.295	0.814
orderly	подреден	0.844	0.240	0.661
ordinance	наредба	0.615	0.452	0.776
ordinary	обикновен	0.375	0.312	0.286
ordination	ръкополагане	0.688	0.490	0.765
ordnance	артилерия	0.354	0.825	0.679
ore	руда	0.500	0.333	0.356
oregano	риган	0.596	0.327	0.250
organ	орган	0.510	0.469	0.538
organic	органичен	0.719	0.343	0.535
organism	организъм	0.457	0.559	0.800
organist	органист	0.740	0.469	0.669
organization	организация	0.810	0.535	0.851
organize	организирам	0.802	0.655	0.781
organized	организиран	0.816	0.337	0.746
organizer	организатор	0.604	0.577	0.846
orgasm	оргазъм	0.844	0.863	0.676
orgies	оргии	0.388	0.953	0.433
orgy	оргия	0.346	0.962	0.536
orient	Ориент	0.667	0.422	0.667
oriental	ориенталски	0.592	0.409	0.598
orientation	ориентация	0.667	0.454	0.686
orifice	отвор	0.448	0.355	0.443
origami	оригами	0.684	0.276	0.294
origin	произход	0.729	0.435	0.591
original	оригинал	0.765	0.480	0.746
originality	оригиналност	0.898	0.500	0.824
originate	произхождат	0.702	0.500	0.866
origination	начало	0.760	0.443	0.604
originator	основоположник	0.592	0.510	0.868
ornament	украшение	0.561	0.373	0.441
ornamental	декоративен	0.663	0.392	0.460
ornamentation	декорация	0.663	0.471	0.472
ornamented	орнаменти	0.677	0.350	0.490
ornate	богато украсен	0.812	0.356	0.500
ornery	просташки	0.361	0.520	0.509
orphan	сирак	0.133	0.388	0.140
orphanage	сиропиталище	0.184	0.439	0.425
orphaned	осиротял	0.062	0.430	0.228
orthodontist	зъболекар	0.469	0.615	0.564
orthodox	православен	0.388	0.471	0.647
orthodoxy	православие	0.271	0.388	0.612
orthogonal	ортогонален	0.500	0.314	0.540
orthopedic	ортопедичен	0.406	0.346	0.473
oscillate	колебая	0.449	0.580	0.397
oscillating	вибриращо	0.469	0.548	0.402
oscillation	трептене	0.562	0.433	0.431
oscillatory	вибрационно	0.375	0.520	0.480
ostensible	привиден	0.542	0.549	0.585
ostensibly	привидно	0.473	0.529	0.509
ostentatious	показен	0.479	0.794	0.648
ostracized	отлъчвани	0.115	0.690	0.377
ostrich	щраус	0.592	0.382	0.241
other	друг	0.472	0.230	0.259
otter	видра	0.439	0.216	0.339
otto	розово масло	0.427	0.425	0.404
ottoman	османски	0.531	0.337	0.444
ought	трябва	0.438	0.511	0.434
ounce	унция	0.531	0.255	0.288
oust	изкарвам	0.296	0.716	0.444
outage	прекъсване	0.306	0.684	0.438
outback	пустош	0.500	0.324	0.430
outbid	наддавам	0.594	0.622	0.540
outboard	извънбордов	0.448	0.491	0.456
outbreak	избухване	0.260	0.632	0.472
outburst	изблик	0.209	0.802	0.528
outcast	бездомник	0.153	0.449	0.353
outcome	изход	0.615	0.472	0.685
outcry	врява	0.271	0.773	0.718
outdated	остарял	0.167	0.236	0.226
outdo	превъзхождам	0.771	0.750	0.873
outdoor	на открито	0.814	0.256	0.447
outdoors	на открито	0.781	0.444	0.453
outer	външен	0.552	0.471	0.456
outfit	екипировка	0.760	0.490	0.566
outgoing	изходящ	0.650	0.472	0.538
outgrow	надживявам	0.510	0.529	0.722
outgrowth	израстък	0.771	0.620	0.688
outhouse	клозет в двора	0.281	0.519	0.255
outing	екскурзия	0.771	0.672	0.634
outlandish	необичаен	0.448	0.737	0.657
outlast	надживявам	0.620	0.786	0.685
outlaw	беглец	0.255	0.662	0.482
outlet	изход	0.610	0.396	0.245
outline	очертание	0.542	0.365	0.509
outlines	очертания	0.656	0.402	0.651
outlive	надживявам	0.565	0.769	0.724
outlook	перспектива	0.830	0.525	0.625
outlying	затънтен	0.460	0.562	0.503
outnumber	превъзхождам числено	0.347	0.615	0.577
outpatient	извънболнична	0.260	0.400	0.395
outpost	преден пост	0.635	0.571	0.675
outpouring	изливане	0.562	0.685	0.552
output	продукция	0.604	0.389	0.434
outrage	възмущение	0.060	0.689	0.542
outraged	изнасилена	0.156	0.696	0.538
outrageous	възмутителен	0.153	0.945	0.713
outrank	превъзхождам по чин	0.653	0.643	0.817
outreach	аутрич	0.540	0.462	0.672
outright	направо	0.767	0.396	0.755
outrun	изпреварвам	0.531	0.833	0.573
outset	начало	0.750	0.500	0.582
outsider	външен човек	0.398	0.549	0.447
outskirts	покрайнини	0.474	0.519	0.312
outsmart	надхитрям	0.673	0.657	0.864
outspoken	прям	0.582	0.413	0.667
outstanding	изключителен	0.898	0.760	0.896
outstretched	изпънат	0.448	0.481	0.519
outward	навън	0.449	0.439	0.365
outwards	навън	0.440	0.472	0.400
outweigh	надхвърлят	0.486	0.600	0.682
outwit	заблуждавам	0.302	0.755	0.356
oval	овал	0.417	0.280	0.330
ovary	яйчник	0.469	0.399	0.280
ovate	овален	0.385	0.286	0.368
ovation	овации	0.719	0.758	0.750
oven	фурна	0.583	0.425	0.606
overactive	свръхактивен	0.667	0.885	0.592
overall	цялостен	0.583	0.370	0.670
overalls	комбинезон	0.500	0.392	0.373
overbearing	арогантен	0.323	0.833	0.861
overburden	обременявам	0.115	0.755	0.546
overcast	облачен	0.417	0.250	0.475
overcharged	презареден	0.276	0.780	0.569
overcoat	връхна дреха	0.594	0.265	0.430
overcome	преодолеят	0.719	0.689	0.848
overcoming	преодоляване на	0.842	0.765	0.855
overcrowded	претъпкан	0.292	0.520	0.491
overdo	прекалявам	0.156	0.864	0.602
overdose	свръх доза	0.110	0.820	0.468
overdrive	карам прекалено силно и бързо	0.303	0.715	0.732
overdue	просрочен	0.125	0.427	0.259
overestimate	надценявам	0.367	0.796	0.444
overestimated	надценява	0.344	0.646	0.527
overflow	препълване	0.398	0.792	0.500
overflowing	преизпълнен	0.439	0.796	0.635
