Word	Uzbek-uz	Valence	Arousal	Dominance
including	shu jumladan	0.700	0.378	0.518
inclusion	qo'shilish	0.774	0.404	0.712
inclusive	jumladan	0.604	0.420	0.564
incognito	inkognito rejimida	0.610	0.490	0.446
incoherent	muvofiq emas	0.122	0.612	0.250
income	daromad	0.750	0.510	0.728
incoming	kirish	0.660	0.509	0.596
incomparable	tengsiz	0.625	0.577	0.670
incompatible	mos kelmaydigan	0.196	0.500	0.310
incompetence	qobiliyatsizlik	0.077	0.551	0.208
incompetent	qobiliyatsiz	0.133	0.566	0.239
incomplete	tugatilmagan	0.153	0.370	0.205
incompletely	to'liqsiz	0.344	0.442	0.232
incompleteness	tugallanmagan	0.271	0.451	0.234
incomprehensible	tushunarsiz	0.250	0.550	0.344
inconceivable	aqlga sig'maydi	0.198	0.552	0.561
inconclusive	noaniq	0.153	0.442	0.340
incongruous	noqulay	0.177	0.504	0.343
inconsequential	noaniq	0.250	0.480	0.345
inconsiderate	o'ylamasdan	0.224	0.519	0.423
inconsistency	mos kelmaslik	0.125	0.480	0.314
inconsistent	barqaror emas	0.271	0.431	0.295
inconspicuous	sezilmas	0.604	0.214	0.368
incontinence	ushlab qolish	0.150	0.598	0.272
inconvenience	noqulaylik	0.063	0.667	0.291
inconvenient	noqulay	0.224	0.610	0.375
incorporate	o'z ichiga oladi	0.745	0.612	0.571
incorporation	birlashma	0.573	0.404	0.768
incorrect	noto'g'ri	0.140	0.569	0.255
incorrigible	noto'g'ri	0.130	0.667	0.500
increase	o'sish	0.810	0.657	0.886
increased	ortdi	0.684	0.660	0.773
incredible	ajoyib	0.857	0.796	0.902
incredulous	ishonmaydigan	0.286	0.510	0.269
increment	oshirish	0.684	0.637	0.750
incriminate	ayblash	0.188	0.810	0.416
incriminating	aybdor	0.133	0.788	0.500
incrimination	ayblovlar	0.152	0.865	0.545
incubation	inkubatsiya	0.461	0.490	0.397
incubator	inkubator	0.510	0.435	0.405
incubus	inkubus	0.458	0.529	0.482
incumbent	amaldagi	0.396	0.540	0.565
incur	amalga oshiriladi	0.312	0.667	0.495
incurable	davolanmaydi	0.104	0.667	0.255
incursion	tajovuz	0.552	0.830	0.719
indebted	qarzdor	0.138	0.698	0.275
indecency	axloqsizlik	0.135	0.670	0.491
indecent	nomusli	0.083	0.683	0.240
indecision	noaniqlik	0.184	0.480	0.196
indecisive	noaniq	0.271	0.420	0.190
indefensible	asossiz	0.173	0.647	0.484
indefinite	noaniq	0.448	0.292	0.296
indelible	silinmaydigan	0.490	0.337	0.591
indemnification	tovon	0.521	0.490	0.770
indemnify	tovon to'lash	0.449	0.548	0.613
indemnity	tovon	0.470	0.607	0.692
indent	indent	0.479	0.346	0.379
indentation	chuqurlashtirish	0.374	0.500	0.349
indenture	indenture	0.434	0.382	0.636
independence	mustaqillik	0.896	0.663	0.911
independent	mustaqil	0.885	0.440	0.872
indescribable	tushunarsiz	0.448	0.529	0.648
indestructible	buzilmaydi	0.772	0.731	0.853
indeterminate	noaniq	0.360	0.402	0.322
index	indeks	0.448	0.268	0.342
indicate	ko'rsatadi	0.594	0.350	0.676
indicating	ko'rsatma	0.745	0.339	0.555
indication	belgisi	0.719	0.432	0.750
indicative	belgisi	0.510	0.510	0.591
indicator	belgisi	0.573	0.451	0.670
indice	NO TRANSLATION	0.469	0.377	0.541
indict	ayblov	0.188	0.731	0.458
indictment	ayblov xulosasi	0.245	0.745	0.577
indie	Indie	0.479	0.368	0.430
indifference	befarqlik	0.265	0.417	0.299
indifferent	befarq	0.396	0.157	0.250
indigenous	mahalliy	0.500	0.509	0.552
indigent	qashshoq	0.156	0.481	0.223
indigestion	hazmsizlik	0.204	0.610	0.182
indignant	g'azablangan	0.260	0.600	0.423
indignation	g'azablanish	0.173	0.778	0.431
indignity	haqorat	0.167	0.500	0.306
indigo	indigo	0.514	0.365	0.473
indirect	bilvosita	0.385	0.402	0.330
indiscreet	indiscreet	0.177	0.587	0.342
indiscretion	nomunosiblik	0.265	0.637	0.390
indispensable	ajralmas	0.710	0.449	0.802
indisposed	mamnun emas	0.122	0.519	0.206
indistinct	noaniq	0.255	0.340	0.360
indistinguishable	farq qilmaydi	0.346	0.458	0.548
individual	shaxsiy	0.627	0.327	0.533
individuality	individuallik	0.612	0.469	0.527
indivisible	bo'linmas	0.646	0.398	0.580
indoctrination	uyg'unlik	0.327	0.657	0.698
indolent	xushchaqchaq	0.177	0.381	0.259
indomitable	indomitable	0.458	0.800	0.830
indoor	yopiq	0.615	0.245	0.347
induce	indükleyiniz	0.257	0.606	0.684
induced	indüklendi	0.397	0.471	0.491
inducement	ogohlantirish	0.647	0.765	0.685
induction	indüksiyon	0.392	0.593	0.627
indulge	chiroylik	0.833	0.716	0.669
indulgence	xayrixohlik	0.479	0.490	0.517
indulgent	xushmuomalalik	0.560	0.481	0.529
industrial	sanoat	0.469	0.600	0.875
industrialist	sanoatchi	0.562	0.633	0.843
industrious	mehnatkash	0.720	0.537	0.791
industry	sanoat	0.650	0.447	0.836
ineffable	samarasiz	0.551	0.577	0.585
ineffective	samarasiz	0.093	0.422	0.094
ineffectual	samarasiz	0.163	0.412	0.200
inefficiency	samarasizligi	0.092	0.466	0.181
inefficient	samarasiz	0.190	0.460	0.173
inelastic	inelastik emas	0.396	0.426	0.385
ineligible	nomuvofiq	0.143	0.377	0.457
inept	in'ik	0.156	0.418	0.209
ineptitude	noto'g'ri	0.177	0.471	0.250
inequality	tengsizlik	0.122	0.575	0.259
inequitable	adolatsiz	0.281	0.519	0.373
inert	harakatsiz	0.323	0.180	0.319
inertia	harakatsizlik	0.344	0.288	0.322
inevitable	muqarrar	0.316	0.419	0.623
inexact	noto'g'ri	0.153	0.459	0.170
inexcusable	kechirimsiz	0.271	0.582	0.546
inexhaustible	tugatilmagan	0.602	0.541	0.643
inexpensive	arzon	0.694	0.414	0.260
inexperience	tajribasizlik	0.208	0.614	0.151
inexperienced	tajribasiz	0.281	0.473	0.231
inexplicable	tushuntirilmaydi	0.224	0.635	0.443
inexpressible	tushunarsiz	0.198	0.608	0.364
infallibility	begunohlik	0.583	0.663	0.764
infallible	begunoh	0.776	0.687	0.809
infamous	sharmandali	0.146	0.580	0.472
infamy	shafqatsizlik	0.177	0.676	0.421
infancy	bolalik	0.750	0.399	0.370
infant	chaqaloq	0.802	0.431	0.328
infanticide	chaqaloq	0.167	0.856	0.443
infantile	chaqaloq	0.604	0.382	0.259
infantry	piyoda askarlari	0.531	0.684	0.791
infarct	infarkt	0.080	0.846	0.386
infatuated	g'azablangan	0.729	0.764	0.417
infatuation	chiroylik	0.844	0.745	0.530
infeasible	mumkin emas	0.245	0.472	0.236
infect	yuqtirish	0.102	0.777	0.424
infection	INFEKTSION	0.083	0.735	0.407
infectious	yuqumli kasalliklar	0.142	0.760	0.422
infer	infer	0.449	0.490	0.453
inference	chiqish	0.359	0.479	0.398
inferential	harakatsiz	0.426	0.451	0.455
inferior	past	0.260	0.254	0.106
inferiority	kamsitish	0.177	0.430	0.205
infernal	shafqatsiz	0.083	0.837	0.571
inferno	shovqin	0.051	0.857	0.463
infertile	infertil	0.274	0.458	0.255
infertility	bepushtlik	0.170	0.664	0.328
infestation	infestatsiya qilish	0.256	0.776	0.527
infidel	kofir	0.177	0.740	0.404
infidelity	xiyonat	0.062	0.777	0.392
infield	infiltratsiya qilish	0.510	0.571	0.438
infiltrate	infiltratsiya qilish	0.408	0.745	0.587
infiltration	infiltratsiya	0.265	0.792	0.536
infinite	cheksiz	0.724	0.583	0.735
infinitely	cheksiz	0.688	0.643	0.829
infinitesimal	infinitesimal	0.388	0.472	0.496
infinity	abadiylik	0.516	0.459	0.805
infirm	shifokor	0.115	0.521	0.210
infirmary	shifoxona	0.500	0.438	0.517
infirmity	kasallik	0.094	0.482	0.252
inflammation	yallig'lanish	0.146	0.765	0.423
inflammatory	yallig'lanish	0.177	0.642	0.404
inflatable	shishadi	0.510	0.510	0.400
inflate	shamollash	0.305	0.569	0.462
inflated	shishadi	0.303	0.431	0.617
inflation	inflyatsiya	0.219	0.792	0.508
inflection	burilish	0.385	0.635	0.377
inflict	etkazish	0.167	0.760	0.609
infliction	zarar	0.302	0.722	0.571
inflorescence	inflorescence	0.459	0.344	0.412
influence	ta'siri	0.622	0.663	0.824
influential	ta'sirchan	0.899	0.688	0.944
influenza	gripp	0.271	0.718	0.321
influx	oqim	0.622	0.635	0.575
info	info	0.750	0.330	0.642
infomercial	infomercial	0.427	0.462	0.555
inform	xabar bering	0.723	0.582	0.679
informal	norasmiy	0.480	0.398	0.441
informant	informant	0.604	0.612	0.719
information	ma `lumot	0.765	0.370	0.711
informative	informatsion	0.812	0.419	0.741
informed	xabar berdi	0.543	0.298	0.617
informer	xabarchi	0.521	0.578	0.580
infraction	buzilish	0.245	0.660	0.471
infrared	infraqizil	0.469	0.588	0.526
infrastructure	infrastruktura	0.604	0.460	0.694
infrequent	juda kam	0.312	0.377	0.192
infrequently	juda kam	0.204	0.250	0.327
infringement	huquqbuzarlik	0.153	0.800	0.481
infuriate	g'azabnok	0.102	0.934	0.596
infuriated	g'azablangan	0.073	0.930	0.510
infuriates	g'azablanganlar	0.135	0.913	0.627
infuriating	g'azablangan	0.139	0.870	0.509
infuse	inflyatsiya qilish	0.380	0.705	0.589
infused	inflyatsiya qilingan	0.385	0.473	0.546
infuser	infuzer	0.469	0.433	0.536
infusion	infuziya	0.583	0.365	0.453
ingenious	qobiliyatli	0.760	0.690	0.891
ingenuity	ixtirochilik	0.708	0.590	0.868
ingest	ichish	0.510	0.559	0.473
ingestion	qabul qilish	0.429	0.612	0.512
ingot	ingot	0.688	0.444	0.615
ingrained	chuqurlashtirilgan	0.531	0.490	0.712
ingrate	ingrash	0.235	0.606	0.327
ingredient	ingredient	0.792	0.373	0.451
ingress	kirish	0.601	0.366	0.736
inhabit	yashaydi	0.656	0.378	0.556
inhabitant	yashovchilar	0.604	0.356	0.519
inhabited	yashagan	0.667	0.361	0.510
inhabiting	yashaydi	0.458	0.440	0.598
inhalation	nafas olish	0.510	0.613	0.464
inhale	nafas olish	0.427	0.340	0.492
inhaler	inhaler	0.408	0.500	0.349
inherent	tabiiy	0.562	0.439	0.480
inherit	meros qilib oladi	0.745	0.546	0.694
inheritance	meros olish	0.900	0.565	0.798
inhibit	inhibe qilish	0.167	0.479	0.447
inhibition	inhibisyonu	0.265	0.392	0.534
inhibitor	inhibitörü	0.281	0.450	0.471
inhospitable	noma'qul	0.265	0.531	0.395
inhuman	insoniy bo'lmagan	0.107	0.660	0.492
inhumane	g'ayriinsoniylik	0.104	0.587	0.402
inhumanity	g'ayriinsoniylik	0.143	0.540	0.405
inimaginable	NO TRANSLATION	0.542	0.636	0.534
inimical	inimik	0.260	0.823	0.556
inimitable	noyob	0.571	0.413	0.790
iniquity	qonunsizlik	0.219	0.567	0.425
initial	boshlang'ich	0.583	0.314	0.539
initiate	boshlang	0.719	0.480	0.553
initiated	boshlangan	0.760	0.490	0.650
initiation	boshlash	0.698	0.529	0.527
initiative	tashabbus	0.833	0.615	0.768
inject	AOK qilish	0.406	0.735	0.596
injection	qarshi	0.281	0.741	0.518
injunction	ogohlantirish	0.281	0.422	0.519
injure	yaralash	0.177	0.710	0.364
injured	yaralangan	0.083	0.680	0.302
injuring	jarohat olish	0.073	0.790	0.245
injurious	zararli	0.177	0.759	0.366
injury	jarohati	0.049	0.769	0.287
injustice	adolatsizlik	0.082	0.755	0.444
ink	siyoh	0.471	0.408	0.235
inkling	murakkab	0.448	0.551	0.570
inland	ichki	0.510	0.417	0.423
inlay	inley	0.406	0.531	0.565
inlet	kirish joyi	0.646	0.378	0.466
inmate	mahbus	0.235	0.663	0.398
inn	kichik mehmonxona	0.660	0.284	0.475
innards	ichakchalari	0.302	0.480	0.400
innate	tug'ma	0.490	0.400	0.521
inner	ichki	0.551	0.216	0.443
innermost	ichki	0.583	0.500	0.510
innerpeace	NO TRANSLATION	0.714	0.318	0.551
inning	ining	0.602	0.315	0.520
innings	Innings	0.573	0.487	0.443
innkeeper	ho'jalik xodimi	0.578	0.224	0.472
innocence	aybsizlik	0.802	0.260	0.307
innocent	begunoh	0.729	0.206	0.340
innocently	begunoh	0.776	0.250	0.302
innocuous	zararli	0.510	0.321	0.172
innovate	yangilik	0.898	0.872	0.750
innovation	yangilik	0.949	0.680	0.890
innovative	innovatsion	0.880	0.640	0.830
innuendo	Innuendo	0.467	0.670	0.463
innumerable	son-sanoqsiz	0.667	0.445	0.704
inoculation	emlash	0.333	0.570	0.598
inoperable	ishlamaydi	0.184	0.422	0.304
inoperative	ishlamasa	0.138	0.425	0.273
inordinate	noaniq	0.163	0.630	0.330
inorganic	noorganik	0.385	0.345	0.282
input	kiritish	0.643	0.337	0.527
inquest	so'roq	0.458	0.569	0.721
inquire	so'ramoq	0.583	0.519	0.363
inquirer	so'rovchi	0.573	0.598	0.776
inquiring	so'rash	0.479	0.510	0.500
inquiry	so'rovnoma	0.541	0.420	0.536
inquisitive	qiziquvchan	0.301	0.637	0.615
inquisitor	inquisitor	0.385	0.873	0.642
insane	aqldan ozgan	0.062	0.670	0.265
insanity	jinnilik	0.098	0.847	0.337
insatiable	noqulay	0.375	0.656	0.558
inscription	yozuv	0.592	0.422	0.542
inscrutable	tushunarsiz	0.459	0.541	0.613
insect	hasharotlar	0.276	0.633	0.242
insecticide	insektisit	0.188	0.598	0.430
insecure	xatarli	0.114	0.538	0.132
insecurity	ishonchsizlik	0.094	0.647	0.350
insemination	urug'lantirish	0.542	0.644	0.622
insensitive	sezgir emas	0.219	0.471	0.302
inseparable	ajralmas	0.700	0.520	0.571
insert	kiritmoq	0.481	0.552	0.519
inserted	qo'shilgan	0.479	0.402	0.476
insertion	kiritish	0.521	0.520	0.565
inside	ichida	0.612	0.404	0.472
insider	ichkaridan	0.625	0.562	0.750
insidious	hiyla bilan	0.146	0.622	0.480
insight	tushuncha	0.613	0.363	0.649
insightful	tushunarli	0.664	0.691	0.713
insignia	belgisi	0.665	0.282	0.685
insignificance	ahamiyatsizligi	0.250	0.216	0.222
insignificant	ahamiyatsiz	0.083	0.306	0.114
insinuate	qimirlatish	0.292	0.635	0.413
insipid	insipid	0.214	0.250	0.241
insist	turib oldi	0.635	0.651	0.688
insistence	isbot	0.418	0.704	0.645
insistent	qat'iy	0.552	0.635	0.701
insists	turib oldi	0.490	0.587	0.610
insolence	haqorat	0.115	0.731	0.402
insolent	itoatsiz	0.112	0.663	0.343
insoluble	erimaydigan	0.439	0.290	0.414
insolvency	to'lovga layoqatsizlik	0.323	0.431	0.300
insolvent	to'lovga qodir emas	0.230	0.481	0.318
insomnia	uyqusizlik	0.198	0.611	0.373
insomniac	uyqusizlik	0.231	0.367	0.329
inspect	tekshiring	0.479	0.603	0.793
inspection	tekshirish	0.459	0.630	0.718
inspector	tekshiruvchi	0.418	0.580	0.852
inspiration	ilhom	0.938	0.600	0.779
inspirational	ruhlantiruvchi	0.927	0.720	0.810
inspire	ilhom bering	0.918	0.627	0.759
inspired	ilhomlantirdi	0.967	0.702	0.736
instability	beqarorlik	0.177	0.760	0.353
install	o'rnatish	0.630	0.583	0.736
installation	o'rnatish	0.656	0.469	0.759
installment	to'lash	0.619	0.396	0.483
instance	misol	0.547	0.450	0.558
instant	tezda	0.766	0.454	0.554
instantaneous	darhol	0.750	0.500	0.585
instantaneously	bir zumda	0.656	0.640	0.600
instigate	uyg'otish	0.278	0.765	0.642
instigation	da'vat	0.323	0.769	0.648
instill	o'rgatish	0.562	0.490	0.618
instinct	instinkt	0.771	0.602	0.642
instinctive	instinktiv	0.752	0.575	0.694
institute	instituti	0.604	0.480	0.807
institution	muassasa	0.580	0.311	0.790
instruct	ko'rsatma bering	0.729	0.490	0.833
instructed	ko'rsatma berdi	0.740	0.388	0.722
instruction	ko'rsatma	0.656	0.434	0.736
instructional	o'qitish	0.698	0.500	0.773
instructions	ko'rsatmalar	0.582	0.302	0.556
instructive	ibratli	0.583	0.420	0.643
instructor	o'qituvchi	0.771	0.490	0.782
instrument	asbob	0.562	0.537	0.655
instrumental	instrumental	0.740	0.472	0.647
instrumentalist	instrumentalist	0.656	0.540	0.740
instrumentality	instrumentallik	0.637	0.510	0.618
insubordination	bo'ysunmaslik	0.281	0.775	0.634
insufferable	etishmasligi	0.220	0.784	0.291
insufficiency	etishmovchilik	0.115	0.431	0.210
insufficient	kam	0.188	0.380	0.093
insufficiently	etarli emas	0.147	0.509	0.198
insular	insular	0.531	0.426	0.465
insulate	izolyatsiya qilish	0.365	0.358	0.286
insulated	izolyatsiya	0.208	0.265	0.304
insulation	izolyatsiya	0.245	0.327	0.264
insulin	insulin	0.429	0.472	0.375
insult	haqorat qilish	0.085	0.831	0.389
insulting	tahqirlash	0.094	0.840	0.412
insurance	sug'urta	0.714	0.308	0.825
insure	sug'urta qilish	0.700	0.415	0.698
insurgent	isyonkor	0.235	0.735	0.660
insurmountable	erisha olmaydigan	0.620	0.627	0.737
insurrection	isyon	0.229	0.706	0.582
intact	buzilmagan	0.716	0.212	0.602
intake	sotib olish	0.604	0.527	0.442
intangible	moddiy bo'lmagan	0.525	0.480	0.473
integer	tamsayı	0.573	0.327	0.595
integral	integral	0.590	0.337	0.615
integrate	integratsiya	0.729	0.390	0.700
integration	integratsiya	0.771	0.480	0.737
integrity	butunlikni	0.865	0.413	0.848
intellect	aql	0.844	0.418	0.870
intellectual	intellektual	0.906	0.455	0.845
intelligence	razvedka	0.833	0.587	0.885
intelligent	aqlli	0.917	0.541	0.868
intelligibility	tushunarli	0.740	0.481	0.689
intelligible	tushunarli	0.635	0.480	0.691
intend	niyat qilish	0.562	0.520	0.519
intended	mo'ljallangan	0.406	0.542	0.587
intending	intilmoqdalar	0.510	0.567	0.597
intense	qizg'in	0.592	0.774	0.679
intensely	intensiv ravishda	0.694	0.846	0.750
intensify	intensivlashtirish	0.604	0.870	0.737
intensity	zo'ravonlik	0.622	0.930	0.952
intensive	intensiv	0.570	0.842	0.776
intent	niyat	0.550	0.481	0.500
intention	niyat	0.531	0.480	0.636
intentional	maqsadli	0.650	0.615	0.750
intentionally	qasddan	0.450	0.676	0.696
inter	interval	0.510	0.375	0.466
interact	ta'sir o'tkazish	0.822	0.690	0.759
interaction	shovqin	0.646	0.735	0.750
interactive	interaktiv	0.727	0.811	0.770
intercede	shafoat qilish	0.582	0.577	0.630
intercept	to'xtatish	0.221	0.660	0.676
interception	ushlab turish	0.327	0.673	0.643
intercession	shafoat	0.503	0.486	0.598
interchange	almashish	0.615	0.527	0.565
interchangeable	o'zgarishi mumkin	0.615	0.459	0.526
interchanged	almashtirildi	0.396	0.472	0.434
intercom	interkom	0.623	0.429	0.453
intercourse	munosabatlar	0.551	0.608	0.557
interdependence	o'zaro bog'liqlik	0.608	0.618	0.639
interdependent	o'zaro bog'liq	0.410	0.482	0.598
interdiction	taqiqlash	0.337	0.500	0.585
interest	qiziqish	0.780	0.667	0.618
interested	manfaatdor	0.750	0.529	0.725
interesting	qiziqarli	0.927	0.726	0.731
interface	interfeys	0.643	0.357	0.600
interfere	aralashish	0.323	0.714	0.471
interference	shovqin	0.396	0.736	0.357
interferometer	interferometr	0.510	0.510	0.517
intergalactic	intergalaktik	0.562	0.661	0.741
interim	vaqtinchalik	0.604	0.400	0.524
interior	ichki makon	0.618	0.157	0.462
interject	interject	0.333	0.648	0.658
interlocutory	intervyu	0.490	0.500	0.527
interlude	interlude	0.470	0.417	0.377
intermediary	vositachi	0.427	0.510	0.643
intermediate	oraliq	0.480	0.368	0.400
interment	interment	0.235	0.608	0.346
interminable	mumkin emas	0.327	0.481	0.561
intermission	uzilishlar	0.490	0.360	0.402
intermittent	intervalgacha	0.337	0.565	0.436
intern	stajyor	0.459	0.460	0.392
internal	ichki	0.439	0.349	0.423
internally	ichki sifatida	0.615	0.400	0.616
international	xalqaro	0.800	0.519	0.702
internet	internet	0.760	0.462	0.755
internship	amaliyot	0.590	0.510	0.482
interoffice	interfaksiya	0.439	0.375	0.556
interpolate	interpolyatsiya qilish	0.460	0.490	0.569
interpolation	interpolyatsiya	0.419	0.506	0.528
interpret	sharhlaydi	0.646	0.625	0.673
interpretation	talqin qilish	0.677	0.594	0.620
interpreter	tarjimon	0.708	0.461	0.596
interpretive	izohli	0.531	0.549	0.595
interrelated	o'zaro bog'liq	0.615	0.469	0.592
interrogate	so'roq qilish	0.323	0.808	0.680
interrogation	so'roq qilish	0.302	0.827	0.657
interrupt	to'xtatish	0.210	0.635	0.509
interrupted	to'xtadi	0.281	0.559	0.333
interrupting	to'xtatish	0.146	0.593	0.509
interruption	uzilishlar	0.184	0.632	0.425
interrupts	uzilishlar	0.204	0.545	0.389
intersect	kesish	0.521	0.510	0.480
intersection	kesishishi	0.344	0.541	0.658
interstate	davlatlararo	0.520	0.443	0.600
interstellar	yulduzlararo	0.708	0.702	0.622
interstitial	interstitial	0.333	0.471	0.534
interval	oralig'i	0.510	0.284	0.400
intervene	aralashish	0.520	0.677	0.768
intervening	aralashish	0.398	0.627	0.442
intervention	aralashuv	0.388	0.696	0.689
interview	suhbat	0.573	0.770	0.619
interviewer	suhbatdosh	0.552	0.736	0.816
interworking	o'zaro faoliyat	0.552	0.587	0.691
intestate	intestat	0.459	0.467	0.415
intestinal	ichak	0.357	0.531	0.370
intestine	ichak	0.343	0.450	0.380
intestines	ichaklar	0.292	0.547	0.398
intimacy	yaqinlik	0.857	0.802	0.558
intimate	samimiy	0.724	0.598	0.393
intimately	yaqin	0.806	0.573	0.590
intimation	intimatsiya	0.406	0.673	0.500
intimidate	qo'rqitmoq	0.210	0.804	0.632
intimidated	qo'rqitgan	0.177	0.663	0.208
intimidating	qo'rqitmoqda	0.229	0.790	0.708
intimidation	qo'rqitish	0.177	0.791	0.644
intolerable	chidamsiz	0.146	0.660	0.439
intolerance	intolerans	0.052	0.704	0.520
intolerant	chidamsiz	0.135	0.676	0.509
intonation	intonatsiya	0.615	0.442	0.598
intoxicated	mast	0.079	0.824	0.246
intoxicating	mast	0.224	0.760	0.464
intoxication	zaharlanish	0.323	0.710	0.400
intracranial	intrakranial	0.281	0.602	0.553
intractable	mumkin emas	0.154	0.694	0.302
intramural	intramural	0.490	0.464	0.447
intravenous	intravenöz	0.357	0.538	0.458
intrepid	jirkanch	0.753	0.696	0.637
intricate	murakkab	0.559	0.704	0.500
intrigue	qiziqqonlik	0.362	0.830	0.327
intriguing	qiziqarli	0.422	0.713	0.462
intrinsic	ichki	0.406	0.471	0.526
intrinsically	o'z-o'zidan	0.459	0.382	0.538
intro	intro	0.510	0.331	0.657
introduce	tanitish	0.592	0.559	0.648
introduction	Kirish	0.612	0.413	0.640
introductory	kirish	0.635	0.368	0.593
introspection	introspektsiya	0.603	0.337	0.575
introspective	introspektiv	0.552	0.360	0.471
intrude	intrude	0.058	0.735	0.480
intruder	tajovuzkor	0.146	0.740	0.324
intrusion	tajovuz	0.293	0.641	0.670
intrusive	tajovuzkor	0.461	0.607	0.538
intubation	entübasyon	0.276	0.598	0.526
intuition	sezgi	0.857	0.508	0.602
intuitive	intuitiv	0.771	0.573	0.690
intuitively	intuitiv ravishda	0.670	0.561	0.648
inundation	suv ostida qolishi	0.177	0.780	0.455
invade	ishg'ol qilish	0.408	0.892	0.714
invader	bosqinchi	0.200	0.827	0.618
invalid	yaroqsiz	0.180	0.330	0.255
invalidate	bekor qilish	0.315	0.480	0.397
invalidation	bekor qilish	0.181	0.490	0.278
invalidity	nogironlik	0.186	0.394	0.158
invaluable	qimmatbaho	0.740	0.500	0.745
invariably	o'zgarmas	0.458	0.365	0.550
invasion	ishg'ol qilish	0.271	0.843	0.808
invasive	invaziv	0.194	0.730	0.598
invent	ixtiro qilish	0.719	0.689	0.833
invention	kashfiyot	0.714	0.577	0.811
inventive	ijodkor	0.780	0.627	0.721
inventor	kashfiyotchi	0.781	0.667	0.847
inventory	inventarizatsiyadan	0.594	0.463	0.490
inverse	teskari	0.459	0.337	0.319
inversely	teskari ravishda	0.286	0.418	0.351
inversion	inversiyon	0.602	0.630	0.772
invert	Invert	0.510	0.585	0.706
inverted	teskari	0.310	0.471	0.357
invest	investitsiya	0.650	0.663	0.682
investigate	o'rganing	0.640	0.500	0.781
investigation	tergov	0.531	0.592	0.820
investigative	tergov	0.562	0.600	0.704
investigator	tergovchi	0.615	0.509	0.779
investment	sarmoya	0.720	0.592	0.745
investor	investor	0.794	0.655	0.791
invidious	noqulay	0.112	0.650	0.364
invigorate	jonlantiring	0.821	0.798	0.831
invincible	yenilmez	0.867	0.853	0.914
invisibility	ko'rinmaslik	0.438	0.461	0.382
invisible	ko'rinmas	0.417	0.345	0.412
invitation	taklifnoma	0.802	0.549	0.647
invite	taklif qiling	0.745	0.655	0.611
inviting	taklif qilish	0.938	0.571	0.538
invocation	chaqiruv	0.430	0.620	0.673
invoice	hisob-faktura	0.480	0.380	0.474
invoke	chaqiring	0.583	0.740	0.579
involuntary	majburiy emas	0.354	0.490	0.231
involution	involution	0.296	0.420	0.407
involve	ishtirok etish	0.694	0.490	0.728
involvement	ishtiroki	0.760	0.620	0.696
invulnerable	zararli emas	0.552	0.683	0.745
inwards	ichkariga qarab	0.490	0.385	0.438
iodine	yod	0.390	0.265	0.333
ion	ion	0.429	0.330	0.408
iota	iota	0.344	0.385	0.314
irate	irate	0.188	0.852	0.474
ire	NO TRANSLATION	0.198	0.740	0.575
iridescent	iridescent	0.602	0.588	0.539
iris	iris	0.708	0.275	0.380
irked	irkildi	0.164	0.791	0.353
irks	irks	0.276	0.781	0.339
iron	temir moddasi	0.448	0.351	0.679
ironclad	temir taxta	0.561	0.648	0.679
ironic	jirkanch	0.435	0.550	0.500
irons	dazmollardir	0.531	0.441	0.625
irony	ironi	0.390	0.587	0.508
irradiation	nurlanish	0.385	0.736	0.509
irrational	irratsional	0.125	0.648	0.394
irrationality	irratsionallik	0.198	0.735	0.361
irreconcilable	murosasiz	0.146	0.667	0.375
irreducible	mumkin emas	0.296	0.455	0.569
irrefutable	e'tirozsiz	0.496	0.549	0.716
irregular	tartibsizlik	0.312	0.548	0.321
irregularity	usulsüzlük	0.104	0.647	0.306
irregularly	muntazam ravishda	0.292	0.565	0.397
irrelevant	ahamiyatsiz	0.138	0.311	0.296
irreparable	tuzatib bo'lmaydigan	0.061	0.530	0.430
irreplaceable	o'zgarmaydi	0.479	0.580	0.833
irrepressible	bosimsiz	0.512	0.566	0.745
irresistible	chidamsiz	0.823	0.833	0.839
irrespective	mustaqil ravishda	0.497	0.538	0.745
irresponsible	mas'uliyatsiz	0.177	0.680	0.241
irreverent	hurmatsizlik	0.191	0.694	0.634
irreversible	qaytarilmas	0.170	0.541	0.667
irrevocable	qaytarilmaydigan	0.296	0.560	0.712
irrigate	sug'orish	0.272	0.458	0.490
irrigation	sug'orish	0.259	0.426	0.426
irritability	asabiylashish	0.146	0.853	0.283
irritable	irritativ	0.112	0.952	0.462
irritate	tirnash	0.167	0.890	0.368
irritated	g'azablangan	0.210	0.816	0.281
irritates	bezovta qiladi	0.173	0.810	0.295
irritating	bezovta qilmoqda	0.104	0.912	0.393
irritation	tirnash xususiyati	0.073	0.833	0.496
island	orol	0.745	0.347	0.432
isle	Isle	0.667	0.390	0.443
islet	adalov	0.612	0.314	0.367
isolate	izolyatsiya qilish	0.235	0.422	0.336
isolated	izolyatsiya qilingan	0.221	0.356	0.255
isolation	izolyatsiya	0.198	0.338	0.339
isomorphism	izomorfizm	0.448	0.361	0.481
isothermal	izotermik	0.459	0.491	0.500
isotope	izotoplar	0.429	0.404	0.407
issue	nashr	0.316	0.819	0.351
itch	qichima	0.319	0.610	0.465
itching	qichimish	0.208	0.690	0.300
itchy	qichiydigan	0.334	0.726	0.296
