Word	Hmong-hmn	Valence	Arousal	Dominance
grieve	kev quaj ntsuag	0.122	0.500	0.333
grieved	grieved	0.104	0.460	0.191
grieving	grieving	0.093	0.673	0.403
grievous	grievous	0.146	0.640	0.179
griffin	griffin	0.418	0.337	0.360
grill	hniav nyiaj hniav kub	0.755	0.491	0.546
grille	grille	0.337	0.327	0.246
grilled	grilled	0.702	0.500	0.373
grim	grim	0.310	0.483	0.298
grime	grime	0.198	0.500	0.225
grimy	grimy	0.112	0.597	0.283
grin	grin	0.885	0.570	0.491
grind	grind	0.480	0.276	0.397
grinder	grinder	0.459	0.615	0.561
grinding	sib tsoo	0.415	0.450	0.461
grindstone	grindstone	0.541	0.453	0.526
gringo	gringo	0.540	0.452	0.510
grip	tuav	0.520	0.549	0.602
gripe	gripe	0.184	0.526	0.241
grisly	grisly	0.083	0.863	0.426
grist	grist	0.317	0.391	0.363
grit	zeb	0.449	0.296	0.345
grits	grits	0.458	0.333	0.346
gritty	gritty	0.417	0.373	0.375
grizzly	grizzly	0.398	0.679	0.657
groan	ntsaj	0.396	0.750	0.351
grocer	tajlaj	0.625	0.250	0.382
groceries	khoom noj	0.740	0.363	0.417
grocery	tajlaj	0.687	0.540	0.446
groggy	groggy	0.235	0.265	0.194
groin	puab tais	0.296	0.452	0.364
groom	nraug vauv	0.698	0.500	0.605
groove	zawj	0.552	0.448	0.361
groovy	groovy	0.615	0.538	0.464
grope	grope	0.420	0.559	0.358
gross	tag nrho	0.115	0.575	0.181
grotesque	grotesque	0.135	0.788	0.500
grotto	grotto	0.510	0.394	0.336
grouch	grouch	0.342	0.593	0.411
grouchy	grouchy	0.143	0.708	0.407
ground	av	0.398	0.343	0.602
grounded	grounded	0.531	0.601	0.509
groundhog	thaj chaw	0.385	0.324	0.377
grounding	av	0.521	0.452	0.591
groundless	tsis txawj	0.333	0.535	0.387
grounds	thaj chaw	0.667	0.500	0.598
groundwork	kev ua haujlwm	0.500	0.375	0.593
group	pab pawg	0.573	0.423	0.480
groupie	pab pawg	0.521	0.583	0.393
grouping	grouping	0.745	0.580	0.698
grouse	grouse	0.448	0.401	0.412
grout	grout	0.405	0.356	0.366
grove	Grove	0.604	0.245	0.417
grovel	grovel	0.360	0.500	0.414
grow	loj tuaj	0.914	0.615	0.755
growl	loj hlob	0.194	0.764	0.482
growling	loj hlob tuaj	0.119	0.887	0.475
growls	loj hlob	0.125	0.675	0.442
grownup	loj hlob	0.735	0.400	0.683
growth	kev loj hlob	0.917	0.588	0.776
growthefuckup	kev loj hlob	0.229	0.692	0.426
grr	grr	0.229	0.538	0.333
grrr	grrr	0.271	0.755	0.327
grrrrr	grrrrr	0.281	0.633	0.444
grub	grub	0.602	0.406	0.355
grubby	grubby	0.156	0.583	0.176
grudge	grudge	0.115	0.647	0.414
grudging	grudging	0.092	0.636	0.473
grudgingly	grudgingly	0.156	0.610	0.292
gruel	gruel	0.382	0.304	0.297
grueling	grueling	0.180	0.763	0.704
gruesome	kev ntxhov siab	0.094	0.837	0.474
gruff	gruff	0.323	0.611	0.472
grumble	grumble	0.101	0.750	0.333
grump	zeeg	0.260	0.469	0.425
grumpy	grumpy	0.198	0.808	0.559
grunt	grunt	0.286	0.798	0.392
grunting	grunting	0.198	0.827	0.481
guacamole	guacamole	0.684	0.317	0.282
guano	guano	0.296	0.343	0.191
guarantee	lav	0.949	0.337	0.805
guaranty	lav	0.646	0.337	0.818
guard	tus neeg zov	0.592	0.510	0.725
guarded	saib xyuas	0.758	0.686	0.500
guardhouse	tub ceev xwm	0.510	0.435	0.770
guardian	tus saib xyuas	0.656	0.686	0.789
guardianship	kev saib xyuas	0.592	0.370	0.681
guards	tiv thaiv	0.448	0.663	0.720
gubernatorial	lub koom haum	0.552	0.604	0.897
guerilla	NO TRANSLATION	0.146	0.845	0.727
guerrilla	guerrilla	0.219	0.917	0.792
guess	twv	0.640	0.463	0.442
guesser	guesser	0.542	0.670	0.535
guesswork	guesswork	0.417	0.451	0.405
guest	qhua	0.719	0.490	0.558
guesthouse	tsev qhua	0.729	0.337	0.406
guidance	kev taw qhia	0.729	0.471	0.718
guide	phau ntawv qhia	0.688	0.315	0.620
guidebook	phau ntawv qhia	0.677	0.260	0.427
guidelines	cov txheej txheem	0.459	0.500	0.664
guiding	cob qhia	0.667	0.520	0.714
guild	guild	0.580	0.459	0.729
guile	guile	0.410	0.417	0.467
guillotine	guillotine	0.163	0.817	0.585
guilt	txhaum	0.208	0.567	0.206
guilty	txhaum	0.135	0.770	0.352
guinea	guinea	0.521	0.440	0.396
guise	guise	0.531	0.547	0.324
guitar	guitar	0.844	0.542	0.469
guitarist	guitarist	0.827	0.740	0.549
gules	gules	0.469	0.443	0.340
gulf	gulf	0.520	0.365	0.398
gull	gull	0.594	0.317	0.378
gullet	yuag	0.385	0.490	0.393
gullible	gullible	0.440	0.442	0.318
gully	tu siab	0.316	0.519	0.394
gulp	nqos	0.551	0.660	0.409
gum	cov pos hniav	0.573	0.227	0.213
gumbo	gumbo	0.500	0.422	0.361
gummy	gummy	0.521	0.302	0.291
gumption	gumption	0.480	0.538	0.488
gun	phom	0.147	0.920	0.713
gunboat	gunboat	0.139	0.663	0.618
gunfight	rab phom	0.051	0.961	0.700
gunfighter	rab phom	0.156	0.910	0.741
gunfire	rab phom	0.156	0.930	0.673
gunk	rab phom	0.250	0.478	0.219
gunman	phom phom	0.167	0.922	0.689
gunmen	riam phom	0.073	0.942	0.727
gunner	gunner	0.250	0.853	0.817
gunnery	gunnery	0.281	0.861	0.873
gunplay	gunplay	0.133	0.906	0.627
gunpoint	rab phom	0.188	0.817	0.719
gunpowder	rab phom	0.425	0.853	0.509
gunshot	rab phom	0.042	0.953	0.673
gunslinger	rab phom	0.316	0.873	0.811
gurney	gurney	0.408	0.304	0.352
guru	guru	0.573	0.360	0.653
gush	gush	0.510	0.490	0.381
gusher	gusher	0.406	0.520	0.453
gusset	gusset	0.427	0.425	0.423
gust	muaj zog	0.490	0.755	0.556
gusto	NO TRANSLATION	0.692	0.729	0.620
gusty	gusty	0.687	0.631	0.455
gut	plab	0.408	0.367	0.364
gutless	gutless	0.250	0.381	0.384
guts	siab tawv	0.592	0.649	0.582
gutsy	gutsy	0.635	0.573	0.536
gutter	gutter	0.466	0.260	0.400
guy	txiv leej tub	0.583	0.367	0.546
guzzler	guzzler	0.393	0.537	0.436
guzzling	guzzling	0.460	0.490	0.380
gym	gym	0.635	0.690	0.613
gymnasium	gymnasium	0.667	0.561	0.474
gymnast	kev ua si gymnast	0.670	0.760	0.558
gymnastic	gymnastic	0.810	0.706	0.604
gymnastics	gymnastics	0.745	0.677	0.508
gynecologist	ginecologist	0.552	0.566	0.682
gynecology	gynecology	0.408	0.590	0.519
gypsy	Gypsy	0.375	0.665	0.396
gyroscope	gyroscope	0.500	0.390	0.510
habit	cwj pwm	0.625	0.226	0.585
habitat	chaw nyob	0.633	0.343	0.553
habitation	qhov chaw nyob	0.781	0.231	0.538
habitual	habitual	0.527	0.208	0.490
habitually	habitually	0.600	0.324	0.583
hacienda	hacienda	0.688	0.402	0.573
hack	hack	0.135	0.717	0.534
hacker	hacker	0.271	0.755	0.740
hacksaw	hacksaw	0.406	0.645	0.537
hadenough	NO TRANSLATION	0.323	0.566	0.529
hag	taw qhia	0.188	0.695	0.411
haggard	haggard	0.115	0.510	0.246
haggle	haggle	0.480	0.601	0.461
haiku	haiku	0.583	0.356	0.392
hail	lawg	0.459	0.627	0.411
hair	plaub hau	0.582	0.186	0.286
hairball	hairball	0.370	0.302	0.315
hairbrush	plaub hau txhuam	0.454	0.216	0.263
haircut	plaub hau	0.677	0.343	0.307
hairdo	hairdo	0.552	0.320	0.435
hairdresser	tus kws caws plaub hau	0.708	0.509	0.407
hairdryer	hairdryer	0.642	0.402	0.330
hairless	hairless	0.136	0.235	0.139
hairline	kab plaub hau	0.418	0.154	0.230
hairpin	hairpin	0.459	0.363	0.370
hairspray	hairspray	0.549	0.279	0.269
hairstyle	hairstyle	0.771	0.380	0.433
hairy	plaub hau	0.542	0.380	0.343
hale	hale	0.479	0.435	0.500
half	ib nrab	0.500	0.274	0.276
half dollar	ib nrab duas	0.573	0.408	0.509
halfback	halfback	0.490	0.429	0.440
halftime	halftime	0.458	0.352	0.429
halfway	halfway	0.510	0.254	0.339
halibut	halibut	0.449	0.412	0.411
hall	nrog	0.510	0.340	0.424
hallelujah	hallelujah	0.770	0.554	0.657
hallmark	txoj cai	0.646	0.315	0.411
hallowed	kev cai	0.740	0.500	0.728
hallucination	kev xav pom	0.396	0.706	0.370
hallway	kev hauv tsev	0.573	0.230	0.279
halo	Halo	0.490	0.370	0.441
halt	nres	0.167	0.360	0.432
halter	Halter	0.448	0.451	0.431
halting	halting	0.255	0.596	0.519
halve	hma	0.316	0.347	0.302
halving	Halving	0.292	0.474	0.366
ham	Ham	0.673	0.245	0.404
hamburger	hamburger	0.809	0.551	0.387
hamlet	hamlet	0.573	0.270	0.397
hammer	rauj	0.312	0.509	0.563
hammerhead	hammerhead	0.337	0.490	0.569
hammering	hammering	0.347	0.779	0.557
hammock	hma	0.673	0.255	0.287
hamper	hamper	0.204	0.711	0.473
hamster	Hamster	0.520	0.394	0.349
hamstring	hamstring	0.406	0.471	0.443
hand	tes	0.542	0.314	0.434
handbag	hnab tes	0.562	0.240	0.336
handball	pob tesniv	0.561	0.493	0.440
handbook	phau ntawv	0.600	0.224	0.567
handcuff	handcuff	0.310	0.590	0.593
handful	handful	0.521	0.481	0.400
handgun	yaj tes	0.156	0.914	0.782
handheld	handheld	0.646	0.350	0.586
handicap	tsis taus	0.133	0.394	0.264
handicapped	tsis taus	0.204	0.467	0.180
handicraft	handicraft	0.724	0.333	0.565
handiwork	ua haujlwm	0.753	0.430	0.410
handkerchief	khaub hlab	0.510	0.192	0.219
handle	kov	0.698	0.571	0.558
handler	handler	0.439	0.593	0.861
handmade	xuas tes ua	0.776	0.383	0.475
handout	ntawv qhia	0.560	0.330	0.545
handprint	xuas tes ntxuav	0.635	0.289	0.463
handshake	sib tuav tes	0.816	0.654	0.492
handsome	zoo nraug	0.890	0.600	0.682
handwriting	thiab nyeem tau	0.615	0.378	0.381
handy	muab rau	0.741	0.378	0.639
handyman	muab phom	0.660	0.373	0.393
hang	dai	0.323	0.529	0.446
hangar	hangar	0.490	0.456	0.481
hanger	khuam khawb	0.439	0.462	0.461
hanging	dai	0.378	0.471	0.389
hangman	hangman	0.153	0.877	0.555
hangout	hangout	0.573	0.500	0.462
hangover	hangover	0.188	0.565	0.267
hangry	hangry	0.219	0.794	0.279
hank	hank	0.510	0.375	0.339
hankering	hankering	0.604	0.540	0.558
hanky	hanky	0.460	0.276	0.250
hap	NO TRANSLATION	0.503	0.431	0.453
haphazard	haphazard	0.469	0.530	0.324
hapless	hapless	0.271	0.442	0.193
happen	tshwm sim	0.677	0.670	0.551
happening	tshwm sim	0.646	0.529	0.555
happier	zoo siab dua	0.990	0.760	0.806
happiest	happiest	0.990	0.716	0.746
happily	zoo siab	1.000	0.690	0.674
happiness	zoo siab	0.960	0.732	0.850
happy	zoo siab	1.000	0.735	0.772
happydance	zoo siab	0.857	0.760	0.582
happyday	zoo siab	0.929	0.650	0.663
happyheart	zoo siab	0.949	0.575	0.605
happyholidays	NO TRANSLATION	0.927	0.740	0.637
happynewyear	NO TRANSLATION	0.969	0.815	0.559
happyplace	NO TRANSLATION	0.938	0.589	0.645
happytweet	NO TRANSLATION	0.847	0.588	0.437
happyvalentinesday	NO TRANSLATION	0.929	0.784	0.509
harass	ua phem	0.160	0.775	0.620
harassing	ua phem	0.120	0.873	0.446
harassment	ua phem	0.083	0.896	0.420
harbinger	ntxeev siab	0.490	0.389	0.692
harbor	chaw nres nkoj	0.594	0.356	0.634
hard	nyuaj	0.302	0.708	0.616
hardball	hardball	0.542	0.667	0.452
hardcore	hardcore	0.250	0.721	0.585
harden	nyuab	0.276	0.598	0.677
hardened	sib zog	0.406	0.618	0.764
hardening	hardening	0.388	0.673	0.741
hardheaded	tawv taub hau	0.156	0.699	0.571
hardness	hardness	0.417	0.580	0.745
hardship	kev txom nyem	0.094	0.775	0.482
hardware	kho vajtse	0.594	0.289	0.686
hardwood	nyuaj	0.417	0.363	0.518
hardworking	kev ua haujlwm	0.719	0.583	0.792
hardy	tsis muaj zog	0.571	0.569	0.810
hare	hare	0.620	0.410	0.345
harebrained	raug mob	0.296	0.551	0.436
harem	harem	0.521	0.578	0.582
hark	hark	0.571	0.500	0.398
harlot	harlot	0.198	0.798	0.330
harm	tsim txom	0.073	0.679	0.423
harmful	teeb meem	0.094	0.750	0.291
harmless	tsis ua cas	0.625	0.226	0.241
harmonica	harmonica	0.847	0.235	0.510
harmonics	harmonics	0.865	0.400	0.575
harmonious	sib haum xeeb	0.938	0.391	0.719
harmoniously	sib haum xeeb	0.969	0.265	0.647
harmonize	sib haum xeeb	0.939	0.461	0.609
harmony	sib haum xeeb	0.949	0.230	0.509
harness	koom siab	0.570	0.549	0.508
harp	sau ntawv	0.618	0.310	0.356
harper	harper	0.417	0.454	0.435
harpoon	ntxeev	0.490	0.700	0.557
harpsichord	ntxeev	0.541	0.490	0.438
harrowing	hneev	0.209	0.810	0.474
harry	Harry	0.520	0.409	0.390
harsh	hnyav	0.250	0.650	0.623
harshness	hnyav	0.323	0.600	0.779
hart	hart	0.643	0.389	0.447
harvest	sau	0.781	0.353	0.548
hash	hash	0.344	0.453	0.355
hashish	hashish	0.370	0.570	0.358
hassle	hassle	0.177	0.740	0.489
haste	tsuag tsuag	0.378	0.745	0.500
hasten	mob ceev ceev	0.571	0.750	0.618
hastily	mob siab	0.271	0.609	0.609
hasty	mob siab	0.188	0.885	0.424
hat	kaus mom	0.604	0.183	0.353
hatch	hatch	0.479	0.653	0.402
hatchet	khawm	0.333	0.608	0.500
hate	ntxub	0.031	0.802	0.430
hateeee	NO TRANSLATION	0.219	0.606	0.368
hateeveryone	NO TRANSLATION	0.041	0.840	0.429
hateful	ntxub	0.071	0.819	0.430
hater	hater	0.052	0.702	0.422
hateyou	NO TRANSLATION	0.125	0.735	0.464
hating	ntxub	0.083	0.820	0.434
hatred	ntxub	0.037	0.847	0.424
haughty	haughty	0.240	0.708	0.588
haul	haul	0.551	0.564	0.453
haulage	haulage	0.561	0.510	0.650
haunt	hma	0.288	0.676	0.576
haunted	haunted	0.264	0.731	0.520
have	muaj	0.757	0.389	0.593
haven	Haven	0.684	0.265	0.547
havoc	hmoov zoo	0.163	0.769	0.535
haw	poj niam	0.406	0.426	0.431
hawk	pojniam	0.583	0.530	0.631
hawking	ua pa	0.521	0.509	0.491
hay	NO TRANSLATION	0.469	0.212	0.343
haye	haye	0.615	0.451	0.336
hayride	kev zoo siab	0.561	0.521	0.464
haystack	nyab xeeb	0.552	0.292	0.331
haywire	haywire	0.358	0.545	0.430
hazard	teeb meem	0.112	0.884	0.757
hazardous	tsim txom	0.061	0.750	0.670
haze	haze	0.427	0.327	0.217
hazmat	tuag	0.398	0.479	0.519
hazy	hazy	0.450	0.433	0.230
head	taub hau	0.530	0.472	0.558
headache	mob taub hau	0.168	0.755	0.273
headaches	mob taub hau	0.104	0.720	0.259
headband	headband	0.670	0.469	0.527
headdress	headdress	0.594	0.408	0.443
header	header	0.560	0.398	0.740
headgear	tsom iav	0.542	0.442	0.571
heading	nqe lus	0.551	0.292	0.642
headland	headland	0.574	0.551	0.430
headless	headless	0.136	0.582	0.235
headlight	taws teeb	0.592	0.343	0.393
headline	tawm xov xwm	0.630	0.241	0.685
headliner	headliner	0.500	0.490	0.625
headlock	headlock	0.448	0.538	0.560
headlong	headlong	0.354	0.548	0.409
headmaster	headmaster	0.604	0.564	0.865
headphones	headphones	0.600	0.357	0.336
headquarter	headquarter	0.615	0.269	0.525
headquarters	lub hauv paus chaw huaj lwm	0.615	0.271	0.525
headset	pob ntseg	0.602	0.340	0.302
headstone	taub hau	0.240	0.378	0.349
headstrong	headstrong	0.310	0.714	0.500
headway	pib ntawm	0.823	0.464	0.745
heady	heady	0.448	0.806	0.565
heal	zoo	0.765	0.245	0.556
healer	healer	0.863	0.378	0.741
healing	zoo	0.750	0.452	0.585
health	kev noj qab haus huv	0.935	0.427	0.551
healthcare	kev kho mob	0.780	0.392	0.630
healthful	noj qab haus huv	0.930	0.315	0.769
healthy	noj qab haus huv	0.938	0.319	0.818
heap	heap	0.582	0.510	0.474
hear	hnov	0.760	0.429	0.444
hearer	mloog	0.656	0.281	0.415
hearing	lub rooj sib hais	0.669	0.490	0.595
hearsay	hnov lus	0.288	0.623	0.333
hearse	hnov	0.177	0.490	0.324
heart	lub plawv	0.827	0.500	0.693
heart disease	kab mob plawv	0.250	0.750	0.386
heartache	mob siab	0.088	0.750	0.291
heartattack	NO TRANSLATION	0.156	0.839	0.455
heartbeat	lub plawv dhia	0.750	0.698	0.585
heartbreak	lub plawv	0.208	0.610	0.245
heartbreaker	heartbreaker	0.265	0.685	0.580
heartbreaking	heartbreaking	0.146	0.811	0.423
heartbroken	heartbroken	0.082	0.551	0.235
heartburn	kub siab	0.143	0.613	0.398
hearted	hnov	0.823	0.410	0.805
heartfelt	heartfelt	0.904	0.440	0.540
hearth	hearth	0.760	0.275	0.536
heartily	heartily	0.927	0.531	0.664
heartland	heartland	0.812	0.510	0.675
heartless	lub siab	0.071	0.652	0.400
hearts	lub siab	0.948	0.592	0.634
heartsick	lub siab	0.240	0.388	0.208
heartworm	heartworm	0.333	0.550	0.430
hearty	kev quaj ntsuag	0.760	0.684	0.792
heat	tshav kub	0.534	0.612	0.433
heated	rhuab	0.479	0.497	0.542
heater	rhaub	0.500	0.573	0.538
heath	heath	0.802	0.387	0.546
heathen	heathen	0.194	0.529	0.491
heather	heather	0.500	0.352	0.407
heating	cua sov	0.647	0.491	0.537
heave	heave	0.716	0.588	0.664
heaven	saum ntuj ceeb tsheej	0.896	0.385	0.600
heavenly	saum ntuj ceeb tsheej	0.844	0.452	0.712
heavens	saum ntuj ceeb tsheej	0.806	0.273	0.683
heavily	hnyav ncawv	0.542	0.679	0.814
heaviness	hnyav heev	0.219	0.549	0.318
heaving	hnyav heev	0.201	0.843	0.491
heavy	hnyav	0.250	0.454	0.600
heavy metal	hnyav hlau	0.417	0.755	0.621
heavyweight	hnyav	0.429	0.578	0.713
heck	heck	0.240	0.728	0.560
hectares	hectares	0.570	0.250	0.471
hectic	hectic	0.167	0.811	0.438
hedge	hedge	0.604	0.602	0.569
hedgehog	hedgehog	0.458	0.491	0.377
hedonism	hedonism	0.510	0.500	0.608
hee	hee	0.430	0.433	0.312
heed	mloog	0.750	0.490	0.569
heel	luj	0.480	0.350	0.385
heels	luj taws	0.500	0.439	0.396
heft	heft	0.503	0.340	0.530
hefty	hefty	0.550	0.654	0.745
hegemonic	hegemonic	0.462	0.519	0.558
heheh	NO TRANSLATION	0.625	0.510	0.278
heifer	nws nyuj	0.439	0.443	0.321
height	qhov siab	0.677	0.608	0.648
heighten	kom siab	0.755	0.622	0.765
heightened	nce siab	0.592	0.529	0.788
heinous	siab phem	0.133	0.792	0.471
heir	txais cuab yeej	0.840	0.654	0.764
heiress	heiress	0.827	0.571	0.676
heirloom	heirloom	0.684	0.375	0.745
heirs	heirs	0.796	0.519	0.698
heist	heist	0.184	0.850	0.645
helical	helical	0.379	0.429	0.468
helicopter	nyoob hoom qav taub	0.714	0.806	0.617
helipad	helipad	0.780	0.637	0.573
heliport	heliport	0.594	0.604	0.527
helium	helium	0.490	0.316	0.304
helix	helix	0.521	0.462	0.509
hell	ntuj raug txim	0.020	0.918	0.565
hellfire	ntuj raug txim	0.143	0.890	0.618
hellhole	hellhole	0.200	0.615	0.421
hellish	hellish	0.125	0.860	0.545
helm	helm	0.511	0.450	0.615
helmet	kaus mom hlau	0.573	0.327	0.402
helmsman	helmsman	0.490	0.441	0.647
help	pab	0.673	0.471	0.460
helper	tus neeg pab	0.704	0.438	0.567
helpful	pab tau	0.816	0.337	0.705
helpless	tsis paub pab	0.104	0.420	0.214
helplessness	tsis muaj kev vam	0.087	0.480	0.250
hem	NO TRANSLATION	0.562	0.283	0.291
hematite	hematite	0.448	0.389	0.342
hematoma	hematoma	0.146	0.600	0.398
hemi	hemi	0.510	0.363	0.342
hemisphere	hemisphere	0.531	0.367	0.598
hemispheric	hemispheric	0.562	0.449	0.603
hemlock	hemlock	0.438	0.350	0.434
hemoglobin	hemoglobin	0.469	0.481	0.418
hemorrhage	hemorrhage	0.031	0.849	0.426
hemorrhoids	hemorrhoids	0.133	0.702	0.304
hemostat	hemostat	0.388	0.442	0.464
hemp	hemp	0.469	0.439	0.422
hen	NO TRANSLATION	0.385	0.276	0.241
henceforth	henceforth	0.527	0.404	0.466
henhouse	henhouse	0.500	0.577	0.414
hepatitis	kab mob siab	0.055	0.596	0.358
herald	herald	0.643	0.382	0.500
heraldry	heraldry	0.550	0.520	0.607
herb	tshuaj ntsuab	0.643	0.418	0.353
herbaceous	herbaceous	0.560	0.220	0.310
herbal	tshuaj ntsuab	0.592	0.255	0.390
herbarium	herbarium	0.602	0.188	0.327
herbs	tshuaj ntsuab	0.620	0.299	0.308
herd	herd	0.592	0.500	0.474
hereditary	koom nrog	0.531	0.600	0.737
heredity	heredity	0.704	0.445	0.818
heresy	heresy	0.265	0.765	0.443
heretic	heretic	0.090	0.710	0.447
heretical	heretical	0.229	0.630	0.487
heretofore	heretofore	0.479	0.388	0.385
hereunto	ntawm no	0.500	0.225	0.333
herewith	qhov no	0.450	0.360	0.415
heritage	cuab yeej cuab tam	0.842	0.512	0.815
hermaphrodite	hermaphrodite	0.480	0.684	0.481
hermeneutics	hermeneutics	0.406	0.577	0.562
hermit	hermit	0.271	0.337	0.351
hernia	hernia	0.146	0.486	0.223
hero	hero	0.940	0.806	0.881
heroic	heroic	0.890	0.770	0.912
heroics	heroics	0.865	0.673	0.894
heroin	tus nees ej	0.276	0.843	0.655
heroine	heroine	0.729	0.755	0.833
heroism	heroism	0.844	0.802	0.898
herpes	herpes	0.110	0.600	0.309
herpesvirus	herpesvirus	0.219	0.558	0.435
herring	herring	0.531	0.387	0.422
hertz	hertz	0.396	0.417	0.506
hesitant	tos	0.333	0.542	0.321
hesitate	yawg	0.459	0.548	0.232
hesitating	poob siab	0.265	0.528	0.240
hesitation	hesitation	0.286	0.396	0.217
hetero	hetero	0.589	0.405	0.435
heterogeneity	heterogeneity	0.439	0.450	0.556
heterosexual	heterosexual	0.561	0.612	0.557
hew	hew	0.417	0.470	0.377
hex	hex	0.410	0.510	0.363
hexagon	hexagon	0.542	0.226	0.425
heyday	heyday	0.646	0.680	0.673
hiatus	hiatus	0.479	0.294	0.352
hibernate	hibernate	0.500	0.317	0.431
hibernation	hibernation	0.469	0.245	0.384
hiccup	hiccup	0.271	0.549	0.240
hick	hick	0.357	0.442	0.314
hickey	hickey	0.448	0.529	0.345
hickory	hickory	0.520	0.490	0.415
hidden	muab zais	0.208	0.430	0.327
hide	nkaum	0.438	0.510	0.218
hideaway	nkaum	0.448	0.481	0.360
hideous	hideous	0.091	0.750	0.328
hideout	nkaum	0.337	0.443	0.302
hiding	nkaum	0.250	0.567	0.364
hierarchical	hierarchical	0.521	0.620	0.939
hierarchy	hierarchy	0.583	0.722	0.902
hieroglyphics	hieroglyphics	0.479	0.325	0.509
high	siab	0.684	0.510	0.614
high heels	siab luj	0.646	0.528	0.429
highball	highball	0.656	0.520	0.481
higher	siab dua	0.866	0.528	0.713
highest	siab tshaj	0.771	0.640	0.710
highland	highland	0.615	0.481	0.611
highlands	highlands	0.735	0.431	0.596
highlight	highlight	0.844	0.637	0.882
highness	Highness	0.740	0.670	0.931
hight	hight	0.667	0.637	0.645
hightail	hightail	0.448	0.480	0.481
highway	kev loj	0.640	0.583	0.425
hijack	hijack	0.042	0.908	0.594
hijacker	hijacker	0.104	0.953	0.683
hike	hike	0.615	0.442	0.538
hiker	hiker	0.694	0.802	0.644
hiking	hiking	0.820	0.843	0.670
hiking boot	hiking khau raj	0.657	0.353	0.446
hilarious	lom zem heev	0.750	0.640	0.537
hilarity	hilarity	0.745	0.480	0.575
hill	toj	0.615	0.353	0.518
hillside	hillside	0.625	0.292	0.458
hilltop	hilltop	0.688	0.643	0.787
hilly	caj dab	0.643	0.479	0.603
hilt	hilt	0.396	0.650	0.537
hind	hind	0.483	0.644	0.337
hinder	tabkaum	0.276	0.537	0.470
hindering	hindering	0.260	0.654	0.435
hindrance	hindrance	0.135	0.545	0.473
hindsight	hindsight	0.333	0.431	0.532
hinge	pob khawm	0.458	0.292	0.417
hint	hint	0.602	0.330	0.517
hinterland	hinterland	0.530	0.520	0.457
hip	duav	0.448	0.415	0.345
hip hop	hip plhaw	0.740	0.714	0.484
hippie	hippie	0.551	0.400	0.396
hippo	hippo	0.490	0.404	0.477
hippopotamus	Hippopotamus	0.541	0.472	0.615
hire	ntiav	0.688	0.558	0.556
hirsute	hirsute	0.385	0.483	0.373
hiss	hiss	0.388	0.480	0.370
hissing	hissing	0.500	0.454	0.400
histology	histology	0.490	0.320	0.560
historian	keeb kwm	0.688	0.270	0.637
historic	keeb kwm	0.816	0.473	0.784
historical	keeb kwm	0.653	0.357	0.833
historiography	keeb kwm	0.562	0.415	0.634
history	keeb kwm	0.729	0.382	0.754
hit	ntaus	0.235	0.931	0.679
hitch	hitch	0.512	0.480	0.554
hitchhike	hitchhike	0.396	0.622	0.385
hitchhiker	hitchhiker	0.594	0.626	0.603
hitherto	hitherto	0.448	0.356	0.463
hitter	hitter	0.418	0.683	0.713
hive	Hive	0.471	0.452	0.544
hives	khaus	0.417	0.473	0.591
hoard	hoard	0.506	0.412	0.518
hoarse	hov	0.281	0.402	0.315
hoary	hoary	0.469	0.298	0.424
hoax	dag	0.146	0.696	0.303
hob	hob	0.633	0.363	0.415
hobbit	hobbit	0.479	0.489	0.472
hobby	hobby	0.827	0.560	0.471
hobo	hobo	0.323	0.443	0.282
hock	hock	0.513	0.452	0.412
hockey	hockey	0.565	0.786	0.548
hoe	NO TRANSLATION	0.302	0.480	0.418
hog	hog	0.317	0.509	0.271
hogwash	hogwash	0.420	0.490	0.361
hohoho	NO TRANSLATION	0.677	0.433	0.330
hoist	hoist	0.521	0.520	0.458
hokey	hokey	0.604	0.667	0.430
hold	tuav	0.448	0.290	0.364
holder	tuav	0.592	0.330	0.713
holding	tuav	0.600	0.385	0.670
holdup	tuav	0.398	0.471	0.398
hole	qhov	0.531	0.310	0.330
holiday	hnub so	0.948	0.431	0.593
holidays	cov hnub caiv	0.939	0.521	0.512
holidayseason	NO TRANSLATION	0.875	0.566	0.518
holiness	kev dawb huv	0.860	0.264	0.742
holistic	holistic	0.670	0.348	0.547
holler	holler	0.276	0.825	0.406
hollow	hollow	0.300	0.337	0.222
holly	holly	0.510	0.250	0.443
holocaust	holocaust	0.062	0.918	0.618
hologram	hologram	0.615	0.461	0.575
holographic	holographic	0.510	0.471	0.555
holster	holster	0.561	0.255	0.339
holy	dawb huv	0.812	0.112	0.690
holyspirit	NO TRANSLATION	0.740	0.480	0.526
homage	homage	0.833	0.560	0.737
hombre	NO TRANSLATION	0.656	0.472	0.696
hombres	NO TRANSLATION	0.510	0.538	0.652
home	hauv tsev	0.854	0.270	0.545
homeboy	homeboy	0.602	0.255	0.436
homecoming	homecoming	0.760	0.413	0.472
homeland	teb koj chaw	0.663	0.439	0.868
homeless	tsis muaj tsev nyob	0.042	0.450	0.188
homely	homely	0.745	0.157	0.399
homemade	hauv tsev	0.869	0.340	0.398
homeopathic	homeopathic	0.417	0.268	0.400
homeopathy	homeopathy	0.469	0.284	0.439
homeowner	tus tswv tsev	0.635	0.397	0.962
homeroom	homeroom	0.604	0.480	0.491
homesick	tsev neeg	0.436	0.304	0.347
