Word	Galician-gl	Valence	Arousal	Dominance
introspective	introspectiva	0.552	0.360	0.471
intrude	intrude	0.058	0.735	0.480
intruder	intruso	0.146	0.740	0.324
intrusion	intrusión	0.293	0.641	0.670
intrusive	intrusivo	0.461	0.607	0.538
intubation	intubación	0.276	0.598	0.526
intuition	intuicion	0.857	0.508	0.602
intuitive	intuitivo	0.771	0.573	0.690
intuitively	intuitivamente	0.670	0.561	0.648
inundation	inundación	0.177	0.780	0.455
invade	invadir	0.408	0.892	0.714
invader	invasor	0.200	0.827	0.618
invalid	non válido	0.180	0.330	0.255
invalidate	invalidar	0.315	0.480	0.397
invalidation	invalidación	0.181	0.490	0.278
invalidity	invalidez	0.186	0.394	0.158
invaluable	inestimable	0.740	0.500	0.745
invariably	invariablemente	0.458	0.365	0.550
invasion	invasión	0.271	0.843	0.808
invasive	invasivo	0.194	0.730	0.598
invent	inventar	0.719	0.689	0.833
invention	invención	0.714	0.577	0.811
inventive	inventivo	0.780	0.627	0.721
inventor	creador	0.781	0.667	0.847
inventory	inventario	0.594	0.463	0.490
inverse	inversa	0.459	0.337	0.319
inversely	inversamente	0.286	0.418	0.351
inversion	inversión	0.602	0.630	0.772
invert	invertir	0.510	0.585	0.706
inverted	invertido	0.310	0.471	0.357
invest	investir	0.650	0.663	0.682
investigate	investigar	0.640	0.500	0.781
investigation	investigación	0.531	0.592	0.820
investigative	investigación	0.562	0.600	0.704
investigator	investigador	0.615	0.509	0.779
investment	investimento	0.720	0.592	0.745
investor	investidor	0.794	0.655	0.791
invidious	invicto	0.112	0.650	0.364
invigorate	dinamizar	0.821	0.798	0.831
invincible	Invencible	0.867	0.853	0.914
invisibility	invisibilidade	0.438	0.461	0.382
invisible	invisible	0.417	0.345	0.412
invitation	invitación	0.802	0.549	0.647
invite	invitar	0.745	0.655	0.611
inviting	invitando	0.938	0.571	0.538
invocation	invocación	0.430	0.620	0.673
invoice	factura	0.480	0.380	0.474
invoke	invocar	0.583	0.740	0.579
involuntary	involuntaria	0.354	0.490	0.231
involution	involución	0.296	0.420	0.407
involve	involucrar	0.694	0.490	0.728
involvement	implicación	0.760	0.620	0.696
invulnerable	invulnerable	0.552	0.683	0.745
inwards	dentro	0.490	0.385	0.438
iodine	yodo	0.390	0.265	0.333
ion	ion	0.429	0.330	0.408
iota	iota	0.344	0.385	0.314
irate	irar	0.188	0.852	0.474
ire	NO TRANSLATION	0.198	0.740	0.575
iridescent	iridescente	0.602	0.588	0.539
iris	iris	0.708	0.275	0.380
irked	irked	0.164	0.791	0.353
irks	irks	0.276	0.781	0.339
iron	ferro	0.448	0.351	0.679
ironclad	ironclad	0.561	0.648	0.679
ironic	irónico	0.435	0.550	0.500
irons	ferros	0.531	0.441	0.625
irony	ironía	0.390	0.587	0.508
irradiation	irradiación	0.385	0.736	0.509
irrational	irracional	0.125	0.648	0.394
irrationality	irracionalidade	0.198	0.735	0.361
irreconcilable	irreconciliable	0.146	0.667	0.375
irreducible	irreductible	0.296	0.455	0.569
irrefutable	irrefutable	0.496	0.549	0.716
irregular	irregular	0.312	0.548	0.321
irregularity	irregularidade	0.104	0.647	0.306
irregularly	irregularmente	0.292	0.565	0.397
irrelevant	irrelevante	0.138	0.311	0.296
irreparable	irreparable	0.061	0.530	0.430
irreplaceable	irreemplazable	0.479	0.580	0.833
irrepressible	irreprimible	0.512	0.566	0.745
irresistible	irresistible	0.823	0.833	0.839
irrespective	independentemente	0.497	0.538	0.745
irresponsible	irresponsable	0.177	0.680	0.241
irreverent	irreverente	0.191	0.694	0.634
irreversible	irreversible	0.170	0.541	0.667
irrevocable	irrevogable	0.296	0.560	0.712
irrigate	irrigar	0.272	0.458	0.490
irrigation	irrigación	0.259	0.426	0.426
irritability	irritabilidade	0.146	0.853	0.283
irritable	irritable	0.112	0.952	0.462
irritate	irritar	0.167	0.890	0.368
irritated	irritado	0.210	0.816	0.281
irritates	irrita	0.173	0.810	0.295
irritating	irritante	0.104	0.912	0.393
irritation	irritación	0.073	0.833	0.496
island	illa	0.745	0.347	0.432
isle	illa	0.667	0.390	0.443
islet	illote	0.612	0.314	0.367
isolate	illar	0.235	0.422	0.336
isolated	aislado	0.221	0.356	0.255
isolation	illamento	0.198	0.338	0.339
isomorphism	isomorfismo	0.448	0.361	0.481
isothermal	isotérmica	0.459	0.491	0.500
isotope	isótopo	0.429	0.404	0.407
issue	asunto	0.316	0.819	0.351
itch	picor	0.319	0.610	0.465
itching	comezón	0.208	0.690	0.300
itchy	coceira	0.334	0.726	0.296
item	elemento	0.594	0.270	0.465
itemize	detallar	0.459	0.527	0.518
items	elementos	0.542	0.401	0.434
iterate	iterar	0.449	0.460	0.440
iteration	iteración	0.531	0.449	0.486
iterative	iterativo	0.429	0.420	0.500
itinerant	itinerante	0.449	0.545	0.439
itinerary	itinerario	0.551	0.550	0.454
ivory	marfil	0.625	0.235	0.566
jab	jab	0.385	0.519	0.482
jabber	jabber	0.417	0.506	0.342
jack	toma	0.487	0.450	0.441
jackal	chacal	0.333	0.582	0.436
jackass	jackass	0.188	0.692	0.279
jacket	chaqueta	0.656	0.302	0.382
jackhammer	jackhammer	0.199	0.690	0.519
jackpot	jackpot	0.950	0.750	0.786
jackrabbit	jackrabbit	0.625	0.379	0.344
jacks	gatos	0.490	0.400	0.505
jade	xade	0.604	0.410	0.455
jaded	jaded	0.255	0.560	0.400
jag	NO TRANSLATION	0.408	0.440	0.427
jagged	dentados	0.082	0.462	0.213
jaguar	jaguar	0.559	0.710	0.654
jail	prisión	0.094	0.898	0.480
jailbird	jailbird	0.240	0.567	0.473
jailbreak	jailbreak	0.354	0.629	0.471
jailer	carcelero	0.194	0.630	0.632
jailhouse	cárcere	0.104	0.887	0.430
jalopy	jalopy	0.396	0.436	0.337
jam	mermelada	0.510	0.548	0.318
jamboree	jamboree	0.602	0.625	0.351
jammed	atascado	0.235	0.817	0.411
jammer	jammer	0.417	0.540	0.491
janitor	conserxaría	0.510	0.350	0.527
janitorial	conserxaría	0.490	0.373	0.481
japan	Xapón	0.667	0.482	0.580
jar	jar	0.430	0.346	0.318
jargon	xerga	0.333	0.548	0.404
jarhead	jarhead	0.408	0.530	0.464
jarring	discordante	0.210	0.673	0.309
jasmine	xasmín	0.765	0.230	0.286
jasper	jaspe	0.480	0.425	0.402
jaundice	ictericia	0.214	0.480	0.355
jaunt	saltar	0.808	0.451	0.500
java	java	0.459	0.321	0.343
javelin	javelina	0.385	0.481	0.465
jaw	mandíbula	0.500	0.510	0.420
jawbone	mandíbula	0.468	0.413	0.342
jaws	mandíbulas	0.385	0.528	0.455
jay	jay	0.531	0.408	0.389
jazz	jazz	0.677	0.362	0.450
jazzy	jazzy	0.725	0.431	0.389
jealous	celoso	0.173	0.855	0.345
jealousy	celos	0.146	0.783	0.481
jean	jean	0.602	0.444	0.364
jeans	jeans	0.622	0.324	0.371
jeep	jeep	0.602	0.510	0.612
jeering	incómodo	0.266	0.792	0.380
jelly	xelea	0.651	0.294	0.256
jellybean	xelea	0.592	0.406	0.399
jellyfish	medusas	0.531	0.567	0.377
jenny	jenny	0.542	0.406	0.407
jeopardize	comprometido	0.260	0.877	0.582
jeopardy	perigo	0.129	0.908	0.536
jerk	parvo	0.194	0.630	0.238
jerks	tiritas	0.214	0.788	0.395
jerky	tiritas	0.233	0.538	0.358
jersey	camiseta	0.594	0.317	0.411
jest	NO TRANSLATION	0.520	0.736	0.222
jester	bufón	0.388	0.670	0.264
jesus	xesús	0.800	0.400	0.620
jet	jet	0.612	0.721	0.606
jetty	peirao	0.602	0.480	0.453
jewel	xoia	0.827	0.588	0.625
jeweler	xoieiro	0.760	0.482	0.500
jewelry	xoias	0.823	0.569	0.597
jib	jib	0.406	0.420	0.413
jiff	NO TRANSLATION	0.576	0.404	0.349
jiffy	Sentiu	0.410	0.444	0.380
jig	jig	0.531	0.396	0.357
jiggle	jiggle	0.592	0.673	0.518
jigsaw	rompecabezas	0.594	0.582	0.519
jihad	jihad	0.323	0.660	0.444
jimmy	jimmy	0.579	0.321	0.311
jingle	jingle	0.635	0.500	0.424
jinx	jinx	0.337	0.582	0.373
jitters	nerviosismo	0.224	0.918	0.192
jittery	nervioso	0.344	0.856	0.255
jive	jive	0.561	0.551	0.373
job	traballo	0.694	0.541	0.717
jobinterview	NO TRANSLATION	0.684	0.837	0.723
jock	jock	0.592	0.656	0.473
jockey	jockey	0.562	0.644	0.703
jockstrap	jockstrap	0.347	0.431	0.390
jog	camiñar	0.510	0.708	0.519
jogger	jogger	0.417	0.510	0.424
john	Xoán	0.562	0.382	0.327
join	unirse	0.729	0.479	0.684
joined	unido	0.667	0.394	0.600
joining	unirse	0.755	0.469	0.685
joint	articulación	0.615	0.392	0.566
jointly	conxuntamente	0.708	0.425	0.602
joke	broma	0.704	0.610	0.316
joker	bromista	0.771	0.760	0.416
joking	broma	0.776	0.839	0.407
jolly	alegre	0.959	0.705	0.708
jolt	sacudida	0.365	0.708	0.358
jornada	NO TRANSLATION	0.417	0.500	0.533
jot	jot	0.406	0.323	0.350
jour	NO TRANSLATION	0.479	0.394	0.415
journal	xornal	0.688	0.240	0.352
journalism	xornalismo	0.622	0.500	0.684
journalist	xornalista	0.542	0.452	0.732
journalistic	xornalístico	0.696	0.449	0.495
journey	viaxe	0.910	0.702	0.625
journeyman	viaxeiro	0.765	0.596	0.741
joust	xusta	0.520	0.528	0.551
jovial	jovial	0.823	0.460	0.526
joy	alegría	0.980	0.824	0.794
joyful	alegre	0.990	0.740	0.667
joyous	alegre	0.958	0.580	0.728
joyride	joyride	0.694	0.550	0.500
joys	alegrías	0.981	0.643	0.651
jubilant	jubilante	0.844	0.673	0.664
jubilee	Xubileu	0.916	0.500	0.579
judge	xuíz	0.510	0.604	0.857
judged	xulgado	0.281	0.686	0.722
judging	a xulgar	0.240	0.625	0.693
judgment	xuízo	0.396	0.600	0.816
judgmental	xuízo	0.330	0.602	0.579
judicial	xudicial	0.378	0.667	0.833
judiciary	xudicial	0.439	0.740	0.897
judicious	prudente	0.630	0.432	0.772
judo	judo	0.500	0.790	0.612
jug	jarra	0.520	0.250	0.213
juggle	malabarismos	0.594	0.760	0.426
juggler	malabarista	0.633	0.821	0.480
juggling	malabares	0.562	0.874	0.346
jugular	yugular	0.271	0.573	0.426
juice	zume	0.776	0.281	0.352
juicer	espremedor	0.552	0.520	0.564
juicy	jugosa	0.823	0.529	0.490
juju	NO TRANSLATION	0.541	0.519	0.206
juke	juke	0.500	0.491	0.410
jukebox	jukebox	0.699	0.540	0.429
jumble	jumble	0.357	0.613	0.331
jumbled	confundido	0.292	0.602	0.445
jumbo	jumbo	0.680	0.552	0.447
jump	salto	0.625	0.865	0.611
jump rope	Saltar á corda	0.656	0.660	0.368
jumper	jumper	0.615	0.336	0.481
jumpsuit	mono	0.562	0.365	0.361
jumpy	salto	0.353	0.810	0.216
junction	unión	0.490	0.481	0.364
juncture	coyuntura	0.365	0.582	0.491
jungle	selva	0.500	0.510	0.481
junior	junior	0.635	0.343	0.304
juniper	enebro	0.583	0.327	0.352
junk	lixo	0.115	0.481	0.118
junket	junket	0.490	0.519	0.386
junkie	junkie	0.135	0.860	0.363
junky	junky	0.385	0.595	0.343
junkyard	depósito de chatarra	0.177	0.398	0.302
junta	xunta	0.451	0.503	0.704
juridical	xurídico	0.520	0.431	0.873
jurisdiction	xurisdicción	0.480	0.580	0.820
jurisprudence	xurisprudencia	0.360	0.425	0.764
jurist	xurista	0.479	0.523	0.713
juror	xurado	0.582	0.640	0.750
jury	xurado	0.479	0.607	0.789
justice	xustiza	0.760	0.538	0.787
justifiable	xustificable	0.786	0.413	0.821
justification	xustificación	0.622	0.444	0.661
justify	xustificar	0.612	0.473	0.615
juststop	NO TRANSLATION	0.417	0.379	0.364
justthebeginning	NO TRANSLATION	0.573	0.451	0.481
jute	xute	0.551	0.216	0.295
juvenile	xuvenil	0.678	0.490	0.526
juxtaposition	yuxtaposición	0.427	0.500	0.460
kaiser	kaiser	0.470	0.509	0.690
kale	kale	0.469	0.226	0.411
kaleidoscope	caleidoscópio	0.615	0.439	0.580
kamikaze	kamikaze	0.204	0.810	0.645
kangaroo	canguro	0.716	0.333	0.301
kanji	kanji	0.510	0.413	0.425
kappa	kappa	0.469	0.375	0.366
kaput	NO TRANSLATION	0.281	0.441	0.440
karaoke	karaoke	0.763	0.649	0.342
karate	karate	0.562	0.833	0.598
karma	karma	0.500	0.510	0.537
karmic	karmic	0.357	0.459	0.464
kayak	kayak	0.592	0.600	0.364
kazoo	kazoo	0.503	0.462	0.411
kebab	kebab	0.531	0.431	0.377
keel	quilla	0.344	0.417	0.419
keen	afiado	0.823	0.719	0.806
keep	manter	0.714	0.296	0.547
keeper	porteiro	0.612	0.457	0.773
keeping	mantendo	0.592	0.280	0.723
keepsake	recordo	0.740	0.307	0.491
keg	barrilete	0.551	0.389	0.404
kelp	kelp	0.479	0.264	0.213
ken	ken	0.438	0.409	0.360
kennel	canil	0.430	0.480	0.406
kerchief	pañuelo	0.520	0.189	0.236
kern	kern	0.438	0.420	0.449
kernel	kernel	0.542	0.453	0.462
kerosene	queroseno	0.302	0.472	0.427
ketchup	salsa de tomate	0.653	0.338	0.282
kettle	chaleira	0.357	0.497	0.333
key	clave	0.615	0.275	0.519
keyboard	teclado	0.573	0.279	0.349
keyed	teclado	0.469	0.497	0.521
keyhole	ovo de cerradura	0.438	0.358	0.356
keynote	keynote	0.630	0.431	0.545
keypad	teclado numérico	0.604	0.255	0.330
keystone	pedra angular	0.573	0.438	0.491
keyword	palabra clave	0.602	0.520	0.747
khaki	caqui	0.594	0.252	0.278
khan	khan	0.463	0.476	0.529
kibble	kibble	0.510	0.458	0.404
kick	patada	0.271	0.791	0.526
kickboxing	kickboxing	0.427	0.882	0.651
kicker	pateador	0.427	0.711	0.614
kicking	pateando	0.327	0.802	0.510
kickoff	kickoff	0.583	0.600	0.629
kid	neno	0.760	0.453	0.298
kidder	fillo	0.708	0.768	0.471
kidding	bromear	0.622	0.625	0.457
kiddo	kiddo	0.674	0.393	0.419
kiddos	kiddos	0.500	0.480	0.342
kidnap	secuestro	0.032	0.923	0.535
kidnapped	secuestrados	0.044	0.923	0.455
kidnapper	secuestrador	0.115	0.906	0.618
kidnapping	secuestro	0.094	0.880	0.561
kidney	ril	0.448	0.363	0.380
kids	nenos	0.837	0.500	0.417
kill	matar	0.052	0.941	0.736
killer	asasina	0.041	0.971	0.543
killing	matando	0.080	0.959	0.696
killjoy	killjoy	0.178	0.550	0.324
kiln	forno	0.451	0.423	0.414
kilo	NO TRANSLATION	0.438	0.358	0.461
kilogram	quilogramo	0.510	0.260	0.455
kilometer	quilómetro	0.490	0.439	0.485
kilt	kilt	0.448	0.346	0.348
kimono	kimono	0.643	0.280	0.363
kin	parentesco	0.543	0.441	0.457
kind	tipo	0.918	0.240	0.618
kindergarten	xardín de infancia	0.833	0.462	0.308
kindling	alisado	0.520	0.651	0.421
kindness	bondade	0.938	0.350	0.508
kindred	afín	0.760	0.418	0.517
kinematics	cinemática	0.594	0.480	0.614
kinesiology	cinesioloxía	0.491	0.480	0.633
kinetic	cinética	0.582	0.540	0.537
king	rei	0.677	0.690	0.892
king snake	serpe rei	0.458	0.835	0.647
kingdom	reino	0.714	0.547	0.910
kingpin	rei	0.357	0.626	0.642
kink	torcedura	0.337	0.634	0.321
kinky	carente	0.449	0.558	0.361
kinship	parentesco	0.771	0.300	0.652
kiosk	quiosco	0.500	0.286	0.321
kirk	kirk	0.510	0.390	0.388
kiss	bico	0.967	0.813	0.630
kisser	kisser	0.844	0.682	0.618
kissy	kissy	0.874	0.684	0.402
kit	kit	0.583	0.344	0.420
kitchen	cociña	0.700	0.234	0.398
kite	cometa	0.643	0.500	0.573
kitten	gatito	0.816	0.343	0.260
kiwi	kiwi	0.646	0.273	0.282
klutz	klutz	0.275	0.451	0.356
knack	coidado	0.562	0.518	0.820
knapsack	mochila	0.551	0.317	0.268
knead	amasar	0.490	0.457	0.345
knee	xeonllo	0.520	0.245	0.396
kneecap	xeonllos	0.427	0.360	0.440
kneel	axeonllarse	0.426	0.417	0.217
kneeling	de xeonllos	0.245	0.435	0.144
knell	coidado	0.354	0.500	0.377
knick	golpear	0.480	0.509	0.420
knickers	bragas	0.552	0.428	0.328
knife	coitelo	0.344	0.717	0.573
knight	cabaleiro	0.780	0.441	0.835
knighthood	cabaleiro	0.740	0.660	0.769
knit	malla	0.630	0.144	0.295
knob	pomada	0.340	0.360	0.272
knock	bater	0.312	0.531	0.527
knockoff	knockoff	0.350	0.606	0.240
knockout	nocaut	0.388	0.755	0.664
knoll	montículo	0.434	0.347	0.333
knot	nó	0.541	0.221	0.408
knots	nós	0.418	0.346	0.267
knotted	anudado	0.226	0.412	0.294
know	sabe	0.765	0.361	0.704
knowing	coñecendo	0.833	0.353	0.658
knowingly	consciente	0.500	0.459	0.481
knowledge	coñecemento	0.847	0.430	0.896
knowledgeable	coñecedor	0.865	0.455	0.971
knuckle	nudillo	0.655	0.333	0.393
knucklehead	nudillo	0.157	0.485	0.288
knuckles	nudillos	0.271	0.461	0.320
koala	koala	0.608	0.210	0.311
kook	NO TRANSLATION	0.417	0.471	0.398
kooky	kooky	0.418	0.582	0.366
kool-aid	kool-aid	0.531	0.318	0.393
kos	kos	0.500	0.471	0.407
kosher	kosher	0.469	0.443	0.312
kraut	NO TRANSLATION	0.388	0.500	0.390
kris	kris	0.427	0.417	0.407
kryptonite	kriptonita	0.306	0.690	0.588
kudos	felicidades	0.925	0.587	0.642
kumquat	kumquat	0.417	0.426	0.390
lab	laboratorio	0.479	0.500	0.600
label	etiqueta	0.582	0.245	0.423
labor	traballo	0.594	0.639	0.754
laboratory	laboratorio	0.571	0.490	0.537
labored	traballou	0.646	0.451	0.637
laborer	peón	0.561	0.510	0.698
laboring	traballando	0.705	0.644	0.737
laborious	laborioso	0.393	0.635	0.709
labyrinth	labirinto	0.479	0.811	0.491
lac	lac	0.408	0.418	0.331
lace	encaixe	0.625	0.200	0.293
laceration	laceración	0.143	0.667	0.443
lack	falta	0.250	0.365	0.242
lackey	faltaey	0.260	0.510	0.166
lacking	falta	0.229	0.375	0.121
lackluster	falta de folclore	0.250	0.311	0.264
lacquer	laca	0.510	0.353	0.258
lacrosse	lacrosse	0.573	0.656	0.509
lactose	lactosa	0.479	0.290	0.433
lad	rap	0.637	0.388	0.336
ladder	escaleira	0.560	0.438	0.358
laddie	laddie	0.668	0.539	0.391
laden	cargado	0.392	0.478	0.554
lading	embarque	0.388	0.463	0.409
ladle	culler	0.531	0.368	0.352
lady	señora	0.854	0.481	0.602
lady bug	NO TRANSLATION	0.490	0.434	0.381
ladybug	mariquita	0.602	0.400	0.224
ladylike	señora	0.592	0.559	0.538
ladyship	señorita	0.561	0.480	0.822
lag	lag	0.220	0.375	0.246
lager	NO TRANSLATION	0.584	0.480	0.353
lagging	atraso	0.135	0.538	0.277
lagoon	lagoa	0.660	0.231	0.373
lair	guarida	0.469	0.438	0.392
laity	laicos	0.510	0.320	0.487
lake	lago	0.694	0.196	0.425
lama	NO TRANSLATION	0.560	0.320	0.400
lamb	cordeiro	0.646	0.284	0.321
lame	coxo	0.145	0.410	0.217
lament	lamentar	0.198	0.398	0.352
lamenting	lamentándose	0.156	0.390	0.254
lamina	lámina	0.510	0.314	0.408
laminated	laminado	0.417	0.304	0.373
lamp	lámpada	0.510	0.260	0.309
lamppost	Farola	0.420	0.337	0.455
lance	lanza	0.406	0.620	0.587
lancer	lancer	0.417	0.528	0.519
land	terra	0.582	0.260	0.616
landed	aterrizou	0.709	0.620	0.480
landfall	terra	0.521	0.434	0.407
landfill	vertedoiro	0.398	0.423	0.324
landing	aterraxe	0.552	0.696	0.596
landlady	casera	0.677	0.303	0.417
landlocked	sen litoral	0.280	0.391	0.367
landlord	señorío	0.684	0.500	0.858
landmark	fito	0.694	0.355	0.681
lands	terras	0.594	0.280	0.492
landscape	paisaxe	0.719	0.176	0.423
landscaping	paisaxismo	0.823	0.379	0.519
landslide	deslizamento de terra	0.250	0.864	0.530
lane	carril	0.449	0.490	0.451
language	lingua	0.677	0.337	0.704
languid	lândida	0.281	0.270	0.283
languish	languidecen	0.235	0.408	0.382
languishing	languidecedor	0.308	0.459	0.353
lanky	mentirosa	0.412	0.426	0.370
lantern	linterna	0.622	0.250	0.243
lap	volta	0.583	0.510	0.412
lapdog	lapdog	0.388	0.490	0.269
lapel	solapa	0.460	0.287	0.288
lapse	lapso	0.420	0.316	0.281
lapsed	caducado	0.357	0.333	0.276
laptop	ordenador Portátil	0.724	0.270	0.519
larceny	roubo	0.272	0.821	0.454
lard	manteca de porco	0.427	0.239	0.179
larder	despensa	0.656	0.290	0.509
large	grande	0.704	0.565	0.736
larger	máis grande	0.729	0.654	0.763
largo	NO TRANSLATION	0.521	0.480	0.517
lark	alondra	0.570	0.292	0.352
larva	larva	0.245	0.423	0.254
laryngitis	laringite	0.125	0.500	0.370
larynx	laringe	0.460	0.420	0.402
lasagna	lasaña	0.719	0.441	0.396
laser	láser	0.469	0.531	0.769
lash	pestanas	0.235	0.794	0.609
lass	lass	0.656	0.536	0.433
lasso	lazo	0.438	0.460	0.339
lastday	NO TRANSLATION	0.309	0.580	0.463
lasting	duradeiro	0.804	0.535	0.745
lastminute	último momento	0.418	0.582	0.385
latch	pestana	0.395	0.263	0.288
late	tarde	0.245	0.358	0.315
lateness	tardanza	0.214	0.388	0.343
latent	latente	0.469	0.500	0.653
lateral	lateral	0.469	0.370	0.322
laterally	lateralmente	0.562	0.255	0.450
latex	látex	0.479	0.413	0.325
lathe	torno	0.510	0.450	0.425
lather	espuma	0.635	0.327	0.313
latitude	latitude	0.562	0.306	0.490
latrine	latrina	0.380	0.353	0.176
latrines	latrinas	0.214	0.462	0.267
latte	latte	0.615	0.320	0.311
lattice	reixa	0.406	0.420	0.349
laud	laud	0.493	0.427	0.383
laudable	loable	0.740	0.472	0.682
laudation	laudación	0.542	0.547	0.623
laudatory	laudatoria	0.612	0.417	0.450
laugh	rir	0.980	0.639	0.587
laughable	risible	0.592	0.627	0.298
laughing	rindo	0.906	0.596	0.534
laughingstock	NO TRANSLATION	0.427	0.779	0.312
laughs	ría	0.812	0.846	0.425
laughter	risa	0.959	0.654	0.588
launch	lanzamento	0.684	0.814	0.598
launcher	lanzador	0.677	0.745	0.808
launches	lanza	0.490	0.663	0.602
launder	Lavar	0.479	0.450	0.349
laundering	lavado	0.439	0.327	0.444
laundry	lavandería	0.644	0.292	0.377
laureate	laureado	0.724	0.402	0.702
laurel	laurel	0.646	0.146	0.302
laurels	laureles	0.684	0.279	0.545
lava	lava	0.280	0.539	0.615
lavage	lavado	0.615	0.467	0.361
lavatory	lavabo	0.510	0.400	0.259
lavender	lavanda	0.812	0.198	0.388
lavish	pródigo	0.792	0.648	0.730
law	lei	0.740	0.590	0.815
lawful	legal	0.660	0.394	0.780
lawless	sen lei	0.219	0.690	0.420
lawlessness	ilegalidade	0.156	0.804	0.509
lawman	avogado	0.510	0.523	0.786
lawn	céspede	0.686	0.153	0.192
lawnmower	cortador de herba	0.480	0.531	0.355
lawsuit	demanda	0.219	0.794	0.611
lawyer	avogado	0.521	0.569	0.784
lax	lax	0.430	0.401	0.300
laxative	laxante	0.271	0.550	0.528
lay	poñer	0.521	0.336	0.491
layaway	layaway	0.429	0.510	0.451
layer	capa	0.500	0.208	0.366
layered	en capas	0.571	0.306	0.436
layman	laico	0.531	0.339	0.424
layout	deseño	0.615	0.442	0.557
layover	descanso	0.520	0.355	0.500
laziness	preguiza	0.271	0.240	0.132
lazy	preguiceiro	0.392	0.264	0.096
lazyday	NO TRANSLATION	0.337	0.319	0.145
lea	lea	0.583	0.294	0.358
lead	conducir	0.323	0.657	0.455
leaded	con plomo	0.439	0.625	0.595
leader	líder	0.833	0.582	0.926
leadership	liderado	0.870	0.690	0.983
leading	líder	0.823	0.698	0.954
leads	conduce	0.530	0.471	0.615
leaf	folla	0.583	0.156	0.294
leaflet	folleto	0.490	0.206	0.375
leafy	frondoso	0.653	0.530	0.700
league	liga	0.656	0.340	0.462
leak	fuga	0.378	0.833	0.520
leakage	fuga	0.188	0.731	0.528
leaky	fugas	0.170	0.686	0.288
lean	magra	0.734	0.353	0.438
leaned	inclinouse	0.570	0.373	0.490
leaning	inclinado	0.480	0.409	0.352
leap	saltar	0.750	0.663	0.667
learn	aprender	0.833	0.643	0.829
learned	aprendeu	0.704	0.462	0.543
learner	alumno	0.698	0.475	0.398
learning	aprendizaxe	0.833	0.588	0.574
lease	arrendamento	0.520	0.463	0.545
leash	correa	0.320	0.347	0.427
leather	coiro	0.510	0.324	0.341
leathery	coiro	0.418	0.471	0.411
leave	saír	0.375	0.315	0.295
leavemealone	Déixame só	0.240	0.472	0.402
leaving	saíndo	0.163	0.542	0.371
lecherous	lecherous	0.135	0.704	0.376
lecture	charla	0.594	0.462	0.737
lecturer	profesor	0.677	0.549	0.736
ledge	borde	0.406	0.235	0.339
ledger	libro de libros	0.510	0.362	0.609
lee	lee	0.510	0.269	0.296
leech	leech	0.250	0.623	0.268
leeches	sanguijuelas	0.115	0.698	0.295
leer	NO TRANSLATION	0.612	0.348	0.509
leery	leery	0.337	0.640	0.410
lees	NO TRANSLATION	0.360	0.567	0.406
leeway	marxe de maniobra	0.562	0.577	0.569
left	esquerda	0.354	0.370	0.361
leftout	NO TRANSLATION	0.229	0.365	0.245
leftover	restos	0.490	0.460	0.222
leftovers	sobras	0.219	0.350	0.116
lefty	lefty	0.490	0.406	0.379
leg	perna	0.510	0.373	0.313
legacy	legado	0.792	0.529	0.827
legal	legal	0.653	0.387	0.887
legality	legalidade	0.765	0.343	0.713
legalize	legalizar	0.510	0.460	0.818
legalized	legalizado	0.760	0.440	0.855
legally	legalmente	0.771	0.482	0.842
legend	lenda	0.837	0.519	0.750
legendary	lendario	0.857	0.537	0.863
legibility	lexibilidade	0.771	0.481	0.580
legible	legible	0.673	0.279	0.509
legion	legión	0.469	0.570	0.852
legislate	lexislar	0.571	0.582	0.736
legislation	lexislación	0.531	0.418	0.808
legislative	lexislativo	0.633	0.365	0.800
legislator	legislador	0.490	0.580	0.877
legislature	legislatura	0.540	0.435	0.698
legit	lexítimo	0.747	0.427	0.849
legitimacy	lexitimidade	0.823	0.420	0.855
legitimate	lexítimo	0.792	0.363	0.841
lego	lego	0.600	0.294	0.189
legs	pernas	0.479	0.407	0.228
legume	legume	0.520	0.302	0.465
legwork	traballos legais	0.622	0.560	0.509
leisure	ocio	0.631	0.429	0.421
leisurely	tranquilo	0.806	0.250	0.367
lemma	lema	0.530	0.284	0.391
lemon	limón	0.596	0.317	0.316
lemonade	limonada	0.661	0.287	0.412
lend	prestar	0.520	0.461	0.508
lender	prestamista	0.340	0.520	0.703
lending	préstamos	0.510	0.585	0.462
length	lonxitude	0.479	0.308	0.533
lengthen	alargar	0.619	0.481	0.566
lengthened	alargado	0.448	0.530	0.474
lengthening	alargando	0.673	0.530	0.528
lengthwise	lonxitude	0.571	0.470	0.528
lengthy	longa	0.570	0.342	0.528
leniency	clemencia	0.517	0.436	0.545
lenient	indulgente	0.520	0.451	0.340
lens	lente	0.420	0.245	0.472
leopard	leopardo	0.542	0.755	0.611
leotard	leotard	0.510	0.429	0.391
leper	leproso	0.075	0.589	0.206
leprechaun	leprechaun	0.417	0.480	0.417
leprosy	lepra	0.130	0.670	0.349
lesbian	lesbianas	0.385	0.660	0.415
lesbianism	lesbianismo	0.327	0.725	0.440
lesion	lesión	0.240	0.623	0.361
less	menos	0.265	0.240	0.115
lessee	arrendatario	0.417	0.474	0.595
lessen	diminuír	0.235	0.284	0.255
lessening	diminución	0.375	0.300	0.277
lesser	menor	0.396	0.167	0.211
