Word	Kurdish-ku	Valence	Arousal	Dominance
guano	guano	0.296	0.343	0.191
guarantee	garantî	0.949	0.337	0.805
guaranty	garantî	0.646	0.337	0.818
guard	pêvokê parastinê	0.592	0.510	0.725
guarded	parastin	0.758	0.686	0.500
guardhouse	cerdevaniyê	0.510	0.435	0.770
guardian	wekîl	0.656	0.686	0.789
guardianship	cerdevaniyê	0.592	0.370	0.681
guards	cerdevan	0.448	0.663	0.720
gubernatorial	gubernatorial	0.552	0.604	0.897
guerilla	NO TRANSLATION	0.146	0.845	0.727
guerrilla	gerîla	0.219	0.917	0.792
guess	texmîn	0.640	0.463	0.442
guesser	texmîner	0.542	0.670	0.535
guesswork	texmînek	0.417	0.451	0.405
guest	mêvan	0.719	0.490	0.558
guesthouse	mêvanxane	0.729	0.337	0.406
guidance	birêvebirî	0.729	0.471	0.718
guide	birêvebir	0.688	0.315	0.620
guidebook	rêber	0.677	0.260	0.427
guidelines	rêbazan	0.459	0.500	0.664
guiding	rêber	0.667	0.520	0.714
guild	guild	0.580	0.459	0.729
guile	gule	0.410	0.417	0.467
guillotine	guillotine	0.163	0.817	0.585
guilt	sûc	0.208	0.567	0.206
guilty	sûcdar	0.135	0.770	0.352
guinea	Gîneya Ekwatorê	0.521	0.440	0.396
guise	xemgîniyê	0.531	0.547	0.324
guitar	gîtar	0.844	0.542	0.469
guitarist	guitarist	0.827	0.740	0.549
gules	gules	0.469	0.443	0.340
gulf	berav	0.520	0.365	0.398
gull	gull	0.594	0.317	0.378
gullet	gola	0.385	0.490	0.393
gullible	zûbawer	0.440	0.442	0.318
gully	gulî	0.316	0.519	0.394
gulp	gulp	0.551	0.660	0.409
gum	gum	0.573	0.227	0.213
gumbo	gumbo	0.500	0.422	0.361
gummy	tazî	0.521	0.302	0.291
gumption	gumption	0.480	0.538	0.488
gun	tiving	0.147	0.920	0.713
gunboat	gunboat	0.139	0.663	0.618
gunfight	çepê	0.051	0.961	0.700
gunfighter	gunfighter	0.156	0.910	0.741
gunfire	gunfire	0.156	0.930	0.673
gunk	gunk	0.250	0.478	0.219
gunman	çekdar	0.167	0.922	0.689
gunmen	çekdar	0.073	0.942	0.727
gunner	topavêj	0.250	0.853	0.817
gunnery	çekan	0.281	0.861	0.873
gunplay	gunplay	0.133	0.906	0.627
gunpoint	gunpoint	0.188	0.817	0.719
gunpowder	çekan	0.425	0.853	0.509
gunshot	çekan	0.042	0.953	0.673
gunslinger	çekdar	0.316	0.873	0.811
gurney	gurney	0.408	0.304	0.352
guru	guru	0.573	0.360	0.653
gush	zû	0.510	0.490	0.381
gusher	gusher	0.406	0.520	0.453
gusset	gusset	0.427	0.425	0.423
gust	bahoz	0.490	0.755	0.556
gusto	NO TRANSLATION	0.692	0.729	0.620
gusty	gust	0.687	0.631	0.455
gut	rêvî	0.408	0.367	0.364
gutless	bêhêz	0.250	0.381	0.384
guts	xemgîniyê	0.592	0.649	0.582
gutsy	gutsy	0.635	0.573	0.536
gutter	gutter	0.466	0.260	0.400
guy	kur	0.583	0.367	0.546
guzzler	guzzler	0.393	0.537	0.436
guzzling	guzzling	0.460	0.490	0.380
gym	gym	0.635	0.690	0.613
gymnasium	salona bedenparêzî	0.667	0.561	0.474
gymnast	bedenparêz	0.670	0.760	0.558
gymnastic	gymnîkî	0.810	0.706	0.604
gymnastics	bedenparêzî	0.745	0.677	0.508
gynecologist	pizişîka jinan	0.552	0.566	0.682
gynecology	gynecology	0.408	0.590	0.519
gypsy	qereçî	0.375	0.665	0.396
gyroscope	gyroscope	0.500	0.390	0.510
habit	hînbûnî	0.625	0.226	0.585
habitat	habitat	0.633	0.343	0.553
habitation	rûniştinê	0.781	0.231	0.538
habitual	hûrgelî	0.527	0.208	0.490
habitually	bijartî	0.600	0.324	0.583
hacienda	hacienda	0.688	0.402	0.573
hack	hack	0.135	0.717	0.534
hacker	hacker	0.271	0.755	0.740
hacksaw	hacksaw	0.406	0.645	0.537
hadenough	NO TRANSLATION	0.323	0.566	0.529
hag	hag	0.188	0.695	0.411
haggard	haggard	0.115	0.510	0.246
haggle	haggle	0.480	0.601	0.461
haiku	haiku	0.583	0.356	0.392
hail	zîpik	0.459	0.627	0.411
hair	por	0.582	0.186	0.286
hairball	hairball	0.370	0.302	0.315
hairbrush	kulikê	0.454	0.216	0.263
haircut	porjêkirî	0.677	0.343	0.307
hairdo	porê	0.552	0.320	0.435
hairdresser	porjêker	0.708	0.509	0.407
hairdryer	darê	0.642	0.402	0.330
hairless	nexweşî	0.136	0.235	0.139
hairline	hesabê	0.418	0.154	0.230
hairpin	porê	0.459	0.363	0.370
hairspray	hairspray	0.549	0.279	0.269
hairstyle	porşikil	0.771	0.380	0.433
hairy	pirçikî	0.542	0.380	0.343
hale	hale	0.479	0.435	0.500
half	nîv	0.500	0.274	0.276
half dollar	nîv dolar	0.573	0.408	0.509
halfback	nîv	0.490	0.429	0.440
halftime	halftime	0.458	0.352	0.429
halfway	nîv	0.510	0.254	0.339
halibut	halibut	0.449	0.412	0.411
hall	salon	0.510	0.340	0.424
hallelujah	hallelujah	0.770	0.554	0.657
hallmark	helbestek	0.646	0.315	0.411
hallowed	pîroz kirin	0.740	0.500	0.728
hallucination	xeyal	0.396	0.706	0.370
hallway	hall	0.573	0.230	0.279
halo	halo	0.490	0.370	0.441
halt	rawestandin	0.167	0.360	0.432
halter	halter	0.448	0.451	0.431
halting	rawestandin	0.255	0.596	0.519
halve	nîvkirin	0.316	0.347	0.302
halving	bisekinin	0.292	0.474	0.366
ham	goştê hişkkirî	0.673	0.245	0.404
hamburger	hamburger	0.809	0.551	0.387
hamlet	qezenc	0.573	0.270	0.397
hammer	çakûç	0.312	0.509	0.563
hammerhead	hammerhead	0.337	0.490	0.569
hammering	xemgîniyê	0.347	0.779	0.557
hammock	dergûşa aliqandî	0.673	0.255	0.287
hamper	asteng	0.204	0.711	0.473
hamster	hamster	0.520	0.394	0.349
hamstring	çepê	0.406	0.471	0.443
hand	dest	0.542	0.314	0.434
handbag	handbag	0.562	0.240	0.336
handball	handball	0.561	0.493	0.440
handbook	destûr	0.600	0.224	0.567
handcuff	kulikê	0.310	0.590	0.593
handful	kûlmik	0.521	0.481	0.400
handgun	handgun	0.156	0.914	0.782
handheld	destnîşankirin	0.646	0.350	0.586
handicap	nexweşî	0.133	0.394	0.264
handicapped	bêmecal	0.204	0.467	0.180
handicraft	handicraft	0.724	0.333	0.565
handiwork	handiwork	0.753	0.430	0.410
handkerchief	destmal	0.510	0.192	0.219
handle	destik	0.698	0.571	0.558
handler	handler	0.439	0.593	0.861
handmade	handmade	0.776	0.383	0.475
handout	dest	0.560	0.330	0.545
handprint	handprint	0.635	0.289	0.463
handshake	destcivandinî	0.816	0.654	0.492
handsome	xweşik	0.890	0.600	0.682
handwriting	destnîşan	0.615	0.378	0.381
handy	desttê	0.741	0.378	0.639
handyman	desthilatdar	0.660	0.373	0.393
hang	aliqandin	0.323	0.529	0.446
hangar	xanîyê balafiran	0.490	0.456	0.481
hanger	lebasdar	0.439	0.462	0.461
hanging	darizandin	0.378	0.471	0.389
hangman	dagirker	0.153	0.877	0.555
hangout	darvekirin	0.573	0.500	0.462
hangover	derxistin	0.188	0.565	0.267
hangry	darizandin	0.219	0.794	0.279
hank	hank	0.510	0.375	0.339
hankering	hankering	0.604	0.540	0.558
hanky	hanky	0.460	0.276	0.250
hap	NO TRANSLATION	0.503	0.431	0.453
haphazard	neheq	0.469	0.530	0.324
hapless	neheq	0.271	0.442	0.193
happen	bûyin	0.677	0.670	0.551
happening	dibe	0.646	0.529	0.555
happier	kêfxweş e	0.990	0.760	0.806
happiest	kêfxweş e	0.990	0.716	0.746
happily	kêfxweş e	1.000	0.690	0.674
happiness	qismet	0.960	0.732	0.850
happy	şa	1.000	0.735	0.772
happydance	şahiyê	0.857	0.760	0.582
happyday	kêfxweş	0.929	0.650	0.663
happyheart	kêfxweş	0.949	0.575	0.605
happyholidays	NO TRANSLATION	0.927	0.740	0.637
happynewyear	NO TRANSLATION	0.969	0.815	0.559
happyplace	NO TRANSLATION	0.938	0.589	0.645
happytweet	NO TRANSLATION	0.847	0.588	0.437
happyvalentinesday	NO TRANSLATION	0.929	0.784	0.509
harass	nerehetkirin	0.160	0.775	0.620
harassing	tengahiyê	0.120	0.873	0.446
harassment	nerehetkirinî	0.083	0.896	0.420
harbinger	hêrs	0.490	0.389	0.692
harbor	bender	0.594	0.356	0.634
hard	hişk	0.302	0.708	0.616
hardball	hişk	0.542	0.667	0.452
hardcore	hardcore	0.250	0.721	0.585
harden	hişkkirin	0.276	0.598	0.677
hardened	dijwar	0.406	0.618	0.764
hardening	dijwar	0.388	0.673	0.741
hardheaded	serreq	0.156	0.699	0.571
hardness	zehmetiyê	0.417	0.580	0.745
hardship	tûnebûnî	0.094	0.775	0.482
hardware	hardware	0.594	0.289	0.686
hardwood	hişk	0.417	0.363	0.518
hardworking	karê dijwar	0.719	0.583	0.792
hardy	dijwar	0.571	0.569	0.810
hare	kevroşk	0.620	0.410	0.345
harebrained	hûrbûr kirin	0.296	0.551	0.436
harem	harem	0.521	0.578	0.582
hark	hark	0.571	0.500	0.398
harlot	hêrs	0.198	0.798	0.330
harm	zirar	0.073	0.679	0.423
harmful	zirarane	0.094	0.750	0.291
harmless	bêzirar	0.625	0.226	0.241
harmonica	harmonica	0.847	0.235	0.510
harmonics	harmonics	0.865	0.400	0.575
harmonious	hêsan	0.938	0.391	0.719
harmoniously	baş	0.969	0.265	0.647
harmonize	hevkariyê bikin	0.939	0.461	0.609
harmony	lihevkirinî	0.949	0.230	0.509
harness	firax	0.570	0.549	0.508
harp	harp	0.618	0.310	0.356
harper	hêrs	0.417	0.454	0.435
harpoon	tîrê neçira masî	0.490	0.700	0.557
harpsichord	harpsichord	0.541	0.490	0.438
harrowing	hişyariyê	0.209	0.810	0.474
harry	hêrs	0.520	0.409	0.390
harsh	hişk	0.250	0.650	0.623
harshness	dijwariyê	0.323	0.600	0.779
hart	hart	0.643	0.389	0.447
harvest	paleyî	0.781	0.353	0.548
hash	hash	0.344	0.453	0.355
hashish	hêşîn	0.370	0.570	0.358
hassle	tengahiyê	0.177	0.740	0.489
haste	ecele	0.378	0.745	0.500
hasten	zû	0.571	0.750	0.618
hastily	bi lez	0.271	0.609	0.609
hasty	lez	0.188	0.885	0.424
hat	kûm	0.604	0.183	0.353
hatch	pencerk	0.479	0.653	0.402
hatchet	bivir	0.333	0.608	0.500
hate	nifret	0.031	0.802	0.430
hateeee	NO TRANSLATION	0.219	0.606	0.368
hateeveryone	NO TRANSLATION	0.041	0.840	0.429
hateful	nifretane	0.071	0.819	0.430
hater	hater	0.052	0.702	0.422
hateyou	NO TRANSLATION	0.125	0.735	0.464
hating	hîna	0.083	0.820	0.434
hatred	nefret	0.037	0.847	0.424
haughty	hêrs	0.240	0.708	0.588
haul	kişandin	0.551	0.564	0.453
haulage	derxistin	0.561	0.510	0.650
haunt	xemgîniyê	0.288	0.676	0.576
haunted	şaş kirin	0.264	0.731	0.520
have	hebûn	0.757	0.389	0.593
haven	haven	0.684	0.265	0.547
havoc	wêrankirinî	0.163	0.769	0.535
haw	haw	0.406	0.426	0.431
hawk	teyrê baz	0.583	0.530	0.631
hawking	hawking	0.521	0.509	0.491
hay	NO TRANSLATION	0.469	0.212	0.343
haye	haye	0.615	0.451	0.336
hayride	hayride	0.561	0.521	0.464
haystack	lodka	0.552	0.292	0.331
haywire	haywire	0.358	0.545	0.430
hazard	talûke	0.112	0.884	0.757
hazardous	talûkane	0.061	0.750	0.670
haze	mij	0.427	0.327	0.217
hazmat	hazmat	0.398	0.479	0.519
hazy	mijî	0.450	0.433	0.230
head	ser	0.530	0.472	0.558
headache	serêş	0.168	0.755	0.273
headaches	serêş	0.104	0.720	0.259
headband	sîteyê	0.670	0.469	0.527
headdress	sernavê	0.594	0.408	0.443
header	header	0.560	0.398	0.740
headgear	sernavê	0.542	0.442	0.571
heading	sernivîs	0.551	0.292	0.642
headland	serokê	0.574	0.551	0.430
headless	bêlez	0.136	0.582	0.235
headlight	çira trimbêlan	0.592	0.343	0.393
headline	serrêza nivîs	0.630	0.241	0.685
headliner	headliner	0.500	0.490	0.625
headlock	serokê	0.448	0.538	0.560
headlong	serê xwe	0.354	0.548	0.409
headmaster	mamosteyê	0.604	0.564	0.865
headphones	headphones	0.600	0.357	0.336
headquarter	serokê	0.615	0.269	0.525
headquarters	sergeh	0.615	0.271	0.525
headset	headset	0.602	0.340	0.302
headstone	serê	0.240	0.378	0.349
headstrong	serî	0.310	0.714	0.500
headway	rêberê	0.823	0.464	0.745
heady	serî	0.448	0.806	0.565
heal	saxkirin	0.765	0.245	0.556
healer	hejar	0.863	0.378	0.741
healing	qenc kirin	0.750	0.452	0.585
health	tendûrûstî	0.935	0.427	0.551
healthcare	parastina saxlemîyê	0.780	0.392	0.630
healthful	tendurustî	0.930	0.315	0.769
healthy	sax	0.938	0.319	0.818
heap	heb	0.582	0.510	0.474
hear	gûhdarkirin	0.760	0.429	0.444
hearer	guhdariya	0.656	0.281	0.415
hearing	seh	0.669	0.490	0.595
hearsay	dibihîze	0.288	0.623	0.333
hearse	bihîstin	0.177	0.490	0.324
heart	dil	0.827	0.500	0.693
heart disease	nexweşiya dil	0.250	0.750	0.386
heartache	dilêş	0.088	0.750	0.291
heartattack	NO TRANSLATION	0.156	0.839	0.455
heartbeat	dillêdanî	0.750	0.698	0.585
heartbreak	dilovan	0.208	0.610	0.245
heartbreaker	dilovaniyê	0.265	0.685	0.580
heartbreaking	dilovaniyê	0.146	0.811	0.423
heartbroken	dilbirin	0.082	0.551	0.235
heartburn	serdilşewatî	0.143	0.613	0.398
hearted	dilsoz	0.823	0.410	0.805
heartfelt	dilfiroş	0.904	0.440	0.540
hearth	bihîstinê	0.760	0.275	0.536
heartily	dilovan	0.927	0.531	0.664
heartland	dilê	0.812	0.510	0.675
heartless	bêhêz	0.071	0.652	0.400
hearts	dilê	0.948	0.592	0.634
heartsick	dilê xwe	0.240	0.388	0.208
heartworm	dilberm	0.333	0.550	0.430
hearty	dilovan	0.760	0.684	0.792
heat	germa	0.534	0.612	0.433
heated	qenc kirin	0.479	0.497	0.542
heater	germakir	0.500	0.573	0.538
heath	hewa	0.802	0.387	0.546
heathen	heşten	0.194	0.529	0.491
heather	heather	0.500	0.352	0.407
heating	sofac	0.647	0.491	0.537
heave	hişyar	0.716	0.588	0.664
heaven	ezman	0.896	0.385	0.600
heavenly	ezmên	0.844	0.452	0.712
heavens	ezmên	0.806	0.273	0.683
heavily	giran	0.542	0.679	0.814
heaviness	zêdebûna	0.219	0.549	0.318
heaving	rûniştinê	0.201	0.843	0.491
heavy	giran	0.250	0.454	0.600
heavy metal	metal	0.417	0.755	0.621
heavyweight	giran	0.429	0.578	0.713
heck	heck	0.240	0.728	0.560
hectares	hektares	0.570	0.250	0.471
hectic	sergêjane	0.167	0.811	0.438
hedge	dehl	0.604	0.602	0.569
hedgehog	jîjo	0.458	0.491	0.377
hedonism	hedonism	0.510	0.500	0.608
hee	hee	0.430	0.433	0.312
heed	hişyar kirin	0.750	0.490	0.569
heel	kerkê pê	0.480	0.350	0.385
heels	heels	0.500	0.439	0.396
heft	heft	0.503	0.340	0.530
hefty	heft	0.550	0.654	0.745
hegemonic	hegemonîk	0.462	0.519	0.558
heheh	NO TRANSLATION	0.625	0.510	0.278
heifer	zikê	0.439	0.443	0.321
height	bilindî	0.677	0.608	0.648
heighten	bilindkirin	0.755	0.622	0.765
heightened	bilind kirin	0.592	0.529	0.788
heinous	zehmet	0.133	0.792	0.471
heir	mîratgir	0.840	0.654	0.764
heiress	mîratgir	0.827	0.571	0.676
heirloom	mîratmal	0.684	0.375	0.745
heirs	mîras	0.796	0.519	0.698
heist	heist	0.184	0.850	0.645
helical	helik	0.379	0.429	0.468
helicopter	helîkopter	0.714	0.806	0.617
helipad	helipad	0.780	0.637	0.573
heliport	heliport	0.594	0.604	0.527
helium	helium	0.490	0.316	0.304
helix	helix	0.521	0.462	0.509
hell	cehnem	0.020	0.918	0.565
hellfire	hellfire	0.143	0.890	0.618
hellhole	hellhole	0.200	0.615	0.421
hellish	şaş	0.125	0.860	0.545
helm	bêr	0.511	0.450	0.615
helmet	serparêz	0.573	0.327	0.402
helmsman	helmsman	0.490	0.441	0.647
help	alîkarî	0.673	0.471	0.460
helper	alîkar	0.704	0.438	0.567
helpful	alîkarane	0.816	0.337	0.705
helpless	bêçare	0.104	0.420	0.214
helplessness	neheqiyê	0.087	0.480	0.250
hem	NO TRANSLATION	0.562	0.283	0.291
hematite	hematite	0.448	0.389	0.342
hematoma	hematoma	0.146	0.600	0.398
hemi	hemi	0.510	0.363	0.342
hemisphere	dorhalî	0.531	0.367	0.598
hemispheric	hemispheric	0.562	0.449	0.603
hemlock	hemlock	0.438	0.350	0.434
hemoglobin	hemoglobin	0.469	0.481	0.418
hemorrhage	hemorrhage	0.031	0.849	0.426
hemorrhoids	hemorrîdî	0.133	0.702	0.304
hemostat	hemostat	0.388	0.442	0.464
hemp	hemp	0.469	0.439	0.422
hen	NO TRANSLATION	0.385	0.276	0.241
henceforth	hingê	0.527	0.404	0.466
henhouse	henhouse	0.500	0.577	0.414
hepatitis	hepatitis	0.055	0.596	0.358
herald	xerîb	0.643	0.382	0.500
heraldry	xerîb	0.550	0.520	0.607
herb	gîha	0.643	0.418	0.353
herbaceous	herbaceous	0.560	0.220	0.310
herbal	herbal	0.592	0.255	0.390
herbarium	herbarium	0.602	0.188	0.327
herbs	herbs	0.620	0.299	0.308
herd	naxir	0.592	0.500	0.474
hereditary	mîratê	0.531	0.600	0.737
heredity	derbasdibe	0.704	0.445	0.818
heresy	heresy	0.265	0.765	0.443
heretic	xweş	0.090	0.710	0.447
heretical	heretical	0.229	0.630	0.487
heretofore	wê yekê	0.479	0.388	0.385
hereunto	li vir	0.500	0.225	0.333
herewith	vê yekê	0.450	0.360	0.415
heritage	mîrata	0.842	0.512	0.815
hermaphrodite	hermaphrodite	0.480	0.684	0.481
hermeneutics	hermeneutics	0.406	0.577	0.562
hermit	bicîbû	0.271	0.337	0.351
hernia	şikesta	0.146	0.486	0.223
hero	qehreman	0.940	0.806	0.881
heroic	qehremanî	0.890	0.770	0.912
heroics	şehîdan	0.865	0.673	0.894
heroin	eroîn	0.276	0.843	0.655
heroine	qehrîn	0.729	0.755	0.833
heroism	vîdyoyîzmê	0.844	0.802	0.898
herpes	herpes	0.110	0.600	0.309
herpesvirus	herpesvirus	0.219	0.558	0.435
herring	xerîb	0.531	0.387	0.422
hertz	hertz	0.396	0.417	0.506
hesitant	hesab	0.333	0.542	0.321
hesitate	hesitate	0.459	0.548	0.232
hesitating	hesibandin	0.265	0.528	0.240
hesitation	rirsî	0.286	0.396	0.217
hetero	hetero	0.589	0.405	0.435
heterogeneity	heterogeneity	0.439	0.450	0.556
heterosexual	heterosexual	0.561	0.612	0.557
hew	hew	0.417	0.470	0.377
hex	hex	0.410	0.510	0.363
hexagon	şeşqozî	0.542	0.226	0.425
heyday	heyday	0.646	0.680	0.673
hiatus	xweyê	0.479	0.294	0.352
hibernate	hibernate	0.500	0.317	0.431
hibernation	xewa zivistanê	0.469	0.245	0.384
hiccup	qirpik	0.271	0.549	0.240
hick	hick	0.357	0.442	0.314
hickey	hickey	0.448	0.529	0.345
hickory	hickory	0.520	0.490	0.415
hidden	veşartî	0.208	0.430	0.327
hide	veşartin	0.438	0.510	0.218
hideaway	hideaway	0.448	0.481	0.360
hideous	hêrs	0.091	0.750	0.328
hideout	veşartinê	0.337	0.443	0.302
hiding	veşartin	0.250	0.567	0.364
hierarchical	hiyerarşîk	0.521	0.620	0.939
hierarchy	hîderparêz	0.583	0.722	0.902
hieroglyphics	hieroglyphics	0.479	0.325	0.509
high	bilind	0.684	0.510	0.614
high heels	pîtên mezin	0.646	0.528	0.429
highball	highball	0.656	0.520	0.481
higher	bilind e	0.866	0.528	0.713
highest	herî bilind	0.771	0.640	0.710
highland	bilind	0.615	0.481	0.611
highlands	giran	0.735	0.431	0.596
highlight	balkêş	0.844	0.637	0.882
highness	bilindahiya	0.740	0.670	0.931
hight	hest	0.667	0.637	0.645
hightail	hightail	0.448	0.480	0.481
highway	rê	0.640	0.583	0.425
hijack	revandin	0.042	0.908	0.594
hijacker	hijacker	0.104	0.953	0.683
hike	gerrîn	0.615	0.442	0.538
hiker	gerrok	0.694	0.802	0.644
hiking	hiking	0.820	0.843	0.670
hiking boot	booting boot	0.657	0.353	0.446
hilarious	hilweşîn	0.750	0.640	0.537
hilarity	kêfxweşiyê	0.745	0.480	0.575
hill	girik	0.615	0.353	0.518
hillside	çiyayan	0.625	0.292	0.458
hilltop	çolê	0.688	0.643	0.787
hilly	girikî	0.643	0.479	0.603
hilt	hilt	0.396	0.650	0.537
hind	hind	0.483	0.644	0.337
hinder	manibûn	0.276	0.537	0.470
hindering	hindering	0.260	0.654	0.435
hindrance	mani	0.135	0.545	0.473
hindsight	hêrs	0.333	0.431	0.532
hinge	çengelê seyda masîyan	0.458	0.292	0.417
hint	geşî	0.602	0.330	0.517
hinterland	hinterland	0.530	0.520	0.457
hip	kûlîmek	0.448	0.415	0.345
hip hop	hîp hop	0.740	0.714	0.484
hippie	hippie	0.551	0.400	0.396
hippo	hippo	0.490	0.404	0.477
hippopotamus	gamêşê nîlê	0.541	0.472	0.615
hire	îcarkirin	0.688	0.558	0.556
hirsute	hêrs	0.385	0.483	0.373
hiss	zîzdan	0.388	0.480	0.370
hissing	wî	0.500	0.454	0.400
histology	hîstolojiyê	0.490	0.320	0.560
historian	dîrokzan	0.688	0.270	0.637
historic	dîrokî	0.816	0.473	0.784
historical	dîrokî	0.653	0.357	0.833
historiography	historiography	0.562	0.415	0.634
history	dîrok	0.729	0.382	0.754
hit	lêxistin	0.235	0.931	0.679
hitch	pêvgirêdan	0.512	0.480	0.554
hitchhike	hitchhike	0.396	0.622	0.385
hitchhiker	xerîb	0.594	0.626	0.603
hitherto	heya	0.448	0.356	0.463
hitter	hitter	0.418	0.683	0.713
hive	hive	0.471	0.452	0.544
hives	hives	0.417	0.473	0.591
hoard	hêrs	0.506	0.412	0.518
hoarse	dengketî	0.281	0.402	0.315
hoary	hêrs	0.469	0.298	0.424
hoax	hoax	0.146	0.696	0.303
hob	hob	0.633	0.363	0.415
hobbit	hobbit	0.479	0.489	0.472
hobby	karkêfî	0.827	0.560	0.471
hobo	hobo	0.323	0.443	0.282
hock	halk	0.513	0.452	0.412
hockey	hockey	0.565	0.786	0.548
hoe	NO TRANSLATION	0.302	0.480	0.418
hog	beraz	0.317	0.509	0.271
hogwash	hogwash	0.420	0.490	0.361
hohoho	NO TRANSLATION	0.677	0.433	0.330
hoist	esansor	0.521	0.520	0.458
hokey	hokey	0.604	0.667	0.430
hold	rawestan	0.448	0.290	0.364
holder	xwedî	0.592	0.330	0.713
holding	pêk tê	0.600	0.385	0.670
holdup	asteng kirin	0.398	0.471	0.398
hole	qûl	0.531	0.310	0.330
holiday	karbetalî	0.948	0.431	0.593
holidays	betlaneyê	0.939	0.521	0.512
holidayseason	NO TRANSLATION	0.875	0.566	0.518
holiness	rûhanî	0.860	0.264	0.742
holistic	holistic	0.670	0.348	0.547
holler	holler	0.276	0.825	0.406
hollow	navvala	0.300	0.337	0.222
holly	holly	0.510	0.250	0.443
holocaust	holocaust	0.062	0.918	0.618
hologram	hologram	0.615	0.461	0.575
holographic	holographîk	0.510	0.471	0.555
holster	holster	0.561	0.255	0.339
holy	rûhane	0.812	0.112	0.690
holyspirit	NO TRANSLATION	0.740	0.480	0.526
homage	navbilindkirin	0.833	0.560	0.737
hombre	NO TRANSLATION	0.656	0.472	0.696
hombres	NO TRANSLATION	0.510	0.538	0.652
home	xane	0.854	0.270	0.545
homeboy	malê	0.602	0.255	0.436
homecoming	malê	0.760	0.413	0.472
homeland	welatê	0.663	0.439	0.868
homeless	bêmal	0.042	0.450	0.188
homely	homely	0.745	0.157	0.399
homemade	malê	0.869	0.340	0.398
homeopathic	malopathîk	0.417	0.268	0.400
homeopathy	malopathy	0.469	0.284	0.439
homeowner	malê	0.635	0.397	0.962
homeroom	homeroom	0.604	0.480	0.491
homesick	hesreta mal	0.436	0.304	0.347
homestead	malê	0.865	0.221	0.536
homesweethome	dirav dan	0.796	0.380	0.538
hometown	bajêr	0.858	0.333	0.605
homeward	xanî	0.833	0.275	0.435
homework	wazîfa malê	0.396	0.412	0.459
homey	homey	0.769	0.278	0.500
homicidal	mirovî	0.020	0.912	0.573
homicide	kûştinî	0.010	0.973	0.518
homily	hêrs	0.621	0.358	0.425
homing	xerîb	0.551	0.460	0.527
hominy	xanî	0.479	0.382	0.429
homo	homo	0.531	0.368	0.415
homogeneity	homogeneity	0.715	0.365	0.582
homogeneous	homogeneous	0.552	0.255	0.617
homologous	dilsoz	0.471	0.353	0.536
homologue	homologue	0.542	0.356	0.509
homology	homology	0.571	0.494	0.527
homophobic	homophobic	0.130	0.736	0.464
homosexual	homosexual	0.333	0.780	0.431
homosexuality	homosexuality	0.367	0.696	0.429
honcho	honcho	0.469	0.464	0.397
hone	hen	0.688	0.392	0.473
honest	dilpaqij	0.927	0.254	0.750
honesty	rastî	0.938	0.411	0.728
honey	hûngiv	0.920	0.431	0.510
honeycomb	darê mêşa hûngiv	0.541	0.417	0.412
honeymoon	gera paşzewacê	0.979	0.678	0.526
honeysuckle	honeysuckle	0.597	0.451	0.517
honk	honey	0.549	0.635	0.415
honky	şahî	0.458	0.632	0.425
honor	namûs	0.896	0.587	0.857
honorable	binamûs	0.963	0.412	0.830
honorarium	rûmet	0.796	0.510	0.746
honorary	rûmet	0.885	0.565	0.811
honored	rûmet kirin	0.938	0.447	0.732
hooch	hîç	0.429	0.538	0.373
hood	kûmik	0.357	0.459	0.306
hooded	hûrkirî	0.306	0.745	0.439
hoodlum	hoodlum	0.354	0.720	0.432
hoof	nal	0.427	0.341	0.365
hook	çengel	0.418	0.444	0.395
hooked	qîrîn	0.610	0.661	0.454
hooker	xerîb	0.214	0.889	0.373
hookup	pêwendî	0.625	0.529	0.683
hooky	hooky	0.468	0.500	0.452
hooligan	hooligan	0.295	0.712	0.455
hoop	hoop	0.635	0.204	0.315
hoopla	hoopla	0.542	0.471	0.353
hooray	hooray	0.610	0.481	0.536
hoot	hoot	0.449	0.560	0.430
hooter	hooter	0.470	0.615	0.455
hop	hilperkîn	0.450	0.520	0.427
hope	hêvî	0.927	0.317	0.739
hopeful	hêvîyane	0.947	0.357	0.627
hopeless	bêhêvî	0.094	0.298	0.112
hopelessness	bêhêvî	0.052	0.402	0.223
hopes	hêvî	0.917	0.500	0.702
hoping	hêvî dike	0.684	0.469	0.454
hopper	hopper	0.396	0.491	0.442
horde	horde	0.286	0.713	0.684
horizon	asûman	0.729	0.284	0.590
horizontal	asumane	0.573	0.304	0.387
horizontally	zelal	0.500	0.356	0.439
hormonal	hormonal	0.500	0.620	0.551
hormone	hormone	0.490	0.750	0.621
horn	qiloç	0.385	0.510	0.366
horned	hêrs	0.316	0.610	0.375
hornet	moz	0.398	0.594	0.500
horny	hêrs	0.490	0.908	0.560
horoscope	horoscope	0.500	0.360	0.490
horrendous	xerîb	0.073	0.755	0.365
horrible	xofane	0.071	0.857	0.398
horribly	xerîb	0.050	0.631	0.454
horrid	hêrs	0.052	0.765	0.419
horrific	tirsnak	0.094	0.846	0.481
horrified	tirsa	0.040	0.885	0.368
horrifying	tirsnak	0.010	0.760	0.352
horror	xof	0.115	0.850	0.438
horrors	tirs	0.061	0.852	0.409
horse	hesp	0.635	0.510	0.529
horseback	hespek	0.688	0.588	0.566
horseman	hesp	0.441	0.700	0.676
horsepower	hesp	0.594	0.735	0.735
