Word	Serbian-sr	Valence	Arousal	Dominance
nasty	гадно	0.115	0.620	0.264
natal	натал	0.755	0.462	0.481
nation	нација	0.594	0.443	0.821
national	национално	0.698	0.365	0.663
nationality	националност	0.642	0.400	0.772
nationwide	натионвиде	0.684	0.217	0.672
native	нативе	0.635	0.422	0.710
nativity	рођење	0.750	0.337	0.673
natural	природно	0.854	0.118	0.481
natural gas	природни гас	0.635	0.324	0.396
naturalist	натуралиста	0.844	0.255	0.562
naturalization	натурализација	0.781	0.279	0.652
naturalized	натурализован	0.760	0.333	0.600
naturally	природно	0.854	0.276	0.549
nature	природа	0.857	0.184	0.643
naught	ниста	0.344	0.176	0.161
naughty	наугхти	0.451	0.857	0.371
nausea	мучнина	0.104	0.781	0.273
nauseate	мучити	0.062	0.660	0.176
nauseating	мучнина	0.021	0.640	0.250
nauseous	мука	0.135	0.780	0.284
nautical	наутички	0.646	0.250	0.579
nautilus	наутилус	0.396	0.509	0.517
naval	морнарице	0.542	0.449	0.679
nave	наве	0.583	0.448	0.585
navel	пупка	0.448	0.261	0.276
navigable	пливајући	0.749	0.406	0.645
navigate	навигате	0.740	0.555	0.675
navigation	навигација	0.841	0.470	0.720
navigational	навигационо	0.573	0.481	0.564
navigator	навигатор	0.583	0.592	0.623
navy	морнарица	0.531	0.760	0.764
nay	NO TRANSLATION	0.344	0.290	0.325
nearsighted	близак	0.271	0.373	0.265
neat	уредан	0.878	0.235	0.491
neatly	уредно	0.802	0.412	0.588
nebula	небула	0.510	0.418	0.438
nebulae	небулае	0.490	0.330	0.472
nebulous	небулоус	0.469	0.347	0.417
necessarily	нужно	0.667	0.423	0.598
necessary	неопходно	0.750	0.433	0.679
necessitate	нужно	0.578	0.604	0.516
necessities	потребама	0.520	0.630	0.463
necessity	нужност	0.567	0.471	0.588
neck	врат	0.541	0.245	0.345
necklace	огрлица	0.760	0.294	0.373
necktie	кравата	0.583	0.229	0.314
necromancer	Некроманцер	0.333	0.625	0.536
necrosis	некроза	0.115	0.622	0.385
nectar	нектар	0.746	0.331	0.398
need	потреба	0.510	0.574	0.200
needalife	NO TRANSLATION	0.490	0.443	0.394
needed	потребно	0.677	0.342	0.679
needful	потребан	0.582	0.460	0.614
needit	NO TRANSLATION	0.250	0.472	0.356
needle	иглу	0.250	0.472	0.360
needlepoint	иглепоинт	0.653	0.500	0.556
needles	игле	0.250	0.602	0.348
needless	непотребно	0.327	0.385	0.200
needtoknow	треба да знају	0.427	0.606	0.474
needtorelax	NO TRANSLATION	0.673	0.438	0.274
needy	потребан	0.360	0.451	0.245
nefarious	нефариоус	0.184	0.720	0.528
negation	негација	0.255	0.461	0.297
negative	негативно	0.102	0.527	0.176
negativity	негативност	0.060	0.520	0.273
neglect	занемаривање	0.045	0.550	0.163
neglected	занемарен	0.271	0.385	0.160
neglecting	запостављајући	0.177	0.441	0.230
negligee	неглигее	0.385	0.520	0.336
negligence	немарност	0.092	0.570	0.251
negligent	немарно	0.167	0.583	0.259
negligently	NO TRANSLATION	0.056	0.583	0.266
negligible	занемарљив	0.177	0.292	0.232
negotiable	неготиабле	0.688	0.585	0.731
negotiate	преговарати	0.612	0.708	0.769
negotiation	преговарање	0.490	0.615	0.728
negotiator	преговарач	0.635	0.471	0.817
negro	негро	0.354	0.368	0.461
neigh	сусед	0.378	0.642	0.373
neighbor	комшија	0.657	0.448	0.434
neighborhood	комшилук	0.385	0.469	0.373
neighboring	сусједне	0.656	0.306	0.481
nemesis	немесис	0.271	0.688	0.647
neon	неон	0.594	0.480	0.380
neonatal	неонатални	0.542	0.529	0.357
neophyte	неофит	0.286	0.363	0.411
neoprene	неопрен	0.316	0.451	0.443
nephew	нећак	0.719	0.337	0.412
nepotism	непотизам	0.349	0.584	0.517
nerd	штребер	0.408	0.481	0.315
nerdy	нерди	0.296	0.255	0.292
nerve	нерв	0.129	0.698	0.307
nerves	нерви	0.333	0.783	0.264
nervous	нервозан	0.235	0.820	0.213
nervousness	нервоза	0.163	0.915	0.241
nervouswreck	NO TRANSLATION	0.112	0.867	0.179
nervy	NO TRANSLATION	0.250	0.830	0.241
ness	несс	0.396	0.480	0.392
nest	гнездо	0.687	0.221	0.333
nestle	нестле	0.625	0.308	0.379
nestling	нестајање	0.604	0.427	0.286
net	нет	0.441	0.288	0.417
nether	нетхер	0.240	0.265	0.259
netting	неттинг	0.368	0.509	0.585
nettle	коприва	0.406	0.324	0.490
network	мрежа	0.531	0.337	0.466
networking	умрежавање	0.625	0.482	0.545
neural	неурал	0.582	0.426	0.391
neuralgia	неуралгија	0.092	0.706	0.439
neurological	неуролошки	0.500	0.540	0.558
neurologist	неуролог	0.608	0.500	0.736
neurology	неурологија	0.459	0.537	0.580
neurosis	неуроза	0.122	0.766	0.418
neurosurgeon	неурохирург	0.590	0.673	0.755
neurosurgery	неурохирургија	0.490	0.632	0.730
neurotic	неуротик	0.198	0.801	0.387
neuter	неутер	0.621	0.163	0.302
neutral	неутрално	0.469	0.184	0.357
neutrality	неутралност	0.469	0.205	0.434
neutralize	неутралисати	0.519	0.363	0.719
neutron	неутрон	0.469	0.440	0.679
new	ново	0.917	0.490	0.582
new age	Ново доба	0.694	0.556	0.727
newbeginnings	NO TRANSLATION	0.802	0.613	0.524
newborn	новорођенче	0.918	0.580	0.372
newcomer	новинара	0.622	0.380	0.396
newday	Нови дан	0.847	0.388	0.618
newfound	невфоунд	0.745	0.741	0.520
newjob	NO TRANSLATION	0.755	0.643	0.729
newlife	Нови живот	0.898	0.646	0.701
newly	ново	0.688	0.422	0.552
newlywed	невливед	0.847	0.706	0.570
newme	невме	0.643	0.550	0.527
newness	новост	0.740	0.522	0.588
news	вести	0.633	0.580	0.610
newscast	невсцаст	0.531	0.509	0.714
newscaster	невсцастер	0.646	0.510	0.764
newsflash	невсфласх	0.604	0.637	0.518
newsletter	невслеттер	0.622	0.385	0.490
newsman	невсман	0.604	0.480	0.696
newspaper	новине	0.602	0.283	0.444
newspaperman	новинар	0.561	0.458	0.750
newsreel	невсреел	0.625	0.571	0.577
newsroom	невсроом	0.531	0.392	0.658
newsstand	киоск	0.615	0.222	0.336
newstart	Нови почетак	0.802	0.510	0.667
newt	невт	0.458	0.380	0.541
newyear	NO TRANSLATION	0.938	0.784	0.520
nexus	некус	0.496	0.368	0.412
nib	ниб	0.510	0.282	0.406
nibble	ниббле	0.551	0.551	0.411
nice	леп	0.930	0.442	0.650
niche	ниша	0.459	0.413	0.318
nichts	NO TRANSLATION	0.406	0.293	0.404
nick	ницк	0.554	0.388	0.387
nickel	никл	0.510	0.347	0.406
nickname	надимак	0.490	0.470	0.263
nicotine	никотин	0.235	0.608	0.447
niece	нећак	0.771	0.320	0.400
nifty	Чудно	0.740	0.745	0.815
nigger	црњо	0.240	0.347	0.398
nigh	близу	0.653	0.216	0.336
night	ноћ	0.598	0.396	0.404
nightcap	нигхтцап	0.750	0.196	0.268
nightclub	ноћни клуб	0.802	0.894	0.528
nightfall	ноћас	0.490	0.436	0.426
nightgown	нигхтговн	0.643	0.408	0.250
nightie	нигхтие	0.630	0.388	0.274
nightingale	Сладак	0.740	0.340	0.496
nightlife	ноћни зивот	0.542	0.783	0.510
nightly	ноћно	0.673	0.410	0.474
nightmare	ноћна мора	0.005	0.810	0.436
nightmares	ноћне море	0.082	0.942	0.448
nightstand	ноћни ормарић	0.490	0.130	0.327
nightstick	ноћни кош	0.500	0.461	0.348
nighttime	ноћу	0.735	0.385	0.439
nihilism	нихилизам	0.367	0.510	0.364
nil	нула	0.286	0.143	0.157
nimble	нимбле	0.833	0.729	0.769
nimrod	нимрод	0.327	0.500	0.539
nincompoop	нинцомпооп	0.365	0.431	0.368
nine	девет	0.552	0.255	0.327
nineteen	деветнаест	0.673	0.304	0.375
ninety	деведесет	0.479	0.349	0.436
ninja	Нинџа	0.542	0.844	0.682
ninny	нинни	0.344	0.343	0.309
nintendo	Нинтендо	0.802	0.571	0.464
ninth	девети	0.490	0.212	0.396
nip	нип	0.281	0.700	0.264
nipper	ниппер	0.386	0.422	0.317
nipple	брадавица	0.480	0.786	0.415
nippy	ниппи	0.540	0.500	0.416
nitrate	нитрат	0.388	0.406	0.500
nitro	нитро	0.500	0.647	0.639
nitrogen	азот	0.427	0.435	0.562
nitrous	нитро	0.435	0.561	0.411
nitwit	нитвит	0.146	0.606	0.139
nix	ник	0.330	0.380	0.404
no anticipation	нема предвиђања	0.396	0.480	0.341
no disgust	нема гнуса	0.510	0.324	0.448
no emotion	без емоција	0.170	0.109	0.225
no sentiment	нема расположења	0.092	0.382	0.278
no surprise	не изненађује	0.171	0.224	0.412
no trust	нема поверења	0.055	0.445	0.257
nobility	племство	0.844	0.347	0.736
noble	племенито	0.906	0.345	0.610
nobleman	племић	0.675	0.286	0.709
nobodycares	NO TRANSLATION	0.365	0.410	0.354
nocomplaints	NO TRANSLATION	0.677	0.164	0.491
nocturnal	ноћни	0.540	0.500	0.462
nod	климати	0.590	0.367	0.427
nodding	Климну главом	0.694	0.294	0.426
node	чвор	0.396	0.343	0.361
nodular	нодуларни	0.438	0.351	0.411
nodule	нодуле	0.312	0.426	0.349
noggin	ноггин	0.510	0.433	0.382
nohope	NO TRANSLATION	0.200	0.441	0.385
noir	ноир	0.375	0.394	0.365
noise	бука	0.260	0.883	0.388
noisy	бучно	0.271	0.812	0.561
nomad	номад	0.375	0.413	0.433
nomadic	номадски	0.427	0.519	0.422
nomenclature	номенклатура	0.500	0.222	0.575
nominal	номинална	0.594	0.250	0.463
nominate	номинирати	0.615	0.471	0.669
nomination	номинација	0.663	0.637	0.696
nominee	номиновани	0.662	0.625	0.765
nonce	нонце	0.422	0.370	0.377
nonchalant	нонцхалант	0.312	0.314	0.366
noncompliance	неусклађеност	0.112	0.598	0.259
nondescript	ненесцрипт	0.490	0.434	0.348
nonexistent	не постоји	0.208	0.429	0.149
nonfat	нонфат	0.604	0.260	0.340
nonfiction	филозофија	0.426	0.315	0.431
nonpayment	неплаћање	0.229	0.510	0.298
nonresident	нерезидент	0.250	0.340	0.302
nonsense	глупости	0.214	0.531	0.155
nonsensical	Бесмислено	0.173	0.268	0.193
nonviolent	ненасилан	0.640	0.287	0.346
noob	тикван	0.417	0.430	0.267
noodle	ноодле	0.633	0.216	0.225
nook	ноок	0.480	0.321	0.296
noon	подне	0.531	0.343	0.518
noose	нос	0.356	0.300	0.330
nopoint	NO TRANSLATION	0.276	0.324	0.314
noregrets	NO TRANSLATION	0.469	0.476	0.426
norm	норма	0.500	0.245	0.527
normal	нормално	0.740	0.127	0.380
normalcy	нормалност	0.805	0.151	0.620
normality	нормалност	0.781	0.089	0.444
north	север	0.531	0.255	0.450
northbound	сјеверно	0.604	0.454	0.491
northeast	североисток	0.562	0.260	0.375
northern	северно	0.570	0.340	0.472
northwest	северозапад	0.604	0.345	0.451
northwestern	сјеверозапад	0.479	0.306	0.462
noschool	NO TRANSLATION	0.490	0.400	0.380
nose	нос	0.582	0.270	0.245
nosebleed	носблеед	0.153	0.776	0.361
nosey	носи	0.276	0.655	0.223
nosnow	носнов	0.392	0.394	0.366
nostalgia	носталгија	0.417	0.337	0.339
nostalgic	носталгична	0.458	0.351	0.184
nostress	NO TRANSLATION	0.531	0.404	0.415
nostril	ноздрве	0.396	0.404	0.316
nosun	NO TRANSLATION	0.388	0.380	0.351
nosy	носи	0.292	0.558	0.433
not negative	не негативно	0.622	0.270	0.444
not positive	не позитивни	0.051	0.370	0.236
notable	значајан	0.760	0.450	0.696
notables	нотаблес	0.594	0.608	0.755
notably	нарочито	0.792	0.533	0.689
notamorningperson	NO TRANSLATION	0.469	0.578	0.440
notary	Бележник	0.541	0.451	0.676
notation	нотација	0.635	0.380	0.558
notch	изрез	0.459	0.361	0.358
notched	нотцхед	0.480	0.530	0.356
note	Белешка	0.594	0.163	0.416
notebook	свеска	0.449	0.167	0.442
noted	приметио	0.615	0.382	0.464
noteworthy	вреди поменути	0.704	0.481	0.759
nothappy	NO TRANSLATION	0.112	0.320	0.170
nothingbetter	NO TRANSLATION	0.635	0.390	0.543
nothingness	ништа	0.204	0.080	0.161
notice	објава	0.646	0.408	0.491
noticeable	приметно	0.890	0.562	0.750
notification	обавештење	0.604	0.461	0.671
notify	обавестити	0.643	0.471	0.573
notion	појам	0.612	0.284	0.667
notional	номинално	0.520	0.288	0.500
notoriety	озлоглашеност	0.552	0.633	0.769
notorious	познати	0.366	0.582	0.609
notready	није спреман	0.133	0.400	0.196
notwithstanding	без обзира на то	0.367	0.316	0.433
nought	ниста	0.312	0.098	0.116
noun	именица	0.531	0.230	0.477
nourish	ноурисх	0.878	0.460	0.639
nourishment	исхрана	0.786	0.290	0.631
nouveau	NO TRANSLATION	0.633	0.438	0.432
novel	Роман	0.702	0.352	0.439
novelist	романописац	0.340	0.343	0.529
novelty	новост	0.673	0.521	0.740
novice	новинарке	0.429	0.346	0.180
nowadays	данас	0.680	0.346	0.400
nowork	нема посла	0.312	0.264	0.309
noworries	без бриге	0.630	0.402	0.500
noxious	штетан	0.177	0.585	0.379
nozzle	млазница	0.438	0.330	0.287
nuance	нијанса	0.408	0.282	0.411
nuances	нијанси	0.490	0.375	0.527
nuclear	нуклеарна	0.219	0.856	0.781
nucleus	језгро	0.529	0.296	0.667
nude	нуде	0.490	0.915	0.200
nudge	гурање	0.448	0.500	0.509
nudie	нудие	0.500	0.529	0.373
nudist	нудистички	0.440	0.796	0.483
nudity	голотиња	0.438	0.853	0.415
nugget	нуггет	0.602	0.340	0.348
nuisance	сметња	0.198	0.817	0.227
nuke	нуклеарка	0.125	0.905	0.873
nul	NO TRANSLATION	0.337	0.358	0.264
null	нула	0.253	0.147	0.152
nullify	нуллифи	0.255	0.373	0.395
numb	нумб	0.108	0.420	0.352
number	број	0.406	0.231	0.471
numbering	нумерисање	0.510	0.363	0.482
numbers	бројеви	0.406	0.241	0.440
numbness	нумбнесс	0.306	0.398	0.265
numbskull	нумбскулл	0.300	0.472	0.284
numeral	нумерал	0.582	0.254	0.382
numerator	нумератор	0.490	0.317	0.526
numerical	нумерички	0.479	0.322	0.517
numerically	нумерички	0.510	0.337	0.500
numerous	бројни	0.622	0.462	0.609
nun	NO TRANSLATION	0.500	0.150	0.406
nunchucks	нунцхуцкс	0.337	0.580	0.526
nunnery	самостан	0.653	0.236	0.473
nuptials	нуптиалс	0.771	0.588	0.571
nurse	медицинска сестра	0.635	0.578	0.521
nursemaid	нурсемаид	0.615	0.431	0.436
nursery	јаслице	0.894	0.406	0.389
nursing	нега	0.552	0.549	0.653
nurture	неговати	0.745	0.378	0.657
nut	нут	0.365	0.310	0.250
nutcase	нутцасе	0.286	0.775	0.259
nutcracker	нутцрацкер	0.635	0.378	0.522
nuthouse	нутхоусе	0.347	0.519	0.434
nutmeg	мушкатни орах	0.635	0.302	0.350
nutrition	исхрана	0.885	0.420	0.579
nutritional	нутритионал	0.812	0.406	0.676
nutritious	хранљиво	0.833	0.337	0.655
nutritive	нутритивно	0.875	0.422	0.667
nuts	ораси	0.594	0.250	0.291
nutshell	нутсхелл	0.458	0.407	0.310
nutty	сулудо	0.444	0.317	0.271
nylon	најлон	0.490	0.304	0.295
nylong	NO TRANSLATION	0.439	0.248	0.351
nylons	нилонс	0.556	0.379	0.320
nymph	нимфа	0.542	0.529	0.472
nymphomaniac	нимфоманац	0.398	0.894	0.536
oaf	оаф	0.344	0.357	0.330
oak	храст	0.583	0.245	0.536
oar	весло	0.469	0.392	0.316
oasis	оаза	0.796	0.283	0.429
oat	овса	0.622	0.170	0.298
oath	заклетва	0.543	0.615	0.824
oatmeal	овсена каша	0.592	0.192	0.241
obedience	послушност	0.765	0.287	0.536
obedient	послушни	0.800	0.179	0.518
obediently	беспоговорно	0.802	0.304	0.577
obelisk	обелиск	0.604	0.408	0.596
obese	гојазно	0.133	0.427	0.250
obesity	гојазност	0.215	0.370	0.328
obey	поштовати	0.677	0.433	0.533
obi	оби	0.469	0.442	0.414
obit	обит	0.410	0.464	0.393
obituary	небројено	0.188	0.330	0.423
object	објекат	0.531	0.356	0.375
objection	приговор	0.347	0.592	0.709
objectionable	спорно	0.459	0.382	0.558
objective	објективан	0.724	0.337	0.736
objectivity	објективност	0.765	0.431	0.711
obligation	обавеза	0.222	0.596	0.718
obligatory	обавезно	0.337	0.571	0.780
oblige	обавезати	0.281	0.770	0.614
obliged	обавезан	0.327	0.680	0.411
obliging	обавезујући	0.740	0.402	0.545
obligor	обвезник	0.302	0.600	0.360
oblique	коси	0.438	0.347	0.455
obliterate	обрисати	0.250	0.539	0.569
obliterated	избрисана	0.240	0.469	0.344
obliteration	облитератион	0.177	0.622	0.397
oblivion	заборав	0.153	0.330	0.282
oblivious	заборављен	0.229	0.388	0.355
oblong	подолговато	0.561	0.455	0.370
obnoxious	безобразно	0.088	0.602	0.256
oboe	обое	0.510	0.340	0.392
obscene	опсцен	0.050	0.745	0.348
obscenity	опсценост	0.083	0.843	0.418
obscure	нејасан	0.370	0.551	0.278
obscured	нејасан	0.115	0.356	0.298
obscurity	опскурност	0.208	0.392	0.380
observance	поштовање	0.531	0.315	0.632
observant	посматрач	0.740	0.422	0.708
observation	посматрање	0.633	0.433	0.667
observatory	опсерваторија	0.643	0.324	0.731
observe	посматрајте	0.771	0.390	0.360
observer	посматрач	0.663	0.363	0.603
observing	посматрање	0.583	0.400	0.685
obsess	опседнутост	0.112	0.846	0.509
obsessed	опседнут	0.219	0.840	0.439
obsessing	опседнутост	0.173	0.773	0.698
obsession	опсесија	0.229	0.847	0.571
obsessive	опсесивно	0.219	0.823	0.480
obsolescence	застарјела	0.250	0.431	0.377
obsolete	застарело	0.337	0.321	0.250
obstacle	препрека	0.204	0.708	0.336
obstetrician	породничар	0.521	0.636	0.604
obstetrics	породништво	0.530	0.582	0.564
obstinate	тврдоглава	0.146	0.696	0.562
obstruct	опструирати	0.115	0.660	0.458
obstruction	опструкција	0.125	0.742	0.491
obstructive	опструктивно	0.204	0.650	0.613
obtain	добити	0.760	0.438	0.731
obtainable	доступно	0.677	0.327	0.702
obtuse	обтусе	0.281	0.460	0.345
obverse	обрисе	0.470	0.394	0.464
obvious	очигледан	0.625	0.336	0.585
ocarina	оцарина	0.541	0.392	0.366
occasion	прилика	0.700	0.451	0.398
occasional	повремен	0.490	0.298	0.387
occasionally	повремено	0.538	0.240	0.264
occipital	окципитал	0.398	0.408	0.518
occlusion	оклузија	0.306	0.439	0.442
occult	окултно	0.292	0.382	0.406
occupancy	становање	0.625	0.471	0.721
occupant	станар	0.500	0.417	0.483
occupation	занимање	0.562	0.470	0.692
occupational	занимљиво	0.583	0.469	0.596
occupied	окупирана	0.337	0.546	0.441
occupier	окупатор	0.427	0.438	0.600
occupy	окупирати	0.396	0.520	0.589
occupying	окупира	0.573	0.462	0.519
occur	појавити	0.451	0.561	0.510
occurrence	појава	0.573	0.690	0.541
ocd	оцд	0.333	0.472	0.370
ocean	океан	0.823	0.308	0.642
oceanic	оцеанско	0.740	0.317	0.632
octagon	октагон	0.602	0.349	0.462
octave	октава	0.438	0.380	0.482
octopus	хоботница	0.713	0.378	0.411
ocular	очију	0.418	0.370	0.400
odd	чудно	0.265	0.337	0.302
oddball	оддбалл	0.316	0.360	0.357
oddity	чудесност	0.312	0.557	0.386
odds	квоте	0.500	0.472	0.680
ode	оде	0.604	0.269	0.519
odious	одвратан	0.235	0.708	0.235
odometer	одометар	0.367	0.470	0.388
odor	мирис	0.337	0.363	0.404
odyssey	одиссеи	0.622	0.692	0.710
oedipal	оедипал	0.312	0.575	0.509
oestrogen	естроген	0.521	0.608	0.561
oeuvre	NO TRANSLATION	0.653	0.484	0.598
offal	остатке	0.302	0.470	0.302
offence	прекршај	0.312	0.798	0.446
offend	увреде	0.094	0.804	0.333
offended	увређени	0.188	0.690	0.337
offender	преступник	0.104	0.851	0.537
offense	прекршај	0.230	0.765	0.510
offensive	офанзивно	0.135	0.882	0.600
offer	понуда	0.750	0.745	0.596
offered	понуђени	0.582	0.490	0.544
offering	нуде	0.688	0.462	0.585
offhand	оффханд	0.388	0.500	0.368
office	канцеларија	0.427	0.302	0.509
officer	официр	0.542	0.430	0.877
offices	канцеларије	0.469	0.312	0.534
official	званичник	0.646	0.565	0.833
officiate	службено	0.688	0.453	0.704
offing	оффинг	0.490	0.412	0.447
offload	оффлоад	0.479	0.444	0.525
offset	офсет	0.719	0.394	0.704
offshoot	оффсхоот	0.517	0.330	0.361
offshore	оффсхоре	0.417	0.484	0.441
offside	офсајд	0.323	0.519	0.443
offspring	потомство	0.656	0.435	0.600
oft	офт	0.500	0.308	0.474
oftentimes	обично	0.571	0.500	0.482
ogre	огре	0.135	0.698	0.510
ohdear	NO TRANSLATION	0.458	0.519	0.442
ohgod	NO TRANSLATION	0.500	0.557	0.439
ohno	о, не	0.396	0.475	0.380
ohshit	NO TRANSLATION	0.230	0.594	0.343
oil	уље	0.521	0.278	0.306
oils	уља	0.459	0.229	0.391
oily	масноће	0.276	0.533	0.385
oink	оинк	0.500	0.450	0.289
ointment	маст	0.438	0.271	0.398
okra	окра	0.469	0.400	0.362
old	стари	0.410	0.279	0.315
olden	олден	0.284	0.213	0.425
older	старији	0.385	0.255	0.317
oldie	олдие	0.363	0.363	0.342
oldies	олдиес	0.438	0.300	0.412
olfactory	олфацтори	0.602	0.409	0.452
oligarchy	олигархија	0.327	0.567	0.741
olive	маслине	0.571	0.231	0.406
omega	омега	0.529	0.337	0.526
omelet	омлет	0.708	0.323	0.315
omen	знак	0.390	0.657	0.583
omgomgomg	NO TRANSLATION	0.490	0.551	0.358
ominous	Злобно	0.255	0.730	0.510
omission	пропуст	0.367	0.333	0.275
omit	изоставити	0.330	0.265	0.451
omitted	изостављен	0.260	0.235	0.211
omnibus	омнибус	0.490	0.410	0.473
omnipotence	омнипотенција	0.667	0.793	0.866
omnipotent	свемогући	0.719	0.679	0.919
omnipresent	свеприсутан	0.688	0.452	0.825
omniscient	свезнајући	0.656	0.334	0.778
onboard	на броду	0.612	0.451	0.491
oncologist	онколог	0.260	0.654	0.640
oncology	онкологија	0.204	0.424	0.500
oncoming	долазећи	0.594	0.625	0.773
one	један	0.542	0.292	0.370
oneday	NO TRANSLATION	0.667	0.245	0.374
onedge	на ивици	0.479	0.552	0.400
onelove	једна љубав	0.816	0.577	0.541
oneness	јединство	0.745	0.272	0.720
onerous	претерано	0.500	0.480	0.462
oneself	себе	0.660	0.337	0.483
ongoing	у току, сталан	0.674	0.484	0.556
onion	лук	0.378	0.367	0.382
onset	почетак	0.673	0.497	0.500
onslaught	напад	0.198	0.939	0.717
onstage	на бини	0.719	0.673	0.583
ontology	онтологија	0.510	0.450	0.518
onus	онус	0.562	0.520	0.769
onward	даље	0.667	0.538	0.741
onyx	оник	0.571	0.461	0.380
oodles	оодлес	0.490	0.374	0.446
oomph	оомпх	0.449	0.613	0.315
ooze	оозе	0.344	0.577	0.333
oozing	оозинг	0.238	0.515	0.427
op	оп	0.480	0.402	0.349
opacity	непрозирност	0.471	0.251	0.256
opal	опал	0.623	0.479	0.379
opaque	непрозирно	0.344	0.265	0.342
ope	Опе	0.375	0.380	0.395
open	отворен	0.620	0.480	0.569
opener	отварач	0.584	0.526	0.377
opening	отварање	0.667	0.510	0.620
openly	отворено	0.603	0.388	0.553
openness	отвореност	0.837	0.561	0.667
opera	опера	0.714	0.500	0.483
operate	радити	0.582	0.690	0.691
operatic	операт	0.375	0.452	0.627
operation	операција	0.475	0.611	0.755
operational	оперативни	0.562	0.570	0.679
operations	операције	0.480	0.549	0.798
operative	оперативан	0.541	0.635	0.718
operator	оператор	0.612	0.630	0.726
ophthalmic	офталмолошки	0.427	0.385	0.444
ophthalmologist	офталмолог	0.552	0.389	0.491
opiate	опијат	0.281	0.594	0.598
opinion	мишљење	0.594	0.482	0.638
opinionated	мишљење	0.156	0.800	0.491
opium	опијум	0.276	0.490	0.333
opponent	противник	0.080	0.741	0.716
opportune	погодно	0.796	0.538	0.767
opportunism	опортунизам	0.571	0.752	0.673
opportunity	прилика	0.938	0.745	0.833
oppose	Против	0.431	0.800	0.473
opposed	против	0.092	0.460	0.606
opposing	супротстављање	0.188	0.660	0.518
opposite	супротно	0.235	0.545	0.408
opposites	супротности	0.281	0.518	0.462
opposition	опозиција	0.135	0.729	0.592
oppress	потлачити	0.186	0.654	0.555
oppressed	потлачени	0.119	0.640	0.259
oppression	угњетавање	0.080	0.673	0.615
oppressive	репресивна	0.276	0.590	0.667
oppressor	угњетач	0.160	0.776	0.629
ops	опс	0.417	0.550	0.528
opt	опт	0.510	0.471	0.345
optic	оптички	0.663	0.384	0.594
optical	оптички	0.677	0.311	0.542
optics	оптика	0.562	0.286	0.580
optimism	оптимизам	0.949	0.565	0.814
optimist	оптимиста	0.875	0.539	0.787
optimistic	оптимистичан	0.979	0.580	0.821
optimum	оптимално	0.892	0.469	0.808
option	опција	0.512	0.427	0.359
optional	опционо	0.755	0.350	0.440
optionally	по потреби	0.365	0.405	0.481
options	Опције	0.622	0.327	0.473
optometrist	оптометрист	0.446	0.455	0.668
opulence	богатство	0.620	0.615	0.648
opulent	богатство	0.562	0.660	0.660
opus	опус	0.458	0.368	0.391
oracle	орацле	0.552	0.531	0.670
oral	орално	0.530	0.448	0.375
orange	наранџаста	0.646	0.132	0.296
orange juice	сок од поморанџе	0.719	0.343	0.445
orangutan	орангутан	0.430	0.560	0.471
oration	оратион	0.646	0.315	0.683
orator	оратор	0.667	0.375	0.682
oratory	оратори	0.602	0.472	0.693
orb	орб	0.463	0.370	0.444
orbit	орбита	0.561	0.422	0.575
orbital	орбитал	0.458	0.451	0.559
orbiting	орбитира	0.520	0.643	0.554
orbs	орбс	0.469	0.355	0.482
orc	орц	0.240	0.510	0.388
orchard	воћњак	0.760	0.269	0.333
orchestra	оркестар	0.708	0.500	0.664
orchid	орхидеја	0.840	0.345	0.382
ordained	ордаинед	0.735	0.409	0.731
ordeal	тешко	0.344	0.539	0.529
order	наручи	0.780	0.295	0.814
orderly	уредно	0.844	0.240	0.661
ordinance	уредба	0.615	0.452	0.776
ordinary	обичан	0.375	0.312	0.286
ordination	ординација	0.688	0.490	0.765
ordnance	орднанце	0.354	0.825	0.679
ore	руда	0.500	0.333	0.356
oregano	оригано	0.596	0.327	0.250
organ	орган	0.510	0.469	0.538
organic	органски	0.719	0.343	0.535
organism	организма	0.457	0.559	0.800
organist	органиста	0.740	0.469	0.669
organization	организација	0.810	0.535	0.851
organize	организовати	0.802	0.655	0.781
organized	организован	0.816	0.337	0.746
organizer	организатор	0.604	0.577	0.846
orgasm	оргазам	0.844	0.863	0.676
orgies	оргије	0.388	0.953	0.433
orgy	оргија	0.346	0.962	0.536
orient	ориент	0.667	0.422	0.667
oriental	оријентални	0.592	0.409	0.598
orientation	оријентација	0.667	0.454	0.686
orifice	отвора	0.448	0.355	0.443
origami	оригами	0.684	0.276	0.294
origin	порекло	0.729	0.435	0.591
original	оригинал	0.765	0.480	0.746
originality	оригиналност	0.898	0.500	0.824
originate	порекло	0.702	0.500	0.866
origination	порекло	0.760	0.443	0.604
originator	оригинатор	0.592	0.510	0.868
ornament	орнамент	0.561	0.373	0.441
ornamental	украсно	0.663	0.392	0.460
ornamentation	орнаментатион	0.663	0.471	0.472
ornamented	украшен	0.677	0.350	0.490
ornate	орнате	0.812	0.356	0.500
ornery	орнери	0.361	0.520	0.509
orphan	сироче	0.133	0.388	0.140
orphanage	сиротиште	0.184	0.439	0.425
orphaned	сироче	0.062	0.430	0.228
orthodontist	ортодонт	0.469	0.615	0.564
orthodox	православан	0.388	0.471	0.647
orthodoxy	православље	0.271	0.388	0.612
orthogonal	ортогонално	0.500	0.314	0.540
orthopedic	ортопедски	0.406	0.346	0.473
oscillate	осцилирати	0.449	0.580	0.397
