Word	Armenian-hy	Valence	Arousal	Dominance
loopy	նահանջ	0.438	0.520	0.195
loose	չամրացված	0.573	0.312	0.365
loosen	թուլացնել	0.487	0.337	0.218
loosening	թուլացնելով	0.378	0.343	0.295
loot	կողոպտում	0.604	0.711	0.537
lop	lop	0.429	0.363	0.426
lopsided	լիցքավորված	0.125	0.500	0.272
lord	տեր	0.618	0.327	0.684
lords	լորդեր	0.571	0.356	0.781
lordship	տիրապետություն	0.573	0.557	0.736
lore	լոր	0.719	0.373	0.768
lorry	բեռնատար	0.521	0.481	0.402
lose	կորցնել	0.115	0.538	0.176
loser	անհաջողակ	0.083	0.510	0.155
losing	կորցնելով	0.076	0.686	0.223
loss	կորուստը	0.062	0.567	0.211
lost	կորցրեց	0.199	0.663	0.148
lot	շատ	0.531	0.215	0.370
lotion	լոսյոն	0.724	0.261	0.188
lots	շատերը	0.604	0.417	0.424
lottery	վիճակախաղ	0.771	0.731	0.491
lotto	լոտո	0.760	0.635	0.475
lotus	լոտոս	0.604	0.377	0.510
loud	բարձրաձայն	0.573	0.650	0.870
loudly	բարձրաձայն	0.541	0.755	0.667
loudmouth	loudmouth	0.337	0.615	0.456
loudness	բարձրաձայն	0.350	0.582	0.620
loudspeaker	բարձրախոս	0.490	0.735	0.689
lounge	լաունջ	0.592	0.245	0.466
lounging	lounging	0.735	0.167	0.449
louse	լեռը	0.184	0.439	0.154
lousy	տխուր	0.125	0.482	0.234
lovable	սիրելի	0.948	0.335	0.565
love	Սեր	1.000	0.519	0.673
loved	սիրեցիր	0.927	0.452	0.582
lovee	սեր	0.949	0.592	0.611
loveee	սիրուհի	0.927	0.592	0.693
loveless	սիրելիներ	0.102	0.365	0.216
lovelife	NO TRANSLATION	0.837	0.610	0.592
loveliness	սիրահարություն	0.959	0.509	0.750
lovelovelove	NO TRANSLATION	0.948	0.582	0.554
lovely	սիրուն	0.917	0.456	0.741
lovemaking	սիրելիս	0.969	0.927	0.814
lovemylife	սիրում եմ իմ կյանքը	0.896	0.800	0.573
lover	սիրահար	0.881	0.816	0.750
lovesick	սիրում է	0.796	0.842	0.500
lovethis	սիրում եմ սա	0.867	0.552	0.526
loving	սիրող	0.948	0.612	0.636
lovinglife	սիրալիր կյանքը	0.979	0.404	0.673
lovinlife	Սիրում եմ	0.714	0.460	0.544
low	ցածր	0.292	0.220	0.102
lowdown	ցածրորակ	0.306	0.441	0.441
lower	ավելի ցածր	0.327	0.296	0.258
lowering	իջեցում	0.286	0.363	0.236
lowest	ամենացածրը	0.312	0.304	0.129
lowlands	ցածրավանդակներ	0.323	0.290	0.331
lowlife	ցածր	0.296	0.529	0.309
lowly	ցածր	0.562	0.294	0.417
lox	lox- ը	0.490	0.373	0.318
loyal	հավատարիմ	0.896	0.265	0.657
loyalty	հավատարմություն	0.885	0.406	0.793
lsd	lsd	0.375	0.471	0.390
luau	luau	0.594	0.545	0.296
lube	լյուքս	0.552	0.490	0.411
lubricant	քսայուղ	0.656	0.550	0.454
lubricate	քսել	0.552	0.490	0.470
lubrication	քսայուղ	0.624	0.646	0.491
lucid	պարզ	0.771	0.490	0.705
luck	հաջողություն	0.854	0.490	0.717
luckiest	ամենալավը	0.917	0.690	0.852
lucky	բախտավոր	0.960	0.610	0.793
luckygirl	luckygirl	0.781	0.712	0.471
lucrative	շահութաբեր	0.729	0.519	0.798
ludicrous	ծիծաղելի	0.137	0.553	0.274
lug	լույսը	0.344	0.443	0.340
luggage	ուղղեբեռ	0.561	0.226	0.319
lukewarm	գոլ	0.573	0.300	0.241
lull	լուռ	0.602	0.130	0.402
lullaby	օրոր	0.796	0.156	0.339
lumbar	lumbar	0.323	0.418	0.342
lumber	լույսը	0.517	0.184	0.373
lumbering	lumbering	0.354	0.561	0.655
lumberjack	lumberjack	0.500	0.660	0.726
luminescent	luminescent	0.796	0.550	0.526
luminous	լուսավոր	0.918	0.392	0.783
lump	միանգամից	0.438	0.337	0.463
lumpy	լոգոն	0.271	0.378	0.365
lunacy	lunacy	0.132	0.847	0.330
lunar	լուսնային	0.562	0.296	0.427
lunatic	զարմանալի	0.125	0.792	0.442
lunch	լանչ	0.880	0.410	0.542
lunchbox	նախաճաշի տուփ	0.663	0.346	0.346
luncheon	ճաշ	0.837	0.240	0.441
lunchtime	ճաշի ժամանակ	0.896	0.398	0.444
lung	թոք	0.510	0.292	0.629
lunge	լուռ	0.354	0.721	0.509
lungs	թոքերը	0.531	0.352	0.555
lurch	անհանգստություն	0.404	0.694	0.363
lure	գայթակղիչ	0.439	0.565	0.300
lurid	անպարկեշտ	0.186	0.833	0.536
lurk	կողոպտել	0.219	0.740	0.655
lurking	թալանելով	0.421	0.781	0.575
luscious	լուռ	0.885	0.552	0.545
lush	փխրուն	0.740	0.783	0.833
lust	ցանկություն	0.469	0.944	0.518
luster	փայլ	0.833	0.566	0.558
lustful	փրփրացող	0.427	0.896	0.643
lustrous	փայլուն	0.771	0.606	0.598
lusty	ճոխ	0.469	0.941	0.673
lute	լուռ	0.459	0.407	0.500
luxuriant	շքեղ	0.760	0.745	0.812
luxurious	շքեղ	0.947	0.644	0.754
luxury	շքեղություն	0.932	0.673	0.750
lycra	լայկրա	0.520	0.449	0.328
lye	lye	0.378	0.396	0.443
lying	պառկած	0.208	0.704	0.317
lymph	ավշ	0.398	0.510	0.390
lymphatic	լիմֆատիկ	0.380	0.509	0.472
lymphoma	լիմֆոմա	0.208	0.645	0.330
lynch	lynch	0.167	0.885	0.482
lynching	lynching	0.135	0.920	0.548
lynx	սինխի	0.510	0.590	0.567
lyre	lyre	0.719	0.347	0.414
lyric	lyric	0.702	0.269	0.464
lyrical	լիրիկական	0.708	0.451	0.618
lyrics	բառերը	0.582	0.214	0.333
macadamia	մակադամիա	0.635	0.330	0.434
macarena	մակարնան	0.802	0.601	0.368
macaroni	մակարոն	0.816	0.410	0.382
mace	մսից	0.450	0.412	0.415
mach	mach	0.541	0.432	0.463
machete	Մաշեց	0.260	0.690	0.474
machine	մեքենա	0.510	0.500	0.707
machinery	մեքենաներ	0.458	0.615	0.629
machinist	մեքենավար	0.490	0.598	0.721
macho	Մակո	0.643	0.690	0.676
mackerel	սկումբրիա	0.418	0.423	0.426
macro	մակրո	0.552	0.469	0.647
mad	խելագար	0.219	0.873	0.277
madam	տիկին	0.580	0.308	0.571
madame	մադամ	0.604	0.500	0.635
madden	madden	0.329	0.602	0.457
madder	Մեջբերում	0.323	0.853	0.267
mademoiselle	NO TRANSLATION	0.752	0.459	0.461
mademyday	mademyday	0.694	0.573	0.537
madhouse	խելագար	0.156	0.736	0.440
madman	խելագար	0.135	0.880	0.312
madness	խելագարություն	0.104	0.804	0.440
maestro	մաեստրո	0.823	0.357	0.849
mafia	մաֆիա	0.204	0.867	0.676
magazine	ամսագիր	0.615	0.332	0.377
mage	մոգ	0.622	0.373	0.453
magenta	մոխրագույն	0.635	0.275	0.415
maggot	մանգաղ	0.235	0.500	0.235
magic	մոգություն	0.868	0.663	0.578
magical	կախարդական	0.875	0.651	0.595
magician	Մագ	0.714	0.657	0.551
magistrate	մագիստրատուրա	0.587	0.541	0.904
magma	մագմա	0.323	0.623	0.609
magna	magna	0.605	0.490	0.652
magnate	մագնատ	0.627	0.708	0.868
magnesium	մագնեզիում	0.542	0.320	0.321
magnet	մագնիս	0.571	0.318	0.553
magnetic	մագնիսական	0.612	0.529	0.673
magnetism	մագնիսիցիզմ	0.630	0.529	0.741
magnetite	մագնետիտը	0.531	0.490	0.581
magnification	խոշորացում	0.890	0.615	0.880
magnificence	շքեղություն	0.802	0.810	0.920
magnificent	հոյակապ	1.000	0.680	0.886
magnifier	ուժեղացուցիչ	0.469	0.216	0.345
magnify	մեծացնել	0.729	0.561	0.839
magnifying	խոշորացում	0.594	0.265	0.406
magnitude	մագնիտուդով	0.608	0.613	0.774
magnolia	մագնոլիա	0.558	0.343	0.379
magpie	մոխրագույն	0.500	0.458	0.327
mahi mahi	NO TRANSLATION	0.510	0.410	0.398
mahjong	Mahjong	0.556	0.418	0.440
mahogany	մանուկներ	0.602	0.225	0.393
maid	սպասուհին	0.406	0.324	0.300
maiden	աղջիկը	0.755	0.396	0.461
mail	փոստով	0.615	0.231	0.548
mailbox	փոստարկղ	0.573	0.222	0.404
mailing	փոստով	0.688	0.324	0.375
mailman	մենաման	0.659	0.418	0.462
maim	NO TRANSLATION	0.133	0.724	0.496
main	հիմնական	0.667	0.510	0.811
mainframe	մայրցամաք	0.531	0.490	0.557
mainland	Հոնկոնգ	0.680	0.407	0.806
mainstay	հիմնականը	0.694	0.400	0.713
mainstream	հիմնական եղանակով	0.653	0.527	0.660
maintain	պահպանել	0.684	0.398	0.647
maintenance	սպասարկում	0.592	0.410	0.545
majestic	հրաշալի	0.948	0.731	0.906
majesty	մեծություն	0.823	0.602	0.955
major	խոշոր	0.684	0.538	0.874
majority	մեծամասնությունը	0.684	0.560	0.930
make	դարձնել	0.684	0.420	0.480
makeover	makeover	0.771	0.510	0.596
maker	արտադրողը	0.698	0.544	0.706
makeshift	դիվանագիտություն	0.479	0.611	0.389
makesmehappy	NO TRANSLATION	0.894	0.663	0.712
makesmemad	NO TRANSLATION	0.296	0.643	0.500
makeup	դիմահարդարում	0.740	0.333	0.331
makingdisciples	NO TRANSLATION	0.684	0.402	0.664
malady	հիվանդություն	0.190	0.686	0.304
malaise	չարաշահում	0.150	0.600	0.161
malaria	մալարիա	0.125	0.653	0.304
malarkey	malarkey	0.396	0.500	0.465
male	տղամարդիկ	0.612	0.532	0.695
malevolent	չարամիտ	0.094	0.854	0.613
malfeasance	չարաշահում	0.062	0.745	0.325
malformation	անբարեխղճություն	0.083	0.602	0.357
malfunction	անսարքության	0.125	0.577	0.229
malice	NO TRANSLATION	0.073	0.811	0.492
malicious	վնասակար	0.177	0.765	0.607
malign	չարորակ	0.140	0.765	0.481
malignancy	բորբոքումը	0.149	0.814	0.614
malignant	չարորակ	0.143	0.824	0.370
maligned	չարաշահել	0.102	0.684	0.218
mall	առեւտրի կենտրոն	0.724	0.663	0.492
malleable	անսխալական	0.500	0.500	0.391
mallet	մալետ	0.354	0.390	0.483
malnutrition	անբավարարություն	0.024	0.592	0.277
malpractice	անօրինական գործողություններ	0.094	0.559	0.330
malt	սալտ	0.750	0.373	0.324
mama	մայրիկ	0.860	0.413	0.728
mambo	մամբո	0.808	0.622	0.445
mamma	NO TRANSLATION	0.600	0.358	0.449
mammal	կաթնասուն	0.618	0.449	0.421
mammoth	մոնտաժող	0.480	0.471	0.537
mammy	Մամա	0.680	0.415	0.436
man	մարդ	0.688	0.427	0.767
manage	կառավարել	0.560	0.530	0.719
manageable	կառավարելի	0.750	0.361	0.655
management	կառավարում	0.792	0.491	0.806
manager	մենեջեր	0.625	0.549	0.897
managerial	կառավարիչը	0.604	0.520	0.791
mandamus	մանդամուս	0.439	0.577	0.556
mandarin	մանդարին	0.625	0.398	0.491
mandate	մանդատը	0.448	0.670	0.779
mandatory	պարտադիր	0.271	0.667	0.777
mandible	մանդատ	0.510	0.431	0.500
mandolin	մանդոլին	0.708	0.433	0.367
mandrel	կափարիչը	0.310	0.490	0.481
mane	NO TRANSLATION	0.521	0.277	0.373
maneuver	մանեւրը	0.615	0.663	0.608
maneuvering	մանեւրելու	0.635	0.640	0.745
mange	NO TRANSLATION	0.311	0.558	0.348
manger	մսուր	0.656	0.276	0.398
mangle	մանգաղ	0.292	0.449	0.355
mango	մանգո	0.765	0.327	0.290
mangosteen	մանգոստին	0.562	0.500	0.414
mangy	մանգոն	0.214	0.698	0.270
manhole	լոկալ	0.378	0.500	0.516
manhood	տղամարդիկ	0.625	0.735	0.858
manhunt	մենհունտ	0.145	0.925	0.657
mania	մոլուցք	0.290	0.683	0.382
maniac	մոլագար	0.120	0.849	0.431
maniacal	մոլագար	0.200	0.848	0.500
manic	մանիկ	0.054	0.892	0.368
manicure	մանիկյուր	0.706	0.308	0.284
manicurist	մանիկյուր	0.583	0.352	0.341
manifest	արտահայտում	0.667	0.647	0.704
manifestation	դրսեւորում	0.583	0.750	0.655
manifested	դրսեւորվեց	0.580	0.618	0.667
manifestly	ակնհայտորեն	0.469	0.588	0.577
manifesto	մանիֆեստ	0.646	0.519	0.676
manifold	բազմազան	0.500	0.461	0.435
manipulate	շահարկել	0.255	0.700	0.772
manipulation	մանիպուլյացիա	0.188	0.775	0.536
manipulative	մանիպուլյատիվ	0.177	0.724	0.546
mankind	մարդկությունը	0.823	0.471	0.768
manly	տղամարդկանց	0.698	0.633	0.846
manna	մանանա	0.698	0.294	0.544
manned	տղամարդկանց	0.551	0.588	0.484
mannequin	մանեկեն	0.427	0.302	0.295
manner	ձեւով	0.618	0.250	0.320
mannered	հարգալից	0.469	0.556	0.291
manners	սովորույթներ	0.816	0.284	0.517
manor	բնակարան	0.646	0.358	0.738
manpower	աշխատուժը	0.531	0.620	0.543
mansion	դահլիճ	0.847	0.490	0.717
mansions	բնակարաններ	0.735	0.529	0.777
manslaughter	մարդասպանություն	0.090	0.920	0.473
mantel	մանթել	0.500	0.265	0.471
mantis	mantis	0.480	0.355	0.421
mantle	մանգաղ	0.510	0.269	0.422
mantra	մանտրա	0.396	0.249	0.357
manual	ձեռնարկը	0.635	0.245	0.449
manufacture	արտադրությունը	0.868	0.703	0.780
manufacturer	արտադրողը	0.688	0.537	0.830
manufacturing	Արտադրություն	0.653	0.613	0.804
manure	գոմաղբ	0.250	0.471	0.241
manuscript	ձեռագիրը	0.510	0.208	0.540
map	քարտեզի վրա	0.561	0.229	0.463
maple	թխկուն	0.541	0.390	0.339
mar	մար	0.622	0.544	0.545
marathon	Մարաթոն	0.646	0.778	0.740
marble	մարմար	0.604	0.212	0.667
marbled	մարգարիտ	0.396	0.385	0.418
marbles	մարմարներ	0.714	0.345	0.241
march	երթ	0.531	0.200	0.483
mare	NO TRANSLATION	0.541	0.320	0.417
margarine	մարգարին	0.530	0.316	0.333
margarita	Մարգարիտա	0.750	0.438	0.420
margin	մարժա	0.500	0.219	0.331
marginal	մարգինալ	0.235	0.644	0.345
mariachi	mariachi	0.710	0.559	0.609
marijuana	մարիխուանա	0.312	0.779	0.558
marinara	Մարինարա	0.657	0.388	0.435
marine	ծովային	0.633	0.471	0.679
mariner	նավատորմ	0.652	0.491	0.676
marital	ամուսնություն	0.760	0.529	0.500
maritime	ծովային	0.646	0.490	0.713
mark	նշագծել	0.491	0.231	0.600
marked	նշվեց	0.592	0.358	0.554
marker	մարկեր	0.500	0.333	0.605
market	շուկա	0.724	0.480	0.521
marketable	շուկայական	0.746	0.545	0.664
marketing	մարքեթինգ	0.521	0.774	0.675
marketplace	շուկա	0.698	0.420	0.525
marks	նշաններ	0.430	0.480	0.424
marksman	նշանավոր	0.500	0.833	0.692
marksmanship	նշանաբանություն	0.573	0.531	0.664
marl	Մարլ	0.372	0.471	0.351
marmalade	մարմարե	0.729	0.370	0.288
maroon	մարգո	0.469	0.358	0.336
marooned	ծաղրանկարիչ	0.229	0.480	0.160
marquee	շքեղություն	0.602	0.284	0.508
marquis	marquis	0.521	0.444	0.562
marred	արգելված է	0.181	0.561	0.233
marriage	ամուսնություն	0.844	0.684	0.750
married	ամուսնացած	0.674	0.570	0.602
marrow	ողնաշարը	0.398	0.422	0.472
marry	ամուսնանալ	0.896	0.765	0.673
marsh	մարշ	0.302	0.358	0.277
marshal	մարշալ	0.469	0.610	0.819
marshmallow	արծաթափայլ	0.740	0.441	0.391
mart	մարտի	0.531	0.402	0.418
martial	մարտական	0.480	0.710	0.737
martingale	Մարտինալե	0.469	0.510	0.455
martini	Մարտինին	0.828	0.500	0.519
martyr	նահատակ	0.281	0.708	0.509
martyrdom	նահատակությունը	0.323	0.745	0.442
marvel	զարմացնելով	0.961	0.755	0.866
marvellous	հրաշալի	0.878	0.809	0.849
marvelous	հրաշալի	0.948	0.637	0.778
marvelously	զարմանալիորեն	0.968	0.708	0.764
marzipan	NO TRANSLATION	0.684	0.380	0.258
mascara	դիմահարդարում	0.575	0.450	0.269
mascot	թալիսման	0.750	0.337	0.337
masculine	տղամարդիկ	0.653	0.540	0.773
masculinity	տղամարդիկ	0.583	0.670	0.851
mash	mash	0.440	0.363	0.283
mashed	պյուրե	0.531	0.337	0.194
mask	դիմակ	0.510	0.490	0.537
masked	դիմակավորված	0.375	0.549	0.518
masks	դիմակներ	0.510	0.472	0.241
masochism	մազոխիզմ	0.194	0.845	0.483
masochist	մազոխիստ	0.164	0.784	0.353
mason	Մասոն	0.541	0.442	0.580
masquerade	դիմակահանդես	0.431	0.633	0.446
mass	զանգվածային	0.458	0.245	0.277
massacre	կոտորածը	0.031	0.887	0.640
massage	մերսում	0.708	0.356	0.413
masses	զանգվածներ	0.552	0.453	0.473
masseur	masseur	0.622	0.265	0.463
masseuse	դիմակահանդես	0.594	0.373	0.391
massive	զանգվածային	0.569	0.660	0.750
mast	մաստ	0.542	0.390	0.580
master	վարպետ	0.694	0.490	0.849
masterful	վարպետ	0.854	0.510	0.960
mastermind	վարպետ	0.792	0.625	0.918
masterpiece	գլուխգործոց	0.926	0.623	0.847
mastery	վարպետություն	0.755	0.648	0.873
masturbate	ՄԱՆԱՆԱ	0.552	0.926	0.500
masturbation	սեքս երեքով	0.542	0.961	0.509
mat	mat	0.459	0.221	0.304
matador	Մատարդ	0.224	0.880	0.667
match	խաղը	0.599	0.573	0.500
matchbook	հանդիպման գրքույկը	0.562	0.391	0.412
matching	համընկնում	0.719	0.735	0.418
matchmaker	զուգընկերոջը	0.615	0.509	0.519
mate	զույգը	0.847	0.417	0.669
material	նյութը	0.521	0.363	0.439
materialism	նյութապաշտություն	0.220	0.390	0.556
materialist	նյութական	0.255	0.491	0.504
materialistic	նյութական	0.420	0.506	0.589
materiality	նյութականություն	0.417	0.450	0.636
materialize	իրականացնել	0.688	0.596	0.728
materially	նյութապես	0.490	0.451	0.670
materials	նյութեր	0.633	0.361	0.473
materiel	նյութական	0.531	0.294	0.417
maternal	մայրական	0.847	0.417	0.634
maternity	մայրություն	0.865	0.480	0.622
math	Մաթեմատիկա	0.417	0.375	0.600
mathematical	մաթեմատիկական	0.620	0.500	0.548
mathematician	մաթեմատիկոս	0.541	0.418	0.773
mathematics	Մաթեմատիկա	0.438	0.435	0.664
matinee	մաթեմատիկոս	0.694	0.578	0.447
mating	զուգավորում	0.755	0.840	0.759
matriculation	նախադպրոցական կրթություն	0.622	0.490	0.675
matrimony	ամուսնությունը	0.850	0.637	0.843
matrix	matrix	0.551	0.378	0.673
matron	մոնրոն	0.520	0.519	0.555
matted	մածուցիկ	0.281	0.519	0.393
matter	հարց	0.487	0.353	0.562
matting	մածուցիկ	0.479	0.405	0.423
mattress	դոշակ	0.612	0.255	0.397
maturation	հասունություն	0.612	0.439	0.698
mature	հասուն	0.625	0.347	0.600
maturity	հասունություն	0.827	0.400	0.806
maudlin	maudlin	0.337	0.417	0.368
mausoleum	դամբարան	0.344	0.281	0.594
mauve	մուվերեն	0.533	0.330	0.314
maverick	Մահերիկ	0.354	0.676	0.409
maxim	մաքսիմ	0.875	0.562	0.887
maximize	առավելագույնի հասցնել	0.823	0.765	0.792
maximum	առավելագույնը	0.724	0.724	0.852
may	կարող է	0.704	0.273	0.245
mayday	մայայդ	0.344	0.643	0.423
mayflower	մայոնեզ	0.690	0.463	0.429
mayhem	խառնուրդը	0.188	0.870	0.364
mayonnaise	մայոնեզ	0.510	0.320	0.222
mayor	քաղաքապետ	0.469	0.481	0.818
maze	լաբիրինթոս	0.438	0.608	0.444
mead	Mead	0.667	0.337	0.441
meadow	մարգագետնում	0.622	0.130	0.382
meager	մեղմ	0.144	0.389	0.281
meal	ճաշը	0.833	0.461	0.473
mean	նկատի ունեմ	0.440	0.467	0.620
meander	մանդանտ	0.480	0.443	0.454
meandering	մանրակերտ	0.427	0.644	0.539
meanie	Մեյն	0.388	0.420	0.404
meaning	իմաստը	0.663	0.395	0.625
meaningful	իմաստալից	0.770	0.500	0.802
meaningless	անիմաստ	0.156	0.314	0.143
meanness	նենգություն	0.102	0.694	0.368
means	նշանակում է	0.615	0.373	0.460
meantime	ՄԻԵՎՆՈՒՅՆ ժամանակ	0.432	0.222	0.300
measles	կարմրուկը	0.092	0.635	0.422
measurable	չափելի	0.604	0.410	0.602
measure	միջոցը	0.510	0.375	0.365
measured	չափված	0.542	0.265	0.578
measurement	չափում	0.622	0.418	0.491
measuring	չափման	0.448	0.337	0.529
measuring cup	չափաբաժակ	0.557	0.343	0.377
measuring tape	չափիչ ժապավեն	0.337	0.280	0.327
meat	միս	0.612	0.421	0.413
meatball	կոլոլակ	0.612	0.279	0.343
meathead	մսամթերք	0.306	0.534	0.490
meatloaf	մսամթերք	0.625	0.389	0.375
mechanic	մեխանիկ	0.571	0.433	0.566
mechanical	մեխանիկական	0.479	0.569	0.564
mechanics	մեխանիկ	0.542	0.500	0.761
mechanism	մեխանիզմ	0.573	0.583	0.664
med	NO TRANSLATION	0.375	0.429	0.606
medal	մեդալ	0.854	0.555	0.746
medallion	մեդալիոն	0.750	0.510	0.710
medallist	մեդալակիր	0.796	0.821	0.897
meddle	միջամտել	0.302	0.770	0.526
meddling	միջամտելուն	0.245	0.600	0.461
media	լրատվամիջոցները	0.500	0.330	0.464
medial	մեդալիալ	0.458	0.340	0.429
median	միջին հաշվով	0.459	0.216	0.375
mediate	միջնորդել	0.635	0.308	0.654
mediation	միջնորդություն	0.661	0.350	0.657
mediator	միջնորդ	0.592	0.438	0.580
medic	դեղատուն	0.500	0.472	0.585
medical	բժշկական	0.583	0.373	0.616
medicate	NO TRANSLATION	0.417	0.375	0.546
medication	դեղորայք	0.615	0.439	0.500
medicinal	բուժիչ	0.667	0.417	0.614
medicine	բժշկություն	0.708	0.318	0.679
medieval	միջնադարյան	0.560	0.408	0.455
mediocre	միջակ	0.188	0.481	0.149
mediocrity	միջակություն	0.073	0.398	0.225
meditate	մտածիր	0.812	0.146	0.564
meditating	մեդիտացիա	0.718	0.185	0.399
meditation	խորհուրդը	0.786	0.120	0.478
meditative	մեդիտատիվ	0.614	0.120	0.454
mediterranean	Միջերկրական	0.663	0.454	0.545
medium	միջին	0.559	0.356	0.358
medley	խառնաշփոթ	0.487	0.352	0.400
meek	հեզ	0.531	0.150	0.198
meet	հանդիպում	0.760	0.510	0.580
meeting	հանդիպումը	0.750	0.569	0.613
mega	մեգա	0.724	0.538	0.723
meh	meh	0.380	0.286	0.365
melancholic	մելանխոլիկ	0.181	0.306	0.277
melancholy	Մելամաղձություն	0.188	0.260	0.237
melee	մելե	0.541	0.704	0.611
mellow	մռայլ	0.633	0.069	0.265
melodious	մելոդիկ	0.932	0.530	0.587
melodrama	մելոդրամա	0.378	0.830	0.446
melodramatic	melodramatic	0.235	0.692	0.368
melody	մեղեդի	0.847	0.434	0.405
melon	սեխ	0.461	0.231	0.271
melt	հալեցնում	0.448	0.615	0.312
meltdown	հալածանք	0.629	0.657	0.602
melting	հալեցում	0.592	0.470	0.538
member	անդամ	0.698	0.333	0.555
membership	անդամակցություն	0.698	0.411	0.778
membrane	թաղանթ	0.406	0.430	0.418
memento	memento	0.708	0.360	0.536
memo	հուշագիր	0.625	0.235	0.407
memoir	հուշեր	0.750	0.242	0.553
memorabilia	հուշարձան	0.780	0.412	0.491
memorable	հիշարժան	0.939	0.510	0.769
memorandum	հուշագիր	0.600	0.500	0.639
memorial	հուշարձան	0.602	0.304	0.600
memorials	հուշարձաններ	0.771	0.333	0.679
memories	հիշողություններ	0.963	0.487	0.510
memoriesiwontforget	NO TRANSLATION	0.635	0.542	0.455
memorize	անգիր	0.520	0.451	0.716
memory	հիշողության մեջ	0.792	0.378	0.573
menace	սպառնալիք	0.125	0.894	0.759
menacing	սպառնալիք	0.042	0.880	0.643
menagerie	մարգագետիններ	0.573	0.480	0.538
mend	նորոգել	0.542	0.436	0.602
mending	վերանորոգում	0.500	0.633	0.657
menial	խռովություն	0.490	0.420	0.352
meningitis	մենինգիտը	0.104	0.612	0.407
meniscus	meniscus	0.323	0.330	0.453
menopause	մենոպաուզիա	0.204	0.460	0.306
menses	իմպլանտացիա	0.163	0.686	0.331
menstrual	menstrual	0.408	0.519	0.435
mental	մտավոր	0.490	0.490	0.585
mentalhealth	NO TRANSLATION	0.562	0.541	0.670
mentality	մտածողություն	0.711	0.415	0.726
menthol	մենթոլ	0.490	0.292	0.433
mention	նշեք	0.562	0.365	0.562
mentor	ուսուցիչ	0.719	0.455	0.777
menu	մենյու	0.633	0.333	0.385
meow	Meow	0.510	0.510	0.412
mercantile	առեւտրական	0.480	0.490	0.713
mercenary	վարձկան	0.245	0.837	0.673
merchandise	ապրանքատեսակ	0.594	0.460	0.621
merchant	վաճառողը	0.675	0.500	0.620
merciful	ողորմած	0.854	0.346	0.500
merciless	անգութ	0.062	0.880	0.634
mercurial	ցրտահարություն	0.490	0.546	0.518
mercury	սնդիկային	0.337	0.312	0.475
mercy	ողորմություն	0.719	0.229	0.500
mere	ընդամենը	0.396	0.221	0.176
merengue	ժառանգություն	0.688	0.519	0.442
merge	միաձուլում	0.760	0.480	0.733
merger	միաձուլումը	0.592	0.490	0.642
meridian	meridian	0.510	0.324	0.558
meridional	մյուլերային	0.365	0.290	0.600
meringue	մարգինալ	0.625	0.580	0.411
merit	արժանիք	0.854	0.500	0.722
meritorious	հարգելի	0.781	0.618	0.855
mermaid	ջրահարս	0.765	0.623	0.452
merriment	ուրախություն	0.948	0.721	0.632
merry	երջանիկ	0.979	0.731	0.764
merrychristmas	NO TRANSLATION	0.888	0.510	0.536
mesa	mesa	0.604	0.191	0.319
mescaline	mescaline	0.490	0.580	0.415
mesh	ԱՐՏ	0.429	0.235	0.371
meshes	մազերը	0.440	0.363	0.362
mesmerized	մղձավանջով	0.520	0.552	0.421
mess	խառնաշփոթ	0.143	0.843	0.273
message	հաղորդագրություն	0.650	0.391	0.415
messedup	NO TRANSLATION	0.333	0.615	0.358
messenger	սուրհանդակ	0.694	0.434	0.500
messiah	մեսսիա	0.781	0.634	0.800
messy	խառնաշփոթ	0.260	0.635	0.140
metabolic	մետաբոլիկ	0.408	0.531	0.559
metabolism	նյութափոխանակությունը	0.698	0.509	0.555
metal	մետաղական	0.551	0.429	0.547
metallic	մետաղական	0.615	0.330	0.607
metallurgy	մետալուրգիա	0.396	0.509	0.587
metamorphosis	մետամորֆոզ	0.541	0.571	0.613
metaphor	մետաորա	0.562	0.280	0.470
metaphorical	մետաֆորիկ	0.500	0.412	0.480
metaphysical	մետաֆիզիկական	0.630	0.573	0.686
metaphysics	մետաֆիզիկա	0.561	0.396	0.588
metastasis	metastasis	0.177	0.646	0.452
meteor	մետեոր	0.398	0.714	0.737
meteoric	մետեորիկ	0.590	0.802	0.684
meteorite	մետեորիտ	0.385	0.794	0.750
meteorological	օդերեւութաբանություն	0.635	0.557	0.556
meteorology	մետեորոլոգիա	0.630	0.418	0.689
meter	մետր	0.438	0.300	0.463
meth	meth	0.354	0.564	0.340
methadone	մետադոն	0.240	0.540	0.453
methane	մետան	0.290	0.460	0.569
methanol	մետանոլը	0.292	0.500	0.570
method	մեթոդով	0.640	0.275	0.698
methodical	մեթոդական	0.663	0.360	0.745
methodology	մեթոդաբանությունը	0.664	0.327	0.745
meticulous	մանրակրկիտ	0.555	0.480	0.555
metime	մաթեմատիկա	0.531	0.398	0.417
metric	մետրիկ	0.519	0.248	0.573
metrical	մետրային	0.521	0.375	0.482
metrology	չափագիտություն	0.531	0.432	0.439
metropolis	մետրոպոլիտեն	0.656	0.625	0.779
metropolitan	մետրոպոլիտեն	0.387	0.408	0.723
mettle	խառնաշփոթ	0.667	0.529	0.750
mew	մյու	0.418	0.481	0.380
mezzanine	մզզինը	0.479	0.427	0.404
mica	միկա	0.531	0.250	0.314
